Gene,frutose_1,frutose_2,frutose_3,seb_1,seb_2,seb_3
Afu5g04430,471,362,292,387,369,375
Afu4g07940,140,111,313,99,110,65
Afu2g06270,8,6,12,15,5,12
Afu5g14290,81,268,61,43,63,17
Afu3g00960,835,1529,635,1369,1467,1768
Afu5g09050,67,20,88,140,152,68
Afu2g02760,1083,1142,831,1115,975,773
Afu2g14620,1238,505,1498,758,694,675
Afu8g03900,841,614,915,757,886,631
Afu3g10230,102,65,84,131,108,108
Afu6g02270,350,296,199,318,185,316
Afu1g07590,313,256,214,302,350,292
Afu3g08040,176,122,178,330,345,292
Afu6g06890,241,176,172,433,430,331
Afu2g17490,667,481,1338,282,151,168
Afu3g06050,401,328,320,279,211,236
Afu6g02030,473,390,567,352,268,242
Afu7g00210,231,164,196,61,104,66
Afu1g16505,54,24,24,65,33,53
Afu2g11190,107,78,125,148,176,94
Afu4g03490,692,643,293,522,912,278
Afu3g00310,193,136,127,27,11,34
Afu1g07710,213,136,148,422,229,328
Afu2g14850,284,146,632,261,243,197
Afu3g11550,1401,318,1694,195,9,359
Afu6g02800,497,390,269,200,280,169
Afu2g08720,78,39,46,32,43,32
Afu4g08040,1902,1121,2000,1311,1328,1102
Afu4g11400,206,114,247,253,257,133
Afu2g00670,36,46,19,16,6,10
Afu3g13360,50,29,29,27,37,24
Afu3g08830,222,132,107,68,71,72
Afu2g10170,479,284,451,230,148,166
Afu3g13550,11,21,20,50,8,47
Afu5g10210,7,7,4,4,6,6
Afu2g15750,387,218,367,252,252,232
Afu1g10370,289,595,112,220,77,146
Afu6g10770,278,231,208,138,163,149
Afu8g01090,1483,811,2014,1296,953,1478
Afu2g11630,8,0,2,45,60,32
Afu5g11390,729,535,744,1369,1836,1107
Afu6g02340,25,32,18,30,29,21
Afu3g07680,306,311,166,406,441,356
Afu2g15150,17,17,35,15,12,12
Afu5g13800,263,185,156,142,58,154
Afu4g08870,10,1,4,64,82,44
Afu1g13470,874,655,803,756,797,807
Afu8g06400,709,426,596,635,531,514
Afu2g01380,36,52,45,163,36,96
Afu1g05670,133,82,180,292,262,157
Afu3g00650,1377,1131,1101,272,1125,198
Afu4g02790,1117,1414,1006,946,931,668
Afu5g14260,27,13,36,27,58,22
Afu8g06760,47,66,40,181,75,201
Afu4g09870,4369,3905,2548,1588,1291,2054
Afu4g14470,0,1,1,2,3,1
Afu4g12420,2,0,0,4,3,4
Afu1g05735,1,1,1,2,4,1
Afu5g02330,5227,1778,4938,937,147,1710
Afu1g03450,423,257,417,268,251,226
Afu5g02460,30,13,30,30,29,25
Afu2g08400,86,72,73,55,66,28
Afu1g05840,487,341,286,429,558,232
Afu1g13030,14,14,19,34,18,17
Afu3g10540,109,45,122,74,133,68
Afu8g05090,198,101,396,226,213,187
Afu4g01115,3,0,1,1,0,0
Afu7g04880,439,239,382,113,115,118
Afu4g02940,487,441,389,452,511,282
Afu1g09630,1693,1204,1630,1607,2236,1152
Afu2g14300,49,12,32,7,4,13
Afu1g06340,4530,3695,1571,3735,4356,5207
Afu5g14600,3,0,0,3,4,3
Afu4g10520,147,138,122,203,224,206
Afu6g11590,27,10,33,61,59,58
Afu6g08900,189,160,127,382,520,322
Afu6g07060,149,68,129,170,187,87
Afu4g14705,0,0,0,0,0,1
Afu2g12590,284,183,229,281,276,200
Afu8g05720,872,708,1057,405,563,303
Afu5g02640,1027,299,1344,93,372,206
Afu1g01240,63,38,81,97,127,56
Afu2g12800,2,2,13,3,14,7
Afu1g12310,144,129,230,305,447,318
Afu7g01680,179,74,178,204,216,140
Afu4g04612,689,436,482,543,474,479
Afu8g05110,113,84,90,107,119,99
Afu8g04040,520,295,384,405,420,282
Afu1g13380,352,194,324,175,149,187
Afu6g03100,1121,686,1100,614,638,534
Afu8g01140,162,80,167,93,128,75
Afu6g13680,478,262,439,507,516,330
Afu5g12000,104,97,58,166,113,142
Afu5g07060,169,120,121,240,189,195
AfuMt00070,0,0,0,0,0,1
Afu3g09930,1112,616,1126,569,376,428
Afu1g17390,40,28,34,39,43,39
Afu8g07130,592,489,575,402,495,391
Afu1g16440,32,16,43,33,20,60
Afu6g13560,19,7,34,39,32,9
Afu5g03490,5762,5606,3503,3521,4024,3838
Afu2g14140,265,142,129,677,490,875
Afu2g06100,1192,951,634,1001,680,717
Afu2g00110,7,2,13,7,13,8
Afu8g02110,11,5,4,2,3,6
Afu3g06870,658,330,504,840,457,491
Afu2g12430,344,247,319,727,592,398
Afu2g07660,205,175,237,435,375,279
Afu5g00910,3,5,1,13,20,3
Afu4g07200,883,421,818,707,644,514
Afu3g00510,3,13,7,0,0,0
Afu6g04430,1097,829,790,743,694,731
Afu5g01620,8,4,4,113,228,174
Afu8g05420,15,7,6,67,180,67
Afu3g14950,0,0,5,1,1,2
Afu5g05970,340,187,331,377,396,355
Afu6g10430,3,1,4,3,2,2
Afu4g06030,815,648,850,1402,1199,1060
Afu5g07880,540,216,612,420,467,252
Afu3g14860,12,4,12,6,9,6
Afu2g13950,22,15,11,13,21,12
Afu2g10180,14,10,2,6,5,2
Afu2g01000,42,39,30,136,115,73
Afu1g03660,545,547,411,1384,1278,1717
Afu5g00440,0,0,2,0,0,0
Afu1g11650,8,3,11,14,32,7
Afu3g00110,5,9,0,10,9,11
Afu2g02330,0,1,1,0,0,0
Afu3g01820,32,46,35,14,10,5
Afu1g09040,413,272,389,386,438,272
Afu5g08310,1126,844,1005,996,1140,796
Afu5g02580,311,234,304,333,301,227
