,Af_0min+O2-A1,Af_15min-O2-A2,Af_30min-O2-A3,Af_15min+O2-A4,Af_0min+O2-B1,Af_15min-O2-B2,Af_30min-O2-B3,Af_15min+O2-B4,Af_0min+O2-C1,Af_15min-O2-C2,Af_30min-O2-C3,Af_15min+O2-C4
CADAFUBG00003015,1728,2913,3589,1122,3302,4134,3694,3517,1478,3140,3494,786
CADAFUBG00003016,1317,518,1209,986,2155,1254,1182,3844,893,640,1094,594
CADAFUBG00003017,7078,1113,7116,8203,9928,2602,5316,28180,3649,1084,5725,3814
CADAFUBG00003018,710,307,708,384,962,721,517,1305,343,279,522,154
CADAFUBG00003019,31,33,40,124,72,52,44,390,46,39,31,109
CADAFUBG00003020,374,143,371,765,872,790,440,3577,463,295,424,1036
CADAFUBG00003021,0,0,0,0,1,0,0,0,0,0,0,0
CADAFUBG00003022,53,21,68,109,110,80,60,314,83,62,66,120
CADAFUBG00003023,6,3,4,2,8,8,4,19,5,1,1,2
CADAFUBG00003024,27,9,27,40,44,20,32,150,28,13,27,30
CADAFUBG00003025,150,69,87,7,3302,2667,922,293,3037,2800,2701,196
CADAFUBG00003026,6728,1905,3601,7481,12911,4473,4208,24725,6350,2857,4882,4496
CADAFUBG00003027,2533,1485,2467,1193,6005,3007,3666,6786,4011,3496,4222,2561
CADAFUBG00003028,578,370,930,485,1134,826,993,1993,519,481,832,410
CADAFUBG00003029,224,96,207,206,323,206,217,676,202,139,209,144
CADAFUBG00003030,1768,1174,2585,1105,3107,2749,2425,4710,1366,1668,2057,693
CADAFUBG00003031,314,321,496,221,581,549,485,1014,321,575,609,198
CADAFUBG00003032,502,198,460,430,910,229,445,1561,371,276,524,261
CADAFUBG00003033,650,366,562,480,1094,939,617,1709,460,366,466,284
CADAFUBG00003034,18,3,11,14,61,48,17,56,81,49,37,23
CADAFUBG00003035,188,506,1472,472,291,2567,1066,2047,178,787,559,410
CADAFUBG00003036,1150,638,1092,645,1874,1647,1127,2439,871,821,1075,502
CADAFUBG00003037,29,15,32,33,97,33,40,176,40,29,41,30
CADAFUBG00003038,124,85,203,260,439,273,263,1233,95,89,117,128
CADAFUBG00003039,624,339,1087,337,1386,515,1083,1584,546,404,801,315
CADAFUBG00003040,1363,492,2329,1535,2798,1189,2790,6005,1205,688,2519,719
CADAFUBG00003041,283,298,639,133,466,707,686,674,199,276,436,178
CADAFUBG00003042,164,259,348,119,241,482,392,476,156,276,310,146
CADAFUBG00003043,70,182,207,64,102,237,216,237,86,132,152,98
CADAFUBG00003044,148,72,194,75,262,333,200,322,125,94,179,118
CADAFUBG00003045,36,36,141,53,75,168,156,122,32,75,98,22
CADAFUBG00003046,17,5,12,17,19,24,12,61,21,6,16,9
CADAFUBG00003047,472,243,593,326,872,684,597,1376,382,325,546,280
CADAFUBG00003048,316,199,354,224,578,359,360,817,319,231,322,170
CADAFUBG00003049,614,517,936,358,1222,1037,920,1273,570,440,671,358
CADAFUBG00003050,3006,1747,3459,1919,4832,5060,3549,5298,2257,1955,2875,1392
CADAFUBG00003051,569,247,1025,308,939,562,846,1051,345,226,598,208
CADAFUBG00003052,1480,698,1749,1113,2520,1492,1897,4105,1390,1111,1665,953
CADAFUBG00003053,233,103,210,144,371,215,224,435,199,141,240,128
CADAFUBG00003054,649,278,651,460,1187,605,655,1627,487,383,644,347
CADAFUBG00003055,425,295,355,383,754,836,363,1315,307,446,403,185
CADAFUBG00003056,3081,1325,4594,1171,5639,2729,4862,5547,2389,1488,3472,1146
CADAFUBG00003057,3479,2517,9799,2699,5817,5728,8986,11051,2632,2660,6732,1847
CADAFUBG00003058,469,184,706,332,1023,534,728,1260,355,226,574,153
CADAFUBG00003059,2052,1416,3687,1234,3513,2115,3704,4148,2285,1612,3438,1388
CADAFUBG00003060,799,424,645,707,1501,557,541,2770,539,444,392,389
CADAFUBG00003061,1183,1033,3093,629,2491,1076,2978,3198,1003,1183,2758,619
CADAFUBG00003062,83,47,62,72,101,57,63,206,50,31,66,65
CADAFUBG00003063,2185,883,2126,1582,3832,1879,2414,5385,1590,978,2274,1127
CADAFUBG00003064,108,135,242,120,239,817,219,352,168,458,321,96
CADAFUBG00003065,1363,590,1569,872,2497,783,1555,3202,1069,993,1616,616
CADAFUBG00003066,757,478,843,541,1265,788,791,2103,646,551,750,355
CADAFUBG00003067,1778,1364,2831,1117,2846,4217,3094,3733,1579,1603,2582,910
CADAFUBG00003068,907,260,938,524,1412,1039,1017,1928,677,356,750,368
CADAFUBG00003069,6,2,4,10,20,11,8,23,8,2,9,6
CADAFUBG00003070,553,156,907,261,759,215,802,868,368,153,579,180
CADAFUBG00003071,96,19,167,50,93,21,170,170,49,30,96,46
CADAFUBG00003072,141,49,914,264,222,170,535,803,116,100,389,123
CADAFUBG00003073,5,2,12,5,8,3,8,12,6,4,13,3
CADAFUBG00003074,296,421,1036,3750,720,523,946,14333,193,188,636,3362
CADAFUBG00003075,335,348,446,1251,682,448,541,4403,334,260,488,1995
CADAFUBG00003076,3,3,7,3,8,1,3,34,0,0,5,26
CADAFUBG00003077,95,38,132,83,224,126,166,344,103,76,160,105
CADAFUBG00003078,861,362,618,894,1745,1217,742,3165,848,615,930,580
CADAFUBG00003079,2015,2753,5447,783,4926,7054,5416,3615,2712,4257,5866,990
CADAFUBG00003080,1638,1613,2155,459,2629,3331,2143,1486,1538,1830,2243,544
CADAFUBG00003081,1353,535,1138,324,2581,1965,1214,1478,854,600,1037,311
CADAFUBG00003082,830,1775,1380,621,2315,6529,2205,3223,854,1913,1186,565
CADAFUBG00003083,1033,510,872,604,1548,1052,843,1628,831,539,804,525
CADAFUBG00003084,590,194,475,491,1011,525,556,1843,504,295,597,342
CADAFUBG00003085,324,160,373,297,728,399,415,1187,292,204,415,204
CADAFUBG00003086,230,168,977,342,747,435,1073,2015,265,152,636,549
CADAFUBG00003087,58,34,110,30,106,88,129,150,62,54,109,37
CADAFUBG00003088,53,41,108,36,156,109,129,153,59,57,127,58
CADAFUBG00003089,4,0,1,2,11,5,1,9,6,4,13,3
CADAFUBG00003090,99,49,94,84,157,122,79,261,70,102,88,53
CADAFUBG00003091,13523,5734,4736,273,44702,28070,9128,3450,36464,26801,23425,8547
CADAFUBG00003092,9,3,3,4,41,25,9,9,45,28,32,9
CADAFUBG00003093,1,0,2,0,4,3,0,3,0,1,2,0
CADAFUBG00003094,0,0,1,1,1,1,0,0,1,0,0,0
CADAFUBG00003095,4,6,16,1,1,22,11,4,5,10,11,3
CADAFUBG00003096,1,0,2,0,1,4,2,1,1,0,2,1
CADAFUBG00003097,2,10,20,9,3,16,17,17,4,14,30,2
CADAFUBG00003098,658,720,1441,450,1073,1777,1325,1773,518,764,1127,400
