,Af_0min+O2-A1,Af_15min-O2-A2,Af_30min-O2-A3,Af_15min+O2-A4,Af_0min+O2-B1,Af_15min-O2-B2,Af_30min-O2-B3,Af_15min+O2-B4,Af_0min+O2-C1,Af_15min-O2-C2,Af_30min-O2-C3,Af_15min+O2-C4
CADAFUBG00008555,9,27,35,13,24,127,26,41,10,48,25,8
CADAFUBG00008556,0,0,1,4,1,0,0,4,0,0,3,1
CADAFUBG00008557,0,0,2,0,1,0,0,3,2,0,2,1
CADAFUBG00008558,44,30,50,44,55,46,34,80,37,25,26,15
CADAFUBG00008559,1,1,2,0,6,6,1,1,1,3,0,0
CADAFUBG00008560,225,45,100,225,357,63,116,634,164,77,249,148
CADAFUBG00008561,3,0,1,6,13,12,3,25,14,10,3,6
CADAFUBG00008562,7,0,2,11,44,18,8,33,36,23,7,14
CADAFUBG00008563,0,0,4,4,60,40,8,6,52,27,18,3
CADAFUBG00008564,5,7,6,11,120,49,19,77,111,66,28,12
CADAFUBG00008565,23,3,5,13,161,106,58,200,26,15,13,5
CADAFUBG00008566,49,22,25,48,323,222,93,439,158,120,101,31
CADAFUBG00008567,32,45,31,54,240,214,86,254,105,117,47,22
CADAFUBG00008568,0,0,1,3,5,2,0,9,3,1,4,4
CADAFUBG00008569,35,18,7,23,113,85,24,78,119,78,25,22
CADAFUBG00008570,2,0,1,2,12,3,1,7,9,7,2,1
CADAFUBG00008571,24,6,8,11,146,45,27,41,142,57,40,11
CADAFUBG00008572,98,24,23,30,431,169,45,165,364,211,71,68
CADAFUBG00008573,38,17,20,25,208,71,36,85,250,115,55,28
CADAFUBG00008574,11,0,4,2,103,48,11,15,98,74,29,11
CADAFUBG00008575,0,0,0,0,0,0,0,0,0,0,0,0
CADAFUBG00008576,0,0,0,0,0,0,0,1,0,0,0,0
CADAFUBG00008577,1,0,0,2,1,2,0,3,0,0,1,2
CADAFUBG00008578,0,0,0,1,0,2,0,0,0,0,0,0
CADAFUBG00008579,2,2,1,2,1,4,3,8,0,0,3,3
CADAFUBG00008580,2,13,24,59,2,14,7,219,2,0,6,24
CADAFUBG00008581,13,30,88,36,28,58,73,129,4,18,55,24
CADAFUBG00008582,0,0,6,7,4,1,3,48,2,1,3,5
CADAFUBG00008583,3,1,0,9,4,4,5,38,3,1,2,3
CADAFUBG00008584,1,0,3,2,2,1,2,7,1,1,2,2
CADAFUBG00008585,0,0,0,0,0,0,0,0,0,0,0,0
CADAFUBG00008586,4,17,34,2,6,29,30,11,3,23,19,0
CADAFUBG00008587,9,25,82,19,22,58,64,34,4,14,32,5
CADAFUBG00008588,13,37,25,9,23,45,20,30,18,30,18,11
CADAFUBG00008589,294,424,322,62,390,381,321,341,185,387,320,117
CADAFUBG00008590,1,4,10,0,0,5,7,4,2,1,7,0
CADAFUBG00008591,55,60,114,31,96,113,117,173,63,96,88,37
CADAFUBG00008592,143,122,165,70,154,98,178,299,110,122,142,71
CADAFUBG00008593,7753,4019,10640,3915,12977,10957,10227,16275,5751,5112,8417,3146
CADAFUBG00008594,0,0,0,1,0,0,0,0,0,0,0,0
CADAFUBG00008595,0,0,0,0,0,0,0,1,0,0,1,0
CADAFUBG00008596,1032,3048,2404,587,1332,9031,1423,1311,611,3847,1274,337
CADAFUBG00008597,1,2,2,1,0,1,1,2,0,0,0,0
CADAFUBG00008598,0,1,1,1,0,3,0,5,0,3,0,0
CADAFUBG00008599,0,0,0,0,3,0,0,0,0,0,1,2
CADAFUBG00008600,0,0,0,0,0,0,0,1,0,0,0,0
CADAFUBG00008601,72,27,118,51,128,92,117,279,39,20,63,29
CADAFUBG00008602,323,163,441,194,539,203,417,702,212,98,266,118
CADAFUBG00008603,55,212,247,27,105,340,240,68,62,154,258,21
CADAFUBG00008604,3599,4712,7071,695,5550,6083,8456,2958,3113,2886,7059,782
CADAFUBG00008605,304,462,461,51,426,751,466,144,288,487,478,63
CADAFUBG00008606,0,0,0,1,0,1,0,1,0,1,0,0
CADAFUBG00008607,18,18,21,12,14,57,21,32,16,21,36,11
CADAFUBG00008608,145,1290,3742,145,271,9046,3452,303,149,1791,2594,126
CADAFUBG00008609,79,215,268,80,146,731,210,247,98,310,363,70
CADAFUBG00008610,64,95,138,50,116,247,129,185,55,163,214,31
CADAFUBG00008611,87,138,238,60,176,262,193,269,77,234,299,52
CADAFUBG00008612,0,0,0,0,0,0,0,0,0,0,0,0
CADAFUBG00008613,132,219,194,90,154,378,118,220,22,47,19,14
CADAFUBG00008614,142,96,160,132,197,135,78,299,20,13,20,15
CADAFUBG00008615,542,270,384,398,989,923,533,1385,426,344,546,361
CADAFUBG00008616,21,4,24,28,18,11,24,85,12,4,21,17
CADAFUBG00008617,102,72,226,176,212,156,184,486,83,88,173,121
CADAFUBG00008618,930,395,1405,1604,1759,768,1471,5652,576,424,1083,925
CADAFUBG00008619,5,0,1,0,2,2,1,1,1,0,1,0
CADAFUBG00008620,0,0,0,0,0,0,0,0,0,0,0,1
CADAFUBG00008621,3,1,3,44,15,3,8,73,2,1,3,11
CADAFUBG00008622,6,2,5,27,15,6,6,31,6,2,1,5
CADAFUBG00008623,65,14,45,229,140,63,63,646,39,24,46,92
CADAFUBG00008624,8,1,10,44,27,7,24,189,9,7,15,34
CADAFUBG00008625,108,53,328,323,264,205,385,1369,103,78,301,189
CADAFUBG00008626,120,40,191,148,172,44,125,404,36,34,96,53
CADAFUBG00008627,0,0,0,0,0,0,0,2,0,0,0,0
CADAFUBG00008628,5,3,6,4,8,5,11,9,6,4,7,5
CADAFUBG00008629,2604,2274,5296,1916,4853,5894,4967,8195,1515,1537,3424,1408
CADAFUBG00008630,1,0,1,0,0,1,0,5,0,0,1,2
CADAFUBG00008631,0,0,1,0,0,0,0,2,0,0,0,1
CADAFUBG00008632,0,0,0,0,0,0,0,0,0,0,0,0
CADAFUBG00008633,1,0,1,1,1,0,0,1,1,0,0,2
CADAFUBG00008634,1,0,0,1,1,0,0,1,0,0,0,0
CADAFUBG00008635,1,0,0,2,0,0,1,1,2,0,0,1
CADAFUBG00008636,2,18,66,6,22,30,60,41,15,25,78,13
CADAFUBG00008637,0,3,2,0,1,6,0,5,0,2,0,0
CADAFUBG00008638,42,77,149,50,53,473,124,174,13,98,82,26
CADAFUBG00008639,34,280,788,53,67,1567,594,207,26,323,374,38
CADAFUBG00008640,43,109,291,21,44,613,188,100,33,180,161,32
CADAFUBG00008641,33,21,46,108,51,57,67,379,26,54,147,86
CADAFUBG00008642,289,172,803,155,572,817,812,831,232,226,515,150
CADAFUBG00008643,11,5,30,10,27,23,26,30,12,9,13,10
CADAFUBG00008644,1,2,3,40,9,31,17,131,1,4,0,9
CADAFUBG00008645,220,289,570,134,410,1638,526,557,165,444,405,100
CADAFUBG00008646,149,113,225,142,234,659,293,483,107,167,218,80
CADAFUBG00008647,222,152,336,185,446,555,311,841,125,203,247,88
CADAFUBG00008648,763,206,613,971,1442,597,523,2493,468,188,415,401
CADAFUBG00008649,111,58,57,144,170,127,61,377,61,45,48,75
CADAFUBG00008650,0,1,1,2,1,2,0,2,2,2,0,0
CADAFUBG00008651,9,2,9,11,15,28,13,41,10,6,6,6
CADAFUBG00008652,11,24,39,44,26,56,37,103,10,5,22,27
CADAFUBG00008653,1,0,2,0,0,2,0,2,0,0,1,0
CADAFUBG00008654,2,2,2,1,0,1,0,1,1,2,2,0
CADAFUBG00008655,1,0,3,0,0,3,1,0,0,0,2,0
CADAFUBG00008656,390,1315,4115,410,829,6989,4185,1026,470,2238,3584,280
CADAFUBG00008657,0,0,1,0,0,7,2,0,0,4,0,0
CADAFUBG00008658,4,60,22,10,12,567,15,44,8,181,34,29
CADAFUBG00008659,0,9,11,1,1,104,9,1,0,39,8,2
CADAFUBG00008660,3,2,3,4,2,1,4,19,2,2,3,3
CADAFUBG00008661,0,0,0,0,0,0,0,0,0,0,0,0
CADAFUBG00008662,27,4,12,5,42,6,27,26,4,2,13,4
CADAFUBG00008663,131,78,149,105,184,82,161,208,98,64,137,57
CADAFUBG00008664,128,22,128,139,228,36,140,382,140,34,195,95
CADAFUBG00008665,246,154,397,353,311,260,391,1053,206,191,464,285
CADAFUBG00008666,4,8,8,4,6,6,2,11,7,7,9,4
CADAFUBG00008667,696,662,1009,342,971,855,723,1496,735,692,1065,714
CADAFUBG00008668,1,0,1,1,0,1,0,0,1,0,0,1
CADAFUBG00008669,19,39,88,59,48,94,97,260,25,35,43,33
CADAFUBG00008670,2,0,1,1,5,3,1,7,5,4,1,2
CADAFUBG00008671,13,7,12,7,21,11,14,63,6,2,9,10
CADAFUBG00008672,8,3,21,31,31,22,22,144,6,7,21,30
CADAFUBG00008673,3,0,8,5,2,3,8,12,1,3,3,3
CADAFUBG00008674,5,6,7,3,4,2,8,14,4,7,0,3
CADAFUBG00008675,121,97,180,60,145,163,144,180,100,105,177,64
CADAFUBG00008676,8,5,18,6,8,20,18,18,4,8,16,1
CADAFUBG00008677,5,21,91,7,10,21,68,26,4,10,35,8
CADAFUBG00008678,21,54,205,11,11,52,106,42,8,12,78,12
CADAFUBG00008679,1860,2842,4169,1387,2967,5254,4165,5514,1064,1140,2294,1188
CADAFUBG00008680,1,1,0,0,0,0,1,1,0,0,0,1
CADAFUBG00008681,0,0,0,1,0,0,2,0,0,0,0,0
CADAFUBG00008682,0,0,0,1,0,0,1,4,0,0,0,0
CADAFUBG00008683,0,0,0,0,0,0,0,1,0,0,0,0
CADAFUBG00008684,0,0,1,0,0,1,0,0,0,0,0,0
CADAFUBG00008685,49,27,72,36,77,96,93,156,46,30,67,54
CADAFUBG00008686,124,74,225,111,261,169,246,424,132,107,191,97
CADAFUBG00008687,2,1,3,0,10,0,5,7,2,0,2,2
CADAFUBG00008688,4,0,1,2,5,0,0,6,2,1,3,3
CADAFUBG00008689,0,0,3,0,2,1,0,0,0,1,5,0
CADAFUBG00008690,7,0,5,3,15,1,8,18,3,1,2,6
CADAFUBG00008691,5,0,5,5,3,5,4,21,6,0,8,9
CADAFUBG00008692,4,2,7,11,17,14,11,45,10,6,3,6
CADAFUBG00008693,82,35,70,68,203,133,73,247,58,41,64,29
CADAFUBG00008694,5657,912,3128,5837,11081,2963,3356,18045,4844,2181,5027,3510
CADAFUBG00008695,2139,1013,2043,1844,4589,3050,2196,7660,2011,1830,2542,1436
CADAFUBG00008696,134,121,587,142,279,319,699,783,155,160,511,156
CADAFUBG00008697,6,2,11,4,4,3,3,5,2,2,2,1
CADAFUBG00008698,407,597,810,213,710,709,853,880,406,550,860,173
CADAFUBG00008699,258,213,526,307,449,355,510,1186,277,293,529,270
CADAFUBG00008700,346,275,509,363,606,713,508,1162,412,478,580,253
CADAFUBG00008701,1195,819,2658,638,2550,2591,2696,2692,1191,1097,2321,453
CADAFUBG00008702,477,522,663,360,1006,2234,595,1153,450,678,464,278
CADAFUBG00008703,508,181,688,591,948,362,796,2302,404,257,901,481
CADAFUBG00008704,250,122,347,284,582,192,322,1000,261,173,376,312
CADAFUBG00008705,561,482,849,274,1053,1652,843,951,414,630,633,226
CADAFUBG00008706,322,151,732,224,660,492,744,889,294,231,639,303
CADAFUBG00008707,951,384,1085,620,1377,832,988,2505,627,479,922,477
CADAFUBG00008708,2013,474,2108,988,2976,1327,2177,3470,1895,775,2290,1008
CADAFUBG00008709,169,99,224,92,294,424,245,316,138,112,163,96
CADAFUBG00008710,368,340,900,241,720,1037,791,791,313,456,675,159
CADAFUBG00008711,1548,708,1545,1438,2583,1176,1630,4589,1316,1018,1759,935
CADAFUBG00008712,609,604,1430,267,872,1939,1279,985,460,730,1023,240
CADAFUBG00008713,1401,575,1405,1071,2377,1272,1680,3733,1228,1126,1990,730
CADAFUBG00008714,71,286,903,118,153,484,684,302,212,262,684,126
CADAFUBG00008715,3,1,10,5,5,1,7,9,3,2,5,0
CADAFUBG00008716,216,97,404,234,383,205,405,717,156,88,314,188
CADAFUBG00008717,30033,15124,14351,25933,59375,32536,18305,94072,29613,19660,20430,17326
CADAFUBG00008718,831,273,508,1042,1869,656,576,2343,950,455,686,540
CADAFUBG00008719,3754,1179,1882,3798,6733,2827,2342,11419,3443,1671,2787,2478
CADAFUBG00008720,300,104,130,478,527,198,237,1801,325,175,193,272
CADAFUBG00008721,1,2,1,4,6,5,2,9,3,3,4,4
CADAFUBG00008722,1904,697,1698,1882,3389,1454,1778,6620,1536,962,1939,1216
CADAFUBG00008723,760,817,2034,364,1299,2075,1943,1122,647,837,1263,334
CADAFUBG00008724,1011,955,2460,454,1669,1774,2337,1636,796,1035,1717,374
CADAFUBG00008725,21,23,32,16,25,33,29,49,17,9,16,16
CADAFUBG00008726,723,105,459,703,1185,209,615,2269,535,237,766,308
CADAFUBG00008727,45,16,42,16,55,48,38,77,25,23,38,15
CADAFUBG00008728,13,15,11,8,41,21,23,46,30,11,18,12
CADAFUBG00008729,17,34,33,63,65,126,48,201,14,15,19,26
CADAFUBG00008730,209,64,368,60,363,240,386,316,137,77,242,68
CADAFUBG00008731,5051,2158,4636,2219,8103,5227,5496,9381,4039,2449,5023,2515
CADAFUBG00008732,976,445,1547,664,1685,616,1464,2384,464,292,1032,369
CADAFUBG00008733,1345,655,2014,1040,2702,1217,1797,3644,980,809,1658,548
CADAFUBG00008734,863,789,1856,600,1596,1363,1649,2285,954,883,1478,634
CADAFUBG00008735,629,653,1273,334,1133,1015,1237,1215,580,598,1034,320
CADAFUBG00008736,479,140,437,308,994,348,540,1057,380,202,468,239
CADAFUBG00008737,6,25,15,2,6,56,14,8,7,39,15,5
CADAFUBG00008738,1162,1611,1970,277,1739,2449,1919,1384,1051,1591,1600,402
CADAFUBG00008739,272,174,454,171,629,339,519,761,238,161,387,124
CADAFUBG00008740,662,376,1139,398,1682,656,1314,2116,609,353,1003,740
CADAFUBG00008741,10,14,16,5,6,33,14,12,14,20,17,6
CADAFUBG00008742,141,93,318,99,207,179,336,568,174,146,290,128
CADAFUBG00008743,471,229,409,627,1083,615,382,2368,357,336,399,331
CADAFUBG00008744,9,17,12,4,20,27,17,27,7,22,28,14
CADAFUBG00008745,10,30,27,9,21,52,43,40,15,52,39,9
CADAFUBG00008746,177,32,89,311,467,100,115,1075,103,44,133,117
CADAFUBG00008747,141,67,146,158,247,160,140,590,106,62,153,100
CADAFUBG00008748,17,11,20,29,30,24,19,69,17,14,14,10
CADAFUBG00008749,15,10,12,27,18,16,22,61,10,15,15,10
CADAFUBG00008750,14,70,79,9,21,227,50,19,10,156,64,8
CADAFUBG00008751,175,1594,626,102,293,5281,348,167,192,2705,580,50
CADAFUBG00008752,90,72,264,60,178,117,253,216,57,49,151,40
CADAFUBG00008753,40,75,152,44,101,96,160,156,28,59,121,25
CADAFUBG00008754,10941,6339,6095,10795,17735,8294,6348,31561,9080,8117,9419,5933
CADAFUBG00008755,7555,7498,10767,5572,13956,10176,11092,21561,6225,6605,10202,5008
CADAFUBG00008756,976,458,876,649,1896,2480,772,2143,683,934,800,263
CADAFUBG00008757,4243,1722,3158,1549,6168,3549,4218,7134,2726,1715,3454,1417
CADAFUBG00008758,420,447,712,306,818,924,666,1165,399,473,603,261
CADAFUBG00008759,1570,1199,2762,423,2453,3066,2528,1580,1196,1610,2213,500
CADAFUBG00008760,73,8,53,128,179,31,91,539,104,24,131,189
CADAFUBG00008761,794,197,673,521,1411,1120,852,2748,433,342,744,208
CADAFUBG00008762,712,210,678,568,1347,591,781,1798,673,297,780,399
CADAFUBG00008763,2353,1425,3076,1860,4378,1836,2920,6230,2417,1947,3218,1537
CADAFUBG00008764,2421,1234,2608,2734,7449,5169,4024,13530,2068,1624,2674,1919
CADAFUBG00008765,1365,766,1358,1076,2337,1766,1347,3898,1185,1233,1748,671
CADAFUBG00008766,132,55,157,130,249,211,161,421,115,107,193,93
CADAFUBG00008767,196,87,183,309,368,144,175,1045,208,116,190,282
CADAFUBG00008768,166,62,203,253,366,181,188,801,165,87,185,183
CADAFUBG00008769,91,17,63,59,200,75,77,261,53,18,63,44
CADAFUBG00008770,952,339,756,917,1745,794,827,3102,788,484,935,550
CADAFUBG00008771,580,266,640,440,973,642,713,1653,394,388,576,263
CADAFUBG00008772,38,72,194,18,64,132,113,90,33,56,81,12
CADAFUBG00008773,2111,1241,2840,1085,3352,3829,2994,3732,1752,1571,2610,939
CADAFUBG00008774,221,350,401,150,382,761,431,461,251,392,412,178
CADAFUBG00008775,392,908,646,384,518,1036,607,1050,281,833,556,270
CADAFUBG00008776,920,498,868,728,1448,753,868,2760,802,738,1042,442
CADAFUBG00008777,265,1509,1356,458,642,2293,1225,1128,486,2019,1558,325
CADAFUBG00008778,1147,83,603,1180,2796,278,765,4422,851,195,1068,378
CADAFUBG00008779,523,321,384,236,823,1034,423,951,289,356,393,116
CADAFUBG00008780,724,331,1065,500,1722,1010,931,2144,530,452,801,262
CADAFUBG00008781,1213,1049,3427,646,2055,2053,3267,2595,916,1049,2341,591
CADAFUBG00008782,267,134,370,201,489,174,395,943,301,251,472,193
CADAFUBG00008783,242,76,155,210,458,228,163,767,233,134,163,128
CADAFUBG00008784,15271,6368,6347,11509,26730,16109,8019,41403,13219,8954,9016,7453
CADAFUBG00008785,12,7,11,7,10,9,12,15,8,15,18,7
CADAFUBG00008786,942,565,1424,595,1800,1506,1536,2251,1024,758,1411,430
CADAFUBG00008787,4576,1737,4647,2720,7891,3425,4552,8775,5995,3466,5927,2703
CADAFUBG00008788,1730,393,1098,1733,3870,835,1463,6619,1427,595,1543,1026
CADAFUBG00008789,7,4,12,4,13,9,6,15,7,1,9,3
CADAFUBG00008790,883,93,605,745,1824,362,642,2659,667,177,704,380
CADAFUBG00008791,202,1099,2408,142,352,2697,2265,486,246,642,1593,133
CADAFUBG00008792,4740,1104,2853,3885,9542,2522,3231,13856,4045,2094,3880,2296
CADAFUBG00008793,22,26,70,36,44,77,58,86,14,60,61,15
CADAFUBG00008794,0,0,0,1,1,1,0,2,0,0,1,0
CADAFUBG00008795,3119,1690,4718,1832,6038,2466,4639,7859,2360,1837,3825,1363
CADAFUBG00008796,760,499,1090,472,1394,1666,1117,1274,697,667,959,372
CADAFUBG00008797,726,206,623,580,1407,633,746,1836,555,277,713,330
CADAFUBG00008798,522,183,351,389,809,282,361,1136,285,106,347,255
CADAFUBG00008799,1193,331,961,947,2137,580,1031,3138,973,494,1119,514
CADAFUBG00008800,584,292,690,416,921,1228,708,1334,351,338,467,293
CADAFUBG00008801,3643,581,2613,2575,6505,1885,2602,11138,2168,880,2248,1360
CADAFUBG00008802,2,0,2,0,0,0,1,0,1,0,0,0
CADAFUBG00008803,0,0,0,0,0,0,1,1,0,0,0,0
CADAFUBG00008804,236,120,236,371,385,169,275,954,256,141,250,266
CADAFUBG00008805,2866,1317,3293,1522,4383,3147,3218,5506,2108,1599,2838,1108
CADAFUBG00008806,1262,962,1928,707,2289,1497,1881,2451,1122,1142,1978,537
CADAFUBG00008807,2516,1111,3225,1461,4368,4313,3612,6051,1759,1474,2759,896
CADAFUBG00008808,854,476,795,803,1665,903,945,2882,679,670,1101,466
CADAFUBG00008809,44,26,43,9,80,71,55,52,22,26,22,22
CADAFUBG00008810,581,260,488,174,1457,558,540,1008,594,415,392,305
CADAFUBG00008811,117,51,111,86,329,140,117,374,148,72,105,83
CADAFUBG00008812,92,371,1558,101,147,556,1351,362,86,236,769,65
CADAFUBG00008813,179,120,311,70,310,240,300,273,141,130,169,68
CADAFUBG00008814,2034,815,1798,686,4119,2500,2105,3816,1019,856,1346,457
CADAFUBG00008815,1610,1034,3436,1446,3200,2499,3963,4689,1281,1278,3267,776
CADAFUBG00008816,1255,725,1783,777,2043,2352,1634,2871,853,1123,1470,507
CADAFUBG00008817,1087,381,1046,749,1805,1174,1127,2601,768,428,920,518
CADAFUBG00008818,2982,1420,2070,821,4421,1700,1746,2189,608,394,440,115
CADAFUBG00008819,5,4,4,2,9,4,2,1,6,3,0,0
CADAFUBG00008820,423,216,598,128,764,593,533,469,189,173,359,78
CADAFUBG00008821,305,199,591,216,649,487,608,878,340,267,465,174
CADAFUBG00008822,804,430,901,612,1476,797,853,2080,652,525,904,459
CADAFUBG00008823,607,221,532,295,1057,633,588,983,427,290,543,217
CADAFUBG00008824,1968,631,1270,1631,3297,1875,1608,4926,1451,973,1836,943
CADAFUBG00008825,5907,2575,7507,3158,9737,5572,6833,10491,3617,2358,4677,2731
CADAFUBG00008826,359,178,476,236,448,409,450,666,176,176,288,163
CADAFUBG00008827,977,404,1011,756,1549,1015,1171,2218,711,492,1052,498
CADAFUBG00008828,1351,235,918,1448,2779,407,956,4111,1087,455,1313,687
CADAFUBG00008829,1633,311,910,1695,3477,1102,836,3795,1371,654,1301,910
CADAFUBG00008830,1158,591,1442,1003,2301,1123,1548,3042,1007,765,1413,616
CADAFUBG00008831,967,496,1358,741,1562,1036,1401,2268,819,678,1306,554
CADAFUBG00008832,966,485,1179,595,1704,1292,1518,1891,792,643,1290,488
CADAFUBG00008833,896,346,426,1346,1648,1130,582,3652,926,561,716,849
CADAFUBG00008834,790,335,824,625,1609,803,860,2767,630,562,848,455
CADAFUBG00008835,356,99,248,366,512,217,332,955,238,159,320,200
CADAFUBG00008836,1152,183,871,896,2679,1078,924,2880,716,410,959,408
CADAFUBG00008837,174,71,136,134,269,170,182,341,117,88,171,129
CADAFUBG00008838,557,112,548,402,1092,324,637,1733,358,189,512,279
CADAFUBG00008839,706,246,624,640,1248,672,764,1741,590,404,730,414
CADAFUBG00008840,1499,428,1405,1206,2841,1281,1718,3912,1093,525,1597,533
CADAFUBG00008841,4545,5401,10608,6096,8213,9578,10155,16739,3496,6021,11111,2853
CADAFUBG00008842,879,326,980,569,1522,1133,1005,2134,633,518,1045,350
CADAFUBG00008843,1211,607,1054,661,1920,754,1143,2102,661,651,1187,445
CADAFUBG00008844,2,2,3,4,5,1,1,1,9,2,0,2
CADAFUBG00008845,97,75,135,123,159,66,161,449,65,37,121,111
CADAFUBG00008846,51,24,65,89,90,42,72,268,54,23,74,74
CADAFUBG00008847,903,503,1212,453,1322,948,1107,1921,602,649,878,388
CADAFUBG00008848,3085,1061,1876,4424,6900,2248,2239,16132,3968,2378,3199,4474
CADAFUBG00008849,438,150,343,623,918,433,411,1913,414,339,508,375
CADAFUBG00008850,300,103,270,278,477,394,336,940,240,216,370,196
CADAFUBG00008851,2467,1393,2457,1513,5292,3659,3020,6580,2152,2213,3167,1186
CADAFUBG00008852,125,335,978,121,260,1930,898,421,155,597,946,153
CADAFUBG00008853,681,278,771,464,947,1091,784,1493,506,405,764,324
CADAFUBG00008854,2486,1558,3616,1932,4733,2310,3532,9014,2022,1719,3238,1483
CADAFUBG00008855,573,558,1192,246,948,1014,1121,882,421,586,866,219
CADAFUBG00008856,1415,552,1646,1149,2256,1189,1627,4313,1094,726,1363,811
CADAFUBG00008857,1993,1019,3208,2214,5807,3273,5344,11356,1318,1117,2230,1314
CADAFUBG00008858,762,437,1468,521,1594,476,1546,2153,590,426,1129,362
CADAFUBG00008859,451,246,663,284,869,922,654,1108,385,371,609,278
CADAFUBG00008860,778,125,607,434,1149,394,647,1700,434,207,594,282
CADAFUBG00008861,1274,961,1480,891,2182,1567,1365,2737,1238,1390,1682,679
CADAFUBG00008862,285,230,414,221,557,553,461,765,308,201,343,220
CADAFUBG00008863,380,140,273,76,880,430,348,420,366,181,324,132
CADAFUBG00008864,5038,2631,3785,2703,10086,5342,3909,8460,5282,2940,3312,2218
CADAFUBG00008865,6531,1678,4069,5552,12522,4091,4587,21979,5352,2422,4262,3585
CADAFUBG00008866,1578,692,2013,882,2854,2090,1909,3727,1043,865,1569,597
CADAFUBG00008867,13,5,9,10,23,16,10,21,20,8,12,6
CADAFUBG00008868,44,32,88,37,75,55,67,128,43,30,60,32
CADAFUBG00008869,20,8,22,29,52,18,34,179,32,10,26,52
CADAFUBG00008870,3,3,7,10,6,7,9,16,3,6,8,5
CADAFUBG00008871,283,92,242,313,494,200,317,1231,297,149,302,260
CADAFUBG00008872,98,22,80,65,150,30,108,278,70,42,137,40
CADAFUBG00008873,1067,310,1385,728,2128,977,1547,2824,697,411,1228,393
CADAFUBG00008874,4026,2229,3402,3104,7132,7702,4139,11186,3222,3521,4051,2049
CADAFUBG00008875,379,208,412,266,636,472,394,795,330,234,354,178
CADAFUBG00008876,555,325,714,236,969,912,776,997,440,344,660,243
CADAFUBG00008877,2296,1106,2711,1954,4331,2856,2894,6644,1697,1586,2774,938
CADAFUBG00008878,386,306,668,231,653,1166,629,786,315,395,500,173
CADAFUBG00008879,3073,1579,2640,1133,4828,3832,2913,4244,2176,1741,2570,927
CADAFUBG00008880,212,144,674,193,442,555,629,735,230,221,525,201
CADAFUBG00008881,621,100,443,446,1252,246,468,1593,420,193,571,204
CADAFUBG00008882,477,435,1395,352,1002,853,1471,1668,526,416,1241,523
CADAFUBG00008883,728,191,933,349,1354,675,1076,1449,417,339,1091,163
CADAFUBG00008884,1588,971,2249,1384,3217,1715,2306,4139,1579,1318,2330,879
CADAFUBG00008885,100,57,143,72,154,127,128,322,92,61,115,92
CADAFUBG00008886,103,20,71,62,167,71,114,189,99,53,170,86
CADAFUBG00008887,5289,2839,7372,3920,9470,6526,7407,14346,4231,3577,6895,2251
CADAFUBG00008888,949,506,1283,678,1881,1478,1406,2567,802,577,1055,452
CADAFUBG00008889,7507,3449,7497,3773,12564,8852,7348,13942,6680,4682,7369,3228
CADAFUBG00008890,1442,492,1290,726,2450,1658,1254,2089,1094,708,1311,504
CADAFUBG00008891,1894,860,2111,876,2890,2251,2261,3207,1274,959,1883,690
CADAFUBG00008892,853,447,872,578,1627,786,853,2291,633,487,792,347
CADAFUBG00008893,966,313,1264,527,1796,838,1478,1816,624,506,1291,256
CADAFUBG00008894,280,137,341,153,427,263,368,535,217,164,332,169
CADAFUBG00008895,46,28,41,49,85,42,52,168,30,28,42,37
CADAFUBG00008896,632,267,457,348,1083,1014,520,828,508,374,554,233
CADAFUBG00008897,20625,17632,45631,10582,33588,42676,42230,40429,11113,14126,29543,7176
CADAFUBG00008898,1899,1052,2315,1500,3656,1831,2304,5719,1311,1076,2035,933
CADAFUBG00008899,533,175,384,552,929,444,426,2014,413,396,464,373
CADAFUBG00008900,889,1084,1694,456,1403,2236,1528,1841,755,1291,1375,438
CADAFUBG00008901,681,220,857,585,1271,375,828,2163,585,310,727,361
CADAFUBG00008902,193,232,292,214,346,617,256,652,174,501,322,194
CADAFUBG00008903,41,28,38,68,63,42,45,157,48,27,44,56
CADAFUBG00008904,179,74,328,111,408,212,317,359,252,105,353,180
CADAFUBG00008905,133,14,139,87,192,54,149,352,77,40,164,86
CADAFUBG00008906,147,68,338,112,253,153,284,484,124,76,254,124
CADAFUBG00008907,0,0,0,0,0,1,1,0,0,1,0,0
CADAFUBG00008908,56,32,75,62,125,64,85,227,63,21,69,38
CADAFUBG00008909,376,298,601,247,721,443,560,890,328,396,487,202
CADAFUBG00008910,477,338,683,405,868,643,737,1463,483,443,631,354
CADAFUBG00008911,3067,1201,2732,2785,5883,3096,3308,9962,2697,1727,3256,1491
CADAFUBG00008912,1712,142,750,1892,3624,557,951,6157,1494,355,1322,886
CADAFUBG00008913,1236,390,1011,872,2295,978,967,3065,838,747,1123,462
CADAFUBG00008914,679,173,655,562,1339,770,691,1774,656,330,796,432
CADAFUBG00008915,90,36,62,74,158,83,72,206,92,68,118,84
CADAFUBG00008916,779,570,909,652,1377,1553,856,2592,749,1008,882,509
CADAFUBG00008917,10495,5311,5576,8126,18392,14234,6231,25708,10125,7007,6624,5766
CADAFUBG00008918,2198,1832,2782,1073,3898,8335,2707,4200,1745,2997,2722,840
CADAFUBG00008919,131,144,491,70,255,354,533,392,93,141,324,51
CADAFUBG00008920,10,95,67,10,20,173,73,42,20,96,60,10
