,RC1_WT_GMM1,RC2_WT_GMM2,RC3_creA_GMM1,RC4_creA_GMM2,RC5_WT_EMM1,RC6_WT_EMM2,RC7_creA_EMM1,RC8_creA_EMM2
CADAFUBG00007341,459,416,342,195,502,451,457,405
CADAFUBG00007342,125,187,196,363,115,42,322,262
CADAFUBG00007343,1652,1616,1614,898,1447,1423,840,1006
CADAFUBG00007344,39827,42381,32568,18765,14885,10700,7113,7072
CADAFUBG00007345,37,49,40,30,61,40,40,31
CADAFUBG00007346,1720,1660,1870,1688,2168,1760,1212,1403
CADAFUBG00007347,910,1073,445,452,1373,880,527,536
CADAFUBG00007348,1825,1918,1533,798,2611,2304,1946,2144
CADAFUBG00007349,1871,1876,2117,1070,1827,1042,890,986
CADAFUBG00007350,2578,2686,3422,2724,3085,1802,2676,2508
CADAFUBG00007351,5968,5477,6039,2852,5079,4372,3462,4002
CADAFUBG00007352,22,24,27,12,22,14,24,28
CADAFUBG00007353,1708,1594,2527,2385,2235,1599,3358,3810
CADAFUBG00007354,942,996,1139,920,1212,863,787,890
CADAFUBG00007355,1286,1416,1972,1205,1058,571,804,415
CADAFUBG00007356,2331,2474,3374,910,2010,1450,2242,1914
CADAFUBG00007357,1742,1699,1572,1752,2275,1783,1433,1975
CADAFUBG00007358,1697,1731,1710,1871,2532,1936,1237,1409
CADAFUBG00007359,1442,1196,1734,1660,1481,1381,1317,1572
CADAFUBG00007360,803,994,1262,588,473,265,410,167
CADAFUBG00007361,1603,1539,1885,781,2234,1508,1015,1070
CADAFUBG00007362,256,243,225,101,410,314,288,277
CADAFUBG00007363,3536,3221,3423,2148,5812,5586,4893,5752
CADAFUBG00007364,21,30,22,27,55,46,13,17
CADAFUBG00007365,567,484,382,448,717,578,381,431
CADAFUBG00007366,1794,2083,2997,1125,1403,758,1279,467
CADAFUBG00007367,4751,4967,4334,4336,5583,4062,2142,2905
CADAFUBG00007368,611,263,721,1663,165,98,56,69
CADAFUBG00007369,2340,2394,2642,1054,1936,1504,941,1081
CADAFUBG00007370,378,429,332,351,488,321,229,270
CADAFUBG00007371,152,171,114,64,135,136,111,100
CADAFUBG00007372,126043,125449,140547,66873,76198,93132,55083,49866
CADAFUBG00007373,1248,1142,1392,984,885,648,575,642
CADAFUBG00007374,346,348,498,368,509,416,513,591
CADAFUBG00007375,652,656,323,230,393,223,137,139
CADAFUBG00007376,0,1,1,1,3,5,1,2
CADAFUBG00007377,1535,1514,1565,1244,1678,1117,989,1193
CADAFUBG00007378,3047,3910,3412,1510,3799,4056,3509,4199
CADAFUBG00007379,1160,1047,1089,1621,3247,3522,2519,2935
CADAFUBG00007380,3900,2954,3344,2604,2107,1900,1849,2173
CADAFUBG00007381,2348,2322,2526,1989,3124,2463,1943,2190
CADAFUBG00007382,700,668,439,425,1591,1752,1280,1823
CADAFUBG00007383,597,555,1618,2328,814,682,1472,1468
CADAFUBG00007384,198,184,226,142,387,338,344,340
CADAFUBG00007385,1,1,4,1,1,5,2,11
CADAFUBG00007386,5,6,2,4,2,2,0,3
CADAFUBG00007387,500,560,487,243,267,90,761,572
CADAFUBG00007388,1847,2099,2137,1003,2342,2822,2245,2473
CADAFUBG00007389,2550,2518,2556,1387,2064,1441,1975,1970
CADAFUBG00007390,658,688,489,476,509,388,342,278
CADAFUBG00007391,381,348,405,349,475,517,463,494
CADAFUBG00007392,522,479,460,220,507,721,343,413
CADAFUBG00007393,1018,1048,881,597,1452,1220,672,811
CADAFUBG00007394,7755,8417,9627,5369,6989,2843,2881,1479
CADAFUBG00007395,42,40,29,28,41,16,24,18
CADAFUBG00007396,1372,1615,1707,963,2124,2193,1394,1738
CADAFUBG00007397,1291,1094,1017,1470,1680,1272,941,1246
CADAFUBG00007398,1863,1939,1575,1189,2147,1581,771,1273
CADAFUBG00007399,9163,8350,11842,5482,14736,16252,15975,20134
CADAFUBG00007400,948,1262,2759,1867,1222,2479,3292,4408
CADAFUBG00007401,93,71,116,69,124,144,270,347
CADAFUBG00007402,12510,12614,10970,6104,11238,7277,7195,8348
CADAFUBG00007403,719,666,765,740,748,628,570,664
CADAFUBG00007404,788,667,814,548,861,766,714,972
CADAFUBG00007405,246,234,257,142,303,291,250,277
CADAFUBG00007406,383,330,370,213,718,593,619,794
CADAFUBG00007407,188,196,118,79,359,289,201,249
CADAFUBG00007408,4961,5324,5147,4814,3400,2614,2943,2542
CADAFUBG00007409,57,33,29,38,39,47,53,39
CADAFUBG00007410,43,33,15,26,81,60,50,57
CADAFUBG00007411,1450,1464,139,54,13316,5052,3491,4893
CADAFUBG00007412,1170,1197,71,61,16110,5866,5921,7238
CADAFUBG00007413,125,134,206,133,1042,394,237,195
CADAFUBG00007414,867,835,752,914,2879,2807,2784,3943
CADAFUBG00007415,942,1060,812,424,2064,1982,2272,2370
CADAFUBG00007416,629,650,917,525,620,491,356,358
CADAFUBG00007417,9260,9048,9761,3680,10430,8483,7089,8006
CADAFUBG00007418,3357,3666,3709,1687,4065,3640,2758,2943
CADAFUBG00007419,1555,1572,453,330,3065,1899,1711,3524
CADAFUBG00007420,425,438,100,59,705,531,363,567
CADAFUBG00007421,3250,2345,2849,2512,1777,1799,1973,2326
CADAFUBG00007422,1540,1352,1364,585,2278,2143,1740,2562
CADAFUBG00007423,1351,1398,1664,962,2427,3788,11070,17799
CADAFUBG00007424,3461,3954,2855,1362,3891,4188,3555,3977
CADAFUBG00007425,343,311,66,39,230,187,73,92
CADAFUBG00007426,1469,1564,1884,1145,1465,868,674,374
CADAFUBG00007427,440,394,381,244,530,345,289,289
CADAFUBG00007428,7780,8617,6943,3525,5392,6486,3289,2424
CADAFUBG00007429,1754,1411,1639,1587,2850,2490,1744,1932
CADAFUBG00007430,236,126,169,305,210,146,80,88
CADAFUBG00007431,41,40,29,15,37,49,29,48
CADAFUBG00007432,8312,7423,6442,8454,9196,5666,3567,4748
CADAFUBG00007433,1350,1264,1333,958,1303,1073,700,791
CADAFUBG00007434,956,831,1174,1175,1097,682,506,567
CADAFUBG00007435,2005,2282,1924,932,2284,1620,1641,1587
CADAFUBG00007436,1257,1214,1344,1522,1786,1136,1088,1240
CADAFUBG00007437,1648,1642,1754,1147,1794,1316,1291,1414
CADAFUBG00007438,827,892,1212,854,742,539,381,490
CADAFUBG00007439,142,128,467,428,171,103,246,294
CADAFUBG00007440,44,31,40,49,88,56,56,41
CADAFUBG00007441,2850,2453,2995,3954,2641,1888,1869,2274
CADAFUBG00007442,3643,3668,3390,3072,2918,1873,1949,1907
CADAFUBG00007443,2052,2052,2113,1762,2004,1619,1792,1937
CADAFUBG00007444,173,186,170,327,243,144,108,125
CADAFUBG00007445,2011,1315,705,411,588,367,178,233
CADAFUBG00007446,995,877,787,483,962,727,785,825
CADAFUBG00007447,0,0,0,0,0,0,0,0
CADAFUBG00007448,1,0,0,0,1,0,0,0
CADAFUBG00007449,1800,1557,2327,1337,3869,2958,3240,3866
CADAFUBG00007450,712,770,940,1079,884,592,487,452
CADAFUBG00007451,2551,2034,1052,1257,660,367,240,229
CADAFUBG00007452,1732,1494,1667,1640,1845,1612,1386,1732
CADAFUBG00007453,4462,2711,2625,2263,4028,3139,2775,2734
CADAFUBG00007454,442,431,282,302,864,533,455,568
CADAFUBG00007455,787,712,565,586,1847,1455,975,1162
CADAFUBG00007456,1321,1491,1254,662,1459,1180,847,994
CADAFUBG00007457,2805,2800,3136,1307,3275,3394,1974,2787
CADAFUBG00007458,603,470,587,642,2508,4876,1538,3058
CADAFUBG00007459,529,521,388,608,737,401,305,316
CADAFUBG00007460,1529,1531,1377,620,1444,913,1112,1004
CADAFUBG00007461,2201,2309,2183,1085,3320,2556,2693,2883
CADAFUBG00007462,775,802,925,481,601,538,598,737
CADAFUBG00007463,45,36,42,31,38,55,23,28
CADAFUBG00007464,71,48,38,42,123,83,97,146
CADAFUBG00007465,6,12,25,22,23,33,27,35
CADAFUBG00007466,78,42,90,106,124,73,93,77
CADAFUBG00007467,1552,1423,856,1181,1391,866,734,762
CADAFUBG00007468,491,389,368,419,441,320,316,344
CADAFUBG00007469,286,276,193,206,490,319,336,321
CADAFUBG00007470,4816,4779,4647,5599,8966,6179,4048,4597
CADAFUBG00007471,89,84,167,107,253,98,41,41
CADAFUBG00007472,53,80,49,95,122,33,25,84
CADAFUBG00007473,11,7,7,8,21,20,17,23
CADAFUBG00007474,850,795,854,415,1134,1158,1159,1149
CADAFUBG00007475,27,16,43,42,41,34,121,158
CADAFUBG00007476,13,8,44,61,102,95,297,371
CADAFUBG00007477,57,44,97,96,130,82,267,305
CADAFUBG00007478,54,38,116,83,143,63,248,239
CADAFUBG00007479,2058,1983,1529,1483,3425,5256,2127,2426
CADAFUBG00007480,143,167,154,99,220,169,149,92
CADAFUBG00007481,30,27,12,26,30,27,26,20
CADAFUBG00007482,198,140,113,118,236,274,142,129
CADAFUBG00007483,2408,2147,2358,1075,3055,3059,2317,2520
CADAFUBG00007484,1,0,0,0,0,1,0,0
CADAFUBG00007485,1336,1598,906,541,4861,3853,3500,4828
CADAFUBG00007486,30,24,7,8,17,9,8,9
CADAFUBG00007487,0,0,0,0,3,1,1,1
CADAFUBG00007488,0,0,0,0,1,0,0,0
CADAFUBG00007489,6,2,5,5,41,37,63,118
CADAFUBG00007490,139,166,1191,1010,141,55,168,25
CADAFUBG00007491,1,2,1,0,0,0,3,1
CADAFUBG00007492,1,3,0,1,3,2,3,7
CADAFUBG00007493,0,1,1,1,4,3,6,7
CADAFUBG00007494,167,128,176,165,402,384,322,337
CADAFUBG00007495,3,4,0,3,9,7,2,1
CADAFUBG00007496,0,1,1,0,3,4,1,0
CADAFUBG00007497,1503,1197,1162,809,1619,2098,1372,1876
CADAFUBG00007498,0,0,0,0,0,0,0,0
CADAFUBG00007499,0,0,0,0,1,0,0,0
CADAFUBG00007500,0,0,0,0,1,0,1,0
CADAFUBG00007501,0,0,0,0,0,1,0,0
CADAFUBG00007502,0,0,0,0,0,0,0,0
CADAFUBG00007503,327,277,355,382,359,257,312,318
CADAFUBG00007504,639,543,404,350,647,399,500,483
CADAFUBG00007505,165,183,29,40,24,15,15,5
CADAFUBG00007506,1,3,1,2,2,1,2,1
CADAFUBG00007507,0,0,0,0,0,0,0,1
CADAFUBG00007508,51,42,83,27,123,73,141,165
CADAFUBG00007509,5,0,0,1,47,28,37,84
CADAFUBG00007510,0,1,0,2,52,33,42,85
CADAFUBG00007511,2,3,2,1,13,15,15,24
CADAFUBG00007512,3,2,0,0,8,3,5,2
CADAFUBG00007513,0,0,0,0,0,0,0,0
CADAFUBG00007514,1,0,0,0,0,1,0,0
CADAFUBG00007515,0,2,0,0,1,1,0,0
CADAFUBG00007516,2,2,0,0,247,360,31,39
CADAFUBG00007517,0,0,0,0,1,0,2,2
CADAFUBG00007518,251,67,75,40,7,4,19,9
CADAFUBG00007519,1397,519,519,592,157,114,246,159
CADAFUBG00007520,3,0,3,0,0,0,0,0
CADAFUBG00007521,0,0,0,0,0,0,0,0
CADAFUBG00007522,9,11,5,5,1,1,3,0
CADAFUBG00007523,0,1,0,0,1,0,0,1
CADAFUBG00007524,0,0,0,0,0,0,0,0
CADAFUBG00007525,4,1,1,2,6,2,4,3
CADAFUBG00007526,868,913,952,561,1196,818,548,595
CADAFUBG00007527,1380,1347,1747,682,979,475,643,272
CADAFUBG00007528,260,223,283,264,1536,2203,5372,7421
CADAFUBG00007529,4,1,3,8,10,8,29,26
CADAFUBG00007530,44,65,25,41,98,83,21,36
CADAFUBG00007531,65,31,16,17,139,66,29,41
CADAFUBG00007532,45,42,33,21,107,113,96,92
CADAFUBG00007533,71,116,88,64,261,282,274,332
CADAFUBG00007534,45,38,50,37,156,135,145,127
CADAFUBG00007535,0,0,0,0,6,6,9,7
CADAFUBG00007536,68,50,52,47,186,109,110,111
CADAFUBG00007537,348,330,208,172,486,341,280,328
CADAFUBG00007538,6516,6688,6589,2813,8136,5912,4843,6174
CADAFUBG00007539,4051,3904,3715,1881,5736,5669,4474,5171
CADAFUBG00007540,2232,2103,2021,1038,4865,4098,2296,3271
CADAFUBG00007541,24,18,4,5,42,48,16,21
CADAFUBG00007542,221,162,8,11,30,20,14,19
CADAFUBG00007543,1639,1681,1475,1061,3423,2688,3683,4218
CADAFUBG00007544,3970,4565,5170,2355,3230,1425,2811,964
CADAFUBG00007545,1853,1701,1542,1536,4105,2642,1324,1260
CADAFUBG00007546,327,381,254,151,728,714,515,627
CADAFUBG00007547,459,411,505,250,536,442,312,379
CADAFUBG00007548,305,274,328,326,410,239,364,357
CADAFUBG00007549,259,235,126,141,385,268,244,324
CADAFUBG00007550,208,215,296,215,208,170,230,265
CADAFUBG00007551,745,747,1002,1001,1064,787,974,1190
CADAFUBG00007552,775,607,767,483,769,727,1068,1216
CADAFUBG00007553,3811,3878,3554,2434,3819,2741,1768,2104
CADAFUBG00007554,1559,1470,1196,1667,1691,972,528,655
CADAFUBG00007555,7221,3421,5468,7650,24508,25312,56544,67596
CADAFUBG00007556,1562,1431,1835,2179,2489,2701,4194,5272
CADAFUBG00007557,1242,1361,1535,1372,1925,1680,1519,1898
CADAFUBG00007558,532,442,397,487,361,395,193,276
CADAFUBG00007559,155,116,139,180,270,174,198,210
CADAFUBG00007560,771,824,1024,464,1079,1326,972,1136
CADAFUBG00007561,4,12,12,27,19,16,40,32
CADAFUBG00007562,2,3,6,2,53,82,85,88
CADAFUBG00007563,1,9,4,3,18,33,45,45
CADAFUBG00007564,1,3,0,0,9,16,15,24
CADAFUBG00007565,1,1,1,0,6,31,29,29
CADAFUBG00007566,0,0,0,1,1,4,0,0
CADAFUBG00007567,859,718,301,401,1029,453,372,379
CADAFUBG00007568,241,215,236,251,448,346,314,276
CADAFUBG00007569,18,4,6,8,25,8,7,7
CADAFUBG00007570,170,138,172,102,274,281,207,187
CADAFUBG00007571,118,92,28,22,21,11,10,10
CADAFUBG00007572,4039,3589,1669,995,1704,1312,472,689
CADAFUBG00007573,129,161,101,37,356,291,80,58
CADAFUBG00007574,468,475,198,159,1714,2407,268,325
CADAFUBG00007575,3675,3330,2800,3441,6244,4443,2112,2346
CADAFUBG00007576,129,148,235,216,100,69,132,221
CADAFUBG00007577,2893,3197,3968,1953,1953,1128,1259,539
CADAFUBG00007578,2884,2809,3280,4533,4345,3111,3009,3000
CADAFUBG00007579,978,976,1501,685,729,554,656,690
CADAFUBG00007580,90,36,52,42,33,36,26,20
CADAFUBG00007581,1981,1506,1543,912,1310,1365,958,1083
CADAFUBG00007582,1049,994,1162,487,1377,1163,1041,1151
CADAFUBG00007583,3831,3963,4237,2799,4250,3652,2784,3592
CADAFUBG00007584,579,637,849,413,480,444,621,621
CADAFUBG00007585,781,782,1107,521,668,496,658,609
CADAFUBG00007586,2922,3115,3270,2161,3326,3114,2320,2757
CADAFUBG00007587,596,524,508,243,435,450,508,523
CADAFUBG00007588,19,10,10,12,9,9,5,5
CADAFUBG00007589,1875,1648,2453,1916,1278,1053,965,1253
CADAFUBG00007590,9668,5728,11403,15245,4289,3826,5255,7063
CADAFUBG00007591,822,836,1630,1350,927,368,1078,708
CADAFUBG00007592,4797,4966,4176,2570,5139,4348,2423,1723
CADAFUBG00007593,833,874,881,790,1197,821,744,845
CADAFUBG00007594,675,614,837,718,874,710,522,649
CADAFUBG00007595,814,780,874,1010,1010,791,779,583
CADAFUBG00007596,2345,2285,2979,3631,4242,3554,2619,3199
CADAFUBG00007597,651,723,669,798,1150,970,676,809
CADAFUBG00007598,303,297,373,711,560,335,306,295
CADAFUBG00007599,546,563,834,574,694,389,571,413
CADAFUBG00007600,757,756,821,418,970,881,643,754
CADAFUBG00007601,1503,1409,1601,2360,1650,860,1082,1220
CADAFUBG00007602,43,19,11,13,21,7,5,15
CADAFUBG00007603,2276,1898,2238,1637,2667,2690,3281,3690
CADAFUBG00007604,2780,2665,2579,3733,3318,2449,2408,2420
CADAFUBG00007605,3570,3271,5936,5917,3181,2474,3800,3819
CADAFUBG00007606,2001,1843,2178,4281,2409,1469,1108,1400
CADAFUBG00007607,424,368,409,285,322,289,325,426
CADAFUBG00007608,79,95,113,111,99,52,78,54
CADAFUBG00007609,15104,12829,12993,4311,3855,1407,810,1014
CADAFUBG00007610,19811,17051,16805,7919,4665,1295,495,810
CADAFUBG00007611,5,8,1,3,31,31,19,34
CADAFUBG00007612,582,574,678,489,746,670,504,585
CADAFUBG00007613,3195,3150,3570,5006,3854,2603,1904,2427
CADAFUBG00007614,5048,4483,5626,4610,5342,5286,11053,12140
CADAFUBG00007615,39,25,19,15,58,47,51,51
CADAFUBG00007616,307,166,178,145,162,186,112,147
CADAFUBG00007617,1950,2047,2279,1580,1900,1238,1087,1053
CADAFUBG00007618,233,294,224,148,343,286,293,234
CADAFUBG00007619,305,359,247,120,304,305,358,276
CADAFUBG00007620,4820,4285,3925,3335,5827,3629,2868,3432
CADAFUBG00007621,1361,1297,898,1083,2209,1376,919,1126
CADAFUBG00007622,149,107,126,115,240,210,154,215
CADAFUBG00007623,1450,1418,1609,2901,3164,3079,2836,1740
CADAFUBG00007624,203,175,55,134,187,136,55,77
CADAFUBG00007625,86,82,93,32,128,109,112,130
CADAFUBG00007626,21,16,19,10,9,5,9,7
CADAFUBG00007627,5937,6041,6260,5581,6763,4506,3860,4184
CADAFUBG00007628,968,958,893,1542,3282,2003,1221,1420
CADAFUBG00007629,74,76,106,29,88,56,72,54
CADAFUBG00007630,317,279,135,127,294,156,92,87
CADAFUBG00007631,1029,1133,577,332,1683,1325,1055,1843
CADAFUBG00007632,832,816,783,373,1102,898,844,1051
CADAFUBG00007633,2742,2510,787,693,1963,1510,800,784
CADAFUBG00007634,184,196,102,53,150,108,132,107
CADAFUBG00007635,252,307,170,53,263,225,149,146
CADAFUBG00007636,295,308,190,93,319,210,133,120
CADAFUBG00007637,362,348,223,519,604,581,171,208
CADAFUBG00007638,351,343,405,551,424,273,201,235
CADAFUBG00007639,187,197,177,219,195,142,98,115
CADAFUBG00007640,496,445,605,1008,512,368,562,635
CADAFUBG00007641,2203,2370,2104,1733,2912,2351,1640,1817
CADAFUBG00007642,7418,6157,5924,5177,10432,9900,7841,9413
CADAFUBG00007643,23,21,17,6,13,19,7,11
CADAFUBG00007644,2449,2703,2326,1066,2020,2235,1827,1663
CADAFUBG00007645,1375,1286,1009,1799,1760,1117,1168,1848
CADAFUBG00007646,7,5,0,3,14,6,8,14
CADAFUBG00007647,927,900,677,256,975,1043,776,1108
CADAFUBG00007648,1709,1605,1771,2194,2635,1502,1283,1250
CADAFUBG00007649,935,994,1355,1381,1149,626,596,339
CADAFUBG00007650,11,18,11,16,22,15,5,4
CADAFUBG00007651,10,7,7,4,2,14,1,4
CADAFUBG00007652,371,366,325,171,260,363,102,109
CADAFUBG00007653,4111,4853,2759,1287,3796,2986,4326,3571
CADAFUBG00007654,1060,1141,1390,539,1426,937,733,432
CADAFUBG00007655,2872,2656,3071,3030,2928,1950,902,1107
CADAFUBG00007656,1250,1279,1743,1561,2814,2134,1893,2045
CADAFUBG00007657,687,692,734,495,1146,681,556,583
CADAFUBG00007658,2763,2606,3615,4258,2845,1927,1993,2203
CADAFUBG00007659,1206,1121,943,539,1982,1916,1311,1579
CADAFUBG00007660,220,194,175,250,269,153,93,77
CADAFUBG00007661,2560,2363,2000,1248,2575,2301,1792,1858
CADAFUBG00007662,2954,3253,4052,1443,4122,3392,4664,5187
CADAFUBG00007663,578,605,660,641,1661,1275,1447,1562
CADAFUBG00007664,1328,1180,1210,857,1069,1070,1036,1439
CADAFUBG00007665,1111,1120,1156,447,1547,1330,903,1007
CADAFUBG00007666,564,478,473,620,996,608,442,504
CADAFUBG00007667,1879,1814,1867,866,2009,1947,1830,1950
CADAFUBG00007668,39340,38323,44131,51202,14803,8942,5404,6033
CADAFUBG00007669,2544,2281,2589,2814,3270,2804,2474,3419
CADAFUBG00007670,7,6,10,7,10,5,2,7
CADAFUBG00007671,177,100,70,58,163,158,92,92
CADAFUBG00007672,448,359,509,260,361,290,255,214
CADAFUBG00007673,5718,7751,9450,2982,2888,1587,2057,712
CADAFUBG00007674,28,23,12,25,53,25,22,21
CADAFUBG00007675,137,140,70,61,215,151,127,117
CADAFUBG00007676,1608,1463,782,750,2369,2455,1429,1445
CADAFUBG00007677,2682,2738,1887,1335,3361,3245,2575,2862
CADAFUBG00007678,1075,1045,920,724,1330,1270,930,1208
CADAFUBG00007679,2518,2118,2793,2123,2055,1574,2974,2224
CADAFUBG00007680,16840,14976,16148,9164,12049,9351,8719,8986
CADAFUBG00007681,2602,2795,2779,1908,2786,2557,1797,1925
CADAFUBG00007682,1061,1024,840,939,1502,1305,826,1047
CADAFUBG00007683,296,216,813,408,250,174,647,687
CADAFUBG00007684,12602,10420,31973,15711,4900,2939,9795,16855
CADAFUBG00007685,147,161,124,107,316,138,180,173
CADAFUBG00007686,202,172,622,385,245,181,677,797
CADAFUBG00007687,1143,1196,1193,1489,1477,1268,1277,1564
CADAFUBG00007688,901,884,806,980,825,499,739,769
CADAFUBG00007689,64,58,76,85,146,98,132,172
CADAFUBG00007690,853,746,687,665,1462,1865,1499,2185
CADAFUBG00007691,16,8,6,7,18,14,13,16
CADAFUBG00007692,1005,1166,1505,784,1370,1121,1282,1155
CADAFUBG00007693,14,12,24,25,35,26,38,54
CADAFUBG00007694,22,26,23,9,63,47,56,42
CADAFUBG00007695,61,38,31,27,108,67,79,98
CADAFUBG00007696,4,1,0,3,18,3,22,17
CADAFUBG00007697,4,3,2,12,12,7,5,17
CADAFUBG00007698,97,92,379,461,228,207,526,641
CADAFUBG00007699,790,801,876,552,805,725,926,1223
CADAFUBG00007700,246,255,391,196,653,685,1134,1341
CADAFUBG00007701,168,157,147,273,588,431,377,492
CADAFUBG00007702,24,8,28,23,100,91,239,260
CADAFUBG00007703,1,0,0,0,12,16,19,32
CADAFUBG00007704,5797,5987,5461,3175,4513,4152,3805,3798
CADAFUBG00007705,170,183,191,72,238,244,350,358
CADAFUBG00007706,124,97,40,16,79,84,90,136
CADAFUBG00007707,592,555,762,554,670,514,717,848
CADAFUBG00007708,3,5,4,2,3,1,2,2
CADAFUBG00007709,14,2,7,10,1,0,2,0
CADAFUBG00007710,0,0,0,0,2,0,0,0
CADAFUBG00007711,0,0,0,0,0,0,0,0
CADAFUBG00007712,218,173,77,28,702,95,35,33
CADAFUBG00007713,42,51,18,37,28,22,8,12
CADAFUBG00007714,24,27,27,13,63,40,64,48
CADAFUBG00007715,0,1,0,1,2,4,1,3
CADAFUBG00007716,6,8,3,3,2,3,0,1
CADAFUBG00007717,5,8,1,9,14,44,16,25
CADAFUBG00007718,58,53,153,201,56,34,51,42
CADAFUBG00007719,4,2,0,4,2,2,5,2
CADAFUBG00007720,4,4,0,4,1,1,0,0
CADAFUBG00007721,560,609,183,155,251,174,25,16
CADAFUBG00007722,2443,2514,899,1183,1874,1385,157,158
CADAFUBG00007723,52714,49333,4324,3794,63849,25193,384,210
CADAFUBG00007724,26,16,22,21,395,756,357,550
CADAFUBG00007725,35,26,41,32,421,596,220,398
CADAFUBG00007726,30,26,37,37,341,675,131,301
CADAFUBG00007727,3777,3815,4768,1790,5962,6205,2755,2240
CADAFUBG00007728,0,0,0,0,0,0,0,1
CADAFUBG00007729,1,0,4,0,4,5,2,3
CADAFUBG00007730,5,2,56,23,8,8,34,45
CADAFUBG00007731,5,9,289,171,52,45,206,347
CADAFUBG00007732,6,1,2,8,31,31,78,69
CADAFUBG00007733,2,2,2,7,12,12,28,23
CADAFUBG00007734,3,1,0,0,3,4,3,4
CADAFUBG00007735,1,0,1,0,1,3,1,3
CADAFUBG00007736,0,0,4,1,1,0,1,1
CADAFUBG00007737,0,0,2,16,0,0,3,3
CADAFUBG00007738,346,323,293,286,335,358,171,223
CADAFUBG00007739,43,54,50,36,54,54,35,45
CADAFUBG00007740,1107,1102,1019,419,1059,897,600,675
CADAFUBG00007741,74,35,15,13,23,18,12,22
CADAFUBG00007742,62,21,10,11,11,8,10,6
CADAFUBG00007743,162,146,0,2,7,4,3,4
CADAFUBG00007744,256,295,31,54,4,2,0,4
CADAFUBG00007745,252,198,24,59,3,5,14,8
CADAFUBG00007746,474,586,152,99,205,100,29,30
CADAFUBG00007747,391,377,270,138,537,242,334,262
CADAFUBG00007748,0,1,0,1,0,0,0,1
CADAFUBG00007749,5,1,3,1,8,6,13,5
CADAFUBG00007750,3,3,1,5,7,4,10,7
CADAFUBG00007751,0,0,0,0,0,0,0,1
CADAFUBG00007752,1,2,2,0,1,2,1,1
CADAFUBG00007753,21,9,3,6,41,41,11,17
CADAFUBG00007754,845,444,522,327,545,437,215,312
CADAFUBG00007755,6756,6024,5061,5220,1903,1474,897,923
CADAFUBG00007756,882,474,1580,1108,2994,1349,184,467
CADAFUBG00007757,150,125,170,164,660,197,192,183
CADAFUBG00007758,54,32,44,39,42,38,31,34
CADAFUBG00007759,13,16,1,1,227,39,3,0
CADAFUBG00007760,3843,1726,6902,10422,143,102,195,255
CADAFUBG00007761,16834,6899,13084,18671,5395,6507,3575,4805
CADAFUBG00007762,521,445,590,448,623,660,488,527
CADAFUBG00007763,995,815,2238,1931,1061,775,2863,2796
CADAFUBG00007764,1156,1114,1175,1240,6882,6242,5944,10121
CADAFUBG00007765,1865,2116,1889,991,2225,2035,1601,2002
CADAFUBG00007766,8269,7408,9100,11035,8275,5634,5679,6279
CADAFUBG00007767,1183,1169,1054,451,1000,957,1174,1463
CADAFUBG00007768,9791,9326,11153,6949,10409,8502,6892,7127
CADAFUBG00007769,4107,2976,3547,1949,2654,2407,1949,2334
CADAFUBG00007770,591,594,804,438,474,308,271,155
CADAFUBG00007771,2191,2132,2000,1450,2215,1825,986,1314
CADAFUBG00007772,1450,1655,1839,648,2861,4164,4080,4800
CADAFUBG00007773,1090,996,861,645,1583,1481,1206,1412
CADAFUBG00007774,1155,943,2678,1801,1075,878,2762,2336
CADAFUBG00007775,2926,3181,2810,1202,3786,3564,1894,2251
CADAFUBG00007776,116,98,94,54,66,64,37,58
CADAFUBG00007777,2386,2339,2863,1507,3206,3001,3180,3807
CADAFUBG00007778,12007,12331,13886,5306,14496,17396,12417,12382
CADAFUBG00007779,21,7,15,5,42,68,22,27
CADAFUBG00007780,0,0,0,0,0,0,0,0
CADAFUBG00007781,2027,1894,2205,1684,1457,1064,1817,1429
CADAFUBG00007782,1624,1521,1291,1534,2081,1403,830,1170
CADAFUBG00007783,1364,1329,977,1181,2784,2125,1376,1733
CADAFUBG00007784,136,130,175,372,228,127,101,96
CADAFUBG00007785,535,463,458,431,789,609,425,525
CADAFUBG00007786,844,833,778,358,1020,944,741,900
CADAFUBG00007787,2402,2495,1812,1001,3991,2625,1752,2174
CADAFUBG00007788,1328,1203,1362,1378,2716,1978,1219,1394
CADAFUBG00007789,3507,3169,3357,5681,4017,1992,1504,1599
CADAFUBG00007790,902,885,1359,536,1038,1063,893,745
CADAFUBG00007791,5041,5268,5334,6623,4746,3626,2597,3076
CADAFUBG00007792,3915,3688,3228,4635,6331,5026,3771,4209
CADAFUBG00007793,1298,1464,1808,1155,2105,2378,2116,1930
CADAFUBG00007794,1750,1554,1738,971,1686,1520,1290,1258
CADAFUBG00007795,4502,4430,4310,1804,5500,5828,4073,5003
CADAFUBG00007796,6593,6476,4178,3262,7986,5823,2624,3498
CADAFUBG00007797,891,750,847,820,1213,973,766,676
CADAFUBG00007798,1466,1697,1706,735,2203,2402,1792,1685
CADAFUBG00007799,903,983,1164,1233,1347,856,852,1108
CADAFUBG00007800,2773,2628,3450,3456,3127,2338,1572,1424
CADAFUBG00007801,13882,15706,9862,4038,13166,11067,4485,4394
CADAFUBG00007802,744,743,815,501,905,954,552,594
CADAFUBG00007803,1543,1558,1823,1458,2115,1623,1058,1082
