,RC1_WT_GMM1,RC2_WT_GMM2,RC3_creA_GMM1,RC4_creA_GMM2,RC5_WT_EMM1,RC6_WT_EMM2,RC7_creA_EMM1,RC8_creA_EMM2
CADAFUBG00000198,18,16,28,13,20,19,13,16
CADAFUBG00000199,707,749,994,434,739,683,652,902
CADAFUBG00000200,8821,6673,2751,3801,3612,3151,624,457
CADAFUBG00000201,1783,1488,1817,1315,1382,2164,1675,1927
CADAFUBG00000202,49,42,167,106,46,35,39,29
CADAFUBG00000203,345,260,236,187,541,339,147,174
CADAFUBG00000204,3691,3779,3078,3295,7111,6519,2444,3225
CADAFUBG00000205,194,210,224,118,207,188,137,142
CADAFUBG00000206,207,229,281,160,286,377,436,583
CADAFUBG00000207,54,78,130,60,77,177,211,304
CADAFUBG00000208,3854,3828,2902,2019,4930,3898,3219,4702
CADAFUBG00000209,563,613,948,701,764,1045,1200,1683
CADAFUBG00000210,297,306,242,169,292,237,222,258
CADAFUBG00000211,6,4,9,7,6,4,9,5
CADAFUBG00000212,3315,3514,4524,2139,4558,4493,2764,3183
CADAFUBG00000213,88,94,246,266,262,219,268,296
CADAFUBG00000214,5953,6785,6979,5399,5207,3379,2754,2278
CADAFUBG00000215,1693,1795,1723,668,1911,1414,1024,1083
CADAFUBG00000216,1472,1576,1384,706,1585,1638,1175,1045
CADAFUBG00000217,498,395,314,193,409,343,224,212
CADAFUBG00000218,443,388,344,155,333,333,256,250
CADAFUBG00000219,2517,1927,1813,2412,2674,1700,1103,1196
CADAFUBG00000220,366,375,1779,1757,123,79,151,188
CADAFUBG00000221,138,138,751,464,33,39,64,81
CADAFUBG00000222,8,9,21,26,15,14,17,29
CADAFUBG00000223,493,493,459,269,401,190,206,132
CADAFUBG00000224,811,835,1116,413,1636,2146,1701,2193
CADAFUBG00000225,218,220,319,263,512,524,332,346
CADAFUBG00000226,2850,2902,3253,2532,3490,2667,1544,1911
CADAFUBG00000227,145,142,61,36,554,584,409,537
CADAFUBG00000228,23,16,19,32,75,47,44,79
CADAFUBG00000229,498,497,880,858,804,700,595,573
CADAFUBG00000230,45,46,21,25,42,53,27,37
CADAFUBG00000231,46,76,53,21,114,64,49,48
CADAFUBG00000232,703,628,973,1189,1369,1323,936,1122
CADAFUBG00000233,660,674,971,897,816,382,843,590
CADAFUBG00000234,1750,1764,1531,1363,1370,1222,674,795
CADAFUBG00000235,1301,1323,1194,669,1902,1471,1407,1573
CADAFUBG00000236,14,13,47,28,39,28,29,39
CADAFUBG00000237,763,794,1312,623,680,415,507,179
CADAFUBG00000238,142,153,126,205,213,195,131,71
CADAFUBG00000239,3527,3692,3492,1565,3035,2524,1781,1885
CADAFUBG00000240,1445,1542,1416,1044,1874,1587,866,1170
CADAFUBG00000241,12927,15478,15753,6050,6773,3690,2883,1826
CADAFUBG00000242,250,199,202,217,599,539,156,189
CADAFUBG00000243,1223,1157,1485,1275,1540,1724,1611,1874
CADAFUBG00000244,69,49,65,79,88,68,88,111
CADAFUBG00000245,18546,17227,20774,6888,23172,24300,24801,29305
CADAFUBG00000246,885,747,905,771,1892,2657,775,1115
CADAFUBG00000247,594,493,435,678,1395,756,414,460
CADAFUBG00000248,91,98,59,72,213,174,135,137
CADAFUBG00000249,3817,4104,4509,2891,4227,4320,4039,3828
CADAFUBG00000250,651,356,1227,474,317,333,432,480
CADAFUBG00000251,627,505,991,955,659,564,1570,1729
CADAFUBG00000252,1352,1181,1135,904,1117,839,635,686
CADAFUBG00000253,5011,5749,5007,1778,5345,4000,2720,2677
CADAFUBG00000254,914,897,982,678,1064,710,456,406
CADAFUBG00000255,1243,1151,968,582,2044,1572,2040,2794
CADAFUBG00000256,558,572,700,435,746,772,708,655
CADAFUBG00000257,5943,5619,6345,3541,5910,5080,3504,3838
CADAFUBG00000258,1028,989,989,1271,2268,1950,1299,1505
CADAFUBG00000259,1973,1801,2550,3097,1317,653,621,288
CADAFUBG00000260,82,90,78,91,169,81,89,98
CADAFUBG00000261,12,9,11,8,8,4,4,5
CADAFUBG00000262,3,4,0,4,2,1,1,1
CADAFUBG00000263,1,1,0,0,0,0,0,1
CADAFUBG00000264,0,0,0,0,0,0,0,0
CADAFUBG00000265,1,1,1,1,1,1,1,2
CADAFUBG00000266,570,562,981,960,631,666,1379,1276
CADAFUBG00000267,318,263,381,340,634,585,650,682
CADAFUBG00000268,55051,41629,16354,35969,49637,23085,5093,5130
CADAFUBG00000269,27,11,23,26,32,9,7,3
CADAFUBG00000270,1221,1443,13,59,2164,220,0,0
CADAFUBG00000271,1480,1680,112,163,2602,337,20,37
CADAFUBG00000272,694,521,483,244,763,554,475,551
CADAFUBG00000273,1615,1342,1108,638,1702,1307,1398,1490
CADAFUBG00000274,536,520,421,330,682,613,592,588
CADAFUBG00000275,111,100,50,42,152,80,65,70
CADAFUBG00000276,200,150,153,210,327,216,268,316
CADAFUBG00000277,89,86,63,73,198,148,177,201
CADAFUBG00000278,915,915,1265,1202,1222,847,533,685
CADAFUBG00000279,842,856,888,1032,1111,941,805,876
CADAFUBG00000280,3906,4078,4528,6148,4277,2473,2011,2159
CADAFUBG00000281,1348,1318,1778,1594,1226,901,766,778
CADAFUBG00000282,2119,2110,2058,1816,2940,2135,1306,1770
CADAFUBG00000283,35,31,59,23,63,36,48,58
CADAFUBG00000284,172,155,237,91,259,166,252,208
CADAFUBG00000285,837,950,1115,470,998,919,909,744
CADAFUBG00000286,39,34,37,20,58,61,24,27
CADAFUBG00000287,501,534,517,524,660,511,403,471
CADAFUBG00000288,964,957,1245,534,958,784,858,1061
CADAFUBG00000289,2000,2176,1843,888,2099,1498,1984,2029
CADAFUBG00000290,4,5,1,18,3,2,5,1
CADAFUBG00000291,872,793,1188,623,435,343,417,517
CADAFUBG00000292,6935,7492,6751,2753,10987,11184,6781,9400
CADAFUBG00000293,65665,67423,67713,23747,47661,27384,23951,26133
CADAFUBG00000294,869,859,571,467,846,608,611,715
CADAFUBG00000295,2643,2195,2855,1533,5940,6356,4914,6513
CADAFUBG00000296,1391,1111,1436,833,2043,2492,2300,2359
CADAFUBG00000297,652,662,903,728,1160,528,920,422
CADAFUBG00000298,4080,4264,4798,4013,6417,5657,6075,4924
CADAFUBG00000299,1826,1794,1676,2240,1991,691,568,262
CADAFUBG00000300,1044,893,1057,1654,1567,1193,2105,2167
CADAFUBG00000301,2486,2736,3174,3678,1810,642,776,232
CADAFUBG00000302,0,0,0,0,0,0,0,0
CADAFUBG00000303,0,0,2,0,0,1,0,0
CADAFUBG00000304,510,444,636,438,550,408,694,764
CADAFUBG00000305,140,120,123,125,214,223,105,160
CADAFUBG00000306,27,19,6,7,47,24,3,13
CADAFUBG00000307,6924,6737,6371,11354,9682,6662,5631,6611
CADAFUBG00000308,374,364,594,323,432,278,353,200
CADAFUBG00000309,174,163,162,107,319,317,164,163
CADAFUBG00000310,709,732,792,664,945,842,896,838
CADAFUBG00000311,806,864,1473,763,980,615,764,783
CADAFUBG00000312,129,175,249,211,132,48,98,81
CADAFUBG00000313,0,4,2,1,7,1,0,5
CADAFUBG00000314,0,0,0,1,2,1,1,1
CADAFUBG00000315,2233,2229,3689,1472,2290,1961,2276,2400
CADAFUBG00000316,481,408,3274,2906,556,309,3155,2973
CADAFUBG00000317,452,357,329,178,432,454,1675,5619
CADAFUBG00000318,316,371,617,242,533,330,396,332
CADAFUBG00000319,302,300,401,278,519,461,371,423
CADAFUBG00000320,243,203,157,194,470,409,182,226
CADAFUBG00000321,2187,2396,1805,1096,4278,3678,2633,3362
CADAFUBG00000322,925,1017,1606,529,965,737,1897,1654
CADAFUBG00000323,372,302,278,485,835,591,603,633
CADAFUBG00000324,55,65,47,22,136,104,95,80
CADAFUBG00000325,1271,1275,1414,356,3092,3583,2742,2207
CADAFUBG00000326,979,1095,990,1239,1991,1743,1529,1804
CADAFUBG00000327,5691,5332,5211,5281,6911,3196,1177,1439
