,MM1,MM2,MM3,GPA1,GPA2,GPA3
gene:AFUB_004490,78,56,46,252,145,238
gene:AFUB_004500,114,133,141,226,112,185
gene:AFUB_004510,132,169,129,4561,3114,4866
gene:AFUB_004520,192,120,149,297,268,322
gene:AFUB_004530,15992,19353,21519,11460,11099,13952
gene:AFUB_004540,1303,1489,1557,6447,6152,7547
gene:AFUB_004550,0,0,0,3,1,1
gene:AFUB_004560,1528,1866,2162,917,1006,1224
gene:AFUB_004570,3962,5044,5555,3629,2762,3964
gene:AFUB_004580,143,141,126,197,164,218
gene:AFUB_004590,894,790,935,1772,1481,1945
gene:AFUB_004600,1393,1431,1546,1972,1953,2367
gene:AFUB_004610,2939,3853,4337,3670,4031,4849
gene:AFUB_004620,2204,1709,2007,3540,3690,4410
gene:AFUB_004630,18,470,2130,1514,2423,2634
gene:AFUB_004640,20,139,554,935,1115,1361
gene:AFUB_004650,150,128,181,451,433,614
gene:AFUB_004660,57463,79376,92230,25520,27953,31842
gene:AFUB_004670,319,341,455,871,933,1185
gene:AFUB_004680,1201,1085,1017,2423,1320,2386
gene:AFUB_004690,113,138,119,323,234,392
gene:AFUB_004700,1621,1711,1691,3403,2716,3606
gene:AFUB_004710,4474,7673,7850,2689,2548,3464
gene:AFUB_004720,914,900,908,7871,6925,9352
gene:AFUB_004730,285,181,222,2848,2867,3700
gene:AFUB_004740,1549,1498,1570,731,714,1072
gene:AFUB_004750,1103,1155,1285,3670,3442,4613
gene:AFUB_004760,5,6,3,53,37,68
gene:AFUB_004770,120,108,127,1300,977,1591
gene:AFUB_004780,1283,1701,1980,4034,4013,5230
gene:AFUB_004790,568,625,725,3167,3708,4486
gene:AFUB_004800,40,34,37,201,166,214
gene:AFUB_004810,1686,2213,2276,542,511,695
gene:AFUB_004820,2709,3033,3603,996,1303,1319
gene:AFUB_004830,1557,990,1210,8411,4634,7784
gene:AFUB_004840,899,848,872,2561,2942,3390
gene:AFUB_004850,127,107,150,1737,1410,2039
gene:AFUB_004860,1813,1771,1970,1912,1934,2102
gene:AFUB_004870,48966,48495,52347,13569,13530,16277
gene:AFUB_004880,6039,8568,9385,3157,3802,4236
gene:AFUB_004890,5199,5801,6168,5451,5232,6991
gene:AFUB_004900,1262,997,1259,2344,2233,3038
gene:AFUB_004910,327,265,287,462,460,579
gene:AFUB_004920,91,75,57,180,176,259
gene:AFUB_004930,1041,888,986,717,723,946
gene:AFUB_004940,846,756,805,1585,1662,2227
gene:AFUB_004950,307,256,273,524,441,660
gene:AFUB_004960,616,676,770,1087,1194,1411
gene:AFUB_004970,2477,2927,4000,4694,3857,5123
gene:AFUB_004980,0,2,3,311,515,621
gene:AFUB_004990,1612,1714,1879,4032,3323,4431
gene:AFUB_005000,51126,55167,67215,19854,19271,23558
gene:AFUB_005010,1446,907,1006,5527,4580,5734
gene:AFUB_005020,1759,2695,2757,5957,7579,8712
gene:AFUB_005030,1302,1348,1285,1207,1614,1667
gene:AFUB_005040,1902,1760,1757,2672,2142,2906
gene:AFUB_005050,1124,1252,1355,2324,2299,2979
gene:AFUB_005060,3368,3103,3580,754,705,860
gene:AFUB_005070,194,152,199,243,241,264
gene:AFUB_005080,23,17,12,19,35,34
gene:AFUB_005090,99,66,57,305,274,350
gene:AFUB_005100,822,700,798,2152,2325,2905
gene:AFUB_005110,601,551,561,819,762,991
gene:AFUB_005120,1069,1356,1502,4025,4595,5194
gene:AFUB_005130,1061,1019,1108,1397,1464,1723
gene:AFUB_005140,1370,1532,1631,1684,1953,2193
gene:AFUB_005150,363,415,498,1177,1296,1538
gene:AFUB_005160,2086,1837,1948,2690,2383,3337
gene:AFUB_005170,176,222,258,3833,1582,3430
gene:AFUB_005180,8307,8843,9842,6832,5453,7193
gene:AFUB_005190,867,755,855,642,781,863
gene:AFUB_005200,135,158,151,258,263,325
gene:AFUB_005210,37,45,27,84,83,105
gene:AFUB_005240,1179,874,1044,870,874,1155
gene:AFUB_005250,2043,1698,1712,741,802,946
gene:AFUB_005270,5953,5633,6945,4927,5086,6095
gene:AFUB_005280,587,416,456,1129,952,1303
gene:AFUB_005290,566,670,605,906,897,939
gene:AFUB_005300,2604,3088,3071,3062,2987,3930
gene:AFUB_005310,3060,2849,2868,4121,4263,5339
gene:AFUB_005320,3334,3179,3585,3592,3771,4288
gene:AFUB_005330,1353,917,984,2501,2107,2834
gene:AFUB_005340,489,475,620,3251,3650,4222
gene:AFUB_005350,1059,1315,1263,1874,1737,2158
gene:AFUB_005360,5578,6313,6409,6659,6779,8730
gene:AFUB_005370,521,496,536,1555,1829,2459
gene:AFUB_005380,189,152,150,508,647,759
gene:AFUB_005390,13456,7056,7701,7057,7027,8653
gene:AFUB_005400,4481,8183,8508,13150,14596,19032
gene:AFUB_005410,623,810,865,755,912,984
gene:AFUB_005420,3528,3704,4289,1984,2001,2401
gene:AFUB_005430,2570,3164,3695,585,572,719
gene:AFUB_005440,6,7,4,8,3,7
gene:AFUB_005450,1690,1549,1629,1552,1387,1813
gene:AFUB_005460,1710,2296,2317,5614,5175,6574
gene:AFUB_005480,1446,1280,1350,1024,947,1209
gene:AFUB_005490,1382,1313,1576,5988,6449,7897
gene:AFUB_005500,14,10,27,49,56,73
gene:AFUB_005510,1521,1938,1888,899,820,1063
gene:AFUB_005520,1683,1848,1978,1220,1207,1579
