,MM1,MM2,MM3,GPA1,GPA2,GPA3
gene:AFUB_087880,589,480,495,732,683,931
gene:AFUB_087890,1028,924,1010,1737,1733,2067
gene:AFUB_087900,393,282,261,770,674,867
gene:AFUB_087910,563,740,770,2006,2104,2726
gene:AFUB_087920,186,178,186,994,1064,1226
gene:AFUB_087930,1815,1782,1921,4212,4303,5094
gene:AFUB_087940,2998,2599,2897,2443,2675,3089
gene:AFUB_087950,46,63,67,117,119,151
gene:AFUB_087960,618,526,641,3154,3801,4801
gene:AFUB_087970,2737,2337,2492,1358,1331,1511
gene:AFUB_087980,1171,751,808,2196,2375,2762
gene:AFUB_087990,3490,3686,3869,27647,23287,33374
gene:AFUB_088000,172,173,259,22774,28671,31973
gene:AFUB_088010,2,4,6,78,40,65
gene:AFUB_088020,58,47,35,185,179,232
gene:AFUB_088030,60333,73286,87782,20594,22286,27862
gene:AFUB_088040,702,674,783,240,198,310
gene:AFUB_088050,5763,8135,9552,5841,6231,7321
gene:AFUB_088060,1476,971,1040,919,422,779
gene:AFUB_088070,1,4,13,35,51,43
gene:AFUB_088080,1992,1774,2213,1950,2062,2636
gene:AFUB_088090,388,567,638,532,641,677
gene:AFUB_088100,1332,1518,1704,1824,2289,2506
gene:AFUB_088110,70,69,73,168,108,198
gene:AFUB_088120,1843,2209,2394,1767,1389,1948
gene:AFUB_088130,79,71,69,624,458,667
gene:AFUB_088140,63,41,59,1053,515,905
gene:AFUB_088150,8,3,8,115,77,166
gene:AFUB_088160,253,230,260,666,826,883
gene:AFUB_088170,5929,5540,6668,1795,1862,2128
gene:AFUB_088180,849,585,818,887,673,935
gene:AFUB_088190,2069,2012,2394,3332,3218,3911
gene:AFUB_088200,858,655,744,4199,3876,5350
gene:AFUB_088210,1630,2468,3174,3273,2940,3665
gene:AFUB_088220,297,243,305,585,502,606
gene:AFUB_088230,0,1,0,32,21,29
gene:AFUB_088240,206,156,280,828,998,1102
gene:AFUB_088250,461,323,414,626,601,771
gene:AFUB_088260,245,284,296,568,683,863
gene:AFUB_088270,2,0,1,18,17,26
gene:AFUB_088280,147,93,98,545,480,599
gene:AFUB_088290,1095,955,1160,1276,942,1290
gene:AFUB_088300,26,97,106,236,224,314
gene:AFUB_088310,24,27,33,768,1069,991
gene:AFUB_088320,289,128,181,278,322,388
gene:AFUB_088330,232,207,226,523,554,671
gene:AFUB_088340,0,0,0,1,1,1
gene:AFUB_088350,40,26,32,194,142,208
gene:AFUB_088360,0,5,6,44,66,76
gene:AFUB_088370,209,807,854,6166,5815,8166
gene:AFUB_088380,293,235,253,3963,3959,4528
gene:AFUB_088390,50,32,68,292,204,305
gene:AFUB_088400,11793,12113,14755,18341,22422,26252
gene:AFUB_088410,8313,9008,9568,8791,8897,11404
gene:AFUB_088420,2299,2508,2690,1611,1434,1823
gene:AFUB_088430,4511,5128,6145,16209,15274,21074
gene:AFUB_088440,562,632,759,1853,1793,2432
gene:AFUB_088450,2574,2955,3543,3830,4222,4928
gene:AFUB_088460,102,41,71,490,484,597
gene:AFUB_088470,824,875,974,355,493,492
gene:AFUB_088480,1245,1234,1484,1129,1160,1284
gene:AFUB_088490,3964,4191,4687,8088,6090,8602
gene:AFUB_088500,115,178,138,489,413,575
gene:AFUB_088510,3010,3544,3806,3840,4105,4781
gene:AFUB_088520,230,251,224,897,808,1175
gene:AFUB_088530,451,370,394,1095,923,1194
gene:AFUB_088540,7,25,19,4,0,3
gene:AFUB_088550,53,83,85,115,138,204
gene:AFUB_088560,1143,998,927,743,666,780
gene:AFUB_088570,917,898,878,910,898,1068
gene:AFUB_088580,81,72,78,6248,5529,7813
gene:AFUB_088590,1965,2162,2371,2693,3562,3884
gene:AFUB_088600,156,186,268,559,810,811
gene:AFUB_088610,328,582,644,986,1237,1307
gene:AFUB_088620,1752,1726,1679,1717,1583,2013
gene:AFUB_088630,200,365,485,1402,2424,2309
gene:AFUB_088640,2737,4117,4472,1624,1607,2178
gene:AFUB_088650,436,427,428,908,994,1232
gene:AFUB_088660,1541,1296,1400,1567,1506,2028
gene:AFUB_088670,1190,983,1096,4877,5465,6826
gene:AFUB_088680,330,292,317,501,430,556
gene:AFUB_088690,996,1086,1222,479,440,553
gene:AFUB_088700,36154,41369,49005,13041,14718,17204
gene:AFUB_088710,31,19,34,215,114,229
gene:AFUB_088720,1352,1517,1694,1843,2076,2459
gene:AFUB_088730,6548,7261,8626,8291,10231,11880
gene:AFUB_088740,3413,3357,3254,951,808,1180
gene:AFUB_088750,42,20,24,245,135,221
gene:AFUB_088760,1798,2293,2517,1825,1804,2114
gene:AFUB_088770,127,160,182,553,656,801
gene:AFUB_088780,11700,12671,13498,6023,6221,7112
gene:AFUB_088790,99,152,174,568,458,618
gene:AFUB_088800,0,1,0,27,11,22
gene:AFUB_088810,3597,2729,2972,7397,6460,8953
gene:AFUB_088820,1225,1172,1243,1514,1845,2114
gene:AFUB_088830,1456,1669,1944,1762,1909,2404
gene:AFUB_088840,333,166,195,127,116,150
gene:AFUB_088850,1850,1544,1719,3703,3043,4040
gene:AFUB_088860,651,976,1044,709,636,903
gene:AFUB_088870,7255,7268,8590,4884,4998,5816
gene:AFUB_088900,956,1143,1022,1451,809,1307
gene:AFUB_088910,3707,3622,4301,2658,3375,3558
gene:AFUB_088920,1806,1751,1823,3829,3743,4610
gene:AFUB_088930,3528,4266,4570,1746,2185,2363
gene:AFUB_088940,2107,2450,2593,6949,5246,7548
gene:AFUB_088950,25,12,17,24,35,28
gene:AFUB_088960,135,96,113,616,526,717
gene:AFUB_088970,431,495,558,519,539,675
gene:AFUB_088980,51,45,70,249,370,355
gene:AFUB_088990,229,152,211,688,718,894
gene:AFUB_089000,1254,949,1019,167,156,144
gene:AFUB_089010,3071,4076,4530,2104,2091,2497
gene:AFUB_089020,1406,1156,1341,5044,4374,5786
gene:AFUB_089030,2151,2591,3014,3355,3473,4236
gene:AFUB_089040,208,165,168,1459,1081,1613
gene:AFUB_089060,350,412,401,690,946,951
gene:AFUB_089070,248,216,192,276,346,408
gene:AFUB_089080,870,742,844,3697,4073,4938
gene:AFUB_089090,1165,1166,1282,2971,3403,3959
gene:AFUB_089100,3700,4309,4735,1993,2010,2422
gene:AFUB_089110,11659,7916,9792,6131,5519,7521
gene:AFUB_089120,741,479,538,457,451,607
gene:AFUB_089130,1983,2807,2443,4116,3595,4494
gene:AFUB_089140,3382,4254,4614,2784,2783,3646
gene:AFUB_089150,2826,3017,3254,3180,3692,4494
gene:AFUB_089160,1466,1231,1237,3587,3461,4304
gene:AFUB_089170,1721,1650,1852,3046,2998,3756
gene:AFUB_089180,1245,1342,1415,1680,2009,2357
gene:AFUB_089190,2,6,7,46,24,41
gene:AFUB_089200,1134,1539,1418,4240,3673,5100
gene:AFUB_089210,736,714,706,1486,1287,1543
gene:AFUB_089220,2178,3028,3171,2609,2827,3114
gene:AFUB_089230,247,229,201,1008,888,1208
gene:AFUB_089240,1247,938,1072,2119,1731,2297
gene:AFUB_089250,1526,1666,1565,2007,1823,2235
gene:AFUB_089260,2923,3946,4401,1516,1701,2200
gene:AFUB_089270,7637,6558,7223,2740,2886,3558
gene:AFUB_089280,2240,2070,2159,2102,1890,2331
gene:AFUB_089290,1964,1533,1700,3128,2862,3444
gene:AFUB_089310,405,254,370,674,750,856
gene:AFUB_089320,200,141,195,525,339,435
gene:AFUB_089330,1602,1272,1385,3029,2809,3811
gene:AFUB_089340,4798,4366,4699,4971,4562,6111
gene:AFUB_089350,1054,1011,1180,4363,3657,4908
gene:AFUB_089360,527,552,628,3160,2874,3753
gene:AFUB_089370,3270,3961,4437,5728,5510,7514
gene:AFUB_089380,225,338,370,560,474,680
gene:AFUB_089390,648,638,742,407,394,502
gene:AFUB_089400,4185,4233,4478,6341,6376,7895
gene:AFUB_089410,509,451,416,2030,2014,2430
gene:AFUB_089420,2580,2707,2872,4420,4609,5645
gene:AFUB_089430,160,125,136,609,464,602
gene:AFUB_089440,870,759,865,2026,2094,2631
gene:AFUB_089450,457,391,439,2058,2076,2633
gene:AFUB_089460,1016,1055,1153,2728,3006,3481
gene:AFUB_089470,1870,2769,2622,8947,11746,12147
gene:AFUB_089480,315,391,458,507,443,579
gene:AFUB_089490,328,408,445,346,388,490
gene:AFUB_089500,2643,2344,2459,1166,914,1228
gene:AFUB_089510,12464,15135,17178,8646,8686,10898
gene:AFUB_089520,2888,2812,3242,2274,2425,3055
gene:AFUB_089530,28,23,25,31,34,54
gene:AFUB_089540,92,49,63,266,197,262
gene:AFUB_089550,37,13,29,388,446,468
gene:AFUB_089560,1,2,4,20,16,25
gene:AFUB_089570,144,89,106,251,194,294
gene:AFUB_089580,139,165,146,297,327,345
gene:AFUB_089590,1872,2609,2731,1143,1246,1519
gene:AFUB_089600,8022,9609,10818,6726,6133,8657
gene:AFUB_089610,418,357,377,642,589,728
gene:AFUB_089620,776,766,789,1513,1563,1830
gene:AFUB_089630,4976,6185,7121,3256,3288,3876
gene:AFUB_089640,747,635,731,1798,1950,2388
gene:AFUB_089650,3453,2962,3392,1730,1660,2062
gene:AFUB_089660,127,108,87,608,642,751
gene:AFUB_089670,852,1263,1351,811,824,1077
gene:AFUB_089680,1677,1362,1722,2965,3267,3967
gene:AFUB_089690,1069,1401,1621,1021,1167,1275
gene:AFUB_089700,1724,1883,1877,6009,5774,7428
gene:AFUB_089710,158,181,161,263,240,296
gene:AFUB_089720,328,289,352,596,523,620
gene:AFUB_089730,8180,7762,9081,3432,3534,4304
gene:AFUB_089740,1982,2365,2629,1448,1513,1667
gene:AFUB_089750,8916,7610,8796,6298,7648,8928
gene:AFUB_089760,843,1249,1480,497,543,601
gene:AFUB_089770,1521,1429,1653,1347,1793,1920
gene:AFUB_089780,1093,1169,1281,2436,2417,3232
gene:AFUB_089790,976,797,922,481,492,574
gene:AFUB_089800,550,681,775,436,521,596
gene:AFUB_089810,113,104,103,620,425,671
gene:AFUB_089820,486,413,383,207,192,267
gene:AFUB_089830,2219,1012,1142,3011,4190,4349
gene:AFUB_089840,2335,2544,2750,3346,3154,4107
gene:AFUB_089850,1232,1141,1303,3303,2984,4000
gene:AFUB_089860,1410,1608,1727,5254,5491,6944
gene:AFUB_089870,1019,892,1008,1831,1843,2043
gene:AFUB_089880,250,225,268,1729,1261,1652
gene:AFUB_089890,73,29,30,257,169,276
gene:AFUB_089900,269,180,194,413,416,597
gene:AFUB_089910,162,76,119,387,409,507
gene:AFUB_089920,181,122,135,518,655,768
gene:AFUB_089940,228,185,242,1619,1032,1690
gene:AFUB_089950,524,484,485,1611,1329,1885
gene:AFUB_089960,992,599,637,1365,1049,1569
gene:AFUB_089970,5882,7647,8433,4709,4413,5920
gene:AFUB_089980,2894,4191,4704,2309,2227,3099
gene:AFUB_089990,1596,1447,1500,1577,1360,1979
gene:AFUB_090000,1345,1146,1140,3328,3244,3988
gene:AFUB_090010,73,68,78,381,347,439
gene:AFUB_090020,1412,1256,1504,4543,4063,5313
gene:AFUB_090030,10546,10270,12509,3603,3652,5177
gene:AFUB_090040,3174,3314,3721,1205,1047,1650
gene:AFUB_090050,152,245,315,463,405,540
gene:AFUB_090060,35,354,1005,6837,8890,10412
gene:AFUB_090070,249,809,894,984,1444,1561
gene:AFUB_090080,68,136,162,789,1492,1153
gene:AFUB_090090,102,63,68,3693,3318,4290
gene:AFUB_090100,22,18,16,318,280,353
gene:AFUB_090110,148,108,95,9742,9093,11555
gene:AFUB_090120,2306,1871,2019,2135,2075,2612
gene:AFUB_090130,762,717,877,2401,1980,2702
gene:AFUB_090140,1946,1886,2010,5470,3445,5703
gene:AFUB_090150,1230,1092,1215,2566,2812,3282
gene:AFUB_090160,21,8,16,140,107,151
gene:AFUB_090170,2,0,2,15,17,19
gene:AFUB_090180,909,694,858,2491,2408,2901
gene:AFUB_090190,3488,3964,4447,3374,3972,4696
gene:AFUB_090200,1002,743,863,1020,1071,1276
gene:AFUB_090210,1084,1358,1551,1462,1536,2070
gene:AFUB_090220,226,173,154,672,610,750
gene:AFUB_090230,415,362,399,438,494,544
gene:AFUB_090240,2106,3185,3437,733,505,712
gene:AFUB_090250,1264,1471,1437,50232,28449,51191
gene:AFUB_090260,273,160,189,659,637,822
gene:AFUB_090270,255,591,462,3533,1918,3597
gene:AFUB_090280,178,148,156,172,130,180
gene:AFUB_090290,0,0,0,11,7,10
gene:AFUB_090300,504,418,423,560,605,633
gene:AFUB_090310,49,24,19,281,294,327
gene:AFUB_090320,470,273,319,416,473,492
gene:AFUB_090330,309,217,212,251,232,316
gene:AFUB_090340,1573,1260,1485,2538,2555,3262
gene:AFUB_090350,330,255,283,338,219,369
gene:AFUB_090360,420,543,482,2011,1879,2216
gene:AFUB_090370,738,1404,1214,367,498,660
gene:AFUB_090380,285,187,227,269,240,346
gene:AFUB_090390,13,10,8,30,28,28
gene:AFUB_090400,24,37,34,279,241,367
gene:AFUB_090410,2443,3685,3865,2656,2591,3483
gene:AFUB_090420,764,1132,1170,4375,4996,5874
gene:AFUB_090430,398,449,426,1004,1101,1202
gene:AFUB_090440,59,55,50,258,131,222
gene:AFUB_090450,50,29,42,202,105,228
gene:AFUB_090460,1,0,1,108,24,80
gene:AFUB_090480,0,0,0,7,4,5
gene:AFUB_090490,0,0,0,1,2,4
gene:AFUB_090500,0,0,0,0,0,0
gene:AFUB_090510,2,0,0,15,9,10
gene:AFUB_090520,22,22,18,26,15,18
gene:AFUB_090530,12,12,15,112,108,115
gene:AFUB_090540,2,1,0,1,1,4
gene:AFUB_090550,82,63,70,99,111,147
gene:AFUB_090560,111,116,132,281,224,296
gene:AFUB_090570,31,29,45,145,125,204
gene:AFUB_090580,1241,1247,1597,1095,1230,1750
gene:AFUB_090590,386,371,354,990,994,1263
gene:AFUB_090600,2,0,0,5,2,3
gene:AFUB_090610,77,87,76,152,112,184
gene:AFUB_090620,0,0,2,29,35,27
gene:AFUB_090630,0,5,0,49,39,72
gene:AFUB_090640,17,7,18,165,177,224
gene:AFUB_090650,8,6,5,76,66,89
gene:AFUB_090660,13,19,30,63,50,73
gene:AFUB_090670,38,39,51,276,240,341
gene:AFUB_090680,7,6,5,141,153,175
gene:AFUB_090690,1,2,0,9,5,3
gene:AFUB_090700,0,1,0,5,4,7
gene:AFUB_090710,1,0,0,30,18,31
gene:AFUB_090720,0,0,0,15,5,12
gene:AFUB_090730,130,112,133,101,77,120
gene:AFUB_090740,0,4,4,34,12,19
gene:AFUB_090750,0,1,0,63,11,43
gene:AFUB_090760,49,61,28,289,409,565
gene:AFUB_090770,2,0,2,143,57,116
gene:AFUB_090780,5,2,2,91,85,114
gene:AFUB_090790,10080,10843,11535,15045,12452,16914
gene:AFUB_090800,5270,5785,6805,2704,2167,3184
gene:AFUB_090810,50,90,163,1415,1872,2034
gene:AFUB_090820,1080,1080,1214,803,670,885
gene:AFUB_090830,1721,1582,1726,4510,3818,5390
gene:AFUB_090840,4218,4363,4926,3521,3778,4762
gene:AFUB_090850,489,513,556,572,591,771
gene:AFUB_090860,542,443,496,2843,2023,2819
gene:AFUB_090870,33149,36615,41121,9200,10215,12205
gene:AFUB_090880,2054,1019,1347,400,311,491
gene:AFUB_090890,3494,3716,4340,4579,4389,5575
gene:AFUB_090900,678,772,731,801,770,947
gene:AFUB_090910,440,486,488,884,865,974
gene:AFUB_090920,6313,6399,7150,8073,6925,9242
gene:AFUB_090940,4935,4776,5638,3895,4117,4612
gene:AFUB_090950,5287,4841,5560,2789,2708,3470
gene:AFUB_090960,2001,2000,2136,2571,3245,3736
gene:AFUB_090970,2195,2493,2673,2058,2106,2622
gene:AFUB_090980,1627,1303,1478,1176,1178,1522
gene:AFUB_090990,703,734,917,425,481,500
gene:AFUB_091000,3235,4456,4828,1160,1253,1481
gene:AFUB_091010,2709,2698,2950,5412,5069,6169
gene:AFUB_091020,1626,1428,1631,797,670,948
gene:AFUB_091030,16331,15317,16163,831,364,686
gene:AFUB_091040,6625,8922,10219,4407,4038,5189
gene:AFUB_091050,5815,6542,7334,4611,4985,5881
gene:AFUB_091060,1345,1108,1311,3420,2561,3818
gene:AFUB_091070,41,43,89,44679,44005,59849
gene:AFUB_091080,21,51,84,13947,13950,16315
gene:AFUB_091090,3591,4409,4668,7826,5666,8402
gene:AFUB_091100,616,898,861,1540,1541,1833
gene:AFUB_091110,961,1126,1114,2493,2628,3077
gene:AFUB_091120,1497,1338,1284,1756,1836,2205
gene:AFUB_091130,15,28,18,25,17,26
gene:AFUB_091140,60,67,84,413,572,682
gene:AFUB_091150,87,78,104,462,640,733
gene:AFUB_091160,202,678,1719,11223,13653,14774
gene:AFUB_091170,436,519,504,3770,4246,5381
gene:AFUB_091180,3889,4444,4904,5502,5278,6952
gene:AFUB_091190,38,46,28,173,170,195
gene:AFUB_091200,1418,1160,1345,2526,2265,2769
gene:AFUB_091210,1043,1229,1501,965,992,1142
gene:AFUB_091220,118,62,94,105,98,119
gene:AFUB_091230,1347,1012,1230,1215,1267,1638
gene:AFUB_091240,72608,87523,92970,129285,114458,150635
gene:AFUB_091250,6328,6375,6715,5207,4975,6237
gene:AFUB_091260,2413,2077,2192,1093,1175,1339
gene:AFUB_091270,3414,3342,3740,5792,4583,6036
gene:AFUB_091280,74,69,91,27,38,40
gene:AFUB_091290,27365,29451,29962,5162,5119,6143
gene:AFUB_091300,103,631,1392,19360,23272,26933
gene:AFUB_091310,495,473,470,889,1094,1338
gene:AFUB_091320,14752,18272,20685,4142,4618,5311
gene:AFUB_091330,691,568,677,3010,2596,3398
gene:AFUB_091340,1,1,0,38,24,26
gene:AFUB_091350,1588,1340,1453,3899,3819,4761
gene:AFUB_091360,381,409,428,1050,1211,1355
gene:AFUB_091370,2028,1659,1767,3193,2984,3785
gene:AFUB_091380,1431,1690,1748,1735,1667,2019
gene:AFUB_091390,3666,4711,5172,1639,1676,1943
gene:AFUB_091400,614,408,434,1854,1814,2289
gene:AFUB_091410,55,39,39,260,233,266
gene:AFUB_091420,20,16,28,164,194,202
gene:AFUB_091430,54,33,42,2175,1065,1884
gene:AFUB_091440,585,403,392,3291,2621,3616
gene:AFUB_091450,3975,4001,4391,2661,3379,3858
gene:AFUB_091460,20,9,17,117,70,121
gene:AFUB_091470,516,362,479,1171,1114,1420
gene:AFUB_091480,383,364,424,981,1138,1479
gene:AFUB_091490,711,627,810,1244,1120,1532
gene:AFUB_091500,27644,14467,24506,14564,13734,17810
gene:AFUB_091510,4886,5022,5581,5054,5850,6597
gene:AFUB_091520,492,413,551,1855,2114,2865
gene:AFUB_091530,1425,1602,1931,1235,1268,1472
gene:AFUB_091540,2379,1178,1524,4319,3475,4690
gene:AFUB_091550,4878,5022,5345,4817,4660,5446
gene:AFUB_091560,2448,2861,3268,1579,1826,2135
gene:AFUB_091570,585,599,629,586,681,837
gene:AFUB_091580,0,0,0,0,0,1
gene:AFUB_091590,1307,1464,1587,433,440,458
gene:AFUB_091600,4514,4503,5100,2724,2322,2904
gene:AFUB_091610,27,16,37,180,185,257
gene:AFUB_091620,102,99,114,323,383,528
gene:AFUB_091630,916,806,982,3457,3310,4430
gene:AFUB_091640,11,7,6,174,109,134
gene:AFUB_091650,1277,2168,1845,7914,4662,8233
gene:AFUB_091660,0,0,0,0,0,1
gene:AFUB_091670,1415,1408,1612,871,947,1412
gene:AFUB_091680,2225,5967,6633,1149,1240,1506
gene:AFUB_091690,87,149,187,361,335,406
gene:AFUB_091700,4,3,3,5,9,5
gene:AFUB_091710,5,7,8,44,27,41
gene:AFUB_091720,27,22,27,45,33,40
gene:AFUB_091730,25,13,9,61,33,63
gene:AFUB_091740,19,16,10,74,29,74
gene:AFUB_091750,21,15,24,14,8,26
gene:AFUB_091760,0,0,0,6,2,5
gene:AFUB_091770,1,0,0,8,17,7
gene:AFUB_091780,0,0,0,6,3,5
gene:AFUB_091790,2,5,3,20,15,20
gene:AFUB_091800,6,1,3,23,26,33
gene:AFUB_091810,18,21,29,199,220,269
gene:AFUB_091820,24,20,25,60,57,68
gene:AFUB_091830,25,27,33,125,169,218
gene:AFUB_091840,0,1,2,10,9,13
gene:AFUB_091850,39,19,23,68,28,67
gene:AFUB_091860,58,45,36,110,83,106
gene:AFUB_091870,304,236,268,431,370,469
gene:AFUB_091880,0,0,0,1,3,1
gene:AFUB_091890,112,78,113,258,279,299
gene:AFUB_091900,151,109,182,109,121,148
gene:AFUB_091910,0,0,0,2,3,0
gene:AFUB_091920,142,134,175,1116,1343,1723
gene:AFUB_091930,77,52,73,233,211,223
gene:AFUB_091940,56,51,62,788,800,1069
gene:AFUB_091950,360,235,314,1602,1737,2136
gene:AFUB_091960,3,0,2,9,8,17
gene:AFUB_091970,0,2,11,16,5,11
gene:AFUB_091980,174,310,417,598,803,867
gene:AFUB_091990,410,865,1574,3641,4244,4654
gene:AFUB_092000,2,23,100,31,24,35
gene:AFUB_092010,0,0,0,2,4,5
gene:AFUB_092020,0,4,7,420,568,484
gene:AFUB_092030,0,0,0,2,0,1
gene:AFUB_092040,25,24,23,123,115,159
gene:AFUB_092050,20,20,33,35,38,53
gene:AFUB_092060,90,53,54,325,385,437
gene:AFUB_092070,78,60,70,128,157,141
gene:AFUB_092080,12,5,8,68,67,69
gene:AFUB_092090,1,2,4,23,28,43
gene:AFUB_092100,35,14,19,285,333,392
gene:AFUB_092110,8,9,11,697,816,1072
gene:AFUB_092120,145,149,223,10169,10058,15684
gene:AFUB_092130,82,80,67,936,715,1210
gene:AFUB_092140,111,79,117,6643,4513,6628
gene:AFUB_092150,6,8,12,1119,755,1192
gene:AFUB_092160,38,18,44,410,369,470
gene:AFUB_092170,5,7,17,129,125,160
gene:AFUB_092180,238,268,312,744,749,936
gene:AFUB_092190,0,3,2,56,33,72
gene:AFUB_092200,3,2,6,131,73,125
gene:AFUB_092210,0,1,1,32,20,29
gene:AFUB_092220,379,336,415,178,131,199
gene:AFUB_092230,220,169,222,164,78,108
gene:AFUB_092240,173,126,117,1073,565,988
gene:AFUB_092250,46,30,42,94,100,132
gene:AFUB_092260,232,205,358,86245,92960,118552
gene:AFUB_092270,2,3,1,2999,2061,3831
gene:AFUB_092280,590,645,678,2044,1712,2365
gene:AFUB_092290,233,213,188,833,656,1079
gene:AFUB_092300,0,1,2,121,47,126
gene:AFUB_092310,0,1,0,5,2,7
gene:AFUB_092320,0,0,1,109,56,105
gene:AFUB_092330,5,7,5,94,41,74
gene:AFUB_092340,12,62,75,85,139,140
gene:AFUB_092350,108,988,4098,4152,6814,5978
gene:AFUB_092360,2,2,3,23,23,23
gene:AFUB_092370,0,0,1,6,4,8
gene:AFUB_092380,4,1,5,30,23,30
gene:AFUB_092390,0,1,1,10,8,6
gene:AFUB_092400,4,4,1,13,6,14
gene:AFUB_092410,743,978,964,579,499,677
gene:AFUB_092420,8,22,17,1,1,6
gene:AFUB_092430,4,4,6,17,16,9
gene:AFUB_092440,1,3,1,129,152,139
gene:AFUB_092450,5,7,5,124,123,148
gene:AFUB_092460,0,2,6,610,461,669
gene:AFUB_092470,77,86,130,359,399,504
gene:AFUB_092480,0,0,0,40,29,58
gene:AFUB_092490,139,113,107,668,682,828
gene:AFUB_092500,0,5,1,6,5,11
gene:AFUB_092510,8,6,4,27,14,31
gene:AFUB_092530,0,0,0,1,2,2
gene:AFUB_092540,0,0,0,0,0,0
gene:AFUB_092550,0,3,0,7,6,18
gene:AFUB_092560,0,0,0,0,0,0
gene:AFUB_092570,813,523,572,798,884,1050
gene:AFUB_092580,0,0,0,0,0,0
gene:AFUB_092590,1166,1134,1236,1783,1351,1842
gene:AFUB_092600,61,58,71,310,120,211
gene:AFUB_092610,862,920,998,1991,1930,2428
gene:AFUB_092620,37,21,19,159,160,155
gene:AFUB_092630,17,8,8,205,157,205
gene:AFUB_092640,88,71,70,199,227,213
gene:AFUB_092650,61,76,74,42,48,63
gene:AFUB_092660,1929,1878,2283,1259,1242,1490
gene:AFUB_092670,390,287,358,845,816,946
gene:AFUB_092680,916,1072,1143,3430,3249,4106
gene:AFUB_092690,0,0,0,68,16,46
gene:AFUB_092700,0,0,0,15,5,9
gene:AFUB_092710,4,3,2,65,24,44
gene:AFUB_092720,1,0,2,21,24,30
gene:AFUB_092730,85,73,76,228,236,264
gene:AFUB_092740,50,38,48,37,23,22
gene:AFUB_092750,3,1,4,3,0,0
gene:AFUB_092760,666,605,784,28,27,34
gene:AFUB_092770,4745,5301,6463,2774,2832,3195
gene:AFUB_092780,1714,2255,2790,622,475,684
gene:AFUB_092790,978,1366,1866,468,412,569
gene:AFUB_092800,1429,1539,2265,794,710,965
gene:AFUB_092810,1017,958,1359,392,408,527
gene:AFUB_092820,883,777,891,2465,2334,2992
gene:AFUB_092830,4,7,9,4688,2838,4336
gene:AFUB_092930,1199,1597,1633,8426,10102,11542
gene:AFUB_092940,1403,1566,1626,1569,1650,1949
gene:AFUB_092950,2546,3116,3586,2565,3208,3274
gene:AFUB_092960,1346,1312,1574,1078,1281,1517
gene:AFUB_092970,5075,5333,5506,5103,4741,5612
gene:AFUB_092980,1152,1321,1277,1649,1722,2013
gene:AFUB_092990,1687,1494,1411,1722,1799,1898
gene:AFUB_093000,63,51,56,155,137,147
gene:AFUB_093010,490,489,496,723,886,974
gene:AFUB_093020,1409,1095,1145,2595,2446,3023
gene:AFUB_093030,2161,2544,2794,2343,2838,3226
gene:AFUB_093040,9,8,12,77,81,102
gene:AFUB_093050,817,897,848,1037,1131,1299
gene:AFUB_093060,16960,18142,20400,10708,10939,13853
gene:AFUB_093070,31073,35045,43069,9226,9400,10146
gene:AFUB_093080,137,108,134,302,357,390
gene:AFUB_093090,1457,1603,1877,1769,1748,2134
gene:AFUB_093100,553,602,756,332,436,417
gene:AFUB_093110,786,847,802,1771,1851,2187
gene:AFUB_093120,717,554,500,95,94,98
gene:AFUB_093130,6153,6825,7345,4891,5087,6254
gene:AFUB_093140,1881,1546,1789,2213,2346,3009
gene:AFUB_093150,1961,2012,2090,1503,1486,2176
gene:AFUB_093160,3497,2629,2917,2706,3152,3788
gene:AFUB_093170,8951,9999,11010,2946,3044,3879
gene:AFUB_093180,685,534,588,943,1095,1102
gene:AFUB_093190,1675,1812,2002,1297,1240,1567
gene:AFUB_093200,1867,2010,2516,907,1069,1241
gene:AFUB_093210,901,952,895,1544,1606,1826
gene:AFUB_093220,538,421,491,454,491,658
gene:AFUB_093230,2010,1998,2105,2338,2640,3234
gene:AFUB_093240,116,141,182,265,287,370
gene:AFUB_093250,1053,835,1003,1178,1138,1400
gene:AFUB_093260,80,83,94,256,263,341
gene:AFUB_093270,549,399,420,987,952,1144
gene:AFUB_093280,1976,1629,1811,1993,1986,2274
gene:AFUB_093290,215,158,170,246,257,289
gene:AFUB_093300,1091,1106,1015,867,829,1078
gene:AFUB_093310,841,881,967,592,662,775
gene:AFUB_093320,9505,10777,13734,12933,13269,16194
gene:AFUB_093330,53,45,75,734,565,865
gene:AFUB_093340,1296,1344,1362,622,669,819
gene:AFUB_093350,1423,1084,1252,1638,1340,1848
gene:AFUB_093360,304,241,311,745,682,941
gene:AFUB_093370,821,1849,2003,17382,32175,28342
gene:AFUB_093380,2164,2583,2795,965,790,1021
gene:AFUB_093390,469,456,523,237,224,270
gene:AFUB_093400,389,321,342,485,530,571
gene:AFUB_093410,689,622,608,508,453,576
gene:AFUB_093420,1126,1146,1132,3301,3983,4402
gene:AFUB_093430,875,900,888,2535,2663,3271
gene:AFUB_093440,411,347,370,860,925,1078
gene:AFUB_093450,1393,1195,1241,1913,1670,2264
gene:AFUB_093460,1152,1030,987,1730,1649,2032
gene:AFUB_093470,1456,1654,1795,4518,3625,4980
gene:AFUB_093480,546,513,607,889,750,1000
gene:AFUB_093490,1581,1965,2486,10404,11606,14275
gene:AFUB_093500,3012,2944,3443,3419,4100,4667
