,4hcon1,4hcon2,4hcys1,4hcys2,8hcon1,8hcon2,8hcys1,8hcys2,12hcon1,12hcon2,12hcys1,12hcys2
CDR20291_1357,803,660,492,788,253,511,1081,591,74,167,35,77
CDR20291_1358,1370,1383,909,1084,133,238,550,346,396,586,175,259
CDR20291_1359,5740,5099,5290,6673,443,587,1835,1432,216,426,135,320
CDR20291_1360,703,678,364,358,9,10,74,48,434,550,1260,1106
CDR20291_1361,2311,2503,1193,1283,305,288,407,449,9,15,66,60
CDR20291_1362,1793,2018,1024,1125,81,110,309,160,231,296,178,292
CDR20291_1363,1068,1281,536,863,6387,7305,13523,13076,122,154,57,106
CDR20291_1364,1609,1710,1000,1690,43615,43159,35193,31010,3781,4921,2500,2656
CDR20291_1365,813,767,460,744,4023,5149,7399,5326,53174,70491,51183,52415
CDR20291_1366,641,554,954,984,255231,245583,308254,326861,2619,3523,5973,3917
CDR20291_1367,14,11,29,51,987,1078,1628,1459,108651,132131,298367,201499
CDR20291_1368,237,158,269,526,2299,2191,2659,2845,784,948,1960,1107
CDR20291_1369,251,324,298,428,1804,2322,4179,3305,1509,1805,2960,2337
CDR20291_1370,16700,15808,20752,23561,580,792,1409,1193,1444,2267,500,768
CDR20291_1371,42352,41558,49970,43025,1012,1509,3049,2365,485,728,199,295
CDR20291_1372,5528,6090,5428,6016,92,123,262,225,976,1455,291,612
CDR20291_1373,80549,97497,189660,155581,19,38,82,41,67,126,27,54
CDR20291_1374,531,692,1042,1029,8,4,27,18,45,60,18,37
CDR20291_1375,1855,1826,2112,2622,22,32,66,56,4,20,5,11
CDR20291_1376,12311,10983,9178,9836,1498,1795,2433,2007,51,63,14,56
CDR20291_1377,4836,4500,3472,4054,691,1320,1730,1274,834,1129,566,808
CDR20291_1378,10829,10238,7942,9852,11212,13590,24364,19886,1039,1645,421,899
CDR20291_1379,1014,1063,718,1034,38235,43219,61894,53474,8199,10078,4217,3677
CDR20291_1380,176,174,124,217,3014,3240,4929,4014,25730,31697,14847,14008
