,Deox1,Deox2,Deox3,Deox4,Chol1,Chol2,Chol3,Chol4,DMSO1,DMSO2,DMSO3,DMSO4
CDR20291_s0330,1,1,0,1,1,1,2,1,2,1,1,2
CDR20291_s0340,216,195,655,503,416,678,748,889,232,475,348,479
CDR20291_s0350,22689,27266,35307,37310,27550,60811,60556,46897,40956,23434,28745,72871
CDR20291_s0360,1,1,0,1,1,1,2,1,2,1,1,2
CDR20291_s0380,1,1,0,1,1,1,2,1,2,1,1,2
CDR20291_s0390,2871,16347,2377,2340,2540,3328,2666,1981,1268,8977,1573,1025
CDR20291_s0400,1715,3583,1028,1267,1140,1196,918,1035,1521,4078,1319,813
CDR20291_s0410,1,1,0,1,1,1,2,1,2,1,1,2
CDR20291_s0420,201,420,192,204,137,290,215,144,58,309,121,320
CDR20291_s0430,1,1,0,1,1,1,2,1,2,1,1,2
CDR20291_s0440,1,1,0,1,1,1,2,1,2,1,1,2
CDR20291_s0450,1,1,0,1,1,1,2,1,2,1,1,2
CDR20291_s0460,1,1,0,1,1,1,2,1,2,1,1,2
CDR20291_s0470,1,1,0,1,1,1,2,1,2,1,1,2
CDR20291_s0480,4758,7201,2928,3747,5806,6213,6332,5640,4703,7549,7250,4851
CDR20291_s0490,1,1,0,1,1,1,2,1,2,1,1,2
CDR20291_s0500,1,1,0,1,1,1,2,1,2,1,1,2
CDR20291_s0510,1,1,0,1,1,1,2,1,2,1,1,2
CDR20291_s0530,1,1,0,1,1,1,2,1,2,1,1,2
CDR20291_s0540,1,1,0,1,1,1,2,1,2,1,1,2
CDR20291_s0550,1,1,0,1,1,1,2,1,2,1,1,2
CDR20291_s0560,1,1,0,1,1,1,2,1,2,1,1,2
CDR20291_s0570,1,1,0,1,1,1,2,1,2,1,1,2
CDR20291_s0590,1,1,0,1,1,1,2,1,2,1,1,2
CDR20291_s0591,1,1,0,1,1,1,2,1,2,1,1,2
CDR20291_s0600,1,1,0,1,1,1,2,1,2,1,1,2
CDR20291_s0610,3580,2771,6843,5447,5336,5536,3801,4526,2759,3171,3286,4407
CDR20291_s0631,1,1,0,1,1,1,2,1,2,1,1,2
CDR20291_s0640,318,390,409,452,531,747,620,524,448,353,415,547
CDR20291_s0641,66,169,244,119,50,148,121,82,40,173,133,183
CDR20291_s0642,1,1,0,1,1,1,2,1,2,1,1,2
CDR20291_s0660,1,1,0,1,1,1,2,1,2,1,1,2
CDR20291_s0670,1,1,0,1,1,1,2,1,2,1,1,2
CLODR_0001,1223,1782,1583,1592,1569,1757,1651,1684,3093,2182,3934,3413
CLODR_0002,448,482,803,667,549,437,336,571,1034,743,1335,1064
CLODR_0003,525,242,282,371,236,120,84,141,443,267,398,249
CLODR_0004,1184,770,1234,1241,653,536,380,626,1111,489,928,828
CLODR_0005,5846,4890,4121,5067,2878,2132,1775,3017,5235,1328,4018,4255
CLODR_0006,6456,4965,5660,6343,3487,2943,2496,3778,6234,2376,5665,5215
CLODR_0007,625,276,374,513,318,154,200,319,244,154,350,220
CLODR_0008,379,198,244,363,201,116,128,209,132,85,261,156
CLODR_0009,488,89,203,256,168,47,86,112,127,84,203,95
CLODR_0020,6,7,4,7,1,1,7,2,2,9,11,2
CLODR_0055,19,37,5,5,4,1,2,2,2,18,7,10
CLODR_0058,91,63,67,83,35,37,52,68,74,22,36,61
CLODR_0160,736,486,369,486,276,181,160,274,535,252,539,505
CLODR_0265,203,120,209,448,91,96,54,99,366,104,232,420
CLODR_0279,301,116,195,316,114,64,49,111,267,78,235,249
CLODR_0286,148,151,254,246,122,136,106,100,244,120,226,352
CLODR_0288,110,98,128,145,85,69,32,72,174,81,205,159
CLODR_0294,117,65,84,162,51,57,39,48,237,49,127,156
CLODR_0301,69,47,447,171,48,147,77,76,12,11,17,46
CLODR_0309,1,1,0,1,1,2,2,1,2,1,1,2
CLODR_0321,2,11,2,4,2,6,5,2,5,2,4,2
CLODR_0324,1,2,2,3,1,3,2,2,4,2,2,5
CLODR_0338,1,15,8,2,2,3,2,2,7,8,4,2
CLODR_0339,4,1,14,7,2,10,10,8,2,7,4,22
CLODR_0340,1,3,5,3,2,2,5,1,2,5,1,2
CLODR_0344,4,2,2,3,3,2,17,2,2,2,5,5
CLODR_0355,125,86,123,118,82,86,94,75,121,94,171,105
CLODR_0369,1,5,0,1,1,1,2,1,2,3,2,2
CLODR_0393,41,187,85,96,53,65,42,47,16,95,29,17
CLODR_0397,1,2,0,1,1,1,2,1,2,2,1,2
CLODR_0416,7,5,32,11,8,14,12,9,5,8,16,15
CLODR_0417,4,5,5,5,6,1,5,5,2,1,5,12
CLODR_0444,3908,2316,3047,3552,2173,3160,3337,2844,4310,3233,4366,4741
CLODR_0446,800,390,888,833,459,739,973,723,885,737,868,1045
CLODR_0463,6,22,11,5,6,10,15,10,16,20,7,15
CLODR_0484,47,38,41,52,44,39,39,63,74,34,79,83
CLODR_0491,16,58,39,33,29,35,17,29,40,62,39,49
CLODR_0527,141,77,71,110,47,30,10,17,32,57,35,44
CLODR_0533,19,3,6,10,4,2,2,2,4,1,3,2
CLODR_0552,97,404,69,76,64,39,47,74,95,307,112,73
CLODR_0558,2,21,0,1,1,1,2,2,4,8,1,2
CLODR_0561,27,117,43,25,7,33,32,25,7,23,7,24
CLODR_0563,2,3,7,2,4,6,2,3,4,7,7,2
CLODR_0572,20,15,29,28,14,10,5,6,18,26,13,5
CLODR_0580,14,9,18,9,12,2,2,6,12,19,18,12
CLODR_0581,14,2,14,8,10,6,5,5,9,21,18,2
CLODR_0583,505,714,791,601,901,1407,1207,941,672,584,553,825
CLODR_0592,1,1,1,1,1,1,2,1,2,2,1,2
CLODR_0601,14,11,25,51,6,49,20,10,16,18,15,56
CLODR_0603,87,62,47,165,37,32,44,14,51,154,123,51
CLODR_0609,1360,473,201,822,213,735,375,307,7986,4014,6044,7268
CLODR_0612,35,8,4,20,4,5,2,4,172,115,126,63
CLODR_0617,1127,1409,862,855,856,546,417,364,742,267,597,347
CLODR_0628,147,89,649,409,287,1035,1173,887,376,291,326,1111
CLODR_0638,1,1,0,1,1,1,2,1,2,1,1,2
CLODR_0639,1,1,0,1,1,1,2,1,2,1,1,2
CLODR_0650,6,2,6,11,6,5,7,1,14,2,8,7
CLODR_0653,4,11,10,12,10,17,17,10,16,15,21,15
CLODR_0656,4,11,12,9,3,7,5,1,19,11,15,2
CLODR_0659,2,1,0,1,1,1,2,1,2,1,1,2
CLODR_0661,2,3,1,1,2,1,5,1,2,1,2,2
CLODR_0687,20,22,21,16,23,24,20,29,11,6,3,10
CLODR_0694,6,13,19,19,8,17,12,5,16,19,19,32
CLODR_0710,318,171,164,234,171,88,91,132,183,98,300,112
CLODR_0713,9,22,57,17,7,9,12,20,23,61,16,24
CLODR_0718,36,40,109,90,83,64,39,83,121,67,38,283
CLODR_0746,772,1158,1846,1107,823,2787,2224,941,661,1341,1326,2876
CLODR_0751,134,186,92,102,84,35,27,73,70,108,92,54
CLODR_0775,218,140,263,235,135,306,375,240,237,136,250,439
CLODR_0789,1494,1160,787,849,807,805,765,565,1539,1394,1552,1238
CLODR_0819,25,15,10,24,22,11,7,15,26,14,19,7
CLODR_0907,166,338,325,274,370,304,264,197,535,630,894,562
CLODR_0953,1,2,0,1,1,1,2,1,2,1,1,2
CLODR_0954,9,5,7,9,15,6,2,12,5,8,18,2
CLODR_1044,60,118,99,102,74,136,175,125,84,139,68,105
CLODR_1091,1,2,4,1,2,2,2,1,2,1,1,2
CLODR_1114,7,12,16,11,4,7,7,10,9,11,16,2
CLODR_1121,1,6,1,1,1,1,2,1,2,2,1,2
CLODR_1156,40,60,139,117,67,107,47,67,37,32,51,44
CLODR_1162,1,2,0,1,2,1,2,1,7,2,2,5
CLODR_1163,2,1,0,1,1,1,2,1,2,1,5,2
CLODR_1164,1,2,1,1,1,1,2,1,2,2,4,2
CLODR_1166,1,1,0,1,1,1,2,1,2,1,1,2
CLODR_1172,70,21,60,62,68,89,69,63,35,39,32,24
CLODR_1173,11,8,21,20,20,28,17,27,16,10,14,10
CLODR_1176,5,15,43,29,36,47,12,11,2,20,29,7
CLODR_1177,1,1,0,1,1,1,2,1,2,1,1,2
CLODR_1225,17,61,22,18,26,10,10,11,47,91,108,32
CLODR_1227,9,29,4,7,6,3,2,2,5,19,30,2
CLODR_1228,7,50,20,12,10,14,22,14,19,39,50,20
CLODR_1340,2,11,20,22,8,19,15,14,14,5,11,15
CLODR_1351,165,199,490,419,264,559,758,508,357,366,387,608
CLODR_1366,1,1,1,1,1,1,2,1,2,1,1,2
CLODR_1367,1,5,7,3,2,2,2,2,5,6,3,7
CLODR_1368,16,31,31,28,23,13,25,25,37,52,42,24
CLODR_1369,11,10,24,16,5,12,5,10,14,16,7,12
CLODR_1393,74,33,25,39,21,7,15,16,39,43,67,39
CLODR_1429,183,1202,352,383,353,554,328,478,239,808,501,229
CLODR_1446,110,260,77,98,37,31,17,36,37,99,64,37
CLODR_1462,3177,11265,4896,4798,2772,3886,2473,2343,5832,8214,8189,7568
CLODR_1469,25,18,105,105,22,70,42,69,114,106,96,193
CLODR_1474,1,2,0,2,1,1,2,1,2,1,5,2
CLODR_1507,21,9,107,58,24,35,25,46,35,43,15,90
CLODR_1530,10,5,13,11,5,1,2,3,2,2,9,5
CLODR_1532,91,63,170,121,130,135,136,152,118,110,214,90
CLODR_1533,91,93,170,145,130,189,210,183,128,167,252,112
CLODR_1534,11,3,2,5,1,1,10,7,5,9,3,5
CLODR_1536,6,5,5,9,6,14,17,15,14,10,8,20
CLODR_1537,22,37,78,64,49,89,96,81,128,92,86,127
CLODR_1538,6,1,1,1,1,3,2,6,2,7,2,2
CLODR_1539,41,12,5,9,3,2,22,19,25,11,11,10
CLODR_1540,9,2,0,2,1,1,2,6,4,2,2,2
CLODR_1543,19,3,4,9,2,3,5,23,9,3,5,5
CLODR_1548,16,16,9,7,6,10,2,7,12,9,5,10
CLODR_1550,12,5,4,9,1,1,5,4,2,1,3,5
CLODR_1555,5,4,26,15,17,18,10,14,42,17,12,29
CLODR_1560,10,12,12,11,8,15,12,12,19,15,9,24
CLODR_1563,17,8,5,12,3,3,5,14,14,5,9,20
CLODR_1566,37,24,8,24,12,9,27,48,74,17,33,44
CLODR_1569,22,37,7,13,6,4,17,16,46,16,12,15
CLODR_1574,16,17,5,11,7,7,12,9,30,36,19,24
CLODR_1576,717,262,203,285,159,100,96,105,193,412,796,168
CLODR_1578,7,22,6,3,4,1,2,1,2,20,11,2
CLODR_1593,20,35,11,14,10,13,17,13,37,37,18,10
CLODR_1598,74,89,56,55,71,58,54,71,121,203,174,98
CLODR_1607,1,1,0,1,1,1,2,1,2,1,1,2
CLODR_1614,2977,7511,2166,2577,2395,2563,2836,2228,2112,5744,3963,1553
CLODR_1615,186,174,171,178,223,227,301,204,549,527,700,454
CLODR_1618,4,2,1,43,1,3,5,1,2,2,52,5
CLODR_1634,14,27,101,44,80,173,565,423,32,20,31,66
CLODR_1701,1,1,0,1,1,1,2,1,2,1,1,2
CLODR_1702,44,52,58,45,67,67,64,64,56,69,61,56
CLODR_1703,1,1,0,1,1,1,2,1,2,1,1,2
CLODR_1708,86,52,339,273,46,191,121,179,290,307,227,481
CLODR_1758,109,168,229,203,176,230,264,338,151,433,186,134
CLODR_1769,136,104,128,123,159,111,131,145,113,125,110,44
CLODR_1771,10,2,12,16,4,5,2,3,30,24,7,12
CLODR_1773,1,1,0,1,1,1,2,1,2,1,1,2
CLODR_1774,57,30,42,58,19,50,30,35,23,59,5,29
CLODR_1787,9,18,11,8,8,15,5,9,9,16,9,12
CLODR_1795,20,25,55,30,44,83,62,191,72,111,75,132
CLODR_1805,5,9,17,13,3,14,30,10,7,7,4,17
CLODR_1815,218,396,382,469,321,530,267,299,1715,1473,1091,2036
CLODR_1857,100,121,101,102,121,127,96,109,97,97,132,107
CLODR_1858,65,73,65,58,71,76,52,62,53,65,88,71
CLODR_1860,64,91,63,64,101,91,86,90,127,90,123,105
CLODR_1897,1,25,2,1,2,3,2,1,2,14,3,2
CLODR_1898,1,33,0,2,1,2,2,2,5,16,2,7
CLODR_1900,2,8,2,2,2,4,2,1,4,4,1,2
CLODR_1901,861,781,370,433,544,517,938,792,709,544,426,596
CLODR_1905,89,155,75,72,53,58,109,79,113,74,60,81
CLODR_1906,136,221,128,110,64,87,207,131,125,97,73,151
CLODR_1910,1,3,0,1,1,1,2,2,2,7,1,2
CLODR_1911,6,34,4,1,8,12,7,9,11,18,4,2
CLODR_1912,11,82,16,11,20,16,52,38,35,52,18,27
CLODR_1913,2572,2642,3157,2337,2670,4641,7228,4780,5846,4101,2758,8638
CLODR_1914,3835,3578,3419,3012,3472,5304,8264,5342,8258,6620,4153,10229
CLODR_1916,4506,4192,4079,3882,4117,6045,8948,6042,9095,7449,5119,11362
CLODR_1918,2,9,1,2,3,2,5,3,12,12,3,5
CLODR_1919,6,11,0,1,1,1,2,1,4,6,1,2
CLODR_1920,1,7,0,1,1,1,2,1,2,3,1,2
CLODR_1921,5,21,0,1,1,1,2,1,2,15,1,2
CLODR_1922,17,57,1,1,2,2,5,4,11,37,3,2
CLODR_1924,147,256,123,119,93,127,89,75,155,175,108,105
CLODR_1925,105,316,55,58,83,106,156,105,345,305,175,200
CLODR_1926,2458,2428,1167,1280,1858,2537,2160,1558,4507,2751,2295,3127
CLODR_1927,4,17,0,1,1,3,2,1,2,4,1,10
CLODR_1930,403,2928,328,265,203,268,188,119,557,1838,1280,984
CLODR_1931,132,1076,126,95,119,196,146,84,369,605,352,640
CLODR_1933,1,1,0,1,1,1,2,1,2,1,1,2
CLODR_1935,1,2,0,1,1,1,2,1,2,1,1,2
CLODR_1936,1420,3896,630,664,664,679,662,566,2091,2513,1308,1096
CLODR_1937,509,1545,267,318,289,297,299,233,814,874,441,422
CLODR_1939,454,1547,557,408,439,854,997,585,1381,1329,826,1587
CLODR_1940,1188,3392,1386,1068,1130,2494,2960,1708,4316,3326,2344,4265
CLODR_1941,114,399,63,44,29,54,77,42,153,305,73,178
CLODR_1942,1,1,0,1,1,1,2,1,2,1,1,2
CLODR_1944,359,1365,104,125,198,194,136,158,841,871,434,271
CLODR_1946,131,486,9,18,26,35,25,15,434,671,227,112
CLODR_1947,46,242,4,3,7,17,12,10,69,210,42,44
CLODR_1950,9,29,0,1,1,1,2,3,2,14,1,2
CLODR_1956,236,317,169,226,170,170,170,192,192,355,307,137
CLODR_1959,414,583,308,396,205,151,205,359,427,370,663,493
CLODR_1962,34,157,42,48,63,65,74,59,25,59,31,17
CLODR_1964,1,3,3,4,2,2,2,5,2,2,5,2
CLODR_1971,7,10,4,1,3,2,5,4,19,16,28,2
CLODR_1973,2,6,9,9,4,4,15,6,9,2,3,7
CLODR_1977,1,7,5,4,3,2,2,2,2,1,3,2
CLODR_1989,4,7,5,5,6,9,10,4,2,1,2,7
CLODR_2017,1,10,16,17,6,31,10,2,5,9,13,5
CLODR_2021,59,27,42,41,16,5,15,15,46,91,75,15
CLODR_2032,34,20,34,33,26,14,7,27,44,91,96,39
CLODR_2042,1,1,0,1,1,1,2,1,2,1,1,2
CLODR_2056,15,85,18,10,79,162,168,91,18,42,10,17
CLODR_2078,4,4,9,9,3,2,2,2,9,3,3,5
CLODR_2085,16,28,4,8,2,3,2,2,2,24,37,7
CLODR_2088,1,1,1,1,1,1,2,1,2,2,1,2
CLODR_2089,56,40,61,62,18,31,44,59,33,49,29,85
CLODR_2091,132,245,80,83,93,102,84,69,186,376,136,71
CLODR_2092,1,10,0,1,1,1,2,1,2,3,2,2
CLODR_2098,15,44,220,520,81,506,471,536,18,79,218,295
CLODR_2100,36,42,57,59,36,46,39,45,42,30,64,63
CLODR_2102,67,38,67,91,40,41,30,50,32,22,49,44
CLODR_2108,1,1,0,1,1,1,5,1,2,3,1,2
CLODR_2112,14,10,49,28,21,47,32,37,39,45,46,88
CLODR_2134,1,1,0,1,1,1,2,1,2,1,1,2
CLODR_2135,1,1,0,1,1,1,2,1,2,1,1,2
CLODR_2136,10,9,3,7,5,3,2,2,14,10,5,2
CLODR_2140,2,2,0,3,2,1,2,1,2,4,2,2
CLODR_2148,316,262,819,408,349,1749,1054,667,123,169,212,312
CLODR_2164,142,104,89,126,84,64,67,77,104,115,131,68
CLODR_2198,5,2,1,3,1,1,2,1,2,2,4,2
CLODR_2212,146,213,155,247,76,219,185,176,204,327,83,583
CLODR_2213,1,2,0,1,1,1,2,1,2,1,1,2
CLODR_2223,188,156,222,190,229,321,355,269,239,219,238,222
CLODR_2224,1,1,7,1,1,2,5,2,2,4,1,5
CLODR_2226,41,11,60,56,33,30,17,24,11,36,31,15
CLODR_2236,9,11,21,9,6,14,20,12,5,7,4,12
CLODR_2253,16,33,10,9,4,2,2,2,5,70,5,7
CLODR_2267,6,4,9,7,3,1,2,2,2,1,3,5
CLODR_2275,175,335,623,394,411,708,691,361,865,503,1225,1790
CLODR_2282,105,120,197,171,229,148,30,34,128,89,377,154
CLODR_2320,4,11,59,14,15,58,59,20,4,3,3,15
CLODR_2365,7,1,7,2,2,3,2,2,2,3,5,2
CLODR_2373,1,4,0,3,1,1,2,1,2,1,2,2
CLODR_2386,109,70,109,106,179,181,160,233,44,58,38,24
CLODR_2393,1,1,0,1,1,1,2,1,2,1,1,2
CLODR_2397,1,1,1,1,1,1,2,1,2,1,1,2
CLODR_2404,178,186,194,207,82,183,180,152,125,200,114,273
CLODR_2405,158,179,133,161,76,152,165,123,106,175,108,181
CLODR_2446,2947,1650,14597,6115,6143,15250,5638,2861,4537,9010,5303,14109
CLODR_2449,41,85,29,91,18,45,62,79,160,46,2,547
CLODR_2456,153,96,143,195,136,127,52,75,419,175,537,374
CLODR_2485,21,2,34,27,11,12,2,12,25,17,16,10
CLODR_2490,1,1,0,1,1,1,2,1,2,1,1,2
CLODR_2491,1,1,0,1,1,1,2,1,2,1,1,2
CLODR_2492,1,2,0,1,1,1,2,1,2,1,1,2
CLODR_2515,70,41,63,58,16,22,17,16,60,90,70,34
CLODR_2544,251,167,187,211,116,72,99,169,102,101,138,93
CLODR_2570,32,50,21,28,27,37,77,62,12,28,14,12
CLODR_2608,26,29,23,22,19,9,7,8,46,23,35,51
CLODR_2630,6,4,12,12,3,2,5,4,5,5,11,5
CLODR_2637,81,94,149,119,78,85,96,93,160,143,229,159
CLODR_2641,36,26,15,24,59,32,54,110,32,14,16,17
CLODR_2672,81,2115,32,21,26,28,22,26,76,1124,60,51
CLODR_2766,402,232,287,291,188,150,141,116,280,186,510,271
CLODR_2781,255,301,597,401,405,428,217,245,512,427,1252,659
CLODR_2795,1,6,1,1,1,1,2,1,2,2,1,2
CLODR_2802,1,1,2,1,1,1,2,1,2,1,1,2
CLODR_2834,68075,51922,65991,82557,76922,88975,55200,56907,140405,83935,66579,171296
CLODR_2853,6,8,5,6,4,1,2,6,11,3,4,7
CLODR_2873,1,2,1,1,1,1,2,1,2,2,1,2
CLODR_2919,839,395,1964,1278,1013,2983,1748,1471,1271,1146,1045,4268
CLODR_2930,4,23,20,15,12,2,2,4,5,19,17,12
CLODR_2940,24,110,10,8,9,1,10,5,18,116,12,10
CLODR_2941,34,98,9,12,14,3,12,1,7,103,14,5
CLODR_2944,70,41,64,58,16,22,17,16,60,89,70,34
CLODR_2952,115,120,137,136,189,258,267,253,83,74,74,139
CLODR_2960,66,16,207,131,72,132,49,112,30,58,32,85
CLODR_2982,212,130,497,376,167,240,222,222,186,91,209,291
CLODR_3008,11,15,39,27,17,21,5,12,32,21,33,51
CLODR_3048,9,6,5,11,5,4,10,10,12,4,19,15
CLODR_3049,15,13,29,22,17,27,12,28,21,15,18,22
CLODR_3074,518,325,475,456,260,420,459,381,580,357,573,713
CLODR_3096,5,2,5,3,2,3,2,2,58,66,3,49
CLODR_3154,79,37,100,117,45,44,32,82,83,14,44,78
CLODR_3155,97,36,99,146,52,34,25,76,98,22,49,83
CLODR_3179,1,1,0,1,1,1,2,1,2,1,1,2
CLODR_3185,151,302,190,170,203,355,210,120,241,247,514,229
CLODR_3186,383,1021,794,629,676,929,474,440,489,706,829,850
CLODR_3208,16,26,18,20,13,13,12,8,67,56,37,39
CLODR_3210,1,15,0,1,1,1,2,1,2,8,1,5
CLODR_3211,5,13,2,3,1,1,2,2,2,9,1,2
CLODR_3212,1,7,0,1,1,2,2,1,2,5,1,2
CLODR_3213,2,15,3,1,3,3,5,2,2,10,5,2
CLODR_3216,59,199,107,115,87,104,128,87,276,180,220,256
CLODR_3217,849,1241,887,832,883,1095,990,775,2328,1838,1687,2151
CLODR_3218,4,2,7,7,1,6,5,1,2,2,4,2
CLODR_3239,76,68,95,102,77,39,17,30,67,27,128,88
CLODR_3242,9,7,10,9,16,7,2,4,28,30,26,27
CLODR_3243,54,56,36,28,55,43,47,38,171,205,203,112
CLODR_3244,41,50,23,22,29,42,59,23,102,124,122,73
CLODR_3247,22,8,18,14,12,15,15,8,25,19,37,15
CLODR_3248,4,7,4,4,3,2,5,4,7,2,5,2
CLODR_3249,11,13,12,11,12,7,12,7,21,16,22,15
CLODR_3250,15,17,17,12,15,16,15,7,32,21,21,15
CLODR_3255,2,3,4,4,4,6,7,3,9,9,7,2
CLODR_3256,37,47,25,28,26,15,15,26,42,28,47,44
CLODR_3257,5,20,21,19,12,10,15,16,12,22,19,12
CLODR_3260,5,2,4,4,3,2,2,1,14,14,9,5
CLODR_3261,5,5,5,3,3,7,2,5,5,1,3,2
CLODR_3262,5,5,4,3,2,1,2,2,2,2,8,2
CLODR_3265,6,2,8,7,7,3,2,2,5,2,3,7
CLODR_3266,52,40,65,51,40,66,35,53,134,114,89,229
CLODR_3273,1,1,0,1,1,1,2,1,2,1,1,2
CLODR_3279,6,4,10,16,6,2,2,5,12,5,7,10
CLODR_3283,31,46,29,28,23,29,39,17,47,54,34,24
CLODR_3286,9,7,17,16,24,22,42,57,14,5,15,22
CLODR_3303,50,417,32,22,15,14,12,14,40,492,33,32
CLODR_3322,26,19,30,28,13,3,2,3,12,31,24,7
CLODR_3330,4,3,10,5,6,4,2,6,4,4,4,2
CLODR_3343,7,6,14,13,7,11,2,1,12,19,13,5
CLODR_3354,2,2,3,3,2,1,2,2,2,7,1,2
CLODR_3384,13579,4644,12759,14307,10579,6473,8385,9190,3199,1342,2907,327
CLODR_3389,20,28,12,10,9,5,2,3,9,16,12,2
CLODR_3410,1,22,1,3,2,1,2,2,2,23,2,2
CLODR_3449,348,229,332,349,246,362,464,298,322,149,281,276
CLODR_3466,565,368,609,592,803,702,597,663,904,562,594,977
CLODR_3492,22,68,79,35,20,56,42,24,14,68,56,68
CLODR_3496,5,20,12,3,4,3,2,5,11,25,9,10
CLODR_3505,135,87,131,158,59,91,133,115,56,122,52,129
CLODR_3555,9,14,44,33,18,32,17,29,21,21,16,20
CLODR_3556,31,16,75,45,46,100,27,37,28,45,27,61
CLODR_3571,1,11,6,5,1,7,7,5,2,5,1,5
CLODR_3579,4,11,4,9,6,3,5,8,2,5,3,7
CLODR_3582,7,28,1,1,2,1,5,5,5,17,2,2
CLODR_3583,2,11,2,3,1,2,2,3,2,7,1,2
CLODR_3586,85,41,65,44,232,154,94,119,44,45,36,37
CLODR_3623,1514,3414,3011,3098,1395,2678,1960,1837,4054,3873,5523,8457
CLODR_3663,20,15,19,41,13,7,5,7,7,10,25,10
CLODR_3664,1,1,1,1,1,1,2,2,4,2,1,2
CLODR_3728,24,61,22,18,7,13,12,13,7,41,9,2
CLODR_3756,1,2,0,1,1,1,2,2,2,1,1,2
CLODR_3759,1,2,0,3,1,1,2,1,2,5,1,5
CLODR_3760,836,630,838,755,537,547,341,298,1491,1241,1057,1272
CLODR_3764,4,20,1,3,1,1,2,2,7,7,2,2
CLODR_3767,11,22,0,2,2,1,5,2,4,15,1,5
CLODR_3770,5,10,5,5,4,10,2,7,4,3,4,2
CLODR_3772,6,13,1,1,4,1,2,3,4,4,2,2
CLODR_3774,1,1,0,1,1,1,2,1,2,1,1,2
CLODR_3775,1,2,0,1,1,1,2,1,2,1,2,2
CLODR_3784,20,63,5,3,3,7,17,7,12,36,6,12
CLODR_3786,12,65,7,7,10,10,20,11,25,26,17,15
CLODR_3788,5,25,2,2,2,2,5,3,12,30,4,7
CLODR_3789,12,37,5,10,7,9,17,11,21,37,9,15
CLODR_3790,24,44,10,10,16,16,12,10,32,60,12,15
CLODR_3792,1,4,0,1,1,1,2,1,4,2,1,2
CLODR_3797,40,68,101,94,69,134,168,133,76,54,96,110
CLODR_3812,1,1,4,1,1,2,2,1,2,2,3,2
SQ1002,1,1,0,1,1,1,2,1,2,1,1,2
SQ1005,247,610,501,321,169,409,346,276,250,681,280,251
SQ1021,1,1,0,1,1,1,2,1,2,1,1,2
SQ1033,1,1,0,1,1,1,2,1,2,1,1,2
SQ1038,4,10,10,3,4,21,12,6,21,10,5,20
SQ1051,12,16,15,12,6,1,2,4,5,17,18,5
SQ1076,19,43,135,64,96,235,676,494,55,31,48,98
SQ1241,1,1,0,1,1,1,2,1,2,1,1,2
SQ1296,1,1,0,1,1,1,2,1,2,1,1,2
SQ1316,1,1,0,1,1,1,2,1,2,1,1,2
SQ1339,1,1,0,1,1,1,2,1,2,1,1,2
SQ1369,1,1,0,1,1,1,2,1,2,1,1,2
SQ1376,1,1,0,1,1,1,2,1,2,1,1,2
SQ1498,1,1,0,1,1,1,2,1,2,1,1,2
SQ1517,7,5,9,3,2,5,7,5,2,4,3,2
SQ1549,1,1,0,1,1,1,2,1,2,1,1,2
SQ1628,1,1,0,1,1,1,2,1,2,1,1,2
SQ1633,39,35,106,56,43,73,37,39,35,26,42,83
SQ1648,1,1,0,1,1,1,2,1,2,1,1,2
SQ1653,1,1,0,1,1,1,2,1,2,1,1,2
SQ1656,567,277,243,391,211,254,276,268,292,620,306,359
SQ173,64,52,244,172,67,326,190,148,109,48,57,356
SQ178,1,1,0,1,1,1,2,1,2,1,1,2
SQ1828,1,1,0,1,1,1,2,1,2,1,1,2
SQ1870,1,3,1,1,1,2,7,2,2,1,4,2
SQ190,1,7,2,1,1,2,2,1,12,6,1,12
SQ1900,1,1,0,1,1,1,2,1,2,1,1,2
SQ1905,1,1,0,1,1,1,2,1,2,1,1,2
SQ1999,147,1217,8,30,22,12,15,20,104,672,38,59
SQ2150,1,1,0,1,1,1,2,1,2,1,1,2
SQ2155,1,1,0,1,1,1,2,1,2,1,1,2
SQ2179,1,1,0,1,1,1,2,1,2,1,1,2
SQ22,1,1,0,1,1,1,2,1,2,1,1,2
SQ2224,1,1,0,1,1,1,2,1,2,1,1,2
SQ2303,1,1,0,1,1,1,2,1,2,1,1,2
SQ2424,11,18,28,11,10,9,2,8,4,7,8,17
SQ2429,527,260,219,345,205,238,249,258,271,565,276,347
SQ2503,1,1,0,1,1,1,2,1,2,1,1,2
SQ2533,40,103,130,102,40,79,37,38,55,87,134,139
SQ327,106,117,116,81,113,127,67,59,91,359,172,190
SQ367,81,353,487,1193,756,927,311,493,62,562,1006,454
SQ403,5,8,5,5,4,4,2,3,5,8,8,7
SQ408,55,54,334,191,122,671,765,487,146,94,116,625
SQ431,1,1,0,1,1,1,2,1,2,1,1,2
SQ437,1,4,1,1,1,1,2,1,2,1,1,2
SQ476,7,17,10,17,6,21,5,6,7,16,22,7
SQ495,1,1,0,1,1,1,2,1,2,1,1,2
SQ523,1,1,0,1,1,1,2,1,2,1,1,2
SQ623,112,49,51,60,61,133,79,58,51,81,33,39
SQ666,1,1,0,1,1,1,2,1,2,1,1,2
SQ670,1,1,0,1,1,1,2,1,2,1,1,2
SQ726,1,1,0,1,1,1,2,1,2,1,1,2
SQ733,1,1,0,1,1,1,2,1,2,1,1,2
SQ808,1,1,0,1,1,1,2,1,2,1,1,2
SQ814,7,2,2,5,3,3,2,2,2,1,1,2
