,Deox1,Deox2,Deox3,Deox4,Chol1,Chol2,Chol3,Chol4,DMSO1,DMSO2,DMSO3,DMSO4
CDR20291_0374,12346,15900,33989,22593,16683,40305,39335,21597,28020,16476,23172,47180
CDR20291_0375,243,111,228,219,227,131,118,139,135,192,263,112
CDR20291_0376,957,818,1110,997,693,1074,1148,836,992,873,1322,1443
CDR20291_0377,10594,6948,12733,11849,7168,10787,11992,10435,13221,10450,13287,15103
CDR20291_0378,1053,1407,1397,1241,975,1190,842,703,1467,1323,1969,1707
CDR20291_0379,689,181,659,627,434,173,193,243,259,197,650,225
CDR20291_0380,110,46,179,159,102,177,106,121,51,52,100,107
CDR20291_0381,193,124,257,214,281,310,163,160,225,243,211,195
CDR20291_0382,245,274,284,252,219,314,388,247,295,343,373,317
CDR20291_0383,242,244,186,158,170,234,225,172,302,371,398,220
CDR20291_0384,316,196,260,243,265,195,222,221,215,264,413,146
CDR20291_0385,34,21,35,43,76,60,32,40,32,15,28,32
CDR20291_0386,4,2,9,5,7,3,12,9,2,1,4,2
CDR20291_0387,49,30,44,37,76,47,25,35,18,20,24,29
CDR20291_0388,10,3,4,3,12,4,2,5,4,3,3,2
CDR20291_0389,34,31,32,32,36,37,39,32,25,29,18,24
CDR20291_0390,5,7,10,4,4,5,2,8,4,2,5,7
CDR20291_0391,12,5,5,3,3,1,2,5,9,2,3,2
CDR20291_0392,25,41,17,16,18,20,17,17,28,27,22,12
CDR20291_0393,11,15,20,13,4,9,2,5,12,9,14,7
CDR20291_0394,145,121,165,130,88,75,67,51,251,268,264,229
CDR20291_0395,233,219,276,270,156,149,111,127,172,107,152,227
CDR20291_0396,334,534,279,296,194,143,156,196,341,304,461,361
CDR20291_0397,16,49,27,22,17,19,25,22,28,34,40,51
CDR20291_0398,1,2,2,1,2,1,2,1,2,4,3,2
CDR20291_0399,44,43,41,31,35,32,32,20,37,55,80,12
CDR20291_0400,72,94,98,96,86,106,114,89,32,47,70,51
CDR20291_0401,167,222,257,216,193,155,222,187,171,147,282,186
CDR20291_0402,333,328,700,523,202,303,343,336,436,303,449,662
CDR20291_0403,326,219,444,394,170,172,160,218,313,153,296,393
CDR20291_0404,162,132,321,259,83,90,79,106,139,71,127,190
CDR20291_0405,6953,4652,9790,8395,4493,7176,7879,7068,8519,7077,8672,9863
CDR20291_0406,725,613,590,499,52,44,22,37,44,40,30,42
CDR20291_0407,341,281,479,393,158,107,81,103,162,144,139,107
CDR20291_0408,1081,656,1157,911,371,413,276,264,552,630,480,388
CDR20291_0409,20,19,11,14,9,7,10,5,21,19,2,22
CDR20291_0410,24,30,11,22,4,4,2,13,63,23,3,49
CDR20291_0411,37,98,30,37,14,22,27,21,83,84,22,66
CDR20291_0412,172,786,259,266,219,237,202,250,280,542,440,239
CDR20291_0413,102,177,162,109,105,122,99,86,42,174,98,83
CDR20291_0414,183,342,104,130,87,101,96,67,204,372,300,151
CDR20291_0415,55,99,82,57,30,41,47,32,51,123,91,83
CDR20291_0416,105,305,145,131,76,89,62,67,181,277,255,183
CDR20291_0417,9,23,21,15,17,12,12,14,26,37,14,17
CDR20291_0418,1,6,12,7,5,14,15,10,9,6,9,17
CDR20291_0419,111,119,144,118,75,70,49,48,157,173,96,159
CDR20291_0420,81,162,49,33,32,42,37,31,106,144,92,66
CDR20291_0421,126,312,75,75,76,78,128,77,169,253,158,142
CDR20291_0422,148,395,91,97,82,98,156,91,220,282,204,164
CDR20291_0423,356,530,299,271,347,318,222,207,726,588,724,613
CDR20291_0424,402,735,410,363,458,455,481,285,1177,840,1215,999
CDR20291_0425,9,25,14,12,8,13,15,10,14,14,13,7
CDR20291_0426,1,5,1,1,2,1,2,3,2,2,4,2
CDR20291_0427,4,15,16,24,8,20,10,27,28,12,24,15
CDR20291_0428,14,11,42,39,21,25,17,30,32,7,33,27
CDR20291_0429,29,24,56,40,28,42,22,29,14,14,22,32
CDR20291_0430,698,652,1511,1418,644,1182,955,646,549,600,358,972
CDR20291_0431,57,322,49,53,43,59,42,26,53,197,109,100
CDR20291_0432,155,197,586,445,532,1323,1340,856,209,217,407,361
