,E1,T20,T5,E12,T14,E14,T6,E23,T10,E15,T11,E25,T15,E16,T61,E24,T42
BN165_1040054,1,1,8,14,12,1,4,258,487,2,30,1,113,2,44,14,1
BN165_1040055,1,1,30,12,52,1,3,219,450,6,20,11,105,1,137,8,19
BN165_1040056,1,2,6,16,4,1,24,276,278,1,76,6,1,2,137,5,12
BN165_1040058,1,8,1,5,17,1,3,303,388,1,42,7,1,1,15,20,45
BN165_1040060,1,11,1,4,37,7,8,296,337,1,29,9,1,1,12,38,52
BN165_1040061,7,5,5,4,358,14,7,230,268,1,45,6,4,10,2,33,1
BN165_1040062,8,1,3,4,95,9,14,609,280,1,24,17,22,8,37,4,36
BN165_1040064,8,1,1,1,230,5,17,7,366,1,27,1,17,918,20,2,36
BN165_1040066,1,1,2,2,341,18,24,13,456,1,13,1,32,1299,89,1,65
BN165_1040067,1,1,1,2,1145,10,19,1,362,2,21,1,38,2385,91,1,9
BN165_1040068,31,1,1,1,1218,9,52,1,373,61,3,1,20,1427,6,2,2
BN165_1040069,25,1,2,1,978,6,1,1,425,17,7,1368,1,1527,28,2,1
BN165_1040070,21,1,2,1,10,17,18,1,21,18,4,11,2,2555,28,2,2
BN165_1040072,38,1,17,1,3,28,41,55,25,1,3,72,4,3001,248,1,1
BN165_1040073,59,1,2,1,4,30,33,78,22,88,4,1,7,2880,31,1,4
BN165_1040074,70,1,11,1,10,125,33,3,18,119,1,8,3,19,5,13,1
BN165_1040077,49,1,14,1,13,4,22,2,367,4,2,2,2,372,5,11,2
BN165_1040078,61,1,1,2,22,4,4,8,502,42,8,3,25,4,3,751,6
BN165_1040079,1,1,4,3,25,6,14,4,7,1,9,2,72,5,2,1459,3
BN165_1040080,1,1,328,5,5,3,10,3,10,2,327,1,138,7,12,2298,12
BN165_1040081,1,1,158,8,3,9,69,2,20,1,55,2,6,1,30,1674,2
BN165_1040082,4,1,158,6,6,16,307,6,8,1,10123,2,6,3,66,1897,1
BN165_1040084,264,1,9,9,252,11,369,9,60,1,7,2,1,11,165,3006,1
BN165_1040085,1,1,2,18,141,14,446,8,46,2,253,2,1,15,150,3536,3
BN165_1040086,1,1,20,1,201,8,366,267,1,1,186,2,21,87,317,3091,3
BN165_1040089,1,2,1,1,22,1,492,13,5,1,168,1,43,4,37,22,2
BN165_1040091,131,78,1,1,3,14,15,6,2,3,73,1,5,1,5,329,15
BN165_1040092,338,6,4,1,146,13,32,13,2,1,3,2,1,1,1,6,9
BN165_1040093,1,3,4,1,3,1,236,4,4,1,3875,8,1,1,6,7,15
BN165_1040094,1,7,5,4,3,26,236,31,8,4,2,3,1,1,8,12,18
BN165_1040096,5,370,5,2,7,14,1,40,5,299,3,33,1,1,5,1,17
BN165_1040097,3,140,4,1,9,23,179,32,82,66,1,2,1,1,44,5,10
BN165_1040098,4,88,5,4,26,17,420,38,5,44,1,1,21,1,28,20,22
BN165_1040099,63,104,8,3,13,40,62,16,5,38,1,1,1,1,45,20,26
BN165_1040100,31,173,6,5,50,41,44,4,1,10,1,1,1,1,57,101,3
BN165_1040101,14,1,15,7,122,13,3,39,1,18,1,1,1,11,48,5,63
BN165_1040102,40,4,9,18,26,18,338,21,1,26,35,1,1,1,32,1,48
BN165_1040103,48,3,15,8,11,39,2,1,1,2,3,1,1,1,68,1,50
BN165_1040104,40,7,4,50,23,43,10,1204,23,10,7,116,47,1,88,1,55
BN165_1040105,36,212,1,8,4,7,9,65,4,7,3,1,22,1,13,1,51
BN165_1040107,6,1,1,8,7,6,95,27,1,24,3,1,5,1,141,1,66
BN165_1040108,9,1,1,207,87,5,85,41,1,16,7,1,23,2,108,1,30
BN165_1040110,1,1,1,258,4,17,4,37,40,20,1,1,2,1,119,1,55
BN165_1040111,1,9,1,236,2,9,3,72,1,36,1,1,20,1,124,1,62
BN165_1040112,7,1,2,856,2,18,3,76,1,16,1,1,141,1,117,1,146
BN165_1040113,4,1,6,1394,1,18,3,12,1,20,1,1,40,1,121,17,26
BN165_1040114,4,41,2,1238,7,6,2,21,1,5,2,1,6,1,107,1,136
BN165_1040119,1,2,8,1199,2,5,3,56,1,17,3,1,1,1,98,1,92
BN165_1040120,1,8,8,70,2,3,48,67,3,2,2,1,2,6,140,1,57
BN165_1040121,1,2,71,59,20,8,17,13,1,4,4,1,6,1,275,1,129
BN165_1040122,1,4,87,6,117,20,10,10,1,2,11,2,7,1,60,2,33
BN165_1040123,1,23,9,1,6,2,16,12,1,1,12,1,7,1,182,2,1666
BN165_1040124,3,1,13,54,3,1,44,36,1,2,14,1,9,3,191,3,20
BN165_1040125,14,1,13,27,113,1,44,4,1,1,18,1,2,5,144,3,29
BN165_1040126,6,3,8,266,117,4,32,22,1,1,28,1,2,4,265,1,40
BN165_1040127,1,1,3,249,327,6,18,19,1,6,16,1010,3,5,44,1,25
BN165_1040128,1,9,1,57,226,1,30,272,6,5,68,7,123,8,3542,2,41
BN165_1040129,1,5,2,71,137,1,1,16,142,269,1,12,83,1,42,5,34
BN165_1040130,1,3,2,16,6,4,3,9,3,37,34,10,87,1,79,1,22
BN165_1040131,1,4,40,36,1,1,6,14,2,9501,48,1,12,3,98,1,41
BN165_1040132,1,2,10,26,1,1,1,1,2,3,34,5,2,1,49,1,56
BN165_1040133,1,11,19,4,1,5,1,1,1,167,34,4,108,1,99,3,80
BN165_1040134,1,49,3,1,1,6,1,1,2,144,17,1,1,1,78,5,34
BN165_1040135,1,19,46,1,3,68,5,4,2,105,7,1,1,2,61,6,124
BN165_1040136,1,32,45,1,2,100,5,11,1,50,11,1,3,7,99,5,62
BN165_1040137,1,1,2,1,63,117,14,21,1,1,51,1,3,6,122,8,43
BN165_1040138,1,17,27,1,47,341,5,1,2,3471,1283,1,19,1,151,1,103
BN165_1040139,1,18,1,1,3,487,19,13,1,2,1719,3,12,1,77,7,31
BN165_1040140,1,81,2,3,26,500,43,1,1,5,1520,8,38,1,191,2,44
BN165_1040141,1,12,1,1,28,446,68,1,5,6,1166,1,107,1,120,1,127
BN165_1040142,1,9,1,1,7,43,49,1,1,9,2279,1,41,1,89,3,138
BN165_1040143,1,7,1,604,12,39,84,1,1,10,14,1,11,8,148,2,72
BN165_1040145,1,6,1,65,21,5,6,587,2,16,118,2,16,1,52,3,82
BN165_1040146,1,18,1,50,4,7,74,868,1,8,118,3,2,16,54,1,67
BN165_1040147,5,5,1,12,1,2,108,28,4,41,2,1,4,1,171,13,43
BN165_1040148,67,30,1,24,2,23,4,27,6,1,5,2,43,1,203,10,20
BN165_1040149,7,1,1,17,11,17,57,23,1,12,22,2,1,1,110,1,61
BN165_1040150,3,1,1,8,58,114,1,63,1,42,7,2,4,1,104,1,43
BN165_1040151,12,4,170,15,98,46,5,72,1,24,3,1,1,1,131,1,59
BN165_1040152,169,1,23,10,63,30,2,163,1,22,40,1,1,3,82,1,48
BN165_1040153,133,2,21,30,55,43,3,643,1,11,3,1,8,5,29,1,33
BN165_1040154,110,19,5,47,66,3,1,765,1,5,6,1,34,3,91,9,31
BN165_1040155,159,6,8,10,78,22,2,56,1,7,8,18,2,2,96,1,25
BN165_1040156,182,73,5,18,78,10,2,37,1,41,43,12,1,2,106,18,38
BN165_1040157,1,3,1,13,58,4,2,1139,1,657,61,4,63,4,99,1,40
BN165_1040158,3,2,2,9,32,1,4,22,1,657,24,5,48,11,67,1,43
BN165_1040159,3,3,3,4,34,1,1,39,1,1396,27,133,154,16,64,1,41
BN165_1040161,9,44,4,15,28,1,2,898,20,1110,7,188,125,4,54,2,20
BN165_1040162,262,4,9,2,819,1,698,16,1,865,3,159,89,4,54,1,36
BN165_1040163,1,53,5,1,1086,1,127,19,1,1830,29,549,1,3,96,2,7
BN165_1040164,1,1,8,1,4,1,103,69,5,8,1,904,1,397,96,2,46
BN165_1040165,1,7,5,2,1,2,25,242,13,89,1,761,1,397,95,2,1
BN165_1040166,21,34,1,3,1,1,34,57,16,89,9,749,1,16,47,2,4
BN165_1040167,1,4,1,5,2,1,42,1,1,1,1,30,1,28,103,3,5
BN165_1040168,1,1,5,3,6,365,29,1,1,1,1,27,1,1,25,1,2
BN165_1040169,59,2,1,2,2739,61,45,1,1,17,1,2,34,2,91,2,1
BN165_1040170,2,1,1,19,69,47,35,2,20,1,1,3,21,5,4,1,1
BN165_1040171,2,1,1,30,1098,10,56,1,16,1,1,2,1,6,15,3,8
BN165_1040172,2,2,1,27,17,16,71,1,10,15,66,1,7,6,22,21,3
BN165_1040173,3,1,3,19,34,16,23,1,2,1,13,2,8,1,5,1,1
BN165_1040174,10,1,2,16,6,20,27,11,5,4,13,4,1,5,2,3,7
BN165_1040175,1,1,109,2,56,22,20,81,11,4,15,6,3,1,3,5,2
BN165_1040176,1,3,4,4,45,16,6,227,1,17,29,1,7,1,58,4,3
BN165_1040177,1,1,6911,7,23,34,991,7,1,41,9,1,11,1,11,1,2
BN165_1040178,1,1,2,79,13,50,55,11,4,15,14,3,3,2,1,7,2
BN165_1040179,8,1,1,608,13,9,4,29,7,6,1,5,7,7,18,20,4
BN165_1040180,6,6,1,681,4,11,3,76,7,2,3,6,27,5,6,107,3
BN165_1040181,1,8,1,740,5,9,15,126,8,18,2,6,50,8,32,16,3
BN165_1040182,1,1,3,358,9,3,23,50,10,1,2,4,1,4,15,7,12
BN165_1040183,1,1,4,1073,25,11,18,84,12,1,1,4,20,9,23,20,1
BN165_1040184,4,9,1,9,10,1,21,94,14,1,6,2,14,9,44,7,1
BN165_1040185,17,1,1,27,64,1,123,90,17,1,4,2,20,6,28,59,1
BN165_1040186,11,3,1,182,6,1,68,40,19,3,14,1,22,1,38,23,1
BN165_1040187,11,1,7,182,2,6,59,194,1,1,6,2,15,4,85,31,1
BN165_1040188,3,1,5,8,1,1,215,269,2,1,21,2,15,16,6,28,4
BN165_1040189,19,1,6,510,1,2,26,9,2,4,68,1,1,247,2,41,26
BN165_1040190,26,5,12,876,1,4,473,132,2,285,151,1,1,247,1,6,22
BN165_1040191,76,10,8,29,1,6,297,1,4,1,11,1,1,247,1,11,5
BN165_1040192,24,6,2,87,29,5,488,1,239,1,5,1,2,14,2,37,2
BN165_1040193,16,17,5,8,32,121,268,3,2,1,9,1,1176,14,1,4,3
BN165_1040194,13,1,7,469,35,182,342,1,5,1,17,1,23,14,71,95,3
BN165_1040195,12,1,4,3,25,12,511,13,5,2,26,1,45,14,94,5,1
BN165_1040196,29,1,8,5,6,19,122,6,1,1,30,1,6,14,15,9,2
BN165_1040197,7,1,1,4,12,14,105,15,1,1,17,1,5,14,4,11,2
BN165_1040198,26,1,1,56,27,32,171,1,1,1,94,1,7,4,8,1,4
BN165_1040199,1,55,1,52,2,30,59,4,5,5,10,1,93,4,11,9,1
BN165_1040200,1,1,9,2,3,52,46,3,1,1,38,2,138,4,5,7,5
BN165_1050001,4,5,2,3,7,163,76,15,3,1,249,2,199,10,5,54,23
BN165_1050002,1,1,4,1,11,213,415,1,2,1,17,3,491,10,8,1,8
BN165_1060001,2,2,1,1,11,12,350,1,225,1,777,3,728,4,11,1,10
BN165_1060002,9,1,2,2,11,10,492,43,2,1,401,3,655,5,5,1,4
BN165_1060003,12,1,2,3,11,324,143,15,4,39,894,7,665,3,13,13,6
BN165_1060004,21,1,4,17,12,11,134,26,1,8,400,1,33,5,79,1,4
BN165_1070001,4,1,4,9,12,25,3,10,1,9,282,1,32,6,26,15,10
BN165_1070002,3,8,1,4,12,216,4,68,1,7,1106,1,3,6,32,2,6
BN165_1070003,1,1,2,6,49,12,34,170,1,17,136,1,13,1,13,1,14
BN165_1070004,42,11,2,50,41,12,546,146,1,7,86,1,2,2,13,1,4
BN165_1070005,1,34,1,50,18,33,37,86,1,10,224,1,4,1,27,1,14
BN165_1070006,2,4,2,11,18,82,42,255,1,1,102,1,4,1,35,3,4
