,E1,T20,T5,E12,T14,E14,T6,E23,T10,E15,T11,E25,T15,E16,T61,E24,T42
BN165_760009,75,3,596,17,17,2,1,11,16,4,9,1,4,19,8,1,26
BN165_760010,5,6,608,81,3,1,45,17,1,6,10,4,1,17,23,2,133
BN165_760011,235,56,133,1016,4,2,52,36,2,7,3,6,1,15,23,3,70
BN165_760012,125,96,449,61,29,2,1,14,33,2,7,5,1,1,9,2,52
BN165_760013,247,26,548,8,23,1,1,33,1,5,2,9,2,3,13,1,23
BN165_760014,124,35,852,11,22,2,73,3,30,3,13,19,1,17,182,4,25
BN165_760015,118,62,579,76,17,2,181,16,14,8,4,28,7,29,685,2,41
BN165_760016,253,41,547,1,47,1,46,30,13,3,5,10,8,144,63,1,26
BN165_760017,146,26,618,1,34,1,20,76,11,3,28,10,4,82,12,1,23
BN165_760018,146,129,14,1,9,1,11,2,19,18,22,5,9,108,23,1,61
BN165_760019,181,108,21,1,196,1,40,147,35,16,16,11,3,73,15,2,10
BN165_760020,53,5,12,1,6,4,15,148,1,10,17,14,3,36,38,1,5
BN165_760021,34,1,14,1,1,5,12,67,1,13,11,1,4,5,11,4,60
BN165_760022,79,10,650,9,2,11,3,39,3,6,8,3,1,1,22,6,29
BN165_760023,124,66,773,7,51,7,22,72,2,27,33,4,1,1,15,4,27
BN165_760024,104,1,4,2,1,15,13,1602,2,7,14,7,1,1,27,3,3
BN165_760025,120,1,9,6,53,7,187,1247,1,13,22,4,2,13,69,3,6
BN165_760026,39,2,41,3,31,6,162,1499,1,1,2,18,2,16,289,1,8
BN165_760027,54,1,4,5,23,18,24,2155,5,2,4,17,1,1,479,1,2
BN165_760028,1,6,10,8,25,17,40,297,6,7,11,19,5,8,66,1,2
BN165_760029,2,4,3,6,26,1,49,81,32,14,22,5,7,5,140,1,47
BN165_760030,1,7,11,3,60,57,10,116,26,3,5,7,1,18,159,1,242
BN165_760031,1,1,5,4,1,55,8,31,15,1226,1291,4,2,1,103,3,22
BN165_760032,218,1,1,1,4,28,270,65,92,2,4,6,5,5,103,1,3
BN165_760033,24,3,3,15,3,17,80,85,9,82,11,6,3,2,67,1,4
BN165_760034,26,9,1,6,1,31,21,41,21,55,91,1,5,6,75,1,4
BN165_760035,19,1,2,7,1,375,13,39,23,66,73,1,45,21,99,1,18
BN165_760036,1093,2,1,6,1,323,5,66,7,10,81,1,16,21,74,3,5
BN165_760037,708,24,5,7,1,428,2,41,7,5,11,1,14,9,129,2,13
BN165_760038,1839,7,4,15,2,460,59,60,5,2,7,1,14,9,82,2,5
BN165_760039,65,10,53,11,2,89,29,23,6,5,13,1,14,52,77,2,9
BN165_760040,62,3,5,25,2,33,19,230,8,1,12,35,21,29,81,1,19
BN165_760041,3,28,1,13,26,38,1298,189,34,29,48,15,26,15,130,1,105
BN165_760042,1,48,1,5,24,6,60,233,30,2,4,19,10,27,461,4,172
BN165_760043,1,45,1,24,24,24,30,96,19,17,21,15,8,12,155,4,26
BN165_760045,2,30,1,4,7,37,16,3010,70,2,4,9,2332,8,14,13,80
BN165_760046,3,85,1,10,47,20,118,1,31,15,16,22,2154,3,74,5,61
BN165_760047,3,60,15,7,10,16,2,1,2,4,5,10,14,118,8,16,37
BN165_760048,3,15,5,1,8,27,1,1,1,12,15,18,169,3,279,25,37
BN165_760049,3,30,4,1,13,13,1,29,61,1,2,11,1,2,1,1,25
BN165_760050,1,28,3,7,1,19,1,76,4,1,1,5,3,14,171,1,38
BN165_760051,115,718,3,14,1,16,1,1,69,6,7,13,5,1,168,1,32
BN165_760052,332,6,7,4,27,86,1,3,13,4,4,9,3,1,293,1,41
BN165_760053,2068,164,7,605,17,69,12,1,6,3,3,5,4,4,53,1,44
BN165_760054,198,1,1,3,29,83,7,1,16,5,5,6,5,8,11293,3,28
BN165_760055,158,14,1,26,1,40,8,1,41,3,3,6,6,7,48,4,34
BN165_760056,192,43,4,3,1,787,12,39,16,2,3,11,2,5,84,4,30
BN165_760057,179,32,7,22,1,46,9,66,1,4,10,10,6,1,10,8,56
BN165_760058,209,28,10,127,1,14,10,3,1,2,4,9,7,7,12,4,220
BN165_760059,194,10,9,34,6,9,8,2,1,2,3,8,7,56,27,5,57
BN165_760061,327,8,8,2,66,73,7,85,1,1,1,12,5,3,2,2,4
BN165_760062,8,10,9,1,121,1,4,5,1,2,4,7,5,240,1287,1,15
BN165_760063,12,15,1,1,9,13,5,4,2,1,2,27,9,1,19,1,4
BN165_760064,1,56,1,3,1,2,6,4,3,1,1,2,7,1,543,1,106
BN165_760065,1,319,1,2,1,3,13,1,1,4,5,82,3,1,88,1,1
BN165_760066,1,2,1,2,1,1,240,1,3,2,2,1,72,1,43,1,87
BN165_760066,1,8,2,5,1,1,237,1,32,2,2,1,2,1,62,1,70
BN165_760067,7,15,1,1,1,7,1,2,33,1,1,1,1,1,32,1,177
BN165_760068,10,12,1,2,1,3,1,2,22,1,1,1,1,1,29,2,30
BN165_760069,1,9,1,35,1,3,1,2,21,1,1,1,22,12,22,3,4640
BN165_760070,1,22,1,36,1,4,9,5,27,3,5,1,1,12,6,1,18
BN165_760071,1,4,1,17,1,3,6,4,172,11,16,1,19,13,2,1,19
BN165_760072,1,747,1,18,15,5,23,1,191,17,26,1,12,10,3,1,27
BN165_760073,1,10,1,51,1,5,21,1,163,14,20,1,12,4,3,1,35
BN165_760074,1,33,1,47,2,6,21,3,40,31,36,1,12,2,1,1,5
BN165_760075,1,8,1,291,28,3,23,8,39,1,4,2,12,5,1,3,1
BN165_760076,1,20,1,2,32,1,15,1,5,7,12,1,10,18,1,8,411
BN165_760077,70,3,1,7,9,3,37,1,16,16,34,3,1,15,9,5,4
BN165_760078,10,4,1,6,9,3,17,1,14,58,80,5,1,17,28,8,186
BN165_760079,5,3,1,12,8,2,13,2,1,2,3,1,1,16,21,7,30
BN165_760080,10,6,1,10,8,4,4,2,50,69,105,1,1,1,19,166,13
BN165_760081,7,32,1,7,9,3,7,3,31,65,146,1,1,6,18,4,25
BN165_760082,21,1,4,3,2,9,13,28,22,55,88,7,1,8,34,2,9
BN165_760083,32,1,2,4,18,1,28,3,5,40,58,2,1,3,20,2,11
BN165_760084,26,1,4,2,40,1,12,184,2,47,85,1,1,5,17,3,10
BN165_760085,26,1,4,1,22,1,591,184,2,626,1004,44,1,7,15,5,4
BN165_760086,19,4,4,1,8,1,4,10,4,787,1102,23,1,1,5,15,2
BN165_760087,9,16,8,1,168,1,40,60,2,1176,1382,27,7,1,1,4,1
BN165_760088,8,1,1,1,30,8,36,22,23,1457,1744,26,5,1,23,12,1
BN165_760089,10,6716,1,3,14,23,107,19,2,322,545,29,2,3,11,49,1
BN165_760090,1,36,1,29,53,1,37,6,5,74,114,14,18,2,11,5,1
BN165_760091,107,144,1,22,80,1,11,12,5,89,159,1,4,1,7,7,3
BN165_760092,29,1,1,11,34,8,21,13,2,17,26,11,12,4,14,111,11
BN165_760093,15,1,1,5,1,13,26,15,3,38,68,5,14,1,178,157,9
BN165_760094,29,7,1,16,1,3,18,9,2,36,65,3,3,1,4,50,6
BN165_760095,19,1,1,6,1,4,15,6,1,20,43,110,3,1,5,44,5
BN165_760096,41,1,1,7,3,4,11,15,2,22,41,141,2,1,4,39,9
BN165_760097,37,2,2,4,2,8,18,8,25,23,48,80,2,24,4,68,1
BN165_760098,9,7,1,20,5,7,24,65,20,32,51,89,3,8,2,45,1
BN165_760099,20,17,2,8,2,1,85,1,8,39,56,37,1,41,1,25,1
BN165_760100,47,7,5,73,8,13,8,6,2,16,26,63,2,28,1,2,2
BN165_760101,44,5,8,2,9,5,30,5,1,93,157,117,6,1,1,6,9
BN165_760102,6,4,4,13,66,3,1,3,4,68,94,1,27,1,1,9,3
BN165_760103,11,4,27,1,70,13,1,2,2,41,75,38,66,1,1,8,4
BN165_760104,18,4,1,1,49,4,11,8,1,29,51,52,25,1,1,7,1
BN165_760105,49,2,12,6,55,15,2,6,2,482,1051,4,4,1,50,12,3
BN165_760106,7,4,14,1,375,1,1,9,1,1,2,22,33,3,38,9,37
BN165_760107,2,5,14,1,345,1,1,9,7,1,2,2,8,5,1,9,2
BN165_770009,2,3,6,1,324,2,1,1,8,1,1,23,5,2,5,4,2
BN165_760108,2,2,6,1,69,29,1,1,3,1,2,18,22,1,6,14,1
BN165_760109,4,2,1,2,56,1,1,16,1,1,2,11,38,2,18,4,1
BN165_760110,3,6,1,1,9,20,1,5,1,1,1,14,17,4,14,7,1
BN165_770001,1,1,23,1,18,1,2,7,7,1,1,7,1,2,20,8,1
BN165_770002,6,74,259,1,16,1,1,5,19,1,1,1,1,3,9,8,1
BN165_770003,2,26,259,1,4,1,2,6,14,1,1,20,1,5,65,6,1
BN165_770004,3,1,203,1,86,1,1,9,21,1,1,4,1,2,63,5,1
BN165_770005,3,2,251,11,103,2,2,2,31,1,1,5,1,44,59,1,1
BN165_770006,1,8,302,9,70,1,2,5,36,1,1,719,2,7,26,3,1
BN165_770007,6,1,149,4,68,1,2,6,18,1,1,22,2,6,73,5,42
BN165_770008,1,1,405,9,68,2,2,3,22,1,1,1,1,6,8,9,18
BN165_770010,1,14,4,10,4,1,1,3,19,3,1,1,3,26,7,8,1
BN165_770011,1,21,5,1,3,1,2,3,19,8,9,1,18,20,41,1,1
BN165_770012,1,1,180,1,2,2,2,1,20,1,18,1,20,4,13,1,1
BN165_770013,1,1,180,1,4,2,3,11,15,1,1,1,20,17,2,1,2
BN165_770014,230,1,1,1,94,3,1,9,81,1,1,1,20,40,1,1,9
BN165_770015,155,1,5,1,60,1,1,7,63,1,1,1,125,5,1,4,4
BN165_770016,19,4,17,1,4,1,1,1,75,2,1,1,133,13,1,1,8
BN165_770017,12,1,6,1,252,1,1,1,14,5,2,1,145,2,2,3,4
BN165_770018,9,1,1,8,252,1,12,11,21,1,9,1,40,21,7,5,11
BN165_770019,26,1,6,12,37,1,10,292,13,1,1,7,32,62,5,18,26
BN165_770020,61,179,1,3,1,2,30,13,11,1,1,1,3,11,24,5,28
BN165_770021,114,4,3,4,2,1,17,1,14,3,3,1,10,40,39,8,28
BN165_770022,578,12,3,17,2,1,40,1,1,3,6,3,11,14,1,17,28
BN165_770023,633,2,22,26,3,1,2,1,1,4,8,12,1,50,3,1,3
BN165_770024,36,17,19,7,5,1,20,1,1,1,10,1,36,1,5,1,3
BN165_770025,30,10,3,20,4,1,48,1,2,1,2,6,48,1,5,1,15
BN165_770026,1037,1,2,12,1,1,49,1,4,1,2,32,30,2,7,3,4
BN165_770027,32,5,2,6,1,1,3,1,2,2,4,12,21,2,7,3,1
BN165_770028,3,17,2,11,3,1,136,1,44,3,2,305,2,1,2,1,1
BN165_770029,189,2,2,25,11,1,133,3,19,1,11,305,1,2,1,11,1
BN165_770030,10,1,2,1,1,1,65,1,25,5,4,32,1,6,1,9,1
BN165_770031,11,6,10,77,1,1,46,1,20,1,2,14,1,2,1,1,1
BN165_770032,35,529,4,64,1,3,72,7,14,1,2,1,1,1,1,5,2
BN165_770033,65,383,3,32,8,1,1464,1,22,1,5,14,12,3,42,36,1
BN165_770034,52,11,5,13,3,7,1169,2,14,1,16,4,2,7,130,18,10
BN165_770035,1,12,7,22,3,1,1546,1,22,1,11,6,22,3,85,56,20
BN165_770036,1,102,3,754,2,2,870,1,14,1,7,2,22,1,125,99,1
BN165_770037,1,38,7,682,34,4,222,1,11,1,2,3,1,1,27,38,1
BN165_770038,1,32,1,754,43,1,107,1,16,1,2,5,24,1,39,21,18
BN165_770039,1,30,1,1011,26,9,132,1,13,1,1,1,23,1,39,21,29
BN165_770040,1,1,1,139,2,1,16,1,9,7,4,1,11,1,3,26,25
BN165_770041,1,8,1,24,4,1,93,1,6,2,4,1,55,1,1,47,3
BN165_770042,9,283,1,44,7,1,68,1,9,2,4,2,58,1,12,62,1
BN165_770043,35,9,1,7,6,1,41,1,14,1,6,1,3,4,1,18,2
BN165_770044,107,5,1,44,4,1,41,1,15,1,6,3,4,1,1,13,1
BN165_770045,4,1,5,47,4,1,57,31,23,1,1,3,3,5,67,120,1
BN165_770046,6,51,1,17,2,12,31,1,12,1,1,14,1,1,121,7,1
BN165_770047,19,2,4,19,1,14,47,34,17,3,1,66,1,1,104,14,4
BN165_770048,85,1,40,29,15,1,34,1,29,5,1,41,1,6,80,6,65
BN165_770049,161,2,145,15,12,1,213,1,3,5,1,456,12,5,53,50,29
BN165_770050,23,4,1,25,4,1,178,1,141,1,1,6,13,1,92,74,48
BN165_770051,37,3,3,11,3,1,165,2,4,1,263,21,6,4,77,10,10
BN165_770052,38,3,1,96,1,1,110,2,1,1,1,2,1,2,74,22,19
BN165_770053,43,387,1,88,4,2,2368,2,1,1,1,1,1,1,121,19,19
BN165_770054,32,2,1,78,19,1,187,1,1,1,1,29,1,6,30,16,1
BN165_770055,86,1,1,41,38,1,16,129,1,1,1,1,2,1,146,46,1
BN165_770056,131,4,438,2496,24,1,30,1,1,287,1,4,1,1,17,29,1
BN165_770057,6,1,366,3,24,1,20,1,1,1,1,7,1,1,18,10,4
BN165_770058,2,2,507,2,80,1,270,1,1,1,12,14,1,1,6,50,1
BN165_770059,14,1,508,1,101,1,1,3,2,1,10,14,1,4,1,242,1
BN165_770060,70,1,549,1,46,1,117,6,1,1,5,1,5,1,10,8,1
BN165_770061,1,10,893,1,47,1,23,29,4,1,1,1,2,1,6,1,1
BN165_770062,1,1,615,62,27,3,20,52,1,8,1,1,1,1,4,7,1
BN165_770063,1,12,10,1,37,9,55,37,9,6,2,1,1,1,7,22,14
BN165_770064,1,311,122,1,33,6,35,37,10,3,170,1,1,1,4,3,27
BN165_770065,6,3,164,1,14,6,1,4,8,1,1,1,1,1,3,27,25
BN165_770066,9,22,882,1,59,6,1,1,3,1,1,1,6,11,7,21,22
BN165_770067,15,38,823,1,53,6,1,1,1,1,1,1,1,16,10,15,11
BN165_780001,1,2,703,50,63,6,1,1,48,131,4,1,1,3,11,9,22
BN165_780002,1,2,5,1,22,6,2,178,38,1,1,1,1,1,26,24,22
BN165_780003,2,6,5,29,26,1,118,1,37,1,1,20,1,3,18,32,20
BN165_780004,7,39,4,1,14,1,105,1,81,76,37,19,1,3,21,14,44
BN165_780005,1,19,6,1,25,2,78,1,88,5,3,1,1,1,22,20,29
BN165_780006,1,10,23,1,20,2,59,20,48,87,46,1,1,1,29,3,37
BN165_780007,21,530,6,1,2,2,70,24,41,87,50,17,7,1,13,2,4
BN165_780008,5,10,11,2,1,1,69,9,23,170,38,46,5,1,17,1,5
BN165_780009,11,18,39,4,1,3,77,7,13,59,20,8,1,1,8,1,4
BN165_780010,5,12,1,2,1,1,44,5,117,179,40,4,1,1,2,1,1
BN165_780011,51,7,191,189,1,1,75,1,128,1,31,3,1,1,4,2,5
BN165_780012,111,7,90,3,2,2,71,1,103,1,3,8,2,1,2,2,4
BN165_780013,100,62,186,3,72,1,85,1,97,1,2,2,1,1,2,24,1
BN165_780014,65,45,73,1,39,1,57,4,50,3,258,3,1,2,2,16,3
BN165_780015,137,21,54,6,47,1,66,4,103,5,76,1,1,1,14,5,1
BN165_780016,89,35,188,1,38,1,56,4,101,4,289,3,6,1,5,33,1
BN165_780017,37,53,61,1,26,2,44,5,70,23,1,1,11,1,6,4,3
BN165_780018,65,326,73,1,51,3,84,1,77,25,1,41,7,1,4,17,3
BN165_780019,30,26,93,1,28,1,24,1,17,21,36,32,13,1,26,17,10
BN165_780020,1295,88,26,2,45,3,41,1,46,1,35,8,26,1,16,18,5
BN165_780021,9,9,14,1,25,4,54,1,3,1,33,15,32,1,21,19,6
BN165_780022,125,18,37,97,19,1,95,1,41,52,1,23,11,1,12,15,7
BN165_780023,1,30,82,1,31,2,66,30,31,1,1,3,12,1,18,8,6
BN165_780024,16,6,65,1,20,1,34,51,22,7,50,2,9,1,10,18,4
BN165_780025,37,24,54,1,17,1,41,6,22,1,1,58,9,1,20,2,7
BN165_780026,31,4,17,17,10,1,29,4,10,1,14,15,14,1,31,31,2
BN165_780027,32,13,31,71,16,1,67,10,48,1,1,5,7,1,35,64,1
BN165_780028,22,1,1,1,25,2,391,27,18,1,1,4,38,1,25,32,2
BN165_780029,22,312,1,1,25,4,68,19,20,1,1,1,33,1,31,15,1
BN165_780030,28,1,1,1,44,5,23,1,218,19,1,1,39,1,30,111,1
BN165_780031,19,1,1,1,31,63,69,21,633,2,1,25,9,1,11,24,1
BN165_780032,52,1,95,1,49,77,58,10,46,12,29,8,12,1,7,14,4
BN165_780033,210,1,12,4,72,21,55,11,13,1,2,5,7,1,18,22,1
BN165_780034,5,45,12,3,2,11,30,1,13,1,20,384,9,1,9,54,1
BN165_790001,12,37,7,2,245,6,19,6,2,1,18,19,9,1,7,42,1
BN165_790002,25,6,553,151,2,1,75,14,12,11,9,5,1,1,6,2,7
BN165_790003,18,4,260,1,2,1,71,11,10,1,9,7,1,1,22,4,3
BN165_790004,9,2,881,1,1,1,58,22,7,1,6,34,1,2,38,3,4
BN165_790005,29,4,37,1,1,1,39,9,5,1,550,1,1,1,55,15,5
BN165_800001,10,420,34,1,2,1,74,20,4,1,550,1,1,1,27,10,7
BN165_800002,221,559,1,1,1,1,42,22,3,35,2,1,3,1,13,21,5
BN165_800003,8,501,1,1,1,1,3,16,6,41,1,1,53,1,4,22,9
BN165_800004,35,299,1,1,1,2,40,4,27,1,2,1,25,1,4,26,15
BN165_800005,4,432,2,46,1,1,1,8,44,1,60,1,29,1,636,6,13
BN165_800006,20,549,3,40,1,4,3,18,30,1,81,3,23,1,235,44,9
BN165_800007,3,610,3,42,1,7,10,1,432,59,1,4,18,1,1,46,11
BN165_800008,4,339,3,68,8,1,1,102,432,1,1,1,32,2,2,30,16
BN165_800009,3,329,2,229,1,2,26,106,61,1,2,3,17,3,1,29,1
BN165_80001,1096,343,1,187,6,1,1,32,21,1,78,1,31,2,1,28,1
BN165_800010,3,362,67,5,7,1,3,77,1,2,1,2,15,1,6,317,7
BN165_800011,44,585,127,8,7,1,2,43,37,2,2,2,15,1,2,369,3
BN165_800012,1,540,2024,20,18,1,2,45,6,1,2,2,19,1,4,317,2
BN165_800013,1,397,94,20,6,1,3,4,5,2,3,1,15,1,2,58,82
BN165_800014,1,437,88,1535,6,3,2,8,2,5,3,2,10,1,2,54,153
BN165_800015,1,235,125,184,89,6,1,1,6,11,1,1,8,1,3,9,310
BN165_800016,6,312,115,20,64,3,8,17,9,10,2,4,16,1,124,16,99
BN165_800017,11,369,119,15,56,6,1,103,5,1,4,2,18,1,16,11,53
BN165_800018,1,130,95,1,74,2,3,91,6,1,24,2,16,1,2,3,3
BN165_800019,2854,181,187,1,76,5,5,51,3,1,19,10,26,1,3,46,227
BN165_80002,1462,309,3,1,36,2,6,47,3,62,1,7,19,1,13,48,52
BN165_800020,44,560,6,34,32,10,5,2,3,5,1,4,20,1,29,30,1
BN165_800021,138,404,1,3,17,1,2,78,3,5,289,7,33,1,46,37,1
BN165_800022,2,381,1,20,10,3,4,177,6,5,12,2,7,1,15,17,1
BN165_800023,3,534,1,26,236,1,4,12,18,7,36,10,159,1,9,2,1
BN165_800024,9,26,1,1,326,1,3,29,68,7,24,4,1,1,7,2,2
BN165_800025,1,29,3,1,326,1,2,11,49,1,3,3,1,1,107,2,1
BN165_800026,1,20,5,15,212,1,3,7,377,1,8,1,1,1,8,3,1
BN165_800027,8,21,1,2,197,1,2,14,9,1,11,1,1,1,172,2,1
BN165_800028,23,504,1,11,93,1,1,1,31,1,15,4,1,3,172,27,1
BN165_800029,35,729,1,32,177,1,4,1,5,1,85,8,1,1,9,3,1
BN165_80003,1106,2,1,10,204,1,31,43,3,1,1,2,1,2,8,264,59
BN165_800030,31,3,1,48,122,1,34,45,34,1,1,265,1,1,2,8,25
BN165_800031,21,6,1,42,121,1,3,4,1,5,1,1,1,1,1,7,1
BN165_800032,18,5,1,40,32,1,2,15,12,10,1,17,1,1,1,3,1
BN165_800033,11,6,1,1,64,1,1,19,8,4,1,16,1,1,2,1,4
BN165_800034,18,1,70,1,8,1,1,9,1,1,1,34,2,1,1,1,24
BN165_800035,13,1,2,2,85,1,1,28,1,12,1,5,1,1,3,22,14
BN165_800036,17,24,1,4,78,1,2,108,1,2,8,2,1,1,4,19,5
BN165_800037,18,11,4,5,40,1,2,8,1,30,16,1,1,1,4,14,4
BN165_800038,15,16,1,1,45,1,1,51,1,3,6,5,1,1,6,2,3
BN165_800039,10,574,12,3,156,1,2,6,1,1,1,2,1,1,5,1,52
BN165_80004,1562,574,19,6,108,13,3,4,1,1,22,3,1,1,1,6,3
BN165_800040,11,1,14,3,1390,1,3,2,1,1,2,1,1,8,1,3,74
BN165_800041,22,1,15,1,21,9,1,8,1,1,35,7,1,1,1,2,3
BN165_800042,6,1,5,1,77,1,1,1,1,2,6,3,1,16,2,1,4
BN165_800043,86,1,3,1,8,1,1,9,29,1,3,19,1,13,2,1,1
BN165_800044,23,5,3,1,4,1,1,16,28,1,1,2,6,1,10,7,1
BN165_800046,2,2,3,1,80,1,1,11,1,6,10,4,1,15,1,11,1
BN165_800047,2,8,1,1,3,2,1,16,1,3,4,1,1,37,8,2,1
BN165_800048,6,16,109,1,21,1,1,4,35,1,3,1,1,9,4,1,1
BN165_800049,2,21,19,1,10,1,25,5,100,2,75,3,1,18,22,1,1
BN165_80005,1277,55,3,1,4,1,5,5,23,3,75,5,1,38,46,2,2
BN165_800050,1,52,9,1,15,1,3,16,8,11,3,3,4,11,34,71,3
BN165_800051,9,62,10,1,10,2,11,9,6,6,2,3,5,33,30,34,1
BN165_800052,15,71,17,1,30,7,241,1,21,2,1,3,3,1,16,41,2
BN165_800053,8,98,18,3,65,1,17,1,8,1,1,2,1,4,7,30,1
BN165_800054,7,5,2,1,42,42,12,2,6,58,1,1,2,3,3,21,1
BN165_800055,6,1,6,1,923,1,24,1,2,58,62,3,8,3,1,39,1
BN165_800056,12,1,26,6,923,1,25,1,2,1,11,1,4,2,1,18,1
BN165_800057,6,1,24,1,116,1,52,1,4,1,5,1,1,1,17,40,1
BN165_800058,1,1,3,1,38,1,16,2,83,1,25,1,78,1,7,18,1
BN165_800059,1,1,4,3,1,16,14,7,76,1,29,1,24,1,3,15,3
BN165_80006,1172,1,8,1,49,1,9,9,24,49,1,1,20,1,5,23,1
BN165_800060,1,1,23,2,17,1,11,48,71,6,2,1,31,1,7,18,3
BN165_800061,95,7,2,7,16,1,16,16,77,1,1,1,33,1,11,14,1
BN165_800062,4,15,5,7,2,1,4,53,5,2,6,1,13,1,31,9,9
BN165_800063,11,4,5,7,9,1,3,1,4,1,1,1,10,1,8,24,21
BN165_800064,1,2,2,7,17,1,2,1,97,4,1,1,7,1,29,22,15
BN165_800065,11,1,2,1,7,1,29,9,34,1,1,1,5,90,86,20,12
BN165_80007,1363,4,1,1,8,1,85,2,9,2,6,1,112,20,12,17,5
BN165_80008,1550,1,1,1,6,5,89,1,7,1,2,1,150,25,26,24,4
BN165_80009,1331,1,2,1,5,5,62,26,1,1,2,1,109,7,275,29,12
BN165_80010,1339,1,1,8,5,2,47,27,1,14,1,1,101,32,458,55,110
BN165_80011,1623,21,2,2770,5,2,70,24,38,26,1,2,55,101,111,5,2
BN165_80012,1568,2,1,2518,7,1,5,19,18,1,4,4,101,25,116,204,9
BN165_80013,1583,1,1,2518,46,2,6,4,8,2,2,7,103,6,102,6,5
BN165_80014,1464,12,6,1,72,2,1,8,760,1,1,3,76,1,165,1,12
BN165_80015,957,10,1,1,24,6,2,3,14,4,35,8,81,1,90,1,9
BN165_80016,1444,2,1,1,23,6,1,1,11,1,21,1,23,1,34,1,5
BN165_80017,1384,6,1,1,1559,2,1,2,17,1,1,2,34,1,4,1,12
BN165_80018,1663,4,1,1,69,8,1,1,84,1,2,3,2,1,7,1,1
BN165_80019,1343,7,1,14,1,4,1,1,1,4,1,14,26,3,14,1,1
BN165_80020,1520,13,168,362,1,1,1,6,1,1,3,1,22,1,10,1,1
BN165_80021,1269,1,125,2,1,1,5,12,1,2,16,31,12,1,9,1,1
BN165_80022,880,1,11,4,1,1,28,4,1,1,11,25,10,1,15,1,1
BN165_80023,1211,136,5,8,1,2,1,2,1,1,24,15,6,1,25,4,1
BN165_80024,1069,20,3,9,1,3,21,1,1,3,14,8,17,1,9,1,1
BN165_80025,694,67,17,1,1,1,27,18,11,1,15,12,7,1,41,8,1
BN165_80026,939,12,28,4,1,1,20,50,6,2,23,1,7,1,10,10,1
BN165_80027,1195,58,77,4,1,2,4,33,1,14,8,1,542,1,12,1,4
BN165_80028,1455,27,361,1,8,2,4,2,7,8,6,1,25,1,29,28,1
BN165_80029,1180,34,450,1,1,1,2,6,4,33,4,1,3,2,23,8,1
BN165_80030,1247,36,12,12,13,1,2,16,5,8,7,1,3,1,18,27,1
BN165_80031,1294,6,12,10,4,1,1,21,5,10,21,2,4,1,13,111,1
BN165_80032,22,1,785,10,7,1,7,1,6,7,13,1,6,1,1,43,1
BN165_80033,28,1,13,1,8,1,17,1,5,12,15,1,7,1,1,46,1
BN165_80034,24,1,2,1,3,1,13,1,9,14,41,1,22,1,1,134,1
BN165_80035,25,13,124,1,13,1,12,6,24,3,1,3,3,1,1,126,5
BN165_80036,1033,46,3,1,3,1,10,1,23,12,1,1,12,1,4,76,4
BN165_80037,1167,459,3,8,2,1,15,4,21,3,1,1,32,1,3,87,14
BN165_80038,7,568,20,22,3,1,8,18,15,11,1,1,17,1,1,30,2
BN165_810001,3,6,48,222,3,1,38,8,12,1,1,412,357,10,7,14,16
BN165_810002,1,1,23,4,14,1,1,106,8,1,1,404,357,20,7,320,12
BN165_810003,2,1,1,1,15,1,1,35,18,3,2,450,34,7,15,298,1
BN165_810004,12,28,1,1,1,1,1,169,10,1,2,588,11,11,11,226,1
BN165_810005,3,31,1,1,1,1,1,196,35,1,2,80,1,3,2,185,1
BN165_810006,1,1,1,1,3,1,9,8,9,23,6,20,25,3,1,86,1
BN165_810007,5,39,1,1,2,1,2,15,12,2,3,27,2,5,1,164,29
BN165_810008,312,149,1,1,2,1,1,6,11,26,3,5,3,1,1,315,1
BN165_810009,189,234,1,1,14,2,1,5,2,3,2,11,3,1,12,88,1
BN165_830002,8,19,4,1,2,1,1,7,2,2,3,16,3,1,9,112,6
BN165_830003,6,1,18,1,10,1,1,2,6,1,1,6,3,1,18,18,1
BN165_830004,26,4,66,14,1,1,1,5,15,5,1,7,3,245,43,51,1
BN165_830005,23,2,2,1,1,6,1,1,13,3,1,11,3,5,12,4,1
BN165_830006,22,4,3,1,2,9,1,1,346,31,1,8,16,8,22,72,1
BN165_830007,30,4,9,1,2,1,1,1,4,1,1,13,79,1,39,62,1
BN165_830008,1,6,34,2,1,1,1,3,36,16,2,5,40,1,3,37,1
BN165_830009,5,8,84,2,2,1,1,208,36,11,3,45,762,1,2,37,1
BN165_830010,10,5,14,1,2,1,1,3,19,5,2,49,8,1,8,26,3
BN165_830011,3,9,21,2,34,1,1,3,99,16,2,41,25,1,10,56,1
BN165_830012,1,6,15,1,32,1,21,5,22,5,1,17,3,1,9,15,1
BN165_830013,17,10,21,1,1,1,35,3,3,4,1,933,1,7,1,17,1
BN165_830014,1,4,20,1,1,1,12,22,4,11,1,1,29,7,7,1231,3
BN165_830015,1,4,69,1,53,1,102,38,5,35,1,1,1,58,7,72,2
BN165_830016,2,12,62,7,148,8,4065,1,4,1,3,11,5,27,1,32,1
BN165_830017,4,3,3,1,23,11,3602,1,9,32,3,1,4,94,19,34,1
BN165_830018,4,1,1,1,16,3,33,2,42,3,2,1,13,26,35,142,1
BN165_830019,4,1,5,1,12,1,450,1,27,19,1,1,13,52,17,7,1
BN165_830020,1,1,43,3,48,4,6,1,3,1,2,1,1,27,55,31,1
BN165_830021,1,1,1,5,14,11,10,17,43,1,3,1,1,124,118,79,3
