,media_1,media_2,media_3,Cpmedia_1,Cpmedia_2,Cpmedia_3
CDR20291_0672,1259.610523,1308.968805,1101.417713,1017.475965,1071.150142,1207.211718
CDR20291_0673,1774.796626,1915.795693,1621.616547,1469.40462,1827.230599,1842.396679
CDR20291_0674,118.2060773,103.7526446,108.4218711,125.5101039,136.2026535,98.75302251
CDR20291_0675,1390.219528,1497.558868,1375.095403,1638.30358,1793.213437,1802.765461
CDR20291_0676,3363.708567,3349.061143,3467.497195,3925.7865,5768.450004,4605.668949
CDR20291_0677,2598.744348,2449.288496,2330.169198,2550.550587,2711.698376,2681.238798
CDR20291_0678,1805.935936,1868.174496,2295.727992,990.7669955,509.334983,1035.504423
CDR20291_0679,2524.372331,2269.745774,2778.497063,1510.056694,782.4186776,1365.88187
CDR20291_0680,2525.856565,2559.391265,2961.776374,1698.447018,917.59009,1571.133438
CDR20291_0681,1321.687142,1493.497389,1300.246104,1353.155572,1109.076373,1405.283021
CDR20291_0682,3411.889008,3613.735,3677.829795,3949.816733,3862.827398,3941.524427
CDR20291_0683,2587.867433,2715.567483,2524.382829,2758.052111,2907.767091,2819.297485
CDR20291_0684,2180.043187,2201.617306,2127.854811,3520.803511,2988.034313,3350.519295
CDR20291_0685,4952.636423,4716.225549,4720.542654,6164.994961,7727.05526,6509.689429
CDR20291_0686,9090.48782,7879.918538,6070.122853,7884.376745,6486.857359,7823.540914
CDR20291_0687,191753.7146,172378.4619,144405.3833,211237.581,151187.0453,197560.0892
CDR20291_0688,239.6321054,170.6794315,207.3909888,110.9801232,106.1574271,113.0041073
CDR20291_0689,25193.4661,29027.0633,21189.53048,13938.55128,10431.80365,10339.97445
CDR20291_0690,110.4670272,105.0339563,113.0313375,70.525579,97.1430178,102.6779082
CDR20291_0691,20.53553602,18.1028081,34.090149,20.49367767,32.61633105,45.41659052
CDR20291_0692,51.45685221,42.62251149,64.96868953,37.00515361,81.50832421,52.18596672
CDR20291_0693,32.70503833,33.4755998,48.45194246,55.93409304,87.95270234,71.55913286
CDR20291_0694,123.5859048,92.50551027,119.4249531,125.3524341,317.1415296,238.507149
CDR20291_0695,92.61583665,56.77008513,74.19014731,94.0725561,148.7832905,123.0427293
CDR20291_0696,39.56630673,65.45327613,74.99760398,72.39735073,63.08770656,74.75979459
CDR20291_0697,336.4156475,278.3294967,276.7378179,499.6389021,527.6249583,534.6011015
CDR20291_0698,810.3823823,890.7661962,929.9169074,1488.45305,1400.840515,1553.283011
CDR20291_0699,212.6335445,206.2651675,246.6757355,346.7543089,342.0596213,348.8949729
CDR20291_0700,325.9721725,339.0689814,316.1867277,511.7473797,546.2708008,519.321808
CDR20291_0701,636.6898699,597.4457883,608.1270698,912.9601001,937.9544159,996.1187984
CDR20291_0702,36.67481288,34.6152293,31.93176957,17.1616457,16.50966567,11.96156871
CDR20291_0703,100.199257,97.98199083,92.94152423,54.91074195,86.6432227,61.91045684
CDR20291_0704,62.72778,69.63150497,66.35435724,49.10285483,36.68524462,38.05742379
CDR20291_0705,1625.602713,1764.369486,1873.42564,2355.195329,1933.737164,2299.46576
CDR20291_0706,122.0624802,119.1549437,122.4297703,119.9153304,148.4049702,129.5194092
