,D240-01,D240-02,D240-03,BHISG-01,BHISG-02,BHISG-03
CD630_13140,8084,2278,9427,21,8,3
CD630_13150,3650,902,2988,4,3,3
CD630_13151,148,6,73,0,0,0
CD630_13160,10801,7957,5967,39,22,24
CD630_13170,1992,673,1937,2,1,0
CD630_13180,34622,9627,23038,72,43,34
CD630_13190,146,50,106,0,1,1
CD630_13200,1903,421,1281,5,2,4
CD630_13210,612,151,353,1,0,0
CD630_13220,2999,643,1629,11,3,5
CD630_13230,1772,468,1254,5,3,3
CD630_13240,6902,2066,6266,19,6,13
CD630_13250,2684,797,2938,7,3,4
CD630_13260,6295,1569,5420,21,18,5
CD630_13270,1630,492,1567,0,2,1
CD630_13280,1828,776,1600,107,68,52
CD630_13290,17901,7272,12473,305,224,154
CD630_13300,1417,232,1225,22,6,11
CD630_13310,3214,629,1530,22,9,12
CD630_13320,2800,770,1227,6,10,3
CD630_13330,404,78,374,4,5,0
CD630_13340,20699,7323,9599,42,28,16
CD630_13350,1456,202,892,3,0,0
CD630_13360,1641,339,1613,0,1,1
CD630_13370,90,12,97,28,3,6
CD630_13380,598,235,526,311,221,104
CD630_13390,7094,3296,6136,974,600,450
CD630_13400,638,143,336,11,4,4
CD630_13410,3447,1299,1947,17,5,7
CD630_13420,302,90,194,0,0,0
CD630_13430,7975,2491,6433,8,10,7
CD630_13440,1772,247,686,0,0,1
CD630_13450,741,302,265,0,1,0
CD630_13460,1776,460,546,4,0,0
CD630_13470,4675,601,1803,0,2,0
CD630_13480,5619,1439,2704,3,3,1
CD630_13490,27,7,20,0,0,0
CD630_13500,16,5,16,0,0,1
CD630_13510,22,5,16,0,0,0
CD630_13520,331,48,168,1,0,2
CD630_13530,2932,878,1996,35,16,17
CD630_13540,26,8,35,0,0,0
CD630_13550,67954,53843,41048,47,23,21
CD630_13560,4016,1300,3636,12,5,4
CD630_13570,5474,1888,2973,26,15,11
CD630_13580,44,12,17,0,0,0
CD630_13590,9,1,5,0,1,0
CD630_13600,39,13,22,9,7,3
CD630_13601,1,0,2,0,0,0
CD630_13610,3,1,4,0,0,0
CD630_13620,2,0,2,1,0,1
CD630_13630,5,1,10,26,15,7
CD630_13640,3,5,3,8,3,2
CD630_13650,7,3,3,9,4,6
CD630_13651,2,0,0,1,3,0
CD630_13660,26,7,14,26,13,12
CD630_13670,6,4,6,5,4,0
CD630_13680,53,16,43,28,8,8
CD630_13690,1,0,1,0,0,1
CD630_13700,3,1,3,2,5,2
CD630_13710,8,1,7,11,3,4
CD630_13720,4,2,1,8,3,0
CD630_13730,6,2,6,5,5,3
CD630_13740,312,76,177,35,25,12
CD630_13750,8,5,7,2,0,0
CD630_13760,0,1,2,1,1,0
CD630_13770,2187,935,1154,2,4,0
CD630_13780,174,16,98,5,2,1
CD630_13781,2,3,1,0,0,0
CD630_13782,0,0,0,0,0,0
CD630_13790,388,77,164,4,3,0
CD630_13800,2475,891,237,4,2,3
CD630_13810,314,125,21,0,0,0
CD630_13820,635,164,318,18,3,5
CD630_13830,995,366,493,6,4,0
CD630_13840,221,73,160,0,1,0
CD630_13850,195,54,224,1,0,2
CD630_13860,125,23,156,0,0,0
CD630_13870,221,74,321,30,10,44
CD630_13880,1074,297,306,0,1,1
CD630_138801,0,0,0,0,0,0
CD630_13890,230,103,96,0,0,0
CD630_13900,394,126,167,0,0,0
CD630_13910,851,193,402,4,3,2
CD630_13920,838,485,498,8,10,4
CD630_13930,74,28,74,2,0,2
CD630_13940,1077,320,565,4,1,6
CD630_13950,23,5,13,1,1,0
CD630_13960,1496,362,941,1,1,0
CD630_13970,14,5,13,0,0,0
CD630_13980,35,6,21,0,0,0
CD630_13990,192,21,121,2,0,2
CD630_14000,1027,288,542,2,3,0
CD630_14010,258,36,119,1,0,0
CD630_14020,64,7,38,0,0,0
CD630_14030,719,236,409,3,0,3
CD630_14040,9793,2996,6148,526,370,280
CD630_14041,2353,458,1936,82,63,48
CD630_14050,2268,585,1527,2,1,2
CD630_14060,523,116,352,3,0,1
CD630_14070,192,33,112,1,0,0
CD630_14080,59,16,51,0,1,1
CD630_14090,718,168,524,19,9,6
CD630_14100,416,93,244,5,2,3
CD630_14110,4582,1472,4094,2,1,0
CD630_14120,505,203,210,0,1,1
CD630_14130,105,32,135,2,0,0
CD630_14140,2819,943,1370,2,1,0
CD630_14150,18,12,13,1,0,0
CD630_14160,6,2,9,0,0,0
CD630_14170,682,362,335,117,51,90
CD630_14180,136,23,167,2,0,1
CD630_14181,8,0,13,0,0,0
CD630_141811,22,5,37,0,0,0
CD630_141812,22,14,38,0,0,0
CD630_14182,63,31,27,0,0,0
CD630_14190,1903,399,1145,10,6,4
CD630_14200,530,69,259,1,0,0
CD630_14210,1926,429,1043,3,0,1
CD630_14220,126,18,41,0,0,0
CD630_14230,61,10,52,0,1,0
CD630_14240,32,6,37,3,1,1
CD630_14250,441,262,255,16,10,3
CD630_14260,162,52,122,5,4,2
CD630_142601,15,1,5,0,0,0
CD630_14280,47,2,17,0,0,0
CD630_14281,2,0,0,0,0,0
CD630_14290,30,10,12,0,0,0
CD630_14300,0,1,3,0,0,0
CD630_14310,222,39,108,0,0,1
CD630_14320,237,67,118,3,1,0
CD630_14330,17,4,28,0,0,0
CD630_14340,2232,804,1565,5,4,2
CD630_14350,2002,550,1815,2,0,1
CD630_14360,6971,2689,6114,28,14,11
CD630_14370,4412,2600,4645,8,11,7
CD630_14380,2088,351,1457,6,1,1
CD630_14390,191,19,136,1,1,0
CD630_14400,587,158,483,3,6,1
CD630_14410,2549,804,1344,16,8,7
CD630_14420,208,88,67,4,4,2
CD630_14430,438,98,199,3,1,3
CD630_14440,358,88,237,4,2,0
CD630_14450,381,73,161,10,8,14
CD630_14460,887,271,528,16,7,3
CD630_14470,192,37,113,1,1,0
CD630_14480,312,36,190,3,2,3
CD630_14490,2631,805,2226,14,7,7
CD630_14500,3484,1016,3094,9,11,2
CD630_14510,873,164,1039,3,1,4
CD630_14520,1687,483,1546,6,3,8
CD630_14530,4155,1198,3725,42,21,23
CD630_14540,11652,2808,9413,17,11,7
CD630_14550,25375,8594,14071,59,27,28
CD630_14560,1466,372,1216,2,0,0
CD630_14570,1617,349,1585,3,2,3
CD630_14580,1579,379,1407,9,6,5
CD630_14590,157,15,65,0,2,2
CD630_14600,809,229,464,5,5,2
CD630_14610,176,63,114,2,3,0
CD630_14620,150,55,102,2,2,1
CD630_14630,302,103,498,5,2,2
CD630_14640,100,51,162,0,0,0
CD630_14650,221,108,413,0,0,1
CD630_14660,148,54,244,0,0,0
CD630_14670,317,97,549,1,0,2
CD630_14680,1457,361,1210,127,50,45
CD630_14690,754,278,802,57,42,34
CD630_14700,344,113,220,0,0,0
CD630_14710,19820,3824,10170,8,3,1
CD630_14720,340,98,230,11,2,2
CD630_14730,557,87,371,2,1,0
CD630_14740,107081,79463,53967,1942,719,656
CD630_14750,4378,1179,4293,1,0,0
CD630_14760,1283,335,1381,16,11,7
CD630_14770,42,16,61,70,14,35
CD630_14780,110,147,207,185,97,137
CD630_14790,4881,5068,20135,3476,2299,1767
CD630_14800,572,688,2460,615,266,324
CD630_14810,270,103,226,39,12,13
CD630_14820,101,13,124,8,6,3
CD630_14830,82,20,100,7,5,2
CD630_14840,360,118,264,41,31,20
CD630_14850,0,0,2,0,0,0
CD630_14860,11,2,8,0,0,0
CD630_14870,10,5,2,0,0,0
CD630_14880,122,37,43,2,0,0
CD630_14890,320,126,199,0,1,1
CD630_14900,171,71,109,1,0,0
CD630_14910,445,137,284,3,1,0
CD630_14920,230,38,272,4,3,5
CD630_14930,126,34,115,2,1,4
CD630_14940,3473,1217,2280,74,48,45
CD630_14950,5242,1724,2984,150,89,65
CD630_14960,24278,6314,16533,13,6,9
CD630_14970,973,515,584,2,2,3
CD630_14980,741,479,577,47,16,5
CD630_14990,605,185,479,51,21,18
CD630_149901,2144,621,1401,2636,689,613
CD630_15000,1228,256,981,10,7,2
CD630_15020,817,163,635,4,1,1
CD630_15030,11,10,8,2,0,0
CD630_15040,25,6,20,0,0,0
CD630_15050,4,3,12,0,0,0
CD630_15060,14959,3342,7783,1,2,0
CD630_15070,198,66,349,0,0,0
CD630_15071,36,7,86,0,0,0
CD630_15080,390,79,633,0,0,0
CD630_15090,237,10,381,0,0,0
CD630_15100,582,216,320,32,33,16
CD630_15110,216,64,182,0,0,0
CD630_15111,31,5,25,0,0,0
CD630_15120,786,242,531,25,11,6
CD630_15130,895,275,465,22,22,9
CD630_15140,362,71,190,9,5,1
CD630_15150,957,231,719,30,14,12
CD630_15152,0,0,0,0,0,0
CD630_15160,322,24,237,0,0,1
CD630_15170,4894,1506,3917,10,6,0
CD630_15180,567,255,442,1,0,1
CD630_15190,103,20,38,1,0,0
CD630_15200,147,57,81,1,0,0
CD630_15210,4267,1752,2231,68,19,33
CD630_15220,45669,19696,32531,34,23,15
CD630_15230,10259,3107,9542,3,0,5
CD630_15240,93090,62762,47796,2085,841,724
CD630_15250,3916,1176,4885,18,4,6
CD630_15260,8575,3088,9112,98,85,77
CD630_15270,3482,625,2175,58,35,15
CD630_15280,1794,351,863,23,11,8
CD630_15290,3957,900,2283,43,29,15
CD630_15300,113,28,33,0,0,0
CD630_15310,20,2,8,0,0,0
CD630_15320,50,9,24,0,0,0
CD630_15330,29,4,14,0,0,0
CD630_15340,830,201,522,14,8,4
CD630_15350,1983,608,907,7,9,1
CD630_15360,1917,500,1775,77,32,33
CD630_15370,5968,2187,6078,217,131,101
CD630_15380,1423,261,1387,0,1,0
CD630_15390,66,23,66,0,0,0
CD630_15400,38,13,30,1,0,0
CD630_15410,29452,11545,28686,43,31,13
CD630_15420,22010,6000,25702,29,8,7
CD630_15430,275,197,238,2,0,0
CD630_15431,138,120,108,21,17,8
CD630_15450,2369,375,1589,1,1,0
CD630_15460,21598,6672,17404,75,22,14
CD630_15461,70,8,16,0,0,0
CD630_15470,436,103,301,0,1,0
CD630_15480,492,136,344,0,1,2
CD630_15490,526,90,364,1,1,0
CD630_15500,413,100,255,2,2,0
CD630_15510,376,113,197,3,1,2
CD630_15520,236,60,114,12,5,6
CD630_15530,147,73,112,3,0,0
CD630_15540,309,69,195,0,0,2
CD630_15550,2433,508,1057,13,5,8
CD630_15560,898,390,444,3,1,1
CD630_15570,2124,521,1139,3,1,2
CD630_15580,803,303,467,1,1,2
CD630_15590,807,79,352,1,0,0
CD630_15600,932,77,642,0,0,0
CD630_15610,3617,981,3299,5,4,3
CD630_15620,2311,309,1888,1,0,0
CD630_15640,29,5,29,0,0,0
CD630_15650,51,16,38,0,1,0
CD630_15660,72,25,90,4,2,3
CD630_15670,6,2,5,0,0,0
CD630_15680,2170,597,1563,77,24,28
CD630_15690,263,94,164,1,0,1
CD630_15700,149,59,93,40,23,9
CD630_157001,328,129,238,210,49,59
CD630_15710,125,35,89,2,1,1
CD630_15720,1172,229,1017,3,7,0
CD630_15730,226,40,161,1,0,3
CD630_15740,259,52,157,0,0,0
CD630_15750,19,7,21,0,0,0
CD630_15760,470,144,447,3,1,2
CD630_15770,4940,1888,4309,28,15,10
CD630_15780,384,44,321,0,0,1
CD630_15790,1573,275,993,2,2,0
CD630_15800,98,25,88,11,4,3
CD630_15810,91,28,107,32,8,15
CD630_15820,571,154,304,4,2,0
CD630_15830,91,35,142,5,2,2
CD630_15831,525,254,250,15,7,8
CD630_15840,3,0,3,0,1,0
CD630_15850,1,0,0,2,0,0
CD630_15860,4,1,3,0,0,0
CD630_15870,3,1,2,1,0,0
CD630_15880,3,2,3,1,0,0
CD630_15890,17,8,3,2,1,0
CD630_15900,8369,6767,4050,38,28,23
CD630_15910,240,44,155,1,0,0
CD630_15920,283,62,232,0,0,0
CD630_15930,137,25,83,0,0,0
CD630_15940,9697,37,118,174,45,55
CD630_15950,8148,84,298,180,36,84
CD630_15951,3744,128,328,68,39,19
CD630_15960,2061,1114,1504,12,4,2
CD630_15970,40,13,38,0,0,0
CD630_15980,5,0,1,0,0,0
CD630_15990,33,7,17,2,2,0
CD630_16000,18,8,31,0,2,0
CD630_16010,44,9,28,1,1,0
CD630_16020,197,245,79,2,1,1
CD630_16030,17,7,25,1,0,0
CD630_16040,60,17,50,1,0,0
CD630_16050,5,1,3,0,0,0
CD630_16060,2,2,0,0,0,0
CD630_16070,8,0,3,0,1,1
CD630_16080,0,0,0,0,0,0
CD630_16090,4,0,3,1,0,0
CD630_16100,1,0,1,1,0,0
CD630_16110,13,1,12,0,0,0
CD630_16120,337,189,386,12,2,12
CD630_16130,49,8,36,0,0,1
CD630_16140,401,115,230,1,2,2
CD630_16150,613,144,305,6,2,1
CD630_16160,560,204,518,0,0,0
CD630_16170,174,43,124,0,0,0
CD630_16180,361,74,319,3,3,2
CD630_16190,201,19,175,5,0,1
CD630_16200,839,163,600,0,0,0
CD630_16210,2145,723,1265,4,0,1
CD630_16220,218,60,230,7,2,1
CD630_16230,17266,6576,22369,663,248,200
CD630_16240,1234,202,780,6,4,3
CD630_16250,2352,538,1599,7,5,4
CD630_16260,65,14,58,0,0,0
CD630_16270,48,17,33,0,0,0
CD630_16280,265,62,185,1,0,0
CD630_16290,527,117,215,3,1,0
CD630_16300,43,5,14,1,0,0
CD630_16310,5,1,4,0,0,0
CD630_16320,277,68,132,1,1,0
CD630_16330,705,182,330,0,0,2
CD630_16340,410,127,261,74,22,55
CD630_16350,714,219,383,128,62,98
CD630_16360,643,203,399,25,16,21
CD630_16370,6874,1290,5734,385,238,157
CD630_16380,1415,219,1055,31,20,21
CD630_16390,1783,360,1521,58,30,22
CD630_16400,544,101,399,3,2,3
CD630_16410,587,181,509,1,1,0
CD630_16420,621,184,617,2,1,1
CD630_16430,271,29,172,0,0,0
CD630_16440,1346,475,593,5,3,5
CD630_16450,828,351,501,5,6,4
CD630_16460,665,266,428,5,6,5
CD630_16470,5,3,15,3,0,1
CD630_16480,1,0,1,0,0,0
CD630_16490,6,1,7,2,2,2
CD630_16500,14,1,18,2,0,2
CD630_16510,351,67,229,1,0,0
CD630_16520,622,252,378,7,5,5
CD630_16530,168,46,131,0,0,0
CD630_16540,122,31,66,2,1,0
CD630_16550,2180,802,1644,5,13,6
CD630_16560,116,16,125,0,0,0
CD630_16570,4094,1548,8352,32,19,15
CD630_16580,6332,3527,15751,169,100,83
CD630_16590,2007,418,2288,1,2,3
CD630_16600,4,0,2,1,0,0
CD630_16601,16,5,9,0,0,0
CD630_16610,649,146,611,12,5,3
CD630_16620,89,12,84,0,0,0
CD630_16630,254,33,94,0,1,2
CD630_16631,0,0,0,0,0,0
CD630_16632,1,0,1,0,0,0
CD630_16640,334,96,170,1,0,2
CD630_16650,1588,837,694,11,2,4
CD630_16660,187,48,126,0,0,0
CD630_16670,227,96,128,1,2,0
CD630_16671,55,19,25,2,1,0
CD630_16680,13,0,12,0,0,0
CD630_16690,23,5,25,0,0,0
CD630_16700,3,0,5,0,0,0
CD630_16710,26,4,12,1,0,0
CD630_16720,31,4,12,0,1,0
CD630_16730,12,2,6,0,0,0
CD630_16731,1,0,1,0,0,0
CD630_16740,97,32,75,3,1,1
CD630_16750,456,231,233,2,1,1
CD630_16760,850,411,449,0,0,0
CD630_16770,42,4,20,0,0,0
CD630_16780,6,2,9,0,0,0
CD630_16781,0,0,0,0,0,0
CD630_16790,46,1,19,0,0,0
CD630_16800,70,12,29,1,0,0
CD630_16810,107,12,53,1,0,0
CD630_16820,6416,1893,4618,18,12,8
CD630_16830,3107,626,2806,7,5,10
CD630_16840,1281,149,1152,4,3,0
CD630_16850,185,48,129,0,0,2
CD630_16860,387,29,278,1,0,0
CD630_16870,1693,469,1132,6,1,4
CD630_16880,1166,258,872,2,3,1
CD630_16890,1826,313,1239,11,0,4
CD630_16900,10311,3684,5551,200,54,69
CD630_16910,35290,12962,19703,758,304,234
CD630_16920,589,77,193,10,3,4
CD630_16930,3280,1291,1902,215,73,221
CD630_16940,410,67,259,6,0,0
CD630_16950,1167,288,763,1,0,1
CD630_16960,586,205,398,4,0,2
CD630_16970,5473,1176,4535,2,1,0
CD630_16980,16783,3074,14435,8,1,1
CD630_16990,13855,3271,10464,5,4,5
CD630_17000,26120,5886,19228,3,3,3
CD630_17010,953,219,741,5,4,3
CD630_17020,634,185,403,1,1,1
CD630_17021,52,16,45,0,0,0
CD630_17030,112,29,78,2,0,0
CD630_17040,51,15,34,0,0,0
CD630_17050,77,25,70,0,0,0
CD630_17060,18,0,14,0,0,0
CD630_17070,47,21,20,1,0,0
CD630_17080,597,25,260,0,1,0
CD630_17090,235,25,128,1,0,2
CD630_17100,659,126,525,1,0,0
CD630_17110,5511,3393,3362,238,152,86
CD630_17120,820,225,422,5,1,0
CD630_17130,1046,102,658,3,2,1
CD630_17140,671,220,424,5,1,0
CD630_17150,601,261,422,4,1,4
CD630_17151,15,1,6,0,0,0
CD630_17160,169,53,97,2,1,0
CD630_17170,359,201,225,334,224,114
CD630_17180,91,27,47,81,48,20
CD630_171801,479,108,328,9,9,5
CD630_17190,856,161,811,12,6,6
CD630_17210,92,40,67,0,2,0
CD630_17220,41,6,35,1,0,1
CD630_17230,364,183,146,56,47,31
CD630_17240,64,24,74,4,2,1
CD630_17250,29,4,15,0,1,0
CD630_17260,3,1,6,0,0,0
CD630_17270,423,37,178,0,0,0
CD630_17280,854,69,435,0,0,0
CD630_17281,18,3,3,0,0,0
CD630_17290,2987,785,1051,1,1,0
CD630_17291,0,0,0,0,0,0
CD630_17292,639,108,248,1,0,1
CD630_17300,1284,648,783,204,69,95
CD630_17310,129,29,80,0,1,0
CD630_17320,169,39,111,2,0,0
CD630_17330,593,168,382,7,3,0
CD630_17340,157,23,94,0,0,0
CD630_17350,172,36,113,0,1,0
CD630_17360,334,121,241,0,0,0
CD630_17370,221,87,124,2,0,1
CD630_17380,307,59,205,2,1,0
CD630_17390,484,117,312,0,3,1
CD630_17400,30,8,33,0,0,0
CD630_17410,66,16,53,2,1,0
CD630_17430,27,8,19,0,0,0
CD630_17440,45,11,27,0,0,1
CD630_17450,38,13,35,0,0,0
CD630_17451,238,431,79,2954,1320,912
CD630_17452,3,3,5,2,3,2
CD630_17460,3,6,5,0,0,0
CD630_17470,264,63,209,2,0,1
CD630_17480,273,46,240,3,0,1
CD630_17490,779,329,2103,38,23,8
CD630_17500,665,294,1698,20,5,16
CD630_17510,1549,393,1152,24,15,6
CD630_17511,457,75,289,24,10,11
CD630_17520,817,356,789,3,2,4
CD630_17530,501,197,630,4,1,1
CD630_17540,64,16,73,0,1,0
CD630_17550,64,11,65,0,0,0
CD630_17551,142,104,198,1,3,0
CD630_17560,227,180,312,4,0,1
CD630_17570,29,13,52,0,0,0
CD630_17580,684,208,935,4,3,5
CD630_17590,32,6,26,1,1,1
CD630_175911,30,6,27,1,0,0
CD630_17600,133,33,111,7,2,3
CD630_17610,185,37,166,1,1,0
CD630_17620,4928,2233,2908,14,18,12
CD630_17630,101,35,43,0,0,0
CD630_17640,342,116,314,13,6,6
CD630_17650,238,64,235,9,3,5
CD630_17660,80,24,95,0,0,0
CD630_17670,1833,2450,4079,6,5,4
CD630_17671,16,4,8,0,0,0
CD630_17680,29373,13356,16979,61,46,34
CD630_17690,7175,1668,7387,27,14,10
CD630_17700,211,37,158,2,1,4
CD630_17710,841,371,605,43,17,31
CD630_17720,64,15,39,0,2,0
CD630_17730,2116,411,1216,2,2,0
CD630_17740,756,309,562,1,0,1
CD630_17750,729,163,681,0,3,0
CD630_17760,1034,360,970,0,2,0
CD630_17770,5310,1214,4928,6,3,0
CD630_17780,1553,347,1737,3,0,0
CD630_17790,2440,1134,3425,6,2,2
CD630_17800,5722,2190,6806,7,10,4
CD630_17810,4438,1014,5220,13,5,5
CD630_17820,3478,1393,3607,16,6,4
CD630_17830,4565,1301,4398,13,9,5
CD630_17840,2945,701,2736,10,3,4
CD630_17850,3421,781,1579,28,10,8
CD630_17860,35,9,26,0,0,0
CD630_17870,64,10,39,1,0,0
CD630_17880,3,1,9,0,0,0
CD630_17890,15,7,20,0,0,0
CD630_17900,202,17,81,0,0,0
CD630_17910,175,14,107,1,0,0
CD630_17920,878,248,548,16,5,5
CD630_17930,374,109,60,12,11,12
CD630_17940,10,3,2,0,0,0
CD630_17950,9,1,6,0,0,0
CD630_17960,164,139,4386,381,52,56
CD630_17970,373,303,9348,1392,184,215
CD630_17980,3521,847,1534,19,9,6
CD630_17990,446,116,247,4,2,5
CD630_18000,447,73,229,2,0,3
CD630_18010,465,135,233,3,2,3
CD630_18020,118,26,75,0,0,0
CD630_18030,824,262,548,3,0,1
CD630_18040,859,195,454,8,3,1
CD630_18050,82,18,43,0,0,0
CD630_18060,258,77,180,1,0,0
CD630_18070,2433,896,1450,7,1,0
CD630_18080,134,9,72,0,0,0
CD630_18090,119,28,94,3,0,3
CD630_180901,514,190,468,19,15,12
CD630_18100,631,109,501,6,2,2
CD630_18110,43,6,22,0,0,0
CD630_18120,183,18,166,0,0,0
CD630_18130,36,4,33,0,0,0
CD630_18140,489,206,322,8,2,6
CD630_18150,1244,306,950,3,1,2
CD630_18160,1251,404,1176,1,0,1
CD630_18170,994,230,914,1,2,0
CD630_18180,2932,858,2414,4,5,3
CD630_18190,2740,619,1927,2,0,2
CD630_18200,439,133,295,16,8,7
CD630_182001,4357,1155,3864,8,4,6
CD630_18210,1214,252,1014,8,6,3
CD630_18220,505,180,460,23,1,4
CD630_18230,357,71,469,29,12,12
CD630_18240,23322,4008,12774,125,52,27
CD630_18250,3366,795,2370,8,8,10
CD630_18260,1382,213,1019,6,5,0
CD630_18270,5261,1695,6841,1,1,0
CD630_18280,119933,39784,88842,899,594,330
CD630_18290,22202,7958,26817,30,21,15
CD630_18300,8180,2626,8667,2,2,1
CD630_18310,1064,105,889,0,1,0
CD630_18311,384,40,159,0,0,0
CD630_18320,875,225,831,5,9,2
CD630_18330,763,171,740,6,2,2
CD630_18340,983,156,839,6,5,1
CD630_18350,602,129,395,21,6,13
CD630_18360,500,33,348,1,1,1
CD630_18370,445,66,288,7,1,3
CD630_18380,134,30,123,2,0,1
CD630_18390,223,37,204,2,5,3
CD630_18400,404,76,259,3,1,0
CD630_18410,1365,276,817,22,8,7
CD630_18420,560,143,304,4,5,0
CD630_18430,1,0,4,0,0,0
CD630_18440,90,13,88,0,3,0
CD630_184401,353,122,1072,97,67,53
CD630_18441,23,9,51,0,0,0
CD630_18450,17,3,28,0,0,0
CD630_18460,30,10,48,0,0,1
CD630_18470,6,1,19,0,0,0
CD630_18480,2,6,9,0,0,0
CD630_18490,12,3,35,0,0,0
CD630_18500,1164,331,633,3,1,1
CD630_18510,4,2,5,0,0,0
CD630_18520,3,1,4,0,0,0
CD630_18530,18,6,10,1,3,4
CD630_18540,2,0,3,1,0,0
CD630_18550,5,2,4,0,0,0
CD630_18560,31,5,37,0,1,0
CD630_18570,7,8,26,0,0,0
CD630_18571,0,0,1,0,0,0
CD630_18580,5,1,8,0,0,0
CD630_18590,5,2,11,0,0,0
CD630_18591,10,1,2,0,0,0
CD630_18600,78,20,49,6,4,4
CD630_18610,194,51,139,21,11,12
CD630_18620,396,88,280,8,9,3
CD630_18630,8,5,15,0,0,0
CD630_18640,901,285,589,1,2,1
CD630_18650,5489,1063,3699,8,5,7
CD630_18660,3180,789,2777,22,14,7
CD630_18670,1604,421,1395,9,1,2
CD630_18680,3764,916,2586,15,15,10
CD630_18690,524,210,904,0,2,0
CD630_18700,430,256,390,2,0,0
CD630_18710,42,9,47,2,1,1
CD630_18711,1,0,1,0,0,0
CD630_18720,15,3,26,2,0,1
CD630_18730,12,0,11,1,0,0
CD630_18740,17,5,15,0,0,1
CD630_18750,59,23,66,5,0,0
CD630_18760,290,29,254,0,2,0
CD630_18770,59,9,25,0,0,0
CD630_18780,163,54,109,1,0,0
CD630_18781,258,98,623,38,30,13
CD630_18782,23,23,80,17,6,9
CD630_18800,109,63,135,11,8,4
CD630_18820,344,75,256,2,0,1
CD630_18830,94,26,47,10,4,3
CD630_18840,0,0,0,0,0,0
CD630_18850,366,52,128,2,1,1
CD630_18860,40,4,18,0,0,0
CD630_18870,14,3,2,0,0,0
CD630_18880,9,1,0,0,0,0
CD630_18890,50,11,16,1,0,0
CD630_18900,15,2,14,0,0,0
CD630_18910,431,148,401,10,9,3
CD630_189101,2,3,11,0,0,0
CD630_18920,432,147,198,1,0,1
CD630_18930,211,27,169,0,0,0
CD630_18940,80,22,39,0,0,0
CD630_18950,2611,823,980,6,3,0
CD630_18960,504,112,246,0,1,0
CD630_18970,1733,257,1289,48,19,31
CD630_18980,2920,1204,2237,78,37,56
CD630_18990,1174,303,691,4,1,2
CD630_19000,3,4,1,0,0,0
CD630_19010,61,18,55,0,0,0
CD630_19020,44,13,45,0,0,0
CD630_19030,174,21,88,0,0,0
CD630_19040,40,10,19,1,0,0
CD630_19050,14,4,10,0,0,0
CD630_19060,0,0,0,0,0,0
CD630_19070,41,5,36,0,0,0
CD630_19080,112,39,93,0,0,1
CD630_19090,128,50,162,2,0,0
CD630_19100,295,84,200,3,0,0
CD630_19110,606,93,380,5,1,2
CD630_19120,21,2,17,1,0,0
CD630_19130,23,8,33,0,1,0
CD630_19140,11,2,16,1,0,0
CD630_19150,3,0,7,0,1,3
CD630_19160,2,3,8,1,0,0
CD630_19170,9,1,22,2,1,0
CD630_19180,1,0,3,0,0,1
CD630_19190,0,0,2,0,0,0
CD630_19200,6,1,5,0,0,1
CD630_19210,1,0,2,0,0,0
CD630_19220,8,1,3,1,0,0
CD630_19230,0,0,8,3,0,0
CD630_19240,23,12,19,0,0,0
CD630_19250,10,6,14,0,0,0
CD630_19260,0,1,0,0,0,0
CD630_19270,18,4,7,0,0,0
CD630_192701,11,0,8,0,0,0
CD630_19280,0,0,1,0,0,0
CD630_19290,8,4,19,0,0,0
CD630_19300,2445,761,1076,3,5,2
CD630_19310,7119,2907,2737,102,77,52
CD630_19320,1076,225,419,3,2,2
CD630_19330,352,21,219,0,0,0
CD630_19340,685,140,695,1,1,1
CD630_19350,3193,1152,2531,29,27,9
CD630_19360,3958,1292,3883,47,17,24
CD630_19370,3668,1227,4003,66,30,20
CD630_19380,7740,2189,7798,94,59,42
CD630_19390,3077,1256,2786,20,12,13
CD630_19400,13,1,14,0,0,0
CD630_19401,223,70,105,1,0,0
CD630_19410,365,36,304,2,0,0
CD630_19420,646,169,598,4,2,1
CD630_19430,11360,9418,8788,214,69,60
CD630_19440,690,302,267,178,104,57
CD630_19450,193,11,128,0,0,0
CD630_19460,159,27,86,0,0,0
CD630_19470,27,8,15,0,0,0
CD630_19480,37,1,13,0,1,1
CD630_19490,74,15,41,0,0,0
CD630_19491,0,0,0,0,0,0
CD630_19500,2238,1020,1285,4,7,2
CD630_19510,161,9,68,1,0,1
CD630_19520,133,16,56,2,0,0
CD630_19530,2323,941,1381,17,21,10
CD630_19540,272,37,192,4,3,0
CD630_19550,119,35,104,1,2,0
CD630_19560,128,20,100,3,1,0
CD630_19570,60,13,47,1,2,0
CD630_19580,638,144,333,25,11,7
CD630_19590,55,1,44,0,0,0
CD630_19600,86,9,62,3,0,0
CD630_19610,115,25,104,1,1,0
CD630_19620,39,4,17,1,2,0
CD630_19630,1130,524,554,47,35,17
CD630_19640,283,69,142,8,10,3
CD630_19650,934,331,795,7,5,4
CD630_19660,374,77,301,2,0,3
CD630_19670,165,21,116,3,1,3
CD630_19680,1186,305,734,17,12,9
CD630_19690,491,75,343,4,3,2
CD630_19700,594,184,456,7,11,5
CD630_19710,440,63,419,5,2,0
CD630_19720,2394,556,2283,43,27,19
CD630_19730,2259,579,1839,39,25,10
CD630_19740,929,156,664,62,17,20
CD630_19750,1663,323,1587,21,8,10
CD630_19760,2342,415,1955,23,14,6
CD630_19770,3150,1149,2751,41,15,14
CD630_19780,408,89,319,8,7,0
