V1,Raw_33.1,Raw_33.2,Raw_33.5,Raw_33.6,Raw_86.1,Raw_86.2,Raw_86.5,Raw_86.6
NTHI_RS08715,45,100,51,61,28,53,676,52
NTHI_RS08720,193,214,148,89,104,182,2047,183
NTHI_RS08725,390,596,413,381,250,389,1132,353
NTHI_RS08730,4509,6404,5085,4356,2619,5058,5111,4095
NTHI_RS08735,4315,5497,4076,3445,2334,5318,5322,4579
NTHI_RS08740,12559,13289,13459,11467,4872,8644,10868,9254
NTHI_RS08750,5172,5630,6303,5216,2353,4078,5308,4305
NTHI_RS08755,3516,4722,3905,3267,1989,3811,4503,3407
NTHI_RS08760,2247,2784,2636,2201,1438,2306,2843,2096
NTHI_RS08765,302,93,43,31,44,91,427,61
NTHI_RS08770,9747,8137,11316,9029,4551,6034,9836,7481
NTHI_RS08775,2546,3118,3155,2552,1082,2294,3638,1964
NTHI_RS08780,45631,48561,41593,34403,21183,38073,37938,30639
NTHI_RS08785,1712,2509,2215,1776,917,1564,2603,1694
NTHI_RS08790,1123,1448,1237,1004,590,995,1854,1029
NTHI_RS08795,9350,7182,11724,9693,3728,5523,7729,7408
NTHI_RS08800,12851,11950,15638,13010,7612,11013,12664,11639
NTHI_RS08805,31962,30689,37865,34781,16756,23199,27106,31437
NTHI_RS08810,17296,19807,19129,15656,8606,16202,19647,15811
NTHI_RS08815,6844,7189,7204,6150,3251,4810,6836,5684
NTHI_RS08820,2457,2428,2466,2243,864,1490,1944,1663
NTHI_RS08825,22714,17315,22513,19130,6849,12073,16583,16267
NTHI_RS08830,2006,3186,2343,1648,1395,3431,3537,2276
NTHI_RS08835,745,1064,959,822,488,735,1029,742
NTHI_RS08840,580,711,702,516,442,529,843,508
NTHI_RS08845,1402,1230,1547,1277,689,912,1795,1143
NTHI_RS08850,147,117,214,99,118,76,389,183
NTHI_RS08855,4377,5589,4511,3481,2255,4216,5451,3479
NTHI_RS08860,8662,9755,9196,8081,3808,5680,6298,5596
NTHI_RS08865,43060,67195,50162,40214,22765,56521,37447,29568
NTHI_RS08870,345,550,408,358,250,384,909,335
NTHI_RS08875,1396,1461,1311,1229,859,1159,1645,1300
NTHI_RS08880,3460,3321,3409,2871,1720,2614,3617,2647
NTHI_RS08885,2326,2550,2937,2203,1377,1813,2774,1818
NTHI_RS08890,2218,2671,2466,1820,1242,2032,2928,1798
NTHI_RS08895,7650,9526,9011,7154,2994,7428,9825,6850
NTHI_RS08900,1621,1557,7557,4080,589,892,6613,2811
NTHI_RS08905,9171,7472,37163,21192,3054,4560,23364,13258
NTHI_RS08910,8531,10909,8575,6904,4713,7802,6871,6677
NTHI_RS08915,2497,4272,2383,2040,2447,4067,4468,2849
NTHI_RS08920,191362,242173,231149,186562,78580,165438,170972,166250
NTHI_RS08925,120742,164213,149610,119425,50179,116488,105747,111246
NTHI_RS08930,99659,126088,129838,104187,37482,88341,97894,94742
NTHI_RS08935,12219,14373,11505,9566,6706,10277,9660,8151
NTHI_RS08940,17344,22502,17981,13787,7077,15190,15585,12179
NTHI_RS08945,4511,5643,6470,4961,2747,5441,7420,5815
NTHI_RS08950,2198,1979,3050,2398,1408,1858,3487,2769
NTHI_RS08955,1304,1453,1753,1456,761,932,1693,1075
NTHI_RS08960,1290,1605,1444,1342,383,782,852,1012
NTHI_RS08965,5522,5935,5436,4704,1975,3386,4297,3877
NTHI_RS08970,4563,5323,4604,3958,2126,3335,4503,3100
NTHI_RS08975,1730,2525,2224,1726,1167,1729,2209,1500
NTHI_RS08980,2438,3822,3046,2733,2092,2815,3252,2062
NTHI_RS08985,191715,221238,211202,180780,95854,151255,169375,159507
NTHI_RS08990,18703,21995,21220,17479,11950,16019,17415,15222
NTHI_RS08995,42355,52631,42552,35287,25301,44680,45364,36631
NTHI_RS09000,14101,19274,14373,11948,8922,14739,13708,11696
NTHI_RS09005,19389,34086,14723,12543,11647,26542,17699,14222
NTHI_RS09010,146,221,148,115,97,182,231,138
NTHI_RS09015,1421,1641,1386,1167,766,1179,1441,1023
NTHI_RS09020,7601,7970,6296,5929,2237,4498,5113,4931
NTHI_RS09025,2631,3116,2934,2564,1452,1983,2468,2191
NTHI_RS09030,11973,17288,12649,10027,6425,12884,13988,10178
NTHI_RS09035,781,1012,929,771,485,572,831,583
NTHI_RS09040,1764,1759,2294,1872,1108,1240,1581,1492
NTHI_RS09045,4602,5019,5204,4352,2529,3785,5423,4392
NTHI_RS09050,49718,44291,37455,34723,21885,24946,24845,26722
NTHI_RS09055,23923,27502,16822,15121,12274,16462,11353,10977
NTHI_RS09060,33980,51227,32515,27883,12522,31731,15321,15679
NTHI_RS09065,80467,129925,78599,66230,35419,81638,47634,40630
NTHI_RS09070,2478,3603,2723,2099,2120,3735,3561,2799
NTHI_RS09075,1877,3235,2035,1811,1263,2587,2539,1683
NTHI_RS09080,3904,5628,3869,3374,2301,4716,4646,3571
NTHI_RS09085,11428,15338,11900,9416,6190,11295,12294,9235
NTHI_RS09090,29294,43093,28504,23430,14241,28353,24827,22036
NTHI_RS09095,11450,15315,9996,8357,6370,11914,9862,8693
NTHI_RS09100,3360,4467,3691,3112,2228,2854,3554,2514
NTHI_RS09105,7930,8924,7797,6529,4686,7106,8823,6393
NTHI_RS09115,579,448,711,547,272,304,586,480
NTHI_RS09120,1973,1604,2424,2012,982,1102,1645,1482
NTHI_RS09130,1754,5002,2038,1372,674,3515,3061,1991
NTHI_RS09135,2924,3217,3116,2530,1365,2516,3518,2751
NTHI_RS09140,1050,1578,1180,978,686,1303,1717,1097
NTHI_RS09145,49834,66172,64573,53336,18223,39510,40994,58474
NTHI_RS09150,1211,1481,1393,1191,453,1225,1303,1307
NTHI_RS09155,16471,21025,14701,12333,6702,15807,13254,11661
NTHI_RS09160,5565,4784,5264,4386,2303,3183,5149,3927
NTHI_RS09165,19926,28916,20387,16960,15424,29832,27670,20926
