geneid,X15_OFF_1,X15_OFF_2,X15_OFF_3,X15_ON_1,X15_ON_2,X15_ON_3
DLJ98_06915,12597,29362,22977,22539,14586,23908
DLJ98_06920,3925,9589,7368,9860,5419,8243
DLJ98_06925,22832,53126,43098,52301,32271,56359
DLJ98_06930,13163,31539,25345,33270,16074,29696
DLJ98_06955,1315,3159,2358,2189,1361,1669
DLJ98_06960,728,1936,1375,1944,1258,1655
DLJ98_06970,5825,13427,10116,18790,11456,18751
DLJ98_06975,6956,15711,12012,20735,13102,21065
DLJ98_06985,193,399,338,274,132,208
DLJ98_06990,154,407,275,353,228,398
DLJ98_06995,19,30,33,30,16,11
DLJ98_07000,56,169,112,125,65,116
DLJ98_07010,8182,34223,16154,68197,46985,19685
DLJ98_07015,564,1738,1268,1376,790,1607
DLJ98_07020,158,334,266,424,218,487
DLJ98_07025,2013,8325,3655,25177,14885,5950
DLJ98_07035,3644,8117,6480,10502,6166,9183
DLJ98_07040,1725,4652,3526,2748,1641,2891
DLJ98_07045,11389,25140,19829,33410,20146,30380
DLJ98_07050,12446,30194,22185,17658,11546,19326
DLJ98_07055,3955,8636,6891,9903,6204,9697
DLJ98_07065,6294,15057,11398,15243,9532,15255
DLJ98_07080,52526,121630,90471,123123,76639,125753
DLJ98_07085,616,1801,1310,1309,919,1476
DLJ98_07100,2839,6846,5229,6094,3665,5978
DLJ98_07105,144,331,297,235,148,348
DLJ98_07115,1262,3046,2152,3030,2086,3251
DLJ98_07120,2,4,2,10,5,9
DLJ98_07125,0,7,4,5,10,4
DLJ98_07130,4,14,10,15,4,14
DLJ98_07135,6,22,18,11,7,12
DLJ98_07140,2,12,7,12,2,17
DLJ98_07145,17,28,31,37,34,40
DLJ98_07150,2,15,5,15,13,18
DLJ98_07155,409,892,792,1197,639,1270
DLJ98_07160,9,22,21,31,16,34
DLJ98_07165,76,151,164,257,167,222
DLJ98_07175,359,830,622,1137,709,1026
DLJ98_07180,296,726,521,860,546,845
DLJ98_07185,1096,2718,1947,2285,1393,2445
DLJ98_07190,917,2323,1653,2018,1251,2177
DLJ98_07200,10930,26341,19925,25375,16230,26428
DLJ98_07205,635,1744,1220,1772,1139,1984
DLJ98_07210,2736,5679,4519,7547,4533,6856
DLJ98_07220,4363,9840,7394,11132,6591,10989
DLJ98_07225,2242,5612,4054,5521,3370,5516
DLJ98_07230,26537,59979,46080,56963,35890,59250
DLJ98_07235,4993,11657,9120,14070,8478,13832
DLJ98_07240,16868,39785,29859,43130,26830,44524
DLJ98_07255,245,543,413,505,354,526
DLJ98_07260,5628,12912,9695,10231,6333,9975
DLJ98_07265,23340,54802,41435,39741,24279,37006
DLJ98_07275,2946,7264,5287,7163,4370,6672
DLJ98_07280,259,606,522,687,417,660
DLJ98_07290,2102,4943,3766,5415,3234,5208
DLJ98_07300,25771,60125,45504,53606,33522,58212
DLJ98_07305,4681,10850,8594,14239,8844,14513
DLJ98_07310,18927,46816,34140,41882,26394,44777
DLJ98_07320,5192,10856,9087,13045,7972,12261
DLJ98_07330,9058,21102,16394,21576,12827,19664
DLJ98_07335,11803,27485,21214,24231,15423,24312
DLJ98_07355,11328,24959,19377,28940,17490,26285
DLJ98_07370,34460,74624,58871,121150,77121,126709
DLJ98_07380,21795,50909,38495,79751,48697,78540
DLJ98_07385,48854,107610,83972,149485,97815,159878
DLJ98_07390,2252,5184,3894,5934,3638,6316
DLJ98_07400,3569,8462,6637,8236,5171,8413
DLJ98_07415,1503,3559,2677,2858,1707,2850
DLJ98_07420,27089,62692,49429,53321,31939,45731
