geneid,Off1,On1,On2,Off3,On3,Off2
723_01663,1238,1997,2219,1348,2146,1194
723_01667,2638,3257,3648,2801,3475,2723
723_01670,1207,1608,1713,1257,1788,1287
723_01672,36,19,18,35,24,30
723_01677,12039,14077,14845,13336,14500,12909
723_01679,6044,7633,8120,6212,7990,6195
723_01682,7133,22634,23006,7393,22278,7333
723_01687,8897,7212,7459,9453,7425,9606
723_01689,4693,3708,3764,5041,3705,4942
723_01696,14620,33279,34603,15878,33854,15888
723_01707,760,753,871,824,786,802
723_01713,3059,3070,3343,3379,3224,3233
723_01714,2721,2963,2907,2915,3028,3012
723_01715,4613,4519,4571,4732,4609,4910
723_01716,34576,82185,83852,36766,83340,37259
723_01724,2088,4084,6906,2172,1591,4166
723_01725,3644,1828,1872,3779,1876,4015
723_01726,1459,837,878,1485,876,1591
723_01727,9219,10149,13002,9810,6519,13775
723_01728,19,15,13,21,16,18
723_01730,1748,2490,2633,1724,2569,1789
723_01731,458,582,594,508,573,476
723_01732,591,244,521,1037,487,380
723_01737,1281,927,942,1324,895,1252
723_01738,733,540,531,747,476,787
723_01739,1831,1183,1243,2002,1222,1832
723_01743,1487,1767,1771,1653,1851,1603
723_01746,8820,8611,8851,9590,8464,9415
723_01748,170,146,132,173,110,159
723_01749,288,325,308,318,279,343
723_01757,26458,28299,28921,27876,29028,28597
723_01765,4414,4103,4325,4681,4354,4631
723_01766,2076,2823,2997,2415,2999,2124
723_01769,5169,3730,4200,5699,4159,5295
723_01770,3704,3252,3410,3870,3393,3829
723_01771,5810,4517,4743,6201,4469,6253
723_01776,12643,11100,11354,13182,11422,13366
723_01779,3098,2668,2780,3133,2731,3296
723_01785,27825,33048,34915,29314,34716,29010
723_01787,59752,71980,73748,62817,73300,62454
723_01790,8370,9020,9367,9125,9392,9212
723_01796,14164,15075,16291,15027,15998,14866
723_01808,4045,4501,4773,4354,4658,4261
723_01813,272,174,181,322,190,292
723_01815,51,56,56,83,66,62
723_01816,814,853,859,882,826,877
723_01817,949,801,810,993,824,1010
723_01818,668,536,593,678,598,691
723_01820,240,281,268,270,274,265
723_01821,79,88,114,90,124,99
723_01823,19,16,15,15,11,16
723_01824,147,181,162,140,159,180
723_01826,204,150,170,177,145,182
723_01827,324,320,338,340,304,307
723_01828,64,66,50,63,60,79
723_01829,85,76,76,68,70,72
723_01831,463,364,386,495,366,453
723_01832,129,94,119,153,105,118
723_01833,86,79,80,80,68,91
723_01834,86,76,86,105,73,105
723_01835,211,153,154,227,182,225
723_01836,57,50,43,72,33,88
723_01837,12945,11414,11561,14234,11602,14132
723_01838,251,339,306,272,292,286
723_01839,96,90,76,98,75,113
723_01840,112,109,103,121,107,133
723_01841,98,66,76,125,92,97
723_01842,60,35,41,65,62,53
723_01843,151,117,125,178,113,150
723_01844,199,164,189,225,157,257
723_01845,228,160,197,268,190,262
723_01846,118,99,101,151,90,148
723_01847,74,57,49,66,41,60
723_01848,5540,5777,5744,6029,5892,5858
723_01849,286,293,288,330,298,352
723_01850,61,61,61,67,44,69
723_01851,333,366,335,359,315,387
723_01852,933,1016,1078,944,1038,992
723_01853,849,873,989,893,910,834
723_01854,1108,1181,1205,1151,1188,1144
723_01855,4074,4661,4653,4420,4598,4227
723_01856,407,470,495,427,468,421
723_01857,4070,4427,4604,4343,4549,4362
723_01859,1776,1684,1663,1869,1680,1844
723_01860,1917,1808,1810,1923,1823,1884
723_01861,2871,2707,2770,3032,2881,2972
723_01862,1673,1560,1640,1693,1588,1650
723_01863,2238,2035,2133,2345,2078,2328
723_01864,1650,1521,1497,1728,1628,1744
723_01865,714,656,673,799,688,723
723_01866,4950,4740,4877,5193,4905,5233
723_01867,661,593,579,648,598,611
723_01868,9956,9893,10427,10789,10175,10596
723_01869,2102,1094,1023,2101,1088,2344
723_01870,919,805,865,975,874,1003
723_01871,907,829,808,989,843,963
723_01872,812,688,739,799,742,787
723_01873,1539,1650,1611,1815,1599,1676
