,Gal.1,Gal.2,Glc.1,Glc.2,NAG.1,NAG.2,Fru.1,Fru.2
GXM22_RS00650,20.58736431,21.7151969,19.15731545,21.45850294,58.40715293,47.04921957,52.80458233,66.4807063
GXM22_RS00655,0,0.804266552,1.368379675,1.021833473,8.164440732,4.151401726,2.51450392,8.164297264
GXM22_RS00660,0.980350681,3.217066208,0,2.043666947,2.51213561,8.302803453,0.838167973,2.332656361
GXM22_RS00665,0.980350681,0,0,1.021833473,0.628033902,5.535202302,0.838167973,1.166328181
GXM22_RS00670,0,0,0,0,0.628033902,0,0.838167973,1.166328181
GXM22_RS00675,0,0,0,0,0.628033902,0,0,1.166328181
GXM22_RS00680,0,0,0,0,0.628033902,0,0,0
GXM22_RS00685,66.66384633,39.40906105,31.47273253,47.00433977,44.59040707,49.81682072,39.39389475,44.32047086
GXM22_RS00690,46.07648202,30.56212897,27.3675935,28.61133725,22.60922049,37.36261554,31.85038299,29.15820452
GXM22_RS00695,43.13542998,30.56212897,43.78814961,38.82967199,40.19416976,30.44361266,39.39389475,33.82351724
GXM22_RS00700,28.43016976,20.91093035,13.68379675,16.34933557,16.95691537,26.29221093,21.79236731,18.66125089
GXM22_RS00705,7.842805451,10.45546518,9.578657726,8.174667787,10.04854244,17.98940748,17.60152744,13.99593817
GXM22_RS00710,35.29262453,18.49813069,28.73597318,30.6550042,21.35315268,15.22180633,24.30687123,19.82757907
GXM22_RS00715,0,0,1.368379675,0,0.628033902,0,3.352671894,1.166328181
GXM22_RS00720,4.901753407,5.629865864,0,7.152834313,3.140169512,4.151401726,7.543511761,5.831640903
GXM22_RS00725,158.8168104,188.1983732,194.3099139,155.3186879,677.0205469,785.9987269,607.6717807,593.6610439
GXM22_RS00730,194.1094349,202.6751711,250.4134806,223.7815307,744.2201744,938.2167902,762.7328558,802.4337883
GXM22_RS00735,0,1.608533104,0,1.021833473,2.51213561,4.151401726,3.352671894,3.498984542
GXM22_RS00740,0,0,0,1.021833473,2.51213561,1.383800575,1.676335947,3.498984542
GXM22_RS00745,2.941052044,2.412799656,2.73675935,1.021833473,6.908372927,6.919002877,0.838167973,3.498984542
GXM22_RS00750,3.921402725,6.434132416,9.578657726,5.109167367,7.53640683,19.37320806,11.73435163,16.32859453
GXM22_RS00755,0,0.804266552,1.368379675,0,0.628033902,1.383800575,1.676335947,2.332656361
GXM22_RS00760,0,0,0,0,0.628033902,0,0.838167973,0
GXM22_RS00765,0.980350681,0.804266552,0,0,2.51213561,4.151401726,5.029007841,5.831640903
GXM22_RS00770,0,0.804266552,1.368379675,0,3.140169512,5.535202302,6.705343787,4.665312722
GXM22_RS00775,0,1.608533104,1.368379675,0,1.884101707,5.535202302,5.029007841,4.665312722
GXM22_RS00780,60.78174224,43.43039381,51.99842766,38.82967199,146.3318993,193.7320806,260.6702397,279.9187633
GXM22_RS00785,19.60701363,36.99626139,27.3675935,22.48033641,84.15654293,114.8554478,148.3557313,129.462428
GXM22_RS00790,0,0,0,0,0.628033902,0,1.676335947,2.332656361
GXM22_RS00795,0,0,1.368379675,1.021833473,1.256067805,0,2.51450392,4.665312722
GXM22_RS00800,1.960701363,3.217066208,0,0,2.51213561,4.151401726,10.89618365,11.66328181
GXM22_RS00805,2.941052044,0,1.368379675,2.043666947,1.256067805,5.535202302,6.705343787,9.330625445
GXM22_RS00810,0,1.608533104,0,1.021833473,3.140169512,0,1.676335947,1.166328181
GXM22_RS00815,0,0,0,0,0,0,0,0
GXM22_RS00820,2.941052044,0.804266552,1.368379675,0,2.51213561,5.535202302,5.029007841,4.665312722
GXM22_RS00825,0,0,0,1.021833473,0,2.767601151,0.838167973,1.166328181
GXM22_RS00830,0.980350681,0,1.368379675,3.06550042,1.256067805,2.767601151,0.838167973,1.166328181
GXM22_RS00835,0,0,0,0,0,1.383800575,0,0
GXM22_RS00840,0,1.608533104,0,0,1.256067805,0,2.51450392,0
GXM22_RS00845,0,0,0,0,0,0,0,0
GXM22_RS00850,0.980350681,0,0,0,0,0,0.838167973,1.166328181
GXM22_RS00855,0.980350681,0.804266552,0,3.06550042,0.628033902,1.383800575,4.190839867,2.332656361
GXM22_RS00860,0,0,0,0,0.628033902,0,0.838167973,0
GXM22_RS00865,0,0,0,1.021833473,0,1.383800575,0,0
GXM22_RS00870,0,0.804266552,0,1.021833473,0.628033902,1.383800575,1.676335947,1.166328181
GXM22_RS00875,5.882104088,7.238398968,8.210278051,3.06550042,5.02427122,11.0704046,2.51450392,5.831640903
GXM22_RS00880,20.58736431,18.49813069,23.26245448,15.3275021,15.07281366,30.44361266,17.60152744,24.49289179
GXM22_RS00885,301.9480098,299.1871573,314.7273253,333.1177123,105.5096956,102.4012426,190.26413,226.267667
GXM22_RS00890,278.4195935,322.5108873,361.2522342,334.1395458,157.0084756,120.3906501,205.3511535,272.9207943
GXM22_RS00895,166.6596158,287.9274256,160.100422,249.3273675,73.47996659,67.8062282,86.33130126,146.9573508
GXM22_RS00900,16.66596158,24.12799656,1.368379675,4.087333893,27.63349171,20.75700863,280.7862711,324.2392342
GXM22_RS00905,113.720679,94.09918658,228.5194058,188.0173591,330.9738666,269.8411122,238.8778724,194.7768062
GXM22_RS00910,304.8890619,253.3439639,179.2577374,279.9823717,371.1680364,442.8161842,196.9694738,268.2554815
GXM22_RS00915,1837.177177,1931.848258,2148.35609,2038.557779,1713.276486,1423.930792,2100.448941,1968.761969
GXM22_RS00920,1964.622765,2181.170889,2520.555362,2329.780319,2089.468794,1612.12767,2113.859629,2008.417127
GXM22_RS00925,520.5662118,645.8260412,630.8230303,699.9559292,516.8719017,588.1152446,565.7633821,605.3243257
GXM22_RS00930,180.3845254,164.0703766,173.7842187,193.1265265,178.3616283,146.682861,132.4305398,132.9614126
GXM22_RS00935,544.0946281,595.961515,588.4032603,691.7812614,501.1710542,529.9956204,438.3618501,492.1904922
GXM22_RS00940,263.7143333,328.9450197,324.305983,357.6417157,244.933222,204.8024852,196.9694738,223.9350107
GXM22_RS00945,663.6974113,788.9854875,805.9756287,942.1304624,558.3221393,617.1750567,478.5939128,577.3324494
GXM22_RS00950,614.6798772,644.2175081,751.2404417,802.1392766,518.1279695,568.7420365,823.0809499,810.5980855
GXM22_RS00955,696.0489837,703.733233,706.0839124,737.7637677,533.2007832,494.0168055,450.0962017,548.1742449
GXM22_RS00960,360.7690507,396.5034101,420.0925603,388.2967199,354.8391549,355.6367479,324.3710057,338.2351724
GXM22_RS00965,425.4721957,476.9300653,465.2490896,447.5630613,752.3846152,626.8616607,497.0336082,451.3690059
GXM22_RS00970,515.6644584,558.9652536,582.9297416,552.8119091,778.7620391,618.5588572,454.2870416,541.1762758
GXM22_RS14995,21.56771499,20.91093035,27.3675935,25.54583683,22.60922049,16.60560691,20.95419934,25.65921997
GXM22_RS00975,237.2448649,268.6250284,272.3075554,260.5675357,295.8039681,249.0841036,205.3511535,236.7646207
GXM22_RS00980,197.0504869,201.8709045,220.3091277,193.1265265,204.1110183,171.5912714,182.7206182,193.610478
GXM22_RS00985,194.1094349,241.2799656,223.0458871,237.0653658,217.2997303,220.0242915,191.9404659,223.9350107
GXM22_RS00990,342.1423878,403.7418091,372.1992717,373.9910512,341.022409,352.8691468,292.5206227,314.9086088
GXM22_RS00995,61.76209292,74.79678933,77.99764149,51.09167367,65.94355976,56.7358236,51.96641435,66.4807063
GXM22_RS01000,351.9458946,352.2687498,351.6735765,409.7552228,414.5023756,459.4217911,310.1221502,352.2311105
GXM22_RS01005,213.7164485,219.5647687,221.6775074,229.9125315,236.7687812,164.6722685,163.4427548,193.610478
GXM22_RS01010,230.3824101,260.5823628,247.6767212,268.7422035,241.1650185,239.3974996,172.6626025,233.2656361
GXM22_RS01015,176.4631226,236.4543663,247.6767212,202.3230277,228.6043405,261.5383088,191.1022979,211.1054007
GXM22_RS01020,284.3016976,316.0767549,317.4640846,329.0303784,210.3913573,225.5594938,279.9481031,311.4096242
