,Raw Counts Control 1,Raw Counts Control 2,Raw Counts Control 3,Raw Counts Gal grown 1,Raw Counts Gal grown 2,Raw Counts Gal grown 3
PG0453,837,1258,1038,1487,1251,1367
PG0456,4131,9237,9211,10850,10731,5767
PG0457,707,1357,1335,1543,1464,864
PG0458,716,1017,890,1242,968,1119
PG0459,90,118,95,126,128,108
PG0460,1467,1984,1876,2243,1789,1819
PG0461,1051,1437,1199,1855,1354,1509
PG0462,2286,2555,2012,3037,2570,4006
PG0463,1788,2652,2044,3928,3508,3716
PG0464,1780,2218,1726,2896,2669,3355
PG0465,1242,1925,1764,2787,2179,2281
PG0466,717,904,689,1265,1057,1378
PG0468,885,1481,1296,2088,2049,1704
PG0469,290,456,360,620,562,560
PG0470,1,3,5,2,4,2
PG0471,2079,3338,2513,5762,5231,4971
PG0472,505,1062,862,1447,1541,885
PG0474,286,383,345,544,423,398
PG0475,250,361,345,628,581,403
PG0476,363,619,454,822,739,644
PG0477,166,298,209,394,434,343
PG0479,445,569,477,725,577,643
PG0480,298,370,303,427,334,425
PG0481,3970,5192,3894,6286,5399,7188
PG0482,632,593,495,719,538,1299
PG0483,106,191,162,264,219,230
PG0484,1029,1543,1232,2006,1771,1697
PG0485,3347,4156,3440,4882,4039,4419
PG0486,122,178,133,240,181,247
PG0487,3662,5189,4362,5772,4752,4140
PG0488,492,845,682,1149,1121,936
PG0489,784,1074,849,1766,1556,1613
PG0490,1451,1861,1502,2269,1895,2527
PG0491,8357,9538,8024,11235,9870,14592
PG0492,21,31,32,35,25,31
PG0493,9,26,26,28,20,15
PG0494,19,66,63,51,57,32
PG0495,671,1314,1042,1435,1318,1256
PG0496,8,11,6,12,7,10
PG0497,527,669,457,949,846,886
PG0498,145,206,146,279,286,274
PG0499,637,1401,1323,1483,1419,832
PG0500,1964,3213,2649,4369,4085,3456
PG0501,472,790,621,1121,1070,970
PG0502,540,880,751,1229,1148,1167
PG0503,3736,5117,3839,6640,5573,7340
PG0504,1717,2177,1744,2883,2569,2845
PG0505,293,323,315,476,393,653
PG0506,92109,72413,57377,82914,55545,155973
PG0507,38,50,36,54,53,48
PG0508,419,774,568,1078,964,854
PG0509,479,661,511,925,705,1095
PG0510,925,1582,1234,2327,1997,1701
PG0511,1617,1983,1594,2816,2260,2924
PG0512,1236,1547,1305,1803,1502,1598
PG0513,2275,2636,1997,3191,2615,3140
PG0514,15461,19603,15319,24094,20639,24564
PG0515,5875,7959,6516,11301,9550,10807
PG0516,1886,2787,2341,3548,3101,2918
PG0517,3646,5074,4006,5630,4888,5323
PG0518,704,1032,808,1416,1237,1337
PG0519,88,163,152,231,223,121
PGt09,50,84,76,123,126,58
PG0520,34843,45929,35549,51606,49692,47871
predicted RNA,620,826,688,864,822,816
PG0521,3374,4981,4543,5679,5805,4446
PG0522,1060,1624,1308,1814,1597,1737
PG0523,3554,5576,4301,6272,5459,5912
PG0524,7,27,23,34,28,16
PG0525,2905,4258,3235,6808,6491,6348
PG0526,4291,5597,4327,7482,6693,8826
PG0528,5405,6902,5160,9689,8174,9098
PG0529,1854,2590,2067,3804,3433,3254
PG0530,6601,8282,6276,12119,10334,12172
PG0531,2644,3504,2862,4455,3940,4116
PG0532,221,338,245,368,311,381
PGt10,724,1252,1076,1631,1511,997
PGt11,974,1632,1397,2191,1990,1375
PGt12,1010,1624,1332,2229,1961,1404
PGt13,330,504,395,796,683,487
PG0534,2024,3375,2945,5290,4920,4103
PG0535,3714,7776,7622,8984,8787,5448
PG0536,654,1232,1217,1489,1329,923
PG0537,7389,7800,6418,9791,7908,14215
PG0538,994,1405,1847,2483,2002,1692
PG0539,373,409,555,471,402,633
PG0540,1406,1640,2106,1881,1638,1955
PG0541,236,326,489,379,292,336
PG0542,20,59,57,82,71,39
PG0543,127,232,196,240,216,160
PG0544,1745,2293,1835,2501,2065,2436
