locus_tag,PG_DMSO_1,PG_DMSO_2,PG_PABA_1,PG_PABA_2
PGN_0656,3529,3284,33548,29735
PGN_0657,18215,13683,117823,74196
PGN_0658,837,958,1508,1191
PGN_0659,2049,1579,6578,3489
PGN_0660,3415,1672,15588,3498
PGN_0661,860,489,5817,1190
PGN_0662,3481,2956,16617,11392
PGN_0663,1726,1443,2985,1808
PGN_0664,724,631,2842,1781
PGN_0665,1252,1269,8231,5544
PGN_0666,639,654,3823,3032
PGN_0667,2463,2125,7924,5520
PGN_0668,306,254,1602,869
PGN_0669,256,241,710,421
PGN_0670,378,308,930,563
PGN_0671,176,149,899,632
PGN_0672,442,413,1718,1268
PGN_0673,279,315,671,523
PGN_0674,317,291,737,581
PGN_0675,299,289,1050,780
PGN_0676,355,329,1446,964
PGN_0677,396,383,907,590
PGN_0678,675,655,1674,1249
PGN_0679,978,1003,3291,2328
PGN_0680,1265,1158,14898,10154
PGN_0681,8,10,6,4
PGN_0682,3054,2228,3749,2415
PGN_0683,4340,4025,23430,20343
PGN_0684,834,745,2271,1523
PGN_0685,497,516,2301,1650
PGN_0686,558,542,1683,1138
PGN_0687,1182,1085,2824,1873
PGN_0688,67,63,159,73
PGN_0689,91,74,64,47
PGN_0690,507,404,140,71
PGN_0691,144,120,872,557
PGN_0692,723,665,5029,3088
PGN_0693,924,747,3305,1811
PGN_0694,571,457,1881,948
PGN_0695,493,426,1074,677
PGN_0696,611,557,1490,935
PGN_0697,2794,2374,3376,2095
PGN_0698,2236,2038,4168,3088
PGN_0699,8,8,14,9
PGN_0700,260,212,489,366
PGN_0701,478,394,1131,795
PGN_0702,319,247,425,288
PGN_0703,124,106,262,141
PGN_0704,1601,1345,8190,5319
PGN_0705,3482,2555,53885,30486
PGN_0706,719,731,1602,1245
PGN_0707,303,269,691,495
PGN_0708,566,515,1015,635
PGN_0709,4468,3437,16580,11000
PGN_0710,2300,2116,19906,16286
PGN_0711,357,353,926,635
PGN_0712,2,5,3,3
PGN_0713,808,703,2319,1846
PGN_0714,1203,998,1604,1170
PGN_0715,278,225,389,204
PGN_0716,252,188,339,197
PGN_0717,162,143,181,87
PGN_0718,127,139,285,171
PGN_0719,211,178,329,162
PGN_0720,298,263,604,430
PGN_0721,406,357,656,460
PGN_0722,2098,1817,5686,3646
PGN_0723,4095,3154,21217,13866
PGN_0724,2745,2201,18069,9974
PGN_0725,1319,1161,10985,6551
PGN_0726,4599,3140,9170,5066
PGN_0727,14460,10997,121290,69273
PGN_0728,145381,107177,370710,205468
PGN_0729,153311,112723,332506,183434
PGN_0730,48,45,98,62
PGN_0731,214,168,634,443
PGN_0732,837,806,3082,1783
PGN_0733,1419,1322,8602,6477
PGN_0734,35,30,33,25
PGN_0735,271,261,1582,1052
PGN_0736,624,601,2771,2260
PGN_0737,842,794,1773,1491
PGN_0738,567,552,680,562
PGN_0739,2902,2552,13283,7924
PGN_0740,6109,4198,12525,7219
PGN_0741,2954,2050,4559,2822
PGN_0742,1395,1111,6079,3582
PGN_0743,4835,3558,12752,6946
PGN_0744,197,171,330,220
PGN_0745,26,23,93,58
PGN_0746,140,96,466,304
PGN_0747,193,165,345,183
PGN_0748,96464,90723,323628,265631
PGN_0749,23364,18676,17677,10477
PGN_0750,229,202,818,528
PGN_0751,285,250,880,558
PGN_0752,1425,1037,451,244
PGN_0753,6777,4741,1855,1144
PGN_0754,699,664,2662,1573
PGN_0755,32,40,53,31
PGN_0756,4578,3618,9836,6318
PGN_0757,287,231,1810,1250
PGN_0758,509,365,1411,811
PGN_0759,861,714,1690,995
PGN_0760,495,435,2187,1338
PGN_0761,1013,852,2638,1775
PGN_0762,885,819,3719,2440
PGN_0763,12,15,14,8
PGN_0764,742,593,1837,1079
PGN_0765,711,611,1321,711
PGN_0766,240,207,689,441
PGN_0767,38,37,237,147
PGN_0768,141,113,380,258
PGN_0769,447,359,539,331
PGN_0770,173,144,330,195
PGN_0771,94,90,208,118
PGN_0772,177,159,472,358
PGN_0773,126,95,342,230
PGN_0774,249,230,510,384
PGN_0775,324,329,800,630
PGN_0776,7,5,9,9
PGN_0777,278,252,940,611
PGN_0778,395,425,1532,973
PGN_0779,103,88,230,115
PGN_0780,601,534,766,402
PGN_0781,188,183,560,378
PGN_0782,105,87,158,98
PGN_0783,418,353,3774,1965
PGN_0784,1190,904,7673,4351
PGN_0785,486,413,1704,933
PGN_0786,569,535,1636,1170
PGN_0787,542,606,1199,933
PGN_0788,3665,3503,25809,22495
PGN_0789,1870,1628,12650,9013
PGN_0790,506,419,305,187
PGN_0791,994,873,6051,3803
PGN_0792,4310,3395,12512,8717
PGN_0793,1352,1273,4298,3207
PGN_0794,460,399,2754,2047
PGN_0795,1653,1373,28360,18578
PGN_0796,10,6,4,4
PGN_0797,6,5,12,0
PGN_0798,234,199,639,377
PGN_0799,2406,2133,6833,4786
PGN_0800,703,705,2678,1956
PGN_0801,566,504,2187,1526
PGN_0802,690,600,940,553
PGN_0803,3290,2633,28632,16311
PGN_0804,4002,3172,33712,19979
PGN_0805,2007,1802,18816,11906
PGN_0806,1740,1422,19236,13690
PGN_0807,185,175,617,326
PGN_0808,228,207,869,549
PGN_0809,1972,1662,3561,2238
PGN_0810,48,48,49,34
PGN_0811,591,639,1563,1075
PGN_0812,730,628,982,626
PGN_0813,3180,2248,5726,3761
PGN_0814,890,656,3738,2327
PGN_0815,221,190,554,319
PGN_0816,3345,2740,26258,15609
PGN_0817,2807,2527,8562,5511
PGN_0818,1315,978,2487,1524
PGN_0819,2171,1931,8538,5349
