id,MS2contr_R1,MS2contr_R2,MS2RsaI_R1,MS2RsaI_R2,MS2RsaI_R3,MS2RsaImut2_R1,MS2RsaImut4_R1
HG001_00776,665,97,208,467,105,77,126
HG001_00927,489,552,317,343,384,457,387
HG001_02438,490,106,242,432,72,80,74
HG001_01739,15,67,9,11,41,27,53
HG001_00624,498,1122,294,380,792,1048,396
HG001_00794,27,55,15,20,34,40,14
HG001_02117,799,1338,596,529,835,752,524
HG001_02649,889,1480,594,912,767,1286,643
HG001_00840,79,20,33,70,11,10,12
HG001_02083,13,23,2,10,16,36,10
HG001_01560,127,405,104,115,200,188,176
HG001_01822,4,207,0,1,149,329,62
HG001_01935,2845,2097,1550,3049,1144,1201,728
HG001_00715,7872,5687,5910,6626,3020,4912,3481
HG001_01690,588,198,347,311,163,195,91
HG001_00302,12,36,3,9,24,37,17
HG001_01103,2175,3195,1580,2266,1523,1406,956
HG001_02136,9620,11472,5418,9604,6642,6306,3272
HG001_00408,325,450,174,173,389,215,253
HG001_02534,1960,985,952,1367,810,580,551
HG001_00195,1190,1516,668,852,1117,1122,572
HG001_02159,185,792,133,137,483,378,266
HG001_00807,51,81,29,35,53,39,29
HG001_02185,930,1305,556,543,1001,944,565
HG001_02568,7,12,5,4,2,4,2
HG001_01123,384,307,243,249,211,166,176
HG001_00060,42777,221,24228,37834,125,158,103
HG001_01254,156,333,77,111,247,253,137
HG001_02267,4245,4143,2819,3167,2571,2031,1683
HG001_02310,44,25,19,43,10,24,16
HG001_02575,218,94,95,203,57,60,38
HG001_00799,1101,2692,711,792,1735,1483,825
HG001_01105,5142,6934,3547,3771,4178,3400,2510
HG001_02082,36,78,18,27,50,101,64
HG001_02132,35705,58921,22927,33017,32278,30592,21903
HG001_01867,1418,918,966,1061,541,460,567
HG001_00178,3848,4196,2522,3421,2293,4063,1808
HG001_00665,728,774,415,586,495,600,472
HG001_00779,4491,4972,2440,3758,3219,2741,1830
HG001_00714,2775,2256,1735,2232,1359,1739,1108
HG001_01691,355,64,166,157,67,67,44
HG001_01220,24,167,16,24,86,79,41
HG001_02282,1099,3789,984,821,1726,1708,1305
HG001_00716,7041,11286,4821,5700,6277,7137,3692
HG001_02112,2440,513,556,1312,692,929,330
HG001_01252,182,362,125,136,207,245,165
HG001_02674,83951,71753,54856,107328,27981,15249,21579
HG001_00978,34,11,8,26,6,10,9
HG001_00967,887,997,463,663,691,432,319
HG001_01460,2922,2729,1461,1324,2513,1892,2210
HG001_01721,199,101,119,126,66,66,60
HG001_01972,1432,1678,977,1526,729,1243,397
HG001_00501,1169,1100,464,774,952,865,716
HG001_01450,921,282,462,509,238,187,159
HG001_02328,1059,1311,629,796,830,852,420
HG001_01360,74,72,38,45,50,41,23
HG001_01251,38,77,25,30,38,57,88
HG001_02327,348,733,224,211,475,556,221
HG001_00736,311,65,105,202,61,70,40
HG001_01139,25,135,15,28,61,85,53
HG001_02079,29,66,9,14,56,82,48
HG001_02673,15898,49786,13613,17043,18660,10814,12311
HG001_02233,12,29,8,7,12,15,12
HG001_00804,16146,3996,8766,11109,2760,3706,2399
HG001_02691,2953,4597,1387,1930,3555,2091,1601
HG001_02180,346,192,163,220,149,175,117
HG001_02265,781,994,391,531,718,614,495
HG001_01077,1480,574,819,965,397,295,266
HG001_01776,8770,8575,4742,5870,6004,6045,3737
HG001_02692,3420,3818,2226,2318,2282,2044,1252
HG001_01689,124,66,42,54,72,81,45
HG001_00596,56,17,23,37,10,23,16
HG001_01097,18228,5412,9271,9487,4371,3492,6233
HG001_01649,1,16,0,1,3,1,3
HG001_00002,11150,2314,5428,8494,1538,1715,1008
HG001_00853,754,505,385,559,330,330,304
HG001_02446,107,333,66,91,174,141,43
HG001_01451,965,576,378,618,471,336,296
HG001_02272,453,2157,353,348,1003,919,775
HG001_01104,1609,2680,1001,1148,1549,1294,1042
HG001_02229,29,92,19,25,41,54,29
HG001_02230,69,198,56,40,96,112,72
HG001_02134,15939,17717,9759,12067,9988,9323,6024
HG001_01257,196,202,98,133,131,163,95
HG001_00530,131,52,40,63,52,39,24
HG001_02182,2057,1512,894,1673,947,1229,914
HG001_02281,2524,7777,2217,2157,2795,3221,3100
HG001_02284,1892,4000,1282,1706,1774,2005,1387
HG001_00955,15,11,3,9,5,14,10
HG001_02270,614,1607,359,384,999,719,520
HG001_00182,60,48,24,32,35,28,29
HG001_01642,265,273,133,190,168,240,156
HG001_02186,1569,1201,699,918,922,847,357
HG001_00407,1244,659,500,696,549,408,386
HG001_02403,1045,2282,619,797,1226,779,843
HG001_01777,1184,704,420,735,574,502,456
HG001_02620,5897,2789,2703,4360,1771,2295,1560
HG001_02280,1032,3475,798,830,1414,1332,1121
HG001_01255,73,186,17,45,146,153,64
HG001_01459,3896,2662,1673,1753,2286,2050,2111
HG001_01643,394,492,194,252,317,399,266
HG001_02325,1938,2099,977,1254,1352,1259,826
HG001_02277,785,2343,526,554,1141,1046,755
HG001_01051,1176,302,769,1005,112,304,119
HG001_01299,1542,629,557,876,520,476,427
HG001_02725,6287,2309,3358,3767,1461,1973,1632
HG001_02651,104,128,59,59,72,82,59
