,ctrl4,ctrl5,ctrl6,IP1,IP2,IP3
SAOUHSC_00128,5367,17657,5622,3883,3744,2325
SAOUHSC_01264,1409,976,32,1524,1249,575
SAOUHSC_01265,5571,6097,1234,2499,2218,1677
SAOUHSC_01266,8998,12700,2462,8543,7836,6290
SAOUHSC_01267,5984,8071,2175,5623,4748,4297
SAOUHSC_01268,586,782,46,237,211,157
SAOUHSC_01269,10102,11568,1203,9425,6761,8316
SAOUHSC_01270,3430,5799,601,4316,3217,4009
SAOUHSC_01271,3701,3523,819,5098,3626,4253
SAOUHSC_01272,5087,6524,930,4455,3195,3043
SAOUHSC_01273,4624,6053,964,4540,2971,3314
SAOUHSC_00129,5609,15430,5462,4363,4029,2841
SAOUHSC_01274,1388,2187,221,1501,971,1353
SAOUHSC_01275,28291,19790,11271,4809,3990,2664
SAOUHSC_01276,12921,12213,3645,4385,4542,2989
SAOUHSC_01278,63053,12984,7741,2507,2633,2034
SAOUHSC_01279,1685,1980,217,480,364,289
SAOUHSC_01280,2574,2237,276,1981,1717,1356
SAOUHSC_01281,1348,661,107,1271,1104,781
SAOUHSC_01282,3451,4065,967,2034,1821,1048
SAOUHSC_01283,1904,2098,372,2616,2262,2085
SAOUHSC_01284,2475,3045,353,4519,3584,3367
SAOUHSC_00130,604,913,62,1127,931,747
SAOUHSC_01285,9095,8038,668,2698,2619,1791
SAOUHSC_01287,48047,41428,6402,16031,13807,11391
SAOUHSC_01288,127,78,18,91,78,79
SAOUHSC_01289,10,19,1,13,3,5
SAOUHSC_01290,120,111,10,60,41,73
SAOUHSC_01291,26,69,8,17,11,12
SAOUHSC_01292,73,101,2,90,71,71
SAOUHSC_01293,20,11,0,54,23,50
SAOUHSC_01294,9,10,1,14,4,12
SAOUHSC_01295,188,269,8,119,66,115
SAOUHSC_00131,516,781,42,811,672,549
SAOUHSC_01296,58,52,13,33,23,21
SAOUHSC_01297,85,165,8,22,9,18
SAOUHSC_01298,0,3,0,4,3,2
SAOUHSC_01299,4,2,0,15,9,6
SAOUHSC_01300,17,11,0,22,7,14
SAOUHSC_01301,283,435,16,64,43,105
SAOUHSC_01302,85,125,49,30,14,11
SAOUHSC_01303,250,274,23,56,34,59
SAOUHSC_01304,683,356,29,377,188,248
SAOUHSC_01305,295,406,38,71,42,112
SAOUHSC_00132,22189,33347,3092,12886,13782,4765
SAOUHSC_01306,72,87,12,7,11,17
SAOUHSC_01307,991,913,250,1779,1299,1323
SAOUHSC_01309,236,454,47,52,33,49
SAOUHSC_01310,4907,6551,1096,1817,1274,1047
SAOUHSC_01311,108,190,13,114,61,90
SAOUHSC_01312,186,347,6,169,82,152
SAOUHSC_01313,744,1228,72,1076,686,1051
SAOUHSC_01314,925,1362,71,1871,1123,1591
SAOUHSC_01315,85,135,15,43,37,64
SAOUHSC_01316,512,676,99,952,633,765
SAOUHSC_00133,1614,1795,185,969,831,656
SAOUHSC_01317,5153,6011,316,3951,3053,2457
SAOUHSC_01318,2632,2837,145,2405,1506,1484
