GeneName,X50494,X50495,X50496,X50497,X50498,X50499,X50501,X50502,X50503,X50504,X50505,X50628
EW031_RS15275,83,139,165,412,50,87,314,148,218,221,196,169
EW031_RS15280,14,22,27,49,12,14,46,17,8,17,16,1
noc,1690,2110,1770,2136,995,2012,1308,344,856,868,842,774
rsmG,1238,1610,1288,1662,613,1052,1093,236,694,593,538,337
mnmG,2305,2828,2227,3211,1204,1626,2509,695,1808,1438,1475,1106
mnmE,1232,1278,1139,1695,523,757,1445,502,866,730,945,458
rnpA,281,191,204,276,107,185,168,73,116,131,162,51
EW031_RS15310,14536,18444,16555,18775,11086,20765,6053,8121,6368,4824,5783,2691
EW031_RS15315,4196,2745,2527,4217,3164,4846,4308,16209,6139,6033,9473,10077
EW031_RS15320,107,124,161,652,51,39,104,17,94,81,27,4
EW031_RS15325,303,517,581,1593,293,299,455,158,291,235,119,95
EW031_RS15330,160,244,367,683,218,257,190,91,129,130,129,76
EW031_RS15335,5702,4991,9005,9792,15231,16102,9430,81911,3674,5590,3348,10054
EW031_RS15340,2032,1662,1956,3043,1380,1624,1099,644,1012,812,881,717
EW031_RS15345,314,388,423,841,310,554,210,101,209,190,223,142
EW031_RS15350,10,25,52,150,8,2,12,0,9,5,12,18
blaZ,4047,4243,4108,6205,3155,3618,4002,1353,28684,41309,72726,79438
blaR1,3127,5100,4108,5114,3032,2556,3193,686,2568,2639,3646,2928
blaI,753,1210,1132,1780,601,586,720,101,621,562,720,407
EW031_RS15370,1171,1077,1219,1955,794,727,1783,535,1134,1816,956,644
EW031_RS15375,142,233,496,510,444,251,80,49,64,74,98,40
EW031_RS15380,3807,4002,7286,2979,6918,4336,1450,1150,1118,1073,1189,796
EW031_RS15385,3277,2217,3820,1179,5400,3764,1056,1541,826,749,1059,440
EW031_RS15390,9442,8035,12503,5078,11503,9508,3946,3376,3527,2300,3102,2163
EW031_RS15395,6222,5616,8393,3300,7215,6177,2434,1640,2092,1331,1854,1047
aph(3')-IIIa,30338,18134,26274,10697,23205,33177,11745,24648,10255,7349,11230,8233
sat4,7275,4154,5974,3466,5524,8136,2401,2512,2091,1877,2385,1362
ant(6),5283,7287,8975,8085,9869,8873,1897,2329,1433,1275,1562,590
EW031_RS15415,2280,2781,4254,2587,4553,4593,841,1197,786,729,804,443
EW031_RS15420,828,822,1021,730,1085,743,438,313,249,236,175,87
EW031_RS15425,1584,1767,2200,1922,2207,1441,763,424,480,453,326,207
EW031_RS15430,1316,2033,2085,2284,1678,1026,710,208,473,419,308,196
EW031_RS15435,1452,1966,2387,2201,2578,1267,678,262,521,444,407,295
EW031_RS15440,1369,1344,1740,1314,2009,1419,744,1140,485,594,631,451
EW031_RS15445,310,323,556,1048,360,398,246,197,192,163,184,138
msr(A),1799,2155,2956,5861,944,965,1550,585,1400,1146,701,526
mph(C),2213,2859,2974,4331,1307,1418,1499,332,1202,1088,695,539
EW031_RS15460,894,1043,1433,1996,990,937,776,263,623,616,500,388
EW031_RS15465,988,1010,1050,1333,1065,797,432,244,376,335,229,209
EW031_RS15470,292,257,238,345,296,207,111,79,85,78,64,52
EW031_RS15475,1133,1318,1739,3729,1075,1261,553,90,379,319,216,152
EW031_RS15480,1502,1733,2085,2269,1088,3303,995,824,1097,1158,1163,1077
EW031_RS15485,490,588,789,963,411,1225,414,563,512,511,541,518
