,1_20160629000_S1_L002_R1_001 (paired) (GE) - Total counts,2_20160629000_S2_L002_R1_001 (paired) (GE) - Total counts,3_20160629000_S3_L002_R1_001 (paired) (GE) - Total counts,4_20160629000_S4_L002_R1_001 (paired) (GE) - Total counts,5_20160629000_S5_L002_R1_001 (paired) (GE) - Total counts,6_20160629000_S6_L002_R1_001 (paired) (GE) - Total counts
opuCb,2899,2497,2091,2613,2582,2490
opuCa,6781,6411,4745,6859,6184,6024
SAUSA300_2394,2864,2651,2246,4130,4259,3956
SAUSA300_2395,7507,6692,5827,22769,22817,20002
pnbA,24823,25515,18125,11409,9968,10478
SAUSA300_2397,9559,8648,7974,10976,10962,10721
SAUSA300_2398,20836,19907,16933,7782,8386,8231
SAUSA300_2399,13070,12088,8861,5094,4991,4875
SAUSA300_2400,12478,11497,10715,9651,9848,10004
SAUSA300_2401,2138,2071,1615,1756,1814,1987
SAUSA300_2402,3765,3578,2601,3534,3112,3235
SAUSA300_2403,13032,12359,10076,9767,10362,10650
SAUSA300_2404,5711,5480,4904,3986,4220,4177
SAUSA300_2405,3961,3942,3219,3197,3450,3104
SAUSA300_2406,2590,2252,2262,2951,2616,2868
SAUSA300_2407,833,646,616,1187,1058,1058
SAUSA300_2408,831,698,675,1247,1078,1216
SAUSA300_2409,528,432,429,799,781,768
SAUSA300_2410,1214,1062,983,1518,1495,1457
opp-1A,3190,2887,2585,4388,3974,4197
SAUSA300_2412,354,294,352,304,344,269
SAUSA300_2413,244,237,232,261,238,207
SAUSA300_2414,325,273,215,233,284,248
SAUSA300_2415,1347,1490,1119,600,691,648
SAUSA300_2416,11921,11782,8741,4622,4357,4434
SAUSA300_2417,22662,18788,16881,17194,17389,15258
SAUSA300_2418,12709,12474,10376,13017,13462,13088
SAUSA300_2419,1418,1286,1177,1021,1101,1118
SAUSA300_2420,915,902,700,842,803,743
SAUSA300_2421,5790,5608,4224,3363,3455,3311
SAUSA300_2422,11987,12175,8602,7354,6375,7215
SAUSA300_2423,68406,60235,67666,33899,35710,38999
SAUSA300_2424,1434,1412,1088,1299,1200,1229
SAUSA300_2425,528,549,445,481,478,444
SAUSA300_2426,861,864,595,694,727,671
SAUSA300_2427,3541,3783,2899,3178,3273,3038
SAUSA300_2428,919,891,750,712,683,754
SAUSA300_2429,1792,1746,1363,1625,1600,1576
SAUSA300_2430,2120,2127,1492,1990,2011,1940
SAUSA300_2431,11339,11011,9488,11297,12312,11153
SAUSA300_2432,1994,1783,1465,1969,1984,1724
SAUSA300_2433,6112,5639,5309,5091,5605,5147
SAUSA300_2434,1109,1134,897,714,803,846
SAUSA300_2435,11127,10398,7441,26506,23574,22507
SAUSA300_2436,16744,15469,10514,40086,36150,32428
sarT,97,72,59,73,75,104
sarU,52,49,52,84,79,86
galU,6951,6484,5729,8844,8536,8678
fnbB,5078,4714,3430,5992,5854,4581
fnbA,17373,15864,11901,8211,7404,6833
gntP,2719,2985,2685,2194,2101,2191
gntK,1688,2071,2212,1273,1248,1386
gntR,1244,1058,1175,831,1025,1325
SAUSA300_2445,7216,6917,5561,4367,4282,4293
SAUSA300_2446,4747,4213,3599,3099,2983,2751
SAUSA300_2447,30001,23108,18300,19004,14082,14978
SAUSA300_2448,4197,4405,3475,3420,3445,3198
SAUSA300_2449,5702,5344,4546,5561,5266,5671
SAUSA300_2450,5964,5652,4352,6548,6614,6695
SAUSA300_2451,1448,1275,1180,1113,1273,1134
SAUSA300_2452,160,162,113,145,169,150
SAUSA300_2453,50105,46105,38050,6932,6361,7039
SAUSA300_2454,37290,37527,27541,5068,4691,5238
SAUSA300_2455,2479,2360,2288,1550,1694,1629
SAUSA300_2456,4492,4081,3676,5938,5425,5659
SAUSA300_2457,755,732,552,514,474,544
SAUSA300_2458,568,538,350,373,262,306
SAUSA300_2459,816,650,591,1435,1329,1208
SAUSA300_2460,4286,3145,3879,2773,2940,2953
SAUSA300_2461,2882,2883,2302,2338,2079,2062
frp,2017,2048,1641,3113,3300,3015
ddh,49640,49101,36260,343283,334245,356106
SAUSA300_2464,464,478,355,588,532,551
SAUSA300_2465,88,77,50,328,322,272
SAUSA300_2466,381,340,306,685,655,703
srtA,9243,9147,7078,8537,8316,7978
SAUSA300_2468,1494,1425,1345,1541,1451,1590
sdaAA,949,942,738,834,809,826
sdaAB,323,348,260,292,295,308
SAUSA300_2471,550,515,443,544,496,480
SAUSA300_2472,5039,5387,3521,5314,4445,4997
SAUSA300_2473,17803,17136,13285,9838,9392,9994
SAUSA300_2474,1576,1518,1282,892,877,950
SAUSA300_2475,2168,1944,1621,1389,1205,1245
ptsG_2,8519,9768,9181,11186,11643,12581
cidC,72156,69680,59133,53000,54412,53085
cidB,23538,25973,19478,17895,17583,18001
cidA,2541,2264,2275,3564,3540,3706
SAUSA300_2480,3728,3709,3049,2609,2826,2822
SAUSA300_2481,68380,50311,59378,54606,62003,68308
SAUSA300_2482,1004,984,901,950,1136,1114
SAUSA300_2483,8971,8861,7931,8483,8813,9102
SAUSA300_2484,21015,20372,20983,17563,20224,18953
SAUSA300_2485,3800,3478,2432,2407,2068,2436
SAUSA300_2486,141222,142127,113887,61703,58680,64220
feoB,1529,1595,1232,1742,1754,1614
feoA,10,6,8,98,86,55
SAUSA300_2489,2282,2152,1964,2756,3048,2795
SAUSA300_2490,2060,1810,1554,2347,2422,2220
SAUSA300_2491,7373,6992,6380,4513,5067,4821
SAUSA300_2492,3324,3157,2568,2309,2356,2295
SAUSA300_2493,265,230,185,200,200,170
SAUSA300_2494,14146,12557,11216,9864,9455,10008
SAUSA300_2495,4326,3828,3704,2971,2845,2897
SAUSA300_2496,8218,7382,6559,6274,5631,5909
SAUSA300_2497,7903,7057,6529,5894,5349,5421
crtN,6437,6847,5043,3059,3024,3007
crtM,4183,4468,3315,1733,1876,1753
SAUSA300_2500,9723,10264,7438,3345,3410,3346
SAUSA300_2501,13644,14950,10662,5017,4761,4951
SAUSA300_2502,2947,2917,1941,1216,1124,1308
SAUSA300_2503,1023,1191,845,905,1098,1064
SAUSA300_2504,20790,20632,16937,24525,25520,23115
SAUSA300_2505,377,568,322,730,857,786
isaA,33018,30345,30372,43146,52662,48047
SAUSA300_2507,318,261,262,517,501,466
SAUSA300_2508,14,10,8,10,12,5
SAUSA300_2509,1407,1230,1096,1638,1511,1540
SAUSA300_2510,952,863,746,890,879,929
SAUSA300_2511,683,658,549,599,659,611
SAUSA300_2512,583,637,482,594,578,485
SAUSA300_2513,744,695,474,661,765,708
SAUSA300_2514,267,184,150,216,237,210
SAUSA300_2515,675,635,529,649,647,640
SAUSA300_2516,812,605,668,718,713,613
SAUSA300_2517,6992,6627,5756,3636,4036,3459
SAUSA300_2518,29435,29435,22365,14703,14656,13846
SAUSA300_2519,823,807,672,733,809,679
SAUSA300_2520,874,844,751,988,933,899
SAUSA300_2521,395,337,320,413,439,458
SAUSA300_2522,426,448,261,371,373,351
SAUSA300_2523,820,922,517,630,636,560
SAUSA300_2524,403,409,262,256,276,279
SAUSA300_2525,12092,12362,9225,4577,4340,4433
pyrD,9011,9466,8323,9597,9415,9525
SAUSA300_2527,4673,4365,3416,4621,4328,4423
SAUSA300_2528,4148,3345,3267,4307,4544,4627
SAUSA300_2529,3730,3108,3377,2430,3232,2637
SAUSA300_2530,933,908,723,880,921,918
SAUSA300_2531,3289,2863,2672,2523,2621,2502
panD,7674,6990,5779,7623,7859,7299
panC,17228,16438,12316,18492,17645,17643
panB,11404,10486,8553,12753,12814,12707
panE_2,5342,4833,4025,4336,4286,4196
budA_2,8448,8428,6933,7685,6927,7900
SAUSA300_2537,73676,68862,62602,43354,39546,45771
SAUSA300_2538,8699,7206,7314,15883,14616,15444
SAUSA300_2539,843,793,602,1168,1102,1061
SAUSA300_2540,105829,95156,95305,46392,49723,48165
mqo_2,378200,340198,336308,318632,325052,322506
SAUSA300_2542,88467,85121,69296,50014,49198,51134
SAUSA300_2543,11443,12031,9201,4679,4317,4534
SAUSA300_2544,3622,3034,2820,2488,2328,2457
betA,743,738,622,690,714,614
betB,678,698,518,513,626,570
SAUSA300_2547,2800,2655,2120,2830,2995,2826
SAUSA300_2548,5118,4600,3941,2712,2619,2504
bccT,1147,1173,918,862,927,832
nrdG,13923,12959,10981,2940,2504,3143
nrdD,55255,53160,43524,12852,11021,13440
SAUSA300_2552,2451,2109,1738,1438,1387,1240
SAUSA300_2553,2808,2765,2147,2541,2546,2557
SAUSA300_2554,5642,5295,4390,5683,5563,5795
SAUSA300_2555,530,470,372,1447,1615,1379
SAUSA300_2556,5088,4707,4197,4476,4176,4322
SAUSA300_2557,1940,1757,1361,1699,1560,1668
nsaS,4762,4765,3865,3563,3766,3614
SAUSA300_2559,4022,3998,3780,3312,3623,3075
SAUSA300_2560,2039,2056,1585,1397,1489,1382
phoB,778,739,517,337,323,349
SAUSA300_2562,1904,1520,1708,1636,1678,1739
SAUSA300_2563,4356,4235,3738,4337,4416,4524
estA,4958,4688,3830,4899,5071,5180
clfB,79203,75644,65235,131499,140676,121507
arcR,1208,1018,923,1141,1119,1083
arcC_3,1532,1576,1178,1286,1330,1327
arcD_2,706,659,522,632,604,553
arcB_2,201,204,168,253,250,202
arcA_2,145,110,107,155,148,155
argR_3,96,84,102,133,125,116
aur,4425,4147,3534,2730,2281,2429
isaB,9357,9609,7497,11882,12500,12362
SAUSA300_2574,1003,1013,722,2779,2725,2280
SAUSA300_2575,2002,1751,1596,2414,2420,2380
SAUSA300_2576,9279,8486,7186,9500,8904,9797
manA_2,5713,5403,4764,5773,5750,5670
SAUSA300_2578,32394,31037,25490,32831,31182,31627
SAUSA300_2579,87702,82781,70918,62889,61240,57614
SAUSA300_2580,6510,6116,5024,2985,2981,2971
SAUSA300_2581,11149,10669,9179,6115,6298,6066
SAUSA300_2582,15009,14994,11851,8425,8675,7924
SAUSA300_2583,18862,18865,14565,8642,8986,8048
SAUSA300_2584,31100,30011,23120,16351,16240,15431
SAUSA300_2585,2089,1942,1371,4280,4375,3936
SAUSA300_2586,3013,2687,2345,7210,7185,6345
SAUSA300_2587,2686,2606,1911,6948,6979,6075
secY_2,1224,1106,891,2996,3089,2602
SAUSA300_2589,62031,55340,49250,137266,139286,123731
SAUSA300_2590,5989,5164,4696,3605,3653,3392
SAUSA300_2591,2097,1977,1752,1166,1318,1238
SAUSA300_2592,12662,11640,10062,6906,6987,6637
SAUSA300_2593,7806,8482,5942,4695,4538,4274
msrA_3,409,365,331,397,445,405
SAUSA300_2595,254,218,220,253,272,269
cap1C,424,343,333,3191,2895,3081
cap1B,248,277,179,2565,2266,2258
cap1A,99,90,62,791,783,859
tetR,12358,11904,8572,7738,7033,7507
icaA,183,172,129,215,232,227
icaB,312,280,297,364,354,324
icaC,536,569,357,595,649,641
lip,4704,4570,3633,1763,1717,1876
SAUSA300_2604,201,200,118,222,186,158
hisIE,668,579,504,892,698,688
hisF,688,601,456,936,742,717
hisA,462,418,368,709,533,611
hisH,259,225,192,475,381,384
hisB,234,176,138,441,350,364
hisC_2,315,317,265,701,636,644
hisD,337,346,280,1045,780,772
hisG,79,80,72,251,207,195
hisZ,175,128,106,418,291,318
SAUSA300_2614,2398,2284,1801,5401,4880,4743
SAUSA300_2615,1119,1115,812,1495,1404,1339
SAUSA300_2616,1663,1538,1304,2254,2040,2085
SAUSA300_2617,4687,4123,3505,5882,5067,5233
SAUSA300_2618,1379,1036,834,1776,1441,1585
SAUSA300_2619,1186,909,863,1927,1449,1591
SAUSA300_2620,5761,5476,4540,3201,3044,3073
SAUSA300_2621,1253,1243,1000,1392,1339,1314
SAUSA300_2622,1418,1364,1161,1604,1612,1435
pcp,1764,1726,1441,1835,1802,1787
SAUSA300_2624,2098,1853,1415,1771,1991,1911
SAUSA300_2625,622,641,371,653,598,630
SAUSA300_2626,2426,2223,2263,1463,1688,1400
SAUSA300_2627,23804,21235,21659,10853,11867,11401
rarD,3239,3254,2358,4275,4058,3963
SAUSA300_2629,3625,3533,2845,2445,2361,2300
nixA,6846,6241,5448,6540,6795,6376
SAUSA300_2631,1142,1084,890,848,1009,1010
SAUSA300_2632,15668,16692,12028,5964,5875,5868
SAUSA300_2633,445,441,435,430,423,445
SAUSA300_2634,1106,993,901,980,896,869
SAUSA300_2635,55,73,66,55,53,74
SAUSA300_2636,1215,1238,1020,1267,1174,1244
SAUSA300_2637,209,195,195,216,215,275
SAUSA300_2638,237,201,161,192,243,178
SAUSA300_2639,118774,104500,119581,133262,133475,142442
SAUSA300_2640,2346,2260,1843,1785,1667,1772
SAUSA300_2641,1344,1220,954,1012,879,1109
SAUSA300_2642,1130,966,846,1013,814,980
SAUSA300_2643,10440,9518,8315,9280,9175,9468
gidB,3392,3411,2634,3322,3394,3469
gidA,9189,8826,7141,8140,8735,8761
trmE,4107,4095,3407,3747,3919,3885
rnpA,400,366,353,371,405,340
rpmH,5579,5208,6115,7458,8557,8195
