gene_id,X12hUSA5001_count,X12hUSA5002_count,X12hUSA5003_count,X12hUSA500phoU11_count,X12hUSA500phoU12_count,X12hUSA500phoU13_count,X12hUSA500phoU21_count,X12hUSA500phoU22_count,X12hUSA500phoU23_count
CH51_RS01435,0,0,0,0,0,0,0,0,0
CH51_RS01440,16,12,17,19,16,19,4,6,6
CH51_RS01445,32,55,39,59,70,53,31,34,27
CH51_RS01450,37,39,29,13,12,10,15,12,16
CH51_RS01455,14,29,15,38,25,7,16,22,19
CH51_RS01460,49,20,39,24,32,32,25,17,24
CH51_RS01470,142,91,97,152,184,133,83,71,78
CH51_RS01475,27,35,30,60,27,61,19,28,20
CH51_RS01480,29,16,12,27,43,19,18,15,13
CH51_RS01485,17,8,5,21,24,20,10,9,2
CH51_RS01490,8,6,2,22,14,10,11,7,2
CH51_RS01495,19,16,16,39,25,29,23,11,12
CH51_RS01500,36,14,17,29,37,33,15,19,19
CH51_RS01505,116,98,101,107,98,99,59,69,66
CH51_RS01510,272,297,278,124,114,133,99,117,91
CH51_RS01515,449,402,391,665,587,609,666,998,845
CH51_RS01520,1121,1192,997,1824,1691,1642,375,508,480
CH51_RS01525,145,163,151,56,64,53,15,18,37
CH51_RS01530,1,0,0,3,5,1,2,6,2
CH51_RS01535,2548,2560,2494,4465,4276,4785,2361,2054,1913
CH51_RS01540,1149,1240,1026,1727,1512,1597,604,836,719
CH51_RS01545,301,287,284,540,457,473,116,181,174
CH51_RS01550,60,59,44,75,70,73,103,96,95
CH51_RS01555,74,63,63,134,81,63,105,115,97
CH51_RS01560,119,124,80,109,105,85,86,125,94
CH51_RS01565,556,574,508,457,410,449,481,562,478
CH51_RS01570,247,194,173,173,200,202,200,195,225
CH51_RS01575,206,213,206,353,279,266,158,208,170
CH51_RS01580,287,343,330,647,652,700,241,216,187
CH51_RS01585,201,218,185,297,228,231,184,215,215
CH51_RS01590,144,120,119,90,70,61,82,77,77
CH51_RS01595,323483,308626,290907,235615,198519,213470,186352,203591,169336
CH51_RS01600,159,166,155,309,271,295,131,179,129
CH51_RS01605,70,73,69,180,159,190,90,84,64
CH51_RS01610,34,32,19,13,30,10,16,6,16
CH51_RS01615,386,373,282,973,769,746,280,380,317
CH51_RS01620,36,31,24,71,77,83,21,27,12
CH51_RS01625,223,190,156,449,417,444,166,179,169
CH51_RS01630,145,154,133,462,388,376,170,165,135
CH51_RS01635,245,209,203,745,571,663,199,201,142
CH51_RS01640,2548,2686,2463,2614,2317,2453,1854,2287,1889
CH51_RS01645,454,513,493,537,444,440,288,399,314
CH51_RS01650,3,5,7,6,5,6,4,1,3
CH51_RS01655,33,39,18,22,26,30,40,37,18
CH51_RS01660,182,175,166,211,152,159,173,182,148
CH51_RS01665,490,537,449,580,600,576,495,569,541
CH51_RS01670,364,399,331,339,322,301,100,182,176
CH51_RS01675,46,49,56,72,62,42,38,31,33
CH51_RS01680,462,412,396,337,360,263,165,247,209
CH51_RS01685,1048,930,846,4748,4365,4584,738,746,610
CH51_RS01690,1014,1033,984,4629,4001,4352,729,822,588
CH51_RS01695,423,413,378,1528,1144,1228,206,259,231
CH51_RS01700,121,131,127,247,208,206,135,196,138
CH51_RS01705,14,24,25,48,40,40,7,5,16
CH51_RS01710,160,107,133,299,251,248,106,97,95
CH51_RS01715,24,6,24,34,58,24,25,27,19
CH51_RS01720,51,37,35,93,63,66,52,35,27
CH51_RS01725,80,85,60,158,108,72,65,81,89
CH51_RS01730,158,157,156,344,278,271,128,105,111
CH51_RS01735,27,18,21,34,49,45,11,13,15
CH51_RS01740,126,126,126,310,277,252,125,129,106
CH51_RS01745,4,8,6,15,12,17,2,8,3
CH51_RS01750,34,46,54,87,84,97,72,49,38
CH51_RS01755,163,134,137,259,186,218,113,162,148
CH51_RS01760,264,240,189,718,678,717,160,216,203
CH51_RS01765,110,125,110,143,142,133,58,68,74
CH51_RS01775,4882,4743,4388,7347,6490,6765,2598,3457,2946
CH51_RS01780,135,143,146,319,216,262,110,145,122
CH51_RS01785,213,222,165,383,338,436,122,155,139
CH51_RS01790,83,83,74,161,105,137,75,70,66
CH51_RS01795,34,26,29,65,32,40,18,33,22
CH51_RS01800,23,27,20,31,21,31,42,36,41
CH51_RS01805,76,70,63,142,143,147,49,71,45
CH51_RS01810,182,226,180,333,257,287,170,143,130
CH51_RS01815,1,2,6,9,10,15,9,6,4
CH51_RS01820,929,938,841,1095,968,1041,803,953,860
CH51_RS01825,107,134,105,113,119,106,222,305,236
CH51_RS01830,3243,3151,2997,4197,3556,3583,3394,3086,3132
CH51_RS01835,1656,1577,1463,1807,1629,1754,1363,1373,1225
CH51_RS01840,46,52,39,49,40,52,31,23,35
CH51_RS01845,0,0,0,0,0,0,0,0,0
CH51_RS01850,0,0,0,0,0,0,0,0,0
CH51_RS01855,0,0,0,0,0,0,0,0,0
CH51_RS01860,0,0,0,0,0,0,0,0,0
CH51_RS01865,0,0,0,0,0,0,0,0,0
CH51_RS01870,0,0,0,0,0,0,0,0,0
CH51_RS01875,0,0,0,0,0,0,0,0,0
CH51_RS01880,0,0,0,0,0,0,0,0,0
CH51_RS01885,0,0,0,0,0,0,0,0,0
CH51_RS01890,0,0,0,0,0,0,0,0,0
CH51_RS01895,58,15,5,14,42,8,5,6,8
CH51_RS01900,143,145,170,137,140,153,199,177,169
CH51_RS01905,1,0,1,0,0,1,0,0,0
CH51_RS01910,27,54,30,34,25,27,34,35,36
CH51_RS01915,0,0,0,0,0,0,0,0,0
CH51_RS01920,0,0,0,0,0,0,0,0,0
CH51_RS01925,6,15,13,9,10,10,6,5,4
CH51_RS01945,0,0,0,0,0,0,0,0,0
CH51_RS01950,0,0,0,0,0,0,0,0,0
CH51_RS01955,43,33,36,97,70,65,45,44,50
CH51_RS01965,10,12,8,11,18,27,14,8,7
CH51_RS01970,50,55,40,75,69,82,38,31,43
CH51_RS01975,3,0,5,13,8,9,7,13,3
CH51_RS01980,5339,5465,5523,7278,6789,7476,3194,3502,3215
CH51_RS01985,79,95,100,134,147,144,85,71,97
CH51_RS01990,2468,2815,2717,3459,2964,3322,1066,1031,1206
CH51_RS01995,5,10,9,3,1,4,9,18,5
CH51_RS02000,110,90,74,171,158,156,82,95,68
CH51_RS02005,1415,1489,1403,1374,1259,1432,1430,1391,1311
CH51_RS02010,1124,1151,1054,1972,1764,1902,1200,1163,1153
CH51_RS02015,33,44,35,77,61,81,31,35,48
CH51_RS02020,29849,28702,25947,77415,62934,65157,20555,27314,22560
CH51_RS02025,20466,19416,18991,52950,46459,51141,17695,18253,15266
CH51_RS02030,984,998,948,2770,2501,2613,1108,1298,1048
CH51_RS02035,14232,13764,12935,10573,8508,8873,7368,9779,7907
CH51_RS02040,17,23,13,97,89,94,13,16,26
CH51_RS02045,1704,1624,1517,2391,1970,2233,2327,2544,2211
CH51_RS02050,1207,1107,1122,1900,1858,1970,1089,1058,920
CH51_RS02055,8041,9256,7073,5992,5207,5119,2304,4361,4048
CH51_RS02060,176,150,167,154,146,153,133,138,107
CH51_RS02065,418,398,321,331,304,342,238,266,252
CH51_RS02070,1645,1517,1385,2033,1732,1859,1259,1358,1105
CH51_RS02075,1488,1575,1487,1608,1329,1335,949,1124,914
CH51_RS02080,0,0,0,0,0,0,0,0,0
CH51_RS02085,0,0,0,0,0,0,0,0,0
CH51_RS02090,0,0,0,0,0,0,0,0,0
CH51_RS02095,0,0,0,0,0,0,0,0,0
CH51_RS02100,0,0,0,0,0,0,0,0,0
CH51_RS02105,0,0,0,0,0,0,0,0,0
CH51_RS02110,0,0,0,0,0,0,0,0,0
CH51_RS02115,0,0,0,0,0,0,0,0,0
CH51_RS02120,0,0,0,0,0,0,0,0,0
CH51_RS02125,0,0,0,0,0,0,0,0,0
CH51_RS02130,0,0,0,0,0,0,0,0,0
CH51_RS02135,0,0,0,0,0,0,0,0,0
CH51_RS02140,0,0,0,0,0,0,0,0,0
CH51_RS02145,0,0,0,0,0,0,0,0,0
CH51_RS02150,0,0,0,0,0,0,0,0,0
CH51_RS02155,0,0,0,0,0,0,0,0,0
CH51_RS02160,0,0,0,0,0,0,0,0,0
CH51_RS02165,0,0,0,0,0,0,0,0,0
CH51_RS02170,0,0,0,0,0,0,0,0,0
CH51_RS02175,0,0,0,0,0,0,0,0,0
CH51_RS02180,0,0,0,0,0,0,0,0,0
CH51_RS02185,0,0,0,0,0,0,0,0,0
CH51_RS02190,0,0,0,0,0,0,0,0,0
CH51_RS02195,0,0,0,0,0,0,0,0,0
CH51_RS02200,106,123,129,159,158,153,99,88,65
CH51_RS02210,65,60,61,149,112,77,40,63,58
CH51_RS02215,4,1,5,4,7,2,0,2,4
CH51_RS02220,3,0,1,6,3,4,1,0,3
CH51_RS02225,106,117,79,250,197,234,103,107,128
CH51_RS02230,190,197,171,510,374,432,237,260,217
CH51_RS02235,600,582,544,1292,1236,1321,607,721,577
CH51_RS02240,21,11,16,37,30,33,17,21,6
CH51_RS02245,28,19,13,28,34,40,31,17,24
CH51_RS02250,0,0,0,0,0,0,0,0,0
CH51_RS02265,14,10,7,31,20,12,9,11,12
CH51_RS02270,5,9,1,14,6,8,9,6,5
CH51_RS02275,43,22,16,49,56,37,16,17,16
CH51_RS02280,60,61,50,152,139,140,44,49,22
CH51_RS02285,14,22,19,22,27,19,18,30,17
CH51_RS02290,29,7,6,15,19,12,5,22,15
CH51_RS02295,50,26,23,45,55,52,33,31,35
CH51_RS02300,16,10,5,13,38,15,11,9,0
CH51_RS02305,125,135,79,115,100,110,65,73,92
CH51_RS02310,149,153,121,214,216,198,140,122,132
CH51_RS02315,29,13,6,35,39,17,11,15,6
CH51_RS02320,166,151,146,312,304,287,87,105,98
CH51_RS02325,4399,4757,4038,8106,7761,8350,4496,4962,5766
CH51_RS02330,15,7,9,13,15,6,7,1,4
CH51_RS02335,11,15,9,20,13,15,3,11,14
CH51_RS02345,22,23,10,31,33,33,16,18,11
CH51_RS02350,31,32,46,78,94,65,33,30,31
CH51_RS02355,268,292,281,318,320,302,233,216,219
CH51_RS02360,447,477,479,465,433,462,343,305,273
CH51_RS02365,25,26,35,31,27,39,26,14,18
CH51_RS02370,90,107,107,130,141,83,70,84,71
CH51_RS02375,1096,1172,1045,902,778,874,2298,2544,2283
CH51_RS02380,79,64,59,130,146,87,72,83,63
CH51_RS02385,3,1,2,10,5,7,1,7,3
CH51_RS02390,1005,1003,935,1709,1565,1566,210,352,276
CH51_RS02395,1845,1747,1570,3284,2754,2942,976,1270,1002
