,WT1_RPKM,WT2_RPKM,MT1_RPKM,MT2_RPKM
SAB0534,0,0,0,0
SAB0535c,0,0,0,0
SAB0536c,0,0,0,0
SAB0537c,0,0,0,0
SAB0538,0,0,0,0
SAB0539,0,0,0,0
SAB0540,0,0,0,0
SAB0541,0,0,0,0
SAB0542,0,0,0,0
SAB0543,0,0,0,0
SAB0544c,0,0,0,0
SAB0545c,0,0,0,0
SAB0546,0,0,0,0
SAB0547,0,0,0,0
SAB0548,0,0,0,0
SAB0549,0,0,0,0
SAB0550,0,0,0,0
SAB0551,0,0,0,0
SAB0552,0,0,0,0
SAB0553,0,0,0,0
SAB0554,0,0,0,0
SAB0555,0,0,0,0
SAB0556,0,0,0,0
SAB0558,0,0,0,0
SAB0559,0,0,0,0
SAB0561,0,0,0,0
SAB0562,0,0,0,0
SAB0563,0,0,0,0
SAB0564,0,0,0,0
SAB0565,0,0,0,0
SAB0567,0,0,0,0
SAB0568,0,0,0,0
SAB0570c,0,0,0,0
SAB0572,0,0,0,0
SAB0573,0,0,0,0
SAB0574,0,0,0,0
SAB0575,0,0,0,0
SAB0576,0,0,0,0
SAB0577,0,0,0,0
SAB0578,0,0,0,0
SAB0579,0,0,0,0
SAB0580,0,0,0,0
SAB0584,0,0,0,0
SAB0585c,0,0,0,0
SAB0586,0,0,0,0
SAB0587c,0,0,0,0
SAB0588,0,0,0,0
SAB0589,0,0,0,0
SAB0590,0,0,0,0
SAB0591,0,0,0,0
SAB0592c,0,0,0,0
SAB0593,0,0,0,0
SAB0594,0,0,0,0
SAB0595,0,0,0,0
SAB0596,0,0,0,0
SAB0597,0,0,0,0
SAB0598,0,0,0,0
SAB0599,0,0,0,0
SAB0600,0,0,0,0
SAB0601,0,0,0,0
SAB0602,0,0,0,0
SAB0603,0,0,0,0
SAB0604,0,0,0,0
SAB0605,0,0,0,0
SAB0606c,0,0,0,0
SAB0607,0,0,0,0
SAB0608,0,0,0,0
SAB0609,0,0,0,0
SAB0610,0,0,0,0
SAB0611,0,0,0,0
SAB0612,0,0,0,0
SAB0613,0,0,0,0
SAB0614c,0,0,0,0
SAB0615,0,0,0,0
SAB0616,0,0,0,0
SAB0617,0,0,0,0
SAB0618,0,0,0,0
SAB0619,0,0,0,0
SAB0620,0,0,0,0
SAB0621,0,0,0,0
SAB0622,0,0,0,0
SAB0623,0,0,0,0
SAB0624c,0,0,0,0
SAB0625,0,0,0,0
SAB0626,0,0,0,0
SAB0627,0,0,0,0
SAB0628,0,0,0,0
SAB0629c,0,0,0,0
SAB0630c,0,0,0,0
SAB0631c,0,0,0,0
SAB0632c,0,0,0,0
SAB0633,0,0,0,0
SAB0634,0,0,0,0
SAB0635c,0,0,0,0
SAB0636,0,0,0,0
SAB0637,0,0,0,0
SAB0638,0,0,0,0
SAB0639,0,0,0,0
SAB0640,0,0,0,0
SAB0641c,0,0,0,0
SAB0642c,0,0,0,0
SAB0643c,0,0,0,0
SAB0644,0,0,0,0
SAB0645,0,0,0,0
SAB0646,0,0,0,0
SAB0647,0,0,0,0
SAB0648,0,0,0,0
SAB0649,0,0,0,0
SAB0650,0,0,0,0
SAB0651,0,0,0,0
SAB0652,0,0,0,0
SAB0653,0,0,0,0
SAB0654c,0,0,0,0
SAB0655c,0,0,0,0
SAB0656c,0,0,0,0
SAB0657c,0,0,0,0
SAB0658c,0,0,0,0
SAB0659c,0,0,0,0
SAB0660c,0,0,0,0
SAB0661c,0,0,0,0
SAB0662,0,0,0,0
SAB0663,0,0,0,0
SAB0664,0,0,0,0
SAB0665,0,0,0,0
SAB0666,0,0,0,0
SAB0667,0,0,0,0
SAB0668,0,0,0,0
SAB0669,0,0,0,0
SAB0670,0,0,0,0
SAB0671,0,0,0,0
SAB0672,0,0,0,0
SAB0673,0,0,0,0
SAB0674,0,0,0,0
SAB0675c,0,0,0,0
SAB0676c,0,0,0,0
SAB0677c,0,0,0,0
SAB0678c,0,0,0,0
SAB0679c,0,0,0,0
SAB0680,0,0,0,0
SAB0681,0,0,0,0
SAB0682,0,0,0,0
SAB0683,0,0,0,0
SAB0684,0,0,0,0
SAB0685,0,0,0,0
SAB0686,0,0,0,0
SAB0688,0,0,0,0
SAB0689c,0,0,0,0
SAB0690c,0,0,0,0
SAB0691c,0,0,0,0
SAB0692,0,0,0,0
SAB0693,0,0,0,0
SAB0694,0,0,0,0
SAB0695c,0,0,0,0
SAB0696c,0,0,0,0
SAB0697c,0,0,0,0
SAB0698c,0,0,0,0
SAB0699,0,0,0,0
SAB0700c,0,0,0,0
SAB0701,0,0,0,0
SAB0702,0,0,0,0
SAB0703,0,0,0,0
SAB0705,0,0,0,0
SAB0706,0,0,0,0
SAB0707,0,0,0,0
SAB0708,0,0,0,0
SAB0709,0,0,0,0
SAB0710,0,0,0,0
SAB0711,0,0,0,0
SAB0712,0,0,0,0
SAB0713,0,0,0,0
SAB0714,0,0,0,0
SAB0715,0,0,0,0
SAB0716,0,0,0,0
SAB0717,0,0,0,0
SAB0718c,0,0,0,0
SAB0719,0,0,0,0
SAB0721,0,0,0,0
SAB_t13,0,0,0,0
SAB0722,0,0,0,0
SAB0723,0,0,0,0
SAB0724c,0,0,0,0
SAB0726,0,0,0,0
SAB0727,0,0,0,0
SAB0728,0,0,0,0
SAB0729,0,0,0,0
SAB0730,0,0,0,0
SAB0731,0,0,0,0
SAB0733,0,0,0,0
SAB0734,0,0,0,0
SAB0735,0,0,0,0
SAB0736,0,0,0,0
SAB0737,0,0,0,0
SAB0738,0,0,0,0
SAB0739,0,0,0,0
SAB0740,0,0,0,0
SAB0741c,0,0,0,0
SAB0742,0,0,0,0
SAB0743,0,0,0,0
SAB0744,0,0,0,0
SAB0745,0,0,0,0
SAB0746,0,0,0,0
SAB0747,0,0,0,0
SAB0750c,0,0,0,0
SAB0751c,0,0,0,0
SAB0752c,0,0,0,0
SAB0753c,0,0,0,0
SAB0754c,0,0,0,0
SAB0756,0,0,0,0
SAB0757c,0,0,0,0
SAB0758c,0,0,0,0
SAB0759c,0,0,0,0
SAB0760,0,0,0,0
SAB0761,0,0,0,0
SAB0762c,0,0,0,0
SAB0763,0,0,0,0
SAB0767,0,0,0,0
SAB0768,0,0,0,0
SAB0769,0,0,0,0
SAB0770,0,0,0,0
SAB0771,0,0,0,0
SAB0773c,0,0,0,0
SAB0774,0,0,0,0
SAB0775,0,0,0,0
SAB0776,0,0,0,0
SAB0777,0,0,0,0
SAB0778,0,0,0,0
SAB0779c,0,0,0,0
