gene,P23.1,P23.2,P23.3,P23.G.1,P23.G.2,P23.G.3
Inter.CP000255.1.0.2255954.54,3,4,4,3,1,1
Inter.CP000255.1.0.426098.6,3,2,5,3,7,7
Inter.CP000255.1.1.681397.55,0,0,1,1,0,1
Inter.CP000255.1.1.903938.24,0,4,1,8,1,1
Inter.CP000255.1.0.57610.10,1,0,2,7,4,0
Inter.CP000255.1.1.608577.34,0,2,2,6,2,1
Inter.CP000255.1.0.2056249.41,0,2,0,1,0,1
Inter.CP000255.1.0.2699448.83,1,2,4,6,2,1
Inter.CP000255.1.0.1766067.88,2,4,2,2,6,1
Inter.CP000255.1.0.2136178.51,1,1,2,3,4,2
Inter.CP000255.1.0.323294.34,1,2,0,3,1,0
Inter.CP000255.1.0.1541358.347,1,1,0,5,2,0
gene1547,299,288,275,264,221,291
Inter.CP000255.1.0.584557.0,0,0,1,3,4,5
Inter.CP000255.1.0.1507114.8,0,0,1,1,0,0
Inter.CP000255.1.0.2687301.37,2,1,1,3,3,0
Inter.CP000255.1.0.2679803.28,1,0,0,0,0,0
Inter.CP000255.1.1.1405599.2,0,0,1,0,0,0
Inter.CP000255.1.0.2319278.106,2,0,2,11,4,1
Inter.CP000255.1.0.2627985.40,2,6,0,5,1,0
Inter.CP000255.1.0.2087346.83,2,2,0,6,1,4
Inter.CP000255.1.1.2731727.0,0,7,3,9,8,3
Inter.CP000255.1.1.1904446.3,9,8,1,5,0,4
Inter.CP000255.1.0.2217814.8,5,3,5,8,9,4
Inter.CP000255.1.0.243105.13,2,3,4,7,3,3
Inter.CP000255.1.1.1646063.1,15,7,6,4,6,2
Inter.CP000255.1.1.1244688.276,2,4,3,12,6,2
Inter.CP000255.1.0.419888.7,0,0,0,1,0,0
gene1917,1915,1494,1293,1303,1490,1619
Inter.CP000255.1.1.840309.143,310,308,303,226,118,96
Inter.CP000255.1.0.1945201.4,13,14,14,17,9,3
Inter.CP000255.1.1.1213362.80,0,1,2,3,3,2
Inter.CP000255.1.1.2610376.3,5,7,4,6,2,1
Inter.CP000255.1.0.127839.7,5,6,4,10,8,5
Inter.CP000255.1.0.2372100.0,29,27,28,19,10,9
Inter.CP000255.1.0.1122198.33,3,1,1,1,0,0
Inter.CP000255.1.1.1106426.8,2,4,1,2,1,4
Inter.CP000255.1.0.2463010.3,0,1,0,1,1,0
Inter.CP000255.1.0.1541358.288,1,1,0,7,3,1
Inter.CP000255.1.1.130867.0,0,1,1,1,0,2
Inter.CP000255.1.1.566406.135,16,14,9,31,12,10
Inter.CP000255.1.1.2146707.31,6,6,1,2,1,0
Inter.CP000255.1.0.1994957.34,1,3,1,4,2,2
Inter.CP000255.1.0.2217814.70,6,6,4,10,6,3
Inter.CP000255.1.1.1643255.0,2,1,0,1,2,0
Inter.CP000255.1.1.1244688.138,1,3,1,0,0,0
Inter.CP000255.1.0.2343175.238,1,3,2,10,7,5
Inter.CP000255.1.0.361506.3,1,2,0,1,4,1
Inter.CP000255.1.1.727260.8,1,2,7,4,3,1
Inter.CP000255.1.0.1052186.68,2,6,4,6,2,0
Inter.CP000255.1.0.1677665.46,7,3,11,13,11,4
Inter.CP000255.1.0.2699448.125,3,0,2,1,1,1
Inter.CP000255.1.1.1244688.321,6,6,6,1,2,2
Inter.CP000255.1.0.517919.5,1,0,4,0,0,0
Inter.CP000255.1.0.926872.61,2,1,1,4,3,3
Inter.CP000255.1.0.2797567.115,2,1,3,0,0,0
gene1614,544,547,578,507,488,498
Inter.CP000255.1.0.2087346.172,1,2,4,0,1,1
Inter.CP000255.1.1.2823667.0,0,0,0,0,1,0
Inter.CP000255.1.0.1994957.26,0,0,1,7,3,0
Inter.CP000255.1.1.2626913.4,0,0,1,3,0,0
Inter.CP000255.1.0.2669918.16,2,2,3,3,0,0
Inter.CP000255.1.1.702756.122,5,6,2,6,4,0
Inter.CP000255.1.1.1032867.17,0,1,1,4,0,0
Inter.CP000255.1.0.1616169.215,6,4,2,4,1,0
Inter.CP000255.1.0.313053.52,2,3,3,3,0,2
gene333,88,96,82,126,112,119
Inter.CP000255.1.1.2215315.1,333,423,408,302,367,422
Inter.CP000255.1.1.2818183.3,0,3,0,2,0,0
gene2237,62,55,51,114,95,107
Inter.CP000255.1.1.1364465.10,3,4,3,4,7,1
Inter.CP000255.1.0.1734711.167,1,3,1,4,3,1
Inter.CP000255.1.1.1136577.63,2,0,1,2,0,1
Inter.CP000255.1.0.287027.3,1,1,3,2,1,2
Inter.CP000255.1.0.1456753.283,0,1,3,4,2,1
Inter.CP000255.1.0.2343175.272,3,10,8,14,5,10
Inter.CP000255.1.1.1388720.24,3,7,3,7,4,0
Inter.CP000255.1.1.285730.27,1,1,1,2,1,1
gene722,9,20,8,14,8,6
Inter.CP000255.1.0.1535564.51,10,10,11,20,10,11
Inter.CP000255.1.1.1170092.264,4,3,1,6,2,1
Inter.CP000255.1.0.374488.21,2,1,3,9,4,2
Inter.CP000255.1.1.1388720.105,0,1,1,3,2,2
Inter.CP000255.1.0.1877792.94,4,8,3,7,5,3
Inter.CP000255.1.1.1426573.26,0,1,0,1,4,0
Inter.CP000255.1.0.1507114.129,1,0,0,3,1,0
Inter.CP000255.1.0.1456753.382,0,0,0,1,0,0
Inter.CP000255.1.0.374488.4,2,0,2,2,4,6
Inter.CP000255.1.0.2753574.119,0,1,0,0,1,0
Inter.CP000255.1.0.2772481.115,3,1,0,8,6,1
Inter.CP000255.1.1.1572502.1,7,1,5,6,4,0
Inter.CP000255.1.0.835952.0,63,54,52,28,36,27
