,W1,W2,W3,C1,C2,C3,D1,D2,D3
HG001_00659,984,1162,1034,1183,1064,991,905,894,881
HG001_00660,762,1053,990,1223,1145,1089,916,735,870
HG001_00661,1256,1564,1375,1772,1459,1656,1317,992,1204
HG001_00662,57,65,71,96,80,81,67,33,81
HG001_00663,277,280,244,285,286,190,237,192,218
HG001_00664,2429,2402,2217,2809,2677,2362,2211,2054,2235
HG001_00665,883,717,749,925,1024,1003,694,864,819
HG001_00666,209,188,179,256,229,209,182,196,175
HG001_00667,208,218,200,271,244,223,212,147,165
HG001_00668,1617,1938,1771,2157,2006,2287,1731,1429,1715
HG001_00669,6543,6866,7446,8019,7286,8426,6469,6226,7190
HG001_00670,3800,4746,4291,5070,4560,4004,3792,3594,4110
HG001_00671,25,21,21,26,25,22,23,29,33
HG001_00672,14,14,15,20,15,6,14,19,15
HG001_00673,20,16,24,29,18,30,33,26,31
HG001_00674,79,89,90,101,95,79,154,106,72
HG001_00675,344,280,339,225,210,207,320,410,363
HG001_00676,484,303,455,276,334,216,439,567,551
HG001_00677,5,7,4,3,3,2,8,2,6
HG001_00678,741,965,684,1008,916,664,861,635,612
HG001_00679,994,1193,852,1309,1166,849,1023,748,797
HG001_00680,1287,1595,1193,1352,1297,951,1218,1255,1246
HG001_00681,1311,1400,1214,1709,1632,1336,1112,1191,1275
HG001_00682,95,95,79,128,106,127,103,95,114
HG001_00683,45,39,23,68,41,43,39,39,41
HG001_00684,371,381,322,433,358,328,306,273,309
HG001_00685,172,170,148,236,200,186,163,155,163
HG001_00686,61,47,49,92,72,61,64,62,63
HG001_00687,256,252,229,319,297,228,229,231,226
HG001_00688,33,54,43,64,48,52,46,47,52
HG001_00689,55,66,57,75,50,49,66,63,62
HG001_00690,13833,15272,10058,17734,14773,15026,11259,9956,10901
HG001_00691,2270,1634,2205,2100,2252,2103,1841,2436,2199
HG001_00692,280,259,232,305,314,273,219,266,251
HG001_00693,8,22,20,28,18,22,18,20,23
HG001_00694,77,73,53,83,80,58,78,89,74
HG001_00695,39,23,28,33,37,16,37,20,27
HG001_00696,2769,3288,3370,3354,3293,2874,3758,3840,3559
HG001_00697,8406,8763,10206,8886,8736,7549,9628,10069,9590
HG001_00698,539,545,651,600,665,490,589,650,641
HG001_00699,322,332,337,321,336,270,308,311,323
HG001_00700,230,255,236,205,186,149,247,245,217
HG001_00701,569,519,505,554,539,375,540,544,503
HG001_00702,1059,1314,1199,1629,1514,1288,1155,1224,1139
HG001_00703,37,25,28,22,38,22,24,30,30
HG001_00704,700,1087,822,818,788,789,848,694,737
HG001_00705,10160,11421,12544,11992,10747,11445,11887,10171,10217
HG001_00706,7445,9050,9474,8324,7576,7154,9187,7071,7541
HG001_00707,8,3,8,3,10,2,5,0,5
HG001_00708,2495,2507,2166,2694,2629,1935,2040,2516,2151
HG001_00709,1907,1531,1710,2108,2318,2669,1716,1520,1626
HG001_00710,57,63,33,91,99,45,27,38,24
HG001_00711,1698,2399,2209,1717,1599,1531,2427,1942,2120
HG001_00712,1464,1986,1393,2507,2383,2182,1746,1527,1603
HG001_00713,3700,3886,3577,4935,4820,5015,4060,3789,3680
HG001_00714,2519,2054,2762,2521,2705,2854,2956,2780,2630
HG001_00715,3375,3313,3845,3654,3824,4131,4062,3533,3512
HG001_00716,6559,6513,8165,7561,7519,8106,7978,7198,6966
HG001_00717,29804,27129,28137,27477,26502,22331,24362,30376,27738
HG001_00718,153,110,126,118,88,87,186,148,138
HG001_00719,668,862,576,786,724,583,721,648,678
HG001_00720,980,1468,1178,1323,1147,1105,1228,994,1060
HG001_00721,6207,9047,8313,7818,7192,6880,7233,6493,6715
HG001_00722,1113,1549,1544,1342,1273,1244,1264,1130,1146
HG001_00723,315615,188375,271830,254833,274811,310851,240662,311920,232000
HG001_00724,110,145,87,176,183,146,95,96,93
HG001_00725,314,603,390,729,807,501,379,325,353
HG001_00726,168,205,172,197,160,192,179,149,147
HG001_00727,317,343,385,410,392,434,414,290,354
HG001_00728,125180,126430,156686,109619,103870,86416,135557,126003,129640
HG001_00729,17,47,45,31,15,13,29,32,24
HG001_00730,83,125,119,87,61,78,149,114,89
HG001_00731,13,14,18,17,10,13,23,13,20
HG001_00732,6,16,12,31,33,14,17,10,25
HG001_00733,396,351,222,792,678,475,321,299,302
HG001_00734,0,0,0,0,0,0,0,0,0
HG001_00735,937,958,803,1028,982,675,845,679,848
HG001_00736,571,582,505,689,664,487,550,482,513
HG001_00737,26,32,21,34,27,13,22,21,32
HG001_00738,28,9,8,16,16,13,23,20,18
HG001_00739,78,55,30,71,52,33,56,34,65
HG001_00740,20,14,13,28,20,19,19,26,21
HG001_00741,1960,1120,957,1427,1163,773,1593,988,1196
HG001_00742,1033,1001,1119,879,877,593,963,1241,1019
HG001_00743,286,294,320,357,331,216,233,243,242
HG001_00744,200,218,156,347,277,243,215,130,166
HG001_00745,1629,1677,1422,1736,1653,2010,1424,1200,1354
HG001_00746,131,156,129,205,204,140,146,153,165
HG001_00747,447,606,506,541,495,380,577,524,542
HG001_00748,322,329,262,321,335,256,307,313,315
HG001_00749,249,270,199,279,286,262,275,240,230
HG001_00750,5578,6171,4730,7860,6983,6145,5365,4705,4777
HG001_00751,29,22,25,42,35,23,31,29,17
HG001_00752,698,764,689,895,816,820,679,811,668
HG001_00753,1470,1405,1466,1685,1543,1230,1498,1375,1314
HG001_00754,628,435,428,553,488,368,507,407,405
HG001_00755,728,469,587,647,596,455,630,686,563
HG001_00756,277,297,314,281,274,245,313,283,279
HG001_00757,120,142,140,146,139,117,141,140,117
HG001_00758,251,311,253,274,244,202,261,205,196
HG001_00759,51393,55999,43227,65140,57393,48800,45215,38387,38270
HG001_00760,67,36,54,61,54,55,48,70,41
HG001_00761,2041,2406,2138,2783,2713,2138,2245,1947,1948
HG001_00762,4220,4056,4409,4772,4782,4544,3992,3775,3675
HG001_00763,3748,3543,4356,4520,4524,4319,3767,3621,3660
HG001_00764,1453,1434,1685,1702,1626,1571,1448,1493,1460
HG001_00765,7224,7210,7195,8572,7672,7475,6888,6272,6171
HG001_00766,1,2,0,1,1,1,0,0,0
HG001_00767,1196,1359,1213,1657,1548,1399,1279,985,1174
HG001_00768,798,948,904,1229,1113,955,976,717,814
HG001_00769,404,484,406,459,452,377,472,459,455
HG001_00770,487,506,503,517,531,480,545,522,572
HG001_00771,1953,1947,2266,1911,1884,1466,2057,2404,2266
HG001_00772,4183,3279,4577,3813,4211,3827,4094,4970,4453
HG001_00773,308,295,263,326,339,232,278,265,234
HG001_00774,48,51,22,63,51,44,37,35,28
HG001_00775,370,457,329,581,503,314,465,397,429
HG001_00776,1487,1538,1334,1758,1735,1305,1440,1543,1598
HG001_00777,2543,2750,2284,2967,2878,2360,2338,2677,2501
HG001_00778,6,12,4,3,2,1,7,7,6
HG001_00779,1278,1648,1401,1767,1727,1326,1344,1395,1350
HG001_00780,815,745,733,983,844,643,668,743,674
HG001_00781,257,323,209,398,305,251,241,223,222
HG001_00782,1847,1768,1707,2378,2320,1668,1550,1871,1708
HG001_00783,317,298,231,356,365,278,286,323,303
HG001_00784,82,54,57,72,72,56,57,66,74
HG001_00785,2291,1746,2110,2525,2507,2087,1721,2392,2087
HG001_00786,69,92,45,65,55,48,51,65,70
HG001_00787,260,233,235,265,265,244,198,258,259
HG001_00788,17520,18899,15621,20163,18926,15213,12356,13314,13908
HG001_00789,1028,1233,1185,1439,1195,1102,1362,1320,1314
HG001_00790,59,65,50,69,71,60,62,66,42
HG001_00791,141,122,110,160,182,149,109,124,127
HG001_00792,49,62,42,56,52,36,50,35,38
HG001_00793,436,430,370,514,516,428,373,385,383
HG001_00794,183,181,183,225,225,172,211,194,159
HG001_00795,410,536,421,688,593,511,462,378,429
HG001_00796,1335,1509,1539,2053,1947,1637,1428,1310,1359
HG001_00797,650,746,621,902,804,762,580,484,586
HG001_00798,401,370,405,534,476,462,398,337,364
HG001_00799,2027,2026,2016,2701,2313,2278,1915,1827,1904
HG001_00800,63,86,78,84,87,62,59,63,59
HG001_00801,339,361,254,365,392,312,315,375,294
HG001_00802,1938,1971,1440,2255,1923,1384,1371,1555,1420
HG001_00803,88,95,83,81,79,62,104,118,129
HG001_00804,10847,7697,12329,11773,12515,14667,10443,10906,10016
HG001_00805,26135,19252,28474,28229,30030,32983,23323,26940,24361
HG001_00806,219,167,176,177,199,131,135,191,165
HG001_00807,47,63,46,101,67,59,49,49,51
HG001_00808,25,41,39,64,55,44,37,33,23
HG001_00809,5325,5029,3788,5160,4798,3668,3199,4122,4260
HG001_00810,115,128,98,155,136,121,112,90,93
HG001_00811,161,185,124,215,179,154,154,125,114
HG001_00812,366,345,258,391,349,291,278,279,257
HG001_00813,2779,3560,3324,3324,2901,2631,3044,2975,2758
HG001_00814,6866,8360,8414,7902,6968,6594,7830,7191,6976
HG001_00815,4475,3246,4168,3685,3556,3606,3702,4583,3864
HG001_00816,186,135,116,182,212,149,111,132,149
HG001_00817,1199,810,1186,716,857,805,1071,1350,1212
HG001_00818,248,229,183,225,205,191,238,226,242
HG001_00819,565,546,539,556,656,581,410,568,504
HG001_00820,44,44,36,58,51,31,33,30,28
HG001_00821,3069,3971,2932,3229,2935,2474,3388,3216,3178
HG001_00822,5,7,4,9,8,7,8,7,6
HG001_00823,14,18,12,20,8,7,11,12,9
HG001_00824,8,14,6,10,7,6,11,6,2
HG001_00825,3,7,6,12,2,8,10,7,8
HG001_00826,71,90,64,101,85,53,86,86,78
HG001_00827,370,308,294,426,348,367,235,263,253
HG001_00828,175,153,119,239,209,174,190,171,148
HG001_00829,606,509,495,584,552,494,466,518,547
HG001_00830,3442,2722,3080,2702,2833,2440,2768,3676,3265
HG001_00831,13,7,10,15,11,7,15,7,6
HG001_00832,157,209,200,254,260,245,185,167,168
HG001_00833,241,384,432,505,476,568,321,278,296
HG001_00834,505,749,1014,1046,997,1195,797,605,645
HG001_00835,697,996,1281,1293,1133,1293,969,701,747
HG001_00836,1884,3072,3429,4015,3183,3621,2986,2012,2111
HG001_00837,19,28,27,31,23,23,26,21,16
HG001_00838,6,22,22,17,13,11,17,19,18
HG001_00839,15,17,14,16,15,11,15,12,15
HG001_00840,10,21,19,23,12,12,13,10,16
HG001_00841,56,78,61,78,57,52,58,52,48
HG001_00842,409,463,327,481,436,330,396,416,411
HG001_00843,72756,63988,46884,52603,48713,43557,48105,50950,47719
HG001_00844,1140,1144,956,1219,1082,923,999,922,962
HG001_00845,3,9,8,8,1,4,4,3,3
HG001_00846,702,871,640,1091,926,833,761,718,767
HG001_00847,15,9,11,17,8,9,16,8,3
HG001_00848,0,0,1,0,0,0,1,0,1
HG001_00849,513,455,348,466,425,365,397,393,435
HG001_00850,260,319,219,316,323,227,245,235,240
HG001_00851,119,83,80,124,122,84,92,93,108
HG001_00852,149,179,90,152,148,112,137,87,111
HG001_00853,941,1092,863,1159,1038,961,883,817,908
HG001_00854,2159,2130,1861,2431,2179,1981,1769,1986,1780
HG001_00855,844,812,621,813,754,679,633,585,582
HG001_00856,720,952,748,830,758,688,713,733,671
HG001_00857,1364,1684,1579,1568,1332,1308,1337,1360,1350
HG001_00858,1982,1815,1717,1872,1787,1541,1625,1854,1757
HG001_00859,501,501,442,575,558,402,453,465,459
HG001_00860,79,85,83,96,93,76,70,80,63
HG001_00861,151,172,139,165,171,131,154,147,150
HG001_00862,7615,7949,7142,10634,10615,8185,5343,5997,5675
HG001_00863,475,443,406,589,583,435,324,355,334
HG001_00864,768,964,807,1188,1142,935,670,658,694
HG001_00865,479,640,540,647,580,520,534,482,591
HG001_00866,115,212,131,157,131,111,116,95,121
HG001_00867,1204,1567,1309,1540,1327,1175,1260,1171,1223
HG001_00868,178,156,160,204,178,136,126,209,163
HG001_00869,537,489,417,643,519,383,429,472,432
HG001_00870,346,372,278,348,322,344,280,290,305
HG001_00871,694,633,616,770,687,635,588,507,647
HG001_00872,591,695,515,645,599,509,468,441,538
HG001_00873,0,0,0,1,2,0,0,0,1
HG001_00874,4,1,3,3,0,4,4,4,3
HG001_00875,332,469,375,1496,1266,1002,733,566,506
HG001_00876,1390,1784,1244,1667,1772,1762,1119,1076,1084
HG001_00877,95,135,97,95,67,37,109,88,104
HG001_00878,80,84,47,103,104,92,68,57,79
HG001_00879,277,186,163,301,201,203,207,154,198
HG001_00880,954,579,667,1079,923,847,799,862,674
HG001_00881,24,30,36,53,30,30,31,13,24
HG001_00882,18,27,14,12,17,22,26,9,14
HG001_00883,28,36,35,54,36,17,41,27,17
HG001_00884,10,7,5,13,14,8,12,9,4
HG001_00885,23,15,13,15,30,13,23,11,10
HG001_00886,434,561,368,530,523,287,385,416,427
HG001_00887,15,16,12,20,30,15,11,22,12
HG001_00888,94,87,74,112,85,62,76,90,77
HG001_00889,33,34,21,36,28,34,27,23,28
HG001_00890,0,0,3,1,0,1,1,0,0
HG001_00891,24,26,21,24,31,23,23,41,18
HG001_00892,314,282,242,331,289,273,251,302,245
HG001_00893,223,290,264,281,318,263,230,238,231
HG001_00894,1077,1092,1307,1310,1359,1296,1087,1066,1117
HG001_00895,711,787,779,881,790,805,671,668,666
HG001_00896,4917,4645,5020,5162,5260,4321,3926,4990,4270
HG001_00897,869,899,989,1205,949,829,775,742,565
HG001_00898,3393,4435,4866,5247,4530,4038,3399,3904,2886
HG001_00899,2812,4021,4371,4864,4398,3351,2988,3512,2395
HG001_00900,247,346,248,414,339,347,237,209,212
HG001_00901,13,12,9,16,10,12,7,6,11
HG001_00902,78,101,70,126,128,90,68,73,65
HG001_00903,16743,23085,23747,23346,20939,21007,23244,18937,18853
HG001_00904,23,18,16,29,17,19,23,25,17
HG001_00905,305,360,264,374,349,321,266,298,282
HG001_00906,408,524,359,550,517,534,408,352,376
HG001_00907,335,346,241,364,327,242,299,244,276
HG001_00908,10255,4522,6008,11512,12125,13020,2834,6264,5228
HG001_00909,21682,9440,14266,24659,25394,28855,6063,13371,11729
HG001_00910,66307,31327,41196,79581,81100,89292,19385,40733,35382
HG001_00911,30934,17923,20635,39306,40493,41809,10308,18957,17537
HG001_00912,1142,1007,773,1197,1431,934,615,800,763
HG001_00913,6904,8061,6962,7113,6728,5704,7308,6999,6804
HG001_00914,13,12,11,21,11,5,13,11,10
HG001_00915,41,55,65,57,53,57,51,35,49
HG001_00916,16,27,21,18,16,21,12,20,13
HG001_00917,16,10,15,12,16,20,12,10,13
HG001_00918,46,34,66,59,54,61,54,35,34
HG001_00919,221,262,288,280,246,247,224,216,216
HG001_00920,259,339,367,362,332,414,336,299,295
HG001_00921,265,329,341,391,327,313,328,276,286
HG001_00922,164,212,189,199,160,186,216,146,147
HG001_00923,417,594,572,604,518,495,614,471,462
HG001_00924,562,720,720,723,629,516,713,718,657
HG001_00925,1379,751,1297,1029,1041,879,1053,1452,1287
HG001_00926,5108,3276,5109,3926,4452,4356,4445,5796,5043
HG001_00927,1256,974,1290,1029,1215,1216,1256,1417,1410
HG001_00928,11,9,4,22,9,14,7,8,6
HG001_00929,144,83,25,139,56,35,172,32,126
HG001_00930,1065,1222,914,1464,1335,1247,983,871,954
HG001_00931,311,377,255,260,225,206,318,289,315
HG001_00932,2525,2456,2237,2348,2103,1297,2502,2383,2438
HG001_00933,4488,4627,4117,3788,3893,3006,5240,5051,5055
HG001_00934,32278,32677,30370,26781,25941,19782,37524,40358,38097
HG001_00935,15,15,5,21,18,13,22,18,11
HG001_00936,110,132,87,127,144,115,92,94,91
HG001_00937,91,74,54,102,84,82,66,53,60
HG001_00938,511,460,492,614,663,580,431,476,485
HG001_00939,7686,7285,7656,9364,8559,6974,6505,8693,7471
HG001_00940,253,359,196,385,346,236,300,245,282
HG001_00941,174,184,142,191,187,144,142,188,173
HG001_00942,723,957,601,1407,1270,1055,793,720,669
HG001_00943,22519,20718,22726,22072,23194,17274,18863,24835,23152
HG001_00944,21777,19915,22448,22412,23067,17991,18200,25384,22168
HG001_00945,35791,35187,38303,40650,38628,30445,30901,42714,37324
HG001_00946,63186,58555,61959,68593,64143,54664,49206,67807,58296
HG001_00947,126,152,111,182,172,97,112,96,94
HG001_00948,20,48,31,43,52,27,39,34,22
HG001_00949,74,114,85,112,75,65,45,54,64
HG001_00950,31,38,32,51,35,30,23,41,21
HG001_00951,48,75,63,108,65,54,61,47,67
HG001_00952,2585,3100,2477,3675,3487,2858,2833,2443,2352
HG001_00953,13095,17464,14823,16288,14068,12817,15341,12276,12462
HG001_00954,292,283,192,236,202,184,235,213,196
HG001_00955,150,155,94,198,145,174,150,100,117
HG001_00956,165,187,119,171,173,132,190,183,169
HG001_00957,1836,1826,1577,1911,2018,1652,1510,1742,1566
HG001_00958,416,426,245,523,386,337,341,286,307
HG001_00959,854,898,784,904,872,667,817,827,819
HG001_00960,368,369,319,413,363,350,344,336,355
HG001_00961,236,248,198,252,220,163,239,230,224
HG001_00962,370,490,277,504,444,406,349,283,315
HG001_00963,5237,6469,6031,7321,6572,6068,5188,5023,5558
HG001_00964,929,801,670,1347,1140,870,584,629,667
HG001_00965,1019,679,594,1046,1079,902,532,614,719
HG001_00966,629,511,373,771,692,603,327,389,423
HG001_00967,1292,1285,1157,1516,1383,1231,1223,1021,1110
HG001_00968,546,571,535,760,683,569,502,502,544
HG001_00969,129,204,130,257,219,190,133,146,146
HG001_00970,22,30,9,20,13,11,30,18,20
HG001_00971,8,12,4,12,7,10,13,2,7
HG001_00972,174,197,142,177,160,153,172,164,188
HG001_00973,336,347,270,358,299,237,299,303,280
HG001_00974,48,64,38,52,52,33,66,41,47
HG001_00975,954,874,652,1026,1047,941,684,745,704
HG001_00976,773,912,535,1060,1016,749,536,573,569
HG001_00977,11,18,16,23,12,17,19,13,18
HG001_00978,88,122,85,113,123,90,112,122,115
HG001_00979,17,17,18,12,19,10,12,14,14
HG001_00980,13,28,19,33,17,14,22,26,21
HG001_00981,20,30,27,34,17,20,30,25,28
HG001_00982,42,53,37,47,51,29,53,31,41
HG001_00983,23,28,22,33,25,13,21,23,24
HG001_00984,9,30,16,24,17,10,21,18,18
HG001_00985,201,235,174,208,186,169,183,183,223
HG001_00986,172,121,92,151,118,104,123,118,105
HG001_00987,443,553,539,446,443,313,460,498,480
HG001_00988,3012,3635,3420,3483,3302,2641,3047,3093,3123
HG001_00989,47,56,40,61,59,47,58,60,59
HG001_00990,154,159,104,172,177,153,118,109,114
HG001_00991,124,88,79,115,104,68,94,75,115
HG001_00992,677,920,736,786,645,610,796,703,727
HG001_00993,2680,3428,2875,2625,2266,2173,2948,2842,2636
HG001_00994,1318,1079,1082,1499,1503,1299,1021,1184,958
HG001_00995,1329,1654,1606,1654,1642,1431,1394,1267,1230
HG001_00996,2328,1342,1982,2346,2359,2160,1901,2385,2166
HG001_00997,21578,14181,23112,21539,24304,25313,16135,23738,20664
HG001_00998,19910,17022,21547,23741,24034,24768,15397,19734,17680
HG001_00999,593,655,702,794,880,900,598,670,644
HG001_01000,542,562,563,683,649,683,513,493,468
HG001_01001,536,566,516,708,650,701,521,476,494
HG001_01002,16,18,9,20,17,18,11,11,7
HG001_01003,52,69,73,76,69,55,34,65,50
HG001_01004,5,5,7,7,10,2,7,2,10
HG001_01005,36,48,47,49,70,27,26,43,40
HG001_01006,26,19,29,37,40,21,17,19,27
HG001_01007,47,35,34,68,62,33,46,42,43
HG001_01008,150,161,118,212,186,154,122,151,138
HG001_01009,5214,7509,9736,15765,17147,10731,8911,13276,9823
HG001_01010,0,3,0,3,0,0,0,0,0
HG001_01011,90,74,49,65,65,24,60,61,53
HG001_01012,10,25,23,29,24,14,21,21,25
HG001_01013,10,16,13,25,18,16,17,9,10
HG001_01014,12,24,15,30,21,15,12,10,14
HG001_01015,122,139,99,172,194,148,86,132,152
HG001_01016,225,233,203,297,309,230,214,225,234
HG001_01017,706,828,701,1254,1128,1325,744,673,700
HG001_01018,129,77,51,147,109,70,103,64,104
HG001_01019,96,75,61,95,81,72,72,77,65
HG001_01020,13,19,18,26,29,27,19,18,20
HG001_01021,1,3,0,2,1,1,2,3,1
HG001_01022,25267,27063,19233,25355,26124,23876,17220,18761,17662
HG001_01023,43275,37603,37616,43375,48189,43747,29106,34007,30612
HG001_01024,319,391,274,371,401,251,311,317,332
HG001_01025,5950,7097,4825,7779,6728,6730,4572,3665,3477
HG001_01026,38,81,48,73,76,59,80,63,63
HG001_01027,652,813,733,892,826,619,820,900,756
HG001_01028,4274,4464,3488,5957,5410,4296,3832,3723,3890
HG001_01029,5852,7104,5242,8402,8193,6492,5459,5304,5570
HG001_01030,1758,2274,1539,2425,2459,1718,1624,1449,1683
HG001_01031,2809,3563,2645,3573,3387,2892,2568,2695,2754
HG001_01032,792,630,749,693,661,523,679,632,675
HG001_01033,2630,2848,2610,2590,2326,2157,2322,2337,2362
HG001_01034,3726,4516,3998,3959,3653,3459,3628,3626,3463
HG001_01035,10850,11791,10985,12593,11289,10967,10221,9922,9946
HG001_01036,15819,16897,16222,18251,16200,15344,14046,16019,14931
HG001_01037,209,232,198,209,184,181,210,212,205
HG001_01038,985,1284,939,1049,1034,707,1004,1019,1011
HG001_01039,1522,1808,1726,1555,1454,1157,1593,1698,1713
HG001_01040,238,165,152,165,128,85,170,170,169
HG001_01041,369,451,267,427,381,272,439,340,344
HG001_01042,1219,1289,993,1293,1251,1004,1166,1117,1191
HG001_01043,368,313,237,346,359,254,267,347,314
HG001_01044,4495,3683,4445,4655,4886,4022,3857,5120,4549
HG001_01045,146,204,178,271,260,201,203,175,171
HG001_01046,0,0,0,0,0,0,0,0,0
HG001_01047,34,48,43,59,53,36,43,26,39
HG001_01048,489,614,507,566,559,484,515,563,521
HG001_01049,402,365,302,351,338,181,268,326,348
HG001_01050,1289,1202,1325,1377,1445,1125,983,1396,1237
HG001_01051,2259,2466,2478,2803,2669,2497,2024,2343,2172
HG001_01052,4792,5089,5766,5922,5854,5783,4497,5678,5252
HG001_01053,5143,4908,6017,6043,6024,5849,4661,5925,5323
HG001_01054,15216,16302,17602,19084,18336,17551,14495,17654,16609
HG001_01055,2219,2622,2751,2822,2627,2387,2116,2651,2378
HG001_01056,2179,2234,2473,2524,2230,1913,1900,2368,2161
HG001_01057,894,1015,854,1057,860,651,767,848,774
HG001_01058,659,750,703,810,832,558,543,722,631
HG001_01059,335,405,285,360,307,305,339,312,338
HG001_01060,503,676,483,533,506,383,500,489,538
HG001_01061,230,228,179,202,232,161,189,255,236
HG001_01062,474,562,530,455,436,409,534,505,563
HG001_01063,2722,2855,3079,2465,2351,2273,3175,3231,3127
HG001_01064,111,137,118,202,193,143,81,71,77
HG001_01065,10468,10439,8722,9088,7622,5363,9783,8849,8314
HG001_01066,107,161,132,151,159,121,116,110,121
HG001_01067,513,770,569,672,680,559,540,504,534
HG001_01068,873,1230,1060,1194,1177,857,874,917,905
HG001_01069,1009,1349,1240,1297,1211,995,1068,1074,992
HG001_01070,621,878,707,855,804,582,681,661,618
HG001_01071,2570,3043,2762,3128,2688,1936,2424,2607,2568
HG001_01072,530,496,488,535,534,405,555,511,525
HG001_01073,965,1060,970,923,902,733,1031,1212,1104
HG001_01074,1167,1400,1083,1217,1097,823,1260,1351,1185
HG001_01075,19788,16503,17854,21889,22267,18507,16192,20353,16608
HG001_01076,391,446,344,452,416,323,351,319,339
HG001_01077,1573,1746,1510,1991,1942,1481,1517,1416,1417
HG001_01078,1202,1490,1359,1274,1215,1072,1363,1224,1292
HG001_01079,616,840,662,729,638,628,680,629,648
HG001_01080,1594,1923,1692,1547,1465,1341,1661,1687,1693
HG001_01081,2233,2420,2270,2089,1901,1617,2185,2208,2267
HG001_01082,3156,3569,3197,3112,2722,2285,2956,3134,3010
HG001_01083,4711,4079,3860,5672,5586,4381,4585,4197,3924
HG001_01084,93,134,104,141,114,87,100,128,125
HG001_01085,1118,1344,1234,1108,948,755,1074,1164,1126
HG001_01086,945,1228,1191,921,891,772,958,1089,1019
HG001_01087,188,283,184,225,171,139,223,188,181
HG001_01088,2889,3633,3220,3300,2957,2741,2801,3170,2976
HG001_01089,212,235,157,269,257,217,180,192,179
HG001_01090,76,76,64,51,62,33,59,64,60
HG001_01091,179,197,167,172,157,112,155,180,163
HG001_01092,1687,1262,1388,1761,1970,1511,1228,1686,1384
HG001_01093,635,687,594,640,533,435,579,656,572
HG001_01094,168,161,184,139,150,100,176,178,196
HG001_01095,220,262,290,228,208,187,267,295,241
HG001_01096,12902,13933,15438,14269,14754,12546,13377,16092,13790
HG001_01097,20677,19271,24198,21864,22051,18460,18804,24274,20895
HG001_01098,73,105,66,92,84,60,82,87,65
HG001_01099,69,61,64,63,49,42,79,82,64
HG001_01100,32,42,49,38,30,36,29,35,36
HG001_01101,1160,1296,1333,1374,1377,1464,1214,1164,1247
HG001_01102,1067,898,1099,1124,1205,1186,907,1056,1129
HG001_01103,680,792,913,809,753,731,894,803,799
HG001_01104,664,763,1025,764,799,787,992,978,894
HG001_01105,2906,3091,3881,3132,3048,2739,3695,3697,3507
HG001_01106,3162,2946,3497,3134,3045,2719,3268,3241,3060
HG001_01107,1875,1950,1487,2103,2214,1608,1783,1972,1701
HG001_01108,5474,6058,4922,6226,6085,4697,4838,5685,5355
HG001_01109,357,411,286,347,331,223,342,375,379
HG001_01110,873,1013,803,732,763,593,861,937,877
HG001_01111,184,168,140,198,189,176,163,187,154
HG001_01112,260,255,208,313,284,220,220,257,228
HG001_01113,396,340,332,428,409,410,376,335,343
HG001_01114,1554,1591,1471,1752,1577,1444,1387,1469,1451
HG001_01115,5411,5123,5936,5941,5761,5526,5038,5521,5384
