,W1,W2,W3,C1,C2,C3,D1,D2,D3
HG001_01237,1276,1672,1266,1795,1622,1396,1215,1163,1031
HG001_01238,548,618,516,749,627,588,455,487,481
HG001_01239,316,415,333,530,478,416,293,252,257
HG001_01240,175,200,150,228,206,153,150,126,141
HG001_01241,151,179,125,224,159,189,136,120,115
HG001_01242,35,43,32,39,51,38,34,26,24
HG001_01243,418,524,450,596,482,449,422,381,453
HG001_01244,90,100,112,124,88,104,118,92,70
HG001_01245,89,108,117,152,135,113,123,101,96
HG001_01246,65,68,72,103,86,76,79,68,83
HG001_01247,5,7,12,7,9,7,5,7,11
HG001_01248,10,13,17,17,7,10,28,13,19
HG001_01249,1136,1360,1001,1621,1422,939,1124,1136,1211
HG001_01250,709,848,604,621,633,486,595,667,657
HG001_01251,63,116,106,127,81,89,63,70,63
HG001_01252,112,137,125,114,115,86,110,118,82
HG001_01253,183,333,299,278,287,270,242,193,227
HG001_01254,250,323,372,340,321,354,291,252,249
HG001_01255,224,284,339,278,287,297,256,207,235
HG001_01256,223,213,302,269,225,235,212,224,193
HG001_01257,124,138,151,145,137,126,129,124,141
HG001_01258,151,198,184,226,192,168,210,173,160
HG001_01259,583,702,567,712,691,547,607,582,552
HG001_01260,1,2,2,0,1,0,0,2,0
HG001_01261,1756,2076,1426,2578,2402,1792,1369,1735,1460
HG001_01262,106,91,61,97,80,44,85,70,68
HG001_01263,49,104,73,77,84,83,86,65,70
HG001_01264,219,276,198,300,223,207,296,212,249
HG001_01265,863,1151,881,1076,957,672,973,974,950
HG001_01266,0,0,0,0,0,0,0,0,0
HG001_01267,75,61,48,61,63,58,36,53,39
HG001_01268,413,464,332,320,284,242,376,377,377
HG001_01269,141,204,128,133,94,106,143,140,149
HG001_01270,1551,1461,1159,1420,1334,1055,1252,1293,1322
HG001_01271,3297,3521,2966,3556,3408,2498,2986,3454,3240
HG001_01272,59580,67873,65931,64825,57743,54059,61551,64930,59312
HG001_01273,92796,95096,104026,92785,85106,79490,82641,99210,90499
HG001_01274,1056,1201,893,1402,1320,1072,955,803,899
HG001_01275,684,908,683,1096,1000,839,800,604,694
HG001_01276,5,6,10,7,7,5,7,4,7
HG001_01277,682,443,604,647,613,616,490,561,561
HG001_01278,602,645,493,577,566,541,581,498,511
HG001_01279,97,99,80,101,110,103,113,127,103
HG001_01280,335,378,289,428,354,301,374,364,321
HG001_01281,1798,1613,1446,1445,1292,1117,1507,1751,1504
HG001_01282,3080,3163,2994,2719,2473,2131,2950,3245,2850
HG001_01283,1733,2085,1662,1727,1601,1522,1759,1817,1686
HG001_01284,2258,3119,2418,2886,2442,2387,2472,2411,2419
HG001_01285,1727,1847,1756,1957,1773,1549,1730,1663,1642
HG001_01286,1345,1924,1511,1810,1666,1684,1549,1289,1413
HG001_01287,1247,1560,1379,1672,1526,1701,1324,1147,1304
HG001_01288,707,950,786,991,903,698,773,825,818
HG001_01289,1476,1995,1773,1877,1634,1210,1672,1705,1729
HG001_01290,230,357,268,291,298,210,304,262,293
HG001_01291,23,16,10,26,25,19,19,14,15
HG001_01292,5,3,10,11,16,5,5,8,12
HG001_01293,3,2,3,2,2,2,2,5,4
HG001_01294,4100,7547,8875,7353,6545,5268,8621,6758,5762
HG001_01295,80,102,69,125,151,100,55,91,92
HG001_01296,244,284,180,335,360,298,164,179,209
HG001_01297,309,405,254,535,503,401,182,222,295
HG001_01298,267,290,197,355,414,281,164,201,229
HG001_01299,964,1264,1016,991,936,649,925,981,952
HG001_01300,1921,2574,1893,2222,1887,1416,1998,1735,1851
HG001_01301,88,50,50,95,110,82,49,56,53
HG001_01302,232,228,177,246,243,179,182,177,195
HG001_01303,270,303,277,354,373,290,327,290,316
HG001_01304,17457,8621,12762,15235,18041,15858,11469,17691,12459
HG001_01305,0,0,0,0,0,0,0,0,0
HG001_01306,0,0,0,0,0,0,0,0,0
HG001_01307,6378,7048,5242,6575,6101,5810,6648,5464,5452
HG001_01308,6789,7727,5767,7356,6664,6397,7101,6044,6134
HG001_01309,1425,1492,988,1396,1224,1051,1626,1280,1366
HG001_01310,1287,833,1425,1300,1578,1675,1222,1411,1175
HG001_01311,12051,7295,13009,12399,13361,13998,9752,12476,10783
HG001_01312,126,126,109,130,99,96,136,91,95
HG001_01313,474,545,560,585,518,428,526,486,473
HG001_01314,283,434,290,401,325,316,366,252,311
HG001_01315,1489,1504,1188,1636,1605,1268,1282,1444,1431
HG001_01316,2180,2288,2023,2128,1985,1340,2116,2159,2136
HG001_01317,497,609,505,511,438,356,553,512,532
HG001_01318,535,552,567,497,453,387,549,590,526
HG001_01319,665,604,615,601,567,517,677,633,638
HG001_01320,110,150,113,183,132,98,142,116,131
HG001_01321,6928,7501,6114,8475,7473,6237,6693,5873,6129
HG001_01322,66,57,64,59,47,51,66,41,58
HG001_01323,192,194,175,176,160,153,190,179,180
HG001_01324,947,1009,911,772,784,638,964,888,897
HG001_01325,754,850,858,600,606,536,792,855,857
HG001_01326,211,214,204,161,160,152,195,226,226
HG001_01327,273,277,308,247,241,225,259,315,287
HG001_01328,1,0,0,1,0,0,2,2,0
HG001_01329,168,174,131,203,160,91,151,143,166
HG001_01330,535,677,601,615,560,445,597,593,558
HG001_01331,444,577,472,515,501,417,506,509,502
HG001_01332,89,105,80,111,79,36,87,87,104
HG001_01333,48102,36325,33077,55472,53921,56111,35883,39124,32124
HG001_01334,1841,2025,1868,1995,1766,1619,1822,2072,1876
HG001_01335,1479,1837,1537,1696,1513,1284,1546,1671,1689
HG001_01336,17799,19452,16171,18086,17303,13061,14803,16875,16354
HG001_01337,198,242,197,218,218,164,212,229,231
HG001_01338,161,123,135,175,169,159,134,138,144
HG001_01339,243,220,216,221,221,189,227,255,231
HG001_01340,13460,18295,14466,7018,6405,6707,18902,18277,18244
HG001_01341,1015,1018,1145,1182,1157,1139,1166,1169,1153
HG001_01342,139,173,154,142,145,121,186,153,169
HG001_01343,189,270,190,281,219,151,257,165,179
HG001_01344,276,273,241,292,262,204,237,270,251
HG001_01345,267,271,266,252,215,198,197,340,256
HG001_01346,135,177,135,186,148,93,170,118,111
HG001_01347,11,32,20,24,23,11,22,10,16
HG001_01348,23,26,28,40,31,35,17,13,28
HG001_01349,0,6,7,5,2,5,4,1,3
HG001_01350,1,3,4,2,2,2,3,2,4
HG001_01351,83,115,66,110,85,57,96,70,94
HG001_01352,21,48,26,50,37,29,34,28,23
HG001_01353,4,7,14,7,4,7,3,3,4
HG001_01354,18,21,24,27,28,26,16,18,21
HG001_01355,5,15,9,8,10,4,5,6,4
HG001_01356,8,9,7,10,7,9,3,2,13
HG001_01357,13,31,24,41,23,29,18,12,20
HG001_01358,74,91,94,148,91,70,83,89,76
HG001_01359,18,30,27,35,30,27,21,24,25
HG001_01360,119,125,116,144,124,116,130,94,93
HG001_01361,48,46,51,58,68,50,40,49,47
HG001_01362,414,332,579,471,460,516,413,517,439
HG001_01363,5,6,11,7,7,8,1,5,4
HG001_01364,4,4,9,8,5,11,5,6,4
HG001_01365,88,120,103,130,123,100,68,83,76
HG001_01366,33,46,34,71,49,35,37,34,25
HG001_01367,6,8,6,8,10,9,5,5,6
HG001_01368,16,17,8,31,31,28,15,3,10
HG001_01369,5,5,5,9,6,4,2,5,2
HG001_01370,7,11,10,25,14,19,4,5,5
HG001_01371,38,47,44,110,85,67,38,26,29
HG001_01372,22,37,27,56,47,30,19,13,26
HG001_01373,68,90,72,96,93,77,76,61,51
HG001_01374,45,70,51,80,63,52,53,30,38
HG001_01375,2,3,2,4,2,2,4,0,0
HG001_01376,2,1,2,3,2,1,2,0,1
HG001_01377,52,98,73,72,53,61,92,74,88
HG001_01378,149,280,256,217,171,193,197,184,185
HG001_01379,34,35,42,36,36,17,40,44,40
HG001_01380,182,317,287,277,198,220,262,215,203
HG001_01381,12,12,16,15,9,10,16,7,8
HG001_01382,13,21,14,25,11,8,10,8,14
HG001_01383,14,27,38,37,43,27,26,20,17
HG001_01384,31,49,42,61,49,49,33,30,26
HG001_01385,20,38,28,31,21,28,24,19,15
HG001_01386,11,29,29,34,31,27,16,17,17
HG001_01387,5,22,16,9,6,7,11,11,8
HG001_01388,8,13,18,11,7,13,8,18,10
HG001_01389,8,12,12,16,8,11,8,7,6
HG001_01390,0,10,3,3,5,7,4,2,2
HG001_01391,7,7,6,14,4,9,9,7,9
HG001_01392,1,12,13,12,6,5,6,2,7
HG001_01393,5,8,8,16,5,3,4,8,8
HG001_01394,8,14,12,17,10,8,9,9,14
HG001_01395,1,5,4,5,4,1,5,3,4
HG001_01396,39,58,86,66,44,55,51,62,48
HG001_01397,43,50,48,82,60,59,55,41,36
HG001_01398,39,75,69,92,65,54,61,56,54
HG001_01399,15,14,17,15,15,10,14,9,16
HG001_01400,12,13,16,13,11,3,10,6,5
HG001_01401,0,2,2,3,1,2,1,0,1
HG001_01402,10,7,4,12,12,2,1,4,3
HG001_01403,9,5,5,11,8,11,5,4,1
HG001_01404,68,38,50,43,55,59,58,68,58
HG001_01405,7,4,7,11,15,14,2,3,5
HG001_01406,1,0,2,5,4,5,2,2,2
HG001_01407,328,284,299,440,436,371,311,356,366
HG001_01408,159,118,133,189,150,104,128,121,122
HG001_01409,43,45,31,46,52,30,32,39,34
HG001_01410,14,14,12,10,10,7,17,15,10
HG001_01411,96,137,99,173,152,102,105,120,118
HG001_01412,689,633,621,587,578,419,545,582,587
HG001_01413,100,140,116,204,179,134,107,126,101
HG001_01414,400,517,447,532,481,461,393,345,324
HG001_01415,150,160,153,248,197,161,133,117,133
HG001_01416,899,1039,779,1167,1129,902,783,951,888
HG001_01417,1316,1282,1177,1511,1439,1205,1142,1392,1219
HG001_01418,789,1084,870,1021,938,743,876,851,857
HG001_01419,455,554,503,609,494,440,494,449,439
HG001_01420,475,606,494,660,570,488,526,443,517
HG001_01421,20,34,18,25,28,34,30,17,23
HG001_01422,391,439,350,482,411,343,339,370,275
HG001_01423,458,457,396,518,447,406,388,405,378
HG001_01424,103,152,108,130,115,111,118,112,98
HG001_01425,1451,1471,1185,1435,1211,1183,1144,1233,1279
HG001_01426,22,27,21,20,27,14,22,28,28
HG001_01427,61,67,69,71,64,55,64,58,59
HG001_01428,773,868,784,1181,1132,1137,856,731,808
HG001_01429,189,200,178,226,219,152,172,160,191
HG001_01430,2713,2748,2371,2967,2758,2288,2369,2551,2515
HG001_01431,1053,1012,1003,1121,1017,811,862,959,944
HG001_01432,1432,1655,1565,1720,1650,1379,1375,1529,1433
HG001_01433,150,131,137,164,159,114,127,147,155
HG001_01434,445,433,397,308,260,215,549,641,538
HG001_01435,13540,12554,11517,6389,5786,4844,14887,18957,16975
HG001_01436,1482,1600,1415,1375,1326,1152,1369,1639,1555
HG001_01437,0,1,0,2,0,2,1,1,1
HG001_01438,830,857,660,904,793,627,682,719,664
HG001_01439,302,300,239,305,327,225,221,267,240
HG001_01440,3502,3888,3609,3042,2867,2089,3742,4240,3999
HG001_01441,2310,2572,2458,2109,1922,1501,2550,2822,2601
HG001_01442,2296,2577,2457,2299,2050,1622,2582,2914,2637
HG001_01443,2237,2607,2403,2340,2164,1716,2520,2801,2695
HG001_01444,1331,1479,1095,1481,1334,1040,1327,1299,1274
HG001_01445,162,135,118,168,167,116,181,111,147
HG001_01446,720,1021,817,908,788,552,846,861,814
HG001_01447,177,172,163,166,147,109,199,204,197
HG001_01448,937,1190,961,1013,873,709,965,934,968
HG001_01449,558,632,536,554,464,387,541,550,568
HG001_01450,411,416,350,404,353,298,394,342,364
HG001_01451,789,859,826,730,745,596,851,971,944
HG001_01452,275,261,252,209,262,195,319,312,308
HG001_01453,5948,5380,4872,6167,6048,4801,5084,4865,4627
HG001_01454,1440,2074,1346,1741,1646,1245,1612,1595,1630
HG001_01455,90,78,47,102,85,56,62,63,62
HG001_01456,13,17,7,13,8,6,11,2,11
HG001_01457,718,687,592,840,790,680,663,797,688
HG001_01458,428,358,260,393,403,246,281,378,365
HG001_01459,17206,13116,19025,15873,14280,17237,12991,13352,12876
HG001_01460,9118,7689,9694,8537,7590,8906,6693,6593,6718
HG001_01461,3158,2977,3170,2812,2750,2853,2543,2240,2345
HG001_01462,238,218,210,234,191,202,224,204,177
HG001_01463,96,77,65,92,73,64,65,57,68
HG001_01464,5,7,3,6,0,1,3,0,0
HG001_01465,7,8,4,18,15,8,7,4,6
HG001_01466,2,4,2,10,4,4,6,2,3
HG001_01467,9,10,10,9,6,9,10,7,8
HG001_01468,1,9,11,7,5,5,7,5,5
HG001_01469,11,26,33,42,18,12,21,25,24
HG001_01470,2258,2478,2201,2678,2557,2067,2005,2147,1928
HG001_01471,781,908,778,962,852,739,721,764,712
HG001_01472,2524,3402,2424,3189,3034,2585,2582,2579,2454
