,LAC DMSO 1 - total_raw_count,LAC DMSO 2 - total_raw_count,LAC DMSO 3 - total_raw_count,LAC apicidin 1 - total_raw_count,LAC apicidin 2 - total_raw_count,LAC apicidin 3 - total_raw_count,agr DMSO 1 - total_raw_count,agr DMSO 2 - total_raw_count,agr DMSO 3 - total_raw_count
SAUSA300_1554,716,711,792,669,689,624,889,639,887
glpF,4594,4602,4607,3879,4190,4277,4037,4311,4017
SAUSA300_0673,2954,2845,2609,2531,2660,2325,116,101,92
SAUSA300s222,8,15,7,5,10,12,716,686,718
budA,3471,4054,4410,3220,3931,3502,9070,9145,7565
est,3169,3074,3512,2699,2945,3083,1394,1495,1242
SAUSA300s245,2215,2343,2498,1995,2154,2165,395,502,464
panC,1570,1789,1932,1516,1581,1625,186,187,222
SAUSA300_1171,1768,1629,1394,1449,1485,1340,99,68,98
SAUSA300_1112,2217,2226,2351,2111,1909,2068,681,465,579
xseB,998,1072,952,881,941,883,41,43,48
rpoE,3638,3715,3963,3311,3386,3438,1038,848,998
SAUSA300_2085,1646,1682,1662,1464,1576,1436,96,133,117
dapA,4010,4201,4328,3676,3702,3859,10432,11396,10090
smpB,1884,1743,1920,1468,1674,1848,1723,1647,1259
plsX,3842,4126,4448,3520,3769,3832,2788,2775,2527
SAUSA300_2290,332,391,413,326,336,353,599,409,635
SAUSA300_1431,11,21,17,9,15,21,7867,7443,7892
SAUSA300_0952,3266,3273,3011,2652,2898,3024,274,310,270
SAUSA300_1780,769,750,840,647,726,747,79,69,89
SAUSA300_1710,4368,4429,4566,3943,3944,4114,8489,7757,6775
SAUSA300_1333,13038,12801,11787,10861,11290,11621,186,180,222
SAUSA300_2330,644,732,676,559,680,608,1230,860,798
tgt,3608,3508,4114,3210,3458,3407,324,342,297
SAUSA300s043,296,342,482,315,317,355,9010,8866,8324
SAUSA300_0878,62,93,67,59,67,71,7631,9116,6853
SAUSA300_2386,3881,3867,3657,3088,3545,3645,597,530,489
fmt,3060,3181,3280,2693,3028,2855,4402,4079,4138
SAUSA300_0252,11822,11845,11523,10345,10502,10833,5596,5838,5248
SAUSA300_2448,5899,5472,5293,4223,5329,5539,650,848,590
cap5J,687,725,756,606,638,711,5191,5696,4406
icaC,212,190,200,159,177,209,1176,1149,1136
gidB,2057,1923,2248,1865,1818,1915,5747,6299,5413
SAUSA300_1729,5309,5119,4584,4350,4508,4639,38,45,41
SAUSA300_0057,25,26,27,17,26,29,91,152,154
SAUSA300_0540,3622,3589,3295,3008,3233,3218,2740,2410,2146
SAUSA300_1720,4416,4670,4419,3660,4125,4414,1946,2195,1926
SAUSA300_0149,48,41,45,47,30,46,1119,1147,1129
SAUSA300_2005,882,906,912,795,766,877,565,641,549
SAUSA300_0542,244,254,254,217,211,252,11930,11197,11059
SAUSA300_0653,1514,1479,1351,1224,1296,1398,2942,3360,2924
SAUSA300_2520,251,251,211,195,212,236,43,48,48
SAUSA300s136,981,1000,1049,882,827,1036,2771,2719,2599
ribH,724,747,791,568,730,758,1672,1976,1647
fabG,3574,3726,3824,3093,3368,3592,1182,1227,1095
murA,7047,7427,8352,6773,6729,7054,1728,2230,1892
SAUSA300_0363,351,331,380,310,339,309,947,899,957
SAUSA300s152,1000,1249,1372,1045,1000,1207,4544,4466,4344
SAUSA300_0656,2637,2880,2917,2416,2574,2623,7825,7460,7492
SAUSA300_0875,1651,1596,1459,1392,1329,1531,110,81,148
argS,7822,8288,8428,7100,7408,7662,2128,2382,2146
SAUSA300_0601,2679,2585,2687,2343,2439,2403,3322,3428,3359
SAUSA300s147,1079,1087,1137,973,952,1063,5149,5321,5045
SAUSA300_2482,259,231,193,201,221,192,208,226,225
trpB,188,200,243,180,178,211,3291,4258,3745
SAUSA300_0476,128,155,190,138,124,163,2300,2666,2153
SAUSA300_1727,38,25,22,22,19,37,162,217,208
SAUSA300_0543,528,512,472,370,500,511,3321,3203,3262
SAUSA300_2001,1130,1064,926,849,952,1021,9617,9374,8594
SAUSA300_1847,3723,3933,4141,3258,3683,3746,7245,6396,6026
SAUSA300_1213,74,84,67,68,64,71,2083,1950,1966
SAUSA300_2262,1555,1488,1453,1314,1413,1344,39,35,29
mreD,1186,1408,1504,1206,1265,1222,3999,4392,3576
SAUSA300_1424,48,24,42,24,30,50,352,367,377
mreC,3187,3544,3662,3066,3186,3152,1913,2041,1631
SAUSA300_1035,48,60,45,43,44,51,287,320,297
narK,1894,2014,1808,1614,1860,1711,2336,2145,2527
SAUSA300_2452,37,47,63,35,45,52,131,154,148
SAUSA300_1879,3857,4062,4281,3558,3816,3693,14890,13644,12573
SAUSA300_0639,2774,2607,2113,2004,2336,2442,3159,3595,3164
SAUSA300_1839,252,293,322,247,263,274,1592,1659,1344
SAUSA300_0846,479,420,417,387,424,383,5238,5647,4743
SAUSA300_1321,2394,2382,2361,1966,2218,2315,559,515,587
SAUSA300_0655,3778,3551,3846,3205,3567,3384,204,219,221
ampA,5842,5477,5156,4637,5042,5291,2570,2460,2325
SAUSA300_0554,1392,1511,1419,1283,1301,1341,3564,3071,3983
SAUSA300_0051,63,37,63,52,34,39,3301,3813,3514
SAUSA300_0369,287,198,244,183,261,218,1258,933,1080
SAUSA300_1536,5115,5134,5640,4610,4945,4883,1224,1534,1313
rnhB,1006,1089,1244,1024,996,1005,195,154,211
folC,8021,8080,7841,7083,7211,7484,3629,3966,3327
SAUSA300_2354,705,698,996,842,692,634,1963,2430,1825
SAUSA300_0616,221,234,255,228,200,218,43,61,41
SAUSA300s255,131,98,127,118,93,112,2840,1710,2455
SAUSA300_1984,3655,3832,3389,3181,3250,3463,5372,4601,5942
SAUSA300_1160,1229,1331,1358,1164,1261,1143,712,712,688
SAUSA300s206,86,117,95,91,69,115,2,1,5
pcrA,5644,5705,6264,5075,5451,5511,1240,1541,1312
SAUSA300_0664,488,427,388,375,349,467,5581,5797,5025
SAUSA300_2633,175,176,168,169,137,169,3825,4275,3375
pyrB,1411,1887,2810,1707,1740,1905,622,708,610
SAUSA300_2382,736,801,798,654,711,766,1019,1005,1048
gatB,8760,8892,8347,8088,7582,8030,1018,809,1037
SAUSA300_1927,20,16,25,22,23,12,1547,1601,1476
fhuG,1201,1264,1280,1171,1145,1100,217,294,207
rbsD,2018,2162,2104,1742,1944,2058,4774,4643,4266
SAUSA300_1823,539,499,516,404,443,589,3354,3398,3068
SAUSA300s197,28,39,45,37,31,27,2,9,7
infA,1043,957,1082,934,936,939,9849,10063,8347
gpsA,4080,4012,4014,3621,3709,3720,234,295,238
proC,3047,3091,3019,2603,2918,2850,325,419,322
lipA,3628,3704,3625,3085,3364,3575,464,527,504
SAUSA300_1733,669,752,722,578,691,693,7566,6821,6879
SAUSA300_2434,517,640,479,507,447,533,57,85,94
SAUSA300_0334,210,201,202,189,181,190,1344,1556,1221
SAUSA300_0031,639,578,435,468,541,484,1595,1827,1546
SAUSA300_2483,4869,4793,4735,4265,4467,4425,249,123,246
gnd,6400,6383,6603,5967,5904,5845,689,837,722
aroE,1666,1567,1977,1675,1577,1492,2054,2230,2438
hemL,6378,6102,5945,5180,5611,6079,2716,2577,2223
SAUSA300_2264,4115,4134,3802,3473,3791,3756,384,321,382
SAUSA300s205,19,34,21,26,21,19,1509,1689,1540
mnhB,2063,2002,1935,1725,1825,1942,106,152,167
SAUSA300_1856,2040,1526,1287,1443,1397,1521,6568,5982,5325
SAUSA300_1332,4482,4314,4067,3740,3970,4057,756,908,841
SAUSA300_0788,1839,1728,1755,1554,1563,1761,194,191,190
SAUSA300_0638,744,761,846,685,735,730,130,79,127
SAUSA300_1403,304,338,324,285,275,326,1349,1434,1318
mtnN,1014,1071,1147,1001,1010,946,2757,2834,2414
acpS,1511,1237,1293,1278,1159,1253,307,334,348
SAUSA300_1915,430,465,373,350,378,433,130,129,179
sarX,172,170,194,152,185,155,1221,1337,1202
