,LAC DMSO 1 - total_raw_count,LAC DMSO 2 - total_raw_count,LAC DMSO 3 - total_raw_count,LAC apicidin 1 - total_raw_count,LAC apicidin 2 - total_raw_count,LAC apicidin 3 - total_raw_count,agr DMSO 1 - total_raw_count,agr DMSO 2 - total_raw_count,agr DMSO 3 - total_raw_count
SAUSA300s275,127,132,154,139,170,148,1287,943,1308
SAUSA300_2505,160,204,178,207,216,178,2021,1684,1804
SAUSA300s146,503,521,547,537,586,625,838,868,801
SAUSA300_0773,193,273,277,254,277,285,10469,10372,9462
rpiA,2064,2145,2395,2440,2502,2395,1351,1362,1416
SAUSA300_1725,2840,2507,2447,2571,2947,3171,1433,1551,1489
clpC,11086,11380,11760,12006,12722,13406,4283,3550,4459
SAUSA300_1361,1881,2083,2400,2184,2393,2484,6470,5918,6146
purM,2922,3728,5350,4412,4220,4325,6950,5916,6471
SAUSA300_1418,9,5,18,16,10,7,4376,4274,4367
SAUSA300_2450,2002,2003,1854,2048,2310,2173,5224,5312,4694
pyrH,2613,2790,3235,3145,3240,3206,365,310,372
SAUSA300_0277,2143,2072,1620,1887,2227,2373,6,34,26
SAUSA300_2358,2201,2156,2373,2209,2588,2731,836,1050,968
SAUSA300_0333,8312,10440,11165,10515,11280,11334,2077,1672,1739
SAUSA300_1828,177,164,242,181,198,272,2367,2600,2161
SAUSA300_1583,1778,1736,1805,1739,1992,2233,4431,3606,3817
SAUSA300s115,313,389,282,337,337,398,3231,2993,3631
SAUSA300_1969,1918,2080,1831,2107,2235,2157,3265,4301,3309
SAUSA300_1391,217,211,292,254,251,292,232,220,245
SAUSA300_1926,39,34,54,40,43,58,2034,2234,1763
secY,6311,5820,6947,7271,7222,6791,200,225,231
SAUSA300_1574,1137,1078,1033,1188,1192,1250,1218,1188,1296
SAUSA300_1552,3094,2944,3327,3352,3430,3687,516,392,480
SAUSA300_0469,984,903,1214,1337,1070,1055,2394,2433,2421
SAUSA300s226,18,20,41,24,21,41,1334,1236,1461
SAUSA300_2269,514,502,426,545,523,540,6945,6541,6150
SAUSA300_0823,36,28,33,23,52,39,4159,3368,3325
coaBC,2445,2658,2804,2651,3017,3200,5150,4278,5099
SAUSA300_2246,1553,1854,1674,1855,1782,2048,2592,2456,2431
SAUSA300_0874,3410,3229,3159,3129,3737,4180,7096,7621,6606
SAUSA300_0711,4392,4113,4037,4219,4887,4972,575,551,455
tpx,2189,1966,1756,1949,2219,2457,12025,10417,10456
SAUSA300_1674,5278,5379,5327,5595,6058,6298,1335,1240,1214
SAUSA300s285,2312,2485,2443,2702,2751,2765,23379,20710,19930
upp,2689,2613,3405,3420,3166,3124,2300,2681,2452
SAUSA300_2076,8574,8649,9422,10452,9596,9857,2762,2615,2623
tpiA,2384,2350,2952,2860,2885,2837,0,2,0
SAUSA300_2279,1545,1350,1365,1399,1648,1749,5813,5792,5911
SAUSA300_2401,540,516,525,517,614,653,1011,1096,1097
SAUSA300_2218,603,618,620,722,740,613,2274,2063,2242
SAUSA300_0590,1811,1823,1714,1728,2101,2210,259,196,270
rpsN,382,348,501,509,436,426,8816,9401,8003
SAUSA300_2641,248,283,362,350,304,339,1461,1306,1327
SAUSA300_0643,1739,1605,1562,1524,1905,2137,2593,2557,2518
SAUSA300_0261,296,360,329,360,403,344,12664,10853,11183
SAUSA300_1433,12,14,9,14,14,11,485,488,516
SAUSA300_1011,2197,2330,2251,2335,2527,2788,5161,5007,5120
gcvH,1960,1842,1822,2182,2026,2126,16756,16377,15544
SAUSA300_2093,1559,1662,1637,1804,1756,1915,6606,6276,6310
SAUSA300_1668,2330,2243,2083,2234,2519,2767,246,156,165
tkt,9822,10199,10121,10837,11595,11554,2010,2170,2109
SAUSA300_2517,4489,4629,4451,4631,5318,5380,4012,2992,3779
SAUSA300_2106,10399,11072,11814,10894,13429,13326,6313,3865,6300
SAUSA300s251,695,729,685,774,863,817,1800,1548,1746
ansA,928,1000,893,922,1129,1143,5838,6934,5369
SAUSA300_1930,767,760,1127,988,990,965,6527,6184,5770
glnA,8400,9776,9926,8857,11116,11901,1201,1093,1120
pepF,6916,6599,6414,6845,7760,7933,5235,5005,5311
SAUSA300_0248,1446,1422,1400,1538,1631,1654,2062,2265,2166
SAUSA300_1021,286,439,358,395,370,444,5544,2987,5379
SAUSA300_0339,4113,4540,5001,5252,4947,5190,5201,3663,4674
SAUSA300_1770,363,351,310,301,408,465,250,192,226
SAUSA300_2512,251,306,326,337,340,316,6794,6175,5890
SAUSA300_0614,68,84,117,106,97,94,5621,5706,5499
SAUSA300_1867,1042,979,1017,1090,1196,1151,6060,5795,5579
secE,148,175,176,200,189,175,2324,2356,2307
modB,2718,2681,2975,3087,3209,3176,997,820,1176
SAUSA300_2552,385,349,463,507,484,368,4792,5404,4841
mutS,5256,5560,6478,6274,6569,6674,793,889,707
SAUSA300_1258,449,464,495,605,450,551,335,330,358
SAUSA300s040,99,158,123,127,135,165,1458,1466,1460
SAUSA300_1771,2753,2763,2649,2797,3058,3434,2184,2557,2449
SAUSA300_2271,329,229,251,293,264,357,7511,5861,7161
SAUSA300s011,450,496,536,512,566,603,6164,6246,5895
SAUSA300_0642,697,757,683,766,823,838,2421,2896,2387
rpsE,3150,2750,3573,3584,3761,3367,14,32,24
SAUSA300_2274,702,691,663,791,731,816,2460,1926,2296
SAUSA300_0847,1397,1406,1389,1540,1548,1683,2665,1483,2597
SAUSA300_0856,640,642,666,766,757,694,1611,1332,1413
argF,981,1017,968,1116,1259,1013,2479,2287,2483
SAUSA300_1831,145,155,162,147,181,202,110,127,132
arcC,2399,2719,2851,2941,2893,3228,40,57,58
SAUSA300_2343,1243,1280,1436,1574,1513,1427,12957,11314,9176
SAUSA300s212,67,24,34,40,55,37,6,9,17
SAUSA300s118,1271,1443,1510,1586,1590,1638,337,297,290
SAUSA300_1551,1905,1829,1925,2012,2151,2320,810,670,766
folD,3737,4036,3809,4656,4356,4251,7783,8206,6891
SAUSA300_1215,446,466,485,488,534,581,3080,3327,3018
SAUSA300_0926,35,51,42,41,41,67,6104,6038,5988
SAUSA300_0443,1116,1028,1086,1069,1260,1390,5630,5311,5552
SAUSA300_0806,62,50,75,64,70,78,258,173,231
glcT,2106,2168,2138,2299,2429,2629,13430,12220,11321
SAUSA300_0688,4468,4346,3916,4786,4789,5002,1258,835,1121
SAUSA300_0087,6902,6851,6292,7260,7599,8132,7132,6344,5851
SAUSA300_1416,20,21,36,38,24,25,1065,1044,1148
SAUSA300s199,51,59,54,67,78,73,1322,1406,1289
SAUSA300_2213,9671,9710,10520,11427,11268,11593,6198,5866,4690
SAUSA300_2472,2225,2491,3035,2809,2818,3217,21658,20113,19103
SAUSA300_0839,895,906,898,916,1029,1170,5210,5003,5078
tetR,2340,2454,2287,2482,2653,3026,5872,5747,5057
prfB,2347,2322,2619,2713,2776,2878,4258,4658,4085
SAUSA300_0111,2860,2499,2156,2868,2781,2941,4998,5425,4899
crtN,7510,8050,12023,10939,10147,9970,3970,3820,3408
SAUSA300_0591,1022,1153,1129,1210,1290,1298,6217,6720,5999
entB,1588,1494,1308,1426,1739,1906,1291,1390,1463
ipdC,5708,5541,5294,5204,6668,7360,1432,1275,1220
SAUSA300_1197,2080,2001,1914,2033,2405,2493,4187,3398,3587
icd,3268,3316,3018,3824,3611,3625,2308,2238,2270
SAUSA300_0805,189,246,259,292,233,271,6309,5512,5670
SAUSA300_2100,8697,8557,7784,9083,9955,9835,2061,1701,1705
SAUSA300_0089,4311,4738,4610,5136,5225,5505,29900,25673,24143
luxS,1239,1282,1150,1357,1344,1475,1506,1352,1367
ispD,3025,2878,2728,3207,3391,3357,5887,4845,5585
rplO,2524,2274,2735,2896,2989,2788,14337,14339,13641
SAUSA300_2310,873,812,723,870,924,981,740,693,596
nrdR,1723,1520,1644,1920,1838,1880,6529,7008,6617
SAUSA300_1559,113,119,157,155,145,145,2758,3223,2873
SAUSA300_0534,2385,2451,2341,2401,2928,3009,1707,2358,2005
SAUSA300_1560,322,324,360,352,395,418,5971,6419,5737
cinA,4336,4310,4222,4388,5019,5555,3087,3144,2683
argR,1118,1145,1116,1293,1316,1303,3590,3565,3134
fabH,4451,4585,5407,5207,5637,5854,2584,2698,2648
rplN,1761,1566,2049,1954,2185,2061,3040,2646,2597
SAUSA300_0771,1588,1734,1964,1958,1977,2178,2299,1986,2082
SAUSA300_1861,486,469,546,599,601,540,1092,823,1183
SAUSA300_2425,104,124,104,132,125,127,11982,8614,10947
SAUSA300_1339,2261,2199,2394,2612,2577,2773,3595,3470,3326
SAUSA300s227,742,875,714,1009,661,1090,710,529,792
SAUSA300_0613,129,182,242,226,228,173,2904,2660,2876
SAUSA300s271,415,406,346,425,429,506,5126,5258,4935
cap5N,959,971,1003,1031,1182,1214,2231,1439,2300
SAUSA300_2389,4523,4523,4603,5193,5341,5382,82,32,75
cap5H,340,275,339,392,388,331,7751,8449,7413
SAUSA300_2083,2680,2700,2868,3018,3121,3516,8877,8537,9555
SAUSA300_2157,2030,2109,1919,2292,2442,2349,25,18,13
SAUSA300_0098,1063,1178,1147,1369,1245,1349,3240,3553,3473
SAUSA300_1460,3784,3638,4069,4352,4381,4708,7588,6100,7005
SAUSA300_0905,2046,1979,1779,2060,2241,2502,834,924,721
SAUSA300_0906,1125,1042,1027,1096,1269,1388,88,103,105
ffh,4808,5211,6261,6607,6137,6204,9124,9507,9008
SAUSA300s090,71,91,90,106,80,110,5301,4423,5116
pdp,3678,4059,4502,4696,4719,4873,1820,1787,1890
SAUSA300_0795,1390,1537,1524,1608,1699,1917,1251,872,1096
SAUSA300_0509,3843,3859,3977,4408,4725,4560,6515,6842,6211
SAUSA300s023,961,888,1034,1097,995,1304,2030,1765,1670
SAUSA300s005,1110,960,1151,1344,854,1724,2751,2723,2544
SAUSA300_1947,110,115,217,286,121,128,2170,2249,2059
SAUSA300_1294,41,41,41,42,53,50,1248,1004,1496
SAUSA300_1898,4728,4682,4610,5308,5646,5499,1022,905,782
ybaK,353,409,490,578,450,440,2513,1318,2574
SAUSA300_0325,452,475,664,631,605,605,3920,4840,4295
SAUSA300_2497,4255,4481,4933,5491,5392,5149,517,401,455
SAUSA300_0349,941,863,901,826,1142,1259,9709,9412,8642
SAUSA300_2050,92,87,70,81,104,108,1439,1323,1297
SAUSA300_0326,791,825,1131,1099,1046,1047,183,172,148
SAUSA300_1397,162,117,157,168,153,189,1975,1497,1627
SAUSA300_0403,48,38,31,30,54,57,2212,2038,2246
SAUSA300_0628,1406,1499,1754,1993,1740,1742,5177,3433,4726
SAUSA300_2404,4568,4712,5600,5625,5978,5872,501,474,537
SAUSA300_0904,294,279,238,251,339,376,6798,3257,6820
ptsG,7035,7189,6972,8316,8400,8281,600,579,568
SAUSA300_1623,1825,1770,1894,2221,2205,2056,2901,2728,2513
SAUSA300_1721,1220,1039,1144,1149,1326,1567,1176,1626,1349
SAUSA300_0311,201,221,246,253,233,306,4216,2340,4295
SAUSA300_2416,2776,2878,4110,4066,3743,3563,594,508,631
SAUSA300_0245,2060,2085,2289,2561,2577,2466,17448,15061,14227
SAUSA300_1778,220,249,273,243,319,320,525,544,451
nadE,2253,2301,3282,3549,2867,2782,7250,7220,6517
SAUSA300_1232,8452,8646,8980,9962,10096,10858,4477,3445,4106
holB,3551,3502,3945,4261,4182,4582,1324,1227,1700
SAUSA300s127,96,109,119,122,124,137,2023,1977,2021
SAUSA300_1667,930,1054,1114,1180,1251,1233,8,12,10
SAUSA300_0580,278,307,341,387,341,368,5679,4169,5096
tmk,675,765,890,990,911,851,915,694,742
SAUSA300_1747,493,455,779,744,612,641,3953,4061,3895
SAUSA300_2403,1972,2317,1977,2402,2416,2603,2315,2758,2429
SAUSA300_1693,2180,2080,2060,2330,2456,2737,2203,2219,1982
tagB,5448,5550,5483,6460,6555,6567,4512,3695,4316
SAUSA300_2632,4251,4156,4257,4864,4973,5216,10795,11395,9170
SAUSA300_0327,788,764,1023,1004,1012,1018,8436,7267,8046
SAUSA300_0453,1260,1342,1925,1830,1692,1766,3173,2557,2769
rplR,2410,2198,2859,2950,2963,2913,1791,1756,1970
SAUSA300_0637,1292,1273,1373,1627,1569,1490,13,17,14
mtlA,2828,2718,2602,3003,3331,3368,2160,1929,1884
SAUSA300_1374,1910,2075,2064,1980,2492,2794,5289,5039,4744
SAUSA300s048,4,8,8,9,6,8,977,1146,1003
SAUSA300_1776,587,660,631,573,748,963,12076,12089,10877
SAUSA300_1891,307,323,454,462,413,399,562,651,686
SAUSA300_2490,515,502,462,592,564,605,2092,1874,1924
SAUSA300_0997,618,576,540,658,631,783,459,416,406
SAUSA300_1446,461,368,307,373,456,519,423,407,395
SAUSA300_0679,1272,1248,1147,1342,1513,1520,513,547,477
SAUSA300_0917,5328,5207,5159,5615,6586,6569,2648,2300,2509
SAUSA300s266,228,228,198,217,248,325,12212,12713,11715
nirD,675,665,868,900,840,876,2245,1816,2269
phoP,3898,3544,3582,4136,4266,4780,278,249,287
SAUSA300_0474,2752,2659,2608,2987,3247,3354,3213,2169,2995
SAUSA300_2146,3038,3124,3057,3448,3783,3793,15436,13651,12883
SAUSA300_1794,5,6,5,4,4,16,0,0,0
SAUSA300_1830,515,564,578,588,625,780,3067,2755,2807
narH,524,683,944,930,769,809,171,167,118
SAUSA300_2031,494,561,572,592,648,708,13401,13211,12462
SAUSA300_0205,644,553,539,613,714,752,410,426,397
SAUSA300_1407,179,231,230,230,262,271,2977,3409,2871
deoC,2839,3158,3862,3999,3931,3784,3319,2602,3148
SAUSA300_0126,401,312,349,414,413,439,3957,3855,4087
SAUSA300s027,1212,1375,1554,1590,1350,2078,149,175,137
SAUSA300_2595,77,78,134,124,101,111,729,669,692
SAUSA300_1247,2700,2708,2518,2880,3207,3448,2992,2982,2781
rrlC,0,0,0,0,0,0,5918,5868,5699
hrcA,2123,2180,1972,2453,2432,2659,11389,11146,10101
SAUSA300_2259,4694,5328,6406,6939,6374,6314,17,4,17
SAUSA300_0103,206,208,174,227,210,259,2705,3029,2776
SAUSA300_0127,351,304,327,389,376,416,2972,3018,2783
modA,3033,2927,3101,3731,3511,3669,6288,5064,5310
dltA,7003,7037,7425,8207,8851,8800,684,402,720
SAUSA300s281,86,99,114,122,108,129,1801,1664,1602
SAUSA300_1414,14,16,34,39,18,19,232,316,234
SAUSA300s278,1597,1517,1625,1701,1917,2119,16394,15610,15197
SAUSA300s107,0,1,0,0,2,0,1542,1030,1392
SAUSA300s015,569,554,548,596,650,784,1,3,7
SAUSA300_1477,2876,3175,3859,4255,3815,3818,5929,6270,5577
SAUSA300_1892,1253,1399,1917,2068,1707,1677,8000,8733,8252
SAUSA300_0535,5061,5155,5397,6376,6106,6382,70,24,61
divIB,6476,6576,6880,8009,8123,7984,395,322,470
SAUSA300_0070,4740,5709,5606,6412,6360,6595,2635,2292,2357
SAUSA300_2125,3302,2927,3093,3571,3781,3927,16527,15825,13631
SAUSA300_1369,3441,3614,4582,4414,4691,4902,908,924,807
SAUSA300_2399,2304,2223,2995,3307,2841,2915,3171,2730,3014
rpsH,2838,2435,3098,3366,3437,3318,140,178,134
prmA,3552,4120,5506,5413,5364,4977,4553,4152,4856
SAUSA300_2355,288,288,516,516,401,372,126,153,137
SAUSA300_0178,2878,2626,2733,2815,3339,3957,10860,9322,9294
SAUSA300_0755,5750,5538,5383,6400,6882,7008,4751,3482,3866
SAUSA300_0129,2628,3221,5103,5005,4085,3807,1207,1187,934
SAUSA300_0807,194,169,313,237,266,294,1719,1939,1667
SAUSA300s007,10,27,18,21,19,22,342,133,356
SAUSA300_1425,30,26,55,50,50,31,59,58,43
SAUSA300_0907,2750,2905,3055,3285,3590,3741,93,82,67
SAUSA300_1746,10,22,23,16,24,24,8741,8700,8198
isaA,3501,3971,4150,4254,5379,4594,2002,2013,2183
SAUSA300_0338,2608,2654,3213,3500,3253,3570,535,430,549
SAUSA300s234,0,1,0,2,0,0,513,613,431
SAUSA300_1736,1389,1289,1300,1436,1632,1821,5235,4985,5063
SAUSA300_0048,22,29,21,32,32,24,740,689,677
SAUSA300s219,215,234,199,276,236,283,638,617,597
SAUSA300_2234,217,289,341,356,330,336,5423,4646,4946
auxillart tsr50,507,594,538,626,697,781,6064,5494,5117
SAUSA300_0622,375,385,397,397,468,571,2922,3056,2805
SAUSA300_0681,836,943,1231,1288,1242,1128,27,26,19
SAUSA300_2513,417,357,497,503,520,526,126,127,130
SAUSA300s299,454,558,513,611,699,773,3177,1795,3082
SAUSA300_0804,115,164,204,180,202,198,14081,9747,7762
SAUSA300_2538,5790,6793,7263,7482,8883,8065,2370,2398,2267
SAUSA300_1410,471,603,779,822,778,650,3520,3742,3689
SAUSA300_0676,6592,7157,7096,8553,8697,8492,2355,3145,3062
rplF,2726,2384,3151,3330,3520,3305,771,889,780
ribD,2131,2163,2399,2396,2731,3206,1872,2177,1960
hslV,2244,2482,3262,3199,3430,3155,3612,3440,3374
SAUSA300_0857,1986,1765,1802,2202,2351,2329,6211,6052,5820
fmhA,349,352,353,366,417,544,8471,7098,8893
SAUSA300s071,44,42,55,50,47,83,47,58,58
SAUSA300_1486,80,93,103,114,107,121,2586,2880,2494
srtA,2845,2648,2900,3140,3512,3816,1726,1869,1678
SAUSA300s012,85,54,61,77,77,91,187,198,112
ald,5253,5921,6535,7672,7067,7226,8743,8371,7875
gntR,537,531,478,596,689,641,3369,4307,3491
SAUSA300_0636,2894,3056,3386,4050,3800,3783,7645,7739,6460
SAUSA300_0102,657,627,693,825,785,857,17,17,11
SAUSA300s104,934,937,916,1014,1172,1317,6322,5984,5449
SAUSA300_1463,1773,1888,1950,2086,2395,2554,4366,4265,4060
SAUSA300_2043,941,1080,1119,1345,1231,1343,2798,2025,2293
SAUSA300_2642,246,274,375,381,333,391,2796,2368,2929
SAUSA300_1413,57,54,52,97,54,60,2307,2378,2247
SAUSA300_0353,1555,1608,1567,1951,1947,2027,4042,4022,3699
gpmI,5036,5054,5788,6880,6663,6317,599,433,595
hutH,7386,7489,7743,9983,9234,9142,458,428,513
purL,6594,8410,13089,13064,10290,10695,6499,6763,5784
mobA,1799,1680,2204,2429,2279,2390,770,707,585
SAUSA300s261,1121,1231,1203,1413,1490,1567,670,294,652
acnA,9485,9548,9054,11887,11606,11824,68,86,116
SAUSA300_0046,2684,2675,2647,3287,3451,3337,8581,8544,7523
SAUSA300_1396,349,351,399,475,421,487,493,498,497
sarU,48,42,46,55,57,59,1943,1651,1847
arcA,791,1236,1658,1785,1453,1248,12844,11339,10820
SAUSA300_1524,2100,2026,2064,2441,2647,2736,2940,2115,2748
hisH,222,269,287,348,310,320,1031,1337,1170
SAUSA300_0128,463,458,387,574,535,539,22,29,22
SAUSA300s272,1008,1053,936,1181,1167,1461,8812,9525,7985
SAUSA300_0740,837,869,759,957,1042,1119,1641,1355,1410
hutI,6585,6620,6818,9464,8142,7808,5806,5436,5272
SAUSA300_2604,119,147,167,185,185,173,6194,6579,5870
SAUSA300_0423,286,323,393,483,416,368,5722,5590,5092
SAUSA300_1286,970,968,1127,1267,1306,1306,12291,9358,10261
SAUSA300_1748,130,119,173,193,166,171,1970,2041,1913
SAUSA300_0030,2477,2347,2329,2741,2998,3388,162,88,164
SAUSA300_2422,1852,1815,2476,2651,2490,2593,1779,1685,1446
arcB,778,1081,1815,1740,1367,1320,1603,1686,1339
nirR,568,647,741,877,755,846,6730,7628,6555
SAUSA300_0555,3073,3046,3030,3662,3784,4221,2168,2343,2248
SAUSA300_2459,386,366,377,436,524,485,1551,1393,1523
SAUSA300_2582,6810,7356,8471,9219,9859,9742,473,366,322
arcB,1908,2222,2514,2670,2783,2991,924,840,768
xerC,5245,5188,6490,7670,6936,6924,5459,4456,5970
rrlE,0,0,0,0,0,0,138,174,156
SAUSA300s140,3139,3142,2718,3806,3945,3726,167,94,164
SAUSA300_1955,24,28,78,42,45,58,2903,2781,2776
SAUSA300_2068,1260,1381,1880,2088,1856,1767,206,245,212
SAUSA300_0439,584,678,665,719,815,941,1704,2172,1362
grpE,1748,1675,1500,2046,2116,2131,1703,1492,1473
smc,7086,7848,10290,11208,10713,10014,3633,2962,2751
SAUSA300_0732,2525,2492,2591,2684,3367,3798,5955,4751,6137
SAUSA300_0308,5544,5563,5839,7243,7344,7130,650,809,638
SAUSA300_1956,22,31,49,40,44,40,668,916,843
SAUSA300_0041,997,1090,1109,1422,1320,1358,2290,2475,2369
SAUSA300_0290,255,257,266,333,324,342,12596,8101,9118
nirB,3266,3505,4401,4921,4660,4653,2567,3042,2516
SAUSA300_1703,539,577,670,817,689,787,355,212,363
rrlD,0,0,0,0,0,0,242,254,178
SAUSA300_0106,5014,6061,7118,7406,7750,8026,107,131,117
SAUSA300_0770,923,955,1067,1207,1220,1362,16474,12997,13545
SAUSA300s029,144,171,169,190,177,264,1475,1587,1041
SAUSA300_2087,858,892,1417,1435,1333,1211,25931,23276,21816
SAUSA300_0291,306,259,292,344,366,393,770,649,700
SAUSA300_0097,3741,3854,3866,5186,4885,4708,2377,2337,2379
SAUSA300_0579,1708,1740,2022,2563,2259,2221,2571,2190,2222
SAUSA300_0374,1290,1322,1521,1829,1619,1880,5019,4883,4904
SAUSA300_1904,547,540,679,740,742,786,497,631,570
SAUSA300_2276,970,1059,1121,1424,1301,1339,3958,4093,3820
SAUSA300_0824,5377,5019,5067,6356,6484,7173,997,1036,1049
SAUSA300s220,1924,2179,1947,2495,2587,2736,690,483,640
SAUSA300_2097,2663,3017,3717,4124,4036,3882,214,241,220
SAUSA300_2318,386,493,603,579,633,679,463,436,352
gltS,337,340,302,418,413,435,6356,6240,6173
moaE,1289,1235,1893,2097,1800,1734,2588,2010,2546
lysP,5893,6535,9204,9659,8675,9201,642,513,718
SAUSA300_0678,1449,1634,1384,1788,2096,1906,2443,2662,2747
SAUSA300_1399,14,8,10,16,9,17,2659,2564,2331
SAUSA300s203,11,16,29,15,24,31,4117,3252,3429
moaB,1250,1238,1625,1770,1800,1727,5550,3970,4914
polA,39,36,62,55,77,45,3869,3152,3676
SAUSA300_1566,786,803,776,998,1016,1061,222,173,239
SAUSA300_1420,5,11,15,11,15,11,1637,1670,1854
SAUSA300_0232,614,693,560,663,909,872,2267,2241,2008
SAUSA300_0842,1174,1095,1226,1347,1482,1754,1755,1704,1694
hisIE,632,735,856,933,951,997,479,274,509
SAUSA300_2475,1659,1482,1843,1960,2287,2250,7962,7836,7728
moeB,2649,2445,3100,3464,3600,3614,4,12,15
SAUSA300_0794,941,1083,1136,1412,1384,1330,4601,3915,4019
SAUSA300_0395,2294,2292,2063,2689,2810,3255,54,59,69
SAUSA300_0903,3525,3872,3035,3439,4848,5658,733,627,751
SAUSA300_1297,972,997,1454,1444,1506,1478,81,88,82
arcC,1106,1337,1372,1641,1767,1597,873,997,962
SAUSA300_2042,514,639,633,765,753,826,150,130,139
SAUSA300_2548,2593,2358,2304,3236,3050,3268,6903,6668,6072
SAUSA300_0840,737,929,1176,1308,1220,1156,1869,2266,1854
pfkA,3269,3567,4498,5090,5114,4618,365,144,394
SAUSA300s072,578,642,707,712,732,1157,1495,1742,1480
deoC,1677,1912,2296,2590,2551,2567,591,524,477
hisC,967,993,1118,1377,1343,1341,419,393,338
SAUSA300_1565,1590,1494,1539,2077,1900,2144,4893,4677,4343
SAUSA300_2019,110,114,104,168,116,155,7357,7352,6580
SAUSA300_2018,271,232,217,400,219,362,8713,6602,7777
SAUSA300_2300,1070,1108,992,1230,1482,1504,727,447,828
SAUSA300_2378,1812,2130,2127,2621,2627,2784,132,94,158
SAUSA300_1624,853,868,1100,1313,1208,1203,48,53,48
SAUSA300_1580,3843,3454,3518,4114,4865,5469,10590,9344,9513
SAUSA300_2514,66,76,113,108,114,109,1468,1681,1426
SAUSA300_2626,1756,1904,1562,2262,2207,2478,837,858,843
mqo,4610,4786,5239,6531,6402,6590,2332,1670,823
SAUSA300_0090,254,254,351,410,356,370,44,43,30
SAUSA300_2265,4935,4935,5787,6999,7017,6852,4023,3857,4145
SAUSA300s249,420,379,367,461,470,644,31,63,48
SAUSA300_0786,1531,1421,1370,1631,1965,2224,7680,6762,7390
SAUSA300_0293,211,153,226,320,241,227,16140,14915,17390
SAUSA300_1395,18,8,25,37,13,18,232,245,179
SAUSA300_2620,2940,3269,2962,3729,4057,4532,3041,3535,2988
SAUSA300_0428,50,41,46,43,45,64,6213,5471,5545
SAUSA300_1069,1597,1577,1679,2068,2155,2290,5243,3971,5169
hisZ,27,34,49,52,41,51,2927,2285,2872
SAUSA300_2377,2837,3082,3030,3704,4199,4130,4203,4203,3798
SAUSA300_2583,7623,8332,10338,11331,11870,11844,3147,2800,2708
SAUSA300_1450,4861,4676,4338,5981,6046,6617,448,404,352
SAUSA300_1658,4130,3842,4264,5000,5473,6002,190,117,120
SAUSA300s008,14,19,8,18,17,17,1291,1288,1379
opuCa,4234,4429,4664,6069,5848,6029,1334,1171,1205
SAUSA300_1208,52,52,87,81,75,95,2802,1570,2717
SAUSA300_1326,82,95,68,88,104,143,12796,13615,11945
SAUSA300_0294,209,148,287,296,281,264,11957,11725,10053
SAUSA300_0825,3533,3369,3934,4836,4739,5075,2325,2454,2441
clpB,9577,10425,11770,15410,13967,13562,52,26,29
SAUSA300_0105,4452,5534,6451,7269,7268,7476,996,1227,885
SAUSA300_2053,885,923,919,1228,1182,1289,3160,2883,2810
SAUSA300_1485,67,63,124,114,109,105,773,601,917
SAUSA300_0808,99,93,133,125,150,163,2918,2122,2942
argR,72,65,84,101,92,106,1599,1707,1504
SAUSA300_2432,364,282,315,434,433,433,156,185,146
SAUSA300_0101,676,683,791,1078,949,900,8070,8737,8074
SAUSA300_0918,5419,5350,4959,6472,7148,7844,4911,4677,4388
SAUSA300_1180,797,794,654,1149,1025,887,10714,10916,9498
SAUSA300_0113,17,15,18,24,22,22,22307,20291,20853
SAUSA300_0324,1024,1079,1487,1690,1524,1615,5296,6081,5852
SAUSA300_2360,4543,4741,5384,6029,6722,7257,9589,7861,7292
SAUSA300_2148,3417,3298,4269,4618,4946,5343,5168,5401,7259
SAUSA300_2540,3473,3504,3248,4541,4687,4724,9089,9100,8276
arcA,1399,1432,1783,2549,2664,2785,41,36,53
SAUSA300_2574,683,716,597,732,1029,991,7996,7070,7094
sucC,2778,2959,3941,4417,4277,4415,10026,9359,8928
SAUSA300_1409,68,86,89,103,122,107,836,795,804
SAUSA300_0421,2104,2153,2310,3143,2937,2930,459,415,386
ctsR,2165,2015,2062,2719,2857,2995,267,163,241
SAUSA300_2415,2364,2633,3109,3659,3706,3696,8295,7085,7287
SAUSA300_0401,230,219,245,329,302,322,1154,840,1293
SAUSA300s287,23,24,25,33,31,35,3886,4354,3410
SAUSA300_0597,393,379,371,512,502,558,6515,6049,5713
SAUSA300_1909,2778,2824,2346,3357,3591,3987,8536,6866,8178
SAUSA300_1230,1341,1370,1267,1767,1805,1906,1030,874,817
SAUSA300s117,34,46,38,65,47,51,4996,4735,4673
SAUSA300_0080,160,135,146,182,206,222,4276,3466,3794
SAUSA300_1417,15,25,41,43,27,35,6840,5553,5915
SAUSA300_1398,31,17,13,15,31,39,5142,5866,5287
SAUSA300_1129,963,1129,1603,1806,1538,1664,9885,9432,9385
SAUSA300_1777,293,340,271,341,385,548,1923,1276,1775
SAUSA300_2051,62,62,56,65,81,109,6625,5973,6462
SAUSA300_0859,5754,5390,5765,7099,7906,8528,849,421,765
SAUSA300_2260,3368,3623,4459,5815,5038,4972,2868,1799,2652
SAUSA300_0498,98,69,112,151,106,127,8418,8176,8339
SAUSA300_1238,531,543,466,643,745,753,12600,11380,12254
SAUSA300_2163,1703,1769,1924,2392,2640,2470,4585,4147,4035
SAUSA300_1430,2,9,20,6,18,9,1601,1616,1453
SAUSA300_2102,3992,3767,4237,5800,5312,5597,16558,11011,15291
