Gene Name,DMSO,Berberine+Thymol
KQ76_RS02245,8725,7226
KQ76_RS02250,757,620
KQ76_RS02255,3543,2337
KQ76_RS02260,21388,43137
KQ76_RS02265,14933,33386
KQ76_RS02270,19548,51191
KQ76_RS02275,37712,191699
KQ76_RS02280,6102,49005
KQ76_RS02285,26,112
KQ76_RS02290,8612,9667
KQ76_RS02295,19197,18477
KQ76_RS02300,733,699
KQ76_RS02305,53157,37907
KQ76_RS02310,2357,1957
KQ76_RS02315,14096,14269
KQ76_RS02320,9818,10529
KQ76_RS02325,6481,7015
KQ76_RS02330,269,340
KQ76_RS02335,1402,2031
KQ76_RS02340,6346,10026
KQ76_RS02345,8581,6921
KQ76_RS02350,5114,2643
KQ76_RS02355,107436,81652
KQ76_RS02360,1245,1264
KQ76_RS02365,12883,47107
KQ76_RS02370,1559,2340
KQ76_RS02375,257,422
KQ76_RS02380,457,510
KQ76_RS02385,259,112
KQ76_RS02390,32765,18996
KQ76_RS02400,5057,7464
KQ76_RS02405,8410,15544
KQ76_RS02410,7326,19870
KQ76_RS02415,14510,48116
KQ76_RS02420,20503,63406
KQ76_RS02425,10206,30251
KQ76_RS02430,5404,15041
KQ76_RS02435,3723,7881
KQ76_RS02440,345,766
KQ76_RS02445,20208,26731
KQ76_RS02450,670,514
KQ76_RS02460,27,85
KQ76_RS02465,62,55
KQ76_RS02475,856,858
KQ76_RS02480,49178,30220
KQ76_RS02485,88998,52355
KQ76_RS02490,20968,5463
KQ76_RS02495,68336,10246
KQ76_RS02500,1433,3575
KQ76_RS02505,1725,5596
KQ76_RS02510,3040,7888
KQ76_RS02515,11233,29839
KQ76_RS02525,8309,7217
KQ76_RS02530,8645,7524
KQ76_RS02535,16553,7641
KQ76_RS02540,1025,313
KQ76_RS02545,5065,1610
KQ76_RS02550,593,235
KQ76_RS02555,3140,1238
KQ76_RS02560,2707,907
KQ76_RS02565,3283,758
KQ76_RS02570,888,279
KQ76_RS02575,11610,5690
KQ76_RS02580,138224,80303
KQ76_RS02585,178561,103610
KQ76_RS02590,249875,48225
