X,dpurR.T3.R1,dpurR.T3.R2,dpurR.T5.R1,dpurR.T5.R2,WT.T3.R1,WT.T3.R2,WT.T5.R1,WT.T5.R2
SAUSA300_2583,4467,4829,4025,7177,5175,3385,2476,3486
SAUSA300_2584,5984,6178,6514,12388,7088,4534,6679,6309
SAUSA300_2585,897,893,687,1626,846,580,612,680
SAUSA300_2586,1178,1184,1097,2597,1031,734,1090,1322
SAUSA300_2587,945,1027,918,2387,837,579,1335,1555
SAUSA300_2588,365,416,420,1312,284,182,746,760
SAUSA300_2589,29567,31411,20438,48761,30780,20201,79581,93842
SAUSA300_2590,2815,2976,1958,2978,2230,1522,1589,1914
SAUSA300_2591,74,122,46,104,116,63,135,145
SAUSA300_2592,2440,2644,3020,4589,3398,2275,3857,2981
SAUSA300_2593,717,760,939,1622,1003,659,1083,1196
SAUSA300_2594,158,144,66,121,160,104,106,96
SAUSA300_2595,201,162,76,84,190,131,147,122
SAUSA300_2596,363,376,171,338,214,139,130,139
SAUSA300_2597,261,258,126,175,108,111,99,66
SAUSA300_2598,56,66,31,96,37,28,29,40
SAUSA300_2599,10909,12063,3732,7475,10334,6900,6663,5242
SAUSA300_2600,21,37,13,30,73,39,88,77
SAUSA300_2601,72,81,12,36,41,29,48,40
SAUSA300_2602,204,225,47,94,151,83,232,211
SAUSA300_2603,10061,10390,30894,61306,20415,14331,14307,12861
SAUSA300_2604,196,211,109,180,166,92,316,215
SAUSA300_2605,211,225,125,216,312,229,197,212
SAUSA300_2606,130,141,94,175,179,137,101,149
SAUSA300_2607,96,102,82,123,159,83,112,107
SAUSA300_2608,51,74,37,67,92,63,74,83
SAUSA300_2609,64,53,22,45,86,57,61,69
SAUSA300_2610,148,158,56,85,246,149,173,180
SAUSA300_2611,169,194,54,110,276,197,266,258
SAUSA300_2612,48,41,13,26,77,60,83,90
SAUSA300_2613,122,119,35,52,145,126,243,320
SAUSA300_2614,1394,1313,410,732,1634,1094,790,1104
SAUSA300_2615,214,210,64,204,280,216,244,220
SAUSA300_2616,343,380,127,393,548,424,444,428
SAUSA300_2617,1023,1195,397,1050,1698,1025,1317,1231
SAUSA300_2618,340,385,131,355,393,272,428,352
SAUSA300_2619,512,580,175,393,552,307,609,504
SAUSA300_2620,4384,4520,25476,18438,3178,2045,43949,92926
SAUSA300_2621,1258,1302,1603,3998,1550,1034,1384,1485
SAUSA300_2622,1308,1302,954,589,1273,891,907,1362
SAUSA300_2623,763,867,264,410,1235,947,951,880
SAUSA300_2624,1288,1490,674,1143,1167,818,1674,1831
SAUSA300_2625,292,330,127,224,279,245,412,355
SAUSA300_2626,678,709,757,559,1135,709,1133,1050
SAUSA300_2627,9925,10355,4337,9471,13673,8930,11388,14095
SAUSA300_2628,2683,2741,1672,1901,3378,2308,3046,3321
SAUSA300_2629,316,302,430,956,429,243,547,428
SAUSA300_2630,939,1005,1724,3042,1209,718,1160,1740
SAUSA300_2631,876,870,525,1021,769,507,1298,2045
