,DMSO_R1_minus_TEX,DMSO_R1_plus_TEX,DMSO_R2_minus_TEX,DMSO_R2_plus_TEX,compound1_R1_minus_TEX,compound1_R1_plus_TEX,compound1_R2_minus_TEX,compound1_R2_plus_TEX,compound59_R1_minus_TEX,compound59_R1_plus_TEX,compound59_R2_minus_TEX,compound59_R2_plus_TEX
NC_007795.1,40.5,270.5,24.5,181.5,20,10,11.5,9,7,4,5,10.5
NC_007795.1,81.5,412.75,36.16666667,253.1666667,19.5,5.25,16,4,4,2,5.75,4
NC_007795.1,29,133,15,122,13,1,5,4,5,2,1.5,7
NC_007795.1,16.4,88,1,37,7,1,3,1,1,0,4,1
NC_007795.1,140,477,102.75,323,39,13,31,21,12,8,17,34
NC_007795.1,20,41.5,13.5,30.5,7,2,0.5,0,3,4,3.5,1.5
NC_007795.1,27.66666667,120.5,23.5,77.5,13,1,10.5,3,1.5,3,3.5,6
NC_007795.1,59.5,254,22,119.5,14,4,15,5,7.5,3,6,8.5
NC_007795.1,2427,1101.5,2384.5,1207.833333,96.75,411.5,68,429,159,485,98.5,714
NC_007795.1,12500.14444,3097.5,10635.97619,4303.666667,395.5,2427.5,250.5,3223,384,2022.166667,286.5,3179.166667
NC_007795.1,34,175.1428571,20,164.5,7,4.033333333,14,6.333333333,1,4.666666667,6,3.166666667
NC_007795.1,9,31,10.5,13,0,0,0,0,1,2,1,1
NC_007795.1,14.14285714,79.16666667,9,52,11,0,8,1,2,1.5,0,2
NC_007795.1,134,290,196,245,39,51,22,72,121,101,63,121
NC_007795.1,1205.666667,908,1350.833333,1101.166667,59,116.5,27.5,168.5,106,278,70,262
NC_007795.1,1309.5,1066,1345.7,1145.166667,100,154.5,52.5,184.5,158,420,76,358
NC_007795.1,996,656,1016,897,48,79,23,96,78,247,60,236.5
NC_007795.1,507.1,460,417,407.5,33.7,44.5,32,61,38,113.7,54,143
NC_007795.1,736,746,791.5,801.8333333,59.5,96,40,137,150,229.5,84,269
NC_007795.1,267.5,359.5,208.5,286,26.5,75,20,67,21,37,26,69
NC_007795.1,49,74,12,80.14285714,7,7,3,4,4,5,2,8
NC_007795.1,4,15,1.166666667,5,1,0,0,1,1,0,1,1
NC_007795.1,2,11,1,2,1,0,0.5,0.5,3,1,0,0.5
NC_007795.1,104,255,82,203,28,14,6.5,11.5,21,36,13,37.5
NC_007795.1,0,0,0,3,1,0,0,0,0,0,0,0
NC_007795.1,132,203.1666667,106,185,19.16666667,7,15,6,9,8,7,18
NC_007795.1,2,15.5,1,20.5,0,0,2,0,0.5,0,0,0
NC_007795.1,105.5,495.5,37.5,367.5,33,11,27,7,3,7.5,15,10
NC_007795.1,80.5,234,62,182.5,20,15,11,9,7,12,6,20
NC_007795.1,0,4,0,2,1,0,0,0,1,0,0,0
NC_007795.1,28.66666667,158,7.333333333,127.8333333,12.66666667,0,12.66666667,6,3.166666667,3,6,4.25
NC_007795.1,8,46,4,36,4.5,0,5.5,0,1,1,2,1
NC_007795.1,1.5,21,1,20,1,1,0,0,1,0,0,1
NC_007795.1,97.125,546.9583333,46,313.9166667,43.66666667,13.45833333,22,15.29166667,7.5,5,20,12
NC_007795.1,41.5,232,17,146.5,17,1,13,3,4,2,9,7.75
NC_007795.1,1,4,1,4,0,0,0,0,0,0,0,0.5
NC_007795.1,50,188.3333333,25,146.5,21.16666667,2.642857143,4.958333333,10,2.583333333,3.5,2.666666667,8.166666667
NC_007795.1,66,89.5,67.5,80,6.5,8,7.5,14.5,9.5,10,9,20.5
NC_007795.1,146.5,379,80,267.5,31.5,17.5,28.5,15.5,22.5,21.5,18,43.5
NC_007795.1,226,240,133,296,20,20,13,35,41,44,5,86
NC_007795.1,18.5,106,10.28571429,56,6.5,2,7,2,6,3,4,8
NC_007795.1,48.5,61.5,18.5,56,6,3,6,8,3.5,8,5,14
NC_007795.1,130,329,78.5,296,27,22,23.5,18,14,24,15,42
NC_007795.1,176.5,269.5,142.5,248.5,29,25.5,15.5,17.2,12.5,50,19.5,55.5
NC_007795.1,217.5,397.5,188.5,352.5,32,45,23.5,58,32,53.83333333,15.5,99.83333333
NC_007795.1,94,146,92,156,17,11,11,17,23,32,14,40.33333333
NC_007795.1,153.5833333,672,76.125,458.25,51.5,10,28,31,30.5,24,33,36
NC_007795.1,75.64285714,98,51,114.5,11,15,6,27,12.5,39,19,46
NC_007795.1,18.5,93,15,32,12,3.5,2.5,4,3.5,4,1,11
NC_007795.1,98.5,244.5,91,189.1666667,23,7.5,13.5,15,14.5,19,15,23
NC_007795.1,74,90,59,63,10.5,9,0,22,10,18,4,21
NC_007795.1,31.30952381,154,17.16666667,129,17.5,2,10.5,4,3,5,5.666666667,7
NC_007795.1,241.5,607.8333333,194.5,469.4166667,43.66666667,39,43.5,47,17,31,21.5,57
NC_007795.1,11,64,9.5,35.5,5,2,0.5,3,4,1,1.5,5
NC_007795.1,3,10,0,3,0,1,0,1,1,0,0,1
NC_007795.1,36.5,85,30,57.5,6.5,10,3.5,4,4,3,4.5,6
NC_007795.1,16.2,22,3,15.5,2.5,1,0.5,1,0,1.5,0.5,1.5
NC_007795.1,97.5,259,41,245,26,6,15,12,5,3.5,7,3.5
NC_007795.1,37.14285714,102,20.14285714,78.32142857,22.25,4,7.142857143,6,8.142857143,19,9,23
NC_007795.1,1.5,5.5,0,8.5,0,0,0,0,0,0,0,0
NC_007795.1,31.83333333,89.5,13,20.5,10,3,7,5,7,13,5,16
NC_007795.1,67.85714286,257,48.21428571,187.1428571,20,7,22,9,0,4,6.142857143,8
NC_007795.1,61,158,42,127,7.2,6,11,4.5,1,4,6,5
NC_007795.1,45.5,120.5,47,72,7,8,4,9,4,8,6.5,9
NC_007795.1,15,48.5,2.333333333,43,6.5,0,3,0.5,1,1,1,1
