,DMSO_R1_minus_TEX,DMSO_R1_plus_TEX,DMSO_R2_minus_TEX,DMSO_R2_plus_TEX,compound1_R1_minus_TEX,compound1_R1_plus_TEX,compound1_R2_minus_TEX,compound1_R2_plus_TEX,compound59_R1_minus_TEX,compound59_R1_plus_TEX,compound59_R2_minus_TEX,compound59_R2_plus_TEX
NC_007795.1,8,29,3,7,2,1,3,1,0,0,1,0
NC_007795.1,13.5,31.5,1,23,6,0,4,2,0,0,2,2
NC_007795.1,3,68,0,19,4,0,0,2,0,0,3,0
NC_007795.1,32,73,8,76,10,0,3.5,6,0,1,6,1
NC_007795.1,0,22,0,9,2,0,1,0,1,0,1,0
NC_007795.1,12,23,1,25.33333333,0,2,1,1,0,0,2,1
NC_007795.1,15.16666667,50,5,37,4,2,5,2,0,3,2,2
NC_007795.1,3.5,3,0.5,3.5,1,0.5,1,2,0,0,0,0
NC_007795.1,13.5,52,5,54.5,6,1.5,3,2,0,1,4,1
NC_007795.1,24,117.6666667,2.666666667,52.5,7,2,8.2,2,0,2,4,0
NC_007795.1,12,82.11111111,3,20,3,0,1,2,0,0,2,0
NC_007795.1,18.22222222,170,4.444444444,98.11111111,10,3,19,5,6,0,0,2
NC_007795.1,15,50,8,46.41666667,7,0,3,5,0,0,4,2
NC_007795.1,32.5,125.6666667,22,98,6,1,7.5,1,0,0.5,5.5,3
NC_007795.1,25,131.5,16.5,115.5,9,4,7.5,2,1,0,1.5,1.5
NC_007795.1,3,7,0,2,0,0,0,0,0,0,0,0.5
NC_007795.1,8.5,20.5,8,11,1,0,0,1,0,0,1,1
NC_007795.1,15.5,63,6,18,1,0,1,3,2,1,2,2
NC_007795.1,27.5,103,18,56.33333333,8,3,8,4,4,0,7,4
NC_007795.1,0,0,0,3,0.5,0,0,0,0,0,0,0
NC_007795.1,14,13,3.5,16,3.5,1.5,1.5,3.5,3.5,7.5,1.5,10.5
NC_007795.1,12,76.5,10,47.5,7,0,4.5,1,3,2,3,1.5
NC_007795.1,10,32,0,8.5,3,1,0,0,0,1,2.5,4
NC_007795.1,32,120.5,2,81.33333333,6,2,9,3,1,0,5,4
NC_007795.1,11.5,70.5,1,42,2,1.5,3,2,1,0,0,1
NC_007795.1,28.5,67,2,36,3,8.5,6.333333333,3,0,0,0,1.5
NC_007795.1,39,164,16,106.5,18,3,17,5,6,1,6,5.333333333
NC_007795.1,30.2,69,2,46,4.333333333,1,10,3,0,0,3,2
NC_007795.1,4,14,3,9,3,0,1,0,1,1,0,0
NC_007795.1,38.5,124.5,18.5,92,9,3,13,0,3,1,7,2
NC_007795.1,4.5,18.5,0.5,7,1.5,0,1,0,0,0,1,0
NC_007795.1,15,78,7,16,4,1,2,4,0,0,2,1
NC_007795.1,4,6,1,5,0,1,0,0,0,0,0,1
NC_007795.1,5,17.5,5,6,0,0.5,1,1,0,0,0,1
NC_007795.1,33.46666667,86,32.7,39.16666667,5.5,3.833333333,7,2.5,0,1.166666667,2.166666667,4
NC_007795.1,8,63.5,9,35.5,2,1,2,1.5,3,1,2,1.5
NC_007795.1,4.5,23.5,0,8,0.5,0,2,0,0,1,1,0
NC_007795.1,7.5,38.5,2,14,6.5,0,3,1,1,0,0,0
NC_007795.1,8.5,27,0,14,2,0,2,2,0,0,2,0
NC_007795.1,1.5,3.5,0,5,2,0,0,0,0,1,0,1
NC_007795.1,7,25,12,19,5,1,6,2,0,0,1,0
NC_007795.1,3,23,2.5,42,4,1,0,0,3,0,0,1
NC_007795.1,26,71.5,4,60.5,10,0,4,2,0,0,2.5,3
NC_007795.1,18,95.5,9,56.5,3,2.5,8,1,0,2,2.5,1
NC_007795.1,14.16666667,35,3,16.5,4,0.5,2,1,1,0,2,1
NC_007795.1,13.5,33.5,3,24,1.5,0,0,2,2,0.5,3,0
NC_007795.1,0.5,3.5,0,2,1.5,0,0,0,0,0.5,0,1
NC_007795.1,4.5,16.5,0,10.5,1,0.5,0,0,0,0,0.5,1
NC_007795.1,0.5,13.5,0,2.5,0,0.5,0,0,0,1,0.5,0
NC_007795.1,1,5.5,0,3.5,0,0,0,1,0,0,0,1
NC_007795.1,7,8.5,2,6.5,1,0,0,0,0,0,1,2
NC_007795.1,5,32,2,49,2,1,2,0,1,1,3,0
NC_007795.1,14.5,60,11,49,6,0,5,3,0,0,3.5,2
NC_007795.1,22.5,58.5,9,35,3,2,6,2,2,1,3.5,1
NC_007795.1,2,17,0,14.5,5,0,1.5,0,0,0,1,1
NC_007795.1,17.5,31,4,35,0,1,4.5,5,0,2,1,4
NC_007795.1,1.5,7,0,12.5,0,1,0,0,0,0,1,0
NC_007795.1,9,20,2,1,1,1,0,1,1,0,0,2
NC_007795.1,3,4,0,8,0,0,0,0,0,0,0,0
NC_007795.1,38.5,226,18.66666667,158,15.16666667,3,7,4,2,0,8,7
NC_007795.1,13,88,5,72.5,10,1,6,3.5,0,1.5,0,0
NC_007795.1,2,18,0,7,1,0,2,1,1,0,3,1
NC_007795.1,6.3,10,0.2,8,1,0,0,0,0,0,0,0
NC_007795.1,4,10,17.2,21,0,1,6,0,0,0,0,0.4
NC_007795.1,12.5,69,6,49,7,2,5.5,3,0,0,0,4
NC_007795.1,34.04545455,128.5,5.053030303,88.57323232,7,1.5,4.5,1,3,3,3,4
NC_007795.1,15.66666667,39,0,41,2,5,1,2,4,2,1,3
NC_007795.1,9.5,26.5,6.285714286,28.42857143,1,0,0,0,1,1,1,0
NC_007795.1,5.5,58.08333333,1.083333333,35.75,5,0,2,4,0,0,2,0
NC_007795.1,10.5,49.83333333,5.5,26,8,0,6.166666667,1,1,2,3,2
NC_007795.1,8.5,41,8,22.5,3,0,1,1.5,0,1,1,3
NC_007795.1,5.5,11.5,2,25.5,1.333333333,0,4,1.5,1,0,0,1
NC_007795.1,19,94,21,67,15,2,7,3,0,4,8,5
NC_007795.1,8.5,29,1.5,20,1,2,2,1,0,0,1,1
NC_007795.1,15,58,6,17.5,2,0,3,1,0,0,4,0
NC_007795.1,6.416666667,24,3.166666667,4.5,1,0,0,1,0,0,1,1
NC_007795.1,1,11,0.5,5.5,0,0,0.5,0,2,0,0,0
NC_007795.1,5,48.5,1.5,17,4,4,1.5,3,0.5,0,0,0
NC_007795.1,19,62,3,25.5,3,3,8,2,1.5,0,2,0
NC_007795.1,27,111,17.2,26,6.5,4,3,3,1,1,6,1
NC_007795.1,16,72,11,31.25,5.5,0,2,8,0,0,3,5
NC_007795.1,4,10.5,1,8,2,1,1,1,2,0,0,0
NC_007795.1,1,6,0,1,0,0,0,0,0,0,2,2
NC_007795.1,36.4,105.5,23,86.58333333,8.833333333,1,8,4.5,0.25,0,4.25,2
NC_007795.1,2,22.5,0,9,0,0,0,0.5,0,0,0,3
NC_007795.1,15.5,45,4,23.16666667,2,4,3.5,0,1,0,1,2
NC_007795.1,23.5,98.5,12.5,47,6,0,6.5,0,0,3,3,1
NC_007795.1,66.5,275,37.33333333,151.3333333,23,4.5,17,8,2,2,21,7
NC_007795.1,15,50,1,16,1,3.5,3.5,0,0,3,3,0
NC_007795.1,7.5,33,5,15,4,0,2.5,1,1,3,0,3
NC_007795.1,22,56,9.25,45,6,1.166666667,4,3,1,0,1,3
NC_007795.1,7.416468254,34.18531685,8.683134921,17.45507271,1.108867521,0.25,2.828019568,0.157936508,0.206089744,0.56797235,0.225664496,2.253028404
NC_007795.1,26,151,11,82,9,3.5,5,7,5,1,4,6
NC_007795.1,3,9,0,9,0,0,0,1,0,0,0,0
NC_007795.1,3,9.5,0,9,1,1,0,0,0,0,0,0
NC_007795.1,20,100.5,7,39,10,2,4,4,3,4.125,4,5
NC_007795.1,3,16,1,8,1,0,1,1,1,2,0,2
NC_007795.1,13,39,6,18,7,0,1.5,3,2,4.5,4,6
NC_007795.1,5.5,28.5,1,1,1,0,3.5,1,1,0.5,0,0
NC_007795.1,4.5,32.5,0,9,1.5,1,0,0,0,0,1,3
NC_007795.1,12,61,8,15,6.5,0,5,1,2,0,0,4
NC_007795.1,13,30,2,23,8.5,1,5,0,2,0,4,1.5
NC_007795.1,5,12,0.333333333,7,2.5,0,0,0,0,0.5,0,0.5
NC_007795.1,5,31,6,9.5,2,1,1,1,0,0.5,0,0
NC_007795.1,11,71.5,3,43.66666667,5,2,4.25,1,3,3,5,2
NC_007795.1,6,37,1,10,2,3,2,0,0,0,1,1
NC_007795.1,3,59.5,0,14,5,0,2,3,0,0,0,0
NC_007795.1,7,4,3,1,0,0,0,0,0,0,0,1
NC_007795.1,9,13,2,10,2,0,1,1,0,0,0,1
NC_007795.1,11.2,40,1,36,5,1,0,0,1,2,3,1
NC_007795.1,11.5,46.66666667,1.25,20.25,2,0,2,1.5,0,0,1,4.25
NC_007795.1,14,37,7,25.16666667,2,1,3,1.5,1,0,3,0
NC_007795.1,43,89.5,32.5,67.33333333,8,4,2,0,0,3,1,7
NC_007795.1,4,18.5,1.5,8.5,0,0,0,2,0,0,0,0
NC_007795.1,15,63,5.166666667,17,2.5,3,1,2,3,2,1,1
NC_007795.1,21,52,10,38,13,1,4,6,1,2,3,5
NC_007795.1,3.5,23.5,3,9.5,3.5,1,1,0,0,2,0,0
NC_007795.1,8,59,1.666666667,38,8,0,3.5,2.5,4,0,1.5,2.5
NC_007795.1,17.5,118.5,8.5,57,4.5,0,6.5,5.5,0,1,3.5,2.5
NC_007795.1,19.5,41,5,33.5,2,0,4.5,1,3,1,2,3
NC_007795.1,3.5,19,6,17,1,0,1.5,0,0,0,0,1
NC_007795.1,2,22,0,8,0,1,1.5,0,1,0,0,0
NC_007795.1,14,57,1,32.5,6,0,2.5,1,0,0,1,0
NC_007795.1,10.5,16,0,15.5,5,0,0,0,2,0,0,2
NC_007795.1,82.5,293,32.33333333,144.6818182,29,2,16,9,11,4,11,12
NC_007795.1,48.5,192,18.4,115,10.2,4,9.7,5,1.2,0.5,5.9,5.2
NC_007795.1,10.5,28,1,34,0,1,2.5,0,1,0.5,1.5,3
NC_007795.1,23.16666667,117,10,75,7,2,10,1.5,2,1.25,3,5.75
NC_007795.1,32,143,6,98.5,19,2,10,2,0,1,6,5
NC_007795.1,2,3,0,0,0,0,0,1,0,0,0,0.5
NC_007795.1,0,20,0,2,0,2,0,0,0,4,0,1.5
NC_007795.1,70,222,35,135,22,1,9,4,3,5,10,7
NC_007795.1,20,96.5,1.5,63,10,2,5,0,1,0,4.5,1
NC_007795.1,0,2.5,0,0,1,0,0,0,0,0,1,0
NC_007795.1,20,106.5,4.5,90,13,1,9.5,3,0.333333333,1.892857143,4,2
NC_007795.1,25,78.5,4.5,26,3,3,5.5,2,1,0.5,1,1
NC_007795.1,9,28.5,2.5,32.5,3,0,3.5,0,1,2,3,0
NC_007795.1,4.5,14.5,0,9.5,0,0,1.5,1,0,0,1,0
NC_007795.1,56,213,13.16666667,132,14,0,11,6,0,0,2,0
NC_007795.1,3,23.5,1.5,7,1,1,0,2,0,0,0,0
NC_007795.1,33,172.5,31.5,77,11,4,4,5,3,1,4,6
NC_007795.1,36,139,5,153.8333333,21,3,14,1,2,1,5,2.25
NC_007795.1,4,10.5,2,7,0,0,0,0,1,0,1,0
NC_007795.1,16,113,7,67,17,3,4,0,0,1,7,2
NC_007795.1,40,132,9,78,5,2,8,5,1,0,8.5,1
NC_007795.1,28,101.5,8,60.5,7,3,2,8,0,0,0.5,3
NC_007795.1,7,69.5,2,17,2,2,5,1,3,2,3,1
NC_007795.1,0.5,7.5,2.5,1,0,0,0.5,1,0,0,0,0
NC_007795.1,26.5,107,13.61111111,50,11,3,1.5,3,1,3.166666667,3,5
NC_007795.1,3,32.5,4,20,3,0,1,1,1,0,0,0
NC_007795.1,6,24,0,12.5,1.5,0.5,3.5,1,0,0,3.5,0.5
NC_007795.1,6,35.5,1.125,24.5,3.5,0.5,2.5,0,0,0,6.5,1.5
NC_007795.1,1.5,16.5,6,4,3,0,1,0,1,0,2,0
NC_007795.1,3.5,25.5,1,23.5,2,2,2,1,1.333333333,0,4,0
NC_007795.1,10,26,1,12,6,0,1,0,1,0,1,0
NC_007795.1,7,15,1,14,2,0,0,2,0,0,0,5
NC_007795.1,0,0,0,0,0,0,0,0,0,0,0,0
NC_007795.1,3,11,0,6,2,0,1,0,0,0,1,0
NC_007795.1,26.5,52,12,30,6,2,2,2,0,0,0,0
NC_007795.1,3.5,12,5,25,0,1,0,0,1,2,2,1
NC_007795.1,1,8.5,4,12,1,1,6,0,2,0,0,0
NC_007795.1,24,68.5,5,81,7,1,6,3,2,2.5,3,1.5
NC_007795.1,46.75,217.5,31,160.8333333,19,4,10,4,4,0,3,4.5
NC_007795.1,21,92,13,58.11111111,4,0,3,7,1,0,5,1
NC_007795.1,3,34,0,9.5,3,0,2,0,1,1,0,3
NC_007795.1,37.5,35.5,9,9,0,4,3,8,1,12,4,8
NC_007795.1,9.5,74,5.5,50,4,4,2,4,3,2,3,7
NC_007795.1,11,91.5,2.5,27,6,1,2,2.5,0,2.5,0,2
NC_007795.1,13.5,58,3.5,40,7,0.5,1.5,1.5,0,0.5,3,2
NC_007795.1,20.5,89,11,77,13,3.5,7.5,0,1,2,1,5
NC_007795.1,3.1,7,3,7.5,1,0,6,1.5,2,1,1.5,1.5
NC_007795.1,16.5,53,11,24.5,3,0,1.5,2.5,0,1,2.5,2.5
NC_007795.1,22,81.5,20,49.25,5,3.125,6,3,0,2,6,5
NC_007795.1,35,157,12,82.5,16,2,9,4,2,1,2,3
NC_007795.1,32,179,9,104.3333333,4,0.5,14.5,4,1,3,7.7,3
NC_007795.1,0,2,2,1,0,0.5,1.5,1,0,0,0.5,0
NC_007795.1,7,42.25,5,29.5,1,0,0,1,0,1,4,2
NC_007795.1,16.5,34,6,30,2,1,2,0,0,0,2,3
NC_007795.1,0,0,0.083333333,0.083333333,0,0,0,0,0,0.2,0.5,0.5
NC_007795.1,2.5,26,1,28,3,5.5,0,2,0,0.333333333,1,2
NC_007795.1,1.5,14,1,8,0,0.5,3,0,0.5,0,0,0
NC_007795.1,4.25,39.5,1.476190476,18.07142857,1,2,1,2,2.5,0,0,0
NC_007795.1,13,43,7,45,8,0,3,0,0,3,1,0
NC_007795.1,34.66666667,118.2,24.5,86.33333333,7.2,2.366666667,1,5.333333333,2,1,2,6
NC_007795.1,3,14,1,12,0,0,0,0,0,0,1,0
NC_007795.1,11.33333333,96.7,8.2,73,3,3,6,1,1,0,0,3.5
NC_007795.1,21.5,87,5.142857143,51,6.5,1,2.5,2,0,0,1.5,6.5
NC_007795.1,10.5,41.5,2,21,1.5,0,2.5,2,0,0,0.5,2
NC_007795.1,16,72,7,59,2,0,3,2,1,0,1,2
NC_007795.1,11,23,6.5,16,1,0,0.5,3,1,0,0.5,3
NC_007795.1,9,53.5,3,37.5,8.5,2,3.5,4.5,0,2,1.5,2
NC_007795.1,26.125,124.5,9,127.75,15.25,2.5,11,5.625,2,0.5,6.25,5
NC_007795.1,7.666666667,63.36111111,8.083333333,36.33333333,3.166666667,1,4,0,1.142857143,0,1,0
NC_007795.1,39,190,13.5,84.5,8.5,1,7,7,0,4,6,7
NC_007795.1,7,43.5,9.5,32.5,4.5,0,2,0,0,1,2,0
NC_007795.1,10,61.5,11.5,38.22222222,5,4,7,1,0,0,1,4
NC_007795.1,32.14285714,76.66666667,12.35714286,43.25,6,1,2,4,1.142857143,0,2.2,1
NC_007795.1,19,99,9,72,8,2,5,1,3,5,2,3
NC_007795.1,15,98.5,17,60,8,0,3,0,2,1,5,2
NC_007795.1,19,61.5,10,61,3,4,7,2,2,3,1,0
NC_007795.1,5,46.5,4.333333333,39.5,7,3,0,0,0,0,1,1
NC_007795.1,0,28.5,0,19,7,0,2,0,2,0,1,0
NC_007795.1,14.16666667,100,4.166666667,63.16666667,10.25,2.166666667,2,4,10,1,4.166666667,3
NC_007795.1,26.33333333,194.2,14,161,16,2,17.5,7,1,1,10.5,8.5
NC_007795.1,21,73,7,65,1,2,5.5,0,0,0,0.7,3
NC_007795.1,32,112,18,87,5,3,8,3,1,2,3,6
NC_007795.1,3,34,0,9,1,0,2,1,0,0,0,0
NC_007795.1,19,48,7,30,3,1,1,3,2,3,1,0
NC_007795.1,29.5,85,15,72,2,2,13,2,3,2,7,7
NC_007795.1,23.5,9,29,5.5,3,8,2,10,7,10,2,12.5
NC_007795.1,20,100,9,46,7,1,5,1,2,2,2,4
NC_007795.1,34,45,6,28,6,0,3,6,0,1,0,3
NC_007795.1,15,68,2,36,6,1,1,1,2,2,5,0
NC_007795.1,14,58,3,14,5,1,3,1,2,0,1.166666667,2
NC_007795.1,10,8,0,8,1,0.5,0,0,0,0,0,0
NC_007795.1,1,28,4,35.5,4,0,3.5,0.5,0,0,1,0
NC_007795.1,14,96,6,33.5,2,5,2.5,2.5,1,0,2,0
NC_007795.1,9,62,3,50,5,1,4,0,1,0,3,1
NC_007795.1,25,32,13.83333333,42,6,8,2.5,1.5,7.5,31.5,6,19
NC_007795.1,15.08333333,76.5,17.14285714,77.5,9,0,6,2.2,0,1,5,6.5
NC_007795.1,27,73,8,43.2,4,2,5,7,0,0,5,1
NC_007795.1,15,70,19,52,2,2,2,4,1,4.166666667,1,7
NC_007795.1,10,64.5,14,32,2,1,2.25,2,1,0,1,1
NC_007795.1,8,23.5,5,19,2,0,2,0,0,0,0,1
NC_007795.1,32,143.5,19,75,7,2,9,3,6,1,2,5
NC_007795.1,42,163.5,16,125,12,2,12,4,0,0,6,8
NC_007795.1,19,16,14.5,11.5,2,2,1,4.5,2,4,0.5,4.5
NC_007795.1,13.5,55.5,6,45.5,4,0,5.5,3,1,0,2,1
NC_007795.1,13,87.14285714,5,59,7,1,4,2,1,0,1,0
NC_007795.1,14,66,7,72,13,1,1,5,3,2,1,6
NC_007795.1,27,143,11,74,17,1,7,2,2,1,5,1
NC_007795.1,11.4,115.2,14.77142857,59.4,2,1,3,2,0,1,0,2
NC_007795.1,21.5,130.5,8,85,9,1.5,6.5,5,0,3,7,4
NC_007795.1,26,6.5,11.26572008,15.5,1.5,6,0,3,5.5,11,0.5,19.5
NC_007795.1,156.3428571,665.5,69.88571429,396.2,43.16666667,10.16666667,30,13.16666667,9,5.285714286,31,21.16666667
NC_007795.1,0,0,0,0,0,0,0,0.5,0,0,0,0
NC_007795.1,37,154,9,69,7,1,8,4,6,2.5,2,3
NC_007795.1,49,119,19.5,46,9,3,6,0,1,4,6,4
NC_007795.1,6,54.5,3,35.5,4,0,4,0,0,0,1,5
NC_007795.1,48,120.5,23,100.5,11.11111111,2.222222222,6.111111111,2.111111111,3,3,9,4.222222222
NC_007795.1,14,73,1.428571429,51.14285714,4,1,2,1,0,1,4,4
NC_007795.1,0,3,0,0,0,0,0,0,0,0,0,0
NC_007795.1,14,58,3,33,6,0,3,1,1,0,1,0
NC_007795.1,5,0,5,4,2,0,1,1,0,1,0,4
NC_007795.1,86.5,337.5,26,164.5,16,4,11,10,5,0,14,6
NC_007795.1,5.5,25.5,0,22.5,3,0,1,1,0,0,1,1
NC_007795.1,10,65,11,48,8,1.125,4,2,2,0,3,3
NC_007795.1,129,494.5,42.91666667,272.75,30,6,29.95,12,6,7,13,19
NC_007795.1,8,15.5,3,21,2.5,0,0.5,0,1,0,1,0
NC_007795.1,2.5,28,1,21.5,1,3,2,2,0,1.2,0,2
NC_007795.1,5.5,8,1,6,1,0,2,1,0,0,1,0.25
NC_007795.1,23.5,89,11,88,12,2.5,3,2,5,0,8,5
NC_007795.1,2,19,4,13,0,0,1,0,0,0,0,1
NC_007795.1,31,78.5,22.25,13,7,4,8,3,7,2,4,4
NC_007795.1,7,46.2,13,24,3,1,2,0,0,0,0,0
NC_007795.1,15,72,24,41,4.5,1,7,4,0.5,1,1,1
NC_007795.1,18.16666667,77,5.833333333,42.66666667,5,0,1,4,0.166666667,0.333333333,2,0
NC_007795.1,37,62.16666667,9,27.16666667,4,0,2,3,0,0,2,5
NC_007795.1,6,40,1,34,1.5,0,3,0,0,0,0,0
NC_007795.1,8,58.5,4.25,35,4.5,2,1,0,0.5,0,2,2
NC_007795.1,19,51.5,1,33,3,2,4,0,4,2,1,3
NC_007795.1,31,200,19.33333333,136,20,7.5,9,5,3.166666667,0,4,7
NC_007795.1,277.1666667,1230.25,101.2777778,623.7111111,85,26.16666667,78,25,14.66666667,12.25,45.2,43.5
NC_007795.1,3,20,6,7,1.5,0.333333333,0,0,0,0,0,1
NC_007795.1,36,171,27,92.25,9,3.166666667,6,3,2,2,10,6
NC_007795.1,12,70,5,51,5,1,2,0,2,0,2,2.166666667
NC_007795.1,28.4,58.5,15.7,31.6,5.2,2.2,1.7,1.5,0,0.166666667,4.5,1.7
NC_007795.1,28,89.5,7,79.5,4.5,2,10.5,4.5,0,0,6.5,1.5
NC_007795.1,9,26,2,19,5,0,2,1,0,4,1.333333333,1
NC_007795.1,11.5,38.5,4.5,53,2.5,0.333333333,4,2.5,1,3,4.5,2
NC_007795.1,0.5,5,1.5,6,1.5,0,0,0.5,0,0,0.5,0
NC_007795.1,9,75,3,62.25,5,0,3,0,0,2,8,0
NC_007795.1,8,15,0,10.5,1,0.5,0,0,0,0,1,1
NC_007795.1,26,122,20,44.5,13,1.5,7,3,2,1,5,4
NC_007795.1,12,13,3,10,4.5,0,1,0,0,1,1,0
NC_007795.1,33,188,10,109.3333333,19.5,4,9,9,1,2,5,5
NC_007795.1,29,114,1.142857143,79,12,2,10,6,3.5,5,4,10
NC_007795.1,8,58.5,0.5,26.5,6,0.5,3,1,0.5,1,0.5,1
NC_007795.1,9,43,4.666666667,26,3,2.5,5,2,0.5,2,3.5,0
NC_007795.1,3,16.5,3,3.5,0,0,0,0,0,0,2,0
NC_007795.1,6,38,2,37,2.5,1,3,1,0,2,3,1
NC_007795.1,4,4,0.166666667,0.166666667,0,0,0,0,0,0,1,0
NC_007795.1,6,47,0.090909091,36,1,0,6,2,0,0,2,3
NC_007795.1,5.5,46,4,12,1.5,0,2,0,0,0.5,2,0
NC_007795.1,5,9,10,16,3,0,0,1,2,7,0,2
NC_007795.1,7.1,12,1,13.1,0,1,2,0,0,0,0,0
NC_007795.1,3,24,2,29,1,2,0,0,1,0,0,1
NC_007795.1,1,0,0,0,0,0,0,0,0,1,0,0
NC_007795.1,1,18,0,7,2,0,0,0,0,0,0,0
NC_007795.1,3,13,0,13,0,0,0,1,0,0,0,0
NC_007795.1,22,149,17,49,10,4,9,4,1,1,11,1
NC_007795.1,6.166666667,39,9,20,2,0,3,0,1,1,1,1
NC_007795.1,38,169,16.625,98.33333333,8,5,16,8,1,2,6,5
NC_007795.1,59,335,26,441,14,4,14,7,0,3,8,6
NC_007795.1,150.1333333,310.8111111,98.41428571,186.9380952,64,40.5,36.5,42.5,183.5,124,69.5,90.5
NC_007795.1,16.5,73,9.5,70.25,9,3,1.5,2,4,3,2,5
NC_007795.1,15.5,68,1.5,41,3,3,0.5,0,1,0,3,2
NC_007795.1,26.5,46.5,32,48,5,2,4.5,4,4.5,6.5,4.5,4.5
NC_007795.1,18.5,139,17.5,77,11.5,4.5,9.5,3.5,5,3.5,11.5,5
NC_007795.1,35,156.5,9,77,7,2,6.5,3,4,0,2,2
NC_007795.1,9.5,32,3,24,2.25,0,1,1,0.25,0,0.5,0
NC_007795.1,61,301,28,202,25,2,15,9,4,5,7,14
NC_007795.1,42,227,15,152.5,16,4,12,7,7,8,9,4
NC_007795.1,60,280,38,122.5,15.5,5,21.5,8,2,0,11,5.5
NC_007795.1,6,29,0,31,0,3,1,0,1,1,1,0.5
NC_007795.1,5.333333333,51,0,41,3,1,3,1,0,0,1,0
NC_007795.1,0,7,4,4,0,1,0,2,0,0,0,0
NC_007795.1,1,8.5,0,0,0,0,2,1,0,1,0,0
NC_007795.1,0.5,0.5,0,0,0,0,0,0,0,0,1,0
NC_007795.1,1.5,4,0,3,0,0,0,0,0,0,1,0
NC_007795.1,0,8,2,10,1,1,1,1,0,0,0,0
NC_007795.1,0,2,0,8,1,0,0,0,0,0,1,0
NC_007795.1,2,6,1,1,0,0,0,0,0,1,0,0.5
NC_007795.1,28.375,100.5833333,7.267857143,59.16666667,10.89444444,2.588888889,13.36111111,7.977777778,3.65,2.6,1.316666667,3.022222222
NC_007795.1,35.41666667,149.25,6.833333333,92.08333333,18.25,3,8.5,1.5,3.5,0,5.5,4
NC_007795.1,62.75,337.75,25.58333333,179.25,23.25,6.5,19,9,7,6,14.5,3.5
NC_007795.1,0,5.5,0.25,7.5,2.5,0,0,0.5,0,0,0,0.5
NC_007795.1,18.5,77,5.5,59,6,0,6,2,3,0,1,1
NC_007795.1,9,67,13,25,3,1,1,0,0,0,2,1
NC_007795.1,1,2,0,0,0,0,0,0,0,0,0,0.5
NC_007795.1,13.5,50.5,3.5,29,1,1,2,4,3,0,1,0.5
NC_007795.1,14,79.5,6,37,0,4,0,2,1,1,5,3
NC_007795.1,13,53.5,10,38,1,1,1,2,0,0,0,0
NC_007795.1,23,55,10,53,1,0,3,1,0,0,2,4
NC_007795.1,18,63,5.5,30,2,2.5,3.5,1,1,1,0,0
NC_007795.1,4,21.5,2,22,3,0,2,0,0.166666667,0.5,0.5,1
NC_007795.1,3.5,11.5,0,7.5,5,0,2,0,1,0.5,0.5,0
NC_007795.1,5.25,32.5,7.5,5,3.5,0,2,0,0,0,1.5,0.333333333
NC_007795.1,15.5,74,9,32.5,6.5,1.25,4.5,4,5,0,3,1
NC_007795.1,4.5,21.5,0,8,0,0,0.5,0,0,0,2,0
NC_007795.1,4.5,36,4.5,27.5,4,0,0.5,0,0,0,0.333333333,0
NC_007795.1,28.33333333,152,10.5,88.5,12,2,6,2,1,1,1,3.166666667
NC_007795.1,1,3,0,5,0,0,0,0,0,0,1,0
NC_007795.1,15,71,16,40,4,4,8,2,0,4,0,1
NC_007795.1,17,63,2,35,0,2,6,2,0,1,1,0
NC_007795.1,15.33333333,36,0.333333333,38,4,1,0,1.5,1,0,4,1
NC_007795.1,15.04545455,31,3.21969697,30.29545455,7.166666667,1.166666667,0.333333333,2.5,1.333333333,1.666666667,1,3.5
NC_007795.1,4,4,2,4,0,0,1.5,0,4,0,0,1
NC_007795.1,5.333333333,13.5,4.666666667,9.833333333,1.5,1.583333333,0.5,2.25,0.25,0.583333333,1,1.25
NC_007795.1,8.333333333,19.66666667,0,13.66666667,1.166666667,0.583333333,1,1.583333333,0.75,0.25,1,0.583333333
NC_007795.1,2.5,17,1,13.5,1,0,1,0,1,0,1.5,0
NC_007795.1,2,16.5,0,20,2,0.5,1,1,2,1,2,2
NC_007795.1,2,6,0,2,0.5,0.5,0.5,1,0.5,0.5,0.5,1
NC_007795.1,19.25,12,16.2,10.75,1.75,2.25,0.75,2.25,1,2,1,3.5
NC_007795.1,0.75,9,1,5,0,4.25,0,0.75,0,0,0.75,0.5
NC_007795.1,12,26,3,19,1,1,0,2,0,0,0,2
NC_007795.1,34,107,10.5,98,15,2,8.5,1,3,2,5,3
NC_007795.1,31,98.5,19.5,54,4.5,3,7.5,2,0,2,3,0
NC_007795.1,20.2,76.5,10,42.45454545,5.5,2,5.125,5,1,1,2,4
NC_007795.1,0,4,0,5,0,0,0,0,0,0,0,0
NC_007795.1,4,45,0,39,2,3,3,0,0,2,3,2
NC_007795.1,26,44.5,25.5,27,2,2,3,5,1.5,8,1,5
NC_007795.1,16.5,58.5,7,28.5,2,0,3,3,0,3,5,4
NC_007795.1,2,15,3,10,1,0,1,0,1,0,2,0
NC_007795.1,21,122,9,42,8,3,4,2,1,0,7,1
NC_007795.1,1,16,0,14,0,0,2,0,1,0,1,1.5
NC_007795.1,21.25,65,10,30,4,1,0,4,3.142857143,3.25,5,5
NC_007795.1,13.5,91,2,32,4,1,3,2,1,0,3,2.666666667
NC_007795.1,49.5,228,7,137.5,16.78333333,2,7,4,1,0,10,2
