Synonym,USA300(EX)BHI,USA300(ST)BHI,T032(EX)BHI,T032(ST)BHI,USA300(EX)SNM,T032(EX)SNM,in vivo
SA2981_0154,7,16,12,40,21,374,0
SA2981_1504,74,118,80,103,215,554,0
SA2981_1505,95,274,127,217,537,1183,1
SA2981_1507,158,441,207,322,819,1815,0
SA2981_1508,104,379,136,264,513,1067,0
SA2981_1509,0,0,0,0,0,0,0
SA2981_1510,146,192,151,184,437,936,2
SA2981_1511,554,387,508,1009,1710,2231,7
SA2981_1512,28,16,52,28,80,275,0
SA2981_1513,81,38,65,45,136,356,0
SA2981_0155,17,7,17,26,24,329,0
SA2981_1514,78,74,31,55,133,179,0
SA2981_1515,224,110,217,57,450,839,0
SA2981_1516,174,188,190,76,601,877,0
SA2981_1517,76,81,150,121,329,665,0
SA2981_1518,32,23,26,18,67,106,0
SA2981_1519,972,858,637,612,953,1934,3
SA2981_1520,625,495,450,343,1110,1911,0
SA2981_1521,73,159,71,218,257,595,0
SA2981_1523,928,1189,901,1032,2267,3627,1
SA2981_1524,128,168,189,212,229,935,0
SA2981_1526,15,59,23,41,49,187,0
SA2981_1527,13,30,28,46,57,175,0
SA2981_1528,16,53,33,48,117,305,0
SA2981_1529,336,441,172,397,501,998,0
SA2981_1530,266,296,222,284,312,463,0
SA2981_1531,522,668,230,525,717,905,0
SA2981_1532,286,523,169,408,584,616,0
SA2981_1533,0,2,0,0,2,0,0
SA2981_1534,341,323,324,271,740,1220,1
SA2981_1535,0,0,0,0,0,0,0
SA2981_1536,8,0,1,0,1,0,0
SA2981_1537,210,188,126,126,212,449,1
SA2981_1538,1451,1165,848,936,1309,1621,15
SA2981_1539,226,247,181,332,704,690,0
SA2981_1540,710,1074,746,1190,2456,2251,1
SA2981_1541,29,29,43,23,70,137,0
SA2981_1543,961,706,706,549,813,1853,1
SA2981_1544,0,0,0,0,0,0,0
SA2981_1545,109,66,171,68,283,513,1
SA2981_1547,133,188,125,387,416,570,1
SA2981_1548,20,26,14,19,52,68,0
SA2981_1549,223,221,256,220,493,1071,0
SA2981_1550,82,156,77,119,268,504,0
SA2981_1551,96,215,90,119,216,555,1
SA2981_1552,53,50,52,36,76,268,0
SA2981_1553,23,28,27,21,30,91,0
SA2981_1554,62,49,68,42,103,325,0
SA2981_1555,109,66,121,70,221,646,1
SA2981_1556,48,34,48,31,155,318,0
SA2981_1557,74,79,59,76,151,272,0
SA2981_1563,8,29,15,43,89,661,0
SA2981_1564,138,129,23,158,248,1229,0
SA2981_1565,0,7,1,9,35,152,0
SA2981_1566,5,23,9,55,166,452,0
SA2981_1567,6,21,5,62,158,379,0
SA2981_1568,187,175,234,210,332,968,1
SA2981_1569,145,91,141,76,105,415,0
SA2981_1570,192,103,132,50,193,438,1
SA2981_1571,216,126,184,57,381,708,1
SA2981_1572,59,52,82,22,96,153,0
SA2981_1573,79,160,165,165,337,495,0
SA2981_0161,4,13,28,47,33,252,0
SA2981_1574,146,222,187,364,664,960,1
SA2981_1575,62,166,84,232,332,497,1
