,1_LAC1_CGATGT_L007_R1_001 (paired) (GE) - Total counts,2_LAC2_ACAGTG_L007_R1_001 (paired) (GE) - Total counts,3_LAC3_GCCAAT_L007_R1_001 (paired) (GE) - Total counts,4_mgrA1_CAGATC_L007_R1_001 (paired) (GE) - Total counts,5_mgrA2_CTTGTA_L007_R1_001 (paired) (GE) - Total counts,6_mgrA3_GTGAAA_L007_R1_001 (paired) (GE) - Total counts
SAUSA300_1707,4647,4476,4197,4241,5024,6100
rot,31472,26756,24057,19725,21458,29578
SAUSA300_1709,238,204,207,235,266,330
SAUSA300_1710,16527,15690,15066,11278,14013,18190
putA,4567,6016,7609,2698,4053,7011
ribH,3150,3002,2781,1947,2385,3070
ribBA,8277,8477,7026,5808,6996,8710
ribE,3491,3614,3126,2534,3017,3679
ribD,8571,8227,7301,5395,6791,8541
SAUSA300_1716,3984,3831,3559,1776,2215,3319
arsR_1,459,468,386,385,440,562
arsB,1505,1351,1360,1306,1468,1910
arsC,707,625,651,582,637,828
SAUSA300_1720,20069,19583,17973,17210,20348,27181
SAUSA300_1721,3011,2585,2609,1991,2337,3122
SAUSA300_1722,2148,1936,1889,1959,2003,2784
SAUSA300_1723,4713,4411,3878,3759,4184,5667
SAUSA300_1724,695,527,475,369,417,541
SAUSA300_1725,30612,26357,24864,10862,14055,20138
SAUSA300_1726,382,401,413,408,487,730
SAUSA300_1727,76,51,39,48,34,69
SAUSA300_1728,7983,7645,7549,5082,6370,8823
SAUSA300_1729,42182,37793,35736,33531,38852,53551
metK,22418,25810,23278,17364,21249,25474
pckA,2203,2620,3016,1407,1548,2500
SAUSA300_1732,111,140,72,70,56,64
SAUSA300_1733,1273,1268,1128,938,1284,1322
SAUSA300_1734,441,512,338,425,495,497
SAUSA300_1736,5807,4881,4714,3192,3877,5334
menC,2935,3066,2707,2221,2769,3349
menE,4277,4406,4095,3138,4008,4709
SAUSA300_1738,196,191,173,192,249,287
SAUSA300_1739,5695,4963,5192,16715,19150,26148
SAUSA300_1740,6179,5658,5467,19091,21833,30430
SAUSA300_1741,14,24,12,74,89,97
SAUSA300_1742,128,149,127,382,449,551
SAUSA300_1743,114,112,94,285,330,347
SAUSA300_1744,305,252,264,520,571,755
SAUSA300_1745,1924,1537,1487,1306,1456,1866
SAUSA300_1746,97,102,77,58,60,111
SAUSA300_1747,1354,1343,1306,890,1222,1507
SAUSA300_1748,485,518,412,371,388,564
SAUSA300_1749,925,932,858,846,802,1039
SAUSA300_1750,4574,4397,4248,3607,4033,4455
hsdS,4771,4781,4241,3859,4606,5292
hsdM_2,5182,5063,4759,4440,5513,6169
splF,2588,1372,1719,103,163,362
splE,2320,1153,1379,113,186,342
splD,3509,1606,2052,154,179,470
splC,4314,2077,2560,218,265,559
splB,5153,2506,2868,177,240,560
splA,7110,3172,3395,248,265,731
SAUSA300_1759,447,428,365,125,149,232
epiG,4404,5742,5441,1229,1582,2254
epiE,3565,4576,4641,1135,1491,2264
epiF,8608,9937,9870,3083,3606,5382
epiP,4572,5117,5112,2108,2680,3888
epiD,181,189,184,180,211,336
epiC,669,707,658,697,945,1312
epiB,2045,1892,1891,2261,2783,3745
epiA,436,478,403,272,308,570
lukD,941,711,734,297,394,462
lukE,699,419,487,179,222,308
SAUSA300_1770,467,405,390,451,432,608
SAUSA300_1771,3842,3809,3675,2355,2953,3920
SAUSA300_1772,6,10,10,2,6,6
SAUSA300_1773,0,0,0,0,0,0
SAUSA300_1774,0,0,0,0,0,0
SAUSA300_1775,0,0,0,1,0,0
SAUSA300_1776,0,0,0,2,0,4
SAUSA300_1777,0,0,0,0,0,0
SAUSA300_1778,0,0,0,0,0,1
SAUSA300_1779,0,0,0,0,2,0
SAUSA300_1780,4447,4659,4121,4149,4919,6256
hemG,10067,11417,10453,10572,12720,16404
hemH,5643,6823,6162,5693,7196,8896
hemE,6696,7563,6876,6046,7786,9556
SAUSA300_1784,39311,33531,32600,23652,28741,37439
SAUSA300_1785,17725,17925,17043,12203,14257,17070
SAUSA300_1786,12786,12797,11823,7956,9365,11363
SAUSA300_1787,15578,14345,14289,9249,11114,15738
SAUSA300_1788,96148,94462,88116,29283,37872,59950
SAUSA300_1789,458,401,426,336,367,522
prsA,63990,56124,55943,32241,37373,48762
cbf1,38824,40706,39917,25226,30541,38746
SAUSA300_1792,104153,103423,100976,77371,92930,117832
SAUSA300_1793,40700,36476,35559,31468,35357,48027
SAUSA300_1794,0,0,0,0,2,0
SAUSA300_1795,64836,71201,65386,52625,60065,75657
SAUSA300_1796,5095,5174,5262,2673,3079,4425
SAUSA300_1797,3526,3890,3416,3805,4086,4687
SAUSA300_1798,6111,5450,5399,4026,4889,6441
SAUSA300_1799,8202,7439,7081,5468,6274,8367
SAUSA300_1800,11728,11109,10567,7779,9072,12310
fumC,9729,10538,11389,6239,7721,10595
SAUSA300_1802,725,822,738,570,556,811
SAUSA300_1803,24376,23999,23472,9932,11647,17108
SAUSA300_1804,103912,99938,96327,39370,48188,74410
SAUSA300_1805,2941,3183,2907,2490,2951,3481
SAUSA300_1806,6459,6753,5856,5484,6476,7763
SAUSA300_1807,1718,1639,1540,1654,1890,2517
SAUSA300_1808,1331,1488,1308,1807,2054,2275
SAUSA300_1809,5980,6059,5936,4860,5698,6991
SAUSA300_1810,1035,1115,1197,773,761,1207
SAUSA300_1811,2,0,4,1,2,4
SAUSA300_1812,0,0,0,0,0,0
SAUSA300_1813,0,0,0,0,0,0
SAUSA300_1814,0,0,0,0,0,0
SAUSA300_1815,0,0,0,0,0,0
SAUSA300_1816,0,0,0,0,0,0
SAUSA300_1817,0,0,0,0,2,2
SAUSA300_1818,0,0,0,0,0,0
SAUSA300_1819,1,0,0,0,0,0
SAUSA300_1820,0,0,0,0,0,0
SAUSA300_1821,0,2,6,0,0,1
SAUSA300_1822,0,1,0,0,0,0
SAUSA300_1823,46,28,37,29,24,59
SAUSA300_1824,0,3,0,0,0,0
SAUSA300_1825,22,22,24,20,7,39
SAUSA300_1826,0,0,0,0,0,0
SAUSA300_1827,0,0,0,0,0,0
SAUSA300_1828,0,0,0,0,0,0
SAUSA300_1829,0,0,0,0,0,0
SAUSA300_1830,601,812,795,483,658,1043
SAUSA300_1831,8,10,4,12,3,6
SAUSA300_1832,0,0,2,0,0,0
SAUSA300_1833,0,2,4,0,0,6
SAUSA300_1834,5,2,0,0,0,0
SAUSA300_1835,0,2,2,0,4,0
SAUSA300_1836,0,0,0,0,0,0
rrfC,21,44,20,23,11,0
rrlC,4224,4640,2791,2172,1522,2073
SAUSA300_1839,0,0,0,0,0,0
SAUSA300_1840,0,0,0,0,0,0
rrsC,149,196,158,1086,155,212
SAUSA300_1842,21111,21232,21445,15806,19259,27936
SAUSA300_1843,15612,13981,13337,8569,10746,15148
SAUSA300_1844,11634,10358,10048,6669,8184,10935
hemL_2,12063,11926,11299,7355,8886,12062
SAUSA300_1846,7965,7857,7572,5998,7169,9565
SAUSA300_1847,3127,3882,3542,4015,4861,5974
SAUSA300_1848,3301,3562,3327,2315,2589,3622
mutY,3393,3155,3008,2443,2912,3757
SAUSA300_1850,19179,18522,19208,8436,10831,15875
SAUSA300_1851,8803,8105,8002,5853,7379,9561
SAUSA300_1852,13729,13097,12533,10030,11943,15592
SAUSA300_1853,4252,3529,3402,2944,3277,4298
recX,4809,4755,4589,3090,3724,4667
sgtB,5789,5438,5610,3637,4536,5867
SAUSA300_1856,54953,64501,62528,17379,22805,36120
SAUSA300_1857,1577,1332,1429,723,998,1229
SAUSA300_1858,8235,7859,7139,5689,6762,8856
SAUSA300_1859,19576,19767,17730,12367,15477,19137
pepS,42452,42901,38134,25972,31486,40365
SAUSA300_1861,3739,3411,3225,2017,2445,3195
SAUSA300_1862,82393,84246,78364,31772,43110,60186
SAUSA300_1863,31415,35184,32343,14372,17203,25168
SAUSA300_1864,70725,79683,71839,25587,32970,46862
vraR,11451,10632,10283,8479,10682,13015
vraS,15169,14529,14396,11959,14384,16897
SAUSA300_1867,4830,4505,4156,3506,4225,5552
SAUSA300_1868,2156,2081,1815,1752,1885,2478
map_1,17250,16146,15044,12715,15281,19456
SAUSA300_1870,2169,2214,2103,1615,1990,2353
SAUSA300_1871,355,296,293,345,362,487
SAUSA300_1872,5696,6988,5930,5061,5900,6843
SAUSA300_1873,9275,11040,9814,7124,8928,10059
SAUSA300_1874,62186,46476,50382,12754,16565,44485
SAUSA300_1875,2642,2707,2652,1465,1700,2622
SAUSA300_1876,1612,1800,1545,997,1398,1693
SAUSA300_1877,1585,1550,1402,1395,1709,2140
rumA,3258,3815,3051,3100,3817,4217
SAUSA300_1879,10676,11585,10490,7651,9192,11435
gatB,53733,57839,55322,56466,65710,81798
gatA,35208,39040,36057,39030,44146,53388
gatC,7833,8129,7261,8397,9612,10945
putP,14970,15464,14048,8926,10457,12701
SAUSA300_1884,20835,21624,20837,15819,19097,22706
ligA,16515,17879,17079,14806,18241,21505
pcrA,14772,15576,14659,13504,15804,18730
pcrB,4441,4825,4367,3318,3878,4963
SAUSA300_1888,3768,4145,3620,2290,2851,3634
purB,16173,17740,16188,11527,14311,17230
SAUSA300_1890,40080,28799,31522,8949,11286,16594
SAUSA300_1891,1664,1915,1565,1314,1570,1838
SAUSA300_1892,8249,9325,8060,6506,7945,9113
nadE,10512,11669,9634,8393,11512,12498
SAUSA300_1894,12078,14328,11167,11080,14652,14602
SAUSA300_1895,15319,15729,14980,10252,12853,16463
pheA,9017,9392,8816,6542,7899,10321
SAUSA300_1897,9549,10115,9071,3855,4862,6510
SAUSA300_1898,8642,9061,8446,3057,3905,6263
SAUSA300_1899,39487,34458,32971,24837,29735,38052
ppaC,90774,92637,90839,57396,67730,92981
aldA2,31519,26118,25496,17210,21112,31006
SAUSA300_1902,17673,17627,17190,12229,14635,19250
SAUSA300_1903,1302,1388,1329,945,1014,1634
SAUSA300_1904,5321,6827,6600,4817,5681,7615
SAUSA300_1905,3694,3616,3290,2973,3445,4713
SAUSA300_1906,13788,13134,13069,10602,12501,16129
SAUSA300_1907,5103,4719,4551,3824,4696,5839
SAUSA300_1908,5550,5234,4938,4147,5032,6064
SAUSA300_1909,17636,18207,18906,14699,17350,26229
SAUSA300_1910,6091,5723,6120,6656,7479,9343
SAUSA300_1911,12022,10909,11176,14753,16636,20101
SAUSA300_1912,2377,2410,2351,3412,3878,4643
SAUSA300_1913,6540,6524,6353,9301,10149,12896
SAUSA300_1914,3060,2816,2872,4493,4970,6198
SAUSA300_1915,101,164,110,125,117,137
SAUSA300_1916,55665,52574,51736,39933,49932,64456
map_2,80432,43682,48168,8876,10677,17753
SAUSA300_1918,5558,3363,3166,434,474,951
SAUSA300_1919,184797,107087,116048,22112,25799,48627
chs,18500,10215,11262,646,642,890
SAUSA300_1921,4217,3803,3760,3165,3996,5335
sak,10658,13009,13162,2433,3207,4600
SAUSA300_1923,217,281,265,200,217,208
SAUSA300_1924,86,93,79,74,90,72
SAUSA300_1925,368,414,368,318,374,371
SAUSA300_1926,174,222,160,149,146,184
SAUSA300_1927,35,46,50,35,35,54
SAUSA300_1928,2897,3227,2789,2067,2570,2733
SAUSA300_1929,354,378,303,378,407,318
SAUSA300_1930,1616,1929,1550,1678,1950,1815
SAUSA300_1931,135,134,72,111,118,84
SAUSA300_1932,427,510,399,381,457,441
SAUSA300_1933,63,145,95,93,90,109
SAUSA300_1934,625,870,690,641,700,721
SAUSA300_1935,551,709,533,607,642,471
SAUSA300_1936,204,310,265,227,279,253
SAUSA300_1937,231,300,220,256,205,238
SAUSA300_1938,1364,1565,1344,1192,1214,1172
SAUSA300_1939,754,984,705,622,799,731
SAUSA300_1940,986,1222,1012,994,1050,1024
SAUSA300_1941,796,924,797,654,741,717
SAUSA300_1942,256,216,175,159,187,172
SAUSA300_1943,181,192,159,101,129,149
SAUSA300_1944,586,716,629,410,457,524
SAUSA300_1945,216,246,227,140,204,206
SAUSA300_1946,122,148,125,116,120,91
SAUSA300_1947,465,546,427,361,414,383
SAUSA300_1948,174,205,189,175,178,129
dut,209,360,283,229,290,210
SAUSA300_1950,51,86,58,63,84,54
SAUSA300_1951,84,134,61,107,91,65
SAUSA300_1952,117,197,136,188,172,113
SAUSA300_1953,92,139,88,84,114,93
SAUSA300_1954,147,173,114,113,172,121
SAUSA300_1955,157,171,148,141,161,138
SAUSA300_1956,137,145,133,100,117,115
SAUSA300_1957,966,993,955,612,809,820
SAUSA300_1958,422,481,430,349,385,366
SAUSA300_1959,230,294,260,177,218,246
SAUSA300_1960,1570,1689,1557,1034,1139,1288
SAUSA300_1961,2749,2929,2803,2112,2066,2033
SAUSA300_1962,286,335,339,189,217,239
SAUSA300_1963,295,352,357,220,250,208
SAUSA300_1964,590,687,658,361,405,440
SAUSA300_1965,8609,8363,8200,4953,5621,9048
SAUSA300_1966,1856,1952,1807,1267,1425,1502
SAUSA300_1967,1309,1261,1230,808,871,1108
SAUSA300_1968,318,417,378,303,260,265
SAUSA300_1969,5750,6151,6103,5614,6636,8659
SAUSA300_1970,2682,3148,3239,2738,3101,3956
SAUSA300_1971,1568,1817,1918,1452,1620,1991
int_2,1058,759,739,334,421,518
SAUSA300_1973,1525,896,936,341,348,508
SAUSA300_1974,108039,63207,71671,6354,7830,15104
SAUSA300_1975,87718,50618,56535,5605,6344,12600
SAUSA300_1976,19944,20316,20408,7068,9281,15040
SAUSA300_1977,256,179,205,240,261,274
SAUSA300_1978,90,143,114,84,115,115
SAUSA300_1979,5688,4293,4359,1309,1657,2164
SAUSA300_1980,1884,2172,1896,1013,1213,1447
SAUSA300_1981,137,146,128,107,164,160
groEL,36645,42800,43836,18818,24403,32642
groES,6306,7546,8009,3398,4194,5610
SAUSA300_1984,8356,8581,8744,6259,7034,9305
sdrH,10723,9762,10092,8154,9561,12272
SAUSA300_1986,3609,3007,2924,2116,2254,3637
SAUSA300_1987,9212,7992,7629,5502,6644,10023
SAUSA300_1988,381830,274864,284740,131746,160967,310662
agrB,238520,213621,214485,169610,195990,276622
agrD,44355,41121,41658,30031,34857,53404
agrC,325733,299506,298446,215693,245459,378010
agrA,224118,202913,200958,139473,161410,250009
SAUSA300_1993,11580,12005,10696,9059,11493,13771
scrB,21104,21604,19454,16276,20055,24445
scrR,2580,2749,2524,1436,1827,2340
amt,173,157,201,159,159,260
SAUSA300_1997,1304,1323,1290,1221,1529,2280
SAUSA300_1998,4790,5018,4515,6365,7835,10531
rex,13275,12194,12009,13211,15372,19286
vga,8953,9327,8238,7789,9182,11622
SAUSA300_2001,3214,2775,2935,1264,1433,1917
SAUSA300_2002,5298,6265,4979,4838,6100,6561
rimI,2228,2555,2012,1869,2493,2687
SAUSA300_2004,3124,3387,3013,2485,2898,3735
SAUSA300_2005,2507,2403,2225,1700,1933,2537
ilvD,2208,1905,1901,1442,1782,2315
ilvB,3817,3358,3421,2236,2487,2958
ilvN,301,263,270,142,215,267
ilvC,2536,2187,2204,1368,1713,2116
leuA,3081,2963,2917,1853,2211,2804
leuB,2498,2103,2096,1483,1804,2315
leuC,2790,2613,2489,1760,2088,2508
leuD,1124,1091,1007,729,887,994
ilvA_2,2069,1949,1887,1236,1391,1948
rrfD,0,0,0,8,0,41
rrlD,8567,9561,6149,4949,3291,4291
rrsD,1528,2075,1394,3273,451,826
SAUSA300_2018,0,0,0,0,0,0
SAUSA300_2019,0,0,0,0,2,2
SAUSA300_2020,3012,3226,2988,2498,3058,3662
SAUSA300_2021,14535,16629,14804,12518,14617,18046
rpoF,63490,73339,64963,32680,41366,52884
rsbW,24762,28528,26525,13074,16826,21481
rsbV,18731,22702,21370,10306,12791,17794
rsbU,9357,10604,9845,7454,8955,10684
SAUSA300_2026,15159,14264,13674,9969,10939,14432
alr,15475,16235,15459,10458,12902,15345
acpS,5217,5496,5264,3744,4515,5476
SAUSA300_2029,5518,5648,5421,3976,5039,5768
SAUSA300_2030,13166,13168,12027,9552,11958,14594
SAUSA300_2031,2403,2128,1961,1641,2045,2500
kdpC,1797,1530,1463,1064,1416,1894
kdpB,1405,1431,1115,1007,1303,1529
kdpA,366,345,320,271,317,443
kdpD,8167,5751,5813,5412,6669,10382
kdpE,2466,1721,1812,1639,1980,3124
SAUSA300_2037,48717,69300,62729,38567,47761,52865
murF,42400,41721,39701,30636,37979,49344
ddl,35908,35062,33288,26153,31253,39420
SAUSA300_2040,18484,18997,17918,10850,12687,17506
SAUSA300_2041,16416,18105,18775,12317,15742,24431
SAUSA300_2042,403,476,465,304,402,445
SAUSA300_2043,539,680,693,445,572,710
cls,15427,14421,14170,11072,13508,17796
SAUSA300_2045,7181,6597,6017,5403,6250,7792
oxaA,36929,46780,41561,27637,33574,42663
thiE,278,251,325,236,318,392
thiM,311,289,305,278,373,399
thiD_2,201,204,219,232,304,389
SAUSA300_2050,115,116,99,152,168,205
SAUSA300_2051,286,288,267,396,453,467
SAUSA300_2052,1751,1475,1444,631,758,1197
SAUSA300_2053,3563,3361,3087,2057,2184,3066
fabZ,24201,27816,25086,11980,14842,20433
murA_1,92537,105136,93848,44379,58997,78204
SAUSA300_2056,11016,11851,11162,4738,6207,9125
atpC,49962,62688,58881,38777,47862,56431
atpD,141140,177712,165127,114096,144023,164467
atpG,64132,80833,76060,56880,72451,78261
atpA,105862,133666,123842,93005,114020,128302
atpH,36795,46376,43959,33727,41822,44944
atpF,27792,35822,33441,25228,30403,33329
atpE,18191,21894,19982,13302,17910,20960
atpB,49649,62361,57457,42547,50707,56792
SAUSA300_2065,62875,65105,61346,39873,49490,57308
upp,28461,31122,28053,18234,21611,25658
glyA,71243,78152,69100,45251,56980,66653
SAUSA300_2068,34386,37169,32989,22408,28547,32686
SAUSA300_2069,2387,2281,2204,2056,2595,3130
SAUSA300_2070,4386,4509,4086,3660,4205,5597
SAUSA300_2071,5773,6981,6248,5207,5995,7039
prfA,8649,10849,9561,7874,9115,10432
tdk,4250,5092,4611,3685,4233,4957
rpmE2,17066,22460,20867,17551,18179,24947
rho,29986,37638,33866,29639,35283,38722
SAUSA300_2076,116173,127254,115721,38678,52347,81167
SAUSA300_2077,6769,6873,6122,4621,5437,7476
murA_2,12557,13590,12071,10469,13091,14887
fba,380101,427705,392888,258223,297001,391905
SAUSA300_2080,4825,4719,4414,3864,4375,5713
pyrG,6626,10430,8822,6933,8635,9212
rpoE,20363,23295,20273,17269,20031,24369
SAUSA300_2083,1665,1767,1515,1343,1761,2011
coaA,2389,2876,2678,1712,2264,2703
SAUSA300_2085,10388,10213,9471,8399,9369,12400
SAUSA300_2086,9011,9272,8289,14461,17418,21601
SAUSA300_2087,6159,6072,5108,9873,12667,14198
luxS,11126,11094,10636,7844,9286,12816
pdp,11920,13702,13712,7478,9611,12036
deoC_2,6366,7523,7468,4068,5367,7003
deoD_2,48871,50774,48480,30509,36228,50567
dps,16638,19524,18500,11325,14451,22593
SAUSA300_2093,8381,8894,8614,4028,4890,6782
SAUSA300_2094,20023,20872,18766,13408,16035,20748
SAUSA300_2095,1122,1313,1071,539,563,708
manA_1,11341,13059,11252,5542,6751,8071
SAUSA300_2097,20815,28269,23303,8143,11515,15621
arsR_2,1840,1627,1537,2318,2716,4830
SAUSA300_2099,9039,8775,8602,7663,9860,16158
SAUSA300_2100,115404,113507,109153,42823,51063,67940
SAUSA300_2101,4107,4001,3761,3255,3511,4268
SAUSA300_2102,6162,6765,5941,4505,5244,6862
SAUSA300_2103,988,985,801,768,948,1068
glmS,75052,89372,75676,51605,64164,80775
mtlF,3039,3982,3719,3077,3479,4554
SAUSA300_2106,13252,17072,15538,5537,6739,9190
mtlA,6207,7836,6747,2270,2781,3977
mtlD,11010,13628,12850,4059,4879,7322
fmtB_1,2613,2335,2567,42253,54515,68624
fmtB_2,1654,1443,1564,43431,56239,74366
glmM,48621,48191,44408,39739,49084,62127
SAUSA300_2112,22836,21247,20064,18979,20777,27066
SAUSA300_2113,24577,22242,20892,18051,21171,28914
rocF,2010,2259,2444,1303,1830,2612
tnp,575,776,639,416,625,490
SAUSA300_2116,0,1,0,0,0,0
SAUSA300_2117,2,0,2,2,0,9
SAUSA300_2118,0,4,3,0,1,3
SAUSA300_2119,0,0,0,0,0,0
SAUSA300_2120,0,0,2,0,0,0
SAUSA300_2121,0,0,0,1,0,0
rrfE,12,8,0,0,0,0
rrlE,0,0,0,27,0,30
rrsE,642,448,1239,4315,31,1112
SAUSA300_2125,16402,17069,15757,12524,15679,18913
SAUSA300_2126,6556,6451,5930,3271,3839,5852
SAUSA300_2127,3955,3897,3809,2255,2630,3586
SAUSA300_2128,6106,6045,5826,3854,4398,5680
SAUSA300_2129,9613,10974,10009,5759,7213,8522
SAUSA300_2130,22316,25405,23219,14941,18363,22601
SAUSA300_2131,6080,5979,6080,3851,4547,6146
SAUSA300_2132,8254,7229,9302,3592,5228,10554
SAUSA300_2133,2667,3382,2997,2802,3374,3870
SAUSA300_2134,2236,2454,2246,2168,2466,2695
SAUSA300_2135,1475,1556,1435,1525,1800,1664
SAUSA300_2136,2285,2894,2652,3250,3503,2678
SAUSA300_2137,7051,7497,7225,2970,3283,4271
SAUSA300_2138,16548,17215,17297,5896,7483,10681
SAUSA300_2139,793,808,832,769,918,1033
SAUSA300_2140,5828,5578,5241,4381,5350,6732
SAUSA300_2141,286,335,262,152,171,230
asp23,628646,757378,694626,216188,275807,431252
SAUSA300_2143,112027,135998,131791,43188,49921,78022
SAUSA300_2144,367857,440674,420014,131747,170064,265483
SAUSA300_2145,49127,56720,51168,27711,38556,60619
SAUSA300_2146,5305,5415,5583,3515,4655,6536
SAUSA300_2147,14508,15565,14435,10607,13416,17307
SAUSA300_2148,8197,9228,7984,5117,6296,7569
lacG,801,886,802,524,642,850
lacE,622,660,634,357,469,568
lacF,36,28,48,25,37,18
lacD,84,111,93,98,87,114
lacC,86,102,88,86,107,120
lacB,56,66,64,28,37,62
lacA,33,38,38,37,54,68
SAUSA300_2156,4295,4304,3838,2444,2803,3743
SAUSA300_2157,2768,2842,2755,1448,1928,2789
SAUSA300_2158,100,124,97,81,104,124
SAUSA300_2159,4443,4871,4865,2783,3408,4532
SAUSA300_2160,618,648,617,342,428,589
hysA,2644,4214,3702,1372,1611,2143
SAUSA300_2162,2293,2660,2387,2050,2750,3352
SAUSA300_2163,2653,2762,2730,2040,2491,3363
SAUSA300_2164,6018,5567,6011,771,1033,2027
budA_1,16463,18657,16261,16284,17771,23381
alsS,43379,50882,47136,43068,52401,70803
SAUSA300_2167,5671,4980,5124,4036,4835,5797
SAUSA300_2168,4367,4217,4310,3386,4023,4920
SAUSA300_2169,6996,6268,6031,4625,5501,6970
SAUSA300_2170,2683,2510,2231,2051,2412,2810
rpsI,31159,42221,38123,29477,34663,42082
rplM,28685,37479,34337,25882,32182,36441
truA,7858,8096,7649,6209,7053,8998
SAUSA300_2174,5777,5975,5374,4469,5711,6480
cbiO_1,7669,7697,7155,5903,7137,8693
cbiO_2,5590,5560,5122,4208,5033,6375
rplQ,20785,23122,22654,19454,20701,25479
rpoA,74124,80141,81214,69407,77934,91118
rpsK,18053,19803,19767,16910,18343,22716
rpsM,27352,29907,30081,24202,29830,35534
rpmJ,7662,7698,7742,7231,9080,9278
infA,11910,12822,12953,12064,13521,15486
adk,36030,39962,38855,38030,40419,45607
secY_1,77600,84174,81115,75403,86744,102944
rplO,20154,23493,22680,23269,25989,32112
rpmD,10471,11924,11388,13827,16319,17571
rpsE,20965,26212,24759,29471,34232,38663
rplR,18290,21455,20756,26165,29937,32070
rplF,19492,24789,23441,28187,30378,34208
rpsH,19267,23208,22654,28125,31933,34216
rpsN_2,9578,11220,10806,12962,15820,16946
rplE,20724,25221,24718,28212,33271,37286
rplX,13724,16388,16039,20133,22769,24783
rplN,14927,18479,17782,19284,23339,27039
rpsQ,13500,16406,16771,21182,22124,23588
rpmC,8402,10758,10301,12751,14036,15342
rplP,16746,20661,20172,21646,26544,29761
rpsC,24675,30583,30433,32484,37389,40977
rplV,12729,14922,14908,14976,19003,20751
rpsS,16088,19234,18790,18943,22876,25031
rplB,53155,68362,65173,59170,68869,81587
rplW,13136,16244,15735,14331,15568,18348
rplD,29553,38055,37188,31908,36514,43339
rplC,33393,43387,42421,36891,42591,48418
rpsJ,22713,27916,27401,23077,26460,31580
SAUSA300_2206,8619,8201,8413,4355,5589,8085
SAUSA300_2207,23332,29076,26426,16620,19746,24449
topB,17766,17228,16972,10896,13159,16973
SAUSA300_2209,9574,8878,8723,6734,8022,11617
glcU,21445,29596,25375,21527,25441,31023
SAUSA300_2211,2672,2794,2626,1988,2250,3153
SAUSA300_2212,1543,1631,1498,1194,1344,1898
SAUSA300_2213,22895,24891,22466,29370,36868,45782
SAUSA300_2214,22882,24758,22180,17639,21898,26857
SAUSA300_2215,4056,3827,3513,2817,3489,4487
SAUSA300_2216,168,224,171,278,328,323
SAUSA300_2217,686,811,672,1041,1293,1865
SAUSA300_2218,2531,2620,2423,23002,27633,37466
moaA,13027,14601,13162,10527,12993,15803
mobA,4601,5404,4856,3732,4563,5422
moaD,1434,1682,1442,1338,1686,1871
moaE,2852,3586,2869,2797,3856,3917
mobB,2898,3589,3032,3227,4254,4266
moeA,5042,6145,5189,5977,7807,8305
moaC,7437,6642,6319,4958,6298,8090
moaB,1772,1972,1714,1806,2395,2968
moeB,4385,4926,4224,4491,6106,6995
modC,6875,7492,6997,7228,8899,12196
modB,8572,8894,8121,9390,11781,14525
modA,11014,11774,11647,12532,15983,20169
fdhD,3632,3610,3427,3543,4302,6267
SAUSA300_2232,1910,1992,1898,1690,2140,2414
SAUSA300_2233,1533,1617,1550,1257,1610,1911
SAUSA300_2234,710,761,693,821,1009,1120
SAUSA300_2235,3750,5248,4234,9547,11122,9287
SAUSA300_2236,12606,12586,10913,4428,6084,8900
SAUSA300_2237,936,830,737,4775,6041,8624
ureA,207,157,163,8871,11980,14130
ureB,434,424,332,17471,22224,26757
ureC,2113,2211,2071,50404,64722,82917
ureE,1086,1088,1107,18473,22314,28821
ureF,1326,1429,1392,22089,26336,33760
ureG,1973,1948,2105,21289,27663,35437
ureD,2708,2499,2603,26117,32194,41932
SAUSA300_2245,78941,71712,73207,12492,12955,19601
SAUSA300_2246,5314,5765,5699,3184,3973,5356
SAUSA300_2247,1223,1648,1514,984,1115,1386
SAUSA300_2248,3664,4514,4150,2348,2677,3264
ssaA_1,4802,6110,5735,3464,4754,5069
nhaC,15842,18771,16163,6736,8485,9503
SAUSA300_2251,28077,33818,30964,10981,14414,18289
SAUSA300_2252,6448,6571,6639,2514,2949,4330
ssaA_2,3555,4146,3838,3314,4370,5499
SAUSA300_2254,19829,20777,22325,11956,15019,21606
SAUSA300_2255,5005,6365,5616,4709,5710,6311
SAUSA300_2256,9978,10303,9530,10844,11965,13689
SAUSA300_2257,19007,23374,21750,11485,13649,19043
SAUSA300_2258,190698,223372,207444,95095,123287,176021
SAUSA300_2259,12755,14832,13033,5688,7143,8507
SAUSA300_2260,5840,6843,6343,3108,3925,5310
SAUSA300_2261,9880,8632,8488,4874,5846,9184
SAUSA300_2263,256,214,196,120,144,260
SAUSA300_2262,7033,7583,7311,6364,7236,8723
SAUSA300_2264,27675,29580,28543,32722,37708,50228
SAUSA300_2265,24951,27443,23973,15935,18939,22145
SAUSA300_2266,7133,6176,6104,4852,5841,7320
SAUSA300_2267,4656,4610,4275,3139,3946,5184
SAUSA300_2268,1381,1198,1139,1207,1327,1755
SAUSA300_2269,2687,2541,2326,2338,2611,3065
glvC,4062,4188,4086,2042,2625,3511
SAUSA300_2271,1687,1492,1472,1177,1327,1776
SAUSA300_2272,12055,13617,11869,9389,12117,13751
SAUSA300_2273,9164,10256,8849,8347,9805,11723
SAUSA300_2274,1599,1439,1362,907,1115,1357
SAUSA300_2275,33800,36019,30953,11187,14812,22915
