,1_LAC1_CGATGT_L007_R1_001 (paired) (GE) - Total counts,2_LAC2_ACAGTG_L007_R1_001 (paired) (GE) - Total counts,3_LAC3_GCCAAT_L007_R1_001 (paired) (GE) - Total counts,4_mgrA1_CAGATC_L007_R1_001 (paired) (GE) - Total counts,5_mgrA2_CTTGTA_L007_R1_001 (paired) (GE) - Total counts,6_mgrA3_GTGAAA_L007_R1_001 (paired) (GE) - Total counts
SAUSA300_0378,1682,1484,1470,890,1135,1804
ahpF,206948,202961,203807,116926,145008,238367
ahpC,115187,110670,112596,61583,76999,125713
SAUSA300_0381,7729,7623,7071,10797,14365,18952
SAUSA300_0382,47893,33898,36470,6285,7787,13113
SAUSA300_0383,25205,25800,24921,18721,22432,28571
SAUSA300_0384,8114,7371,7442,4463,5349,7560
SAUSA300_0385,23204,26993,30530,6406,8379,15294
xpt,35413,29291,27092,32315,36379,48384
pbuX,94858,80162,73928,84730,96265,127172
guaB,191935,180986,163850,170826,206432,260208
guaA,275776,261071,245337,209359,254382,334094
SAUSA300_0390,858,586,625,467,474,776
SAUSA300_0391,312,326,298,182,208,279
SAUSA300_0392,85,99,105,79,123,159
SAUSA300_0393,673,810,695,425,553,625
SAUSA300_0394,1922,2050,1842,1060,1410,1833
SAUSA300_0395,709,764,804,314,434,695
set7,123,122,141,94,93,150
SAUSA300_0397,64,56,80,40,74,92
SAUSA300_0398,74,78,91,37,36,70
SAUSA300_0399,123,90,89,38,47,85
SAUSA300_0400,137,146,158,128,129,163
SAUSA300_0401,504,389,410,348,405,420
SAUSA300_0402,248,164,189,107,103,170
SAUSA300_0403,228,271,228,149,180,197
SAUSA300_0404,530,502,465,328,453,450
hsdM_1,9878,10086,8245,8061,9721,11195
SAUSA300_0406,4304,3949,3770,3998,4432,5040
SAUSA300_0407,297,298,248,85,135,144
SAUSA300_0408,1593,1903,1463,718,824,1118
SAUSA300_0409,43521,27710,30241,7459,9158,17756
SAUSA300_0410,231,357,229,126,162,135
SAUSA300_0411,318,339,304,220,206,210
SAUSA300_0412,215,403,326,250,314,290
SAUSA300_0413,131,131,114,74,70,107
SAUSA300_0414,178,199,154,74,123,152
lpl3,171,249,202,127,111,135
SAUSA300_0416,154,223,162,122,148,127
SAUSA300_0417,730,903,654,367,484,602
SAUSA300_0418,971,1284,905,578,671,815
SAUSA300_0419,5849,6792,6334,2880,3472,4569
SAUSA300_0420,10092,11812,11486,5876,7000,9230
SAUSA300_0421,4900,5288,5015,2884,3486,4419
SAUSA300_0422,2843,3141,2967,1591,1968,2733
SAUSA300_0423,1053,1053,946,288,308,431
SAUSA300_0424,726,605,521,304,344,485
SAUSA300_0425,12715,20239,16964,15479,17305,18788
SAUSA300_0426,32326,56774,49046,39507,45813,48928
SAUSA300_0427,10871,14866,13742,8988,10182,12532
SAUSA300_0428,1134,1138,1133,1106,1359,1593
SAUSA300_0429,8825,10507,9432,6199,7299,8992
SAUSA300_0430,8929,10680,9398,5225,6669,8305
SAUSA300_0431,4,4,2,0,2,2
SAUSA300_0432,1738,2248,1852,865,1065,1423
cysM,1620,1594,1305,1599,2078,3281
metB,3205,3217,3013,3682,4429,7401
SAUSA300_0435,3477,2710,2319,1019,1298,1946
SAUSA300_0436,2742,2368,2322,815,1109,1532
SAUSA300_0437,12368,10748,10379,3469,4204,6013
SAUSA300_0438,16047,17959,16220,21041,27559,34487
SAUSA300_0439,1045,1188,1155,873,1119,1312
SAUSA300_0440,1928,1746,1759,1303,1568,2144
SAUSA300_0441,5128,4822,4411,3105,3820,5311
SAUSA300_0442,9556,8025,7748,7969,9360,12999
SAUSA300_0443,8575,7011,6936,6823,8035,11370
gltC,667,548,502,418,543,704
gltB,11346,8677,7675,11184,13928,17501
gltD,5346,4858,4570,3913,4983,6310
SAUSA300_0447,33,84,87,28,45,66
treP,26522,28499,28937,13077,17671,27636
treC,7336,10048,10174,4600,5744,7270
treR,2850,4205,3775,2169,2421,2957
SAUSA300_0451,2195,2154,2055,1426,1699,2173
dnaX,21686,24226,20400,16979,21702,24592
SAUSA300_0453,26178,31298,24331,19837,26769,30440
recR,38183,44177,36822,31445,38785,43529
rrsA,555,869,156,6241,845,52
rrlA,2620,3278,2178,2223,1128,1733
rrfA,0,0,0,4,0,0
SAUSA300_0458,5003,4743,4430,3040,3503,4690
tmk,2930,3287,2916,2281,2770,3256
SAUSA300_0460,21561,23572,20944,16189,21018,26762
holB,9044,9527,8612,8695,9829,12707
SAUSA300_0462,7974,8332,7930,7038,8821,10767
SAUSA300_0463,3037,3374,3142,2995,3230,3980
SAUSA300_0464,842,930,824,719,804,935
SAUSA300_0465,366,517,422,339,439,489
SAUSA300_0466,1331,1626,1361,1172,1409,1647
metS,48331,50787,46466,46490,54249,63380
SAUSA300_0468,18861,20405,18392,18385,21549,25906
SAUSA300_0469,5551,6115,5138,4881,5938,7060
ksgA,10530,10803,9944,8283,10368,12080
SAUSA300_0471,15189,13523,12569,9968,10839,17361
ipk,20411,18289,17701,10605,13036,17084
purR,62378,62269,58216,27275,33506,47291
SAUSA300_0474,108522,115844,108318,38434,48269,74919
SAUSA300_0475,97278,104091,96844,32284,40125,62286
SAUSA300_0476,33,60,47,11,13,26
glmU,17907,23080,19328,15394,19382,21414
prs,19546,23691,20843,16896,20535,24041
SAUSA300_0479,70086,92473,80860,88585,100264,127788
pth,5247,4835,4466,3377,4152,5418
mfd,34535,34417,31361,28536,36157,41294
SAUSA300_0482,17940,19692,19401,11747,15427,19006
SAUSA300_0483,23589,25621,24739,16828,20829,24414
SAUSA300_0484,5911,6439,6089,4315,5407,6468
SAUSA300_0485,8681,9812,9134,6262,7752,9641
SAUSA300_0486,34368,31369,29496,22314,25136,31594
SAUSA300_0487,3901,4758,4193,2914,3480,4061
hpt,3606,4414,3879,2895,3091,3717
SAUSA300_0489,104315,112556,98202,101732,120507,149265
hslO,8143,10483,8578,7517,9715,11160
cysK,200289,185008,176098,27313,34100,49327
folP,5735,4640,4311,2610,3095,4518
folB,3027,2620,2548,1508,1961,2367
folK,6489,5868,5754,3762,4546,5658
SAUSA300_0495,6,6,6,2,5,5
lysS,79227,77391,73337,52300,62487,81357
rrfG,0,0,20,0,7,6
SAUSA300_0498,0,0,0,0,0,0
rrsB,568,880,118,5605,828,643
SAUSA300_0500,0,0,0,0,0,0
rrlB,9976,14109,7568,5718,3673,5278
rrfB,0,0,0,4,0,0
SAUSA300_0503,1308,1256,1239,859,1075,1309
SAUSA300_0504,27681,28583,26820,11903,15502,15332
SAUSA300_0505,21490,21330,20380,9325,11936,11707
nupC,17386,19191,17499,16629,18987,21239
ctsR,5144,5539,5291,3338,4261,6283
SAUSA300_0508,4197,4440,4436,2872,3686,5420
SAUSA300_0509,11056,11652,11321,7588,9602,13624
clpC,42597,46552,43952,28318,36323,48213
radA,19849,20047,18371,13950,16524,20639
