,C1_reads,C2_reads,group1_reads,D1-1_reads,D1-2_reads,group2_reads
SA1978,773,735,754,949,991,970
SA1621,313,283,298,275,278,276.5
SA0993,5000,5411,5205.5,5193,5337,5265
SA0871,559,545,552,1345,1323,1334
SA0125,123,121,122,106,110,108
SA1706,154,104,129,35,17,26
SA0055,0,0,0,0,0,0
SA1763,346,278,312,465,438,451.5
SA0915,8844,9074,8959,8408,8165,8286.5
SA_RS00355,0,0,0,0,0,0
SA2376,5497,4883,5190,5490,5597,5543.5
SA2032,79602,94604,87103,99906,98435,99170.5
SA2280,875,770,822.5,496,499,497.5
SA2117,2797,2780,2788.5,4362,4487,4424.5
SA0332,237,235,236,298,324,311
SA1984,17764,16173,16968.5,21917,22769,22343
SA2062,8645,8176,8410.5,3014,3091,3052.5
SA1045,3061,3454,3257.5,7906,8319,8112.5
SA1468,6182,6462,6322,6928,7384,7156
SAS062,218,191,204.5,669,687,678
SA_RS12800,19,17,18,12,6,9
SA1496,67616,71253,69434.5,49704,50397,50050.5
SA1711,1877,1954,1915.5,1591,1650,1620.5
SA0690,420,375,397.5,580,617,598.5
SA0886,124,118,121,165,168,166.5
SA0391,3806,3928,3867,4058,3967,4012.5
SA1179,4121,3465,3793,2226,2296,2261
SA0806,248,275,261.5,227,229,228
SA1072,15571,15282,15426.5,22018,23101,22559.5
SAS001,1466,1380,1423,1669,1732,1700.5
SA2316,2147,1977,2062,2316,2379,2347.5
SA0068,0,0,0,0,0,0
SAtRNA30,911,813,862,976,996,986
SA1587,5032,5242,5137,3763,3939,3851
SA0959,24807,26459,25633,18520,19191,18855.5
SA0554,1243,1200,1221.5,1272,1363,1317.5
SA1445,16166,16385,16275.5,12114,11974,12044
SA2166,30584,31061,30822.5,18710,19343,19026.5
SA1948,8145,7111,7628,9098,9716,9407
SA1520,104061,111757,107909,90963,94586,92774.5
SAS032,1560,1578,1569,933,882,907.5
SA0116,239,323,281,416,408,412
SA2381,483,356,419.5,283,283,283
SA1950,0,0,0,0,0,0
SA1202,67,73,70,264,225,244.5
SA0569,11697,10770,11233.5,7189,7228,7208.5
SA0274,339,232,285.5,377,347,362
SA0716,3393,3398,3395.5,4208,4309,4258.5
SA2106,1207,1071,1139,584,691,637.5
SA1363,12172,12154,12163,7263,7678,7470.5
SA0335,248,216,232,450,410,430
SA1927,61537,59623,60580,64105,67715,65910
SA_RS12230,50,46,48,26,26,26
SA1148,5009,5527,5268,3977,4007,3992
SA1206,10583,10883,10733,8443,9093,8768
SA2484,2118,2164,2141,1805,1766,1785.5
SA_RS13285,144,134,139,230,238,234
SA_RS04030,116,163,139.5,111,75,93
SA0264,1487,1782,1634.5,1028,1180,1104
SAtRNA26,63,83,73,17,11,14
SA_RS06520,127,133,130,53,48,50.5
SA0985,6939,7617,7278,6249,6628,6438.5
SA0785,29588,30508,30048,22723,24278,23500.5
SA2329,8244,8537,8390.5,5070,5609,5339.5
SA1354,27603,29314,28458.5,22089,22783,22436
SA0817,3762,3761,3761.5,3699,3689,3694
SA_RS09795,16,25,20.5,11,7,9
SA1646,164,185,174.5,270,202,236
SA2448,3160,3411,3285.5,2000,2055,2027.5
SA2387,0,0,0,0,0,0
SA1027,31996,32838,32417,31117,32318,31717.5
SA_RS13065,21281,20362,20821.5,15205,14875,15040
SA2107,31,27,29,5,16,10.5
SA0525,16370,19471,17920.5,9453,9227,9340
SA1871,7880,8261,8070.5,5591,5696,5643.5
SAtRNA55,506,413,459.5,247,293,270
SA0787,179,115,147,219,253,236
SA0195,850,860,855,488,475,481.5
SA1715,26149,26012,26080.5,29754,30840,30297
SA2193,165,212,188.5,159,136,147.5
SA2136,7116,7930,7523,6935,7092,7013.5
SA1974,12992,13070,13031,14441,14523,14482
SA0869,11702,11512,11607,10617,11314,10965.5
SA0128,12645,13770,13207.5,5784,6032,5908
SA0064,0,0,0,0,0,0
SAtRNA21,324,297,310.5,327,385,356
SA0857,16486,15453,15969.5,12220,12935,12577.5
SA0017,10216,10835,10525.5,10280,10674,10477
SA2186,5329,5107,5218,13085,13055,13070
SA0085,3218,3046,3132,2604,2573,2588.5
SA0345,1561,1882,1721.5,1916,1924,1920
SA0047,0,0,0,0,0,0
SA0301,76,85,80.5,199,157,178
SA0805,1887,1861,1874,3517,3885,3701
SA0585,24362,22148,23255,16571,17326,16948.5
SA_RS13740,1650,1387,1518.5,820,929,874.5
SA1231,1543,1776,1659.5,2253,2218,2235.5
SA2210,471,473,472,246,329,287.5
SA2278,2219,2137,2178,2047,1949,1998
SA2240,3917,3836,3876.5,5560,5867,5713.5
SA_RS08205,864,803,833.5,849,911,880
SA0420,954,898,926,1851,1964,1907.5
SAtRNA38,246,195,220.5,211,249,230
SA2266,2745,2845,2795,2968,3148,3058
SA0012,10090,9699,9894.5,9647,10388,10017.5
SA0498,32984,33520,33252,34336,35178,34757
SA_RS10825,13,21,17,23,33,28
SA_RS02730,5437,5521,5479,4498,4282,4390
SA1607,11458,10415,10936.5,7242,7506,7374
SA_RS09025,2,4,3,3,3,3
SA1591,2,10,6,6,11,8.5
SA1405,12444,13465,12954.5,14140,14678,14409
SA_RS07410,1,0,0.5,0,0,0
SA_RS12330,18,17,17.5,8,7,7.5
SA2490,3516,3166,3341,1897,2230,2063.5
SA1121,2605,2471,2538,1968,2091,2029.5
SA1451,3189,3489,3339,2178,2280,2229
SA1071,7379,6897,7138,7341,7570,7455.5
SA0696,4272,3931,4101.5,2288,2433,2360.5
SA0813,15168,14694,14931,22933,23932,23432.5
SA0269,5921,4842,5381.5,5415,5614,5514.5
SA2252,145,127,136,157,157,157
