,C1_reads,C2_reads,group1_reads,D1-1_reads,D1-2_reads,group2_reads
SA2348,1334,1180,1257,1489,1590,1539.5
SA0779,442,431,436.5,270,304,287
SA1396,12174,12816,12495,10844,11021,10932.5
SA2000,451,432,441.5,317,269,293
SA1331,7410,7474,7442,6612,6832,6722
SA1524,13317,13914,13615.5,12211,13155,12683
SA1018,2375,2458,2416.5,1571,1669,1620
SA2383,0,0,0,0,0,0
SA1497,3022,2740,2881,2440,2779,2609.5
SA1886,16620,17984,17302,20344,21031,20687.5
SA0078,6841,6134,6487.5,4985,5343,5164
SA0708,26545,28308,27426.5,27925,28878,28401.5
SA0965,12923,12250,12586.5,14504,14680,14592
SAP027,0,0,0,0,0,0
SA1267,26131,30039,28085,20011,19912,19961.5
SA0566,3875,3343,3609,4271,4282,4276.5
SA1614,3266,3603,3434.5,3485,3652,3568.5
SA0266,545,445,495,529,636,582.5
SA2163,7271,6560,6915.5,5386,5772,5579
SA1928,2156,1987,2071.5,708,718,713
SA0403,235,137,186,180,214,197
SA0983,126,101,113.5,57,68,62.5
SA1902,13483,13924,13703.5,13622,14072,13847
SA0134,21208,21227,21217.5,23471,23845,23658
SA1647,136,131,133.5,197,190,193.5
SA0730,75919,73141,74530,160631,164194,162412.5
SA2324,2460,2035,2247.5,2294,2355,2324.5
SA1145,1819,1785,1802,976,1060,1018
SA1015,6326,6391,6358.5,2990,3079,3034.5
SA1332,576,554,565,363,366,364.5
SA_RS03920,177,144,160.5,61,70,65.5
SA_RS03450,6,8,7,15,11,13
SA2083,30675,25575,28125,17726,17841,17783.5
SA_RS10955,81,75,78,48,63,55.5
SA0373,4134,4162,4148,4456,4605,4530.5
SA2396,850,721,785.5,4256,4208,4232
SA0581,1228,1048,1138,2063,2097,2080
SA0944,116162,133798,124980,100735,101037,100886
SA1968,512,456,484,983,998,990.5
SA_RS08785,356,352,354,161,172,166.5
SA_RS11340,207,189,198,65,80,72.5
SA0307,2699,3029,2864,1523,1482,1502.5
SA0921,1024,1197,1110.5,2668,2778,2723
SA1365,9930,10550,10240,11509,12157,11833
SA0369,167,171,169,216,228,222
SA0543,701,695,698,592,577,584.5
SA0840,420,376,398,313,328,320.5
SA_RS02240,4,9,6.5,12,11,11.5
SA2486,2013,1893,1953,3667,3808,3737.5
SA0520,15834,20070,17952,15118,15448,15283
SA0559,2219,2122,2170.5,1900,1691,1795.5
SA0942,6191,6052,6121.5,4180,4415,4297.5
SA1910,18558,16879,17718.5,28157,28264,28210.5
SA1615,3666,3768,3717,2788,2905,2846.5
SAP018,2666,2648,2657,3428,3690,3559
SA1985,8100,7435,7767.5,10535,10544,10539.5
SA1864,568,490,529,986,960,973
SA_RS05335,6856,6073,6464.5,2452,2571,2511.5
SA0084,985,1053,1019,1898,2051,1974.5
SA0343,1555,1790,1672.5,1829,1855,1842
SA2415,3071,3094,3082.5,2614,2746,2680
SA1403,16722,16356,16539,25458,26510,25984
SA_RS02555,7190,7105,7147.5,4573,4736,4654.5
SA1360,27423,26197,26810,17352,17433,17392.5
SA0590,5246,5437,5341.5,2487,2685,2586
SA2475,337,280,308.5,338,329,333.5
SA0445,1218,1333,1275.5,1129,1142,1135.5
SA0309,6494,6081,6287.5,11372,11471,11421.5
SA2244,6536,7240,6888,5340,5607,5473.5
SA0943,23043,19654,21348.5,9795,10067,9931
SA0245,7421,7773,7597,6245,6571,6408
SA2041,76798,92931,84864.5,98719,99822,99270.5
SA0881,4710,4617,4663.5,3581,3614,3597.5
SA0381,3646,3555,3600.5,3005,2988,2996.5
SA0023,1916,1810,1863,1980,2075,2027.5
SA1270,28872,26870,27871,49829,51140,50484.5
SA_RS12855,624,578,601,346,351,348.5
SA_RS11860,2,5,3.5,5,2,3.5
SA2054,563,668,615.5,572,544,558
SA1680,3884,3525,3704.5,2855,3059,2957
SA0447,2217,2030,2123.5,1668,1734,1701
SA1508,12956,13475,13215.5,13945,14286,14115.5
SA1726,839,676,757.5,662,659,660.5
SA1965,17704,16951,17327.5,22241,22755,22498
SA1460,25933,27300,26616.5,25838,26217,26027.5
SA1328,3988,4418,4203,3391,3637,3514
SA1760,150,150,150,210,193,201.5
SA0488,10557,10312,10434.5,13774,13833,13803.5
SA2114,521,490,505.5,1066,1215,1140.5
SA1252,1303,1226,1264.5,1584,1463,1523.5
SA1792,699,475,587,1662,1702,1682
SA_RS02215,1,6,3.5,4,4,4
SA0190,44,36,40,48,51,49.5
SA2037,59170,71310,65240,71843,72352,72097.5
SA1115,5954,6218,6086,5531,5359,5445
SA0664,5647,5349,5498,2092,2126,2109
SA0742,27932,26802,27367,32405,32190,32297.5
SA_RS06775,1505,1368,1436.5,796,757,776.5
SA1264,5959,5817,5888,3725,3558,3641.5
SA0328,1465,1422,1443.5,899,989,944
SA0575,41,32,36.5,25,32,28.5
SA1017,229,207,218,84,77,80.5
SA1939,3952,4231,4091.5,5779,5921,5850
SA0775,35929,39327,37628,35678,36274,35976
SA1325,4096,4304,4200,3885,3778,3831.5
SA2371,302,254,278,195,205,200
SA0124,63,88,75.5,98,99,98.5
SA2260,746,719,732.5,1198,1203,1200.5
SA0548,5423,5943,5683,5227,5521,5374
SA2182,5810,5695,5752.5,9912,9817,9864.5
SA2038,80814,91510,86162,89072,88583,88827.5
SA0460,1584,1528,1556,1399,1503,1451
SAS041,823,624,723.5,282,320,301
SA0790,8631,8964,8797.5,6249,6565,6407
SA2410,214721,213361,214041,82748,86931,84839.5
SA1279,17293,17146,17219.5,15398,15755,15576.5
SA0680,8927,10141,9534,4614,4804,4709
SA0589,54495,49473,51984,35671,36848,36259.5
SA1837,9916,9147,9531.5,12381,12494,12437.5
SA0831,7697,7678,7687.5,10677,10877,10777
SAtRNA50,4190,3553,3871.5,3183,3607,3395
SA1581,3667,3850,3758.5,2796,3020,2908
SA0970,1516,1259,1387.5,575,562,568.5
SA2048,52080,58347,55213.5,65448,64877,65162.5
SA_RS11230,2208,1963,2085.5,1419,1770,1594.5
SA0961,1917,1608,1762.5,1909,2369,2139
SA1245,24626,26673,25649.5,28774,29040,28907
SA1309,4802,4548,4675,3411,3501,3456
SA1754,10006,6909,8457.5,7379,7443,7411
SA1921,4127,4239,4183,4168,4213,4190.5
SA0799,7941,8982,8461.5,8894,9466,9180
SA0139,436,531,483.5,463,525,494
SA1301,1557,1612,1584.5,1089,1172,1130.5
SA1407,25630,25117,25373.5,32353,33567,32960
SA0126,199,155,177,98,158,128
SA0189,7406,7371,7388.5,6556,6773,6664.5
SAS030,475,429,452,333,395,364
SA1570,39799,41437,40618,24646,25295,24970.5
SA0273,1089,767,928,1309,1146,1227.5
SA1085,2444,2363,2403.5,2656,2747,2701.5
SA0607,863,860,861.5,1307,1254,1280.5
SA2236,4097,3747,3922,5561,5722,5641.5
SA2424,6174,6154,6164,4045,4097,4071
SA2085,39469,33651,36560,17499,18041,17770
SA1379,19830,19873,19851.5,14967,14932,14949.5
SA0340,1896,1706,1801,2456,2388,2422
SA0366,41222,43393,42307.5,61276,60710,60993
SA1807,5661,5122,5391.5,4284,4082,4183
SA2287,30,18,24,6,14,10
SA2055,2702,2528,2615,2537,2243,2390
SA0782,3267,2994,3130.5,2763,2807,2785
SA1439,11214,11436,11325,12446,12699,12572.5
SA1322,16493,16172,16332.5,22761,23210,22985.5
SA_RS02345,8,15,11.5,11,23,17
SA0109,474,434,454,532,622,577
SA1321,2870,2956,2913,2275,2288,2281.5
SA0104,255,254,254.5,183,191,187
SA1700,6853,6282,6567.5,5946,5836,5891
SA0394,4993,3648,4320.5,7133,7423,7278
SA0263,104,120,112,243,193,218
SA0200,279,231,255,360,378,369
SA0073,0,0,0,0,0,0
SA2311,11101,11519,11310,4514,4648,4581
SA0080,691,606,648.5,988,1146,1067
SA0402,189,121,155,149,152,150.5
SA1188,13859,13886,13872.5,12727,12754,12740.5
SA0272,5164,3598,4381,5569,5673,5621
SAP025,0,0,0,0,0,0
SA0793,20462,19883,20172.5,28251,29515,28883
SA0803,5193,5032,5112.5,3513,3546,3529.5
SA1573,8685,7658,8171.5,6159,6410,6284.5
SA0379,251,206,228.5,185,210,197.5
SA1854,3495,3702,3598.5,2862,3034,2948
SA2161,518,542,530,411,439,425
SAtRNA53,779,569,674,1010,1132,1071
SA2338,68,92,80,33,25,29
SA0616,2007,2077,2042,2713,2787,2750
SA_RS14325,1265,1224,1244.5,606,633,619.5
SA0284,904,885,894.5,735,752,743.5
SA1266,340,304,322,92,100,96
SA1500,4634,4453,4543.5,4971,5218,5094.5
SA1271,26702,26073,26387.5,54457,55591,55024
SA_RS09655,794,671,732.5,373,453,413
SA2427,4387,4587,4487,4180,4471,4325.5
SA0630,373,380,376.5,293,287,290
SA1556,647,658,652.5,579,668,623.5
SA1126,4442,4002,4222,4465,4498,4481.5
SA0923,1529,1677,1603,2620,2619,2619.5
SA0814,912,857,884.5,389,441,415
SA0892,1007,884,945.5,537,547,542
SA1515,6323,6556,6439.5,5076,5141,5108.5
SA1108,9043,9219,9131,6931,7052,6991.5
SA2254,96,129,112.5,113,126,119.5
SA1494,25536,27206,26371,15491,16316,15903.5
SA2069,1461,1336,1398.5,1218,1423,1320.5
SA0721,6572,6891,6731.5,8115,8580,8347.5
SA0260,175,161,168,547,614,580.5
SA1344,8177,7297,7737,6844,7281,7062.5
SA1529,13005,12490,12747.5,8385,8211,8298
SA0912,339210,312513,325861.5,381174,397779,389476.5
SAtRNA44,777,775,776,622,615,618.5
SA0375,41702,44872,43287,45350,45887,45618.5
SAS027,7084,6607,6845.5,3676,3536,3606
SA0243,7908,8063,7985.5,7195,8000,7597.5
SA1338,1259,1068,1163.5,6225,6452,6338.5
SA0228,2260,2075,2167.5,2521,2530,2525.5
SA0277,531,453,492,814,739,776.5
SA0330,676,845,760.5,1178,1264,1221
SA0184,248,169,208.5,2255,2180,2217.5
SA1031,12210,12979,12594.5,12374,12595,12484.5
SA1730,10616,11463,11039.5,7612,7436,7524
SA1751,3506,2742,3124,4020,4108,4064
SA0538,2199,2239,2219,2838,2925,2881.5
SA0472,2002,2107,2054.5,2068,1936,2002
SA1671,10681,10694,10687.5,9458,10247,9852.5
SA0280,572,492,532,1108,1133,1120.5
SA2265,2380,2206,2293,1260,1230,1245
SAS074,1156,1077,1116.5,1402,1587,1494.5
SA0943-1,130334,148283,139308.5,107022,111103,109062.5
SA2279,2814,2686,2750,2531,2533,2532
SA0510,844,934,889,1290,1315,1302.5
SA0641,18604,17721,18162.5,22984,24279,23631.5
SA2420,127,118,122.5,88,88,88
SA0781,3692,3619,3655.5,5139,5348,5243.5
SA1033,4036,4466,4251,2987,3003,2995
SAS044,1963,1622,1792.5,1294,1519,1406.5
SA1368,2287,2357,2322,1359,1420,1389.5
SA1682,16076,16013,16044.5,8497,8843,8670
SA0029,0,0,0,0,0,0
SA1961,3069,3149,3109,4741,4823,4782
SA1359,22666,22186,22426,14147,15201,14674
SA0633,1552,1533,1542.5,1530,1604,1567
SA2452,1133,1308,1220.5,1059,1010,1034.5
SA2273,13391,12926,13158.5,11766,12351,12058.5
SA1172,779,692,735.5,1566,1497,1531.5
SAP023,0,0,0,0,0,0
SA2440,18031,18539,18285,11634,12389,12011.5
SA0438,13690,13301,13495.5,13379,13672,13525.5
SA1086,2502,2632,2567,2189,2244,2216.5
SA1488,27912,30197,29054.5,33848,34399,34123.5
SA2463,654,592,623,4353,4436,4394.5
SA0214,1128,743,935.5,6018,6454,6236
SA2127,6029,6088,6058.5,4134,4249,4191.5
SA0618,11368,11532,11450,9417,9849,9633
SA1044,3000,3165,3082.5,9169,8982,9075.5
SA1668,1887,1780,1833.5,1690,1837,1763.5
SA0393,3862,2782,3322,6533,6664,6598.5
SA2142,4609,4124,4366.5,7828,8015,7921.5
SA1298,7764,8637,8200.5,8075,8505,8290
SA2319,1169,1166,1167.5,1821,1710,1765.5
SA_RS07875,3280,3620,3450,2634,2801,2717.5
SA1548,5295,4659,4977,2887,3084,2985.5
SAtRNA19,4,4,4,1,0,0.5
SA0435,845,900,872.5,977,1003,990
SA0615,5510,5506,5508,4864,4804,4834
SA1251,5020,4708,4864,6391,6431,6411
SA0453,11076,11987,11531.5,9871,10001,9936
SA2365,458,471,464.5,518,467,492.5
SA1157,153,222,187.5,123,132,127.5
SA1716,15961,16160,16060.5,14672,14967,14819.5
SA2242,576,488,532,808,847,827.5
SA1813,1732,1369,1550.5,6131,6164,6147.5
SA2003,254,257,255.5,637,679,658
SA2042,55057,64337,59697,61771,60987,61379
SA2078,1931,2067,1999,1343,1426,1384.5
SA0863,5154,5767,5460.5,3950,3935,3942.5
SA0196,367,384,375.5,262,260,261
SA1657,6441,6789,6615,6011,6264,6137.5
SA0852,84,46,65,80,68,74
SA2453,632,571,601.5,357,326,341.5
SA0270,2283,1885,2084,1394,1447,1420.5
SA1860,136,112,124,394,333,363.5
SA0648,1397,1431,1414,1166,1238,1202
SA0705,316,338,327,435,419,427
SA1174,21268,22278,21773,17558,17119,17338.5
SA1182,15814,15142,15478,16438,16194,16316
SA1546,4022,4562,4292,4600,4758,4679
SA0609,5868,5488,5678,5804,6311,6057.5
SA_RS05715,2282,2305,2293.5,1339,1362,1350.5
SA1217,248,220,234,161,217,189
SA1505,20729,22920,21824.5,16425,17744,17084.5
SA2331,124529,123700,124114.5,73265,93431,83348
SA0576,53,43,48,53,55,54
SAS009,3640,3768,3704,4007,4988,4497.5
SA1584,11706,11314,11510,7648,7825,7736.5
SA0240,694,578,636,544,488,516
SA1073,24541,24291,24416,31762,31903,31832.5
SA1909,36269,34995,35632,54219,55888,55053.5
SA_RS06220,250,252,251,363,354,358.5
SA0678,4928,4315,4621.5,5242,5357,5299.5
SA0457,22251,23588,22919.5,25271,25598,25434.5
SA1280,18713,18430,18571.5,17770,17987,17878.5
SA1876,2665,2553,2609,3055,3060,3057.5
SA1519,11706,11215,11460.5,16384,16417,16400.5
SAtRNA04,123,94,108.5,136,140,138
SA1728,4976,4997,4986.5,6312,6515,6413.5
SA1689,2038,1952,1995,1424,1453,1438.5
SA0714,38236,40717,39476.5,36335,37294,36814.5
SA1376,7806,7827,7816.5,6734,6762,6748
SA1665,5832,5451,5641.5,3470,3396,3433
SA0600,8713,8069,8391,8981,9743,9362
SA1749,11990,12340,12165,11038,11117,11077.5
SA0802,35720,37572,36646,32850,33959,33404.5
SA1539,45656,41667,43661.5,40739,41006,40872.5
SA1435,1096,1073,1084.5,1106,964,1035
SA1670,383,316,349.5,193,230,211.5
SA0594,6364,5522,5943,4504,4647,4575.5
SA1056,1487,1322,1404.5,1272,1181,1226.5
SA1152,434,397,415.5,117,139,128
SA2363,325,310,317.5,342,298,320
SA2334,6649,6077,6363,12748,13512,13130
SA0350,2015,1795,1905,2421,2500,2460.5
SAS005,121,131,126,81,85,83
SA2125,1770,1669,1719.5,2051,2086,2068.5
SA1895,1089,989,1039,721,746,733.5
SA1746,4456,4635,4545.5,2994,2867,2930.5
SA0494,14179,14461,14320,13222,13435,13328.5
SA2094,1140,1079,1109.5,2283,2512,2397.5
SA2063,36870,39113,37991.5,25602,26901,26251.5
SA0329,1056,1088,1072,874,1079,976.5
SA1233,1521,1309,1415,333,326,329.5
SA0478,16615,16633,16624,12048,12530,12289
SA0898,16122,16814,16468,15010,16098,15554
SA1029,86717,95663,91190,81666,83827,82746.5
SA1228,2843,3814,3328.5,6292,5887,6089.5
SA1316,2943,2824,2883.5,2134,2061,2097.5
SA1628,81,58,69.5,143,125,134
SA1437,515,509,512,427,381,404
SA0824,1982,1755,1868.5,1985,2054,2019.5
SA1406,5577,5666,5621.5,7008,6692,6850
SA0976,194,186,190,282,347,314.5
SA_RS08685,24,16,20,37,23,30
SA_RS13825,21,15,18,8,11,9.5
SA0217,1089,899,994,1217,1305,1261
SA0712,1023,968,995.5,563,562,562.5
SA0932,5079,5557,5318,4321,4337,4329
SA0819,10636,11336,10986,14976,15634,15305
SA2480,1245,1183,1214,1094,1098,1096
SA1767,976,738,857,1616,1728,1672
SA1474,4475,4084,4279.5,4919,5032,4975.5
SA0815,5859,5752,5805.5,6605,6967,6786
SA0969,1572,1459,1515.5,1920,1870,1895
SA1260,1674,1820,1747,2311,2187,2249
SAP005,3020,3313,3166.5,1582,1715,1648.5
SA0700,819,832,825.5,586,665,625.5
SAS067,12262,12602,12432,7197,7732,7464.5
SA2474,330,269,299.5,235,225,230
SA2349,593,575,584,644,723,683.5
SA2345,2305,2227,2266,1530,1629,1579.5
SA0567,1933,1779,1856,1783,1808,1795.5
SA2187,2665,2638,2651.5,7160,7481,7320.5
SA1853,1674,1465,1569.5,1895,1855,1875
SA1594,2369,2266,2317.5,1050,1142,1096
SA0502,49122,51252,50187,44662,42520,43591
SA0882,49,48,48.5,96,140,118
SA0971,410,391,400.5,357,417,387
SA1808,290,270,280,234,234,234
SA2441,15283,16117,15700,11388,11950,11669
SA2176,2415,1914,2164.5,10926,11288,11107
SA2134,596,673,634.5,469,477,473
SA0440,2360,2413,2386.5,2037,2098,2067.5
SA0621,3285,2983,3134,3029,2984,3006.5
SA0883,13682,15511,14596.5,26846,28421,27633.5
SA0206,48,42,45,1710,1738,1724
SA0579,569,498,533.5,713,763,738
SAS025,2815,2408,2611.5,1877,2158,2017.5
SA1123,2318,2270,2294,3092,3412,3252
SA1745,12286,11975,12130.5,8640,8789,8714.5
SA0914,14294,14229,14261.5,9365,9264,9314.5
SA1545,1034,1054,1044,1929,2009,1969
SA2059,1243,1261,1252,1492,1529,1510.5
SA1502,18765,21686,20225.5,12420,13538,12979
SA0454,22653,24192,23422.5,19456,19629,19542.5
SA1786,561,433,497,1327,1349,1338
SA2005,1513,1505,1509,1473,1417,1445
SA0964,7503,7151,7327,7075,7022,7048.5
SA2335,4194,4521,4357.5,3240,3360,3300
SA1836,41700,43993,42846.5,49836,50963,50399.5
SA1606,3482,3356,3419,3079,3274,3176.5
SAP017,3844,3638,3741,5459,5581,5520
SA1530,14892,16433,15662.5,9842,10113,9977.5
SA0656,8514,8102,8308,5737,6042,5889.5
SA2323,7601,6360,6980.5,8087,8349,8218
SA0650,2166,1977,2071.5,2536,2636,2586
SA0639,5109,4692,4900.5,6476,6558,6517
SA1074,19728,19627,19677.5,24551,24952,24751.5
SA1025,5754,5161,5457.5,5715,6235,5975
SAtRNA48,991,858,924.5,871,963,917
SA2031,63061,76323,69692,81634,81662,81648
SArRNA11,7,12,9.5,12,11,11.5
SA1042,1526,1630,1578,4682,4874,4778
SA0926,3441,3610,3525.5,3721,3648,3684.5
SA_RS09130,285,252,268.5,146,156,151
SA1282,30506,32381,31443.5,22270,23653,22961.5
SA1783,0,0,0,0,0,0
SA1257,11613,11734,11673.5,16471,16532,16501.5
SA1583,15019,14606,14812.5,7482,7900,7691
SA_RS09910,1415,1403,1409,1460,1554,1507
SA0949,2352,2036,2194,2242,2426,2334
SA0858,190,226,208,115,132,123.5
SA0778,52612,57341,54976.5,42706,44032,43369
SA0249,20178,20747,20462.5,11857,12152,12004.5
SA2185,4669,4407,4538,29164,29441,29302.5
SA0879,4123,3901,4012,3832,3827,3829.5
SA1286,8137,8053,8095,4821,4972,4896.5
SA0913,227052,207723,217387.5,186636,196643,191639.5
SA2111,1708,1933,1820.5,1849,1763,1806
SA1747,6213,6334,6273.5,5851,5742,5796.5
SA2070,7663,8154,7908.5,7227,7322,7274.5
SA0202,1462,1447,1454.5,1757,1916,1836.5
SA1469,4009,4652,4330.5,5260,5599,5429.5
SA0541,3582,3041,3311.5,6350,6826,6588
SA0192,91,87,89,89,86,87.5
SA1791,697,501,599,1672,1717,1694.5
SA0842,8959,9166,9062.5,16566,16188,16377
SA1296,20043,20822,20432.5,18142,18748,18445
SA0156,1172,1025,1098.5,1337,1384,1360.5
SA0555,889,927,908,818,820,819
SA1237,5710,5032,5371,6833,6713,6773
SA0691,1645,1481,1563,1985,2037,2011
SA0527,3383,3164,3273.5,3826,4078,3952
SA0511,1639,1588,1613.5,3206,2983,3094.5
SA2377,2255,2299,2277,953,1054,1003.5
SA0717,3198,3199,3198.5,4221,4084,4152.5
SA0288,310,256,283,384,436,410
SA_RS01305,49,61,55,28,42,35
SA0750,500,468,484,424,445,434.5
SA0570,29635,31105,30370,22816,24645,23730.5
SA1103,6799,6801,6800,6139,6339,6239
SA0477,20277,20999,20638,18615,18443,18529
SA0905,38700,36129,37414.5,43737,44956,44346.5
SA0984,1922,1936,1929,1919,2137,2028
SA1789,180,114,147,328,301,314.5
SA0082,776,766,771,2382,2590,2486
SA0479,8098,7448,7773,9076,9397,9236.5
SA0385,57,42,49.5,69,71,70
SA1790,464,341,402.5,1078,1083,1080.5
SAP031,7543,7882,7712.5,5033,5268,5150.5
SA2224,1922,2046,1984,2398,2499,2448.5
SA_RS09395,41,45,43,40,53,46.5
SA2189,1599,1477,1538,3494,3508,3501
SA0772,14357,12565,13461,7262,7655,7458.5
SA_RS14315,20,3,11.5,11,4,7.5
SA_RS12635,109,119,114,204,211,207.5
SA1944,1855,1664,1759.5,1305,1352,1328.5
SA0137,386,353,369.5,510,519,514.5
SA0489,3914,3636,3775,4916,4814,4865
SA1446,32337,36333,34335,25716,26445,26080.5
SA0400,356,389,372.5,305,277,291
SA1992,417,267,342,777,808,792.5
SA1302,7670,7881,7775.5,5809,6157,5983
SA1409,192653,186772,189712.5,198559,204910,201734.5
SA_RS13785,6,4,5,4,8,6
SA1150,37272,36781,37026.5,60440,61703,61071.5
SA1191,4476,3896,4186,2126,2146,2136
SA0755,621,649,635,705,790,747.5
SA0673,8155,8189,8172,8140,8133,8136.5
SA1824,0,0,0,0,0,0
SA2326,3298,2723,3010.5,43852,43651,43751.5
SA1896,714,739,726.5,653,761,707
SA0372,3924,3629,3776.5,4299,4498,4398.5
SA2437,12984,12780,12882,21298,21376,21337
SA2234,5417,4846,5131.5,5036,5293,5164.5
SA_RS07230,8,8,8,20,12,16
SA0316,1069,1127,1098,1173,1305,1239
SA1198,4289,4451,4370,5838,6038,5938
SA1661,47779,48044,47911.5,46167,46269,46218
SA1890,1470,1425,1447.5,813,841,827
SAS079,44571,54024,49297.5,46557,46178,46367.5
SA0467,3866,3586,3726,4368,4309,4338.5
SA0982,182,143,162.5,133,106,119.5
SA1229,1762,2497,2129.5,3814,3647,3730.5
SA1862,609,525,567,1189,1223,1206
SA0723,13683,12846,13264.5,12337,12796,12566.5
SAS040,614,566,590,477,580,528.5
SA0666,4655,5127,4891,3543,3572,3557.5
SA0136,438,372,405,489,523,506
SA_RS01170,728,631,679.5,240,243,241.5
SAtRNA46,1199,1247,1223,920,867,893.5
SA1996,113,77,95,220,250,235
SA0359,11952,10797,11374.5,7101,7314,7207.5
SA1263,6977,7445,7211,5443,5381,5412
SA2086,56210,48090,52150,27717,28859,28288
SA0056,0,0,0,0,0,0
SA0121,435,334,384.5,322,307,314.5
SA0094,0,0,0,0,0,0
SA_RS10075,40,42,41,74,64,69
SA1293,36991,34714,35852.5,34916,35505,35210.5
SA2077,1641,1872,1756.5,1136,1206,1171
SA1124,6273,6674,6473.5,8272,8271,8271.5
SA1373,73,102,87.5,84,71,77.5
SA2325,1531,1459,1495,1283,1461,1372
SA1136,4307,4019,4163,3312,3362,3337
SA0715,6486,6142,6314,8172,8390,8281
SA0605,981,933,957,2084,2353,2218.5
SA0376,43648,47653,45650.5,42904,44867,43885.5
SA_RS00550,167,157,162,260,264,262
SA1101,10355,10165,10260,10817,11036,10926.5
SA2226,199,150,174.5,929,977,953
SA_RS12715,4,0,2,2,8,5
SA1597,1244,1055,1149.5,916,885,900.5
SA2060,503,606,554.5,555,519,537
SAtRNA03,496,527,511.5,305,367,336
SA1205,346,382,364,399,449,424
SA2386,0,0,0,0,0,0
SA1892,1217,1226,1221.5,1812,1944,1878
SA_RS09035,3,2,2.5,6,2,4
SA2477,179,204,191.5,702,731,716.5
SA2368,663,591,627,666,714,690
SA_RS06540,1827,1769,1798,314,287,300.5
SA1132,16344,18227,17285.5,8241,8347,8294
SA0773,588,605,596.5,1029,1080,1054.5
SA1220,43,50,46.5,69,62,65.5
SA0895,8302,8701,8501.5,6581,6827,6704
SA1106,15755,13384,14569.5,20835,22259,21547
SA0934,27703,29566,28634.5,23812,25489,24650.5
SA1311,9653,9642,9647.5,7661,7957,7809
SA0989,2072,1664,1868,1262,1241,1251.5
SA1947,3630,3266,3448,3904,3991,3947.5
SA1143,3181,3046,3113.5,2299,2246,2272.5
SA_RS08310,2066,2060,2063,1859,1732,1795.5
SA2203,1339,1332,1335.5,3184,3336,3260
SA1464,6112,5919,6015.5,3318,3599,3458.5
SA1827,0,0,0,0,0,0
SA1957,4066,4120,4093,3450,3650,3550
SA_RS11590,0,2,1,2,0,1
SA0039,0,0,0,0,0,0
SA0025,0,0,0,0,0,0
SA1506,371245,458249,414747,211140,217265,214202.5
SA1404,13366,13776,13571,8846,10298,9572
SA2008,105166,129833,117499.5,58485,61705,60095
SA2416,951,950,950.5,907,1009,958
SA1294,4584,4249,4416.5,5258,5423,5340.5
SA0357,344,288,316,461,416,438.5
SA1490,3943,3674,3808.5,4538,4724,4631
SAS057,350,320,335,190,210,200
SA0304,134,185,159.5,785,774,779.5
SA1068,7189,7244,7216.5,6519,6557,6538
SA2256,61,78,69.5,85,86,85.5
SA2154,361,277,319,340,360,350
SAtRNA29,578,477,527.5,571,559,565
SA_RS00320,0,0,0,0,0,0
SA0990,5634,5687,5660.5,5959,6071,6015
SA2178,602,514,558,414,446,430
SA1595,169,156,162.5,189,227,208
SA1250,2147,1953,2050,2964,3243,3103.5
SAS010,8319,7055,7687,2545,2586,2565.5
SA1305,69763,67814,68788.5,77117,80357,78737
SA0191,173,148,160.5,141,149,145
SA0233,6632,6500,6566,6210,6490,6350
SA_RS12030,263,358,310.5,657,711,684
SA2300,937,773,855,8486,8773,8629.5
SA1093,14090,14223,14156.5,18307,18654,18480.5
SA0682,16991,14880,15935.5,25056,26212,25634
SA2342,542,541,541.5,744,694,719
SA1919,9204,9483,9343.5,8817,8950,8883.5
SA0178,179,225,202,215,219,217
SA2247,15483,14034,14758.5,6670,6491,6580.5
SA0683,5344,4815,5079.5,3500,3672,3586
SA_RS11585,149,179,164,154,186,170
SA0358,67,71,69,132,109,120.5
SA0246,23828,25337,24582.5,21809,22290,22049.5
SA0016,3025,2882,2953.5,3739,3964,3851.5
SAS084,599,596,597.5,597,652,624.5
SA0628,7142,7273,7207.5,4823,5276,5049.5
SA_RS06500,116,159,137.5,63,98,80.5
SA0009,23114,23307,23210.5,53050,53870,53460
SA0767,0,0,0,0,0,0
SA0271,8447,7103,7775,9515,10249,9882
SArRNA16,386,269,327.5,796,477,636.5
SA1297,15761,16600,16180.5,15485,16299,15892
SA1778,318,248,283,657,578,617.5
SA0556,801,792,796.5,564,654,609
SA0409,644,620,632,680,720,700
SA1171,4100,3702,3901,2085,2194,2139.5
SA1697,8842,8334,8588,7835,7656,7745.5
SA0500,151428,167925,159676.5,183939,185514,184726.5
SA1016,408,336,372,894,1075,984.5
SA2197,3369,3029,3199,2957,3161,3059
SA2047,82539,93069,87804,92801,92488,92644.5
SA1660,17356,16711,17033.5,17345,17237,17291
SA_RS13925,7,1,4,1,4,2.5
SA1053,3802,3936,3869,3131,3609,3370
SA0634,780,760,770,668,718,693
SA2394,4950,5120,5035,3700,3775,3737.5
SAtRNA62,196,156,176,321,292,306.5
SA0318,310,302,306,586,651,618.5
SA1227,3166,4124,3645,7605,7415,7510
SA1163,2331,2912,2621.5,1957,2126,2041.5
SA_RS07750,63,67,65,40,57,48.5
SA2419,3001,3042,3021.5,1587,1661,1624
SA2417,9989,10859,10424,7387,7644,7515.5
SA0622,2047,2050,2048.5,1389,1397,1393
SA0361,949,975,962,741,857,799
SA0114,134,134,134,260,226,243
SA0704,6085,6034,6059.5,6826,7003,6914.5
