GeneName,dCshA_t000_v1,dCshA_t150_v1,dCshA_t300_v1,dCshA_t600_v1,PR01_t000_v1,PR01_t150_v1,PR01_t300_v1,PR01_t600_v1,CTA_t000_v1,CTA_t150_v1,CTA_t300_v1,CTA_t600_v1,CTA_t000_v2,CTA_t150_v2,CTA_t300_v2,CTA_t600_v2,dCshA_t000_v2,dCshA_t150_v2,dCshA_t600_v2,dCshA_t300_v2,PR01_t000_v2,PR01_t150_v2,PR01_t300_v2,PR01_t600_v2
acpS,6537,9456,8040,6250,3460,4207,2136,1036,17761,23743,18748,17488,3236,3884,3611,3945,3967,6430,6914,6253,2881,3665,2582,1441
SA1876,6659,6967,7751,4626,2858,3131,1305,675,15285,21829,17008,13138,3061,3448,3126,3742,3987,5920,6086,5724,2616,2656,2246,1252
SA1877,14132,14196,14946,11140,5409,4791,2341,1763,35892,46809,36219,31163,7048,6805,6764,7610,9971,13399,15879,13290,6832,5357,4516,2827
SA1878,2141,1310,2050,1091,623,398,171,180,4615,6805,5315,2815,1407,1244,1121,1220,1764,2242,2329,2297,1159,521,655,415
kdpC,43936,70803,69541,76525,18429,15594,9847,7128,93410,146874,131785,170393,13377,20067,22758,30663,23905,44619,62681,50640,17353,13160,9280,6091
kdpB,159648,212585,218709,219108,55830,28745,17920,15399,318063,469035,401399,497781,51577,69166,77777,102798,87757,148925,200711,166157,58682,30717,23439,17679
kdpA,77767,74238,95113,69404,20095,7684,4698,4475,171056,254502,205648,161846,27324,35246,39202,45763,46301,80057,96629,88071,30773,9628,9431,7975
kdpD,70046,31499,31295,13930,22118,672,260,290,171169,93566,53791,18716,24137,13537,9341,5204,48772,35412,19703,27402,30196,1504,789,877
kdpE,18665,10768,10593,4350,7215,1103,240,150,46419,33190,19064,5990,5953,4551,3033,1713,12990,11179,5775,8193,9748,1501,535,315
tnp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA1885,11,6,13,8,53318,2475,1554,3165,83939,23720,10638,4224,65205,36982,22704,10698,20,12,10,48,48360,2001,578,580
murF,10107,5276,3703,2212,9660,2496,974,491,23601,9995,5282,3443,7565,4546,2834,1781,6685,4580,2407,3125,7575,1664,824,391
ddl,8532,2634,1701,701,8198,1426,631,311,22033,5519,2586,1067,8000,3066,1802,970,6256,2771,982,1703,7266,967,538,364
SA1888,5627,580,317,127,3907,127,60,32,15482,1136,488,174,3393,497,234,110,3134,491,128,220,3905,155,67,51
SAS068,2987,767,1535,388,1430,304,111,102,2936,3202,2032,326,1620,991,870,532,1888,1592,849,1381,1843,223,488,377
SA1889,419,33,34,10,409,25,15,19,1552,154,90,33,716,127,75,47,472,78,28,60,415,12,16,23
