GeneName,dCshA_t000_v1,dCshA_t150_v1,dCshA_t300_v1,dCshA_t600_v1,PR01_t000_v1,PR01_t150_v1,PR01_t300_v1,PR01_t600_v1,CTA_t000_v1,CTA_t150_v1,CTA_t300_v1,CTA_t600_v1,CTA_t000_v2,CTA_t150_v2,CTA_t300_v2,CTA_t600_v2,dCshA_t000_v2,dCshA_t150_v2,dCshA_t600_v2,dCshA_t300_v2,PR01_t000_v2,PR01_t150_v2,PR01_t300_v2,PR01_t600_v2
SA1360,11111,8976,8313,4102,6029,2421,818,350,20373,22499,14619,8407,9314,9411,7265,5209,7115,9375,4286,7425,5473,2279,1182,414
SA1361,1413,37,22,3,537,4,2,10,1780,377,74,5,1367,294,100,16,1060,233,13,69,944,11,15,27
SA1362,311,5,8,0,124,2,3,1,161,77,18,2,256,50,17,2,194,50,3,15,202,1,6,3
SA1363,4691,1666,1307,1099,4382,1979,1385,692,10085,3303,2018,1653,3659,1227,828,739,3403,1676,1056,1245,3544,681,435,251
SA1364,11034,10441,6077,1320,9916,9660,5093,679,24041,16504,7714,1599,6261,5972,4499,1176,5453,6434,1118,4400,7131,5160,2411,404
SA1365,67049,88955,92989,79960,56096,71633,57668,29741,123380,159100,139126,119388,33608,45984,50020,58434,33698,67069,61011,62963,16189,10794,8683,4465
SA1366,62398,66691,77506,55296,46786,51291,34480,15586,103070,128304,109107,78017,29368,37147,40134,43926,28866,51261,46296,50378,12149,6464,5998,3184
gcvT,38206,37221,45056,32398,24891,26598,16092,7465,72052,83349,70799,52111,19818,23198,25597,28361,19535,32137,31868,33750,6696,3679,3354,1862
SA1368,3632,832,2728,378,590,125,34,26,4660,4499,3951,449,2145,1597,1021,544,2302,2420,845,2031,820,28,65,42
SA1369,52,6,4,2,17,1,1,0,55,32,16,2,48,10,10,3,51,16,2,15,26,0,2,2
SA1370,56,6,3,0,25,2,1,0,56,21,16,2,36,7,8,2,43,14,0,10,25,1,1,1
SA1371,11,1,1,1,10,1,0,0,45,8,9,2,19,6,1,2,16,6,4,5,22,1,2,2
SA1372,29,3,5,1,13,1,1,0,66,13,10,3,31,9,3,0,24,11,3,4,15,3,1,1
SA1373,52,5,3,2,29,5,0,1,119,24,17,21,57,16,3,5,50,8,6,4,54,2,3,4
SA1374,138,13,8,6,142,6,6,4,355,52,36,25,150,32,12,18,128,16,7,15,162,9,5,6
SA1375,11598,7164,6589,1390,6189,1673,318,199,26165,18135,9020,2501,7435,7429,4797,1932,7030,8316,2551,5442,6216,2385,693,241
SA1376,4035,2333,2036,505,2240,394,112,59,8639,6436,3188,1088,3392,3210,2049,792,2819,3384,1012,2185,2495,676,196,91
glcK,12668,8039,7571,2558,7864,741,253,201,22950,17722,9572,4680,12816,10642,6640,2923,9623,9870,3399,7035,7400,1241,375,187
SA1378,1639,368,718,60,564,14,4,1,1560,2563,1326,149,2288,1525,883,299,1684,1453,279,1088,954,45,49,17
SA1379,5073,1780,1912,387,2411,64,26,32,9139,6048,3623,1048,5323,3076,2293,929,4455,3266,972,2607,3571,179,95,87
SA1380,1488,48,22,15,960,14,2,7,3006,153,55,21,1420,158,88,47,1287,117,24,49,1139,24,13,30
rpmG,10436,6672,5483,2450,18041,10555,7798,5763,38264,20015,15129,8264,10083,7938,7255,6331,8888,10179,6334,7867,18890,12276,11857,11151
pbp3,19033,2310,650,222,13927,585,250,229,41257,4500,957,453,12796,2559,590,263,11567,2296,252,594,13300,857,225,235
sodA,40754,48166,49931,40086,27756,31528,30462,33430,97946,121608,117084,115504,16863,21188,23331,27496,14046,23290,25823,23909,14918,10354,9080,7334
SA1383,578,87,87,11,277,65,12,17,1203,650,237,12,616,247,86,23,608,281,40,98,586,69,38,17
SA1384,929,174,152,35,617,146,33,37,2034,795,271,50,1121,374,124,35,990,377,75,140,1067,130,86,35
SA1385,615,88,38,12,438,64,27,24,1523,375,88,26,757,218,70,22,654,211,22,73,834,78,39,17
SA1386,5955,1869,976,336,5828,1158,296,247,13687,4339,1560,416,7040,3567,1833,684,5984,3258,590,1469,5540,770,355,226
SA1387,9704,1674,846,259,8480,829,248,189,24056,3977,1284,380,10569,3428,1576,676,8751,3143,600,1386,8348,623,285,195
SA1388,2554,889,409,64,2169,457,87,75,7300,2547,727,143,3055,2122,906,229,2542,2074,260,878,2618,573,156,78
SA1389,1344,346,173,32,1330,287,51,43,2796,1081,241,39,1900,875,384,82,1495,825,85,362,1306,183,75,43
sigA,17662,6893,4140,1596,17387,3608,1590,993,46158,13470,5716,2511,16851,8510,5128,2695,15400,9280,3289,5575,15204,2638,983,533
dnaG,13683,2440,1393,564,9507,380,242,450,32805,7416,2593,942,16153,5202,2648,1066,12903,4322,1018,2357,9709,331,198,184
SA1392,3993,1061,632,225,2553,142,40,44,9678,2252,947,339,3054,1081,589,298,2779,1212,360,718,2785,267,87,86
SA1393,2424,417,264,100,1166,48,28,13,4895,917,353,132,1686,492,256,162,1512,561,185,304,1441,70,32,54
glyS,35369,27037,17537,5398,40478,22779,7918,3978,83647,62489,30825,13825,23369,23128,15052,6997,20604,25216,7999,15975,28979,16091,7431,6084
SA1395,3342,1885,922,264,3266,1312,336,134,7731,4194,1586,501,3071,2190,962,377,2112,1808,245,734,2649,896,366,124
era,5924,2340,1344,341,5325,1583,410,146,14597,6808,2673,800,5427,3120,1378,523,3727,2722,452,1204,4841,1239,531,231
cdd,2694,871,501,137,2300,492,145,60,6719,2735,1006,379,2031,951,442,174,1632,939,159,405,2091,388,131,97
SA1398,821,144,120,22,554,75,26,4,2071,782,305,64,752,302,123,46,675,263,55,143,813,75,36,37
SA1399,3548,580,385,102,2878,333,78,38,9530,2070,866,250,2632,674,361,168,2164,622,120,328,2459,240,122,92
phoH,6091,814,388,187,5243,473,221,125,14258,1989,782,432,4453,747,340,223,3451,554,150,256,3662,266,120,109
SA1401,25006,27995,32293,32255,18166,24746,22904,25799,47378,68321,61229,77287,28912,37457,44128,64972,18205,29728,38105,31484,23493,21763,22698,24373
SA1402,26176,37808,38442,51323,19008,25829,29084,30033,52792,67414,65843,117005,26392,37152,45396,68585,17621,30864,50104,35427,22192,21113,19473,19740
SA1403,12818,13299,20239,18915,5848,9882,8500,9793,22075,35042,33891,38724,13326,16867,22789,34748,9759,15654,28582,20649,9880,7996,10576,11975
rpsU,17152,5698,4139,1746,17951,7692,4295,2807,49253,10687,11554,5201,5143,3090,2366,1598,4045,2906,1431,2254,6246,3141,2361,1547
SA1405,18521,11808,8684,3747,12419,3285,1515,834,46707,22995,12708,5141,16421,13022,9716,5419,14790,15545,6242,11452,11367,2535,1446,659
SA1406,4412,2339,1857,695,3057,1134,523,338,11220,5252,2727,1070,4615,2956,1991,1169,3671,3000,984,2061,2531,827,520,242
prmA,5013,3371,2027,608,6768,4605,1965,828,17712,13336,6010,1933,5561,4898,3150,1578,3901,4259,1075,2437,5405,3443,1740,698
dnaJ,4544,2355,1290,420,6418,2591,970,445,13431,8948,3715,1476,6664,4677,2722,1441,3938,3530,724,1760,4533,2006,1070,567
dnaK,35482,20979,10268,5033,54648,19040,6953,3746,105872,65265,25050,14044,30999,23889,12531,6315,23490,22112,6287,10862,38259,14970,5795,2882
grpE,6602,1528,924,137,7451,1383,261,150,24404,9176,3010,567,5396,2809,1373,516,4333,2775,529,1259,7362,1502,756,323
hrcA,4287,847,535,99,4647,774,169,141,12569,5464,1708,338,3886,1782,818,322,3181,1621,336,854,4723,894,525,253
hemN,861,281,145,74,985,148,37,27,2669,853,311,138,1272,608,295,154,961,556,184,262,861,163,41,38
SAS048,5,3,3,3,6,3,4,1,12,4,4,12,2,1,3,1,2,2,5,2,2,1,1,0
lepA,16980,3410,2213,1052,15840,797,279,202,44139,7628,3866,2943,14270,4005,1934,1371,12702,4105,1766,2309,12432,917,489,356
rpsT,14518,7128,7779,1820,20225,9776,4095,2307,41216,27453,17855,4377,16391,15594,12101,6917,14866,18229,5987,12625,23824,11530,10450,5412
holA,729,44,53,5,407,8,4,25,1521,348,72,14,1106,271,125,21,961,311,51,161,860,17,18,14
SA1416,411,107,105,26,169,39,20,10,659,429,235,53,338,160,111,61,311,164,69,116,288,38,32,13
comEB,3705,3374,2857,1147,1588,818,308,103,9700,8053,4692,1999,2356,2280,1930,1144,1955,2202,1349,1685,1387,587,289,113
SA1418,389,186,142,26,236,155,33,15,974,778,273,68,308,367,190,90,316,345,106,219,290,143,62,10
SA1419,4023,1705,1448,269,2759,1314,254,109,10607,7840,2897,427,3657,3622,2239,718,3398,4372,981,2526,4240,1260,624,197
SA1420,4851,2694,1665,475,4719,2142,639,227,11235,7130,2725,842,4292,3739,2081,946,3689,4200,928,2258,3698,1471,567,170
SA1421,5295,4427,2328,979,6277,3133,982,339,13858,9484,3912,1568,5038,4926,2900,1409,4703,5679,1608,3259,4913,2305,769,256
SA1422,6802,4423,2816,871,7270,3055,671,238,14026,10386,4209,1544,6482,5703,3206,1541,5845,6278,1697,3590,5229,1869,739,234
SA1423,1069,407,333,79,808,225,39,23,2399,1777,708,133,1103,848,515,200,1045,1044,300,544,1059,215,96,29
aroE,3778,1839,1191,337,3277,998,199,87,9237,5618,2210,670,4001,2906,1617,783,3641,3435,988,2011,3156,805,269,149
SA1425,6142,2522,1447,512,6298,1261,297,153,17075,6517,2472,861,6123,3670,2026,957,5424,4393,1270,2491,5730,1124,361,198
SA1426,3465,888,513,144,2798,387,65,50,9319,2462,902,261,3609,1571,802,373,3254,1864,517,1083,2750,300,135,95
pfs,3130,785,414,148,2673,192,47,31,9235,1677,658,219,3143,1143,537,277,2868,1408,469,761,2474,167,67,72
SA1428,7,1,2,1,4,1,0,0,9,21,7,3,14,5,3,2,15,10,2,2,5,0,0,0
SA1429,18,2,7,1,9,0,0,0,32,49,13,0,51,29,15,12,14,21,3,8,24,0,4,0
SA1430,62,14,16,3,24,1,1,2,110,53,27,8,58,44,26,22,45,49,7,28,32,5,2,3
SA1431,320,7,26,2,172,12,7,4,702,62,35,18,388,19,29,13,303,43,24,41,317,2,5,11
SA1432,2989,3124,2987,1102,2299,2842,1143,456,1317,1834,1368,524,234,303,277,237,2561,5116,2719,4292,243,209,194,74
SA1433,2816,2887,1816,845,2397,2208,1048,360,1126,1307,778,454,210,229,196,145,2070,3403,1502,2645,208,174,77,44
SA1434,4547,3377,2122,895,4206,2166,899,318,1730,1640,979,604,308,327,275,222,3551,4471,1884,3070,335,203,74,48
SA1435,1297,504,409,81,822,290,75,6,433,378,220,79,86,89,46,29,1127,968,246,598,88,21,8,9
SA1436,3457,1224,756,206,2663,562,136,36,1302,950,521,174,171,138,104,54,2667,2024,547,1225,211,43,21,16
SA1437,2313,712,427,121,1875,266,67,33,845,594,305,94,126,86,53,20,1812,1188,323,754,163,33,9,7
greA,11809,7877,6743,2007,9418,4582,1590,573,32826,19368,10926,3270,8635,8527,6284,3343,8239,10798,4416,7807,11020,5067,2778,1135
udk,10622,6657,5129,1914,9255,2918,1267,564,23885,13635,6764,2824,9855,7281,4431,2501,8305,8011,2938,5337,8826,2765,1568,716
SA1440,10994,4860,2737,1376,10210,1255,537,406,29107,8628,3689,2227,12194,6066,3409,1917,10428,6678,2350,3767,10113,1658,689,459
SA1441,5663,1050,624,181,4654,160,63,68,16842,1868,734,292,6073,1616,746,353,5123,1652,497,895,4227,211,103,127
SA1442,2122,97,84,9,1013,21,9,6,4313,438,96,11,2207,316,121,30,2084,412,59,182,1608,24,45,34
SA1443,9815,4608,3924,2235,8575,3312,2000,1027,21293,10730,6646,4474,5562,3238,2508,1708,5415,3789,1688,2690,7559,2543,1160,443
SA1444,9967,4234,4229,2237,7340,2260,922,504,20891,9488,6333,3481,6950,3506,2733,2101,5992,3721,1659,2506,6185,1719,1007,509
SA1445,6876,2048,2700,1056,4228,1073,380,187,15623,6517,4101,1686,3529,1982,1611,1155,3121,2101,1081,1694,3723,905,504,276
alaS,14298,9291,5403,3110,18902,5215,1792,982,33122,16327,7481,4760,13323,8633,5060,2799,10125,8513,2640,4846,15589,4936,1628,805
SA1447,11598,5629,4906,2681,7824,1654,415,147,23196,11694,6809,4042,8975,5108,3783,2728,8441,6031,4264,4539,6820,1550,654,295
SA1448,2538,592,713,259,1501,161,39,8,4890,1800,1112,402,1998,931,672,397,1928,1090,654,710,1511,173,83,25
mnmA,8598,3519,2428,1609,8364,919,501,381,21514,6797,3731,2836,7222,3660,2280,1703,6165,3858,2264,2722,6739,894,356,233
SA1450,9258,2298,1853,1304,8090,316,160,246,19495,4071,2455,1912,7614,2531,1583,1261,6299,2625,1783,1894,5528,231,139,152
SA1451,1860,1558,1092,722,1703,1391,1207,968,2825,1677,1083,774,1082,874,681,456,596,634,320,533,926,537,467,320
SAS049,5238,1981,3144,885,2901,2062,1191,1098,7756,17987,10841,1993,3278,2783,2750,1488,3003,3481,1214,2926,5393,1704,3533,2371
csbD,6452,4120,4185,1344,4824,3402,1995,1120,17129,13625,9483,2927,2877,2517,2142,1479,2438,2954,1494,2316,4875,2424,2666,1562
SA1453,8714,2577,1138,296,7052,1591,572,200,16441,3653,1261,431,4819,1853,908,374,4755,1777,352,918,6270,838,266,176
SA1454,8730,2943,1435,564,7450,1757,990,342,18704,3826,1356,630,4841,1612,769,336,5086,1938,355,926,5046,862,459,216
SA1455,3864,1477,1010,282,4392,1115,353,162,10027,4660,2155,769,3755,2832,1680,860,3105,2470,633,1566,4037,1164,622,296
SAS050,119394,176439,418102,200600,34979,183031,431198,590685,25690,40518,154834,270078,7408,10717,11042,22497,4879,13551,12207,19983,6513,11086,16482,31596
aspS,14637,10605,6214,3932,15945,3972,1108,593,30740,17790,8582,6304,27446,20920,10824,7305,17315,16382,6934,8824,28187,8261,2170,1211
hisS,5138,1244,1046,596,5041,298,127,119,10894,2807,1680,1029,11863,3839,2018,1557,7322,2956,1470,1813,8727,807,367,274
lytH,10830,2674,1511,787,8758,612,312,193,26518,4968,2213,1481,6984,2199,1237,814,6746,2268,946,1398,7150,804,309,212
SA1459,6907,1342,1052,478,4706,378,126,105,17147,3160,1573,790,4182,1289,846,571,4092,1431,802,958,4716,436,228,179
relA,22503,3361,2612,1627,16985,701,382,309,49083,6278,3434,2577,14640,2776,1956,1494,14166,3157,2123,2366,16039,766,459,482
apt,5158,1244,516,231,5172,268,114,85,11128,2135,774,369,5166,1917,891,336,4374,1993,486,839,5294,432,155,143
SA1462,6475,883,698,289,6086,202,90,55,15718,2521,1124,759,6761,1999,1045,542,6334,2246,753,1243,10142,319,214,170
secF,26699,12575,11096,3012,17981,5802,1234,417,66462,39771,18474,5151,21644,16883,12135,6013,20330,18829,6681,13163,23527,6374,3041,905
SA1464,6808,2598,2449,591,5009,2371,739,419,17294,9229,4772,912,4819,4845,3789,2391,4051,4720,1736,3441,5879,2379,1526,668
tgt,8553,5952,3854,1467,8918,5947,2631,1310,18751,13613,6049,2512,12911,13743,10176,7504,9226,10596,4233,7296,10444,5769,3398,1625
queA,4548,2634,1673,711,4520,2675,1362,911,11700,7386,3358,1589,6904,5976,3840,2465,5323,5137,1900,3382,5881,2689,1845,982
ruvB,6510,3186,2038,1075,6483,2796,1744,1351,14773,7373,3837,2323,8943,6605,4434,2963,6698,5457,2225,3752,6459,2961,1907,1075
ruvA,3052,809,717,243,2506,685,289,194,8126,3500,1723,537,3782,2586,1869,1151,3180,2581,970,1852,3543,1013,773,484
SA1469,2556,942,999,452,2239,653,386,243,6857,3308,2094,1051,2816,1978,1712,1209,2319,2223,1378,1735,3081,1008,715,536
obgE,8798,2993,2230,1261,9797,2206,1512,1153,24846,8184,4812,3374,11250,6766,5177,3368,8525,6548,3041,4872,9918,3289,2138,1200
rpmA,30198,27971,21746,16055,45830,28016,26442,21512,73612,52745,37251,35893,52107,52480,42549,33644,39984,52656,28050,42858,52630,32526,25620,18636
SA1472,23747,19707,14513,9649,28833,17420,16485,12911,72166,41842,29103,24126,32654,31496,26122,18724,27431,33772,18708,27962,37993,22667,15480,10681
rplU,56029,37755,31225,18117,71342,36032,26779,22042,132217,87592,58787,46801,94250,80298,59857,43637,73504,79595,33189,61901,76781,42196,33722,22695
SA1474,1460,444,266,74,684,56,16,26,3111,1471,477,134,1649,907,434,134,1546,1201,300,692,1004,81,31,25
SA1475,5744,1308,909,208,2360,114,34,49,12237,3926,1151,291,5407,2476,1134,415,5077,3322,695,1896,2961,158,80,78
SA1476,702,42,41,7,268,11,7,7,746,137,37,8,542,112,51,22,599,132,34,81,450,14,18,24
SA1477,31,5,5,0,21,3,1,4,42,9,5,2,133,47,7,6,112,44,10,28,54,6,3,4
SA1478,1873,1331,1145,555,1543,783,562,468,5979,2483,1493,805,1357,918,756,565,1274,1155,785,979,1416,549,454,440
SA1479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ermA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ant(9),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tnpC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tnpB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tnpA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
radC,16,13,15,3,16,11,8,8,73,33,40,25,29,19,19,14,28,19,5,9,20,7,8,11
SA1486,22,6,1,1,22,4,2,0,77,13,8,8,12,3,3,4,19,1,1,1,31,1,3,3
folC,10353,5074,3415,1609,11321,2702,841,429,27341,12178,5935,3329,9628,5917,3251,2134,7953,6167,2845,3685,12167,3244,1273,638
valS,20246,6671,4580,2528,25738,2630,969,747,51363,14201,7427,5163,21928,8410,4613,3207,16369,8014,4013,4950,25106,3569,1320,769
tag,2480,295,215,92,1804,178,81,52,5640,583,296,147,1392,209,140,110,1348,279,115,137,1525,61,59,57
SA1490,1259,865,1031,730,589,208,78,68,2866,3953,3340,2896,1399,1668,1704,1622,1647,2300,3030,2778,1026,420,273,83
hemL,11813,13005,9381,4945,11050,8833,3153,1218,24535,27433,14509,9635,11806,16830,11685,7592,9808,16461,6591,11680,16308,12734,4465,1614
hemB,5069,4902,2986,1377,4436,2345,894,382,12455,10187,5030,2575,4948,5780,3906,2225,4254,5730,2427,3797,6516,3290,1102,461
hemD,2834,1319,1331,294,1569,533,85,51,5628,5012,2429,585,3477,3390,2002,969,3141,3140,964,1868,3237,707,378,177
hemC,7607,4846,2997,1099,5002,1088,366,230,17446,9179,4234,1800,8501,6928,4423,2202,8412,7144,2434,4375,9423,1639,591,383
hemX,4840,1930,1319,432,2303,304,126,102,10755,4248,1644,516,4024,2779,1763,721,4455,3225,1163,2102,6291,564,214,139
hemA,41661,14983,10172,3459,21570,1625,674,415,78706,24740,9775,3333,34707,17791,10218,5106,35906,19922,7459,13007,45654,2624,1136,827
engB,1763,340,179,45,1506,123,40,33,3275,1052,352,71,2333,1004,420,148,1782,667,96,289,1397,100,76,34
clpX,27487,12920,7097,1958,29238,10479,3687,1651,73874,26350,10403,3098,22769,14517,7867,3070,17456,13177,2773,6922,28253,10288,3921,1385
tig,40523,13888,7039,2153,63400,20450,7501,3141,127583,32456,12014,5253,44570,23270,12112,5612,31826,20495,4424,9399,69697,23214,7414,3415
SA1500,2462,289,227,58,2263,893,161,91,5026,1512,505,103,2011,702,295,202,1745,503,194,291,2054,483,398,175
SA1501,1250,232,82,46,1941,838,261,167,3255,598,189,98,1620,453,217,139,1005,262,116,133,1312,347,219,147
rplT,23250,12427,6559,1949,37495,15921,9665,6201,77162,31008,14989,5544,32869,20846,11529,4181,24900,19941,3257,10396,44402,23003,12168,6769
rpmI,19719,7567,4615,1222,27105,9350,4564,2776,59094,21757,10559,3515,26263,14978,8350,3430,20493,14507,2403,7476,33189,14388,8285,5186
infC,27091,9565,4892,1299,34894,8133,4254,3396,84296,24118,10042,3052,37792,18183,8749,3212,28889,17355,2351,8194,44131,14301,7005,3343
lysP,2808,1409,1009,469,2508,1037,500,305,7963,3271,1752,915,3019,1929,1378,713,2242,1743,769,1201,4053,1739,1065,437
thrS,22800,20799,13727,4159,29060,20925,6966,2045,59392,55177,30590,10023,18477,19776,15225,6482,14785,21468,6398,15446,38806,29998,13680,3259
dnaI,9802,4742,3476,1359,6874,2111,1043,652,22696,11006,5410,2335,6958,4291,3071,1861,6333,4725,1996,3316,6843,1985,1082,613
dnaB,11139,3539,2921,1047,6959,1397,661,303,24333,9086,4763,1531,7950,3817,2725,1505,7433,4292,1690,2973,8074,1342,852,430
nrdR,6240,1865,1237,503,3967,637,341,135,15055,3793,1919,868,3420,1435,1026,625,3327,1701,720,1214,3592,577,316,144
gapB,3322,1200,684,116,5417,3841,1384,429,8072,3541,1658,397,1230,767,542,288,2602,1664,292,769,1251,424,247,93
coaE,4093,1271,777,261,4627,1283,278,83,8754,3038,1067,500,3235,1658,790,339,2457,1483,379,749,3022,703,194,55
SA1512,3790,804,450,122,3325,846,168,56,7638,2082,692,186,3011,1079,560,192,2392,1117,276,645,2861,410,146,59
polA,9252,1260,751,210,8307,1416,363,118,20815,3275,1166,415,6109,1377,750,327,4928,1443,484,948,6779,556,261,146
SA1514,587,127,162,34,230,13,9,4,1146,497,237,42,1031,344,241,107,998,398,141,303,807,15,14,16
phoR,9189,2112,2448,744,3729,1202,544,373,15259,5900,3145,1003,3807,1484,1006,652,5099,2487,1258,1772,4600,285,174,142
phoP,5394,1285,968,397,2859,930,450,268,12910,2139,1198,629,2514,553,402,322,3258,1029,531,701,2500,141,84,76
citC,67410,63100,50009,21007,50984,56946,44890,29734,45972,41786,27740,14337,10022,10230,8879,6728,29194,39779,14689,29525,3588,1331,848,644
citZ,40351,38324,22692,9663,31475,34488,23096,14172,26910,19682,11920,6699,6231,5669,4801,3325,17790,20145,6457,13568,1623,469,296,258
aapA,65855,59212,51801,21966,31501,19916,6630,1512,117978,95280,60857,25654,25142,24580,21841,13479,36224,44181,25120,39259,20601,7870,4293,1279
pykA,30541,18799,9428,3845,32283,14746,6092,1664,89735,45725,17564,8261,32028,23501,12237,4817,22308,20276,4410,9818,92475,38219,13197,4133
pfkA,7933,2614,872,431,11357,3743,1697,871,19636,6128,2009,1236,14185,5764,2347,1000,8049,3458,619,1406,24889,7184,2975,1374
accA,5080,3012,1421,640,6382,3429,954,544,13010,5932,1938,982,5630,3887,1909,1187,4852,3582,1316,1887,7028,4141,1428,793
SA1523,5432,2678,1269,697,5991,1994,615,359,14696,5016,1906,1181,6166,3562,1930,1296,5217,3554,1464,2045,7544,3023,995,622
SA1524,7983,3570,1881,1162,8315,2141,1054,568,20137,5313,2390,2290,8897,3964,2368,1707,7332,3987,2048,2458,10803,3281,1264,1009
dnaE,12292,5427,3969,2003,7322,1123,245,204,25164,14080,6970,4245,8828,5559,3189,2347,7984,6007,2939,3686,7723,1663,550,302
SA1526,5636,1958,1160,854,4186,295,93,80,13963,3819,2092,1773,4050,1692,996,734,3535,1757,908,1087,3801,407,141,75
SA1527,5473,418,252,136,3841,78,47,48,11649,816,324,315,3703,447,198,148,3182,470,195,250,3258,96,44,50
SA1528,23348,36186,44318,36880,15645,28625,34019,38126,53106,91482,97158,118537,9766,16924,21193,30390,9459,21612,30652,24238,11869,15537,17863,25010
SA1529,4643,3438,3777,1661,2969,3147,2301,2057,12381,13078,9680,5136,2459,2541,2378,2388,2146,2638,1913,2380,2849,1435,1465,1226
SA1530,4150,2989,2760,1634,2889,2636,1736,1444,11438,10111,7205,4554,2985,2635,2138,1687,2083,2629,1657,2097,2879,1606,1504,1315
ald,61013,90906,101649,125462,54828,96716,118349,182289,97356,134588,135531,191050,25424,37107,44691,68511,34324,66388,101164,78206,7281,6587,7463,11172
SA1532,6103,5020,3373,2651,9318,11513,15000,13838,16512,13134,10325,9561,3537,2788,2764,2242,3277,3189,1986,2595,12116,14516,11807,11710
ackA,20302,9047,4505,1440,30439,17769,7665,2490,41089,18028,7695,2527,16134,10502,5856,2740,15900,9466,1852,4128,51620,20992,8507,2307
SA1534,2960,1529,1546,508,3139,2316,1151,641,8256,4565,2863,860,2541,1985,1722,1098,1643,1570,776,1259,2889,1155,1106,591
tpx,9792,10630,8055,3203,9984,10216,8296,3058,27240,21915,14041,5272,6234,7067,6202,3701,4111,6016,2774,4902,6685,4517,3226,1198
SA1536,706,453,371,187,752,209,32,44,1696,1331,770,387,1260,1084,746,476,1032,1037,576,792,905,197,84,50
SA1537,2041,906,708,422,2618,658,603,853,5096,2233,1220,914,3276,2034,1233,715,2702,1847,759,1283,2185,455,316,361
SA1538,1904,394,238,66,1688,115,36,65,4919,1156,400,100,2499,1073,632,216,2122,1100,265,718,1672,84,38,44
SA1539,30606,12904,7820,1760,20278,6321,1200,420,79394,39087,14186,3166,19291,13337,7946,2566,16921,12729,2438,6452,24262,6245,1821,533
SA1540,1740,1407,1112,720,1861,1383,965,525,4991,3366,2183,1816,1176,1052,797,652,906,974,542,737,1408,717,480,288
rpsD,48844,22711,15846,5848,76831,18817,8054,5940,167212,63064,31740,11856,70301,45583,29828,16120,58940,51696,17670,33416,79826,21009,8218,4328
tnp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA1542,739,163,120,30,308,61,16,20,1826,605,222,69,418,193,110,77,319,186,41,113,339,28,34,8
SA1543,1247,804,550,195,927,615,384,174,3038,1705,858,191,774,503,362,158,488,469,135,289,589,270,239,67
SA1544,722,631,649,522,716,674,599,679,2495,2401,2055,1991,507,633,565,770,527,822,976,821,611,403,507,580
serA,1248,1014,1043,696,1148,1038,890,865,3702,3347,2855,2415,854,936,895,994,894,1254,1241,1179,990,613,728,779
SA1546,1463,885,675,212,1525,882,345,130,4185,2810,1401,533,1266,997,761,495,1081,892,419,685,1662,532,420,169
ptaA,4630,3451,2294,652,4046,2415,802,231,11499,9142,4437,1098,4486,3983,2939,1240,4007,3825,1072,2535,4555,1692,730,218
SA1548,4781,3225,1930,449,3835,1904,626,150,10644,9105,4308,808,4152,3522,2506,733,3552,3500,568,2100,3441,1225,561,116
SA1549,19274,14666,9082,2572,10543,6419,2828,607,41471,23750,10683,2408,12025,9440,6425,2414,9961,10159,2750,6758,9260,3936,1905,480
tyrS,3946,892,364,87,5138,944,285,136,9733,2406,691,261,4213,1822,563,237,3389,1621,183,478,7016,1613,525,285
sgtA,1073,11,4,6,689,0,2,2,2194,38,21,8,898,28,17,9,838,28,5,14,806,5,9,8
SA1552,844,580,567,467,516,519,483,436,1816,1453,1136,891,639,529,464,489,1103,1134,508,776,320,128,143,138
fhs,84457,116025,117256,116059,65930,102758,109335,105432,168591,233425,222543,252413,47503,66484,77815,99033,32179,58710,64686,59832,20677,16163,16397,15932
acsA,7541,5512,3423,1881,7170,4336,2517,1263,15766,9073,4809,2881,6252,4103,2824,1978,4232,3598,1646,2538,864,242,114,79
acuA,1349,104,88,42,916,18,4,3,2682,185,88,50,544,48,30,29,844,102,42,46,296,6,4,18
acuC,3091,725,411,227,1797,110,42,40,4438,843,429,261,1267,266,165,76,1818,455,179,239,668,53,26,36
ccpA,15067,8189,7026,2170,13140,6077,2876,1155,30571,14975,8236,2897,8141,5599,3917,2381,7754,7967,3155,5700,7267,2589,1969,735
SA1558,6829,2200,1326,577,7956,2800,1749,1108,15971,4589,2456,1183,5483,2009,1161,762,4178,1774,627,1123,5374,1371,1045,566
SA1559,15325,12344,9585,6379,13994,10801,6257,3747,31047,29981,18381,12911,11015,11927,9649,8066,8511,11279,5813,8518,13159,6544,5127,2487
SA1560,26868,18913,14668,6075,22530,16712,10855,4101,98404,50262,30924,16391,10386,11503,10292,7591,10273,13089,7678,10726,24415,12369,6692,2868
