gene_ID,C1_81,C1_82,C1_83,D1_81,D1_82,D1_83,E1_81,E1_82,E1_83
SKAG_02570,13154,13774,13484,4613,5762,6824,5051,6885,4997
SKAG_00284,13814,13306,14576,6693,7548,8423,6838,9138,5997
SKAG_02083,1606,1640,1609,576,833,1162,655,967,697
SKAG_02082,1934,1799,1878,557,679,970,745,1012,668
SKAG_02081,887,826,916,339,542,703,441,576,406
SKAG_02080,141,194,166,86,115,191,114,174,139
SKAG_02087,3729,3489,3067,1731,2730,2640,3204,3040,1637
SKAG_02086,784,703,1065,255,293,346,271,389,338
SKAG_02085,2721,2925,2646,1199,1897,2642,1399,1808,1351
SKAG_02084,4001,4143,3951,1330,1720,2343,1460,1981,1398
SKAG_02089,15770,15540,16212,6678,7184,8813,7857,9996,7299
SKAG_02088,11,11,10,9,10,11,11,11,4
SKAG_01094,274,215,180,95,126,225,135,231,142
SKAG_02159,14835,15588,15433,6661,7431,8865,7335,8381,6194
SKAG_02158,4036,4779,5308,1092,1343,1675,1347,1804,1038
SKAG_02409,35959,33761,32486,12413,15932,18043,23499,33147,20294
SKAG_02408,68415,60542,60003,24553,30889,35724,40079,55899,34210
SKAG_02407,246250,222743,250197,82532,109289,116867,126616,197574,123680
SKAG_02154,8724,9122,9871,934,1330,1664,1155,2357,1206
SKAG_02405,110887,110414,118475,59193,76235,87631,71604,112533,79520
SKAG_02156,31814,24324,25003,5373,8938,13521,11975,25114,15501
SKAG_02151,101175,103378,101030,25383,31327,38232,33690,55400,35124
SKAG_02402,7991,8317,9903,2375,3076,3853,3390,4781,3096
SKAG_02153,11891,13663,12818,1075,1532,2018,1421,2952,1307
SKAG_02152,4057,4308,3918,590,812,1005,735,1257,691
SKAG_01622,6215,5116,4604,3099,3264,3815,3436,3423,2730
SKAG_02399,16666,17148,18978,7784,8710,10188,7641,10252,7617
SKAG_02398,9521,10288,11817,3344,3987,5545,4185,5564,3572
SKAG_02397,22755,25075,28711,10520,11988,14739,12583,15000,11073
SKAG_02396,8568,8924,11692,3190,3696,4783,3503,4558,3717
