,mRNA.6008.2h.TEM,mRNA.6008.2h.Cefto,mRNA.6008.2h.Linezo,mRNA.6008.2h.Tige,mRNA.6008.2h.Vanco,mRNA.6008.6h.TEM,mRNA.6008.6h.Cefto,mRNA.6008.6h.Linezo,mRNA.6008.6h.Tige,mRNA.6008.6h.Vanco,mRNA.6009.2h.TEM,mRNA.6009.2h.Cefto,mRNA.6009.2h.Linezo,mRNA.6009.2h.Tige,mRNA.6009.2h.Vanco,mRNA.6009.6h.TEM,mRNA.6009.6h.Cefto,mRNA.6009.6h.Linezo,mRNA.6009.6h.Tige,mRNA.6009.6h.Vanco,sRNA.6008.2h.TEM,sRNA.6008.2h.Cefto,sRNA.6008.2h.Linezo,sRNA.6008.2h.Tige,sRNA.6008.2h.Vanco,sRNA.6008.6h.TEM,sRNA.6008.6h.Cefto,sRNA.6008.6h.Linezo,sRNA.6008.6h.Tige,sRNA.6008.6h.Vanco,sRNA.6009.2h.TEM,sRNA.6009.2h.Cefto,sRNA.6009.2h.Linezo,sRNA.6009.2h.Tige,sRNA.6009.2h.Vanco,sRNA.6009.6h.TEM,sRNA.6009.6h.Cefto,sRNA.6009.6h.Linezo,sRNA.6009.6h.Tige,sRNA.6009.6h.Vanco
SAA6008_02169/2,58,74,95,84,71,34,67,169,81,54,89,131,239,434,75,39,38,133,56,26,,,,,,,,,,,,,,,,,,,,
SAA6008_02171,57,107,128,75,63,74,108,148,62,62,147,219,328,262,152,64,124,183,54,37,,,,,,,,,,,,,,,,,,,,
SAA6008_02172,42,64,66,55,24,68,108,138,81,52,190,211,280,366,137,53,59,143,59,21,,,,,,,,,,,,,,,,,,,,
SAA6008_02173,114,153,218,140,114,34,91,92,76,51,83,122,98,172,115,40,62,71,99,22,,,,,,,,,,,,,,,,,,,,
SAA6008_02175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
SAA6008_02174,112,129,187,108,111,576,642,365,715,446,290,386,329,654,143,276,582,431,835,324,,,,,,,,,,,,,,,,,,,,
SAA6008_02176,44,55,92,68,62,263,334,161,527,271,201,270,207,533,139,157,314,182,621,232,,,,,,,,,,,,,,,,,,,,
SAA6008_02177,49,158,142,33,52,37,189,103,68,36,95,358,89,83,81,35,100,67,34,22,,,,,,,,,,,,,,,,,,,,
SAA6008_02178,503,819,989,615,623,46,80,138,105,41,61,122,132,301,106,25,50,101,81,17,,,,,,,,,,,,,,,,,,,,
SAA6008_02179,51,83,89,37,34,9,6,2,6,1,13,22,3,15,9,5,7,7,0,1,,,,,,,,,,,,,,,,,,,,
SAA6008_02180,42,88,101,56,58,98,187,341,128,112,85,139,314,327,110,49,165,293,113,72,,,,,,,,,,,,,,,,,,,,
SAA6008_02181,2,2,4,5,2,5,13,14,13,3,7,8,25,20,4,3,10,15,3,2,,,,,,,,,,,,,,,,,,,,
SAA6008_02182,56,62,95,48,52,99,260,394,172,103,94,184,523,697,87,59,115,401,159,59,,,,,,,,,,,,,,,,,,,,
SAA6008_02183,685,978,1710,773,713,29,92,68,67,39,69,109,112,149,194,20,50,60,77,16,,,,,,,,,,,,,,,,,,,,
SAA6008_02184,17,24,37,20,16,35,60,224,104,23,47,71,184,501,47,15,50,220,172,19,,,,,,,,,,,,,,,,,,,,
SAA6008_02185,26,47,56,15,12,50,158,355,140,53,77,140,360,550,83,44,160,414,161,34,,,,,,,,,,,,,,,,,,,,
SAA6008_02186,311,757,864,336,266,152,535,389,283,151,140,249,208,108,113,72,446,377,107,69,,,,,,,,,,,,,,,,,,,,
SAA6008_02187,2,5,2,2,5,9,8,13,8,7,17,9,13,24,7,6,8,14,8,6,,,,,,,,,,,,,,,,,,,,
SAA6008_02188,8,7,14,5,5,17,32,31,35,25,25,44,39,72,22,15,38,34,21,8,,,,,,,,,,,,,,,,,,,,
SAA6008_02189,83,145,160,126,95,46,89,87,79,47,67,154,125,205,74,49,81,92,58,38,,,,,,,,,,,,,,,,,,,,
SAA6008_02190,21,32,37,12,12,3,25,29,25,9,13,20,41,53,19,15,27,37,11,4,,,,,,,,,,,,,,,,,,,,
SAA6008_02191,95,197,223,134,124,455,1061,505,719,438,623,1024,713,525,1104,613,1660,567,759,587,,,,,,,,,,,,,,,,,,,,
SAA6008_02192,27,64,77,34,23,11,21,40,8,7,10,31,38,35,16,6,25,21,12,7,,,,,,,,,,,,,,,,,,,,
SAA6008_02193,309,649,667,408,312,16,38,19,27,15,23,37,43,80,59,12,26,28,24,17,,,,,,,,,,,,,,,,,,,,
SAA6008_02194,268,353,440,272,314,15,24,13,8,11,17,29,22,38,58,12,13,12,13,7,,,,,,,,,,,,,,,,,,,,
SAA6008_02195,274,492,727,303,219,12,21,19,14,13,19,24,43,47,53,8,30,28,16,6,,,,,,,,,,,,,,,,,,,,
SAA6008_02197,2,13,13,10,0,15,26,114,30,19,8,22,92,82,22,9,40,127,20,10,,,,,,,,,,,,,,,,,,,,
SAA6008_02197/2,5,5,13,9,3,10,23,50,16,5,6,20,69,43,10,15,18,87,21,7,,,,,,,,,,,,,,,,,,,,
SAA6008_02198,247,363,523,326,289,725,1034,2143,1027,702,682,1018,1479,1665,894,478,964,2143,1028,478,,,,,,,,,,,,,,,,,,,,
SAA6008_02199,53,96,82,74,40,113,225,260,130,82,87,158,180,163,84,69,220,311,129,63,,,,,,,,,,,,,,,,,,,,
SAA6008_02200,90,163,230,74,91,128,285,395,170,111,96,142,201,187,101,80,252,490,168,72,,,,,,,,,,,,,,,,,,,,
SAA6008_02201,51,82,101,49,53,79,236,39,167,142,19,83,32,46,43,33,140,32,94,69,,,,,,,,,,,,,,,,,,,,
SAA6008_02202,1,2,9,1,3,0,5,3,3,0,2,8,1,12,2,1,2,4,3,0,,,,,,,,,,,,,,,,,,,,
SAA6008_02203,3,3,4,1,3,1,3,2,3,1,1,5,5,8,1,0,5,2,1,0,,,,,,,,,,,,,,,,,,,,
SAA6008_02204,92,211,221,104,134,52,136,121,74,64,100,209,144,135,99,30,102,139,41,39,,,,,,,,,,,,,,,,,,,,
SAA6008_02205,48,91,104,40,42,16,38,38,22,14,16,33,62,48,19,7,31,74,21,7,,,,,,,,,,,,,,,,,,,,
SAA6008_02206,52,98,107,59,79,21,49,61,37,28,21,32,48,76,31,19,44,77,40,21,,,,,,,,,,,,,,,,,,,,
SAA6008_02207,57,58,101,33,51,31,78,88,45,32,31,44,83,84,26,42,95,164,57,55,,,,,,,,,,,,,,,,,,,,
SAA6008_02208,41,68,107,56,37,58,122,106,85,44,63,68,143,202,53,29,99,115,67,39,,,,,,,,,,,,,,,,,,,,
SAA6008_02209,188,252,320,224,261,247,449,558,431,305,315,470,694,1327,274,172,402,647,360,188,,,,,,,,,,,,,,,,,,,,
SAA6008_02210,10,13,16,16,4,16,42,63,60,18,13,57,54,206,21,10,29,62,51,11,,,,,,,,,,,,,,,,,,,,
SAA6008_02211,29,36,30,25,11,279,701,200,565,216,71,402,162,345,91,191,393,140,518,125,,,,,,,,,,,,,,,,,,,,
SAA6008_02212,15,27,18,13,10,17,48,155,31,17,51,78,136,213,19,13,41,100,28,23,,,,,,,,,,,,,,,,,,,,
SAA6008_02213,1,6,3,2,2,4,14,11,5,7,12,11,17,18,7,6,23,12,5,4,,,,,,,,,,,,,,,,,,,,
SAA6008_02214,5,3,6,4,0,9,12,25,12,9,20,15,28,49,11,14,23,35,20,8,,,,,,,,,,,,,,,,,,,,
SAA6008_02215,41,61,84,51,54,47,107,204,118,72,137,192,265,659,84,63,119,204,145,54,,,,,,,,,,,,,,,,,,,,
SAA6008_02216,13,23,32,10,11,14,22,38,12,11,13,30,32,50,20,8,29,27,15,11,,,,,,,,,,,,,,,,,,,,
SAA6008_02217,51,69,84,42,31,23,48,51,22,12,40,29,45,49,32,23,34,44,23,9,,,,,,,,,,,,,,,,,,,,
SAA6008_02218,20,24,22,35,20,3,20,18,10,9,6,10,7,29,13,6,16,17,11,5,,,,,,,,,,,,,,,,,,,,
SAA6008_02219,15,23,26,19,11,33,100,92,66,47,27,57,48,75,38,29,99,124,59,36,,,,,,,,,,,,,,,,,,,,
SAA6008_02220,3,4,7,5,1,2,3,4,3,1,0,6,4,6,1,2,3,7,5,3,,,,,,,,,,,,,,,,,,,,
SAA6008_02221,0,2,1,0,1,0,1,1,0,0,0,1,3,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
SAA6008_02222,1,0,0,1,0,0,0,3,3,0,0,1,1,2,0,0,1,2,1,0,,,,,,,,,,,,,,,,,,,,
SAA6008_02223,9279,12014,15566,19325,11266,1178,1953,866,1594,887,1374,2843,2304,6397,4378,736,749,836,1724,721,,,,,,,,,,,,,,,,,,,,
SAA6008_02224,2425,2921,3837,7144,2815,206,439,141,576,190,224,354,322,1099,638,135,182,124,399,123,,,,,,,,,,,,,,,,,,,,
SAA6008_02225,3045,4318,5149,3642,3170,307,811,242,473,264,361,537,454,824,1011,253,377,299,380,185,,,,,,,,,,,,,,,,,,,,
SAA6008_02226,387,631,714,269,305,22,135,30,21,18,52,83,107,75,111,15,33,31,26,19,,,,,,,,,,,,,,,,,,,,
SAA6008_02227,63,61,101,41,49,20,32,22,35,21,43,38,39,91,41,15,28,34,38,11,,,,,,,,,,,,,,,,,,,,
SAA6008_02228,357,545,757,464,395,92,142,162,165,103,140,201,146,240,186,53,125,148,90,69,,,,,,,,,,,,,,,,,,,,
SAA6008_02229,88,108,160,93,123,17,34,24,19,25,36,52,44,28,48,11,24,20,11,16,,,,,,,,,,,,,,,,,,,,
SAA6008_02230,4,4,22,8,6,3,7,7,10,6,2,4,12,28,3,3,3,15,24,1,,,,,,,,,,,,,,,,,,,,
SAA6008_02231,1,3,3,3,3,1,3,11,6,2,2,5,10,15,1,0,3,10,15,1,,,,,,,,,,,,,,,,,,,,
SAA6008_02232,0,0,1,0,0,0,0,1,1,0,2,1,1,4,0,0,2,0,1,3,,,,,,,,,,,,,,,,,,,,
SAA6008_02233,2,2,2,0,1,0,1,9,8,0,1,2,5,12,1,2,5,5,17,1,,,,,,,,,,,,,,,,,,,,
SAA6008_02234,0,0,0,0,0,0,0,1,4,1,1,1,2,3,1,0,0,0,14,0,,,,,,,,,,,,,,,,,,,,
SAA6008_02235,1,0,1,1,1,2,3,1,8,1,0,0,3,5,3,2,0,0,16,1,,,,,,,,,,,,,,,,,,,,
SAA6008_02236,0,0,0,0,0,1,1,0,3,0,0,1,1,2,2,0,0,0,8,1,,,,,,,,,,,,,,,,,,,,
SAA6008_02237,49,41,68,69,58,25,46,72,55,31,30,51,67,130,40,30,28,59,56,30,,,,,,,,,,,,,,,,,,,,
SAA6008_02238,9,21,29,13,14,6,22,15,15,4,5,14,15,25,7,7,24,28,14,6,,,,,,,,,,,,,,,,,,,,
SAA6008_02239,3,6,5,7,1,4,10,10,9,5,7,12,10,22,18,4,4,11,9,2,,,,,,,,,,,,,,,,,,,,
SAA6008_02240,120,211,294,165,143,95,207,157,168,96,71,134,93,150,120,60,106,91,56,32,,,,,,,,,,,,,,,,,,,,
SAA6008_02241,23,32,33,20,29,3,3,3,5,0,10,21,11,16,9,1,6,6,1,1,,,,,,,,,,,,,,,,,,,,
SAA6008_02242,1,0,1,1,0,1,2,2,4,2,0,1,1,5,1,1,4,8,3,7,,,,,,,,,,,,,,,,,,,,
SAA6008_02243,10,24,30,23,15,20,27,25,17,17,10,19,15,40,14,12,54,35,31,19,,,,,,,,,,,,,,,,,,,,
SAA6008_02244,16,26,39,25,26,16,23,29,15,26,20,27,34,65,30,11,19,30,20,13,,,,,,,,,,,,,,,,,,,,
SAA6008_02245,31,47,62,34,24,8,28,24,19,16,28,31,27,58,25,11,15,30,14,10,,,,,,,,,,,,,,,,,,,,
SAA6008_02246,2252,3064,3942,2696,1638,16,32,52,30,9,3,6,11,21,17,18,38,52,54,10,,,,,,,,,,,,,,,,,,,,
SAA6008_02247,8,16,21,10,11,13,27,66,20,16,35,72,86,91,24,17,29,72,20,21,,,,,,,,,,,,,,,,,,,,
SAA6008_02248,15,12,28,9,12,20,33,91,34,21,76,123,111,133,23,26,33,110,23,11,,,,,,,,,,,,,,,,,,,,
SAA6008_02249,25,43,55,22,33,29,44,69,23,18,51,61,93,116,40,22,51,108,36,18,,,,,,,,,,,,,,,,,,,,
SAA6008_02250,9,9,9,8,5,15,33,45,20,12,15,40,73,79,12,4,46,63,20,6,,,,,,,,,,,,,,,,,,,,
SAA6008_02251,16,23,20,14,20,35,56,68,37,48,64,76,140,170,79,34,73,115,61,26,,,,,,,,,,,,,,,,,,,,
SAA6008_02252,3,8,13,5,6,11,8,21,19,13,16,15,43,74,9,6,11,41,20,10,,,,,,,,,,,,,,,,,,,,
SAA6008_02253,4,4,7,5,1,7,12,27,13,9,3,7,28,54,8,8,9,28,11,6,,,,,,,,,,,,,,,,,,,,
SAA6008_02254,178,338,388,241,261,599,1465,2769,1342,725,476,839,2868,4637,534,481,1712,3194,1402,791,,,,,,,,,,,,,,,,,,,,
SAA6008_02255,114,203,280,132,180,337,805,1672,503,392,269,550,1922,2534,381,302,1150,1932,602,384,,,,,,,,,,,,,,,,,,,,
SAA6008_02256,30,42,54,73,32,116,182,281,263,129,135,182,330,723,134,82,163,332,245,100,,,,,,,,,,,,,,,,,,,,
SAA6008_02257,13,20,32,11,10,47,83,129,66,44,61,70,148,174,49,32,87,164,73,47,,,,,,,,,,,,,,,,,,,,
SAA6008_02258,21,24,35,31,26,45,117,180,119,82,49,73,163,301,68,45,105,188,99,50,,,,,,,,,,,,,,,,,,,,
SAA6008_02259,18,34,60,38,21,49,92,208,95,59,46,81,218,411,58,21,69,210,75,36,,,,,,,,,,,,,,,,,,,,
SAA6008_02260,211,369,450,182,153,715,1350,5319,1001,466,802,1063,6424,5709,370,810,1807,10200,1439,538,,,,,,,,,,,,,,,,,,,,
SAA6008_02261,1294,1440,1968,1244,1261,4263,5475,25793,6342,3548,5292,6985,36132,39573,3325,4636,7509,47191,10351,4206,,,,,,,,,,,,,,,,,,,,
SAA6008_02262,215,568,512,187,218,509,1656,4349,787,479,541,1405,5093,3800,346,597,2353,8395,1131,497,,,,,,,,,,,,,,,,,,,,
SAA6008_02263,267,529,783,266,250,553,1582,6279,1162,578,609,1289,6858,4769,387,592,2268,11208,1447,654,,,,,,,,,,,,,,,,,,,,
SAA6008_02264,51,137,122,54,73,141,416,1167,208,166,146,402,1696,1322,138,88,544,2186,335,184,,,,,,,,,,,,,,,,,,,,
SAA6008_02265,335,599,800,458,409,1000,1880,8231,2435,987,1231,1877,10247,11511,892,1224,2374,13774,3642,1187,,,,,,,,,,,,,,,,,,,,
SAA6008_02266,1075,1602,2134,1548,1078,3106,5648,23576,7193,2890,3379,5903,30757,43238,1912,2954,7244,40609,11633,3319,,,,,,,,,,,,,,,,,,,,
SAA6008_02267,1259,1822,2235,1169,1028,3280,5590,20665,5245,2509,3657,5393,25441,30424,1805,3245,7448,34700,8518,2757,,,,,,,,,,,,,,,,,,,,
SAA6008_02268,381,757,963,605,486,1267,2832,10295,3822,1631,1351,2686,11936,18853,1031,1333,3829,17076,5652,1811,,,,,,,,,,,,,,,,,,,,
SAA6008_02269,183,306,331,254,278,632,1417,3869,1406,894,668,1402,5164,7345,658,537,1681,6370,2110,971,,,,,,,,,,,,,,,,,,,,
SAA6008_02270,576,859,1186,722,886,2516,3906,17361,4600,3006,2854,5176,22399,34664,2095,2202,4400,25179,8365,2997,,,,,,,,,,,,,,,,,,,,
SAA6008_02271,652,952,1234,1164,1043,3544,4197,18992,6571,3745,3847,6483,26789,60533,2865,2555,4267,28063,13279,3275,,,,,,,,,,,,,,,,,,,,
SAA6008_02272,531,847,1131,631,564,1324,3207,11819,3398,1429,1804,3075,16619,17465,992,1404,4431,20410,5566,1503,,,,,,,,,,,,,,,,,,,,
SAA6008_02273,482,786,1115,382,334,2380,3722,16142,2861,1304,2710,3803,20987,17589,973,2022,4257,23303,4537,1410,,,,,,,,,,,,,,,,,,,,
SAA6008_02274,136,197,320,121,121,290,715,2936,653,274,298,630,4157,3128,221,347,1046,4850,1020,303,,,,,,,,,,,,,,,,,,,,
SAA6008_02275,509,739,1123,1038,756,1448,2784,11795,5302,1931,1455,2479,13246,26373,1239,1485,3387,16986,7136,1990,,,,,,,,,,,,,,,,,,,,
SAA6008_02276,186,391,426,292,276,726,1614,6297,1762,864,976,1873,8712,9909,690,779,1994,9647,2984,1026,,,,,,,,,,,,,,,,,,,,
SAA6008_02277,356,473,772,495,439,1264,1776,8172,2906,1241,1228,1945,8637,20153,865,1143,2268,11027,5191,1357,,,,,,,,,,,,,,,,,,,,
SAA6008_02278,331,614,644,338,438,967,2056,6333,1919,1253,1054,1942,7813,10675,1047,882,2485,9341,3125,1266,,,,,,,,,,,,,,,,,,,,
SAA6008_02279,378,581,736,746,701,951,1652,7908,3129,1487,1015,1873,10154,17606,1111,913,2403,11961,5172,1568,,,,,,,,,,,,,,,,,,,,
SAA6008_02280,440,653,952,499,584,851,2026,8315,2215,1227,812,1686,8863,9509,719,784,2791,12803,3353,1334,,,,,,,,,,,,,,,,,,,,
SAA6008_02281,583,1054,1622,627,612,1275,3395,15326,3616,1523,1200,2669,15852,15031,923,1224,4417,22572,4976,1497,,,,,,,,,,,,,,,,,,,,
SAA6008_02282,400,678,914,329,618,1274,2363,11538,2166,1652,1158,2003,12322,11329,1182,1114,2922,15870,3768,1735,,,,,,,,,,,,,,,,,,,,
SAA6008_02283,683,858,1255,993,928,2093,3046,14202,4636,2118,1601,2534,14046,24687,1809,1535,3525,18270,7157,2276,,,,,,,,,,,,,,,,,,,,
SAA6008_02284,671,1188,1441,795,575,1688,3597,12042,4405,1301,1290,2273,10623,17187,854,1577,4905,17102,6468,1531,,,,,,,,,,,,,,,,,,,,
SAA6008_02285,343,591,751,610,433,995,2150,8602,3496,1116,715,1724,8814,19099,769,959,2637,11807,6514,1244,,,,,,,,,,,,,,,,,,,,
SAA6008_02286,728,1003,1474,1330,928,2861,3734,19100,8267,2549,2215,2712,17287,45206,2037,2566,4776,24737,15749,2973,,,,,,,,,,,,,,,,,,,,
SAA6008_02287,1086,1317,1809,1597,1052,3587,4259,21042,9964,2597,2828,3686,18908,53226,2194,2676,5474,27151,16349,2865,,,,,,,,,,,,,,,,,,,,
SAA6008_02288,785,994,1296,1150,985,2741,3149,18393,7766,2188,2213,3147,13818,46978,2374,2383,3384,19351,15659,2351,,,,,,,,,,,,,,,,,,,,
SAA6008_02289,115,219,224,122,67,4,25,6,12,7,21,33,8,16,5,10,15,11,3,2,,,,,,,,,,,,,,,,,,,,
SAA6008_02290,31,59,76,22,22,113,334,614,218,107,153,260,753,577,113,156,807,1134,273,170,,,,,,,,,,,,,,,,,,,,
SAA6008_02291,44,76,93,65,58,110,214,298,237,145,125,169,262,290,123,78,204,342,140,91,,,,,,,,,,,,,,,,,,,,
SAA6008_02292,8,35,24,20,14,21,42,32,44,11,22,27,21,50,13,5,29,25,28,11,,,,,,,,,,,,,,,,,,,,
SAA6008_02293,86,98,123,118,71,46,97,131,76,42,127,136,116,187,124,44,63,96,60,27,,,,,,,,,,,,,,,,,,,,
SAA6008_02294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
SAA6008_02295,42,41,71,38,39,26,24,88,23,13,13,16,50,48,15,6,13,65,16,5,,,,,,,,,,,,,,,,,,,,
SAA6008_02296,7,18,16,15,4,8,24,27,17,8,16,18,23,31,11,5,14,32,7,2,,,,,,,,,,,,,,,,,,,,
SAA6008_02297,9,18,29,23,15,16,44,40,28,24,21,26,35,36,16,6,32,33,15,8,,,,,,,,,,,,,,,,,,,,
SAA6008_02298,148,288,353,217,174,210,457,734,326,212,381,725,788,622,479,152,491,745,278,185,,,,,,,,,,,,,,,,,,,,
SAA6008_02299,145,215,239,149,128,120,292,379,171,129,211,330,288,380,225,105,208,295,133,106,,,,,,,,,,,,,,,,,,,,
SAA6008_02300,5,5,9,0,1,2,6,10,4,1,1,7,3,1,3,2,10,8,5,1,,,,,,,,,,,,,,,,,,,,
SAA6008_02301,26,32,50,39,33,27,41,46,57,29,47,48,47,101,50,13,17,38,36,12,,,,,,,,,,,,,,,,,,,,
SAA6008_02302,1,2,4,2,4,1,4,6,2,0,0,1,1,1,2,0,6,8,3,0,,,,,,,,,,,,,,,,,,,,
SAA6008_02303,8,13,12,3,3,7,13,14,8,1,1,7,14,15,3,7,17,36,9,5,,,,,,,,,,,,,,,,,,,,
SAA6008_02304,5,6,6,1,5,7,10,17,4,7,7,19,27,41,11,5,8,9,8,2,,,,,,,,,,,,,,,,,,,,
SAA6008_02305,55,113,142,90,86,88,178,228,146,81,127,192,213,347,123,57,133,242,90,55,,,,,,,,,,,,,,,,,,,,
SAA6008_02306,28,43,45,35,29,38,78,100,68,27,57,74,78,144,44,26,51,87,47,15,,,,,,,,,,,,,,,,,,,,
SAA6008_02307,11,13,29,14,8,16,22,42,22,12,21,34,37,113,22,11,16,52,30,5,,,,,,,,,,,,,,,,,,,,
SAA6008_02308,27,50,71,50,45,40,105,162,77,49,55,135,175,276,71,38,65,161,77,24,,,,,,,,,,,,,,,,,,,,
SAA6008_02309,24,33,58,26,36,38,80,117,67,43,32,70,105,160,46,25,57,128,66,26,,,,,,,,,,,,,,,,,,,,
SAA6008_02310,29,49,79,52,44,64,124,192,115,88,105,129,163,268,122,32,143,226,136,65,,,,,,,,,,,,,,,,,,,,
SAA6008_02311,9,30,16,12,12,16,40,40,37,17,9,18,20,29,16,8,29,27,17,11,,,,,,,,,,,,,,,,,,,,
SAA6008_02312,15,17,21,10,9,24,50,67,37,25,28,39,82,82,41,26,63,109,39,28,,,,,,,,,,,,,,,,,,,,
SAA6008_02313,23,21,28,27,19,38,71,115,67,32,32,43,64,103,55,17,72,73,72,31,,,,,,,,,,,,,,,,,,,,
SAA6008_02314,13,32,27,10,16,30,76,103,62,25,44,60,62,102,40,24,69,95,66,21,,,,,,,,,,,,,,,,,,,,
SAA6008_02315,30,34,39,24,26,44,79,98,54,38,47,77,79,81,62,27,86,96,46,28,,,,,,,,,,,,,,,,,,,,
SAA6008_02316,80,100,161,71,97,123,238,320,190,115,141,183,265,298,187,93,217,280,158,92,,,,,,,,,,,,,,,,,,,,
SAA6008_02317,138,211,228,140,160,9,50,32,21,17,16,36,25,28,16,5,27,34,9,6,,,,,,,,,,,,,,,,,,,,
SAA6008_02318,23,45,41,29,23,19,49,61,35,21,49,52,114,173,30,11,39,60,35,17,,,,,,,,,,,,,,,,,,,,
SAA6008_02319,18,18,19,14,16,11,16,26,15,12,17,25,35,73,13,7,12,30,13,4,,,,,,,,,,,,,,,,,,,,
SAA6008_02320,7,5,11,12,7,8,21,40,27,19,12,19,19,66,12,5,20,30,26,10,,,,,,,,,,,,,,,,,,,,
SAA6008_02321,86,114,145,111,74,166,272,691,246,184,283,337,1016,1045,316,133,240,676,210,111,,,,,,,,,,,,,,,,,,,,
SAA6008_02322,44,72,70,58,50,70,141,212,166,65,22,26,47,141,28,28,68,120,82,23,,,,,,,,,,,,,,,,,,,,
SAA6008_02323,19,34,41,16,19,6,16,15,14,7,6,14,6,10,8,5,16,28,7,8,,,,,,,,,,,,,,,,,,,,
SAA6008_02324,17,27,26,27,20,3,9,7,5,10,15,13,4,6,21,5,25,16,16,7,,,,,,,,,,,,,,,,,,,,
SAA6008_02325,17,26,30,33,28,7,10,7,17,9,10,23,11,17,13,10,26,35,22,28,,,,,,,,,,,,,,,,,,,,
SAA6008_02326,50,71,124,78,54,19,77,74,62,35,42,84,66,78,48,44,160,158,115,64,,,,,,,,,,,,,,,,,,,,
SAA6008_02327,28,34,42,15,17,10,28,28,17,12,14,26,22,18,10,11,43,48,17,21,,,,,,,,,,,,,,,,,,,,
SAA6008_02328,21,39,55,20,17,10,32,51,20,16,21,49,39,26,16,18,76,95,30,25,,,,,,,,,,,,,,,,,,,,
SAA6008_02329,48,56,116,57,56,39,73,107,54,28,51,63,104,87,42,47,107,262,114,63,,,,,,,,,,,,,,,,,,,,
SAA6008_02330,43,43,65,41,24,37,36,59,50,21,26,39,47,66,29,31,79,130,93,36,,,,,,,,,,,,,,,,,,,,
SAA6008_02331,5,12,18,1,3,12,55,194,36,12,14,52,131,173,13,12,76,348,54,11,,,,,,,,,,,,,,,,,,,,
SAA6008_02332,65,57,102,118,80,87,111,125,183,105,132,169,135,322,120,65,90,122,151,81,,,,,,,,,,,,,,,,,,,,
SAA6008_02333,4,0,31,3,1,5,7,28,8,3,3,13,28,13,7,0,6,43,6,5,,,,,,,,,,,,,,,,,,,,
SAA6008_02334,15,12,16,11,8,5,16,17,13,9,4,9,15,27,7,7,10,27,5,6,,,,,,,,,,,,,,,,,,,,
SAA6008_02335,7,27,50,4,12,242,713,1899,338,229,49,114,562,534,70,281,1213,3440,449,301,,,,,,,,,,,,,,,,,,,,
SAA6008_02336,31,78,87,36,31,38,115,195,64,33,115,201,347,261,119,26,64,116,48,24,,,,,,,,,,,,,,,,,,,,
SAA6008_02337,106,134,225,112,123,60,149,202,96,91,132,239,454,450,233,41,59,168,71,32,,,,,,,,,,,,,,,,,,,,
SAA6008_02338,11,21,19,15,8,14,57,44,59,25,14,26,21,71,30,12,47,34,34,8,,,,,,,,,,,,,,,,,,,,
SAA6008_02339,42,61,107,55,29,188,334,2424,371,157,57,70,338,666,315,216,442,3022,690,241,,,,,,,,,,,,,,,,,,,,
SAA6008_02340,88,144,229,141,106,227,478,240,656,243,151,297,271,455,196,139,396,187,565,158,,,,,,,,,,,,,,,,,,,,
SAA6008_02341,35,31,58,32,29,34,110,173,90,43,70,114,177,310,96,22,77,146,53,32,,,,,,,,,,,,,,,,,,,,
SAA6008_02342,22,26,51,22,29,31,65,145,54,43,61,156,263,342,56,22,44,135,51,18,,,,,,,,,,,,,,,,,,,,
SAA6008_02343,88,229,230,93,104,123,436,746,182,147,123,327,553,393,205,87,326,666,152,91,,,,,,,,,,,,,,,,,,,,
SAA6008_02344,858,1129,1682,965,882,1203,2103,4058,1939,1081,994,1509,3421,4378,1542,732,1502,3672,1515,581,,,,,,,,,,,,,,,,,,,,
SAA6008_02345,504,456,619,296,277,227,215,286,159,105,186,142,225,295,86,144,187,195,150,65,,,,,,,,,,,,,,,,,,,,
SAA6008_02346,58,87,159,80,60,57,144,69,108,62,36,61,56,170,46,45,108,74,118,55,,,,,,,,,,,,,,,,,,,,
SAA6008_02347,58,97,104,59,41,12,48,53,59,16,28,46,59,218,15,12,33,38,51,15,,,,,,,,,,,,,,,,,,,,
SAA6008_02348,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,
SAA6008_02349,17,40,48,25,19,50,78,44,77,55,83,121,75,145,80,21,80,39,53,42,,,,,,,,,,,,,,,,,,,,
SAA6008_02350,1,2,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
SAA6008_02351,36,61,80,36,31,44,160,164,77,55,92,207,300,507,107,42,170,233,124,59,,,,,,,,,,,,,,,,,,,,
SAA6008_02352,97,104,158,88,72,468,847,490,895,483,425,647,1153,2849,387,372,795,536,1055,368,,,,,,,,,,,,,,,,,,,,
SAA6008_02353,10,25,30,15,13,9,22,19,13,13,18,21,12,42,25,8,32,22,16,5,,,,,,,,,,,,,,,,,,,,
SAA6008_02354,5,28,28,7,11,10,44,43,14,13,14,40,41,47,19,6,28,48,7,5,,,,,,,,,,,,,,,,,,,,
SAA6008_02355,10,18,26,8,6,10,26,14,9,5,5,8,9,6,2,4,11,8,2,3,,,,,,,,,,,,,,,,,,,,
