,mRNA.6008.2h.TEM,mRNA.6008.2h.Cefto,mRNA.6008.2h.Linezo,mRNA.6008.2h.Tige,mRNA.6008.2h.Vanco,mRNA.6008.6h.TEM,mRNA.6008.6h.Cefto,mRNA.6008.6h.Linezo,mRNA.6008.6h.Tige,mRNA.6008.6h.Vanco,mRNA.6009.2h.TEM,mRNA.6009.2h.Cefto,mRNA.6009.2h.Linezo,mRNA.6009.2h.Tige,mRNA.6009.2h.Vanco,mRNA.6009.6h.TEM,mRNA.6009.6h.Cefto,mRNA.6009.6h.Linezo,mRNA.6009.6h.Tige,mRNA.6009.6h.Vanco,sRNA.6008.2h.TEM,sRNA.6008.2h.Cefto,sRNA.6008.2h.Linezo,sRNA.6008.2h.Tige,sRNA.6008.2h.Vanco,sRNA.6008.6h.TEM,sRNA.6008.6h.Cefto,sRNA.6008.6h.Linezo,sRNA.6008.6h.Tige,sRNA.6008.6h.Vanco,sRNA.6009.2h.TEM,sRNA.6009.2h.Cefto,sRNA.6009.2h.Linezo,sRNA.6009.2h.Tige,sRNA.6009.2h.Vanco,sRNA.6009.6h.TEM,sRNA.6009.6h.Cefto,sRNA.6009.6h.Linezo,sRNA.6009.6h.Tige,sRNA.6009.6h.Vanco
SAA6008_00982,62,83,109,107,97,25,47,22,35,32,64,104,33,57,72,16,33,28,21,14,,,,,,,,,,,,,,,,,,,,
SAA6008_00983,432,648,805,926,727,162,230,483,464,194,206,252,329,1358,152,76,89,287,304,71,,,,,,,,,,,,,,,,,,,,
SAA6008_00984,276,549,556,266,198,81,212,285,128,73,80,144,159,255,50,52,149,195,81,41,,,,,,,,,,,,,,,,,,,,
SAA6008_00985,2,1,3,0,0,1,1,2,0,2,2,0,1,5,2,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,
SAA6008_00986,2,1,1,2,5,1,1,3,0,0,0,0,3,3,2,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,
SAA6008_00987,0,3,2,3,3,1,1,3,0,0,0,2,3,7,4,0,1,5,0,1,,,,,,,,,,,,,,,,,,,,
SAA6008_00988,14,25,25,11,6,15,23,29,15,13,62,68,91,157,25,31,63,88,56,32,,,,,,,,,,,,,,,,,,,,
SAA6008_00989,0,0,1,0,1,2,2,7,4,5,2,4,5,4,12,1,8,5,3,4,,,,,,,,,,,,,,,,,,,,
SAA6008_00990,5,2,5,2,0,14,28,51,33,21,16,34,37,70,28,21,47,68,45,20,,,,,,,,,,,,,,,,,,,,
SAA6008_00991,6,6,10,4,5,28,38,37,40,26,71,74,66,138,45,29,40,24,32,30,,,,,,,,,,,,,,,,,,,,
SAA6008_00992,4,4,13,8,5,8,11,25,11,4,3,6,7,29,16,6,20,28,14,6,,,,,,,,,,,,,,,,,,,,
SAA6008_00993,36,73,86,43,62,7,20,1,6,7,5,15,8,102,32,6,8,1,19,7,,,,,,,,,,,,,,,,,,,,
SAA6008_00994,10,28,31,14,16,2,8,6,5,6,7,9,7,25,7,1,9,7,2,1,,,,,,,,,,,,,,,,,,,,
SAA6008_00995,56,52,54,33,27,10,17,6,6,7,7,13,4,1,5,4,1,2,0,5,,,,,,,,,,,,,,,,,,,,
SAA6008_00996,13,43,52,12,12,40,106,106,55,21,18,41,36,46,18,24,102,67,34,14,,,,,,,,,,,,,,,,,,,,
SAA6008_00997,21,30,39,18,30,45,121,129,72,65,65,107,178,196,48,43,114,145,63,37,,,,,,,,,,,,,,,,,,,,
SAA6008_00998,33,71,93,53,50,76,185,290,160,96,108,225,322,295,96,84,217,318,109,78,,,,,,,,,,,,,,,,,,,,
SAA6008_00999,30,48,63,31,85,64,107,140,75,134,118,140,172,141,113,43,131,179,72,76,,,,,,,,,,,,,,,,,,,,
SAA6008_01000,189,310,416,199,213,215,458,507,339,301,309,542,518,532,272,180,457,487,226,195,,,,,,,,,,,,,,,,,,,,
SAA6008_01001,1,12,7,2,2,3,20,4,0,3,1,2,1,3,3,1,18,5,4,6,,,,,,,,,,,,,,,,,,,,
SAA6008_01002,21,35,39,14,15,32,74,34,24,12,5,13,17,8,8,14,70,50,16,8,,,,,,,,,,,,,,,,,,,,
SAA6008_01003,16,20,20,11,11,26,47,15,21,21,1,3,2,2,9,13,48,18,24,13,,,,,,,,,,,,,,,,,,,,
