key,Gal_NO_A,Gal_NO_B,Gal_A,Gal_B
SAUSA300_0455,700,763,1243,1421
SAUSA300_0456,869,826,1246,2353
SAUSA300_0457,6800,5771,12344,15741
SAUSA300_0458,338,318,206,251
SAUSA300_0459,692,716,640,512
SAUSA300_0460,7148,5863,6735,7140
SAUSA300_0461,844,796,724,772
SAUSA300_0462,899,909,718,849
SAUSA300_0463,1229,988,1038,1138
SAUSA300_0464,271,289,346,265
SAUSA300_0465,525,622,521,543
SAUSA300_0466,383,434,514,476
SAUSA300_0467,2586,2451,3962,4141
SAUSA300_0468,5089,4381,7333,7827
SAUSA300_0469,788,630,1391,1490
SAUSA300_0470,700,713,1133,1212
SAUSA300_0471,82372,76147,51437,51591
SAUSA300_0472,9443,9298,6425,5989
SAUSA300_0473,7766,7364,4842,4941
SAUSA300_0474,34978,33854,32414,20867
SAUSA300_0475,35972,35054,25138,21339
SAUSA300_0476,40,56,66,68
SAUSA300_0477,3331,3416,3816,3793
SAUSA300_0478,4535,4726,5359,5444
SAUSA300_0479,27786,23975,36241,49670
SAUSA300_0480,822,843,605,627
SAUSA300_0481,845,855,967,923
SAUSA300_0482,862,922,988,1037
SAUSA300_0483,2372,2445,2203,2186
SAUSA300_0484,3973,4292,3798,3478
SAUSA300_0485,4110,4222,3563,3688
SAUSA300_0486,19282,20938,11887,9241
SAUSA300_0487,1502,1959,2588,2165
SAUSA300_0488,3046,3007,3841,4213
SAUSA300_0489,15168,14338,15927,17500
SAUSA300_0490,1749,1835,1162,1388
SAUSA300_0491,10034,10337,7502,7163
SAUSA300_0492,685,774,706,721
SAUSA300_0493,1361,1385,1980,1834
SAUSA300_0494,2100,1901,2891,2860
SAUSA300_0495,2528,1832,3342,3859
SAUSA300_0496,7076,6920,10674,10241
SAUSA300_0497,7256,7134,13907,17556
SAUSA300_0498,6265,5937,10718,20790
SAUSA300_0499,686,674,1224,1384
SAUSA300_0500,4462,3925,7750,10869
SAUSA300_0501,887,884,1306,2406
SAUSA300_0502,6340,6104,12357,15645
SAUSA300_0503,52,31,66,46
SAUSA300_0504,541,512,711,746
SAUSA300_0505,594,621,733,769
SAUSA300_0506,2882,2658,7526,7539
SAUSA300_0507,1666,1671,2205,2159
SAUSA300_0508,2354,2284,2343,2245
SAUSA300_0509,2015,1943,1961,1937
SAUSA300_0510,3816,4059,4731,4480
SAUSA300_0511,1789,1941,3667,3804
SAUSA300_0512,1181,1036,1924,2100
SAUSA300_0513,3051,3199,4306,4092
SAUSA300_0514,855,824,1030,1094
SAUSA300_0515,1061,1203,1968,2093
SAUSA300_0516,1241,1139,2211,2121
SAUSA300_0517,1660,1728,3113,2832
SAUSA300_0518,1119,914,1548,1642
SAUSA300_0519,608,575,710,895
SAUSA300_0520,6377,6476,7971,7904
SAUSA300_0521,12097,12157,13706,13186
SAUSA300_0522,41091,52227,53990,74424
SAUSA300_0523,35504,38666,43277,65352
SAUSA300_0524,24677,22316,44651,77552
SAUSA300_0525,38112,31505,58171,101475
SAUSA300_0526,1168,1120,2653,2968
SAUSA300_0527,27472,29341,22298,22584
SAUSA300_0528,40000,42192,31272,34950
SAUSA300_0529,9941,7232,14958,15760
SAUSA300_0530,20595,21477,35102,42721
SAUSA300_0531,59832,69230,62587,115909
SAUSA300_0532,58215,63222,51515,100757
SAUSA300_0533,102214,144153,62233,150535
SAUSA300_0534,430,337,295,291
SAUSA300_0535,6015,6865,8943,10309
SAUSA300_0536,2360,2152,1460,1387
SAUSA300_0537,577,541,880,885
SAUSA300_0538,3611,3436,19310,20099
SAUSA300_0539,5102,4480,5198,5047
SAUSA300_0540,1995,2021,1831,1644
SAUSA300_0541,1509,1394,1374,1452
SAUSA300_0542,389,329,216,238
SAUSA300_0543,1290,1277,868,804
SAUSA300_0544,3627,3665,977,911
SAUSA300_0545,4893,4282,1481,1600
SAUSA300_0546,3265,3249,280,261
SAUSA300_0547,11038,10896,4495,4465
SAUSA300_0548,467,416,456,407
SAUSA300_0549,323,370,376,382
SAUSA300_0550,1371,1403,937,879
SAUSA300_0551,5379,5302,2397,2352
SAUSA300_0552,4900,5212,1800,2036
SAUSA300_0553,5439,5826,2773,2376
SAUSA300_0554,967,1099,1402,1224
SAUSA300_0555,4370,5159,10704,7463
SAUSA300_0556,6214,6050,11659,9367
SAUSA300_0557,1821,2016,1436,1675
SAUSA300_0558,2001,2005,1527,1608
SAUSA300_0559,91,96,64,62
SAUSA300_0560,229,228,317,317
SAUSA300_0561,89,74,115,99
SAUSA300_0562,3819,4155,4487,4075
SAUSA300_0563,728,755,979,1077
SAUSA300_0564,1042,1348,1904,1956
SAUSA300_0565,596,693,962,1108
SAUSA300_0566,742,815,1696,1735
SAUSA300_0567,518,526,606,575
SAUSA300_0568,368,328,454,450
SAUSA300_0569,5390,5647,7295,6857
SAUSA300_0570,5710,5370,10831,10416
SAUSA300_0571,5582,5151,10610,9748
SAUSA300_0572,848,861,2236,2043
SAUSA300_0573,1170,1298,4194,3351
SAUSA300_0574,484,579,1955,1645
SAUSA300_0575,1181,1283,1006,701
SAUSA300_0576,347,377,357,346
SAUSA300_0577,227,253,174,152
SAUSA300_0578,0,0,1,2
SAUSA300_0579,251,228,136,133
SAUSA300_0580,88,81,50,76
SAUSA300_0581,108,91,99,77
SAUSA300_0582,268,241,179,230
SAUSA300_0583,86,85,67,66
SAUSA300_0584,92,112,77,115
SAUSA300_0585,76,59,84,49
SAUSA300_0586,54,55,54,50
SAUSA300_0587,129,100,121,106
SAUSA300_0588,86,73,44,74
SAUSA300_0589,396,396,751,897
SAUSA300_0590,1385,1009,3889,4064
SAUSA300_0591,1156,1084,803,722
SAUSA300_0592,1604,1652,1310,1373
SAUSA300_0593,3161,2958,3178,3557
SAUSA300_0594,1300,1342,5942,4510
SAUSA300_0595,944,899,771,824
SAUSA300_0596,2101,1806,2227,2226
SAUSA300_0597,42,27,44,45
SAUSA300_0598,910,877,1098,1100
SAUSA300_0599,309,316,312,277
SAUSA300_0600,1001,958,716,794
SAUSA300_0601,1531,1565,1230,1300
SAUSA300_0602,18170,16362,27912,27592
SAUSA300_0603,395,360,349,448
SAUSA300_0604,1528,1489,942,1060
SAUSA300_0605,9413,10128,17828,15436
SAUSA300_0606,218,223,174,142
SAUSA300_0607,0,0,1,1
SAUSA300_0608,1,0,1,0
SAUSA300_0609,3,4,1,2
SAUSA300_0610,1,1,1,0
SAUSA300_0611,10,17,4,20
SAUSA300_0612,68,80,31,38
SAUSA300_0613,23,18,23,19
SAUSA300_0614,14,0,21,19
SAUSA300_0615,22,14,30,64
SAUSA300_0616,34,39,65,60
SAUSA300_0617,1889,1849,795,836
SAUSA300_0618,64546,71398,52252,94258
SAUSA300_0619,40880,43296,45628,62878
SAUSA300_0620,47615,47656,45615,73997
SAUSA300_0621,8856,8104,5005,4676
SAUSA300_0622,762,869,675,638
SAUSA300_0623,3299,3542,1877,1528
SAUSA300_0624,5496,5817,3062,2807
SAUSA300_0625,4407,3567,2240,2201
SAUSA300_0626,798,707,683,626
SAUSA300_0627,927,932,765,736
SAUSA300_0628,1358,1189,1135,1017
SAUSA300_0629,526,651,377,350
SAUSA300_0630,2606,2640,1828,1688
SAUSA300_0631,5149,4875,5380,5458
SAUSA300_0632,2381,2508,1851,1693
