,MS2contr_R1,MS2contr_R2,MS2RsaA_R1,MS2RsaA_R2,raw_MS2totRNA,raw_MS2RsaAtotRNA
HG001_01302,408,583,258,400,727,733
HG001_01303,1620,1892,1812,2163,2024,2338
HG001_01304,2226,2591,1544,1898,27287,30201
HG001_01307,4160,5201,3027,3778,10259,10513
HG001_01308,1750,2431,1314,1696,17520,17344
HG001_01309,7792,19186,5936,11410,8814,8569
HG001_01310,35584,95560,26095,62282,6635,7383
HG001_01311,76,150,105,117,36796,44457
HG001_01312,299,288,353,298,599,567
HG001_01313,229,209,253,206,814,840
HG001_01314,882,1776,536,1237,707,684
HG001_01315,2250,4599,1483,3318,8749,8343
HG001_01316,718,1106,423,856,9546,9674
HG001_01317,1126,1596,795,1144,2879,2792
HG001_01318,907,1201,653,926,3027,2908
HG001_01319,68,94,56,77,2849,2901
HG001_01320,8365,10127,8596,9682,660,746
HG001_01321,146,179,166,209,26553,25355
HG001_01322,331,457,283,430,306,333
HG001_01323,2196,3371,1664,2579,566,628
HG001_01324,1602,2631,1006,2081,3050,3252
HG001_01325,487,954,251,742,2570,2917
HG001_01326,609,971,407,759,1329,1378
HG001_01327,0,2,1,1,1531,1487
HG001_01328,420,890,226,636,20,21
HG001_01329,1775,4316,1111,3056,2931,2675
HG001_01330,1332,3128,1106,2012,6145,5417
HG001_01331,283,713,288,460,3528,3164
HG001_01332,1474,2965,1102,2589,1590,1370
HG001_01333,558,1845,526,1600,80269,84127
HG001_01334,786,2297,686,1866,4635,4294
HG001_01335,2686,3964,3188,5870,6251,5681
HG001_01336,1110,1727,1066,1303,55786,58000
HG001_01337,118,199,70,125,1138,1190
HG001_01338,942,1700,881,1087,569,516
HG001_01339,19155,16802,19483,14453,1960,1834
HG001_01340,4747,3565,4344,2972,31059,34380
HG001_01341,1368,1648,1728,1247,3706,3840
HG001_01342,107,188,169,190,2196,2202
HG001_01343,42,77,29,84,1379,1219
HG001_01344,17,53,25,64,1314,1109
HG001_01345,26,62,14,43,1177,1009
HG001_01346,1,2,1,5,307,260
HG001_01347,1,6,3,4,10,10
HG001_01348,1,3,0,1,9,10
HG001_01349,1,0,0,1,9,10
HG001_01350,35,118,51,160,1,7
HG001_01351,15,24,24,34,2037,1530
HG001_01352,1,5,1,2,32,57
HG001_01353,1,0,1,1,8,11
HG001_01354,2,1,1,0,24,25
HG001_01355,10,14,6,6,4,12
HG001_01356,37,47,27,55,11,17
HG001_01357,14,10,9,9,44,43
HG001_01358,160,112,119,101,158,146
HG001_01359,198,130,205,99,20,28
HG001_01360,3317,2377,2960,1741,222,215
HG001_01361,3,1,0,1,79,90
HG001_01362,2,3,4,1,1039,1168
HG001_01363,19,25,22,19,10,8
HG001_01364,10,10,8,14,12,17
HG001_01365,2,2,2,1,186,240
HG001_01366,5,7,5,5,120,147
HG001_01367,3,3,1,6,33,36
HG001_01368,8,9,5,6,36,54
HG001_01369,69,90,51,55,10,21
HG001_01370,28,44,24,27,38,46
HG001_01371,131,172,76,132,197,235
HG001_01372,40,45,27,37,82,111
HG001_01373,1,1,1,1,279,278
HG001_01374,0,0,1,1,107,109
HG001_01375,187,127,175,117,5,8
HG001_01376,586,307,462,236,8,15
HG001_01377,108,65,82,46,149,210
HG001_01378,536,365,429,288,298,363
HG001_01379,3,5,5,6,64,81
HG001_01380,4,3,3,1,397,482
HG001_01381,9,5,6,5,21,30
HG001_01382,8,7,6,6,4,12
HG001_01384,24,16,14,12,8,14
HG001_01385,4,2,7,7,25,39
HG001_01386,7,6,5,0,4,9
HG001_01387,9,5,6,3,6,10
HG001_01388,3,8,3,3,16,17
HG001_01389,2,2,1,2,9,7
HG001_01390,6,3,1,4,2,10
HG001_01391,2,3,1,0,7,10
HG001_01392,2,4,1,1,3,8
HG001_01393,4,3,4,1,4,11
HG001_01394,1,2,1,0,12,14
HG001_01395,31,23,15,16,1,3
HG001_01396,9,13,12,15,100,83
HG001_01397,18,22,17,11,87,89
HG001_01398,2,3,5,2,123,146
HG001_01399,1,0,0,1,26,25
HG001_01400,0,0,2,0,14,31
HG001_01401,2,0,1,0,6,6
HG001_01402,2,2,2,1,16,9
HG001_01403,703,1243,350,981,10,29
HG001_01404,1,0,0,2,966,1029
HG001_01405,1,0,0,0,27,37
HG001_01406,277,571,225,353,5,12
HG001_01407,311,982,314,653,3110,2097
HG001_01408,90,414,115,269,2035,1486
HG001_01409,148,470,182,358,883,661
HG001_01410,353,508,385,403,303,243
HG001_01411,146,377,102,257,179,152
HG001_01412,193,341,229,276,37,11
HG001_01413,1308,866,1714,572,702,800
HG001_01414,463,272,600,147,1672,1257
HG001_01415,661,1038,540,939,538,372
HG001_01416,1230,2469,1042,2019,6639,6548
HG001_01417,526,1331,284,933,11468,10949
HG001_01418,270,529,144,339,3286,3066
HG001_01419,808,1160,429,678,989,917
HG001_01420,7,4,3,11,2699,2292
HG001_01421,124,325,89,294,75,88
HG001_01422,181,401,192,343,1779,1269
HG001_01423,43,78,51,101,1705,1449
HG001_01424,471,826,271,634,541,489
HG001_01425,20,40,21,38,4065,4257
HG001_01426,55,82,42,83,149,143
HG001_01427,118,482,81,322,428,430
HG001_01428,132,358,106,229,1688,1500
HG001_01429,800,2396,692,1993,1939,1753
HG001_01430,878,2007,502,1640,11631,11697
HG001_01431,672,1234,403,1110,4085,4108
HG001_01432,120,272,65,215,5029,5422
HG001_01433,179,321,69,238,1305,1200
HG001_01434,10910,13485,6211,10392,1945,1619
HG001_01435,1930,2449,1260,1831,48804,45817
HG001_01436,0,5,0,3,4476,4322
HG001_01437,1140,2607,1161,2077,167,36
HG001_01438,913,1377,832,1072,4205,3337
HG001_01439,8692,7355,5007,5656,1309,1153
HG001_01440,8046,6129,4417,4811,9733,11456
HG001_01441,11693,7664,6664,6033,5878,7299
HG001_01442,19211,11569,13418,9807,5868,7138
HG001_01443,10194,8284,8889,6907,8164,9112
HG001_01444,501,559,512,470,9082,9403
HG001_01445,2192,3794,1237,2793,1885,1950
HG001_01446,478,752,308,596,4418,4516
HG001_01447,3173,6121,2013,4322,662,817
HG001_01448,882,1592,615,1239,5949,6069
HG001_01449,539,957,357,704,2260,2380
HG001_01450,2132,2786,1018,2083,1659,1592
HG001_01451,642,960,327,581,3824,3862
HG001_01452,27746,21385,21830,15632,1448,1533
HG001_01453,5303,7672,2821,5349,10287,11041
HG001_01454,84,131,80,115,8632,7478
HG001_01455,16,43,19,43,537,465
HG001_01456,347,852,305,881,215,180
HG001_01457,335,582,277,537,5442,4131
HG001_01458,12354,11927,6945,9797,2730,2746
HG001_01459,6684,8045,3599,6434,15596,19770
HG001_01460,1531,2211,855,1625,10524,12391
HG001_01461,85,133,75,92,5224,5530
HG001_01462,21,41,20,38,684,554
HG001_01463,2,15,5,3,457,453
HG001_01464,10,7,10,13,21,25
HG001_01465,6,8,7,6,20,18
HG001_01466,4,16,7,7,17,10
HG001_01467,30,13,16,11,17,18
HG001_01468,196,82,149,75,23,20
HG001_01469,11843,10253,7628,8105,70,94
HG001_01470,2996,2123,2075,1828,5863,6296
HG001_01471,8774,7126,6534,5656,2244,2561
HG001_01472,3419,3555,3032,2863,7821,8306
HG001_01473,653,648,367,480,8082,7634
HG001_01474,369,401,300,347,2571,2262
HG001_01475,1884,2478,1485,1828,3134,2930
HG001_01476,5084,4074,3449,3195,11224,9682
HG001_01477,50,173,47,155,25040,22502
HG001_01478,123,360,75,283,821,754
HG001_01479,66,210,39,158,1302,1135
HG001_01480,246,886,155,602,1112,1034
HG001_01481,319,1102,200,573,2110,1749
HG001_01482,686,977,576,844,2090,1745
HG001_01483,389,385,336,309,1793,1719
HG001_01484,7076,6329,4846,5682,694,713
HG001_01485,10521,8412,8735,7081,8234,9790
HG001_01486,2679,2685,2541,1970,7282,7515
HG001_01487,1287,1336,1775,824,3634,3292
HG001_01488,469,745,621,910,2025,1620
HG001_01489,3365,3796,1920,3008,8344,7474
HG001_01490,6072,6153,3317,4382,3859,4421
HG001_01491,1843,1948,1053,1340,5385,5811
HG001_01492,829,1107,574,859,1251,1402
HG001_01493,2754,2767,1623,1920,1170,1123
HG001_01494,2510,2586,1453,1692,2480,2527
HG001_01495,3400,5181,1993,3971,4279,4566
HG001_01496,3504,5255,2005,4022,13145,15051
HG001_01497,1609,2368,1104,1912,14061,15192
HG001_01498,476,968,314,760,7378,8250
HG001_01499,1266,1551,761,1158,20245,18917
HG001_01500,399,570,228,381,2105,2130
HG001_01501,288,461,210,338,622,635
HG001_01502,1762,1660,1161,1196,888,873
HG001_01503,1749,1449,1108,1177,2160,2513
HG001_01504,33562,36017,25361,29741,1952,2298
HG001_01505,3814,3440,3089,2107,42159,42915
HG001_01506,1943,2753,1714,1777,12533,11462
HG001_01507,460,507,378,443,13819,12373
HG001_01508,660,1348,514,1110,693,652
HG001_01509,1775,3050,1186,2760,8894,7630
HG001_01510,78,133,46,103,5663,5641
HG001_01511,43,74,42,50,582,520
HG001_01512,93,223,115,202,293,259
HG001_01513,90,185,112,129,979,928
HG001_01514,642,1047,651,747,234,296
HG001_01515,623,696,541,496,2597,2765
HG001_01516,967,1026,654,768,1653,1625
HG001_01517,881,1246,501,907,1784,2122
HG001_01518,177,302,127,151,2554,2550
HG001_01519,579,1013,385,662,707,757
HG001_01520,1108,1794,697,1218,1738,1760
HG001_01521,527,873,468,582,3138,2864
HG001_01522,691,1075,634,696,1304,1219
HG001_01523,2,10,2,17,1238,1062
HG001_01524,47,71,52,53,131,93
HG001_01525,27,75,47,46,173,138
HG001_01526,2173,2409,2196,2169,334,241
HG001_01527,1017,1150,876,1042,2190,2953
HG001_01528,1428,1551,1155,1531,1212,1622
HG001_01529,239,339,234,328,1886,2451
HG001_01530,553,725,478,691,479,594
HG001_01531,241,334,259,393,1107,1225
HG001_01532,560,897,386,718,566,658
HG001_01533,427,733,301,588,3025,3174
HG001_01534,729,1253,496,972,1849,1936
HG001_01535,342,644,273,461,2679,2589
HG001_01536,88,143,80,93,1190,1097
HG001_01537,476,998,418,728,500,404
HG001_01538,483,857,386,668,6455,6291
HG001_01539,354,637,299,486,4099,4281
HG001_01540,1684,2648,1193,1969,3256,3545
HG001_01541,208,477,197,432,6152,6222
HG001_01542,1800,3584,1316,2487,1649,1258
HG001_01543,617,887,631,760,5700,5503
HG001_01544,2595,4468,2097,3383,923,827
HG001_01545,670,1298,512,1036,5726,5681
HG001_01546,9,16,5,13,3778,3288
HG001_01547,1306,1766,1270,1570,101,130
HG001_01548,2507,1819,1583,1702,9170,11886
HG001_01549,219,363,379,405,4440,6970
HG001_01550,15792,14475,11847,10520,2022,2266
HG001_01551,849,1291,896,1092,8518,8129
HG001_01552,1259,5758,1094,2858,3513,2995
HG001_01553,1375,1815,1130,1515,224270,184484
HG001_01554,360,543,316,492,4856,5216
HG001_01555,832,768,782,730,1456,1438
HG001_01556,2156,2157,1759,1822,4006,3512
HG001_01557,417,491,351,443,3025,3254
HG001_01558,3258,3876,2474,3120,1167,1221
HG001_01559,378,499,239,409,7164,7843
HG001_01560,1075,1472,948,1164,1627,1511
HG001_01561,1573,5143,1011,3752,2554,2777
HG001_01562,498,775,428,549,9963,10106
HG001_01563,4499,5062,3451,3606,1805,1745
HG001_01564,5977,6025,4880,4640,4284,4240
HG001_01565,5599,6451,4051,4624,3483,3568
HG001_01566,2297,2712,1488,1953,3886,3828
HG001_01567,840,1113,607,799,2458,2181
HG001_01568,2550,3423,1583,2493,1242,1197
HG001_01569,415,824,306,603,4951,4565
HG001_01570,163,369,139,291,7077,7862
HG001_01571,538,975,398,806,3056,3285
HG001_01572,43,232,37,163,9619,9242
HG001_01573,263,684,107,351,1786,1377
HG001_01574,101,395,143,338,3249,2598
HG001_01575,42,123,77,113,2984,2702
HG001_01576,10,19,12,27,737,691
HG001_01577,0,4,1,4,65,77
HG001_01578,9118,9496,5929,7208,116,65
HG001_01579,13296,9683,7963,7120,6604,7638
HG001_01580,93,270,123,317,11117,11831
HG001_01581,64,175,39,110,4413,4191
HG001_01582,433,734,600,1009,1012,858
HG001_01583,5506,5171,3763,4645,1625,1602
HG001_01584,2252,2256,1432,1918,10013,10243
HG001_01585,747,1019,558,773,3541,3815
HG001_01586,1635,2206,1005,1848,1237,1341
HG001_01587,1074,1752,1153,1566,5620,6042
HG001_01588,24264,33802,30661,28962,5328,5138
HG001_01589,50,109,40,102,38246,40281
HG001_01590,2307,5832,1552,3891,624,495
HG001_01591,1071,3039,595,1969,7422,6324
HG001_01592,212,762,168,464,15075,13453
HG001_01593,75,230,51,155,1730,1334
HG001_01594,463,1707,317,873,582,533
HG001_01595,288,921,260,510,7676,6444
HG001_01596,467,1669,397,1181,5279,4376
HG001_01597,215,283,191,207,10642,8858
HG001_01598,10017,11048,12353,9771,163,140
HG001_01599,1257,1528,2256,1743,6274,7938
HG001_01600,20445,24384,35112,25146,1927,2743
HG001_01601,680,1594,1064,1579,57135,63199
HG001_01602,958,1723,786,1346,9691,8326
HG001_01603,1143,2070,910,1355,3837,3741
HG001_01604,311,572,302,420,3901,3757
HG001_01605,5004,11989,2001,10676,1765,1619
HG001_01606,1310,1760,1485,1939,52918,55264
HG001_01607,1122,1716,1061,1487,5035,5545
HG001_01608,2646,4635,2212,3664,4287,4890
HG001_01609,66,259,66,356,11986,11235
HG001_01610,1182,1594,739,1262,3300,4244
HG001_01611,320,474,218,356,11462,10712
HG001_01612,8059,9519,4166,7313,3452,3031
HG001_01613,1716,2754,731,2058,12430,12865
HG001_01614,324,798,1963,4330,4533,4608
HG001_01615,0,1,0,0,7975,8643
HG001_01616,1,3,2,1,2,4
HG001_01617,25479,28344,14354,21382,2,0
HG001_01618,4466,5414,3770,4023,30896,32287
HG001_01619,3099,3619,1811,2831,7465,6879
HG001_01620,4417,4802,2944,3871,2895,3015
HG001_01621,3218,3580,2012,2482,2771,2547
HG001_01622,2909,5653,2004,4751,3934,3259
HG001_01623,647,1277,453,1119,14617,16237
HG001_01624,300,739,233,647,4201,3995
HG001_01625,682,1015,407,735,4261,4236
HG001_01626,2084,1794,1814,1794,23483,19043
HG001_01627,5698,10301,5839,7843,12756,12840
HG001_01628,9610,21681,15298,27524,6287,5261
HG001_01629,3021,4890,3777,4497,65977,61884
HG001_01630,1081,1757,631,1387,42603,38176
HG001_01631,591,691,320,473,8608,7923
HG001_01632,498,648,382,609,2347,2044
HG001_01633,216,260,196,290,5914,5022
HG001_01634,496,495,318,449,354,352
HG001_01635,165,223,116,173,480,456
HG001_01636,7141,24369,4278,15978,342,381
HG001_01637,44,117,30,94,24514,23380
HG001_01638,503,1316,468,1479,602,533
HG001_01639,235,365,220,341,15971,15236
HG001_01640,864,680,709,550,525,481
HG001_01641,684,377,505,368,2295,2149
HG001_01642,957,584,767,562,395,471
HG001_01643,1333,1468,1344,1485,494,650
HG001_01644,9654,14181,7785,10873,1652,1758
HG001_01645,1279,2221,996,1572,6450,6264
HG001_01646,595,1228,563,867,2291,1966
HG001_01647,390,1224,399,920,2063,1773
HG001_01648,30,108,21,111,1514,1297
HG001_01649,771,841,1289,640,1696,1147
HG001_01650,663,622,606,456,1135,1170
HG001_01651,87098,68772,36515,52457,663,652
HG001_01652,2594,5894,1753,5252,1,0
HG001_01653,263,728,362,738,107205,101519
HG001_01654,718,2396,914,2148,10268,9519
HG001_01655,565,1789,1404,3069,849,688
HG001_01656,335,679,266,600,2584,2073
HG001_01657,6490,10434,5916,6876,16995,17101
HG001_01658,1261,2056,1627,2116,6706,6328
HG001_01659,1093,1431,732,1208,16978,21028
HG001_01660,6131,7073,3352,5099,31837,39630
HG001_01661,493,713,308,536,10724,10320
HG001_01662,391,666,232,403,22833,22895
HG001_01663,1291,936,1005,808,2331,2219
HG001_01664,1534,1368,1112,1216,2945,2579
HG001_01665,58,177,42,186,2415,2144
HG001_01666,517,834,922,967,3837,3700
HG001_01667,5847,12184,4898,8603,2695,2950
HG001_01668,7913,13700,6810,10248,2844,2614
HG001_01669,1328,2850,822,2401,6469,7191
HG001_01670,945,2611,652,2164,11175,12680
HG001_01671,900,1436,741,1087,6789,6012
HG001_01672,1693,2650,1225,1944,8356,6889
HG001_01673,2258,4052,1995,2860,5319,6609
HG001_01674,363,1323,222,815,1995,1805
HG001_01675,427,579,406,574,2523,2347
HG001_01676,265,333,200,349,2622,2153
HG001_01677,3417,4053,2232,3242,727,1055
HG001_01678,90,161,105,139,791,870
HG001_01679,131,209,110,216,7107,6847
HG001_01680,774,1006,640,827,1176,863
HG001_01681,664,926,656,707,650,833
HG001_01682,352,708,1172,1152,852,930
HG001_01683,4,6,1,3,655,642
HG001_01684,8,7,3,8,7823,6323
HG001_01685,811,1437,1361,1742,9,14
HG001_01686,1688,3280,855,2482,10,16
HG001_01687,34,71,33,78,7553,6987
HG001_01688,86,187,48,188,13284,12621
HG001_01689,52,84,35,93,233,295
HG001_01690,131,156,72,188,459,582
HG001_01691,102,104,99,104,232,274
HG001_01692,182,288,605,487,499,571
HG001_01693,40,65,36,52,1257,1325
HG001_01694,158,247,117,203,985,1031
HG001_01695,94,156,93,144,207,190
HG001_01696,4791,4446,5416,5125,534,568
HG001_01697,513,609,707,671,329,326
HG001_01698,257,155,176,123,6775,7310
HG001_01699,105,53,56,61,1479,1396
HG001_01700,5,20,4,21,99,114
HG001_01701,24,26,9,15,65,94
HG001_01702,39,103,21,77,200,205
HG001_01703,0,4,1,13,89,68
HG001_01704,26,43,31,41,1034,1017
HG001_01705,11,23,8,16,99,121
HG001_01706,1,1,2,0,77,81
HG001_01707,293,228,208,253,54,68
HG001_01708,899,1304,900,1307,0,1
HG001_01709,135,497,59,346,2,0
HG001_01710,40,122,50,106,2805,2663
HG001_01711,37317,47344,21776,37918,3183,3434
HG001_01712,59,109,130,140,2010,2012
HG001_01713,0,1,0,0,302,234
HG001_01714,202,289,97,232,134484,138833
HG001_01715,152,143,83,92,597,638
HG001_01716,27,69,24,72,0,2
HG001_01717,908,866,567,627,899,933
HG001_01718,460,498,327,394,438,377
HG001_01719,8,4,11,18,820,804
HG001_01720,3045,5932,2227,7603,1714,1569
HG001_01721,4448,7815,2979,9358,1463,1431
HG001_01722,41,120,19,123,55,55
HG001_01723,14,73,9,73,11945,20152
HG001_01724,64,211,51,209,16382,28856
HG001_01725,24,47,32,52,518,648
HG001_01726,8,7,11,8,259,308
HG001_01727,60,100,110,146,474,554
HG001_01728,27,55,38,51,330,258
HG001_01729,4,13,2,7,47,42
HG001_01730,18,53,18,51,412,373
HG001_01731,282,574,306,415,226,209
HG001_01732,156,284,169,282,111,133
HG001_01733,125,191,88,171,221,180
HG001_01734,40,50,38,40,966,816
HG001_01735,42,47,51,48,767,794
HG001_01736,50,54,42,41,625,811
HG001_01737,37,32,26,43,49,71
HG001_01738,23,35,10,24,57,51
HG001_01739,6,14,8,13,39,52
HG001_01740,1,1,0,0,30,58
HG001_01741,910,624,1049,737,29,29
HG001_01742,982,1044,1087,1222,14,21
HG001_01743,5633,6354,4374,6695,39,25
HG001_01744,2668,3361,2013,3190,1694,2127
HG001_01745,32,81,43,43,1237,1889
HG001_01746,191,269,142,150,3399,4964
HG001_01747,388,741,334,419,1855,2384
HG001_01748,114,173,78,96,146,107
HG001_01749,9,23,13,20,484,378
HG001_01750,5,6,6,4,1606,1092
HG001_01751,9,31,16,28,427,292
HG001_01752,32,127,34,114,51,65
HG001_01753,0,2,0,0,21,30
HG001_01754,0,0,0,1,197,225
HG001_01755,1,1,0,1,2816,2049
HG001_01756,1,1,0,4,2,8
HG001_01757,1,1,0,0,0,1
HG001_01759,0,0,1,0,2,3
HG001_01761,5,8,6,13,0,3
HG001_01762,115,130,74,110,1,2
HG001_01763,3490,5471,1832,4387,11,8
HG001_01764,2454,3321,1401,2585,795,960
HG001_01765,2182,3001,1441,2219,7169,7121
HG001_01766,603,1386,627,1158,3214,3042
HG001_01767,203,375,522,658,2957,2555
HG001_01768,342,339,488,343,6095,5092
HG001_01769,176,854,240,676,3793,3313
HG001_01770,1258,2796,1797,2464,1785,1728
HG001_01771,2,6,1,3,2673,2501
HG001_01772,1334,4058,2469,3153,11230,13360
HG001_01773,6554,5552,6560,5218,116,122
HG001_01774,19209,18194,17782,16004,6563,6476
HG001_01775,2426,2964,1870,2429,5505,6346
HG001_01776,1455,6580,744,4678,14814,16341
HG001_01777,643,539,544,545,5555,5702
HG001_01778,57,131,31,87,17183,13623
HG001_01779,94,145,43,105,436,520
HG001_01780,152,304,71,187,1464,1144
HG001_01781,204,669,165,603,863,716
HG001_01782,543,1320,426,1166,1089,988
HG001_01783,11,52,12,30,2094,1826
HG001_01784,1120,1564,1382,1253,12731,11798
HG001_01785,7902,8390,8917,6903,325,284
HG001_01786,747,789,603,700,4173,5682
HG001_01787,1586,1748,1118,1477,15063,19624
HG001_01788,676,503,714,404,761,738
HG001_01789,897,743,919,605,1634,1761
HG001_01790,106,150,110,149,280,283
HG001_01791,40,108,17,79,265,289
HG001_01792,2,3,1,1,690,803
HG001_01794,1,1,1,1,16,16
HG001_01795,1,0,0,0,3,2
HG001_01796,1,0,0,0,1,1
HG001_01797,1,1,0,0,0,3
HG001_01798,1,0,0,1,0,1
HG001_01801,2,0,0,1,2,7
HG001_01802,3,1,2,0,3,3
HG001_01805,10,6,3,9,1,0
HG001_01806,5,2,1,3,3,4
HG001_01807,4,0,0,2,22,45
HG001_01808,0,1,0,0,5,14
HG001_01809,1,2,1,1,1,2
HG001_01811,4,2,1,1,12,8
HG001_01812,0,0,0,1,0,3
HG001_01813,1,2,1,1,14,22
HG001_01814,2,1,1,1,6,4
HG001_01815,3,1,0,0,9,15
HG001_01816,2,3,0,2,1,0
HG001_01819,1229,993,766,867,1,1
HG001_01823,1354806,1441879,1507504,1275723,39,77
HG001_01824,807,992,614,644,1,1
HG001_01825,9,2,16,0,1,1
HG001_01826,1595914,2110845,2102679,2536419,18180,16461
HG001_01827,2045,3029,1023,2041,3733,3367
HG001_01828,1623,2808,1030,1890,1829,1574
HG001_01829,502,854,381,627,6347,5834
HG001_01830,504,1045,312,866,8274,6004
HG001_01831,1695,5253,1778,3468,1228,1327
HG001_01832,3349,1896,3049,1864,3757,3401
HG001_01833,439,378,475,301,384,444
HG001_01834,275,244,227,234,3596,3620
HG001_01835,567,765,445,547,2155,2306
HG001_01836,985,1854,957,1742,2909,2748
HG001_01837,903,1250,580,1037,482,420
HG001_01838,90,94,69,77,735,635
HG001_01839,196,179,209,131,2264,2352
HG001_01840,301,452,306,402,14175,17439
HG001_01841,5842,6120,5988,5076,276,317
HG001_01842,222,352,253,226,845,879
HG001_01843,719,698,872,566,101,119
HG001_01844,143,175,312,122,872,820
HG001_01845,538,1622,565,951,4673,3564
HG001_01846,742,733,1351,893,943,722
HG001_01847,39,51,30,11,1325,893
HG001_01848,249,430,181,310,2552,1813
HG001_01849,314,277,318,220,4201,2841
HG001_01850,171,189,221,106,692,432
HG001_01851,21,14,19,4,37,30
HG001_01852,4,2,5,2,484,330
HG001_01853,14,18,29,4,3630,2582
HG001_01854,170,97,175,77,4571,3234
HG001_01855,217,194,235,102,4455,2917
HG001_01856,149,120,154,56,2710,1792
HG001_01857,111,90,172,73,11080,7669
HG001_01858,875,838,1486,880,973,641
HG001_01859,59,39,69,29,1088,710
HG001_01860,78,63,102,42,3177,2357
HG001_01861,93,89,216,91,1284,877
HG001_01862,24,14,96,28,1023,776
HG001_01863,20,22,141,41,1016,737
HG001_01864,15,15,253,75,1318,914
HG001_01865,26,14,126,50,971,698
HG001_01866,14,12,97,27,5330,3782
HG001_01867,133,126,354,99,3353,2545
HG001_01868,189,188,332,74,264,186
HG001_01869,15,16,19,14,958,704
HG001_01870,67,70,55,48,1361,928
HG001_01871,94,95,77,48,1021,708
HG001_01872,46,72,37,33,374,273
HG001_01873,12,8,15,5,515,506
HG001_01874,72,56,62,50,53,45
HG001_01875,7,6,8,9,32,32
HG001_01876,2,6,1,4,1,1
HG001_01877,7,9,6,5,165,162
HG001_01878,13,10,20,14,32,47
HG001_01879,2,1,1,3,476,423
HG001_01880,49,38,41,24,79,78
HG001_01881,7,4,4,5,113,155
HG001_01882,15,4,12,4,143,133
HG001_01883,14,8,11,3,141,131
HG001_01884,11,3,5,3,111,124
HG001_01885,12,4,8,3,104,97
HG001_01886,7,3,8,6,135,139
HG001_01887,9,6,11,7,125,138
HG001_01888,15,4,7,1,57,69
HG001_01889,11,7,4,3,1145,1189
HG001_01890,104,60,90,41,263,260
HG001_01891,24,16,21,9,704,713
HG001_01892,37,23,34,13,713,659
HG001_01893,38,25,41,9,519,528
HG001_01894,25,17,29,8,743,654
HG001_01895,62,23,46,10,362,419
HG001_01896,34,14,35,10,55,59
HG001_01897,9,8,5,5,210,169
HG001_01898,14,3,11,3,48,38
HG001_01899,1,4,4,2,277,243
HG001_01900,15,7,15,2,581,558
HG001_01901,37,24,37,11,178,204
HG001_01902,20,17,33,3,1280,1186
HG001_01903,79,30,92,11,1193,983
HG001_01904,17,22,36,7,411,367
HG001_01905,4,2,12,2,1082,938
HG001_01906,159,314,287,261,335,280
HG001_01907,44,127,48,107,911,794
HG001_01908,76,189,87,178,3871,3220
HG001_01909,438,1241,372,886,197,162
HG001_01910,2,5,0,1,654,543
HG001_01911,20,80,20,62,1333,1206
HG001_01912,78,200,60,179,1729,2077
HG001_01913,290,413,547,829,2258,2545
HG001_01914,359,522,684,971,137,172
HG001_01915,6,14,11,23,3412,4043
HG001_01916,2426,1709,2801,1861,4268,4630
HG001_01917,1507,1625,2077,1836,8341,9941
HG001_01918,2270,1882,1805,1616,3114,3754
HG001_01919,202,406,313,424,3322,3582
HG001_01920,181,355,245,432,1015,1093
HG001_01921,42,103,74,107,824,696
HG001_01922,16,37,14,33,4944,4716
HG001_01923,884,1142,820,878,1079,1024
HG001_01924,85,168,49,138,34,21
HG001_01925,0,1,0,2,1740,1583
HG001_01926,89,267,97,242,2534,2578
HG001_01927,176,479,175,439,12832,11205
HG001_01928,1160,1493,1741,2861,370,372
HG001_01929,27,39,22,36,1450,1317
HG001_01930,197,328,261,305,1435,1373
HG001_01931,119,240,126,213,1680,1714
HG001_01932,704,888,537,702,3036,3095
HG001_01933,534,849,403,794,12643,12941
HG001_01934,38625,27720,27909,23266,7419,7011
HG001_01935,32235,23173,26835,18985,1138,920
HG001_01936,3204,2304,2916,1796,2932,2759
HG001_01937,113,493,175,600,3880,4156
HG001_01938,2113,3134,1378,2379,2967,3616
HG001_01939,2987,3208,1685,2600,2101,2230
HG001_01940,2972,2720,1465,2303,398,434
HG001_01941,267,244,161,197,2092,1646
HG001_01942,250,487,284,373,5824,4893
HG001_01943,1352,2256,1144,1403,225,401
HG001_01944,25,40,41,74,223,342
HG001_01945,11,21,15,38,306,377
HG001_01946,48,97,34,75,1284,1424
HG001_01947,157,374,128,375,2305,2328
HG001_01948,298,734,278,644,2116,1863
HG001_01949,327,930,280,699,10284,10043
HG001_01950,27273,37005,45014,26003,7072,6369
HG001_01951,14589,20181,22074,13792,3085,3541
HG001_01952,1760,1932,1571,1837,1356,1431
HG001_01953,424,318,391,303,1761,1939
HG001_01954,201,769,176,864,10486,12012
HG001_01955,3307,14032,1713,9957,9114,9912
HG001_01956,1111,3124,1086,3098,4531,4387
HG001_01957,4556,4356,4113,3387,57,75
HG001_01958,1,7,6,9,5087,4322
HG001_01959,291,557,740,1046,305,264
HG001_01960,55,92,47,106,4384,3815
HG001_01961,2347,3617,1973,2776,1920,1495
HG001_01962,759,1086,594,826,1658,1337
HG001_01963,423,609,406,427,2310,1633
HG001_01964,320,459,226,246,9976,5578
HG001_01965,152,690,17,461,18571,11464
HG001_01966,819,2135,113,1295,6536,3485
HG001_01967,77,535,11,327,14239,8310
HG001_01968,910,2409,126,1343,5976,3450
HG001_01969,358,982,73,584,196,92
