,111171_A,111171_B,111171_C,111171_D,111171_E,111171_F,111171_G,111171_H,111171_I,111171_J,111171_K,111171_L
RSAU_000001,2386,3175,2940,2549,2678,2299,3088,3738,3279,2135,2057,1253
RSAU_000002,3640,3830,3805,3129,3363,3063,3501,4528,3790,2402,2401,1775
RSAU_000003,15,23,20,18,18,36,17,28,31,17,15,16
RSAU_000004,2040,2660,2236,1951,2244,1837,1863,2536,2211,1394,1510,1074
RSAU_000005,2003,2647,2393,2379,2474,2230,2145,2908,2152,1410,1339,898
RSAU_000006,7947,9228,8708,7997,8341,7680,6821,9486,8378,4869,4592,3357
RSAU_000007,323,306,299,287,224,273,309,371,288,242,259,276
RSAU_000008,1401,1186,1259,1145,1004,1149,1186,1491,1302,995,1068,769
RSAU_000009,1271,1077,1259,1047,985,1038,1012,1293,1058,608,598,535
RSAU_000010,89,66,74,63,50,69,79,88,78,108,132,122
RSAU_000011,63,50,55,37,41,39,50,69,57,65,76,58
RSAU_000012,119,97,111,78,91,114,117,106,117,117,167,84
RSAU_000013,830,947,834,559,683,670,660,973,810,656,645,443
RSAU_000014,5072,5490,5744,4848,4747,4783,4736,6270,5357,3411,3654,2388
RSAU_000015,1162,1244,1426,1262,1175,1180,1098,1459,1299,742,850,538
RSAU_000016,2584,2722,2941,2420,2424,2497,2633,3345,2860,1762,1919,1310
RSAU_000017,489,379,549,445,385,614,386,615,543,137,200,152
RSAU_000018,2,0,0,0,0,0,4,3,0,0,0,2
RSAU_000019,0,1,2,1,0,0,0,0,1,0,1,1
RSAU_000020,2011,2405,2154,1805,1783,1659,1995,2599,2093,1196,1403,1018
RSAU_000021,5093,6478,5712,5105,5366,4730,5142,6432,5611,3160,3356,2236
RSAU_000022,4025,5115,5239,5154,4062,3711,4545,5617,4876,2452,2554,1620
RSAU_000023,2014,2362,2415,2150,2001,1878,2066,2496,2161,1159,1199,824
RSAU_000024,1053,937,894,782,867,910,749,941,807,644,749,486
RSAU_000025,774,709,810,808,676,715,793,960,851,546,535,354
RSAU_000026,4,2,6,4,4,6,3,11,2,2,2,2
RSAU_000027,68,94,86,94,78,70,89,112,92,55,51,49
RSAU_000028,61,80,57,60,53,40,60,70,33,44,25,31
RSAU_000029,35,27,21,46,27,23,13,23,26,17,10,13
RSAU_000030,167,203,168,242,165,186,166,202,169,116,88,91
RSAU_000031,161,181,147,252,116,132,116,162,147,100,89,57
RSAU_000036,717,747,748,609,598,601,580,822,670,437,541,350
RSAU_000037,56,44,40,28,41,29,42,39,33,20,16,22
RSAU_000038,240,229,245,157,193,212,167,280,224,153,181,115
RSAU_000039,121,102,127,83,103,112,105,134,124,92,114,69
RSAU_000040,206,208,160,146,200,166,161,247,146,111,95,66
RSAU_000041,120,157,162,152,141,135,105,162,154,73,58,42
RSAU_000042,819,849,741,555,673,619,636,797,693,461,587,372
RSAU_000043,111,112,112,108,109,94,131,154,141,61,61,50
RSAU000044_tr_a,123,144,130,110,114,109,111,172,108,71,75,75
RSAU000044_tr_b,108,160,153,144,128,114,145,201,133,88,85,58
RSAU_000047,87,118,105,83,103,91,93,131,123,66,67,48
RSAU_000048,94,94,89,82,71,69,82,114,77,48,58,40
RSAU_000049,32,19,22,25,16,20,27,67,36,31,17,21
RSAU_000050,4,1,0,1,4,1,3,4,6,1,1,1
RSAU_000051,8,4,5,5,6,8,6,9,8,10,2,3
RSAU_000052,9,21,11,14,17,5,13,15,10,8,2,6
RSAU_000053,15,14,20,23,10,10,10,24,24,11,7,4
RSAU_000054,2,7,1,4,6,2,9,2,2,3,2,1
RSAU_000055,34,40,44,49,54,42,38,60,50,25,13,7
RSAU_000056,5,12,9,15,10,9,6,12,13,5,8,5
RSAU_000057,12,15,10,21,14,20,17,19,9,3,13,8
RSAU_000058,1009,1110,977,817,924,852,797,1032,871,602,688,465
RSAU_000059,149,190,142,96,147,85,126,146,146,89,71,62
RSAU_000060,208,278,184,151,240,150,85,129,102,98,137,122
RSAU_000061,2030,1864,1845,1328,1439,1486,1444,1884,1613,1256,1451,1094
RSAU_000062,221,237,202,218,189,199,205,274,236,146,159,103
RSAU_000063,147,145,103,86,128,95,93,151,105,79,96,75
RSAU_000064,3252,3069,2885,2420,2597,2636,2709,3684,2939,2130,2329,1942
RSAU_000066,646,558,566,490,534,534,458,603,562,375,368,322
RSAU_000067,624,670,429,307,483,354,521,822,616,369,502,359
RSAU_000068,24,17,22,21,14,21,23,26,29,10,14,12
RSAU_000069,67,52,65,60,36,85,87,98,78,27,18,11
RSAU_000070,8,4,13,7,6,7,8,14,9,4,13,2
RSAU_000071,13,14,14,5,5,9,7,11,15,6,9,2
RSAU_000072,31,24,32,16,13,25,31,49,31,19,17,9
RSAU_000073,17,14,33,14,15,16,25,38,26,16,13,5
RSAU_000074,42,42,45,39,31,33,38,53,34,12,26,12
RSAU_000075,56,61,59,42,40,31,53,69,70,13,23,29
RSAU_000076,26,16,27,23,25,26,16,31,22,11,16,4
RSAU_000077,42,51,31,24,29,28,22,48,34,9,23,22
RSAU_000078,64,68,40,44,60,36,52,69,38,35,39,17
RSAU_000079,6,2,8,6,9,6,10,18,10,3,9,7
RSAU_000080,127,157,109,118,121,93,123,170,112,92,110,85
RSAU_000081,1425,1524,1265,1053,1224,1157,1076,1273,1056,886,1134,866
RSAU_000082,2,2,2,3,2,0,4,1,5,2,1,3
RSAU_000083,3,2,2,3,2,2,1,0,1,0,1,1
RSAU_000084,7,4,7,8,6,8,11,13,11,3,3,2
RSAU_000085,7,12,12,9,10,11,13,15,20,5,4,16
RSAU_000086,114,131,106,84,105,96,99,110,98,70,64,63
RSAU_000087,340,280,296,202,166,209,290,372,276,193,294,246
RSAU_000088,283,231,230,192,199,185,238,276,253,163,236,147
RSAU_000089,370,362,370,280,324,270,334,377,321,211,222,182
RSAU_000090,46,60,63,38,64,58,53,92,75,31,38,21
RSAU_000091,242,259,237,190,279,206,216,340,273,145,120,97
RSAU_000092,693,587,632,542,618,580,682,751,579,382,453,308
RSAU_000093,1534,1127,1277,1170,1637,1515,1250,1545,1212,765,859,678
RSAU_000094,45,24,38,29,27,33,39,44,31,27,27,19
RSAU_000095,21,30,19,26,25,12,21,35,23,13,10,10
RSAU_000096,23,25,33,27,30,24,34,31,34,15,16,5
RSAU_000097,59,67,67,77,45,63,56,112,90,43,55,33
RSAU_000098,32,43,60,66,35,39,51,75,54,48,54,27
RSAU_000099,281,253,250,225,242,196,233,319,250,194,217,177
RSAU_000100,32,44,31,25,46,26,23,41,34,25,27,25
RSAU_000101,500,461,431,385,425,401,389,527,380,339,279,276
RSAU_000102,74,59,49,38,78,45,63,65,67,48,47,30
RSAU_000103,185,266,176,129,194,143,203,348,284,154,187,140
RSAU_000104,294,468,403,334,398,261,418,609,457,290,335,225
RSAU_000105,326,478,382,337,330,249,472,761,546,263,325,190
RSAU_000106,661,1096,770,697,820,606,919,1493,1110,615,652,473
RSAU_000107,283,462,348,370,364,259,465,688,498,209,247,171
RSAU_000108,310,607,398,307,386,325,471,752,542,300,300,231
RSAU_000109,506,809,634,513,579,498,728,1094,798,426,433,296
RSAU_000110,398,568,477,451,492,391,631,842,629,321,338,249
RSAU_000111,442,732,497,330,563,459,587,1018,647,320,365,233
RSAU_000112,138,178,136,126,198,115,195,276,159,78,97,84
RSAU_000113,287,402,353,274,454,346,384,611,452,249,239,169
RSAU_000114,391,665,575,399,535,434,627,1007,729,365,453,259
RSAU_000115,121,186,157,145,158,119,209,273,198,70,82,49
RSAU_000116,304,480,477,350,396,346,486,761,541,247,287,185
RSAU_000117,605,906,818,637,750,715,952,1498,1134,509,564,340
RSAU_000118,696,860,794,710,690,707,848,1336,1081,453,548,361
RSAU_000119,49,30,51,28,17,37,42,40,39,29,28,13
RSAU_000120,31,20,39,21,9,22,22,24,24,19,21,10
RSAU_000121,17240,16748,15809,14577,12729,13441,13312,17220,13114,10364,11475,10652
RSAU_000122,235,224,221,148,226,174,199,261,206,131,137,111
RSAU_000123,7,8,5,3,5,5,4,9,4,2,2,4
RSAU_000124,41,53,30,31,33,29,29,52,43,19,10,20
RSAU_000125,11,14,18,9,14,7,12,17,10,8,5,8
RSAU_000126,20,27,21,24,17,18,25,20,17,16,22,10
RSAU_000127,15,22,12,7,15,14,26,21,15,9,10,5
RSAU_000128,41,50,33,25,36,45,41,53,34,27,36,40
RSAU_000129,4284,3867,3400,3095,3168,3076,2973,3912,2932,3264,3287,2651
RSAU_000130,29046,26982,29423,28387,22958,25492,22774,30557,25517,23690,25616,16080
RSAU_000131,3009,2446,2886,2943,2280,2484,2218,2873,2447,2365,2475,1724
RSAU_000132,808,885,542,370,723,523,508,574,542,313,378,271
RSAU_000133,53,44,42,38,34,41,32,45,37,29,37,27
RSAU_000134,37,44,55,47,35,34,30,56,57,38,57,29
RSAU_000135,20,38,17,20,17,23,23,22,18,8,19,11
RSAU_000136,15,15,20,19,15,14,21,35,24,20,11,9
RSAU_000137,622,557,609,497,421,486,493,653,613,430,475,425
RSAU_000138,2445,2781,2893,2460,2377,2238,2669,3497,3139,2089,1722,1331
RSAU_000139,3214,3537,3377,2832,2719,2681,3341,4302,3672,2352,2128,1700
RSAU_000140,2258,2264,2106,1947,2037,2038,1656,2338,1918,1797,2110,1470
RSAU_000141,0,0,0,0,0,0,0,0,0,0,0,0
rsaK,0,0,0,0,0,0,0,0,0,0,0,0
RSAU_000142,3228,3962,3524,3292,2837,2928,3091,4408,3544,2355,2305,1532
RSAU_000143,2304,2793,2721,2939,2453,2544,2629,3232,2771,1639,1853,1161
RSAU_000144,5021,5511,5176,5193,4734,4872,4691,6674,5379,3543,3745,2580
RSAU_000145,5890,6170,6207,5782,5298,5391,5221,7098,5988,4377,4311,3064
RSAU_000146,170,167,183,156,138,143,162,224,167,114,97,82
RSAU_000147,1397,1686,1583,1479,1464,1382,1535,1935,1664,918,840,651
RSAU_000148,447,467,438,333,363,357,357,523,391,309,267,273
RSAU_000149,1349,1393,1268,1054,1198,992,1211,1413,1260,1071,1160,849
RSAU_000150,155,131,140,94,125,143,146,171,173,142,155,144
RSAU_000151,187,144,188,126,136,140,122,183,189,138,176,111
RSAU_000152,244,220,297,240,168,206,243,275,259,171,261,167
RSAU_000153,269,225,248,290,251,274,294,353,256,213,273,176
RSAU_000154,218,246,210,187,194,167,185,204,175,177,172,139
RSAU_000155,1312,1452,1305,1003,892,1025,962,1371,1043,1103,1294,1091
RSAU_000156,143,127,115,80,107,88,111,142,110,101,128,94
RSAU_000157,24,26,22,28,24,15,25,34,27,21,20,8
RSAU_000158,39,45,49,62,43,36,40,62,71,45,35,21
RSAU_000159,47,55,44,42,54,41,51,58,47,43,48,25
RSAU_000160,27,31,28,30,23,23,30,32,43,35,26,18
RSAU_000161,93,90,64,63,62,75,88,85,84,58,57,43
RSAU_000162,51,56,63,44,47,48,41,62,57,38,37,37
RSAU_000163,84,85,71,64,78,62,60,93,80,53,50,48
RSAU_000164,14,5,13,9,12,6,14,27,7,12,11,7
RSAU_000165,78,84,70,40,62,48,67,76,67,22,37,30
rsaG,16,20,13,12,10,12,20,14,11,6,19,9
RSAU_000167,108,130,112,130,104,124,111,147,140,72,81,41
RSAU_000168,223,289,311,282,220,226,253,361,280,141,132,82
RSAU_000169,144,139,150,103,151,114,134,204,150,92,91,62
RSAU_000170,189,212,211,211,207,222,150,170,160,91,92,58
RSAU_000171,138,129,123,91,99,93,115,121,114,83,95,56
RSAU_000172,76,69,73,61,69,72,83,118,79,62,59,56
RSAU_000173,13,12,9,10,12,8,19,7,13,17,12,14
RSAU_000174,40,51,53,20,44,27,48,86,53,26,29,21
RSAU_000175,167,173,222,177,154,155,230,234,207,123,118,85
RSAU_000176,792,899,817,783,654,703,647,865,734,415,519,413
RSAU_000177,968,1072,1001,813,802,836,781,1076,813,444,569,486
RSAU_000178,410,438,467,365,438,451,407,488,382,202,280,178
RSAU_000179,694,784,839,699,596,638,652,958,857,338,486,309
RSAU_000180,2953,2728,2661,2037,1957,2249,2273,2926,2513,1604,2351,1705
RSAU_000181,326,304,288,278,261,264,279,416,316,192,217,176
RSAU_000182,317,394,372,339,317,263,306,342,324,168,222,100
RSAU_000183,42,67,60,75,64,51,59,67,47,23,31,19
RSAU_000184,25,30,31,36,35,28,31,36,28,20,18,13
RSAU_000185,254,304,280,242,232,207,201,285,219,127,175,122
RSAU_000186,476,371,279,412,523,434,102,93,66,53,69,55
RSAU_000187,177,194,138,114,176,133,138,196,158,114,121,94
RSAU_000188,443,461,425,366,405,419,433,537,435,205,209,183
RSAU_000189,38,35,39,32,29,26,42,52,39,21,31,19
RSAU_000190,3,5,4,6,5,4,5,3,3,4,5,1
RSAU_000191,4,4,2,1,2,2,1,2,3,0,1,2
RSAU_000192,23,18,18,16,17,18,26,24,18,7,6,6
RSAU_000193,36,33,25,25,24,24,28,43,36,24,18,15
RSAU_000194,101,117,89,78,80,63,82,127,91,44,66,43
RSAU_000195,463,534,595,440,471,393,520,772,546,338,431,226
RSAU_000196,460,616,549,497,489,430,561,717,636,390,407,261
RSAU_000197,1195,1349,1213,994,1082,1041,1120,1399,1219,791,862,596
RSAU_000198,849,909,791,690,729,677,803,1024,848,513,506,432
RSAU_000199,912,1036,844,669,861,803,735,995,858,469,487,362
RSAU_000200,2257,2387,2292,1788,2320,2055,1914,2544,2196,1246,1207,833
RSAU_000201,4759,5654,5114,4613,4955,4472,4308,5745,4920,2705,2660,1819
RSAU_000202,6463,7246,6843,5995,6587,5921,5524,7629,6497,3629,3347,2724
RSAU_000203,206,257,214,182,188,192,160,227,193,130,164,107
RSAU_000204,2,1,1,4,2,1,3,5,1,2,5,4
RSAU_000205,11,9,9,9,5,13,4,11,8,10,6,9
RSAU_000206,41,40,40,41,36,41,43,49,43,30,48,19
RSAU_000207,463,470,412,360,395,352,437,478,381,330,330,232
RSAU_000208,158,141,149,126,139,141,155,152,165,109,87,56
RSAU_000209,322,212,201,164,161,191,174,251,162,262,360,285
RSAU_000210,2469,1771,1772,1648,1394,1560,1428,1734,1335,2238,3442,2519
RSAU_000211,1800,1548,1361,1057,1261,1232,1329,1888,1359,1196,1214,1042
RSAU_000212,24,20,25,16,15,16,32,38,22,19,19,14
RSAU_000213,126,162,132,128,105,96,111,174,133,100,92,95
RSAU_000214,47,39,54,40,36,39,43,55,52,14,28,25
RSAU_000215,272,339,255,221,251,232,271,378,315,144,195,142
RSAU_000216,59,51,60,39,48,48,45,67,52,24,40,29
RSAU_000217,179,172,177,137,131,159,191,256,210,114,123,111
RSAU_000218,428,475,403,314,341,339,306,476,338,278,330,257
RSAU_000219,4,2,5,5,6,2,6,6,9,3,2,5
RSAU_000220,200,135,199,143,138,127,141,187,168,122,144,96
RSAU_000221,110,140,148,113,123,119,93,151,111,67,96,69
RSAU_000222,2036,1828,2033,1595,1564,1616,1426,1641,1299,1161,1517,1055
RSAU_000223,36,34,25,28,38,23,25,40,34,11,15,14
RSAU_000224,27,35,32,21,15,22,37,32,16,15,19,8
RSAU_000225,15,14,11,16,10,16,9,16,14,11,9,7
RSAU_000226,73,75,52,82,71,56,54,88,53,66,63,60
RSAU_000227,289,263,273,259,259,251,273,311,300,206,241,164
RSAU_000228,583,443,426,191,226,332,465,669,508,384,473,333
RSAU_000229,159,164,178,179,142,165,195,252,207,157,99,87
RSAU_000230,14,23,25,22,25,11,20,25,18,18,10,11
RSAU_000231,1,1,1,2,2,0,1,1,1,2,1,1
RSAU_000232,29,34,41,37,34,32,38,54,39,17,29,16
RSAU_000233,227,280,269,300,236,236,276,403,371,190,156,105
RSAU_000234,10,12,21,9,9,7,11,20,12,12,10,7
RSAU_000235,9,12,10,17,15,10,10,26,23,8,7,7
RSAU_000236,11,28,31,16,11,32,26,32,33,17,17,12
RSAU_000237,5,5,5,6,3,4,6,12,6,4,5,5
RSAU_000238,31,51,53,64,50,41,46,91,61,27,41,27
RSAU_000239,31,56,33,33,29,28,25,62,28,17,13,18
RSAU_000240,15,20,11,17,14,20,18,22,11,14,2,3
RSAU_000241,225,231,178,129,165,174,152,224,172,112,130,117
RSAU_000242,11,14,5,9,4,10,16,18,15,5,5,5
RSAU_000243,22,30,28,14,21,15,20,40,13,12,18,12
RSAU_000244,24,24,25,20,29,27,16,39,36,17,17,11
RSAU_000245,3,2,1,0,3,1,2,3,4,2,2,0
RSAU_000246,0,1,0,2,0,1,0,4,0,2,2,0
RSAU_000247,3,7,2,5,3,2,4,15,2,4,2,0
RSAU_000248,16,23,8,12,12,11,19,26,17,6,5,5
RSAU_000249,106,120,117,82,107,99,92,146,104,89,55,84
RSAU_000250,157,150,127,123,133,121,137,150,137,116,85,88
RSAU_000251,104,132,72,91,130,126,42,47,19,39,31,21
RSAU_000252,1267,1157,1080,873,916,909,1004,1366,1141,911,1142,893
RSAU_000253,149,99,151,129,109,119,132,178,144,101,77,85
RSAU_000254,437,597,453,335,387,304,413,660,472,216,246,208
RSAU_000255,603,796,557,468,627,435,576,830,634,291,312,286
RSAU_000256,363,399,298,236,370,293,347,496,368,282,382,261
RSAU_000257,20,14,19,23,25,23,14,39,16,7,17,8
RSAU_000258,33,36,39,24,28,35,30,37,28,38,39,16
RSAU_000259,89,69,53,58,53,48,60,77,64,36,49,38
RSAU_000260,506,585,455,414,508,374,416,498,447,345,333,296
RSAU_000261,210,266,201,151,165,169,168,187,177,114,118,106
RSAU_000262,243,304,231,208,215,180,235,272,254,141,188,123
RSAU_000263,471,421,364,350,365,291,389,453,421,236,256,215
RSAU_000264,377,452,366,315,333,325,379,426,368,293,250,199
RSAU_000265,544,367,550,324,294,418,343,523,424,587,844,564
RSAU_000266,3453,4245,4214,3477,2543,2660,4037,5248,4089,2566,2983,2061
RSAU_000267,395,364,310,294,325,290,311,390,346,213,230,181
RSAU_000268,237,242,252,200,197,184,185,269,226,141,193,145
RSAU_000269,96,96,99,82,82,73,88,149,110,66,59,46
RSAU_000270,43,36,35,26,30,27,36,43,45,16,25,18
RSAU_000271,100,108,134,122,108,147,85,154,106,54,86,55
RSAU_000272,128,134,123,114,101,114,84,143,132,57,63,35
RSAU_000273,111,124,159,141,96,155,105,177,144,54,71,55
RSAU_000274,410,439,415,408,398,400,418,521,393,235,227,180
RSAU_000275,161,158,138,146,118,115,128,154,172,103,118,113
RSAU_000276,6,5,3,5,5,7,3,9,4,4,3,4
RSAU_000277,18,18,22,20,15,8,17,19,11,7,9,6
RSAU_000278,111,107,101,98,94,81,104,124,110,70,70,56
RSAU_000279,178,195,145,114,132,124,121,188,163,115,131,106
RSAU_000280,30,27,19,11,23,20,13,23,20,14,23,18
RSAU_000281,21,19,22,12,11,21,19,24,16,15,18,12
RSAU_000282,1017,899,892,779,846,764,1020,1177,996,726,777,589
RSAU_000283,291,471,335,274,268,239,292,415,298,186,205,172
RSAU_000284,826,1024,899,650,745,630,605,925,706,570,600,462
RSAU_000285,645,907,681,497,637,573,468,740,594,430,521,409
RSAU_000286,327,354,274,226,301,250,247,313,288,166,226,171
RSAU_000287,205,188,164,117,138,133,143,189,169,191,206,178
RSAU_000288,9,12,9,9,10,3,14,13,14,8,10,11
RSAU_000289,24,44,30,34,27,35,40,49,51,44,33,16
RSAU_000290,125,141,113,100,111,85,107,112,112,98,116,71
RSAU_000291,296,246,231,215,202,185,261,285,212,161,178,190
RSAU_000292,55,40,46,51,38,33,51,58,36,43,49,41
RSAU_000293,128,117,99,76,69,88,111,154,87,77,97,93
RSAU_000294,0,2,0,1,0,0,0,1,0,2,0,0
RSAU_000295,16,30,16,11,18,17,19,28,23,19,18,11
RSAU_000296,63,90,66,46,64,41,45,89,58,33,26,24
RSAU_000297,155,199,145,130,154,133,157,220,167,108,117,96
RSAU_000298,247,172,201,147,204,186,211,241,234,198,224,153
RSAU_000299,1354,1304,1294,992,1183,1146,1114,1477,1271,654,705,581
RSAU_000300,296,236,259,217,212,226,208,258,260,203,242,173
RSAU_000301,224,206,253,204,189,176,213,289,257,187,272,117
RSAU_000302,97,103,132,108,88,87,125,158,148,135,149,88
RSAU_000303,59,37,44,37,28,41,46,71,64,53,72,39
RSAU_000304,35,50,46,38,36,32,46,63,52,40,60,54
RSAU_000305,39,89,63,71,72,63,68,94,90,54,62,32
RSAU_000306,75,114,76,94,90,73,81,142,107,51,54,37
RSAU_000307,16,17,18,22,23,16,21,21,19,10,6,7
RSAU_000308,573,715,565,570,576,528,583,798,594,318,303,226
RSAU_000309,17,24,12,14,14,14,8,26,28,18,17,9
RSAU_000310,347,298,283,246,231,307,259,498,329,206,217,158
RSAU_000311,1067,1005,1159,1090,865,965,1203,1449,1111,694,814,684
RSAU_000312,534,499,606,585,450,553,654,702,527,325,443,332
RSAU_000313,95,110,127,111,121,78,138,158,142,97,111,79
RSAU_000315,30,35,30,29,38,28,29,40,16,23,24,26
RSAU_000316,2,2,2,4,2,3,3,6,3,2,5,1
RSAU_000317,266,311,262,208,262,218,188,382,347,198,305,247
RSAU_000318,558,583,406,236,329,394,449,759,441,297,341,292
RSAU_000319,571,694,375,369,591,537,412,741,517,464,636,444
RSAU_000320,121,149,100,69,135,115,105,101,108,79,71,73
RSAU_000321,796,874,1016,949,834,775,907,1116,925,462,531,325
RSAU_000322,1287,1415,1453,1148,1311,1258,1149,1621,1297,803,799,569
RSAU_000323,78264,73062,81082,55037,51804,62782,48489,65642,55984,30671,45162,35894
RSAU_000324,17923,17487,17341,10234,10520,13081,9976,14674,11467,5673,8039,6664
RSAU_000325,1473,823,1051,894,1359,1070,805,784,559,663,973,689
RSAU_000326,9317,6989,7476,5648,5014,6184,8080,9289,8612,6609,7564,6169
RSAU_000328,4734,4325,5357,5324,3995,4438,4626,5398,4938,2740,3040,2332
RSAU_000329,1050,999,994,824,815,800,906,1179,1002,704,731,599
RSAU_000330,2124,2663,2248,1614,2159,1788,1728,2726,1945,1265,1553,1310
RSAU_000332,883,902,773,644,667,583,844,1140,898,807,789,484
RSAU_000333,1787,1821,1724,1371,1520,1435,1839,2269,1994,1742,1729,1194
RSAU_000334,4465,4356,4290,4051,3731,3810,4285,5406,4599,3386,3666,2406
RSAU_000335,6828,6295,6390,5805,5682,5762,5969,7391,6466,5409,6111,4186
RSAU_000336,1518,1712,1373,1240,1585,1165,1493,1718,1337,1167,976,879
RSAU_000337,78,67,93,79,59,73,97,115,77,81,86,68
RSAU_000338,29,20,24,31,12,22,17,44,24,25,40,17
RSAU_000339,199,206,215,202,179,189,204,291,234,216,199,167
RSAU_000340,317,281,336,356,258,253,340,397,355,311,267,237
RSAU_000341,125,107,125,85,78,133,123,189,148,121,124,101
RSAU_000342,46,75,61,59,47,46,65,80,64,60,49,43
RSAU_000343,66,75,60,62,50,54,71,87,67,42,65,44
RSAU_000344,1196,1264,1271,1031,1134,954,1088,1281,1093,867,730,599
RSAU_000345,75,73,78,57,61,56,77,88,67,58,46,46
RSAU_000346,0,0,0,0,0,0,0,0,0,0,0,0
RSAU_000347,0,0,0,0,0,0,0,0,0,0,0,0
RSAU_000348,56,59,56,49,50,50,65,92,66,57,36,33
RSAU_000349,100,129,93,63,73,73,104,141,109,68,66,68
RSAU_000350,90,129,95,98,99,60,67,98,64,50,59,48
RSAU_000351,389,454,352,248,264,230,228,320,246,184,167,168
RSAU_000352,125,98,95,54,70,82,68,141,85,68,67,65
RSAU_000353,26,26,16,20,24,31,24,33,16,29,21,11
RSAU_000354,25,26,25,20,19,14,25,41,8,11,6,5
RSAU_000355,4,4,3,4,7,2,1,3,5,3,1,0
RSAU_000356,59,35,59,42,42,33,64,79,68,35,46,43
RSAU_000357,4,10,9,3,7,7,7,7,12,7,4,1
RSAU_000358,8,11,6,13,3,13,13,5,5,8,6,5
RSAU_000359,24,24,25,18,24,24,28,36,30,19,14,27
RSAU_000360,398,450,429,407,392,413,449,498,420,298,334,216
RSAU_000361,322,383,361,424,325,376,324,418,353,258,236,165
RSAU_000362,1286,1659,1105,1088,1475,1167,716,1211,971,1227,1119,1013
RSAU_000363,4728,5447,4730,4504,5168,4070,3219,4625,3621,4197,3566,3531
RSAU_000364,1,7,2,6,6,7,7,1,3,0,3,1
RSAU_000365,128,113,139,105,117,112,122,148,136,80,76,64
RSAU_000366,409,444,275,181,230,283,224,375,260,264,405,233
RSAU_000367,1,6,2,2,3,2,6,4,4,1,0,1
RSAU_000368,4,9,6,6,7,6,9,12,14,9,3,2
RSAU_000369,12,15,20,19,15,13,18,21,22,9,2,2
RSAU_000370,9,16,13,18,22,14,7,24,24,9,5,1
RSAU_000371,0,2,0,0,3,1,0,1,2,2,0,0
RSAU_000372,3,3,1,2,2,1,8,5,2,1,0,2
RSAU_000373,5,6,2,4,1,6,5,4,3,4,0,0
RSAU_000374,2,3,1,5,1,5,3,7,9,7,0,2
RSAU_000375,160,209,152,208,203,141,165,246,215,86,79,54
RSAU_000376,461,670,546,574,666,495,528,656,541,255,227,189
RSAU_000377,94,104,98,139,103,67,90,117,104,47,60,20
RSAU_000378,143,192,165,130,157,151,145,166,153,78,57,57
RSAU_000379,257,185,288,269,138,218,235,312,252,221,247,159
RSAU_000380,53,58,59,52,54,46,52,66,56,30,43,31
RSAU_000381,26285,30109,26137,21327,23825,19783,22611,28206,19179,21351,20721,20026
RSAU_000382,28909,32250,24933,18084,17770,22064,18646,37812,19034,18113,17665,17818
RSAU_000383,76,163,105,128,80,109,87,141,100,117,83,87
RSAU_000384,66,83,79,94,58,62,60,77,41,58,56,42
RSAU_000385,1141,1962,731,710,1477,697,1002,1378,1065,580,643,416
RSAU_000386,5204,7371,3875,4257,5686,3161,5322,5986,4854,2317,2694,1728
RSAU_000387,1030,1269,726,703,1102,633,931,1169,858,465,576,341
RSAU_000388,15,19,15,7,13,10,8,10,10,10,9,10
RSAU_000389,559,504,541,385,450,416,444,608,487,314,280,270
RSAU_000390,905,866,819,719,768,811,701,818,770,477,572,418
RSAU_000391,279,264,200,171,224,160,230,283,246,248,212,175
RSAU_000392,1272,1384,1158,869,1034,951,992,1097,948,662,730,667
RSAU_000393,3999,4333,3844,3020,3191,3129,3023,3891,3115,1964,2323,1755
RSAU_000394,264,176,230,173,105,169,187,293,237,329,463,340
RSAU_000395,110,61,109,92,53,93,85,121,117,152,167,137
RSAU_000396,362,233,447,285,211,298,324,415,341,485,689,530
RSAU_000397,305,320,267,188,234,326,238,450,286,222,220,210
RSAU_000398,1737,1685,1810,1485,1367,1538,1502,2058,1501,1209,1391,1168
RSAU_000399,621,532,437,338,431,439,397,599,469,323,452,298
RSAU_000400,85,88,90,59,72,103,70,95,94,74,63,83
RSAU_000401,421,431,396,347,357,340,363,429,382,278,296,246
RSAU_000402,414,423,392,320,425,356,416,489,407,216,212,217
RSAU_000403,425,524,402,389,437,367,527,608,549,285,277,212
RSAU_000404,110,130,123,125,115,101,132,167,147,90,66,63
RSAU_000405,117,108,156,119,105,123,139,172,151,157,175,106
RSAU_000406,81,65,89,83,58,61,76,95,74,97,98,73
RSAU_000407,27,22,20,21,15,15,22,15,16,21,20,7
RSAU_000408,4744,4585,3969,4207,3818,3446,3993,5256,3773,2849,3430,2611
RSAU_000409,813,577,750,702,700,727,749,997,725,634,700,535
RSAU_000410,701,569,678,646,529,600,626,814,621,503,480,413
RSAU_000411,83,99,77,54,81,71,63,96,63,60,59,47
RSAU_000412,1144,1178,1163,1170,1045,1063,1115,1465,1187,943,943,651
RSAU_000413,270,120,195,195,270,277,249,286,170,166,149,107
RSAU_000414,855,809,780,728,920,761,727,987,744,539,505,373
RSAU_000415,0,0,3,1,0,26,0,0,10,0,1,1
RSAU_000416,2,1,4,7,2,87,1,0,34,1,9,8
RSAU_000417,0,0,0,0,0,0,0,0,0,0,0,0
RSAU_000418,190,247,197,188,185,184,162,215,201,105,96,94
RSAU_000419,129,122,103,95,109,106,103,166,104,72,72,56
