,111171_A,111171_B,111171_C,111171_D,111171_E,111171_F,111171_G,111171_H,111171_I,111171_J,111171_K,111171_L
RSAU_001808,1271,1406,1224,1030,1209,1150,1067,1395,1243,822,962,682
RSAU_001809,332,360,439,625,335,359,391,408,361,295,296,280
RSAU_001810,1200,1089,1020,961,978,969,896,1306,997,964,806,810
RSAU_001811,1303,1196,1322,1307,1003,1008,1261,1426,1257,1509,1198,1149
RSAU_001812,191,159,125,134,131,143,162,212,159,134,169,126
RSAU_001813,1163,1260,1137,943,1082,966,1072,1518,1299,857,735,725
RSAU_001814,1330,1362,1298,1521,1330,1215,1210,1412,1172,888,651,673
RSAU_001816,1788,1843,1682,1888,1771,1570,1708,2042,1719,1271,969,868
RSAU_001817,665,627,566,475,559,411,541,763,544,443,400,393
RSAU_001818,4,7,7,4,7,7,5,8,13,3,4,3
RSAU_001819,673,874,629,516,789,635,552,751,533,682,685,558
RSAU_001820,571,583,558,460,550,501,565,660,575,374,389,278
RSAU_001821,683,617,695,579,657,621,626,760,615,389,345,272
RSAU_001822,410,425,410,340,373,332,357,427,340,219,202,167
RSAU_001823,293,239,307,311,245,260,283,334,284,168,146,136
RSAU_001824,3518,3585,3423,2620,2961,2702,2699,3570,2761,1893,1945,1790
RSAU_001825,1420,1507,1230,865,1156,930,1042,1341,1205,683,542,553
RSAU_001826,1191,1235,1028,856,920,760,856,1175,1006,551,449,440
RSAU_001827,471,586,471,306,375,310,317,502,366,198,138,119
RSAU_001828,551,595,494,340,454,370,392,545,448,281,168,180
RSAU_001829,39,48,22,28,30,39,31,46,33,24,17,19
RSAU_001830,27,29,16,19,18,29,14,28,23,22,15,5
RSAU_001831,2496,2734,2415,2022,2292,1938,1971,2529,2064,1389,1301,1125
RSAU_001832,52,33,36,34,26,25,45,50,40,22,27,22
RSAU_001833,204,194,162,172,148,108,152,192,172,95,93,80
RSAU_001837,76,70,62,59,40,46,68,82,68,49,39,30
RSAU_001838,33,32,25,19,24,21,28,32,31,7,7,9
RSAU_001839,762,911,765,642,865,611,711,1135,830,391,546,407
RSAU_001840,230,231,246,170,219,202,231,336,270,196,220,204
RSAU_001841,24,27,24,17,20,16,23,39,21,16,11,18
RSAU_001842,131,140,105,96,106,97,130,216,137,110,66,86
RSAU_001843,34,39,34,49,32,34,35,52,32,42,40,24
RSAU_001844,42,30,48,42,38,55,32,60,52,39,46,25
RSAU_001845,55,48,35,33,36,37,34,42,43,26,23,28
RSAU_001846,11,5,15,8,16,10,8,16,15,8,6,4
RSAU_001847,19,24,21,25,14,15,27,21,22,20,18,15
RSAU_001848,11,18,13,22,18,12,9,29,11,10,25,11
RSAU_001849,73,78,63,79,79,56,66,60,58,54,56,43
RSAU_001850,11,17,10,19,17,6,5,21,14,15,13,9
RSAU_001851,7,4,5,7,6,7,4,3,5,4,4,4
RSAU_001852,1,2,5,5,4,3,3,2,5,6,2,0
RSAU_001853,9,16,13,10,13,11,17,20,9,14,13,12
RSAU_001854,3,4,2,6,4,2,3,2,6,1,2,0
RSAU_001855,4,3,2,0,3,6,1,2,3,1,1,0
RSAU_001856,5,1,4,2,1,4,2,5,4,1,0,6
RSAU_001857,3,2,0,0,0,0,0,4,0,2,2,2
RSAU_001858,289,321,329,285,264,261,327,381,304,218,205,193
RSAU_001859,669,867,967,923,789,676,912,1004,907,507,525,302
RSAU_001860,5621,5957,5566,4351,4512,4427,4663,6325,5405,3510,3589,2836
RSAU_001861,188,200,152,87,121,145,123,229,172,93,107,73
RSAU_001862,1049,1111,973,743,950,932,860,1163,969,644,629,592
RSAU_001863,4260,4230,5089,4593,3742,4138,3662,4828,3976,3264,3661,2662
RSAU_001864,2612,2141,2281,1701,1703,1788,1671,2164,1971,2173,2199,2046
RSAU_001865,1870,1984,1552,1328,1593,1313,1109,1503,1219,1137,1153,1098
RSAU_001866,489292,399229,372741,288748,379338,327924,283182,341055,274832,401919,397218,378165
RSAU_001868,0,0,0,0,0,0,0,0,0,0,0,0
RSAU_001869,9801,10416,8337,6202,7516,7086,7203,9828,7503,5289,4393,3611
RSAU_001870,604,603,529,396,467,402,416,620,414,301,282,218
RSAU_001871,25053,26678,21904,18111,20421,17998,17795,24172,19358,14390,11593,8932
RSAU_001872,19196,19390,17414,14502,16529,13755,15119,18005,15542,11958,10215,7696
RSAU_001873,2527,2588,2343,2009,2263,2031,2057,2683,2235,1471,1337,1021
RSAU_001874,2060,2579,2212,2014,2150,1910,1800,2607,2109,1235,1083,829
RSAU_001875,545,521,520,422,415,478,525,680,544,337,356,349
RSAU_001876,6,5,14,3,9,4,6,2,2,4,3,4
RSAU_001877,81,75,81,66,66,69,73,117,100,61,75,67
RSAU_001878,40,50,37,38,27,35,26,78,56,26,31,20
RSAU_001879,2027,1954,1873,1481,1822,1664,1603,2141,1686,1220,1280,1065
RSAU_001880,582,667,636,630,527,533,541,691,575,383,321,306
RSAU_001881,430,391,376,326,387,343,376,416,342,238,227,214
RSAU_001882,454,577,514,425,426,401,431,629,448,252,286,226
RSAU_001883,138,133,127,148,124,124,142,200,150,110,79,55
RSAU_001884,320,363,319,253,310,272,268,376,344,216,185,161
RSAU_001885,143,179,137,89,110,157,115,223,149,100,112,91
RSAU_001886,79,43,81,57,31,67,56,67,66,138,248,171
RSAU_001887,69,46,66,50,33,59,43,56,62,97,187,118
RSAU_001888,3,2,6,3,4,1,2,2,5,8,8,10
RSAU_001889,8,16,12,27,8,13,10,16,13,30,63,21
RSAU_001890,33,19,33,18,9,33,25,31,27,58,105,48
RSAU_001891,10,19,23,8,19,18,18,22,21,20,66,25
RSAU_001892,20,31,28,24,20,31,23,35,26,45,69,39
RSAU_001893,19,13,18,11,8,14,14,20,16,32,28,20
RSAU_001894,37,47,46,31,29,33,33,56,34,52,96,47
RSAU_001896,15,15,21,18,17,22,22,33,27,10,17,18
RSAU_001897,0,0,0,0,0,0,0,0,0,0,0,0
RSAU_001898,7,6,0,1,1,7,7,3,23,8,2,5
RSAU_001899,0,0,0,0,0,0,0,0,10,0,1,0
RSAU_001900,4,9,2,3,1,4,11,17,16,15,6,6
RSAU_001901,0,2,2,0,2,3,2,2,2,0,0,0
RSAU_001902,491,491,569,469,456,469,461,627,490,266,253,177
RSAU_001903,1266,1386,1515,1308,1190,1250,1207,1567,1392,664,614,483
RSAU_001904,1168,1093,1098,1116,1290,1099,1056,1679,1344,677,697,503
RSAU_001905,248,236,253,231,332,254,244,389,254,193,159,119
RSAU_001906,187,181,240,248,181,180,166,293,206,140,125,111
RSAU_001907,692,763,790,702,733,659,685,909,744,552,537,387
RSAU_001908,1384,1208,1421,1175,1143,1127,1287,1638,1373,1019,1189,978
RSAU_001909,151,172,140,121,160,134,133,185,141,98,139,107
RSAU_001910,1268,1412,1370,1185,1269,1174,1169,1606,1314,772,867,602
RSAU_001911,302,369,354,344,270,343,293,413,360,235,214,168
RSAU_001912,246,351,280,225,269,286,205,323,290,140,167,124
RSAU_001913,1048,1221,1154,1000,1029,931,1071,1360,1126,714,741,536
RSAU_001914,89,90,72,53,73,75,71,100,72,61,53,37
RSAU_001915,97,89,103,74,81,93,80,103,90,68,80,59
RSAU_001916,250,238,236,243,194,215,206,304,242,157,225,124
RSAU_001917,105,117,108,84,100,78,90,137,68,78,91,67
RSAU_001918,775,973,786,831,781,603,869,1116,966,585,539,379
RSAU_001919,220,259,220,212,223,198,218,296,262,133,140,90
RSAU_001920,2585,2372,2631,2540,2016,2292,2246,2753,2342,1181,1269,1041
RSAU_001921,2193,2471,2509,2189,2271,2237,2295,2992,2465,1508,1379,1002
