,WT-qscR-1 raw counts,WT-qscR-2 raw counts,qscR-1 raw counts,qscR-2 raw counts
PA0514,4,7,12,8
PA0515,9,10,19,10
PA0516,27,28,65,29
PA0517,3,1,11,7
PA0518,3,8,10,8
PA0519,89,76,268,170
PA0520,25,29,31,22
PA0521,3,8,1,2
PA0522,0,0,0,0
PA0523,21,5,61,38
PA0524,48,43,109,62
PA0525,92,85,110,60
PA0526,2,1,2,6
PA0527,18,17,12,2
PA0528,5,4,2,0
PA0529,14,13,4,3
PA0530,13,19,4,2
PA0531,13,10,5,1
PA0532,5,4,0,1
PA0533,11,17,5,4
PA0534,689,623,139,85
PA0535,113,91,16,6
PA0536,24,19,13,5
PA0537,13,9,13,4
PA0538,0,5,0,2
PA0539,6,9,2,0
PA0540,3,4,1,0
PA0541,10,2,3,0
PA0542,5,2,2,4
PA0543,31,40,11,9
PA0544,18,15,2,4
PA0545,61,61,6,5
PA0546,54,51,76,31
PA0547,57,84,54,36
PA0548,56,30,53,28
PA0549,10,7,2,3
PA0550,9,4,3,3
PA0551,8,31,5,5
PA0552,13,14,13,8
PA0553,11,4,5,2
PA0554,9,10,4,1
PA0555,37,48,49,25
PA0556,2,4,1,2
PA0557,10,6,1,3
PA0558,4,8,4,5
PA0559,10,18,1,3
PA0560,6,3,0,1
PA0561,5,10,2,1
PA0562,9,6,6,1
PA0563,7,3,2,0
PA0564,6,11,2,5
PA0565,3,7,7,4
PA0566,14,15,7,4
PA0567,0,1,0,0
PA0568,3,1,2,3
PA0569,4,1,1,0
PA0570,0,0,0,0
PA0571,11,5,7,2
PA0572,44,34,20,9
PA0573,4,4,0,1
PA0574,14,11,5,1
PA0575,44,55,21,11
PA0576,200,219,133,65
PA0577,41,38,11,8
PA0578,7,8,2,3
PA0579,13,11,11,4
PA0580,25,19,2,3
PA0581,11,15,3,4
PA0582,2,0,5,0
PA0583,3,3,3,2
PA0584,23,14,9,5
PA0585,2,11,4,1
PA0586,197,213,109,61
PA0587,297,261,86,68
PA0588,1073,1147,482,292
PA0589,1,4,0,1
PA0590,26,26,9,6
PA0591,15,9,3,4
PA0592,8,3,4,1
PA0593,5,10,2,0
PA0594,28,35,12,7
PA0595,100,112,64,50
PA0596,64,77,15,11
PA0597,14,29,5,2
PA0598,16,20,14,3
PA0599,16,21,7,6
PA0600,56,71,17,14
PA0601,27,31,11,7
PA0602,19,12,1,2
PA0603,12,10,3,4
PA0604,7,6,6,5
PA0605,14,15,5,0
PA0606,2,3,2,2
PA0607,5,12,11,2
PA0608,3,8,4,7
PA0609,32,29,10,10
PA0610,71,76,33,23
PA0611,17,13,5,2
PA0612,2,2,3,2
PA0613,10,14,7,10
PA0614,7,17,10,7
PA0615,30,23,18,13
PA0616,22,31,37,16
PA0617,13,8,10,11
PA0618,59,49,43,18
PA0619,30,36,40,18
PA0620,155,147,112,81
PA0621,36,39,44,23
PA0622,147,129,183,120
PA0623,46,30,21,23
PA0624,33,30,24,21
PA0625,185,192,148,128
PA0626,70,58,60,37
PA0627,0,5,3,1
PA0628,64,72,57,29
PA0629,33,29,32,12
PA0630,13,7,5,3
PA0631,3,7,7,3
PA0632,0,1,0,0
PA0633,27,31,32,24
PA0634,18,31,24,13
PA0635,8,6,7,4
PA0636,105,97,114,81
PA0637,10,17,15,13
PA0638,38,42,32,20
PA0639,45,31,36,27
PA0640,25,22,25,16
PA0641,177,209,159,97
PA0642,12,16,10,2
PA0643,46,50,24,14
PA0644,8,10,9,1
PA0645,2,1,1,1
PA0646,44,36,24,14
PA0647,6,1,5,2
PA0648,2,1,1,0
PA0649,12,9,4,2
PA0650,61,46,26,16
PA0651,5,12,9,0
PA0652,20,21,8,14
PA0653,9,1,0,0
PA0654,9,8,7,3
PA0655,32,46,27,32
PA0656,8,11,15,5
PA0657,30,28,17,4
PA0658,7,8,9,2
PA0659,14,17,8,9
PA0660,22,11,6,4
PA0661,4,10,4,3
PA0662,7,21,9,0
PA0663,6,11,6,2
PA0664,6,5,2,3
PA0665,21,16,5,4
PA0666,23,32,20,3
PA0667,45,71,42,23
PA0668,40,40,18,8
PA0669,29,35,4,5
PA0670,13,19,8,1
PA0671,11,8,3,2
PA0672,1,1,1,1
PA0673,0,1,1,0
PA0674,4,9,0,0
PA0675,1,2,0,0
PA0676,5,4,4,0
PA0677,4,2,0,0
PA0678,4,1,0,0
PA0679,3,4,3,0
PA0680,1,1,2,1
PA0681,4,3,0,3
