,Control_180_read,Control_30_read,OCH_180_read,OCH_30_read
PA0666,1176,791,298,1095
PA0667,2875,2527,1226,3335
PA0668,1636,1232,600,1691
PA0669,141,118,121,137
PA0670,49,45,60,36
PA0671,39,20,40,17
PA0672,35,12,35,17
PA0673,50,7,45,15
PA0674,15,7,26,12
PA0675,13,6,19,3
PA0676,37,15,29,14
PA0677,17,4,29,9
PA0678,4,4,14,3
PA0679,18,7,16,7
PA0680,7,5,15,5
PA0681,9,6,13,6
PA0682,12,9,32,8
PA0683,13,8,51,11
PA0684,12,6,31,3
PA0685,51,34,70,35
PA0686,21,15,45,23
PA0687,23,14,70,21
PA0688,113,93,75,93
PA0689,394,339,250,361
PA0690,861,556,760,681
PA0691,12,7,15,13
PA0692,29,13,40,14
PA0693,29,13,73,20
PA0694,4,0,9,3
PA0695,12,5,34,8
PA0696,51,19,60,22
PA0697,112,52,92,70
PA0698,43,25,33,14
PA0699,22,9,34,15
PA0700,5,7,28,4
PA0701,35,10,29,20
PA0701a,47,22,41,21
PA0702,50,29,31,38
PA0703,98,74,94,85
PA0704,227,122,128,123
PA0705,752,806,212,941
PA0706,186,216,80,312
PA0707,16,69,19,78
PA0708,115,78,98,85
PA0709,18,7,18,8
PA0710,19,8,19,7
PA0711,17,9,16,14
PA0712,32,26,13,33
PA0713,40,44,52,23
PA0714,36,44,32,34
PA0715,1450,646,1045,907
PA0716,2170,884,1496,1237
PA0718,58,26,29,18
PA0719,53,27,44,27
PA0720,179,62,73,86
PA0721,10,4,6,9
PA0722,54,21,39,26
PA0723,309,61,190,88
PA0724,203,137,249,147
PA0725,10,21,20,14
PA0726,108,49,104,64
PA0727,90,45,73,60
PA0728,76,31,38,41
PA0729,466,404,237,550
PA0730,318,319,230,264
PA0731,409,164,275,212
PA0732,1091,724,868,684
PA0733,125,119,45,130
PA0734,113,63,36,92
PA0735,271,75,104,107
PA0736,309,135,131,184
PA0736a,112,81,115,71
PA0737,26,11,100,12
PA0738,22,7,10,11
PA0739,77,44,60,37
PA0740,3964,342,193,331
PA0741,651,28,95,70
PA0742,81,27,29,39
PA0743,457,32,141,28
PA0744,2189,55,188,65
PA0745,2791,72,217,66
PA0746,2369,88,147,75
PA0747,2288,210,266,200
PA0749,172,114,55,116
PA0750,651,239,218,346
PA0751,160,63,52,68
PA0752,163,23,40,21
PA0753,35,8,19,4
PA0754,253,29,74,32
PA0755,66,12,30,15
PA0756,77,48,36,65
PA0757,338,212,124,291
PA0758,705,614,196,675
PA0759,381,241,213,322
PA0760,66,101,34,139
PA0761,1502,1045,683,1389
PA0762,1684,1038,1420,1258
PA0763,1074,610,1503,776
PA0764,719,465,454,600
PA0765,202,84,93,122
PA0766,4965,1066,3134,1560
PA0767,2354,4128,673,5255
PA0768,1102,1632,259,1922
PA0769,489,456,136,521
PA0770,1004,1459,250,1626
PA0771,1171,1899,329,2111
PA0772,128,186,45,214
PA0773,596,429,221,504
PA0774,170,239,79,293
PA0775,111,276,58,346
PA0776,40,10,35,11
PA0777,74,48,47,77
PA0778,128,75,77,96
PA0779,2092,161,510,238
PA0780,169,142,151,200
PA0781,40,39,56,46
PA0782,715,4806,330,4972
PA0783,661,2721,179,2939
PA0784,802,335,260,346
PA0785,44,20,29,23
PA0786,5,6,2,7
PA0787,203,105,103,151
PA0788,386,104,257,140
PA0788a,55,23,30,43
PA0789,348,990,93,1827
PA0790,41,67,62,93
PA0791,126,31,73,37
PA0792,511,119,264,193
PA0793,423,110,143,186
PA0794,1555,362,382,629
PA0795,1577,357,450,780
PA0796,695,313,230,567
PA0797,82,106,58,182
PA0798,67,31,73,55
PA0799,420,402,149,565
PA0800,10,3,23,4
PA0801,44,25,71,32
PA0802,10,5,16,8
PA0803,35,3,30,7
PA0804,297,91,172,124
PA0805,918,930,153,1208
PA0806,45,22,49,45
PA0807,100,46,143,52
PA0808,45,23,39,39
PA0809,50,39,85,52
PA0810,129,58,93,78
PA0811,84,47,88,58
PA0812,40,28,55,36
PA0813,70,17,95,39
PA0814,15,5,28,4
PA0815,433,160,274,192
PA0816,154,73,80,81
PA0817,64,32,51,45
PA0818,31,26,18,23
PA0819,9,12,7,6
PA0820,863,321,348,424
PA0821,793,368,461,454
PA0823,45,28,14,43
PA0824,51,33,19,39
PA0825,21,15,17,19
PA0826,218,122,103,125
PA0827,162,58,93,87
PA0828,47,28,42,27
PA0829,598,23,64,50
PA0830,1763,516,428,496
PA0831,271,191,142,251
PA0832,348,174,99,185
PA0833,1425,724,1000,806
PA0834,334,529,102,644
PA0835,3403,1178,665,1340
PA0836,3279,1174,359,1011
PA0837,1719,2524,1181,3179
PA0838,684,389,226,491
PA0839,206,81,66,65
PA0840,1447,633,235,863
PA0841,766,277,126,280
PA0842,191,63,77,95
PA0843,73,8,43,14
PA0844,256,49,66,38
PA0845,206,84,72,96
PA0846,242,139,89,157
PA0847,305,97,224,91
PA0848,76,35,50,49
PA0849,189,57,91,91
PA0850,273,30,32,43
PA0851,614,77,68,105
PA0852,533,105,115,159
PA0853,209,16,105,24
PA0854,1093,161,663,230
PA0855,367,105,84,148
PA0856,1833,1055,708,1278
PA0857,756,370,315,493
PA0858,481,887,127,1056
PA0859,150,142,62,190
PA0860,409,410,150,446
PA0861,1869,404,609,483
PA0862,1449,389,626,454
PA0863,176,34,87,53
PA0864,51,33,54,31
PA0865,190,362,5678,504
PA0866,73,53,158,97
PA0867,1505,125,923,181
PA0868,167,108,92,138
PA0869,897,565,514,706
PA0870,543,592,566,706
PA0871,337,376,369,440
PA0872,249,960,1227,1061
PA0873,202,422,205,550
PA0874,20,41,15,69
PA0875,127,90,113,97
PA0876,670,477,304,500
PA0877,147,91,80,126
PA0878,18,18,29,16
PA0879,36,11,24,18
PA0880,6,3,8,4
PA0881,38,15,46,10
PA0882,83,53,71,60
PA0883,19,9,61,17
PA0884,43,24,46,23
PA0885,23,9,22,10
PA0886,73,29,39,30
PA0887,20207,1501,105,3173
PA0888,1740,2212,2336,2915
PA0889,170,238,100,304
PA0890,162,288,123,345
PA0891,325,345,245,410
