,Control_180_read,Control_30_read,OCH_180_read,OCH_30_read
PA3117,1303,717,389,855
PA3118,1010,348,335,354
PA3119,384,238,82,209
PA3120,1038,549,228,788
PA3121,1550,1369,421,2439
PA3122,325,98,158,141
PA3123,321,41,226,44
PA3124,192,48,98,57
PA3125,71,22,65,37
PA3126,306,40,148,52
PA3127,375,102,190,100
PA3128,288,71,158,102
PA3129,279,231,117,266
PA3130,181,57,88,86
PA3131,183,96,103,138
PA3132,55,26,68,28
PA3133,19,23,21,17
PA3134,1899,1706,750,2039
PA3135,124,90,76,113
PA3136,133,81,52,78
PA3137,272,112,114,145
PA3138,1625,637,744,786
PA3139,1450,1507,799,2114
PA3140,82,69,101,68
PA3141,4171,2240,1535,3143
PA3142,260,174,132,228
PA3143,472,325,255,382
PA3145,1797,975,640,1392
PA3146,1379,852,376,1146
PA3147,1912,1317,491,1695
PA3148,3729,1832,1180,2486
PA3149,3494,1631,1117,2285
PA3150,4322,2045,1624,2655
PA3151,2036,1168,653,1409
PA3152,1153,674,301,778
PA3153,1212,776,382,928
PA3154,2311,1228,768,1465
PA3155,5017,2100,1880,2692
PA3156,2068,1144,646,1407
PA3157,2565,1461,973,1942
PA3158,5303,3247,1767,4259
PA3159,8921,8317,3903,10526
PA3160,1526,772,855,1012
PA3161,364,247,165,338
PA3162,30222,62600,5054,81539
PA3163,1260,547,305,810
PA3165,1415,711,277,1093
PA3166,2639,1299,571,1847
PA3167,2373,1584,610,2138
PA3168,6759,5998,1798,7841
PA3169,488,597,221,820
PA3170,667,598,358,728
PA3171,494,485,225,510
PA3172,488,407,199,438
PA3173,466,419,223,466
PA3174,37,27,22,35
PA3175,62,26,54,43
PA3176,54,34,44,49
PA3177,310,95,162,138
PA3178,142,61,91,64
PA3179,474,1414,243,1480
PA3180,238,132,272,171
PA3181,5533,850,1115,1961
PA3182,3815,671,789,1454
PA3183,13864,5430,4236,10836
PA3184,632,384,275,475
PA3185,1794,525,349,738
PA3186,57857,3180,1791,3706
PA3187,21538,3360,1220,3938
PA3188,7546,1154,416,1251
PA3189,8581,1122,340,1243
PA3190,34492,9257,4537,11251
PA3191,1092,181,224,340
PA3192,2094,436,418,935
PA3193,2999,679,661,1365
PA3194,8944,2933,3183,5119
PA3195,4960,1437,2698,2202
PA3196,337,176,183,292
PA3197,280,233,179,296
PA3198,410,290,232,322
PA3199,579,331,302,430
PA3200,285,238,186,346
PA3201,789,637,359,733
PA3202,552,236,266,308
PA3203,295,129,123,159
PA3204,478,167,142,186
PA3205,156,58,503,112
PA3206,142,126,113,141
PA3207,157,58,78,91
PA3208,180,85,95,118
PA3209,17,10,10,12
PA3210,229,211,98,341
PA3211,549,321,328,381
PA3212,406,118,206,159
PA3213,691,203,404,266
PA3214,489,113,296,165
PA3215,556,224,331,312
PA3216,152,45,36,61
PA3217,487,417,274,487
PA3219,10,7,17,7
PA3220,176,105,102,139
PA3221,456,158,109,167
PA3222,373,77,67,114
PA3223,84,39,19,41
PA3224,251,98,159,129
PA3225,533,126,183,185
PA3226,290,83,135,97
PA3227,1028,216,320,314
PA3228,735,181,206,259
PA3229,82,29,44,33
PA3230,227,114,144,126
PA3231,43,3,12,5
PA3232,485,27,33,41
PA3233,1931,40,58,92
PA3234,10017,223,83,370
PA3235,2252,65,20,140
PA3236,3163,203,194,182
PA3237,8,6,7,6
PA3238,702,254,389,340
PA3239,602,137,225,183
PA3240,148,51,117,57
PA3241,332,165,188,178
PA3242,151,236,79,322
PA3243,575,395,342,488
PA3244,2956,1946,1464,2578
PA3245,1753,736,814,1082
PA3246,152,140,42,179
PA3247,1248,902,448,1012
PA3248,211,148,114,149
PA3249,47,15,37,38
PA3250,492,20,269,30
PA3251,135,7,40,16
PA3252,134,17,71,28
PA3253,97,15,36,20
PA3254,260,33,84,62
PA3255,599,127,217,213
PA3256,727,162,417,264
PA3257,9620,4139,4544,5249
PA3258,201,117,137,151
PA3259,117,56,64,75
PA3260,123,66,84,95
PA3261,317,139,376,178
PA3262,2999,1408,1067,2111
PA3263,518,397,182,503
PA3264,119,121,82,143
PA3265,39,28,23,32
PA3266,5508,10817,2185,14054
PA3267,579,342,302,471
PA3268,135,79,94,92
PA3269,162,101,94,183
PA3270,215,115,106,164
PA3271,744,284,256,467
PA3272,609,174,511,251
PA3273,13,7,38,4
PA3274,13,10,67,7
PA3275,11,3,47,10
PA3276,37,54,20,43
PA3277,1226,303,111,451
PA3278,488,297,69,190
PA3279,36,21,43,14
PA3280,61,26,26,53
PA3281,38,18,26,20
PA3282,14,11,26,14
PA3283,44,26,20,37
PA3284,20,18,9,20
PA3285,301,238,101,314
PA3286,1090,858,561,1256
PA3287,85,32,37,34
PA3288,105,66,68,73
PA3289,108,18,34,17
PA3290,935,352,399,385
PA3291,106,48,111,59
PA3292,104,36,67,46
PA3293,77,23,43,23
PA3294,298,114,95,113
PA3295,657,160,325,228
PA3296,30,30,53,42
PA3297,1474,1365,521,1695
PA3298,26,25,18,24
PA3299,5883,3588,1792,4958
PA3300,4214,381,330,502
PA3301,604,316,262,450
PA3302,1040,425,556,587
PA3303,184,123,111,170
PA3304,132,81,103,131
PA3303a,16,15,22,19
PA3305,203,219,159,261
PA3306,144,65,73,94
PA3307,198,114,121,104
PA3308,1317,2497,291,3149
PA3309,13479,7963,2368,7107
PA3310,791,542,222,554
PA3311,372,82,241,80
PA3312,143,50,75,75
PA3313,1453,358,686,348
PA3314,351,74,113,80
PA3315,98,12,49,30
PA3316,96,20,59,24
PA3317,287,64,99,87
PA3318,94,24,36,53
PA3319,96,37,82,55
PA3320,9,7,27,8
PA3321,84,36,70,40
PA3322,147,97,88,137
PA3323,187,26,43,27
PA3324,364,52,94,75
PA3325,188,60,40,138
PA3326,2391,615,388,1366
PA3327,3256,264,384,641
PA3328,380,20,60,41
PA3329,581,30,81,69
PA3330,338,22,36,33
PA3331,696,38,58,85
PA3332,299,14,20,29
PA3333,518,25,53,62
PA3334,178,9,23,16
PA3335,226,16,46,44
PA3336,793,289,73,219
PA3337,4706,1548,440,1463
PA3338,79,41,34,66
PA3339,338,282,202,331
PA3340,787,342,468,450
PA3341,543,337,274,312
PA3342,706,122,144,116
PA3343,487,252,228,305
PA3344,1001,1482,526,1804
PA3345,98,93,84,117
PA3346,653,191,309,190
PA3347,547,157,159,206
PA3348,1939,659,555,825
PA3349,4684,1624,2011,1964
PA3350,423,180,129,181
PA3351,2071,1088,758,1291
PA3352,1487,594,295,703
PA3353,1546,597,502,797
PA3354,329,128,164,156
PA3355,191,140,145,204
PA3356,639,1517,558,1858
PA3357,366,172,132,208
PA3358,70,21,45,30
PA3359,132,51,79,71
PA3360,33,16,44,24
PA3361,27,7,12,11
PA3362,50,18,27,25
PA3363,99,34,44,50
PA3364,171,74,68,77
PA3365,155,57,49,72
PA3366,519,291,114,285
PA3367,62,71,32,91
PA3368,44,14,43,20
PA3369,68,15,386,29
PA3370,17,9,145,12
PA3371,40,17,111,23
PA3372,127,59,128,82
PA3373,103,52,63,69
PA3374,43,23,59,20
PA3375,20,3,32,12
PA3376,11,14,34,13
PA3377,28,9,27,9
PA3378,30,16,49,19
PA3379,19,7,26,11
PA3380,11,4,20,5
PA3381,10,9,23,10
PA3382,13,6,17,8
PA3383,30,10,32,14
PA3384,41,17,54,27
PA3385,1389,920,811,1062
PA3386,52,48,33,46
PA3387,296,41,37,50
PA3388,128,94,41,97
PA3390,16,13,7,30
PA3389,16,21,17,26
PA3391,65,48,77,42
PA3392,95,51,78,71
PA3393,35,24,49,28
PA3394,16,11,50,11
PA3395,20,30,40,19
PA3396,21,14,21,16
PA3397,823,1077,215,1186
PA3398,223,92,108,125
PA3399,292,121,223,129
PA3400,191,56,70,97
PA3401,198,63,94,97
PA3402,202,116,128,148
PA3403,42,28,37,41
PA3403a,12,7,31,7
PA3404,23,14,54,20
PA3405,24,6,54,11
PA3406,38,11,82,16
PA3407,69,83,47,126
PA3408,69,38,90,39
PA3409,9,12,34,16
PA3410,16,24,25,23
PA3411,3,8,6,2
PA3412,29,9,14,15
PA3413,132,104,98,113
PA3414,155,117,89,130
PA3415,73,23,144,24
PA3416,41,10,134,9
PA3417,65,18,112,16
PA3418,684,100,339,86
PA3419,226,52,145,72
PA3420,1199,98,133,117
PA3421,794,21,78,29
PA3422,1041,38,56,42
PA3423,188,98,94,105
PA3424,241,58,100,83
PA3425,154,18,61,36
PA3426,350,66,163,89
PA3427,3693,337,333,390
PA3428,15,8,9,7
PA3429,232,107,49,110
PA3430,958,451,131,442
PA3431,81,306,51,391
PA3432,28,154,46,216
PA3433,194,138,159,130
PA3434,148,70,69,92
PA3435,413,276,133,377
PA3436,61,71,172,114
PA3437,295,253,156,323
PA3438,419,258,245,399
PA3439,558,283,411,451
PA3440,616,293,305,365
PA3440a,778,319,322,456
PA3441,158,43,28,48
PA3442,56,29,55,49
PA3443,39,30,24,26
PA3444,93,65,35,86
PA3445,99,213,27,431
PA3446,50,242,32,515
PA3447,20,14,28,12
PA3448,16,14,29,20
PA3449,16,63,29,102
PA3450,218,1241,77,2211
PA3451,41,9,48,8
PA3452,383,1558,243,1851
PA3453,488,193,107,240
PA3454,2478,241,177,370
PA3455,1514,400,711,453
PA3456,196,177,135,198
PA3457,129,76,44,106
PA3458,733,284,96,303
PA3459,1198,421,1139,466
PA3460,449,72,742,83
PA3461,383,48,621,66
PA3462,190,47,134,52
PA3463,41,25,14,25
PA3464,413,99,88,144
PA3465,1179,573,278,580
PA3466,699,1086,430,1306
PA3467,144,16,51,22
PA3468,326,300,151,331
PA3469,181,136,88,183
PA3470,156,65,49,80
PA3471,3681,1020,1754,1344
PA3472,257,430,266,605
PA3473,80,65,52,106
PA3474,72,56,26,79
PA3475,310,73,114,145
PA3476,1184,395,292,765
PA3477,1605,338,449,473
PA3478,115,65,76,101
PA3479,71,65,35,119
PA3480,592,744,404,936
PA3481,1062,585,449,794
PA3482,2992,2231,1043,2997
PA3483,468,275,139,421
PA3484,706,306,171,407
PA3485,213,59,66,108
PA3486,381,134,130,157
PA3487,884,183,176,232
PA3488,517,159,183,172
PA3489,68,118,35,157
PA3490,56,66,26,89
PA3491,427,528,183,603
PA3492,113,110,63,156
PA3493,67,74,41,95
PA3494,95,86,62,122
PA3495,230,227,73,281
PA3496,158,64,215,84
PA3497,70,34,80,35
PA3498,152,29,27,36
PA3499,82,3,30,10
PA3500,291,20,69,28
PA3501,67,0,8,5
PA3502,68,8,26,7
PA3504,299,35,103,39
PA3505,146,15,31,27
PA3506,411,23,97,32
PA3507,121,14,31,12
PA3508,240,15,38,15
PA3509,134,12,31,18
PA3510,297,15,36,16
PA3511,84,13,41,14
PA3512,129,14,22,14
PA3513,143,17,52,24
PA3514,118,21,31,12
PA3515,86,67,37,61
PA3516,49,22,39,25
PA3517,48,18,40,26
PA3518,27,8,13,11
PA3519,41,9,25,8
PA3520,3,3,3,6
PA3521,29,20,59,21
PA3522,90,47,109,73
PA3523,41,24,53,29
PA3524,902,772,657,930
PA3525,5176,2608,1040,3624
PA3526,420,167,143,245
PA3527,1087,1106,572,1424
PA3528,784,623,332,806
PA3529,6628,1386,2588,1980
PA3530,24,8,20,10
PA3531,10915,9849,4411,12083
PA3532,1003,3140,178,2993
PA3533,911,1135,688,1711
PA3534,1429,287,233,358
PA3535,2029,114,191,200
PA3536,186,135,76,171
PA3537,812,379,140,562
PA3538,1458,635,328,873
PA3539,246,153,103,231
PA3540,35,30,39,36
PA3541,79,34,54,50
PA3542,39,22,57,31
PA3543,24,9,70,24
PA3544,28,22,61,24
PA3545,165,106,138,137
PA3546,21,5,26,15
PA3547,30,10,32,12
PA3548,74,39,82,39
PA3549,23,10,37,13
PA3550,33,11,36,18
PA3551,81,26,83,51
PA3552,177,153,325,217
PA3553,156,124,200,169
PA3554,376,283,526,378
PA3555,65,44,109,62
PA3556,93,115,190,133
PA3557,15,15,32,21
PA3558,20,20,41,21
PA3559,297,167,530,258
PA3560,196,66,113,80
PA3561,135,49,67,67
PA3562,335,116,193,149
PA3563,449,359,164,362
PA3564,139,74,69,98
PA3565,112,62,71,75
PA3566,215,103,74,144
PA3567,570,167,179,239
PA3568,1314,47,73,82
PA3569,783,9,28,11
PA3570,2167,76,72,69
PA3571,146,59,70,76
PA3572,1297,718,673,771
PA3573,557,337,231,326
PA3574,218,232,130,294
PA3574a,68,24,54,33
PA3575,61,45,37,36
PA3576,165,57,116,85
PA3577,38,21,26,30
PA3578,316,288,157,339
PA3579,253,671,268,849
PA3580,105,405,186,418
PA3581,533,643,712,744
PA3582,1272,1869,3373,2470
PA3583,325,447,462,618
PA3584,441,3355,3637,4773
PA3585,49,73,37,99
PA3586,56,45,38,62
PA3587,436,205,116,227
PA3588,90,46,62,69
PA3589,21,13,42,16
PA3590,47,31,93,44
PA3591,14,5,27,6
PA3592,24,17,50,16
PA3593,33,27,56,21
PA3594,79,42,48,55
PA3595,62,27,35,47
PA3596,52,43,62,20
PA3597,79,108,78,41
PA3598,100,300,81,53
PA3599,159,115,123,155
PA3600,25,15,13,19
PA3601,35,18,19,25
PA3602,1068,460,1577,756
PA3603,129,136,50,182
PA3604,347,400,146,482
PA3605,155,187,106,232
PA3606,123,115,76,163
PA3607,108,186,82,203
PA3608,49,112,39,130
PA3609,46,94,28,119
PA3610,130,413,30,429
PA3611,540,490,433,651
PA3612,237,143,121,167
PA3613,4958,1416,359,1266
PA3614,3864,1200,629,1049
PA3615,2074,360,698,495
PA3616,310,163,116,256
PA3617,1637,2095,1301,2830
PA3618,137,48,103,88
PA3619,164,89,145,111
PA3620,1603,1458,470,1851
PA3621,799,548,142,618
PA3622,13583,1131,6243,1814
PA3623,3918,654,1784,968
PA3624,1086,795,485,1059
PA3625,802,645,305,886
PA3626,463,386,276,507
PA3627,419,345,260,482
PA3628,877,416,311,384
PA3629,1671,850,466,756
PA3630,64,33,34,48
PA3631,438,749,90,756
PA3632,205,236,42,289
PA3633,305,347,104,399
PA3634,179,149,56,158
PA3635,5053,4847,1733,6347
PA3636,1690,2136,535,2633
PA3637,2621,4205,1208,5523
PA3638,203,126,97,153
PA3639,1499,1148,779,1611
PA3640,4237,4249,1947,5207
PA3641,297,1190,226,1683
PA3642,220,123,91,185
PA3643,526,508,134,609
PA3644,2201,2034,652,2453
PA3645,1504,1365,330,1761
PA3646,2421,1733,604,2329
PA3647,1707,1058,369,1376
PA3648,7751,6898,2599,9144
PA3649,1167,999,533,1226
PA3650,920,1583,252,1723
PA3651,326,455,74,568
PA3652,1185,1618,203,1797
PA3653,1660,2233,402,2668
PA3654,1175,2196,339,2425
PA3655,4656,14667,461,17976
PA3656,11417,43844,1463,53830
PA3657,1325,1447,690,1859
PA3658,1275,1322,603,1607
PA3659,479,451,246,622
PA3660,378,213,263,314
PA3661,91,61,13,80
PA3662,566,537,576,528
PA3663,206,136,121,162
PA3664,236,249,127,322
PA3665,194,146,63,145
PA3666,1100,960,333,1271
PA3667,405,279,132,349
PA3668,90,43,49,65
PA3669,212,34,76,64
PA3670,456,55,135,85
PA3671,123,43,54,36
PA3672,119,55,66,59
PA3673,1411,1031,457,1254
PA3674,475,177,329,197
PA3675,486,490,166,567
PA3676,854,515,258,514
PA3677,335,143,84,136
PA3678,561,311,97,310
PA3679,232,177,120,200
PA3680,109,89,72,113
PA3681,77,25,55,39
PA3682,142,53,85,55
PA3683,373,172,122,234
PA3684,149,107,87,97
PA3685,203,275,90,348
PA3686,2144,2410,1067,2923
PA3687,1417,281,874,319
PA3688,322,24,222,31
PA3689,171,50,145,73
PA3690,498,631,430,710
PA3691,471,103,3012,165
PA3692,895,263,8332,368
PA3693,225,68,77,87
PA3694,180,66,73,83
PA3695,651,225,261,249
PA3696,637,104,244,130
PA3697,1735,361,638,372
PA3698,351,114,158,130
PA3699,379,157,287,217
PA3700,2357,4865,455,5873
PA3701,1765,3538,615,4577
PA3702,591,333,221,371
PA3703,636,314,227,367
PA3704,1024,511,261,634
PA3705,236,122,61,183
PA3706,506,326,136,369
PA3707,235,148,42,156
PA3708,1462,907,326,1084
PA3709,1274,120,121,128
PA3710,1511,191,99,115
PA3711,225,50,81,62
PA3712,267,37,144,44
PA3713,326,1074,118,1238
PA3714,25,48,14,59
PA3715,212,159,58,188
PA3716,2910,1376,403,1839
PA3717,100,39,46,82
PA3718,87,61,56,72
PA3719,8,7,9,2
PA3720,28,18,17,17
PA3721,300,207,64,207
PA3722,576,314,135,366
PA3723,926,65,531,75
PA3724,1516,133,211,175
PA3725,466,556,156,774
PA3726,114,192,37,214
PA3727,667,95,94,127
PA3728,5306,935,582,1225
PA3729,6412,1002,661,1498
PA3730,369,114,57,158
PA3731,1706,413,409,619
PA3732,726,384,202,581
PA3733,357,196,348,255
PA3733a,39,20,182,21
PA3734,103,66,115,84
PA3735,2628,1123,593,1455
PA3736,1765,1036,488,1441
PA3737,1244,1198,920,1761
PA3738,320,188,148,267
PA3739,582,120,221,137
PA3740,1410,266,444,322
PA3741,181,300,62,320
PA3742,2343,5039,388,6548
PA3743,2384,8352,394,9679
PA3744,2754,9018,631,11201
PA3745,661,1974,172,2377
PA3746,1724,1513,716,2079
PA3747,362,382,135,438
PA3748,412,261,178,311
PA3749,286,150,95,114
PA3750,250,66,107,70
PA3751,1164,309,378,457
PA3752,202,69,60,79
PA3753,750,262,365,293
PA3754,777,462,308,488
PA3755,195,111,126,123
PA3756,621,469,328,571
PA3757,150,78,117,85
PA3758,332,63,126,82
PA3759,178,36,84,63
PA3760,645,103,233,123
PA3761,359,84,135,101
PA3762,104,50,35,42
PA3763,4303,4485,1597,5650
PA3764,607,432,464,613
PA3765,51,44,55,74
PA3766,59,314,48,444
PA3767,145,90,66,98
PA3768,575,483,176,432
PA3769,2296,4453,819,5180
PA3770,2460,5137,1224,6490
PA3771,110,54,114,67
PA3772,32,10,27,14
PA3773,25,14,53,13
PA3774,18,8,37,12
PA3775,17,9,26,8
PA3776,23,26,51,45
PA3777,319,275,165,359
PA3778,209,173,103,225
PA3779,356,109,149,130
PA3780,50,19,23,27
PA3781,163,61,82,47
PA3782,116,73,60,92
PA3783,105,24,74,28
PA3784,121,44,76,53
PA3785,122,57,75,68
PA3786,153,128,97,93
PA3787,274,106,188,115
PA3788,169,34,181,30
PA3789,267,72,183,62
PA3790,1057,228,210,151
PA3791,81,91,63,94
PA3792,3395,2320,1482,4919
PA3793,181,121,66,146
PA3794,162,73,50,82
PA3795,920,189,1632,202
PA3796,325,58,204,83
PA3797,964,257,358,332
PA3798,800,309,239,403
PA3799,1605,2664,632,3153
PA3800,3305,2627,985,3516
PA3801,1618,1367,482,1725
PA3802,2265,2240,536,2807
PA3803,2273,2011,706,2426
PA3804,1081,1218,423,1404
PA3805,948,1145,322,1431
PA3806,2169,4111,717,5185
PA3807,1259,3047,341,3951
PA3808,240,232,153,386
PA3809,367,534,107,714
PA3810,1120,1976,409,2579
PA3811,860,1361,243,1765
PA3812,575,811,194,1130
PA3813,858,1404,457,1951
PA3814,2361,3930,1246,5737
PA3815,335,593,125,903
PA3816,484,548,238,771
PA3817,258,455,124,625
PA3818,315,1431,157,1825
PA3819,861,307,3197,427
PA3820,1962,2559,270,3153
PA3821,2935,5383,485,6501
PA3822,620,1161,181,1471
PA3823,492,1438,163,1767
PA3824,210,631,73,805
PA3825,132,99,84,123
PA3826,109,151,53,171
PA3827,624,681,267,883
PA3828,708,1033,440,1332
PA3829,72,45,64,37
PA3830,83,58,60,73
PA3831,2484,1361,755,1833
PA3832,335,145,60,172
PA3833,468,213,187,255
PA3834,3949,3744,939,4734
PA3835,104,52,47,57
PA3836,6927,882,920,1196
PA3837,1007,254,168,274
PA3838,1504,338,196,421
PA3839,1767,1024,192,861
PA3840,238,284,72,282
PA3841,407,153,305,188
PA3842,83,96,97,91
PA3844,238,78,126,75
PA3845,244,111,156,116
PA3846,301,89,172,123
PA3847,97,48,63,52
PA3848,750,123,309,177
PA3849,1023,737,422,995
PA3850,768,364,235,465
PA3851,859,312,536,465
PA3852,948,321,500,406
PA3853,250,108,151,179
PA3854,94,61,52,94
PA3855,287,132,174,166
PA3856,297,93,131,128
PA3857,873,433,393,537
PA3858,653,174,370,244
PA3859,1443,442,226,474
PA3860,4501,350,339,437
PA3861,1969,2853,831,3722
PA3862,297,128,56,139
PA3863,537,140,72,118
PA3864,891,174,108,220
PA3865,2324,242,126,213
PA3865a,222,169,86,204
PA3866,1213,759,593,878
PA3867,84,62,39,78
PA3868,70,32,46,43
PA3869,38,22,18,31
PA3870,33,15,40,18
PA3871,39,16,36,11
PA3872,29,14,32,8
PA3873,23,11,39,14
PA3874,101,36,40,51
PA3875,225,104,119,111
PA3876,186,46,74,51
PA3877,518,102,92,73
PA3878,586,393,171,411
PA3879,1296,492,164,469
PA3880,270,158,33,109
PA3881,197,108,99,112
PA3882,371,109,156,119
PA3883,182,53,87,72
PA3884,32,5,23,14
PA3885,50,16,62,26
PA3886,270,98,132,113
PA3886a,40,23,32,24
PA3887,376,247,110,408
PA3888,54,27,94,35
PA3889,103,35,163,56
PA3890,64,26,91,33
PA3891,136,39,296,56
PA3892,35,29,48,61
PA3893,107,94,144,126
PA3894,59,69,78,104
PA3895,368,259,183,365
PA3896,383,180,164,273
PA3897,127,47,53,65
PA3898,183,99,81,148
PA3899,12,10,6,11
PA3900,14,12,35,17
PA3901,161,90,146,107
PA3902,192,81,173,92
PA3903,1175,1959,369,2577
PA3904,291,105,38,207
PA3905,285,73,23,132
PA3906,239,44,12,61
PA3907,825,102,44,190
PA3908,1002,125,100,211
PA3909,69,48,85,56
PA3910,48,19,61,28
PA3911,144,51,31,33
PA3912,232,70,26,78
PA3913,235,143,32,139
PA3914,74,24,47,26
PA3915,118,50,31,69
PA3916,172,104,101,119
PA3917,78,49,58,55
PA3918,301,202,141,252
PA3919,3247,770,4592,850
PA3920,194,110,205,138
PA3921,1362,210,466,194
PA3922,10361,615,2400,650
PA3923,10829,1453,2603,1376
PA3924,1407,228,1064,249
PA3925,3970,679,515,1110
PA3926,144,118,44,179
PA3927,78,40,37,40
PA3928,30,21,34,12
PA3929,176,152,240,82
PA3930,198,304,525,172
PA3931,99,306,16,650
PA3932,62,89,52,101
PA3933,472,456,219,485
PA3934,297,462,402,592
PA3935,75,24,45,20
PA3936,32,13,44,28
PA3937,52,20,27,20
PA3938,99,144,29,231
PA3939,57,65,35,103
PA3940,1471,1376,527,1718
PA3941,226,132,84,159
PA3942,666,405,207,495
PA3943,339,123,176,165
PA3944,151,44,69,74
PA3945,639,170,375,208
PA3946,120,81,115,111
PA3947,131,53,111,74
PA3948,558,374,196,416
PA3949,299,298,206,345
PA3950,503,482,248,668
PA3951,134,116,64,145
PA3952,98,24,154,25
PA3953,40,20,40,18
PA3954,169,98,110,111
PA3955,98,77,98,97
PA3956,122,57,112,60
PA3957,192,41,124,61
PA3958,278,217,185,264
PA3959,144,92,61,94
PA3960,142,44,47,66
PA3961,579,484,316,541
PA3962,202,85,167,128
PA3963,107,60,74,83
PA3963a,59,27,79,54
PA3965,105,86,72,216
PA3966,268,337,123,445
PA3967,108,195,58,268
PA3968,134,150,85,175
PA3969,354,163,260,205
PA3969a,149,105,96,150
PA3970,1369,641,491,765
PA3971,144,32,30,40
PA3972,1493,380,279,442
PA3973,320,100,66,127
PA3974,817,446,352,580
PA3975,256,214,136,307
PA3976,350,329,174,399
PA3977,2017,1033,810,1360
PA3978,1230,1030,284,1179
PA3979,97,294,37,324
PA3980,523,1024,266,1506
PA3981,3207,2621,1079,3086
PA3982,817,592,224,690
PA3983,2120,1442,740,1768
PA3984,613,367,254,471
PA3985,108,71,80,103
PA3986,166,51,189,75
PA3987,6028,6234,2307,8036
PA3988,1675,1001,547,1325
PA3989,649,355,215,506
PA3990,26,28,18,33
PA3992,1059,668,444,879
PA3993,152,72,85,118
PA3994,54,23,44,31
PA3995,169,47,108,69
PA3996,1845,984,937,1412
PA3997,1144,834,452,1029
PA3998,864,580,424,755
PA3999,3802,2119,1533,2917
PA4000,1591,1058,828,1317
PA4001,1190,1019,548,1202
PA4002,510,520,179,646
PA4003,857,1328,247,1608
PA4004,243,323,75,352
PA4005,548,611,168,826
PA4006,411,403,119,566
PA4007,781,972,354,1295
PA4008,184,27,67,37
PA4009,135,45,102,58
PA4010,276,224,318,278
PA4011,409,251,285,334
PA4012,371,157,149,238
PA4013,155,132,80,184
PA4014,59,39,23,55
PA4015,2314,126,348,192
PA4016,548,354,305,407
PA4017,748,162,400,245
PA4018,248,62,121,93
PA4019,314,106,120,189
PA4020,924,427,404,587
PA4021,664,151,299,209
PA4022,2565,166,1518,183
PA4023,385,40,211,57
PA4024,726,101,427,133
PA4025,328,62,145,77
PA4026,556,184,321,233
PA4027,288,67,156,88
PA4027a,109,24,92,44
PA4029,167,317,96,337
PA4030,202,273,105,310
PA4031,2057,2337,977,3130
PA4032,294,186,139,226
PA4033,33,11,21,25
PA4034,81,44,46,43
PA4035,374,170,225,222
PA4036,390,129,229,163
PA4037,28,16,24,28
PA4038,42,26,31,31
PA4039,68,56,39,47
PA4040,125,66,101,66
PA4041,120,61,102,78
PA4042,67,105,37,142
PA4043,353,286,190,437
PA4044,1987,1985,927,2657
PA4045,196,227,89,267
PA4046,131,166,51,244
PA4047,363,504,190,704
PA4048,180,148,135,212
PA4049,169,190,119,281
PA4050,133,175,90,237
PA4051,261,483,184,588
PA4052,637,900,441,1357
PA4053,607,923,450,1338
PA4054,840,970,4063,2042
PA4055,278,339,1424,729
PA4056,661,410,382,479
PA4057,401,378,208,510
PA4060,60,22,29,30
PA4061,816,390,430,521
PA4062,97,49,43,68
PA4063,198,59,81,67
PA4064,73,53,65,46
PA4065,128,70,70,105
PA4066,106,66,62,78
PA4067,24643,20318,3510,16224
PA4068,1185,693,371,815
PA4069,768,465,249,638
PA4070,69,30,60,37
PA4071,16,6,16,14
PA4072,106,64,70,75
PA4073,72,40,94,50
PA4074,112,55,101,56
PA4075,172,76,121,87
PA4076,99,89,57,120
PA4077,52,28,46,56
PA4078,154,66,185,73
PA4079,615,208,355,270
PA4080,188,109,99,97
PA4081,62,22,57,50
PA4082,154,61,145,80
PA4083,20,7,28,11
PA4084,111,27,92,40
PA4085,22,14,28,9
PA4086,57,23,29,28
PA4087,10,9,31,9
PA4088,20,7,56,18
PA4089,18,15,50,10
PA4090,139,83,133,114
PA4091,86,39,49,43
PA4092,60,8,17,11
PA4093,93,8,36,6
PA4094,210,72,104,79
PA4095,6,1,14,3
PA4096,19,12,39,9
PA4097,12,15,39,8
PA4098,19,7,40,14
PA4099,27,15,45,15
PA4100,51,28,75,30
PA4101,158,91,75,85
PA4102,168,63,82,60
PA4103,43,23,51,27
PA4104,11,9,19,8
PA4105,18,15,33,21
PA4106,25,12,25,24
PA4107,20,11,26,10
PA4108,582,133,190,141
PA4108a,110,43,64,50
PA4109,155,67,88,86
PA4110,170,50,100,58
PA4111,102,41,52,59
PA4112,1180,246,664,329
PA4113,63,132,63,142
PA4114,725,193,352,297
PA4115,2046,1027,781,1197
PA4116,277,172,76,207
PA4117,1692,662,440,1010
PA4118,148,175,58,210
PA4119,107,126,68,161
PA4120,44,19,37,22
PA4121,23,13,14,8
PA4122,32,11,26,16
PA4123,70,32,58,44
PA4124,95,28,53,42
PA4125,77,13,34,27
PA4126,75,27,54,23
PA4127,62,11,31,12
PA4128,60,22,44,21
PA4129,44,11,35,19
PA4130,290,110,111,119
PA4131,139,59,70,62
PA4132,317,155,142,169
PA4133,424,386,111,381
PA4134,30,12,24,21
PA4135,147,53,46,77
PA4136,38,25,63,35
PA4137,64,22,43,30
PA4138,114,79,68,93
PA4139,125,98,663,166
PA4140,67,74,168,102
PA4141,614,3945,775,5918
PA4142,32,39,46,63
PA4143,40,44,72,50
PA4144,40,25,70,35
