,3074-CAW-0001,3074-CAW-0002,3074-CAW-0003,3074-CAW-0004,3074-CAW-0005,3074-CAW-0006
PA14_RS00900,12057.28112,10252.1367,20963.47117,17798.46249,18351.52074,17637.72663
PA14_RS00905,2776.906719,2009.053128,3997.479722,4705.169564,4250.89527,4106.854158
PA14_RS00910,6041.04325,5544.877989,9702.279329,11355.91236,12025.13942,13304.82579
PA14_RS00915,6104.967925,8024.022856,11376.02563,17478.3939,12173.76668,16746.95288
PA14_RS00920,2755.115337,2757.348681,2730.196359,1860.757067,2274.282887,2185.427798
PA14_RS00925,396.598662,400.5276415,507.7554466,443.7794339,473.3495039,397.127099
PA14_RS00930,119.4393658,104.9933541,126.4313124,89.30863085,104.7428968,99.27165918
PA14_RS00935,126.9626821,146.5167708,111.7719757,106.8430311,131.5682892,120.6534451
PA14_RS00940,39.36805413,38.02515701,45.84810499,19.39484042,39.61489299,40.71252231
PA14_RS00945,96.75900308,122.615028,108.4099226,75.00807436,133.0395423,120.8170537
PA14_RS00950,122.3074098,104.5987645,114.9759255,123.8869487,86.90623016,86.1381241
PA14_RS00955,292.0066673,243.0548311,284.9928669,219.9795649,389.8545062,329.8872022
PA14_RS00960,74.37153273,85.84431557,73.02160125,86.12582546,99.66253738,81.85280773
PA14_RS00965,212.8296439,181.3231727,219.6014393,338.3245365,239.9942449,214.1020204
PA14_RS00970,308.0393826,233.9110652,327.0875417,329.5407351,291.8539937,340.397705
PA14_RS00975,80.97221287,68.5983514,86.28388911,70.45321805,89.67009369,77.8651844
PA14_RS00980,185.2809827,138.6861299,182.0737967,150.0650808,165.531354,162.207307
PA14_RS00985,1172.295045,1278.355165,1577.050343,1087.196499,1352.977376,1463.459393
