gene,E11,E12,E1E21,E1E22,E21,E22,WT1,WT2
CDS107357,1171,998,1843,1642,1366,1337,1019,901
CDS111377,205525,176257,93184,93766,86393,91049,157624,176871
CDS108087,352,337,216,228,163,181,313,297
CDS113497,531,543,852,810,682,691,461,491
CDS112627,11003,4640,5237,6544,19881,5443,4000,4166
CDS102968,371,313,1184,1106,956,972,277,324
CDS109280,2848,1463,1621,1903,4423,1762,1368,1487
CDS113405,2045,2132,4085,4116,3892,4123,2079,2094
CDS107213,200,164,241,259,250,225,131,175
CDS108231,865,948,1076,1049,1193,937,810,880
CDS113803,1886,1756,1428,1369,1339,1233,1545,1699
CDS103252,440,374,987,957,988,963,359,476
CDS109594,438,421,1070,913,697,760,430,393
CDS108461,260,195,415,435,387,369,175,214
CDS103582,2258,2316,2103,1886,1951,1781,2064,2218
CDS106915,8420,6589,5646,5096,5001,4187,5787,6941
CDS109326,5236,4630,4886,4359,5012,3875,4040,4578
CDS112525,3011,2847,2587,2449,2901,2305,2666,2819
CDS111677,1330,1511,1254,1165,1251,1167,1406,1319
CDS110759,1322,1241,2126,1877,2018,1741,1088,1232
CDS106123,710,695,1027,974,1055,851,725,637
CDS110341,1286,904,1015,997,1489,955,826,1048
CDS112449,2065,1785,2872,2598,2710,2330,1529,1903
CDS113917,2314,2510,1912,1704,1666,1619,2230,2355
ncRNA191110,1510,1400,2061,1939,2212,1838,1346,1257
CDS106953,63,42,795,727,762,614,39,50
CDS111405,3847,3179,5476,5072,5260,4454,2818,3218
CDS107999,1510,1456,1130,1091,1238,858,1172,1356
CDS108093,1278,1350,854,801,773,746,1182,1163
CDS104621,1632,1198,2279,2164,2165,1946,922,1224
CDS107635,255,274,1100,1042,975,930,294,243
CDS106467,18428,15115,11442,11241,12940,10222,13604,15643
CDS112909,5059,4844,8394,7846,8075,6841,4520,4595
CDS104999,5194,4038,4574,4421,6115,3790,3531,3885
CDS109258,4245,3954,3669,3289,2069,2806,3422,3713
CDS108079,1988,1684,1622,1552,1831,1362,1556,1625
CDS108687,6361,5868,4245,4007,3580,3654,5001,5615
CDS112459,805,763,1880,1849,1934,1565,662,770
CDS103988,1160,742,847,921,2101,892,627,862
CDS107245,11561,11222,10188,9033,11036,7776,9700,10613
CDS113599,7183,5970,5131,4996,4559,4356,5600,5508
CDS104100,57,41,158,180,141,148,52,50
CDS109788,1811,1777,2114,1932,1801,1612,1584,1657
CDS111971,2209,2346,1748,1645,1603,1699,2074,2075
CDS108875,9278,6155,3817,4065,6611,3583,5334,6174
CDS104170,121,88,176,196,262,167,69,103
CDS108743,7451,5895,5301,5228,5235,4977,5672,5906
CDS113261,4831,3954,2883,2780,2789,2590,3625,3905
CDS110713,744,645,2483,2423,2363,2030,608,638
CDS108103,3624,3364,2622,2717,3339,2458,2964,3339
CDS106291,14042,14939,23153,20172,20392,18321,13690,13778
CDS106277,5926,6264,9216,8376,9199,7703,5466,5757
CDS109071,286,254,181,223,273,201,218,249
tRNA106365,7129,10758,4641,5006,3823,4915,11062,10321
CDS104128,869,902,1214,1055,1137,1018,846,841
CDS102980,931,679,721,800,1016,704,604,786
CDS102834,6201,8286,2949,2663,2071,2542,8040,7175
CDS105779,7190,5935,11117,10375,11340,9144,5606,6156
CDS106985,450,331,357,438,515,375,281,306
CDS112631,294,275,854,808,726,748,309,287
tRNA106371,404,633,333,330,266,312,626,526
CDS108233,717,776,957,914,1147,809,631,757
CDS104341,8128,6753,4566,4342,5424,3972,5896,7264
tRNA104569,8751,12426,6158,6249,5232,6437,12670,11306
CDS103846,3961,3503,3825,3901,5003,3609,3192,3341
CDS112443,743,679,513,508,566,472,638,647
CDS111647,4033,3262,3110,2836,2576,2795,3063,3644
CDS102944,28691,27724,46705,40367,51060,38262,23818,24791
CDS110901,1215,1128,2065,1927,2225,1787,1072,1096
CDS109938,2948,3297,473,527,430,468,2953,3155
CDS112307,11273,10541,6113,6195,6445,5670,9614,10133
CDS113665,851,775,1529,1396,1279,1163,689,741
CDS112473,899,789,1062,964,1065,761,738,814
CDS109494,488,544,964,823,725,656,485,499
CDS103732,414,327,325,397,508,328,313,322
CDS104148,132,91,361,372,372,295,77,114
CDS106359,19763,16340,10821,10779,11780,10044,14142,16250
CDS109700,4086,3923,4598,4428,4352,4072,3446,4020
CDS110176,2620,1989,1938,2029,2095,1863,1700,2047
CDS110719,2019,1822,1894,1823,1550,1398,1637,1678
CDS108859,45750,39524,22335,23059,32154,22084,35893,39197
CDS111945,66,61,145,126,206,143,56,82
CDS105151,1350,1458,1453,1196,1173,1139,1460,1332
CDS103008,4715,3677,5480,5293,5726,4549,3217,4374
CDS112801,1919,1642,2122,1972,1747,1762,1664,1628
CDS106983,340,237,325,351,404,330,182,271
CDS103672,2412,2137,1989,2083,2199,1541,1632,2186
CDS109880,2393,2678,1441,1707,1491,1537,2621,2745
CDS105399,709,660,681,642,692,571,612,647
CDS104517,303,303,359,322,331,294,244,252
CDS106233,8368,8200,9773,8692,8795,7417,6842,8299
CDS110609,466,324,563,534,526,429,364,388
CDS106609,24575,26243,21856,20996,29442,18452,22559,24886
CDS105377,4577,3913,3554,3390,3631,3066,3400,3953
CDS104072,4968,4439,4975,4547,4442,4224,3995,4278
CDS110461,25466,21241,12455,12119,10033,11608,19200,20489
CDS107751,673,411,536,594,1065,493,390,478
CDS134037,2048,2274,2143,1908,1918,1927,2156,2175
CDS108509,2063,1907,1877,1841,2229,1758,1811,2049
CDS108451,5872,5243,3700,3646,3464,3424,4713,5151
CDS113899,899,846,402,508,385,373,768,941
CDS110102,5662,4660,6098,5989,5466,5811,4176,4704
CDS107515,5552,6898,8147,7063,7317,5805,5555,5850
CDS107227,1605,1220,1089,1074,1582,1094,1092,1400
CDS113085,6895,7341,6700,6083,6507,5935,6843,7188
CDS103934,1775,1448,1693,1579,1853,1462,1246,1487
CDS111487,4154,4053,8118,7264,7492,6831,3842,3685
CDS105567,298,224,216,197,184,149,254,245
CDS106443,2254,2133,1932,2080,2247,1787,2031,2298
CDS108287,102,71,98,103,100,84,56,79
CDS112831,92,80,60,73,67,63,57,84
CDS103460,3615,3231,3041,2679,2551,2309,2842,3179
CDS105849,889,738,1307,1289,1358,1154,698,780
CDS112591,10870,8874,8643,8403,8027,7505,8278,9793
CDS103272,3192,2958,4366,4008,3903,3692,2694,3027
CDS102824,1181,948,576,600,421,489,885,801
CDS105193,7149,4205,1847,2305,3338,1957,3647,5902
CDS104425,8717,7733,7265,7331,7970,6128,6501,7874
CDS105805,791,697,876,851,1059,802,696,721
CDS106733,393,424,804,626,740,540,376,391
CDS107449,87,98,224,222,227,194,80,95
CDS109530,7500,6333,5871,5837,6309,4846,5496,6112
CDS109023,2811,2663,2682,2604,2382,2329,2565,2412
CDS105547,1084,1130,2149,2046,2166,1954,1065,1021
CDS110741,187,158,258,208,213,177,147,155
CDS104387,463,477,305,362,319,304,489,507
CDS104150,86,64,200,153,195,147,55,54
CDS104232,158,126,345,346,329,262,133,121
CDS103334,8687,7163,7947,7273,7454,6759,6537,6361
CDS107983,212,200,377,332,342,307,175,205
CDS105969,449,378,771,721,714,677,343,401
CDS112377,40869,33250,24462,24930,24109,23022,28653,33493
CDS106095,4400,3690,14096,12563,9135,11304,3478,3863
CDS104799,1085,971,1822,1717,1813,1502,852,994
CDS103184,148,120,90,71,85,79,95,126
CDS104497,4943,4710,3584,3654,3669,3355,4382,4401
CDS113863,19056,17488,11036,11040,12010,10624,15571,16996
CDS111277,18745,15620,5976,9253,4762,7544,13202,18083
CDS107829,1856,1278,1478,1376,1644,1172,1101,1376
CDS107619,109,110,151,183,199,138,104,105
CDS102846,196,116,159,185,173,167,100,138
CDS108801,11108,8530,6295,6700,7112,6112,7706,9104
CDS105549,651,659,1336,1352,1293,1241,535,597
CDS105433,111,54,272,285,474,212,58,59
