geneID,PAK_AR2A.Expression,s1_9A.Expression
PA4982,179,299
PA3613,6413,10708
PA0106,314,524
PA0232,178,297
PA2146,3,5
PA2102,90,150
PA4224,24,40
PA1060,493,820
PA1949,632,1051
PA2052,147,244
PA3459,4383,7263
PA4463,22259,36825
PA3096,147,243
PA0254,675,1115
PA4663,431,711
PA3759,68,112
PA4084,602,991
PA4536,271,446
PA3508,76,125
PA2120,42,69
PA0791,277,455
PA5164,1226,2013
PA3952,240,394
PA3568,273,448
PA4356,785,1287
PA3550,47,77
PA5231,13113,21480
PA1934,22,36
PA1979,11,18
PA4037,355,580
PA4413,1552,2533
PA1350,106,173
PA5461,4460,7271
PA0741,183,298
PA4513,461,750
PA3506,96,156
PA2473,8,13
PA4507,204,331
PA2369,66,107
PA1177,250,405
PA2872,71,115
PA2645,241,389
PA3565,142,229
PA0901,1796,2895
PA3259,242,390
PA4329,5078,8179
PA3529,13724,22100
PA2641,1094,1760
PA3502,23,37
PA2239,231,371
PA0087,153,245
PA0684,20,32
PA4295,25,40
PA1696,10,16
PA2175,67,107
PA5380,974,1555
PA3705,540,862
PA2814,225,359
PA5306,515,821
PA1376,847,1350
PA5456,1494,2379
PA1445,242,385
PA3878,3444,5479
PA0900,744,1183
PA4488,855,1358
PA2109,17,27
PA3275,46,73
PA1335,174,276
PA0598,485,769
PA1982,65,103
PA0299,1791,2838
PA0159,1080,1708
PA2873,188,297
PA0899,890,1406
PA4761,10844,17114
PA3089,334,527
PA0304,909,1434
PA0508,613,967
PA4027,426,672
PA3574a,132,208
PA1256,47,74
PA1629,47,74
PA1394,7,11
PA5507,699,1098
PA4620,226,355
PA4531,636,999
PA5120,107,168
PA3418,998,1565
PA2576,206,323
PA3549,30,47
PA2676,23,36
PA0096,39,61
PA3278,250,391
PA0723,48,75
PA1920,379,592
PA2339,75,117
PA1207,493,769
PA4619,711,1109
PA3929,713,1112
PA1733,195,304
PA2143,34,53
PA3203,506,788
PA3024,115,179
PA1557,8209,12733
PA2538,100,155
PA5379,280,434
PA4141,133,206
PA4880,2573,3984
PA3615,2619,4053
PA2351,33,51
PA0868,303,468
PA2925,46,71
PA5348,4374,6744
PA2237,698,1075
PA1483,497,765
PA0476,474,729
PA3662,3239,4977
PA1793,2695,4140
PA3907,28,43
PA0466,28,43
PA0751,425,652
PA5511,640,981
PA2305,124,190
PA1622,156,239
PA2713,203,311
PA3879,1833,2808
PA3430,369,565
PA1958,115,176
PA2479,117,179
PA0295,953,1457
PA4164,53,81
PA4018,239,365
PA2079,150,229
PA0738,19,29
PA0271,44,67
PA1233,23,35
PA4061,1338,2036
PA2251,98,149
PA0850,25,38
PA3989,636,966
PA2496,27,41
PA3214,471,715
PA4796,157,238
PA0999,64,97
PA3545,427,647
PA4185,193,292
PA3969,1395,2107
PA0467,377,569
PA1877,55,83
PA4469,67,101
PA3651,751,1132
PA0027,334,503
PA2360,87,131
PA4173,101,152
PA4090,1428,2146
PA5457,259,389
PA3501,16,24
PA0107,56,84
PA1147,42,63
PA5088,2,3
PA2174,8,12
PA2715,12,18
PA0120,134,201
PA2396,96,144
PA2170,2,3
PA3780,50,75
PA1509,373,559
PA1884,171,256
PA1292,776,1160
PA5542,93,139
PA2930,465,695
PA2738,4413,6593
PA1808,729,1089
PA2244,124,185
PA0414,1572,2341
PA4111,834,1241
PA1280,41,61
PA2750a,82,122
PA5292,536,797
PA1672,267,397
PA4021,901,1338
PA2276,66,98
PA3465,4660,6914
PA1827,29,43
PA0794,1037,1536
PA5436,5148,7619
PA1409,71,105
PA1992,186,275
PA5144,23,34
PA3106,419,619
PA5053,671,991
PA1987,107,158
PA1585,7136,10522
PA3723,913,1346
PA3505,38,56
PA2336,19,28
PA4910,108,159
PA4360a,36,53
PA1908,17,25
PA0527,1776,2610
PA2867,8969,13174
PA2263,32,47
PA4357,372,546
PA1277,210,308
PA2689,15,22
PA1530,461,676
PA0035,416,610
PA3668,101,148
PA4387,475,696
PA3687,2123,3109
PA4009,196,287
PA4452,110,161
PA3104,1343,1964
PA1941,600,877
PA1063,39,57
PA5170,42670,62317
PA2826,415,606
PA3183,3994,5825
PA5541,197,287
PA3775,81,118
PA2888,88,128
PA2394,22,32
PA0480,97,141
PA5140,550,799
PA2726,199,289
PA2253,104,151
PA4793,1827,2650
PA4904,227,329
PA4072,305,442
PA2089,370,536
PA4964,2310,3343
PA5010,1176,1700
PA0744,788,1139
PA1759,3190,4608
PA2029,45,65
PA2295,9,13
PA1667,302,436
PA4604,841,1214
PA0898,632,911
PA1832,861,1241
PA1078,593,854
PA2321,160,230
PA4199,931,1338
PA0081,1926,2765
PA3500,124,178
PA4883,23,33
PA3561,92,132
PA2325,23,33
PA0427,3023,4337
PA3427,794,1138
PA1059,522,747
PA1819,731,1046
PA3576,365,522
PA0092,135,193
PA1377,529,756
PA1237,21,30
PA3097,203,290
PA1924,21,30
PA5012,852,1217
PA0228,180,257
PA4368,401,572
PA5220,122,174
PA2200,162,231
PA1516,87,124
PA2678,154,219
PA2889,121,172
PA1319,38,54
PA1213,38,54
PA5205,480,682
PA2500,713,1013
PA0347,164,233
PA4168,412,585
PA4810,479,680
PA4920,1633,2318
PA5093,213,302
PA0566,491,696
PA4416,5519,7819
PA1349,12,17
PA1930,264,374
PA2274,12,17
PA2647,1668,2362
PA3431,178,252
PA5413,1135,1606
PA4015,548,775
PA1910,75,106
PA2300,63,89
PA1041,575,812
PA2098,17,24
PA5305,849,1198
PA0752,168,237
PA2354,39,55
PA4736,345,486
PA4809,377,531
PA0743,334,470
PA2266,253,356
PA1438,283,398
PA2521,64,90
PA4969,237,333
PA0439,168,236
PA4299,47,66
PA2344,94,132
PA4591,99,139
PA3702,733,1029
PA5057,487,683
PA1456,963,1350
PA4811,1194,1672
PA1980,5,7
PA2763,10,14
PA2890,35,49
PA0597,330,462
PA4936,1166,1632
PA1804,5651,7909
PA3845,223,312
PA5137,452,632
PA4337,156,218
PA3957,212,296
PA2160,48,67
PA0862,1599,2230
PA3124,408,568
