Gene,PAO1_control1,PAO1_control2,PAO1_control3,PAO1_FBI1,PAO1_FBI2,PAO1_FBI3
PA5409,1582,1718,1215,1233,946,871
gbcA,770,498,500,721,601,487
gbcB,663,212,353,417,411,321
PA5412,492,424,370,336,403,435
ltaA,465,248,278,322,297,281
PA0549,268,530,266,202,254,169
PA5414,310,180,217,247,274,240
glyA1,222,129,113,174,145,110
soxB,634,214,273,407,344,286
soxD,196,58,198,157,158,128
soxA,1087,483,515,688,526,376
soxG,123,81,41,64,38,32
purU2,240,214,119,143,130,99
fdhA,1871,471,776,675,652,578
PA5422,1412,865,1105,1362,960,976
PA5423,241,476,325,728,390,421
PA0550,203,188,113,122,127,107
PA5424,416,719,517,2760,1707,2234
purK,289,189,135,180,169,175
purE,97,61,59,120,82,86
adhA,9107,4961,6457,7773,3357,3165
PA5428,1658,1061,740,965,769,848
aspA,15323,1526,3722,5571,5638,6286
PA5430,293,214,207,181,252,229
PA5431,162,159,100,114,97,131
PA5432,56,74,33,68,50,35
PA5433,51,52,38,50,30,34
epd,198,198,130,345,172,162
mtr,126,180,120,174,119,138
PA5435,4244,3880,2773,3736,2492,1989
PA5436,5932,1992,3002,3660,3579,3086
PA5437,144,182,102,196,192,228
PA5440a,36,66,33,43,26,46
PA5438,1211,2140,1287,1803,1829,1980
PA5439,923,1875,1511,2084,1207,1148
PA5440,161,261,148,168,171,161
PA5441,352,448,261,229,230,190
PA5442,152,249,115,173,158,150
pgk,565,394,366,551,351,353
uvrD,1453,1784,1253,2425,2102,1892
PA5444,206,571,320,637,529,538
PA5445,851,876,557,774,697,552
PA5446,2153,4100,5048,6224,8909,8330
wbpZ,1073,934,694,986,925,810
wbpY,336,398,312,559,379,342
wbpX,279,209,191,574,274,349
wzt,450,373,264,871,539,636
wzm,359,240,210,376,253,265
wbpW,860,419,557,721,766,646
PA0553,614,1246,817,1514,1083,1116
gmd,1449,306,448,506,652,687
rmd,1272,382,448,830,898,905
PA5455,540,248,216,443,411,404
PA5456,415,134,232,307,270,304
PA5457,112,93,71,101,80,100
PA5458,490,394,342,419,389,385
PA5459,219,188,189,172,232,226
PA5460,486,3683,1827,6469,5428,3933
PA5461,297,418,248,690,447,379
PA5462,79,105,87,142,120,104
PA0554,943,1475,937,2856,1488,1281
PA5463,81,108,79,137,129,182
PA5464,361,493,309,366,329,374
PA5465,249,213,186,144,190,138
PA5466,153,217,113,237,174,157
PA5467,55,156,86,120,127,135
PA5468,686,843,556,699,651,596
PA5469,567,643,1033,565,742,644
PA5470,150,193,162,150,178,284
PA5471,289,295,270,307,284,418
PA5472,192,264,154,289,223,220
PA0055,786,463,450,723,594,605
fda,4292,1644,1816,4165,2503,2053
PA5473,2174,4664,3087,5159,2947,2385
PA5474,2708,3982,3008,2595,2176,1728
PA5475,8825,1917,3348,2400,2104,1993
citA,313,730,267,422,357,274
PA5477,383,526,347,513,511,432
PA5478,257,423,168,272,248,297
gltP,321,620,359,655,511,504
PA5481,987,2313,1355,3256,2182,1646
PA5482,706,1544,815,2592,1264,1173
algB,1170,789,567,912,772,793
PA0556,379,260,281,307,243,205
PA5484,567,579,443,449,515,430
ampDh2,398,504,312,581,471,396
PA5486,228,661,267,685,504,498
PA5487,1297,1067,761,908,944,835
PA5488,2225,1713,1077,2650,1966,1678
dsbA,4120,2811,2491,6366,3778,3972
cc4,618,647,580,1270,1163,1190
PA5491,194,164,131,279,224,183
PA5492,1511,2205,1190,1899,1677,1744
polA,1816,1343,1125,1302,1079,1128
PA0557,353,282,221,511,252,211
PA5494,24724,21189,27385,12994,26551,25600
thrB,1627,1965,1401,1249,1358,1412
nrdJb,1384,809,1075,667,776,961
nrdJa,4861,1368,3290,4208,3074,3276
PA5498,259,240,127,171,179,158
np20,514,472,320,365,399,364
znuC,794,874,617,670,662,649
znuB,1517,1135,1072,956,995,800
PA5502,315,221,204,247,210,238
PA5503,105,106,72,146,105,87
PA0558,809,412,302,360,362,315
PA5504,229,201,242,256,209,212
PA5505,3759,615,1213,1969,1318,1295
PA5506,76,160,71,155,83,88
PA5507,48,154,92,164,127,119
PA5508,141,343,151,216,143,134
PA5509,117,223,188,255,208,193
PA5510,208,370,198,385,222,265
mifR,285,518,254,334,208,205
mifS,121,251,91,177,142,126
poxA,131,121,68,127,116,87
PA0559,317,258,204,257,169,177
PA5514,135,154,79,215,179,165
PA5515,205,366,183,181,240,215
pdxY,252,273,184,252,274,258
PA5517,104,145,92,141,127,103
PA5518,371,447,241,305,287,322
PA5519,682,1116,1231,1469,1059,1092
PA5520,296,608,293,431,393,303
PA5521,1001,865,670,1215,768,765
PA5522,2553,3359,5056,5702,3845,3005
PA5523,1731,633,767,971,1002,1200
PA0560,94,134,77,154,131,69
PA5524,1524,2188,1430,1088,1040,972
PA5525,783,1469,859,1467,1483,1609
PA5526,333,1456,626,2121,1899,1948
PA5527,445,1881,784,3118,1349,1254
PA5528,981,432,336,573,508,583
PA5529,960,548,547,947,810,748
PA5530,224,3513,695,2919,1066,547
tonB1,5305,1898,3980,4650,3206,3768
PA5532,172,261,180,234,197,197
PA5533,455,588,491,894,706,695
PA0561,113,182,164,287,178,173
PA5534,93,85,39,69,61,61
PA5535,211,183,196,133,153,141
PA5536,21,35,33,47,28,33
PA5537,114,144,75,79,96,80
amiA,94,131,50,76,92,82
PA5539,81,174,57,114,92,73
PA5540,58,85,32,59,55,33
pyrQ,737,544,458,432,640,553
PA5542,1129,512,679,556,881,883
PA5543,215,125,146,121,232,260
PA0562,149,145,86,94,87,82
PA5544,1400,1216,866,1111,1131,1106
PA5545,1863,633,583,1118,975,1295
PA5546,12529,4343,4819,6590,5751,5418
PA5547,261,831,439,957,672,658
PA5548,404,842,406,461,447,358
glmS,393,863,351,331,468,298
glmR,63,284,128,236,282,282
PA5551,703,1543,815,775,1181,1159
glmU,1435,966,1380,1398,1209,1092
atpC,276,291,208,443,378,381
PA0563,199,248,106,318,201,196
atpD,4243,1035,2259,3106,2973,2766
atpG,1502,500,1114,1251,1555,1547
atpA,12093,2169,4534,6734,6411,6928
atpH,3057,907,2405,2482,2840,2753
atpF,2394,563,1277,1840,1682,1843
atpE,708,271,399,564,554,582
atpB,493,499,393,965,619,589
atpI,240,564,347,901,695,686
spoOJ,820,400,427,700,822,766
soj,769,447,620,628,821,732
PA0564,156,184,113,139,127,118
gidB,280,268,429,365,599,538
gidA,1756,1370,1348,2362,1692,1641
PA5566,71,99,75,115,96,94
PA5567,326,201,159,269,272,230
PA5568,887,541,519,1002,781,751
rnpA,345,208,214,333,333,348
rpmH,572,237,260,493,437,413
PA0056,110,175,117,190,115,115
PA0565,291,241,174,279,170,152
PA0566,726,999,490,419,444,364
PA0567,73,205,97,221,128,101
PA0568,138,180,94,119,84,69
PA0569,28,56,40,62,45,26
