Gene,PAO1_control1,PAO1_control2,PAO1_control3,PAO1_FBI1,PAO1_FBI2,PAO1_FBI3
PA1661,79,95,77,120,75,79
PA1662,277,314,235,284,214,194
PA1663,76,103,44,82,55,75
PA1664,12,14,4,10,7,3
PA1665,59,89,39,52,43,35
PA1666,57,66,89,84,74,64
PA1667,201,240,190,261,188,168
PA1668,49,84,37,99,68,45
PA1669,229,416,206,286,220,157
fmt,329,260,101,154,162,146
PA0170,42,132,37,70,54,29
stp1,101,137,53,59,57,43
stk1,184,380,146,151,187,179
PA1672,138,149,98,146,107,97
PA1673,2737,651,1065,1119,1307,1652
folE2,318,218,247,414,283,302
PA1675,83,201,130,193,109,136
PA1676,150,274,157,260,241,197
PA1677,1810,3668,1802,2581,1946,1537
PA1678,289,544,269,562,321,293
PA1679,1149,8186,2416,8045,5821,3706
PA0171,82,294,99,144,143,131
PA1680,88,126,74,154,133,154
aroC,370,277,213,340,333,257
PA1682,83,167,81,182,131,118
PA1683,353,274,214,434,330,246
PA1684,525,230,269,531,280,276
masA,172,202,136,176,177,160
alkA,583,1004,512,809,618,494
speE,208,581,293,417,359,339
PA1688,195,283,338,451,393,449
PA1689,277,279,216,336,181,194
PA0172,209,893,199,358,377,220
pscU,70,128,73,148,57,54
pscT,39,80,35,79,20,42
PA1692,24,64,31,56,17,19
pscR,108,135,129,174,134,119
pscQ,71,72,60,79,53,41
pscP,55,64,33,70,51,26
pscO,11,9,5,16,2,4
PA1697,21,37,10,68,23,18
popN,23,53,27,67,25,19
PA1699,7,19,4,14,6,3
PA0173,150,588,94,112,138,53
PA1700,5,15,9,29,16,2
PA1701,9,12,5,9,7,3
PA1702,15,26,11,13,26,8
pcrD,115,223,152,385,234,182
pcrR,39,61,36,116,40,40
pcrG,24,53,32,43,20,23
pcrV,93,46,45,122,77,71
pcrH,93,57,50,85,43,30
popB,379,265,285,489,319,319
popD,143,85,61,127,43,55
PA0174,115,438,115,116,116,66
exsC,72,98,64,56,40,44
PA1711,85,112,63,36,40,36
exsB,151,109,75,133,118,112
exsA,294,304,346,415,384,392
exsD,228,284,239,175,279,221
pscB,6,32,19,35,28,21
pscC,97,158,65,121,93,50
pscD,69,137,89,94,90,82
pscE,26,73,55,69,56,74
pscF,31,25,25,66,29,28
PA0175,650,1147,274,436,297,215
pscG,24,18,9,20,19,6
pscH,35,43,16,42,16,21
pscI,74,142,103,109,99,66
pscJ,114,184,120,241,134,122
pscK,16,31,15,26,17,16
pscL,33,58,55,73,33,43
bglX,399,589,301,505,411,341
mucR,404,958,579,1190,825,833
PA1728,10380,37246,28931,42439,31274,29654
PA1729,1003,6636,3443,5575,4547,3558
aer2,11648,12945,7174,7619,4585,3059
PA1730,978,5273,1505,3803,1698,1294
PA1731,842,4527,954,1429,789,463
PA1732,1869,6944,2359,1707,1470,926
PA1733,810,1884,564,838,547,389
PA1734,292,1969,273,408,353,194
PA1735,1527,10720,4826,11102,12257,11507
PA1736,1622,617,563,817,724,605
PA1737,1878,677,563,1042,720,584
PA1738,450,335,164,272,242,201
PA1739,76,213,43,130,92,98
PA0177,1557,2206,944,1252,697,457
PA1740,205,392,149,182,229,158
PA1741,94,128,90,100,86,86
PA1742,503,924,491,542,497,560
PA1743,34,350,26,34,36,34
PA1744,70,252,76,152,107,114
PA1745,1119,1510,1515,3554,2219,2242
PA1746,3473,2207,3568,2024,1237,1226
PA1747,2412,1490,2308,2391,1075,802
PA1748,657,1142,1096,708,567,513
PA1749,1031,1865,1030,1434,1518,1442
PA0178,3525,8495,2929,4432,3267,2141
PA1750,1552,975,981,1256,1258,1167
PA1751,174,140,99,201,137,129
PA1752,1739,1347,1014,1656,1393,1326
PA1753,1656,3940,2109,5771,3588,3344
cysB,5281,4424,3525,6092,5120,4654
PA1755,139,298,96,104,177,128
cysH,284,642,169,280,254,227
thrH,102,343,79,133,133,102
pabB,460,1241,626,1291,1217,1076
PA1759,3800,6240,4128,4605,4942,4160
PA0179,5832,24386,13511,48869,25905,22203
PA1760,3476,6687,5300,15802,10396,8351
PA1761,736,965,671,5785,2732,3258
PA1762,236,650,243,1098,726,717
PA1763,185,635,144,414,232,232
PA1764,191,594,237,513,429,463
PA1765,596,861,748,1805,910,953
PA1766,1055,588,757,849,801,746
PA1767,1031,745,652,815,695,736
PA1768,341,396,312,449,355,354
PA1769,1295,1370,1003,1596,1403,1287
def,1881,1217,1482,1887,1441,1296
cttP,841,2441,1160,2350,1127,882
ppsA,9967,2188,3632,4383,4831,4869
estX,31,74,25,68,46,26
PA1772,2242,646,702,1400,1048,1056
cmaX,855,441,533,673,600,672
crfX,180,754,358,460,508,496
cmpX,2412,2913,1864,1510,1631,1754
sigX,16484,14585,16881,18453,13985,11235
oprF,50231,10522,11322,21529,17007,18722
cobA,147,601,118,182,147,146
PA1779,448,2475,364,427,464,276
PA0181,257,342,181,967,372,323
nirD,46,224,40,94,58,38
nirB,159,1215,216,445,318,255
PA1782,71,508,77,117,91,60
nasA,46,344,32,101,68,31
PA1784,7348,1689,2146,4457,3422,3289
PA1785,44,161,52,71,51,56
PA1786,73,463,162,788,422,420
acnB,3598,1658,2357,2604,2273,2254
PA1788,202,154,134,201,153,149
PA0182,49,67,26,82,40,27
PA1789,6238,1963,2246,5839,3783,3565
PA1790,56,62,32,68,42,57
PA1791,119,132,152,232,193,183
PA1792,270,129,130,154,234,174
ppiB,3230,915,991,1827,1177,1188
glnS,2358,700,1365,1611,1330,1430
cysS,1909,929,1129,1303,937,864
folD,740,550,521,363,539,516
atsA,187,396,251,374,255,179
PA1797a,47,90,48,107,87,65
PA1797,229,394,235,373,330,393
parS,125,228,116,208,218,202
parR,162,157,167,274,275,262
tig,3094,2427,1983,3897,3110,2858
clpP,2302,2067,1536,2561,2329,2421
clpX,19978,13482,13236,13301,12264,11953
lon,39644,38840,44676,47256,27420,21978
PA0184,59,151,77,112,71,59
hupB,1747,1067,754,729,738,654
ppiD,2559,660,1313,1714,1817,1852
fabI,191,107,99,168,147,116
PA1807,239,213,162,242,211,181
PA1808,132,218,174,221,180,145
PA1809,248,422,297,465,300,295
PA1810,627,583,546,732,615,666
PA1811,431,424,362,628,545,508
mltD,863,667,725,894,940,803
PA0185,91,187,106,161,82,93
PA1813,1194,560,489,717,813,700
PA1814,1625,2112,984,1553,1136,952
rnhA,348,396,333,421,380,345
dnaQ,206,348,118,196,153,121
PA1817,2122,4030,3031,1778,2281,2011
ldcA,857,999,843,1120,1088,955
PA1819,837,1477,995,2072,1764,1718
nhaB,484,564,374,468,442,329
PA1821,1699,1002,900,1008,993,860
fimL,1255,959,736,573,700,594
PA0186,64,116,50,110,52,78
PA1823,360,225,219,222,267,191
PA1824,156,153,126,126,111,98
PA1825,251,213,133,138,182,195
PA1826,555,637,475,566,534,561
PA1827,61,135,47,84,75,34
PA1828,498,143,158,778,281,221
PA1829,742,447,455,1671,781,632
PA1830,1367,538,364,1214,632,576
PA1831,3173,1447,1189,3021,1823,1990
PA1832,9571,10667,11750,12497,9916,8630
PA0187,380,94,110,212,139,183
PA1833,3022,3192,2235,2498,2665,2657
PA1833a,480,1046,453,479,647,489
PA1835,191,382,122,211,209,232
PA1836,102,448,109,137,140,109
PA1837,79,417,108,119,84,51
cysI,814,1954,1056,1358,967,766
PA1837a,1808,8153,8813,11146,10906,12776
PA1839,419,2348,563,904,757,617
PA1840,149,298,62,129,91,67
PA1841,82,305,85,95,100,60
PA0188,235,123,133,172,196,171
PA1842,114,388,107,105,125,74
metH,2025,2537,1400,1321,1104,869
PA1844,18,131,22,39,38,16
PA1845,111,424,139,174,208,178
cti,411,724,310,386,359,340
PA1847,8250,5512,5080,6080,5685,5681
PA1848,59,190,42,50,44,32
PA1849,12,31,7,17,14,12
PA1850,141,215,69,123,128,128
PA1851,777,1198,840,1109,1044,1165
PA0189,142,125,70,121,94,82
PA1852,1453,1090,1021,778,794,921
PA1853,324,1086,364,1088,860,669
PA1854,200,427,227,311,253,230
PA1855,23,46,23,33,25,19
PA1856,1151,1383,1041,1336,935,775
PA1857,271,377,251,303,361,254
str,209,252,186,269,225,187
PA1859,327,458,366,706,489,479
PA1860,789,2253,1646,3213,1603,1436
modC,914,2625,1160,1815,920,646
PA0020,562,243,233,357,327,308
PA0190,48,64,32,45,39,34
modB,232,758,276,537,417,313
modA,508,547,282,663,389,382
PA1864,456,595,358,362,289,213
PA1865,514,627,374,458,367,334
PA1866,1136,1617,884,863,896,903
PA1866a,41,57,49,59,50,77
xphA,15,48,17,36,15,9
xqhA,130,255,112,130,94,76
PA1869,1304,657,372,748,372,246
PA1870,1494,2885,2886,3247,1671,1838
PA0191,89,127,82,184,147,149
lasA,37233,3706,8644,12107,14125,14729
PA1872,1455,766,1002,814,1046,867
PA1873,290,344,204,448,274,240
PA1874,5932,2151,4701,4527,3159,2095
PA1875,561,353,673,471,519,265
PA1876,1094,1872,1246,1463,926,577
PA1877,260,406,332,533,247,179
PA1878,153,143,128,139,80,67
PA1879,225,297,221,273,169,166
PA1880,3000,3482,2783,4643,1583,1128
PA0192,137,160,116,139,112,116
PA1881,1146,1316,1301,4559,1383,1048
PA1882,12,36,8,40,20,29
PA1883,47,106,66,113,100,59
PA1884,69,112,59,77,59,64
PA1885,207,373,262,381,298,276
polB,811,1757,779,555,644,502
PA1887,557,755,467,485,339,275
PA1888,2860,1462,1278,1349,1110,754
PA1889,465,630,401,1110,891,787
PA1890,225,250,152,318,212,228
PA0193,46,42,32,32,34,18
PA1891,55,93,52,66,51,44
PA1892,159,173,119,299,170,165
PA1893,403,415,293,473,343,317
PA1894,362,216,254,313,317,369
PA1895,1549,987,1019,1183,1177,1304
PA1896,361,420,364,303,317,365
PA1897,205,104,149,238,175,150
qscR,250,294,215,341,240,225
phzA2,1366,370,661,854,380,133
phzB2,6796,938,2699,4075,1846,890
PA0194,70,177,95,120,107,87
phzC2,452,383,398,290,107,79
phzD2,2,2,0,1,0,0
phzE2,7,0,2,0,3,1
phzF2,10,4,3,2,1,3
phzG2,3,0,3,2,0,3
PA1906,807,1412,796,448,549,235
PA1907,813,3474,1785,1058,1055,512
PA1908,85,361,114,143,103,51
PA1909,49,138,47,144,78,81
femA,233,240,154,332,171,201
pntAA,1175,918,497,832,685,747
femR,237,87,95,100,138,152
femI,369,76,122,171,205,252
PA1913,181,93,37,119,112,111
PA1914,398,421,415,609,320,234
PA1915,665,1248,807,1449,1087,940
PA1916,269,418,337,528,436,306
PA1917,24,67,61,61,45,51
PA1918,57,99,49,80,57,67
nrdG,216,264,241,166,188,114
nrdD,342,437,375,414,313,289
pntAB,97,107,60,112,94,121
PA1921,84,73,60,96,58,64
PA1922,50,53,20,98,43,28
PA1923,138,182,81,137,81,98
PA1924,48,48,35,46,37,34
PA1925,58,76,53,75,78,65
PA1926,230,195,180,265,184,146
metE,292,1538,522,555,393,202
rimJ,89,78,42,67,82,76
PA1929,62,68,35,22,56,40
PA1930,5053,7256,8286,15648,5424,4871
pntB,361,267,153,303,275,243
PA1931,295,1191,514,752,708,481
PA1932,828,3227,1556,1651,1942,1573
PA1933,5780,9208,5245,5480,5684,4680
PA1934,64,91,35,69,51,35
PA1937,74,165,75,241,119,137
PA1938,25,76,34,47,39,43
PA1939,5104,2028,3279,2946,4046,3758
PA1940,1033,1193,1519,1311,1591,1649
PA1941,1001,1013,728,1022,924,883
PA1942,3066,6438,1813,3963,2738,2457
tonB2,49,160,59,89,93,68
PA1943,982,962,709,915,718,705
PA1944,2510,1266,1206,1624,1408,1318
PA1945,374,396,230,229,249,208
rbsB,4157,2416,2505,3137,2721,2775
rbsA,3167,1972,1442,3467,1830,1673
rbsC,1303,728,474,742,621,598
rbsR,2647,1403,1217,1246,1140,1122
rbsK,3982,2328,2251,1456,2004,1686
PA1951,1178,2371,1476,3948,2759,3142
PA1952,69,246,83,106,115,98
exbB1,324,658,404,477,383,329
PA1953,305,360,267,193,312,252
PA1954,125,186,93,247,134,120
PA1955,86,111,64,108,52,66
PA1956,76,121,82,229,102,96
PA1957,26,66,21,52,36,25
PA1958,83,136,77,145,85,142
bacA,57,115,55,123,143,147
PA1960,81,57,49,50,43,41
PA1961,193,171,133,116,99,100
azoR2,51,69,37,36,63,49
recF,2053,3546,2462,3359,2560,1790
PA0021,75,91,48,94,64,40
exbD1,198,251,156,161,180,133
PA1963,94,163,81,80,88,61
PA1964,569,549,242,459,373,306
PA1965,45,99,15,131,86,56
PA1966,201,571,265,759,322,279
PA1967,418,1081,635,2464,1222,1042
PA1968,193,423,277,702,425,424
PA1969,80,676,90,175,83,73
PA1970,562,4811,802,2496,2064,1810
braZ,215,319,160,327,180,208
PA1972,102,104,52,103,67,49
PA0200,3718,881,1441,1010,1205,1446
pqqF,208,232,138,116,74,64
PA1974,55,97,48,116,43,51
PA1975,50,74,41,81,40,31
ercS,177,165,137,144,123,75
PA1977,52,132,49,86,75,39
PA1978,190,186,182,242,143,118
eraS,80,140,84,291,127,152
eraR,38,82,41,97,55,20
PA1981,51,78,36,80,47,29
exaA,72,131,65,147,47,76
PA0201,403,193,209,283,301,302
exaB,29,44,29,60,29,29
exaC,74,59,51,59,43,26
pqqA,161,262,142,336,198,182
pqqB,370,412,227,504,214,200
pqqC,219,283,167,249,215,129
pqqD,120,166,84,146,90,71
pqqE,476,594,312,210,249,181
pqqH,426,842,394,444,520,445
PA1991,390,144,129,166,216,176
ercS,1449,465,561,467,677,666
PA0202,228,332,236,304,328,405
PA1993,399,273,184,162,252,219
PA1994,249,315,165,220,249,225
PA1995,160,229,180,213,226,252
ppiC1,307,316,379,403,402,416
PA1997,1642,1726,1391,1812,1220,1254
dhcR,223,271,194,250,141,233
dhcA,4086,776,1773,2228,1902,1952
dhcB,1758,339,865,942,969,1071
atoB,2764,1625,2046,1634,1169,1326
PA2002,335,547,452,563,397,321
PA0203,260,231,171,427,517,588
bdhA,848,828,800,653,390,364
PA2004,1277,869,1148,788,771,699
PA2005,283,228,176,189,162,147
PA2006,600,444,422,327,336,281
maiA,8258,3419,5940,3041,3453,2914
fahA,13733,1449,3500,3387,2720,2774
hmgA,19079,818,3808,4470,6569,7067
PA2010,915,756,655,332,408,303
liuE,680,457,600,374,508,397
liuD,1398,1030,972,1068,922,800
PA0204,279,328,258,545,389,459
liuC,743,424,656,639,584,504
liuB,1744,719,1117,1242,1091,977
liuA,2600,1041,2029,2499,2059,1786
liuR,1621,1091,2582,2162,2656,2340
PA2017,1391,2309,1160,1034,1413,1192
PA2018,562,2515,699,850,851,642
PA2019,116,1093,94,116,169,99
PA2020,724,1840,879,1122,1025,987
PA2021,581,2196,1920,2359,2090,2906
PA2022,225,2518,502,1011,1285,962
PA0205,534,495,453,791,701,866
galU,1734,2409,1397,3578,1875,1441
PA2024,2306,8695,5535,6354,9762,9885
gor,5287,4295,6001,4509,5028,5110
PA2026,260,312,184,198,196,200
PA2027,74,88,74,83,70,60
PA2028,320,138,178,249,226,253
PA2029,312,47,74,112,132,154
PA2030,3316,504,2068,1231,2271,2216
PA2031,3970,512,2064,1555,2166,2059
PA2032,1095,435,809,424,606,553
PA0206,139,178,131,267,207,232
PA2033,3565,579,1324,1639,2300,2660
PA2034,1189,408,669,572,726,798
PA2035,1142,613,867,697,929,1001
PA2036,136,87,74,200,98,92
PA2037,1360,1246,1393,1576,1213,1218
PA2038,142,148,112,147,114,89
PA2039,143,255,233,240,199,227
PA2040,919,774,700,711,702,605
PA2041,508,1293,754,1099,779,804
PA2042,155,611,143,186,175,141
PA0207,280,342,270,234,249,280
PA2043,58,240,42,58,58,32
PA2044,672,699,401,459,488,546
PA2045,101,148,34,72,43,58
PA2046,269,1209,268,458,486,452
PA2047,323,1437,180,397,427,353
PA2048,135,284,90,64,93,65
PA2049,274,419,165,201,194,182
PA2050,32,61,55,54,69,65
PA2051,71,65,39,38,49,40
cynS,241,132,182,155,200,206
mdcA,744,594,489,423,329,307
cynT,106,82,52,70,38,50
cynR,116,160,85,60,56,54
PA2055,80,85,49,68,51,52
PA2056,77,68,60,102,59,54
PA2057,217,299,198,305,260,261
PA2058,62,120,49,75,80,65
PA2059,72,212,119,162,130,120
PA2060,21,44,27,45,23,23
PA2061,146,126,76,74,58,62
PA2062,223,205,164,179,149,58
PA0022,727,436,591,483,802,650
PA0209,108,246,152,81,63,81
PA2063,64,87,52,43,59,45
pcoB,46,57,27,36,36,32
pcoA,142,171,84,202,136,121
PA2066,453,265,225,208,252,208
PA2067,779,497,543,280,489,382
PA2068,1596,641,737,767,1051,863
PA2069,7084,837,2255,2109,2930,3209
PA2070,856,874,739,756,691,585
fusA2,7605,4898,5026,10761,4748,3575
PA2072,1337,1925,1157,1949,1647,1389
mdcC,71,74,43,38,22,16
PA2073,89,610,98,868,325,293
PA2074,65,316,68,62,73,35
PA2075,106,487,109,370,260,229
PA2076,118,290,140,161,125,82
PA2077,126,349,129,164,120,96
PA2078,156,403,188,214,212,160
PA2079,259,274,195,210,198,229
kynU,894,308,378,444,400,368
kynB,458,190,214,264,262,213
PA2082,198,187,141,199,210,252
mdcD,226,481,258,155,94,139
PA2083,89,204,101,130,76,75
PA2084,272,920,341,865,325,256
PA2085,34,152,43,77,26,22
PA2086,54,269,37,81,49,39
PA2087,45,262,48,82,77,45
PA2088,148,864,423,616,745,694
PA2089,548,1494,786,1206,1288,1127
PA2090,29,102,29,59,30,13
PA2091,27,157,39,48,28,21
PA2092,78,281,95,273,151,170
mdcE,192,570,271,101,98,106
PA2093,63,190,77,134,76,58
PA2094,254,779,350,300,288,273
PA2095,128,196,119,122,104,121
PA2096,102,165,77,193,107,66
PA2097,66,105,60,287,157,114
PA2098,69,64,35,55,26,20
PA2099,60,38,35,70,51,37
PA2100,727,386,409,723,496,554
PA2101,219,304,217,375,254,227
PA2102,437,861,604,344,482,376
PA0213,201,649,348,159,159,182
PA2103,428,330,306,587,397,418
PA2104,270,297,204,321,244,224
PA2105,347,324,204,434,317,250
PA2106,578,920,549,656,672,521
PA2107,80,180,57,143,61,44
PA2108,396,580,304,321,279,211
PA2109,75,203,71,66,65,50
PA2110,67,181,74,70,52,41
PA2111,73,117,75,86,71,44
PA2112,114,115,86,112,105,83
PA0214,211,520,236,209,96,107
opdO,206,267,269,294,306,221
PA2114,371,607,426,918,740,645
PA2115,42,177,39,104,71,39
PA2116,190,226,139,236,163,126
PA2117,174,256,118,167,198,163
ada,128,378,96,83,101,84
PA2118a,450,1247,985,3083,1257,1196
PA2119,1751,565,574,542,754,817
PA2120,111,153,66,95,90,69
PA2121,675,652,385,489,257,282
PA0215,129,335,188,188,226,291
PA2122,336,348,163,431,201,198
PA2123,212,193,109,112,110,109
PA2124,96,162,106,186,116,122
PA2125,70,122,50,94,54,44
PA2126,85,92,45,37,49,51
PA2127,838,1209,821,1792,1028,1025
cupA1,36,78,15,29,23,18
cupA2,16,26,14,27,13,11
cupA3,109,229,121,153,111,95
cupA4,51,122,52,113,67,55
PA0216,125,274,108,119,120,121
cupA5,26,96,17,26,28,15
PA2133,18,47,10,18,11,7
PA2134,1099,776,515,2042,504,407
PA2135,163,333,142,225,124,90
PA2136,38,222,95,147,96,72
PA2137,94,465,266,855,681,607
PA2138,115,640,198,636,235,144
PA2139,52,264,175,236,94,76
PA2140,58,229,69,124,63,30
PA2141,96,384,84,200,53,37
PA0217,141,163,92,193,131,154
PA2142,284,923,310,731,526,357
PA2142a,164,799,375,1247,955,910
PA2143,1090,4221,2077,3616,1295,984
glgP,1364,1833,908,1474,872,812
PA2145,93,131,56,86,49,60
PA2146,2110,1676,1014,1750,533,590
katE,308,209,163,229,168,157
PA2148,227,731,320,409,304,245
PA2149,167,292,206,303,149,130
PA2150,598,627,344,738,348,287
PA0218,187,82,82,183,133,139
PA2151,533,803,432,550,375,271
PA2152,1392,1558,870,927,664,476
glgB,519,666,253,321,174,203
PA2154,178,395,124,143,95,81
PA2155,123,250,101,86,98,95
PA2156,37,64,25,21,39,24
PA2157,124,282,114,138,81,85
PA2158,399,618,290,483,184,180
PA2159,1358,1649,907,1600,634,655
PA2160,1610,1373,896,866,654,550
qor,1734,260,507,657,813,827
PA0219,50,57,45,98,61,55
PA2161,96,200,90,117,82,70
PA2162,575,1391,576,565,364,277
PA2163,373,805,260,275,197,104
PA2164,593,1358,526,826,436,316
PA2165,1160,3264,1329,2632,1160,1044
PA2166,798,537,360,1436,666,484
PA2167,1457,1048,571,774,845,815
PA2168,232,388,129,164,172,141
PA2169,571,879,448,1428,291,193
PA2170,228,898,334,1065,306,149
PA0220,134,187,105,242,194,197
PA2171,1215,2227,969,5377,1074,834
PA2172,580,1756,448,784,502,401
PA2173,331,561,170,299,198,207
PA2173a,117,255,78,367,202,204
PA2174,626,1778,1186,4940,3568,3305
PA2175,181,827,329,497,318,247
PA2176,477,2696,1420,2077,1911,2223
PA2177,1549,2552,1669,2501,1672,1647
PA2178,493,1116,633,466,415,335
PA2179,136,652,236,349,205,145
PA0221,146,78,98,102,75,65
PA2180,293,1019,399,701,229,235
PA2181,195,786,265,554,272,297
PA2182,373,577,554,1271,836,836
PA2183,132,239,111,295,216,259
PA2184,683,462,307,592,335,296
katN,320,325,241,336,260,224
PA2187,218,377,215,346,158,136
PA2188,127,207,101,176,133,94
PA2189,160,260,182,606,283,279
PA2190,6420,3501,2956,5525,1570,1444
PA0222,64,59,52,80,51,44
exoY,144,198,118,216,151,163
PA2192,182,199,150,425,116,109
hcnA,4963,180,752,1191,831,1141
hcnB,8545,525,2814,3015,4123,4878
hcnC,15355,1145,4645,4759,5986,6726
PA2196,305,534,205,742,525,391
PA2197,548,623,330,405,292,301
PA2198,319,422,316,340,215,230
PA2199,1371,1300,851,1277,863,943
PA2200,189,341,137,200,151,112
PA0223,268,356,262,816,297,186
PA2201,121,175,81,103,48,62
PA2202,57,130,53,52,46,49
PA2203,24,84,32,39,40,23
PA2204,300,268,397,449,415,323
PA2205,86,95,42,77,95,44
PA2206,421,508,465,384,424,450
PA2207,112,147,82,157,98,83
PA2208,29,72,18,59,42,45
PA2209,58,96,59,176,74,97
PA2210,100,242,81,173,122,112
PA0224,227,294,171,523,242,250
PA2211,69,52,45,55,60,53
PA2212,137,57,58,99,75,55
PA2213,31,83,47,73,37,61
PA2214,74,104,47,74,68,52
PA2215,253,90,100,161,114,113
PA2216,109,91,83,92,83,50
PA2217,118,103,55,70,58,58
PA2218,208,426,95,218,159,102
opdE,118,380,110,153,149,112
PA2220,166,91,84,131,131,169
PA0225,70,47,30,72,38,51
PA2221,110,180,87,215,186,153
PA2222,450,140,176,240,172,161
PA2223,1053,345,529,545,460,506
PA2224,702,592,448,622,430,288
PA2225,82,47,51,78,48,40
PA2226,815,353,444,344,329,281
vqsM,791,545,480,587,469,538
PA2228,542,609,466,1070,629,710
PA2229,386,281,211,185,181,159
PA2230,128,161,134,153,119,131
PA0226,434,80,80,180,164,171
pslA,1993,1202,1602,1883,1552,1176
pslB,1454,996,1082,1508,737,596
pslC,1348,1450,955,1071,906,764
pslD,783,455,315,432,301,358
pslE,2794,1333,1522,1823,1309,1119
pslF,658,768,697,701,599,508
pslG,526,811,494,726,532,502
pslH,366,549,272,252,143,106
pslI,206,335,187,218,120,74
pslJ,234,292,208,213,226,141
PA0227,287,94,81,88,98,82
pslK,206,275,163,195,202,143
pslL,283,233,239,351,312,377
pslM,184,221,154,158,175,145
pslN,577,740,504,445,540,484
bkdR,362,1037,1017,2616,1523,1505
bkdA1,41871,2986,10222,13080,12542,12791
bkdA2,27514,2243,7718,9402,10708,11802
bkdB,32216,4319,9225,8795,11655,13018
lpdV,24390,5631,9190,8010,10726,10883
PA2251,308,256,146,317,270,282
pcaF,492,134,179,188,159,178
PA2252,188,191,114,229,176,167
ansA,262,265,140,126,125,108
pvcA,67,95,70,71,91,64
pvcB,61,95,57,67,43,35
pvcC,115,113,105,87,125,132
pvcD,27,43,34,33,56,24
ptxR,66,56,45,102,42,61
ptxS,594,182,196,196,216,167
PA2260,239,142,155,145,182,107
PA2261,293,217,209,223,212,153
hemF,356,253,326,384,308,279
pcaT,209,92,72,111,123,138
PA2262,449,367,348,682,475,381
PA2263,234,128,125,105,83,59
PA2264,272,559,338,585,341,265
PA2265,407,483,298,532,306,224
PA2266,311,477,282,253,243,175
PA2267,307,176,178,279,129,152
PA2268,104,149,76,155,121,96
PA2269,157,192,121,115,112,71
PA2270,157,150,98,127,124,120
PA2271,214,151,126,109,120,124
pcaB,377,232,203,133,156,164
pbpC,701,442,510,621,587,553
soxR,589,124,380,186,395,405
PA2274,665,224,254,319,405,348
PA2275,413,367,266,399,380,296
PA2276,210,226,111,226,131,153
arsR,41,40,35,50,47,25
arsB,103,118,78,134,63,61
arsC,51,59,48,69,35,43
PA2280,122,99,76,122,110,90
PA2281,236,136,120,171,124,124
pcaD,367,95,107,126,95,86
PA2282,577,479,405,360,427,334
PA2283,872,838,645,1085,1068,1192
PA2284,216,233,159,254,177,228
PA2285,652,671,680,1006,829,1068
PA2286,539,684,548,813,729,775
PA2287,338,394,348,424,403,442
PA2288,669,613,621,737,314,450
PA2289,411,372,230,275,271,246
gcd,2977,3675,2149,1932,1296,1137
PA2291,273,816,402,1279,624,562
pcaC,339,76,68,118,92,113
PA2292,20,19,19,13,16,9
PA2293,27,73,20,35,23,34
PA2294,75,116,57,63,54,50
PA2295,35,113,52,63,32,24
PA2296,96,97,69,104,53,56
PA2297,6,18,14,32,9,21
PA2298,523,244,416,486,257,235
PA2299,690,331,575,563,463,437
chiC,20350,1864,6628,8746,11210,11413
PA2301,1248,1335,848,644,620,563
PA0233,116,98,60,90,91,85
ambE,21955,18386,17215,13948,11994,9751
ambD,3180,959,2218,1423,1731,1583
ambC,4176,965,1918,1440,1756,1466
ambB,12351,3184,6424,4348,6052,5589
ambA,226,314,314,520,444,469
PA2307,48,89,63,64,66,80
PA2308,19,71,18,51,32,25
PA2309,117,92,49,104,79,61
PA2310,74,90,72,102,86,84
PA2311,34,37,14,34,31,35
PA0234,110,110,107,236,128,153
PA2312,54,65,50,97,73,68
PA2312a,1032,1355,887,1304,589,422
PA2314,60,106,57,74,54,56
PA2315,65,76,53,56,43,37
PA2316,295,239,151,204,187,212
PA2317,1154,1294,1036,1502,1106,841
PA2318,1417,1605,1275,1693,1239,911
PA2319,0,2,0,2,0,0
gntR,304,349,203,300,242,241
PA2321,212,181,173,230,129,138
pcaK,67,56,34,78,57,58
PA2322,302,244,203,329,220,188
PA2323,529,174,251,404,393,402
PA2324,59,108,75,173,67,47
PA2325,93,136,73,117,52,56
PA2326,107,432,225,385,150,148
PA2327,471,602,613,361,336,207
PA2328,977,691,1043,359,615,370
PA2329,1149,401,970,521,583,435
PA2330,2170,734,1749,805,916,697
PA2331,1661,198,573,396,673,664
PA0236,81,44,40,67,57,55
PA2332,345,350,256,458,216,171
PA2333,165,171,129,161,125,86
PA2334,33,44,39,48,40,36
PA2335,75,103,52,128,68,62
PA2336,89,88,60,89,64,58
mtlR,160,133,134,293,147,149
PA2338,351,231,205,225,139,123
PA2339,234,254,188,260,194,182
PA2340,199,238,184,351,166,179
PA2341,233,144,138,200,136,107
PA0237,23,33,15,50,31,23
mtlD,126,112,61,163,79,65
mtlY,61,138,68,61,63,32
mtlZ,198,227,146,130,110,83
PA2345,395,475,331,309,169,149
PA2346,64,68,34,86,69,58
PA2347,47,58,35,70,44,34
PA2348,53,52,64,85,38,39
PA2349,92,56,98,98,84,57
PA2350,107,160,63,145,85,42
PA2351,70,125,56,174,64,56
PA0238,112,89,52,80,53,51
PA2352,156,179,138,104,149,88
PA2353,121,301,186,606,313,298
PA2354,38,139,54,232,155,114
PA2355,33,68,21,61,23,30
msuD,47,107,46,90,56,30
msuE,31,51,28,183,51,44
PA2358,23,23,17,25,15,24
PA2359,102,216,103,116,122,136
