,YAbR10-OD1-MTB-1.bam.sorted.bam,YAbR18-OD1-PACS2-3.bam.sorted.bam,YAbR24-OD3-C3719-3.bam.sorted.bam,YAbR32-OD3-PA14-2.bam.sorted.bam,YAbR4-OD1-C3719-1.bam.sorted.bam,YAbR11-OD1-MTB-2.bam.sorted.bam,YAbR1-OD1-B133-1.bam.sorted.bam,YAbR25-OD3-CF5-1.bam.sorted.bam,YAbR33-OD3-PA14-3.bam.sorted.bam,YAbR5r-OD1-C3719-.bam.sorted.bam,YAbR13-OD1-PA14-.bam.sorted.bam,YAbR20r-OD3-B133-2.bam.sorted.bam,YAbR27-OD3-CF5-.bam.sorted.bam,YAbR34r-OD3-PACS2-.bam.sorted.bam,YAbR8-OD1-CF5-2.bam.sorted.bam,YAbR14-OD1-PA14-.bam.sorted.bam,YAbR21-OD3-B133-3.bam.sorted.bam,YAbR28r-OD3-MTB-1.bam.sorted.bam,YAbR36-OD3-PACS2-3.bam.sorted.bam,YAbR9-OD1-CF5-3.bam.sorted.bam,YAbR17-OD1-PACS2-2.bam.sorted.bam,YAbR22-OD3-C3719-1.bam.sorted.bam,YAbR30-OD3-MTB-3.bam.sorted.bam,YAbR3-OD1-B133-3.bam.sorted.bam
PA14_RS03760,95,25,20,77,44,27,52,31,124,388,38,35,44,82,13,35,5,28,128,17,36,707,34,52
PA14_RS03765,510,130,776,701,482,115,403,18,1464,4209,215,272,30,485,4,530,63,109,861,11,87,10107,139,1153
PA14_RS03770,698,173,4761,1076,534,153,573,27,2220,5270,272,644,36,432,10,827,150,238,900,16,71,6773,317,1264
PA14_RS03775,157,36,675,248,127,55,153,4,469,814,45,250,2,154,2,169,121,164,194,12,23,1827,97,201
PA14_RS03780,205,21,329,126,74,48,82,10,234,832,51,159,15,105,5,80,10,43,140,13,13,1603,75,274
PA14_RS03785,189,34,218,229,86,29,145,18,423,1503,43,282,4,129,8,110,24,113,322,20,17,1650,72,437
PA14_RS03790,727,322,976,968,555,238,662,78,1209,4116,225,325,143,988,48,823,84,227,2073,59,309,9598,116,635
PA14_RS03795,20,26,16,38,36,2,20,5,72,216,8,27,7,36,0,31,2,11,111,8,7,1034,2,100
PA14_RS03800,75,30,13,34,61,10,44,5,59,789,29,24,6,55,1,23,6,7,62,4,14,602,2,154
PA14_RS03805,139,31,57,100,98,20,69,0,164,874,31,44,2,77,1,81,4,131,137,2,18,1277,49,322
PA14_RS03810,115,6,27,2877,71,37,249,9,4626,845,58,1409,15,38,6,207,191,11879,65,26,9,749,5412,592
PA14_RS30080,2,1,0,64,2,2,1,1,81,19,0,1,1,1,0,7,0,54,3,0,1,3,39,3
pdxH,494,103,11,290,98,106,174,87,417,669,23,93,95,54,64,109,15,271,89,155,99,122,134,173
