,YAbR10-OD1-MTB-1.bam.sorted.bam,YAbR18-OD1-PACS2-3.bam.sorted.bam,YAbR24-OD3-C3719-3.bam.sorted.bam,YAbR32-OD3-PA14-2.bam.sorted.bam,YAbR4-OD1-C3719-1.bam.sorted.bam,YAbR11-OD1-MTB-2.bam.sorted.bam,YAbR1-OD1-B133-1.bam.sorted.bam,YAbR25-OD3-CF5-1.bam.sorted.bam,YAbR33-OD3-PA14-3.bam.sorted.bam,YAbR5r-OD1-C3719-.bam.sorted.bam,YAbR13-OD1-PA14-.bam.sorted.bam,YAbR20r-OD3-B133-2.bam.sorted.bam,YAbR27-OD3-CF5-.bam.sorted.bam,YAbR34r-OD3-PACS2-.bam.sorted.bam,YAbR8-OD1-CF5-2.bam.sorted.bam,YAbR14-OD1-PA14-.bam.sorted.bam,YAbR21-OD3-B133-3.bam.sorted.bam,YAbR28r-OD3-MTB-1.bam.sorted.bam,YAbR36-OD3-PACS2-3.bam.sorted.bam,YAbR9-OD1-CF5-3.bam.sorted.bam,YAbR17-OD1-PACS2-2.bam.sorted.bam,YAbR22-OD3-C3719-1.bam.sorted.bam,YAbR30-OD3-MTB-3.bam.sorted.bam,YAbR3-OD1-B133-3.bam.sorted.bam
PA14_RS22540,9,5,0,15,1,2,2,5,8,6,1,0,3,18,1,4,0,5,17,7,6,5,0,2
PA14_RS22545,27,40,4,42,9,15,8,29,55,55,9,10,31,46,15,7,1,47,90,6,26,37,19,32
PA14_RS22550,5,0,0,0,0,0,2,1,1,7,0,0,7,4,1,1,0,0,0,2,0,0,2,1
PA14_RS22555,5,1,0,0,0,1,2,1,5,12,1,1,4,12,1,0,0,2,14,0,3,23,0,5
PA14_RS22560,23,3,4,5,3,2,14,13,19,41,1,4,29,29,2,6,2,20,64,12,11,16,9,18
PA14_RS22565,23,12,0,26,3,3,3,17,27,55,5,1,14,26,3,16,0,13,42,5,9,12,4,13
PA14_RS22570,9,1,0,6,1,2,1,3,2,9,5,1,4,9,2,4,0,3,22,0,9,2,4,1
PA14_RS22575,23,20,1,380,18,12,118,10,357,136,60,101,32,24,9,117,11,32,15,25,13,37,22,252
PA14_RS22580,6,13,0,386,4,5,28,5,345,50,82,7,10,11,3,89,0,6,24,7,10,6,5,16
PA14_RS22600,4,1,0,2,1,2,0,9,7,27,2,1,9,9,0,0,1,3,6,2,2,8,4,3
PA14_RS22605,18,0,0,3,0,2,0,4,3,22,0,0,5,2,1,2,0,2,7,1,3,7,2,5
PA14_RS22610,6,2,0,8,1,2,2,8,1,20,1,4,7,8,7,6,0,7,13,6,6,9,1,3
PA14_RS22625,4,0,0,0,2,2,1,1,10,15,0,0,1,4,0,0,0,1,8,1,0,10,0,1
PA14_RS22635,11,1,0,0,0,1,0,5,9,13,6,1,1,3,0,0,2,5,4,0,0,2,7,2
PA14_RS22640,23,10,2,7,3,4,5,14,11,32,1,5,11,69,3,1,3,10,88,12,0,27,4,15
PA14_RS22645,5,4,0,11,1,2,5,9,8,7,5,1,2,11,2,4,0,2,12,9,1,11,0,2
PA14_RS22650,14,2,3,10,5,2,7,30,11,37,8,9,30,23,7,5,1,8,11,9,3,49,1,15
PA14_RS22655,8,7,3,15,9,11,2,23,22,76,1,4,25,29,5,1,0,7,15,27,5,103,9,4
PA14_RS22660,21,26,36,35,27,21,13,63,28,108,1,23,75,128,54,14,4,42,257,111,15,1209,13,29
PA14_RS22665,6,5,0,4,1,3,4,1,4,50,0,0,3,4,1,3,0,6,10,1,1,4,0,7
PA14_RS22670,7,2,1,14,5,2,3,14,6,49,8,0,9,6,3,2,0,6,11,6,3,3,5,1
dnaE2,104,47,3,96,30,51,27,82,87,188,20,16,75,121,42,30,2,46,160,77,66,117,27,51
PA14_RS29930,4,0,1,1,2,3,0,3,3,1,0,0,1,2,0,1,0,1,1,0,1,3,0,0
PA14_RS22705,157,102,3,83,37,65,40,112,91,289,24,13,194,91,83,86,2,79,101,191,138,123,25,93
PA14_RS22710,788,233,30,361,118,300,237,417,347,1176,66,67,572,219,212,219,18,275,357,333,312,449,133,222
recD,265,73,11,149,61,40,91,121,240,588,45,42,134,82,81,66,2,163,135,182,53,112,79,238
recB,1008,421,22,406,144,184,381,371,521,1505,90,101,440,218,236,187,19,501,366,535,349,412,272,540
recC,1715,592,22,359,234,399,704,1224,565,2601,110,143,1699,391,504,403,29,251,656,1031,397,538,142,727
PA14_RS22730,109,28,6,18,12,15,35,43,13,175,12,14,27,28,20,38,1,19,40,46,29,29,5,68
PA14_RS22735,8,9,0,1,6,7,4,14,13,35,3,3,13,11,11,0,0,9,12,20,6,11,1,1
PA14_RS22740,43,13,2,47,9,11,25,18,12,88,4,11,25,11,14,22,1,31,16,25,28,39,8,12
PA14_RS22745,66,6,140,13,18,5,9,6,16,289,6,9,15,26,4,8,2,71,30,11,11,48,34,11
PA14_RS22750,376,27,115,52,141,47,29,446,68,1528,37,29,407,96,90,45,1,112,117,110,21,219,139,42
PA14_RS30870,150,36,7,68,17,26,36,23,71,259,12,12,25,83,17,24,2,39,78,32,73,45,8,20
PA14_RS22760,525,88,3,204,44,165,197,108,184,532,58,37,130,72,139,321,1,80,128,158,197,122,50,268
PA14_RS22765,61,31,3,1587,14,10,31,44,1408,143,11,370,61,152,13,22,81,567,252,19,29,53,386,21
PA14_RS22770,3,1,0,460,1,4,9,5,298,29,5,94,9,17,8,1,3,76,28,6,7,12,62,3
PA14_RS22775,9,3,1,35,6,7,7,4,40,13,9,10,7,8,9,5,4,35,3,2,5,10,16,10
PA14_RS22780,108,166,64,2062,27,79,100,175,2044,390,17,297,397,1239,66,79,84,1533,1913,85,101,230,1049,66
PA14_RS22785,103,48,4,972,33,24,48,61,883,190,7,240,70,191,34,48,29,443,241,40,46,78,265,56
PA14_RS22790,2,2,0,12,0,2,0,3,16,19,0,8,1,1,0,1,0,5,4,1,5,1,1,3
PA14_RS22795,3,2,1,69,0,0,2,7,67,20,5,50,2,24,1,1,11,31,15,12,2,4,25,11
PA14_RS22800,20,9,0,701,8,5,7,26,670,65,4,156,57,80,6,19,6,173,151,32,30,23,167,14
PA14_RS22805,5,3,0,247,4,1,7,9,252,53,3,139,11,18,6,7,13,87,58,7,3,6,80,9
PA14_RS22810,35,22,3,1117,10,9,24,42,1325,132,5,837,56,181,38,11,60,374,323,61,13,134,341,96
PA14_RS22815,37,5,15,635,10,10,29,54,760,168,13,450,55,173,32,20,53,244,202,61,22,49,183,40
PA14_RS22820,33,4,4,1499,12,13,16,78,1921,138,5,404,82,166,22,25,81,217,304,34,17,25,178,16
cpaB,28,13,1,485,5,9,9,18,488,100,9,533,23,108,9,8,34,188,148,13,12,24,113,26
PA14_RS22830,21,4,0,5638,0,2,21,5,4859,47,3,2812,9,98,3,29,13,616,73,0,4,0,620,13
PA14_RS22835,180,142,1,338,40,60,335,152,352,474,42,143,170,235,90,385,22,134,254,147,228,209,48,301
PA14_RS22840,776,274,95,530,346,239,200,1344,966,1946,61,200,1170,657,425,237,32,327,864,896,329,1305,238,1176
PA14_RS22845,93,120,7,460,52,30,174,133,367,329,36,62,215,208,34,88,51,104,276,77,160,237,44,108
PA14_RS22850,166,208,8,496,32,36,297,153,484,415,91,61,218,288,70,365,65,67,433,113,271,187,58,199
PA14_RS30875,7,3,0,24,2,4,6,8,12,12,0,10,6,11,4,4,1,13,17,1,8,2,16,7
PA14_RS22855,56,99,8,498,39,14,40,152,711,223,16,128,160,648,24,21,6,498,504,63,99,150,244,49
PA14_RS22860,89,10,7,190,16,24,47,6,261,205,8,38,10,31,1,15,3,140,67,12,7,102,208,42
PA14_RS22865,219,31,1,247,36,90,98,71,264,301,49,36,98,132,48,82,5,186,253,71,86,103,89,72
PA14_RS22870,48,5,13,7,5,5,15,5,14,79,7,6,5,10,7,7,1,3,23,18,12,11,6,20
purU,1535,398,15,274,161,609,613,490,277,902,103,83,689,149,427,593,15,359,255,656,466,481,248,524
PA14_RS22880,649,556,15,1526,272,396,689,1256,1335,2201,164,258,1120,952,349,477,15,839,577,469,1149,601,640,159
PA14_RS22885,421,104,9,206,62,175,215,247,395,587,73,50,330,178,174,266,2,158,230,206,128,378,137,201
PA14_RS22890,154,128,11,22,45,73,70,60,28,331,19,13,43,100,48,47,2,28,85,66,124,163,9,120
PA14_RS22895,82,38,19,6,22,34,40,17,4,170,10,16,10,22,14,27,0,21,28,38,38,43,6,72
PA14_RS22900,156,55,1,21,27,55,64,14,20,204,11,5,35,31,21,29,8,24,31,21,48,40,11,44
PA14_RS22905,846,476,15,99,175,386,523,96,164,1291,47,39,175,77,209,317,3,172,185,387,407,568,125,795
PA14_RS22910,290,47,5,15,16,59,103,25,19,328,9,3,34,16,21,30,1,30,37,30,22,42,13,75
PA14_RS22915,476,235,24,51,113,154,171,54,80,1024,67,11,65,45,101,136,3,111,45,117,196,285,69,172
PA14_RS22920,267,119,3,72,42,65,168,45,92,516,43,22,40,69,32,82,9,53,129,128,122,83,27,295
PA14_RS22925,233,246,2,1238,36,62,196,70,1356,334,65,166,70,267,56,371,9,95,501,95,505,145,57,364
PA14_RS22930,80,30,2,58,13,27,45,58,58,154,5,15,36,50,11,48,0,36,52,33,46,22,29,54
PA14_RS22935,32,95,0,120,2,14,86,28,181,62,24,32,63,161,12,121,3,23,395,31,108,20,5,45
PA14_RS22940,158,10,1,70,7,42,43,99,80,219,8,26,107,58,34,32,8,71,64,23,15,41,22,21
PA14_RS22945,784,295,20,297,134,256,315,756,485,1192,131,66,1132,306,371,268,2,260,464,918,237,124,90,431
PA14_RS22955,204,119,57,295,88,58,94,257,331,546,42,34,321,230,159,138,5,130,539,197,217,318,32,185
PA14_RS22960,66,22,8,33,5,8,41,38,59,257,11,46,51,29,13,31,0,17,176,44,12,37,6,116
PA14_RS22965,260,86,1,334,35,89,232,140,618,520,38,107,212,255,65,168,3,145,347,124,78,243,89,312
PA14_RS22970,2231,276,16,238,256,629,693,1271,398,2507,202,159,1515,205,630,808,19,210,248,776,425,336,117,886
PA14_RS22975,161,51,42,57,20,54,61,78,109,359,25,27,108,56,77,62,13,19,106,93,42,125,13,198
PA14_RS22980,84,28,5,39,26,33,42,43,47,258,7,7,83,101,38,40,55,45,137,59,40,54,7,32
PA14_RS22985,272,39,6,67,38,95,76,107,91,394,16,15,156,221,49,63,8,124,238,113,58,113,48,117
PA14_RS22990,48,34,1,75,14,15,22,49,97,167,4,21,46,64,34,13,0,60,193,79,47,111,54,21
PA14_RS22995,88,54,12,123,24,40,72,62,124,232,13,14,71,163,34,36,30,67,223,71,99,87,57,79
PA14_RS23000,150,27,2,33,170,53,32,60,53,884,16,24,61,38,26,29,0,58,62,58,30,103,19,92
PA14_RS23005,281,75,10,112,78,135,113,285,152,654,16,23,399,183,140,103,5,87,247,141,112,207,22,183
PA14_RS23010,16,14,3,22,5,0,5,27,22,71,15,0,21,18,10,18,0,7,74,7,2,19,5,2
PA14_RS23015,90,19,2,33,9,20,16,42,42,121,10,14,28,38,15,17,1,47,50,57,12,54,29,62
PA14_RS23020,13,2,1,13,4,5,6,15,9,43,3,4,16,7,3,3,0,19,17,10,2,21,7,7
PA14_RS23025,68,16,24,28,4,8,7,23,53,107,5,15,40,47,10,4,4,41,74,23,13,39,24,31
PA14_RS23030,60,74,11,239,48,33,46,382,309,324,24,57,141,178,42,33,2,223,268,58,87,191,179,53
PA14_RS23035,16,4,13,9,3,3,0,12,6,56,0,2,17,9,11,5,4,5,29,13,8,42,4,3
PA14_RS23040,296,57,7,31,26,58,53,48,51,254,24,14,31,48,8,57,9,48,52,52,39,59,10,100
PA14_RS23045,2007,682,8,432,515,948,1092,503,673,2873,221,131,1291,967,779,904,3,1141,1171,1499,1079,532,476,700
PA14_RS23050,118,63,5,60,47,55,71,166,69,361,31,27,182,72,39,55,1,74,90,160,82,151,30,89
PA14_RS23055,144,22,31,75,11,29,48,48,121,189,16,26,60,102,11,20,9,135,115,16,36,59,15,112
PA14_RS23060,233,62,16,227,24,43,156,43,417,548,77,128,67,75,37,64,110,286,90,96,63,67,58,485
PA14_RS23065,4454,1930,1503,7701,1495,1862,3731,2303,12348,9838,642,2557,4132,2607,1570,1574,988,12460,5336,5304,2082,4174,4542,14379
PA14_RS23070,130,62,2,67,36,79,131,66,110,320,12,11,114,53,65,58,0,75,147,136,119,118,20,106
PA14_RS23075,42,5,3,53,8,14,17,5,65,64,3,8,15,19,2,22,0,40,16,3,6,9,14,15
PA14_RS23080,32,6,32,24,20,3,15,28,21,218,9,9,17,18,14,16,9,16,35,27,7,32,17,18
PA14_RS23085,318,55,39,168,173,91,111,217,298,1244,49,73,192,298,45,168,14,169,380,94,52,487,45,149
PA14_RS23090,19,7,14,13,15,3,15,8,11,240,12,8,6,66,3,8,1,15,65,3,11,28,4,26
PA14_RS23095,665,219,41,452,503,278,577,160,567,3019,130,240,297,416,153,590,13,419,709,278,203,1838,157,786
PA14_RS23100,32,13,47,32,30,15,14,20,33,172,3,5,67,35,74,15,5,12,28,75,22,96,11,24
PA14_RS23105,425,67,7,111,49,282,141,143,63,487,33,4,203,95,80,188,12,43,139,174,140,108,31,147
PA14_RS23110,16,5,0,1,2,4,13,15,7,39,1,0,26,23,3,2,0,3,17,7,0,10,0,4
PA14_RS23115,166,35,10,35,32,40,54,89,65,241,16,21,123,103,40,39,0,75,166,129,49,147,29,125
PA14_RS23120,41,2,1,41,5,11,15,22,87,101,14,35,24,48,6,9,9,51,66,12,5,15,23,24
PA14_RS23125,102,18,5,12,23,20,24,77,25,233,11,37,64,39,15,6,3,29,44,40,20,44,9,28
PA14_RS23130,12,1,0,6,0,1,3,25,7,43,6,1,11,0,2,0,0,1,3,7,1,10,0,4
PA14_RS23135,11,4,0,2,2,1,1,16,3,18,1,8,11,13,1,1,0,8,67,3,0,8,2,10
PA14_RS23140,2583,850,581,2032,864,910,1631,1759,2611,6919,345,497,2627,1698,1011,1209,120,1767,1179,1245,1760,606,1123,957
PA14_RS23145,1000,294,42,501,137,495,371,392,512,1349,87,73,749,419,265,245,38,1219,626,463,526,729,700,307
PA14_RS23150,237,65,16,73,32,80,80,82,167,342,24,70,85,154,36,45,2,179,271,83,51,101,43,235
PA14_RS23155,352,172,3,338,36,165,130,154,308,332,24,17,367,175,79,66,21,329,484,129,87,307,173,129
PA14_RS23160,1043,138,68,276,238,327,550,646,440,1858,181,149,698,622,249,737,42,271,385,402,195,969,154,420
PA14_RS23165,140,10,31,35,35,44,40,93,124,323,23,11,77,78,60,89,0,27,86,137,28,230,10,72
PA14_RS23170,215,74,60,51,47,62,121,193,110,583,54,39,198,96,64,128,4,23,95,93,54,183,25,161
PA14_RS23175,502,69,96,88,83,92,220,290,148,695,61,72,311,276,187,143,5,63,250,342,72,521,46,361
PA14_RS23180,290,144,29,52,40,69,89,112,62,454,32,18,119,152,69,104,4,25,113,113,165,117,16,112
PA14_RS23185,516,660,40,431,141,220,258,444,583,1317,49,94,533,506,234,282,11,217,814,422,705,1006,150,320
pncB,952,1153,59,361,176,558,299,433,402,1369,72,52,857,410,755,444,34,204,682,1454,1226,549,150,261
PA14_RS23195,49,5,53,139,7,20,15,56,99,315,4,15,71,65,49,23,8,36,69,26,21,97,16,29
PA14_RS23200,167,59,2,180,32,83,56,88,125,260,16,31,205,79,80,71,14,94,95,84,109,100,51,40
PA14_RS23205,222,70,13,296,38,128,121,117,343,374,21,52,246,182,95,113,0,210,507,181,103,169,92,90
PA14_RS23210,160,62,14,103,40,58,84,76,129,306,15,28,77,94,43,57,4,102,135,69,56,128,32,155
PA14_RS23215,399,78,2,171,69,111,115,155,212,569,45,46,222,198,83,61,5,164,432,142,102,206,76,201
PA14_RS23220,38,11,1,59,9,18,33,60,69,88,10,17,29,67,19,12,3,83,79,20,14,24,36,13
PA14_RS23225,14,7,2,13,2,0,7,5,16,44,2,3,3,24,1,3,2,7,26,5,6,11,15,5
PA14_RS23230,94,39,1,131,12,39,25,283,111,251,13,10,337,58,38,35,1,133,480,77,44,270,63,33
PA14_RS23235,129,12,0,72,7,33,25,22,94,74,15,53,18,9,21,33,11,43,8,55,40,23,30,10
groL,116986,10765,629,10997,11581,38109,15273,14311,21748,66083,2807,3744,28065,28050,61074,13329,727,28753,16859,140540,28232,22287,5460,18021
PA14_RS23245,26745,3854,488,4333,3964,13932,3600,4914,8334,14051,639,3241,8461,9876,20558,5032,213,10132,6972,45064,11201,9267,2906,7252
PA14_RS23250,570,256,3,285,62,242,155,91,240,536,20,38,185,78,108,87,14,63,249,579,379,287,24,124
PA14_RS23255,145,71,1,81,47,53,79,88,91,301,19,20,181,70,60,55,0,51,63,79,91,98,50,66
PA14_RS23265,535,120,6,145,60,182,173,100,167,802,36,16,173,124,98,203,0,136,185,48,101,319,93,87
PA14_RS23270,250,38,5,62,24,99,77,495,76,563,29,23,810,136,159,96,0,102,178,123,46,179,27,71
PA14_RS23275,16,2,0,5,0,1,6,23,6,35,3,3,16,7,5,10,0,6,16,5,8,6,1,14
PA14_RS23280,272,104,8,124,58,169,98,171,153,854,26,36,255,164,164,115,6,88,232,235,122,401,41,125
PA14_RS23285,627,380,20,409,110,223,309,86,1026,858,147,30,81,61,95,799,2,192,142,194,604,323,250,373
PA14_RS23290,1116,146,15,327,135,576,360,241,418,991,84,104,449,233,185,452,24,356,176,257,333,397,162,402
PA14_RS23295,84,30,1,26,8,41,39,21,29,98,2,4,33,29,25,15,2,16,37,27,24,28,10,17
PA14_RS23300,39,6,1,15,14,9,11,12,26,68,3,18,15,36,3,3,1,13,31,9,3,10,6,23
PA14_RS23305,243,48,12,108,30,73,113,147,141,497,13,41,270,128,85,84,15,97,163,144,65,211,40,94
PA14_RS23310,102,42,21,62,38,28,96,135,124,356,18,67,130,67,38,39,31,73,72,83,19,128,37,144
PA14_RS23315,316,59,33,62,54,65,83,233,103,787,50,48,210,69,76,84,9,40,145,197,88,138,30,156
PA14_RS23320,616,177,9,184,111,314,352,303,238,821,35,83,471,185,91,209,22,196,329,180,260,321,114,414
PA14_RS23325,1234,437,46,720,177,409,479,626,1116,1492,131,154,1005,310,490,824,15,338,376,526,729,938,188,632
PA14_RS23330,6929,1655,161,1684,990,2611,3050,2026,1958,8522,544,395,2893,787,1704,3255,90,1031,1022,2499,2381,3444,712,2397
PA14_RS30880,2,0,0,4,0,2,1,1,2,2,4,3,3,1,3,1,0,1,1,2,1,0,0,2
PA14_RS23335,313,75,7,90,36,61,110,104,131,379,25,37,80,66,48,115,0,50,116,104,113,199,34,196
PA14_RS23340,207,66,79,92,32,79,57,41,70,428,16,15,91,76,109,91,10,48,127,94,86,141,32,90
PA14_RS23345,3582,2540,2401,5315,1370,1733,2026,2831,3849,7013,311,426,4069,2781,2640,2164,3087,4069,2846,3314,4045,3890,2967,1912
PA14_RS23350,5568,4128,1934,7967,1735,2101,2578,4469,7384,9852,774,881,7093,4370,2437,3133,1271,6875,3663,4857,4760,5333,3387,3172
ftsA,3691,1590,212,3307,857,1290,1279,1666,4069,4430,381,663,2479,1528,1409,1813,168,4319,2445,2338,1978,3212,1859,2151
PA14_RS23360,624,306,8,619,143,267,265,313,382,1091,71,127,576,310,169,216,7,514,414,289,392,481,239,263
PA14_RS23365,1473,845,88,824,289,404,348,428,1259,1793,151,289,741,726,427,370,57,913,1740,828,717,1705,453,1005
PA14_RS23370,3587,3040,115,3335,807,1297,1445,1971,4097,4720,323,825,2869,2602,1535,1530,70,2510,4489,2789,2479,4128,1382,2575
murG,700,267,8,398,124,200,369,434,512,1565,104,109,529,281,187,342,15,423,430,352,463,709,119,612
ftsW,924,947,46,1667,320,471,692,751,1537,2513,136,452,1516,732,570,534,75,1596,2107,1240,1304,2328,801,1141
PA14_RS23385,2265,1978,239,2688,486,889,968,1225,2960,3674,168,670,2386,1514,1451,932,128,2361,3966,2665,2187,3675,1319,2307
PA14_RS23390,1384,787,18,1602,250,665,844,418,1503,2029,117,247,719,620,403,729,44,1159,1076,660,947,1244,728,768
PA14_RS23395,1656,699,158,749,284,407,686,624,935,3061,207,555,858,839,348,505,76,1076,1160,606,833,1030,351,898
PA14_RS23400,1012,564,102,927,177,277,375,520,1099,1909,183,305,584,471,232,474,43,599,1092,541,503,755,299,803
PA14_RS23405,2403,1147,130,2390,526,1047,1255,1907,2778,4576,355,646,3181,1624,845,1417,50,1173,3496,1471,1422,3048,729,1312
ftsL,153,21,15,123,32,43,58,71,140,216,15,28,96,114,44,54,3,46,205,65,66,129,29,72
PA14_RS23415,1734,627,91,2183,182,704,597,1233,1641,2532,197,160,1959,1006,770,915,28,833,2589,1007,768,810,489,554
PA14_RS23420,2188,2603,149,5060,406,1723,946,3149,4033,3040,152,653,4701,2480,2016,1348,50,4730,7394,2496,2263,2805,2674,1849
rnpB,46183,21390,578,272829,18317,38247,112307,200598,133370,224818,10048,14198,156526,36099,30203,45953,5510,287826,69025,21288,129168,50587,78955,15472
rsmI,142,30,0,25,19,64,39,27,20,149,19,15,38,45,28,32,0,49,37,80,26,39,18,70
PA14_RS23430,395,38,128,77,43,96,122,124,79,609,38,16,96,59,63,83,35,51,70,106,89,109,40,120
PA14_RS23435,253,49,4,39,39,109,62,70,42,305,11,20,139,75,68,45,3,116,115,121,63,194,52,113
PA14_RS23440,680,223,9,211,103,272,284,280,241,1041,58,51,512,194,150,244,2,186,247,278,429,227,106,200
PA14_RS23445,601,120,8,311,92,255,280,398,366,1184,45,46,592,154,181,269,14,233,262,200,289,356,152,120
PA14_RS23450,205,64,0,51,29,63,63,31,131,273,64,18,49,87,28,158,0,33,79,23,107,50,16,104
PA14_RS23455,676,453,9,161,44,244,263,122,266,606,103,61,148,271,159,456,2,152,245,348,410,304,70,615
PA14_RS23460,4375,2779,103,2874,1309,1899,3393,2218,3070,7249,595,603,3423,1301,1582,2737,78,1363,1598,1845,6136,3015,1202,3729
PA14_RS23465,4713,2993,20,1535,1294,1284,3661,1578,2876,7425,428,567,2007,1565,1674,2561,33,767,2129,2505,4241,2631,991,5091
petA,2246,858,38,374,370,593,1156,577,686,2837,273,233,785,729,600,1103,17,367,554,757,1024,720,204,2324
PA14_RS23475,6400,3301,21,1641,1195,2918,4436,2809,2281,7335,772,520,3163,1215,3291,6526,1,688,1784,4151,4465,5925,383,4451
PA14_RS23480,4445,826,13,400,474,1560,1885,823,556,2636,273,84,797,338,801,2132,0,176,351,763,2612,727,136,1106
PA14_RS23485,313,61,8,248,70,81,108,242,320,529,33,67,280,151,131,108,13,153,211,193,103,161,102,176
PA14_RS23490,256,134,21,845,55,112,103,373,1155,442,30,92,394,372,226,118,20,345,425,216,257,184,172,191
PA14_RS23495,107,39,1,102,20,36,37,93,115,245,17,12,132,107,53,42,1,104,149,60,84,125,36,33
PA14_RS23500,55,12,0,62,12,19,43,33,37,107,9,8,39,34,25,45,6,26,53,19,33,59,7,54
PA14_RS23505,384,60,14,57,44,135,166,104,55,484,25,9,82,71,125,150,0,28,63,131,96,95,19,148
PA14_RS23510,944,425,16,262,235,648,614,669,494,2140,87,68,1186,219,835,659,1,213,415,857,625,1034,84,677
PA14_RS23515,289,60,4,57,23,107,67,69,68,397,42,19,82,65,68,67,0,45,109,121,76,115,29,57
PA14_RS23520,251,61,30,67,94,88,121,147,106,1134,32,30,269,73,67,105,5,62,56,122,95,200,30,93
PA14_RS23525,2355,2896,318,701,583,1006,956,422,1094,3890,239,212,498,620,886,1073,168,216,673,1268,4879,2926,168,1228
PA14_RS23530,1001,465,6,199,152,395,367,173,266,1199,45,43,169,332,335,548,3,96,283,325,909,596,49,325
PA14_RS23535,115,37,7,108,26,28,79,47,105,266,13,31,59,119,51,68,1,35,203,33,77,148,18,93
PA14_RS23540,221,65,16,95,33,49,86,167,164,383,22,23,150,157,80,90,13,61,223,68,77,165,38,107
PA14_RS23545,568,101,12,148,75,164,313,420,218,1140,51,63,461,142,168,142,5,75,212,219,193,284,42,295
PA14_RS23550,570,225,42,568,168,218,309,586,655,1105,53,162,832,230,202,386,17,156,484,479,304,912,170,571
hisD,531,72,18,173,94,151,239,274,189,781,77,46,343,96,119,267,12,43,94,192,144,265,38,169
PA14_RS23560,2579,537,42,197,327,624,518,496,345,1761,86,119,721,302,689,523,16,231,499,1006,517,1766,150,871
murA,2491,327,138,463,290,762,1091,749,739,3403,183,100,762,340,505,1199,22,247,450,802,626,987,109,1448
PA14_RS23570,128,42,3,55,30,68,86,39,30,150,14,10,56,16,38,85,3,21,24,81,92,36,6,36
PA14_RS23575,1628,91,102,64,159,255,638,232,146,3753,93,50,267,42,178,140,94,89,101,409,95,395,68,585
PA14_RS23580,607,114,18,263,49,253,348,147,208,681,58,35,239,56,132,298,13,118,43,297,185,150,77,93
mlaD,796,259,43,228,97,331,528,273,291,947,39,82,393,151,256,269,18,229,325,284,381,451,132,447
PA14_RS23590,828,93,14,86,97,258,338,221,171,823,22,38,253,74,229,234,4,84,164,312,206,543,86,344
PA14_RS23595,842,371,21,362,178,322,402,903,334,1343,60,62,1151,254,478,287,12,265,478,575,695,833,155,489
PA14_RS23600,1221,349,303,274,133,425,475,333,225,1599,100,45,419,207,350,405,130,122,304,721,395,390,75,493
PA14_RS23605,728,243,20,209,109,368,316,451,227,1015,60,48,763,379,308,289,28,239,687,401,331,754,97,292
lptC,802,329,38,841,129,365,438,700,809,1214,55,184,663,529,256,364,9,559,1283,280,442,695,402,392
lptA,865,231,22,369,125,368,389,178,283,1090,78,44,383,171,133,410,5,150,184,171,465,415,111,126
lptB,894,274,47,570,135,454,552,353,598,1852,78,134,525,544,259,411,28,490,887,357,405,642,304,294
PA14_RS23625,2418,621,71,909,386,830,1261,1392,1028,4218,200,114,1587,755,628,973,17,587,881,757,1294,957,388,357
raiA,1564,817,150,4999,535,759,1995,3429,3902,6551,393,298,5490,1886,732,1101,183,3636,1929,907,3516,2028,2369,220
ptsN,1513,1299,30,1922,509,572,948,640,1525,3593,217,227,1388,587,389,905,4,1225,722,927,1937,1972,581,939
PA14_RS23640,1854,1570,14,2443,339,1188,1059,374,1604,2911,288,173,987,716,820,1427,6,1690,1029,1404,3423,692,403,704
PA14_RS23645,315,120,11,75,35,117,173,36,112,489,42,14,53,74,60,104,2,102,121,162,163,104,16,92
PA14_RS23650,55,7,1,23,3,12,13,14,23,81,8,6,13,29,1,15,1,6,71,17,20,132,2,12
PA14_RS23655,40,14,0,48,8,18,22,65,45,88,6,21,52,63,11,40,2,17,86,14,23,87,13,23
PA14_RS23660,21,2,0,3,1,1,8,14,4,28,1,1,18,12,9,7,0,4,16,18,1,191,4,0
aspA,4669,842,97,1548,590,1265,1118,621,2161,4203,165,567,648,3543,361,1151,49,389,4783,583,861,9413,250,1499
PA14_RS23670,17,6,1,19,2,6,7,10,12,26,2,1,12,29,9,9,0,24,20,1,11,173,6,9
PA14_RS23675,1688,213,69,1410,253,530,348,574,1919,1757,96,191,756,491,648,471,60,989,1746,2254,343,1167,487,560
PA14_RS23680,458,104,13,390,78,86,270,389,416,1001,43,77,252,175,141,113,11,368,334,478,70,295,115,410
PA14_RS23685,1900,305,48,1544,329,554,426,619,1507,2296,86,315,856,586,594,318,55,1209,793,1763,463,968,730,606
PA14_RS23690,432,26,8,662,52,119,41,89,808,371,32,69,111,46,45,122,4,269,88,157,35,113,162,150
PA14_RS23695,890,256,43,883,283,329,411,474,1069,2029,119,220,549,200,284,322,58,716,442,492,218,948,326,714
PA14_RS23700,1036,430,32,987,293,578,557,370,985,1828,108,137,560,347,361,520,21,852,755,459,594,864,558,440
PA14_RS23705,73,33,5,33,14,22,33,31,87,166,17,14,31,43,44,22,1,40,76,26,63,45,44,45
mreD,156,41,7,27,15,44,57,55,33,191,11,8,39,8,72,61,3,20,30,155,58,66,12,146
PA14_RS23715,552,474,15,74,67,168,246,155,181,739,57,48,127,95,130,274,5,48,190,191,423,310,40,211
