,FPKM of control,FPKM of Ag NP-1ppm,FPKM of Ag NP-20ppm,FPKM of Ag NP-25ppm-1,FPKM of Ag NP-25ppm-2,FPKM of Ag NR-1ppm,FPKM of Ag NR-30ppm,FPKM of Ag NR-300ppm
PA4816,51.0445,28.8366611,20.4785027,64.3188,53.7568,37.08959812,44.27848576,48.98082856
PA0489,52.2928,35.79940293,26.46530147,90.1255,67.6094,45.32817618,56.86199456,55.52981359
PA4817,66.9085,53.17264945,22.02741003,90.89,95.8108,66.76002052,57.150426,73.96822963
PA4818,43.9708,30.18102275,13.93122732,65.5414,46.1493,33.75215164,41.775503,45.3066467
PA4819,23.5022,19.69482066,6.91171699,29.1886,31.5612,20.677632,19.58135554,18.93474332
PA4820,34.142,21.69410582,26.15721085,35.0649,39.2922,24.45703665,19.43252822,23.89508689
PA4821,53.6118,42.83430623,16.52182994,82.9059,55.9947,51.82365104,51.85207813,55.25688167
PA4822,35.7465,34.33314429,26.69308412,47.9553,42.4381,35.74770996,30.42559173,36.54508006
PA4823,15.8552,24.24033618,24.16026015,25.1897,33.6787,28.90623648,18.29302296,22.32461722
PA4824,40.313,30.29407775,31.13237054,52.7644,50.071,39.05818553,33.24546977,44.75384477
mgtA,31.7362,48.03961046,148.33177,65.9582,85.8731,55.60824696,27.60088315,49.0109
PA4826,35.9467,115.9904197,494.9684105,174.61,158.528,71.79063983,45.55311491,66.40964769
PA0490,66.8139,127.2376003,164.408746,101.067,104.27,83.23463293,58.40785392,89.60463199
PA4827,34.5412,32.79135885,26.33338841,39.9494,48.2362,34.01927451,29.79664737,29.20296623
PA4828,28.8584,22.45924347,13.77024543,38.1069,35.7653,27.90132198,25.21290025,33.33349659
lpd3,42.7254,38.51568901,24.94178946,60.6384,53.905,37.91389972,35.77186374,43.60475151
PA4830,24.2868,24.30759165,25.13618299,31.5761,32.9106,26.90455393,19.63498587,19.07656686
PA4831,34.5738,33.3334693,32.14512768,46.285,42.9388,33.46720332,35.74400088,34.97208736
PA4832,26.8202,18.62138153,18.09157832,35.6811,30.0049,24.77519724,23.58171109,27.87207506
PA4833,44.495,60.68155035,77.87356102,56.0056,62.2394,45.21293869,46.16809973,45.32634104
PA4834,50.4737,52.23369907,43.96989433,72.62,69.0263,56.39463449,44.67710843,46.073897
PA4835,36.8843,27.27209668,10.74791961,50.1405,51.2833,35.39362717,31.03210226,32.35570084
PA4836,25.1681,22.26743423,8.022586695,34.8133,35.5305,27.79976105,22.14017202,24.28125438
PA0491,45.8885,46.87777399,35.94806904,65.7322,70.1742,43.66908818,35.62310697,40.00202333
PA4837,43.7304,32.73877075,14.36088596,51.9976,57.0107,39.30616992,35.77284176,32.51664133
PA4838,37.5258,31.8175394,19.61512285,52.1508,46.6637,30.94283729,36.02458439,35.88612112
speA,38.7982,93.46361666,98.16441467,54.2306,66.4688,41.43435499,34.97197654,37.26735134
PA4840,35.796,92.79969132,49.24565629,71.659,52.5477,49.35438903,35.77194315,46.12785182
PA4841,39.1745,72.00275992,75.06654742,48.1559,49.2727,49.64334849,38.3228176,51.03330117
PA4842,84.1214,153.4864751,347.1247786,105.724,121.506,91.89825009,86.2706212,101.3616558
PA4843,78.5608,135.1192801,461.2208154,80.7139,88.24,75.35215546,70.39226126,86.19623155
PA4844,43.3503,23.82607348,14.32941435,61.8247,56.9376,33.87144878,39.45079276,44.70374705
dipZ,54.1352,50.34538708,55.06958862,74.511,60.8959,51.31918469,52.82490774,51.93612006
aroQ1,89.4874,167.4741627,127.4994504,109.986,97.7893,102.9197576,100.377608,109.3338914
PA0492,26.6176,21.72798,11.44524774,40.4666,38.8656,26.57239944,26.3358882,25.03621581
accB,76.1497,197.6220446,219.5833381,127.248,104.854,99.08201243,110.8188871,124.4581282
accC,46.8103,186.0491471,305.6851428,98.4647,96.3792,73.28593776,76.10381098,90.84452637
PA4849,28.7919,25.74066504,19.48663207,43.215,40.7315,29.51243212,31.08248741,32.89641479
prmA,50.8342,72.4453489,50.7745761,70.5224,69.5228,48.46371252,43.87266975,50.78157128
PA4851,57.9244,92.33406627,81.94592678,64.9002,59.0043,65.70358812,69.05141771,72.5761729
PA4852,75.5037,247.3573629,229.5337465,97.4349,121.487,102.2469705,84.26634893,93.40024339
fis,67.8042,303.4505493,696.7609596,124.466,119.236,111.7822031,78.30964955,90.86810494
purH,45.0188,121.6071962,173.5671215,82.212,92.7726,57.31970668,54.5718565,58.62863437
purD,38.2373,92.96633107,106.4520186,71.5395,72.957,47.84370548,45.06995535,54.41148577
retS,35.4091,35.0330583,31.93417357,39.3926,42.5404,36.22694775,36.20263719,35.35647129
PA0493,24.06,26.37970271,30.68606668,50.2588,39.3526,43.00817152,23.37688733,22.26104169
PA4857,35.7054,27.07589896,12.58308857,43.4019,42.9963,32.58576996,25.85611228,31.77993816
PA4858,27.9528,27.88815474,12.35439139,38.9752,49.337,28.44248888,25.94961985,29.14949254
PA4859,34.8755,24.09669728,8.766673188,50.1879,41.223,28.08640566,31.21944986,35.03957264
PA4860,43.6647,34.05239341,9.97916031,62.4083,54.0371,35.82130549,39.93503928,39.96771172
PA4861,32.3902,28.86423207,11.09249574,37.0131,45.7203,28.9159724,24.52267761,32.9447172
PA4862,16.6328,18.19778593,8.194057829,24.2028,32.1604,18.8729543,14.85123343,13.00622241
PA4863,49.1681,34.81229337,60.11475536,50.1301,48.4484,45.43726877,41.30906541,35.27882886
ureD,59.3361,35.65072348,27.4769458,73.1228,54.8923,47.88028374,59.62860753,50.2401443
ureA,53.3792,43.08542438,52.52885105,55.6022,65.0634,61.12804307,46.35646664,46.60282795
PA4866,39.9925,34.81514014,25.011489,38.9623,43.2053,36.69691155,34.71519999,28.51717702
PA0494,38.7872,33.64629869,14.77563138,58.1678,47.8837,30.49801673,32.63587319,35.19006921
ureB,41.7021,37.58248304,40.08034063,48.7693,46.8008,34.11719723,47.97499011,32.8947315
ureC,47.0827,49.30119336,72.87456723,70.0135,69.0835,49.9233431,42.52337009,42.04776572
PA4869,41.3787,40.82915557,32.15687073,59.9177,59.4119,41.1260773,36.48334556,39.58322508
PA4870,61.9661,62.94963957,111.9745172,93.9561,82.4541,60.24138882,56.00314743,63.29157435
PA4871,55.7294,39.00263376,27.42995821,83.1805,62.6796,45.15173564,60.02333901,54.10026143
PA4872,39.8844,39.4494491,49.97070103,39.9393,47.8435,36.76279198,34.79981735,38.84498451
PA4873,32.9359,36.96709203,38.16320322,36.4747,45.3367,35.19377254,27.37519194,29.5297595
PA4874,97.4272,83.01465544,168.7156306,92.6196,93.7392,93.80162802,92.44494857,63.96558271
PA4875,62.9792,61.03147715,39.02303313,69.2672,66.2671,59.44378307,46.44320082,53.84873256
osmE,170.537,320.8439561,833.3456414,162.844,159.892,159.3569095,136.5861823,133.8720547
PA0495,43.3031,47.60206722,52.02720521,70.2376,77.4308,42.38932062,36.87073961,41.13513059
PA4877,82.9652,109.6065748,230.4899943,117.201,87.6483,76.06496617,78.50898222,79.0759925
PA4878,39.4099,43.19421207,2816.405981,625.538,750.869,44.17541794,47.88029554,44.28293157
PA4879,41.3084,42.92715874,112.7818238,61.6392,66.9363,40.83253979,36.76743763,36.29726819
PA4880,98.9742,453.2100421,1581.49413,268.151,254.259,110.481823,105.202644,126.9135931
PA4881,72.6651,64.95128301,60.25859334,91.2921,113.314,70.93571936,62.92682714,62.76760158
PA4882,35.7357,30.78597402,15.87488003,45.011,48.8328,40.22871989,34.8247685,28.99303454
PA4883,29.327,24.33522869,7.695995133,44.4396,37.9042,29.92705352,21.24925389,27.30245623
PA4884,24.5499,17.53236536,8.895924945,35.5933,34.2136,23.34365707,21.51406005,20.73346059
irlR,42.1906,43.66131192,18.78916786,57.3191,56.6684,40.36234729,41.84887315,47.68594033
PA4886,39.5535,25.92795531,12.82408903,49.5895,46.4643,32.66882864,33.61239939,39.08228165
PA0006,49.962,184.3324031,248.7316651,77.845,79.8736,57.59504372,44.35402388,50.6287467
PA0049,47.4721,49.75284761,26.51564976,109.137,97.8846,45.06756323,43.0280405,50.97312599
PA0496,39.3916,44.00185278,21.29249125,55.9695,59.3498,39.29609945,33.14573188,38.24831807
PA4887,33.8502,39.21909954,28.40824011,45.6441,49.8829,34.90796473,31.147332,34.3402396
desB,39.196,36.81093997,14.71589745,58.4837,61.6243,41.88997256,35.96974724,37.70105231
PA4889,55.6092,44.17214003,12.63937342,84.8322,60.5676,48.88173073,55.32187809,56.9683081
desT,49.4438,33.86358344,20.93555077,49.0979,57.0613,45.27324119,41.54779735,47.12413278
ureE,36.9156,24.69249123,38.4215248,46.1622,33.5116,38.245262,31.0459731,34.108064
ureF,54.6148,27.52714589,25.17684417,73.1768,54.127,44.98022405,45.83064063,47.44483978
ureG,53.7323,47.49193895,39.1171144,62.6005,76.4437,58.73600787,48.53992994,44.21740307
PA4894,103.262,48.62653897,43.6595954,100.386,79.8991,87.64046794,92.49333965,77.67548704
PA4895,102.318,27.04456478,14.21560165,63.4468,42.2337,84.92883171,93.05229818,67.50882842
PA4896,113.521,23.62386029,24.43033497,32.8777,32.1569,88.46187297,75.95648423,50.0844189
PA0497,46.9449,58.07273047,51.95414661,80.7746,97.1609,51.60704949,41.33675896,46.41225211
PA4897,60.6645,41.94915893,14.93454285,71.6339,83.1116,55.94729466,51.13161037,49.97451491
opdK,32.6587,27.23376602,12.96234697,36.5083,50.0635,29.37746352,23.63365381,24.10933038
PA4899,34.7607,27.10126297,12.22839576,43.8351,41.5254,27.1370837,30.28978158,33.45709533
PA4900,43.9551,33.55353973,7.531002571,69.1272,53.6695,38.58443096,43.26918218,45.44072898
mdlC,44.2432,26.8942399,9.05882707,60.8368,52.7943,35.62956913,41.12507397,47.88677712
PA4902,33.1842,31.66271033,10.44917018,49.6515,43.5685,27.18893284,31.65561507,33.5587871
PA4903,47.0106,27.51665133,7.135574004,65.6107,55.0477,38.81328965,44.49780971,47.40060943
vanA,40.9432,30.56385988,12.83064479,57.3886,58.1303,35.69067016,41.05209352,45.29107873
vanB,33.2464,20.80990364,7.586648076,48.0127,38.425,31.92641729,33.98366365,36.04086607
PA4906,46.1327,52.57332789,33.95977496,53.465,42.2198,38.87690984,45.01545927,50.34848403
PA0498,117.194,112.6150405,70.81196021,181.978,223.504,129.0119259,110.1188704,117.258479
PA4907,48.6338,63.66890502,44.10865592,71.3192,73.0784,46.41438479,42.44047491,50.00022931
