,PA_1,PA_2,PA_3,CC_1,CC_2,CC_3
PA14_04870,1718,1801,1795,1578,1424,1766
PA14_04890,1492,1576,1733,1523,1324,1677
PA14_04940,452,494,457,323,301,450
PA14_04960,241,218,258,179,166,225
PA14_04970,99,134,110,108,88,139
PA14_05010,133,126,136,106,90,170
PA14_05020,71,78,102,61,45,82
PA14_05030,123,114,119,127,106,143
PA14_05040,365,361,381,300,231,366
PA14_05050,1381,1479,1358,725,637,816
PA14_05060,2215,2176,2282,1163,981,1133
PA14_05070,469,437,468,466,378,537
PA14_05110,1037,1043,1066,857,713,993
PA14_05120,468,532,504,331,305,379
PA14_05130,2198,2097,2192,1446,1140,1433
PA14_05160,1128,1209,1202,718,658,861
PA14_05200,180,195,174,113,84,124
PA14_05210,274,280,282,201,184,202
PA14_05220,1747,1892,1991,1218,1063,1379
PA14_05230,1699,1980,1871,1119,974,1283
PA14_05290,845,909,919,706,652,816
PA14_05300,332,353,357,334,288,440
PA14_05400,975,1013,1072,627,538,710
PA14_05410,327,392,341,179,173,213
PA14_05420,172,239,232,111,103,146
PA14_05430,27,37,31,23,18,24
PA14_05440,365,355,382,290,245,357
PA14_05450,234,263,252,167,172,266
PA14_05480,1036,1082,1159,1053,862,1143
PA14_05500,475,501,502,427,361,528
PA14_05510,4908,4980,5236,3067,2430,3343
PA14_05560,5160,5398,5635,5019,4387,6127
PA14_05580,2636,2566,2840,2622,2081,2847
PA14_05600,785,847,832,725,618,821
PA14_05630,27,27,37,24,20,30
PA14_05640,23,35,36,30,19,26
PA14_05650,25,25,28,13,8,22
PA14_05660,1502,1490,1638,1504,1077,1287
PA14_05740,65,66,62,43,42,49
PA14_05750,45,51,42,15,15,10
PA14_05775,1,3,3,3,2,4
PA14_05790,49,58,49,44,40,41
PA14_05820,2747,2890,2943,1594,1306,1884
PA14_05850,307,336,353,305,246,375
PA14_05860,1275,1295,1365,865,784,951
PA14_05870,38,33,31,37,35,45
PA14_05880,133,150,108,37,25,38
PA14_05890,136,140,118,64,40,51
PA14_05910,144,148,157,119,87,85
PA14_05920,556,648,669,545,408,577
PA14_05960,13820,12161,13599,9994,8109,10897
PA14_05970,513,501,533,541,489,750
PA14_05990,458,460,467,343,273,354
PA14_06000,10850,11309,11815,4141,3222,3846
PA14_06010,3008,3403,3367,1479,1264,1625
PA14_06030,707,697,757,675,612,739
PA14_06040,1215,1191,1263,661,592,812
PA14_06090,13,11,7,7,9,9
PA14_06120,176,206,211,72,82,123
PA14_06130,259,279,256,96,88,117
PA14_06150,659,759,746,490,413,468
PA14_06160,48,52,41,33,29,30
PA14_06170,18,21,18,10,10,7
PA14_06180,15,21,25,9,18,11
PA14_06190,222,255,264,139,125,150
PA14_06200,2,8,5,6,2,2
PA14_06210,51,44,60,43,44,43
PA14_06230,46,27,40,15,14,20
PA14_06240,107,122,111,78,77,68
PA14_06250,134,171,146,250,180,251
PA14_06260,255,326,277,120,102,95
PA14_06270,55,53,57,36,37,36
PA14_06280,153,168,156,124,102,170
PA14_06300,93,112,100,61,36,45
PA14_06310,309,321,351,166,113,137
PA14_06320,311,278,313,420,374,522
PA14_06330,373,393,437,326,256,335
PA14_06340,321,389,357,225,199,201
PA14_06350,32,32,44,25,18,25
PA14_06360,60,69,51,31,18,27
PA14_06390,273,286,294,158,110,140
PA14_06400,424,449,409,220,205,186
PA14_06420,48,61,60,29,23,42
PA14_06430,19,25,26,16,8,16
PA14_06450,104,135,104,73,59,78
PA14_06460,123,145,155,95,68,118
PA14_06480,81,116,107,55,45,69
PA14_06530,229,258,261,115,128,147
PA14_06540,133,166,137,71,71,95
PA14_06580,307,366,343,150,139,160
PA14_06600,12305,12734,12255,6353,4741,5199
PA14_06620,209,220,241,198,137,223
PA14_06640,3087,3355,3271,1508,1092,902
PA14_06710,728,662,845,726,674,943
PA14_06790,120,89,169,92,74,111
PA14_06800,26,23,38,20,8,23
PA14_06840,993,772,1381,672,731,1083
PA14_06860,1239,1203,1349,713,553,663
PA14_06875,93,107,125,119,100,132
PA14_06880,80,77,92,46,41,46
PA14_06890,1003,1137,1053,2035,1693,1766
PA14_06900,66,104,88,102,88,103
PA14_06920,556,617,617,887,761,1037
PA14_06930,252,290,297,488,400,549
PA14_06940,19,22,17,12,7,8
PA14_06950,432,502,462,341,312,422
PA14_06960,1343,1559,1391,148,113,182
PA14_06970,352,343,384,78,69,108
PA14_06980,1092,1209,1233,747,659,853
PA14_06990,1531,1569,1727,1156,970,1292
PA14_07010,61,73,70,34,39,34
PA14_07020,61,62,69,37,34,31
PA14_07030,417,403,444,507,459,653
PA14_07040,1645,1652,1744,1153,960,1283
PA14_07050,107,124,119,49,44,54
PA14_07060,260,296,294,211,172,218
PA14_07070,3098,3238,2888,1633,1188,1335
PA14_07110,1185,1319,1318,1369,1173,1848
PA14_07140,459,532,497,397,322,448
PA14_07150,94,95,84,104,73,123
PA14_07200,736,789,830,627,513,721
PA14_07210,658,722,726,640,550,829
PA14_07240,259,272,276,246,189,312
PA14_07250,35,42,40,20,19,32
PA14_07260,215,239,222,182,154,206
PA14_07280,207,228,212,224,198,332
PA14_07290,200,187,204,248,170,247
PA14_07300,469,436,455,456,352,469
PA14_07310,129,154,155,105,93,174
PA14_07330,582,494,619,478,462,607
PA14_07340,120,120,129,88,75,139
PA14_07355,104,106,110,62,48,72
PA14_07360,181,239,198,151,95,141
PA14_07370,351,335,387,202,166,263
PA14_07380,132,134,156,108,78,123
PA14_07400,129,155,144,94,94,121
PA14_07410,61,77,69,51,50,61
PA14_07420,190,191,243,138,125,179
PA14_07430,1909,1855,2053,1560,1192,1621
PA14_07440,54,54,71,52,44,77
PA14_07450,551,548,585,519,457,605
PA14_07460,150,148,155,155,142,305
PA14_07470,116,109,104,113,90,160
PA14_07480,1699,1740,1728,1741,1387,1925
PA14_07500,570,634,646,619,510,782
PA14_07550,1284,1375,1560,1331,1390,2680
PA14_07580,317,331,281,201,173,223
PA14_07600,233,222,224,231,181,300
PA14_07630,57,62,56,86,52,96
PA14_07650,2509,2532,2937,2522,1930,2470
PA14_07660,2519,2584,2875,1709,1327,1672
PA14_07680,9449,9275,10257,4650,3406,4271
PA14_07780,1938,1976,1862,1109,917,1010
PA14_07790,599,680,637,315,282,331
PA14_07800,594,639,640,397,330,413
PA14_07810,352,384,364,263,217,249
PA14_07820,553,603,672,533,436,639
PA14_07840,346,283,313,251,167,276
PA14_07850,505,564,585,289,260,366
PA14_07860,187,197,193,134,98,130
PA14_07870,381,365,395,142,106,144
PA14_07890,182,180,179,64,63,75
PA14_07900,113,76,91,47,49,58
PA14_07930,642,606,596,894,792,984
PA14_07970,49,50,38,60,66,71
PA14_07980,130,146,151,264,196,243
PA14_07990,44,30,52,106,71,73
PA14_08000,248,229,214,344,284,331
PA14_08010,171,165,189,276,224,279
PA14_08020,117,128,109,239,157,198
PA14_08030,211,238,261,445,321,440
PA14_08040,137,125,146,249,200,230
PA14_08050,870,912,945,1405,1118,1291
PA14_08060,240,202,224,342,239,308
PA14_08070,751,749,824,1465,1163,1272
PA14_08090,342,360,366,652,524,595
PA14_08100,123,111,115,206,152,169
PA14_08110,25,35,36,69,63,60
PA14_08120,858,802,873,1507,1234,1467
PA14_08130,172,192,190,315,254,281
PA14_08140,37,39,34,98,74,85
PA14_08150,289,290,278,505,382,472
PA14_08160,71,87,86,165,155,151
PA14_08180,6,13,9,21,13,15
PA14_08190,7,15,15,14,24,27
PA14_08200,25,33,43,81,54,66
PA14_08210,329,336,373,705,549,666
PA14_08220,169,169,185,409,292,356
PA14_08230,89,88,74,152,140,172
PA14_08240,506,488,526,1081,867,1049
PA14_08250,77,65,62,139,97,128
PA14_08260,131,146,138,285,226,298
PA14_08270,142,123,144,253,229,272
PA14_08280,200,185,201,440,330,359
PA14_08300,738,760,768,1323,1064,1229
PA14_08310,958,918,1046,1103,890,1055
PA14_08320,210,263,243,253,212,253
PA14_08330,270,266,273,216,227,274
PA14_08380,262,262,274,181,185,264
PA14_08400,1310,1372,1331,1179,987,1168
PA14_08420,186,204,222,141,82,75
PA14_08430,704,776,706,446,419,537
PA14_08440,486,471,505,360,325,442
PA14_08450,988,967,997,907,819,1093
PA14_08460,905,924,950,696,554,774
PA14_08470,318,276,365,376,271,340
PA14_08490,601,620,619,582,516,687
PA14_08500,534,546,564,530,464,606
PA14_08510,827,761,897,674,480,692
PA14_08540,6151,6050,6712,6222,4917,7239
PA14_08570,0,0,1,0,1,0
PA14_08580,0,0,0,0,0,0
PA14_08590,2,1,1,2,0,3
PA14_08600,5,3,10,18,9,10
PA14_08610,1,2,0,1,0,0
PA14_08630,593,560,597,565,503,657
PA14_08640,669,663,748,653,549,733
PA14_08650,747,758,805,1337,1181,2316
PA14_08660,266,266,299,520,445,875
PA14_08670,746,776,811,1461,1279,2525
PA14_08690,1487,1473,1645,2049,1730,2654
PA14_09195,722,713,733,722,672,1043
PA14_09300,307,358,399,30,21,21
PA14_09320,211,222,257,20,15,30
PA14_09350,47,45,59,4,3,7
PA14_09370,71,108,104,8,6,8
PA14_09380,243,250,233,31,18,30
PA14_09550,733,832,875,349,311,374
PA14_09570,157,178,161,65,51,47
PA14_09580,542,666,590,218,196,255
PA14_09610,335,353,358,194,187,240
PA14_09630,1056,1186,1198,618,582,697
PA14_09660,999,988,1081,491,378,517
PA14_09680,871,1021,897,386,319,378
PA14_09690,339,388,311,161,156,180
PA14_09700,337,392,344,220,157,209
PA14_09710,36,39,35,22,12,22
PA14_09730,22,27,28,13,8,16
PA14_09740,28,23,17,15,8,22
PA14_09750,118,107,118,58,52,68
PA14_09760,208,194,189,151,143,161
PA14_09770,259,308,275,158,150,160
PA14_09780,103,89,102,59,47,80
PA14_09790,1566,1641,1748,1338,1281,1623
PA14_09810,439,497,538,306,321,456
PA14_09820,1047,1096,1159,792,713,861
PA14_09850,27,35,24,24,42,43
PA14_09870,50,32,61,42,48,81
PA14_09880,14,14,18,16,23,36
PA14_09910,79,100,94,48,48,68
PA14_09920,13,18,12,8,8,8
PA14_09930,20,40,35,29,23,31
PA14_09940,71,80,66,70,45,66
PA14_09950,85,91,72,62,62,70
PA14_09960,57,57,68,62,47,69
PA14_09990,50,28,53,29,27,33
PA14_10010,232,239,250,130,118,127
PA14_10020,370,394,351,217,171,252
PA14_10040,1405,1675,1487,844,727,899
PA14_10050,26,36,21,17,14,15
PA14_10070,39,36,47,18,19,23
PA14_10080,45,28,30,22,15,24
PA14_10090,189,228,202,119,88,103
