,PAO1161 EV_1,PAO1161 EV_2,PAO1161 EV_3,PAO1161 BsrA_1,PAO1161 BsrA_2,PAO1161 BsrA_3
D3C65_23605,2682,3066,2664,3810,3756,3141
D3C65_23610,1474,1430,1394,1898,1954,1607
D3C65_23615,1049,997,1028,1265,1248,1080
D3C65_23620,1942,2070,1940,2271,2496,2183
D3C65_23625,3823,4163,3911,3660,4074,3177
D3C65_23630,1778,1890,1790,1680,1890,1462
D3C65_23635,1009,1295,1002,1683,1675,1278
D3C65_23640,2133,2481,2239,2877,3202,2640
D3C65_23645,2399,2703,2200,3491,3620,3041
D3C65_23650,3008,3259,2835,3922,4133,3404
D3C65_23655,5536,7071,7008,5972,6630,4777
D3C65_23660,2627,2731,2816,4167,3896,2792
D3C65_23665,1184,1354,1253,2946,2647,2135
D3C65_23670,449,505,451,770,737,620
D3C65_23675,22,28,25,22,22,15
D3C65_23680,24,26,37,25,32,21
D3C65_23685,17,14,26,14,21,16
D3C65_23690,85,93,85,55,50,64
D3C65_23695,9,12,15,12,19,9
D3C65_23700,1160,1075,1250,930,960,877
D3C65_23705,756,932,820,1177,1203,1035
D3C65_23710,1244,1163,1267,1325,1321,1120
D3C65_23715,472,482,511,533,538,483
D3C65_23720,1295,1411,1349,1831,1847,1872
D3C65_23725,1067,1158,1199,1587,1628,1262
D3C65_23730,227,212,254,409,415,336
D3C65_23735,189,168,128,250,272,249
D3C65_23740,1461,1492,1408,1731,1688,1653
D3C65_23745,6283,6438,6076,6735,6998,6287
D3C65_23750,1514,1834,1611,1828,2000,1542
D3C65_23755,5545,5770,5471,5776,5762,4975
D3C65_23760,6076,6370,6176,6764,7143,5853
D3C65_23765,195,205,169,327,299,260
D3C65_23770,173,155,176,218,256,209
D3C65_23775,415,446,400,980,694,628
D3C65_23780,472,527,435,961,658,646
D3C65_23785,2909,3114,2701,6292,4552,4311
D3C65_23790,340,445,325,943,645,591
D3C65_23795,1992,2364,1761,3643,2673,2473
D3C65_23800,914,1144,869,1559,1256,1143
D3C65_23805,1116,1318,1374,1619,1580,1382
D3C65_23810,1991,2518,2277,2910,3043,2488
D3C65_23815,955,990,1015,1486,1370,1290
D3C65_23820,471,510,775,364,455,306
D3C65_23825,114,116,136,129,101,106
D3C65_23830,680,696,1045,593,641,555
D3C65_23835,134,186,163,189,220,178
D3C65_23840,1555,1698,2617,1257,1303,1111
D3C65_23845,29,28,30,20,30,16
D3C65_23850,155,124,326,104,87,76
D3C65_23855,400,482,693,385,365,281
D3C65_23860,186,252,358,223,229,197
D3C65_23865,135,140,245,109,126,135
D3C65_23870,234,236,387,246,255,182
D3C65_23875,140,174,283,173,153,135
D3C65_23880,315,356,282,289,308,227
D3C65_23885,57,49,51,50,56,42
D3C65_23890,65,55,73,79,88,101
D3C65_23895,115,131,102,148,131,139
D3C65_23900,288,329,298,283,284,213
D3C65_23905,836,939,935,1129,1121,827
D3C65_23910,322,290,246,247,294,289
D3C65_23915,305,289,183,299,238,279
D3C65_23920,78,68,56,130,113,90
D3C65_23925,124,136,79,113,117,125
D3C65_23930,48,66,64,84,74,63
D3C65_23935,164,169,170,169,191,171
D3C65_23940,2777,3196,2452,3536,3921,3293
D3C65_23945,811,967,932,747,802,726
D3C65_23950,242,226,270,217,254,209
D3C65_23955,162,196,258,263,248,192
D3C65_23960,2912,3004,3281,1611,2201,1575
D3C65_23965,531,565,598,648,704,598
D3C65_23970,1228,1362,1711,2108,2608,2282
D3C65_23975,17236,20945,24607,33257,40807,34860
D3C65_23980,2286,2755,2799,3112,3376,2878
D3C65_23985,3149,3380,3432,3110,3580,2497
D3C65_23990,561,538,487,716,725,609
D3C65_23995,349,380,346,437,506,449
D3C65_24000,90,100,91,98,119,121
D3C65_24005,125,149,126,126,132,122
D3C65_24010,136,151,126,181,163,156
D3C65_24015,165,212,177,167,185,172
D3C65_24020,184,278,199,262,225,233
D3C65_24025,189,220,230,279,312,227
D3C65_24030,98,91,93,173,134,117
D3C65_24035,212,241,203,238,224,211
D3C65_24040,2074,2302,2146,2072,2257,1921
D3C65_24045,547,605,551,641,641,502
D3C65_24050,19,14,23,18,29,15
D3C65_24055,422,421,423,360,392,378
D3C65_24060,80,95,91,75,95,73
D3C65_24065,18,26,32,27,15,15
D3C65_24070,4,10,12,12,7,8
D3C65_24075,19,13,22,24,19,8
D3C65_24080,14,18,13,18,22,20
D3C65_24085,1,5,4,6,3,2
D3C65_24090,39,29,35,48,32,39
D3C65_24095,48,70,58,84,92,52
D3C65_24100,234,266,246,245,291,210
D3C65_24105,9,11,13,22,19,9
D3C65_24110,13,19,22,23,31,21
D3C65_24115,10,22,19,16,20,14
D3C65_24120,11,7,10,8,9,9
D3C65_24125,429,437,384,498,499,359
D3C65_24130,51,45,43,62,46,45
D3C65_24135,17,24,22,16,37,16
D3C65_24140,145,137,190,208,217,144
D3C65_24145,33,23,24,31,49,27
D3C65_24150,73,126,109,128,132,112
D3C65_24155,35,32,42,26,37,21
D3C65_24160,29,22,33,31,43,48
D3C65_24165,4,8,1,7,8,6
D3C65_24170,91,88,114,134,149,86
D3C65_24175,32,45,57,49,52,40
D3C65_24180,115,105,128,145,142,116
D3C65_24185,141,150,178,149,164,145
D3C65_24190,80,74,97,86,135,74
D3C65_24195,124,153,126,119,197,137
D3C65_24200,152,173,178,156,190,167
D3C65_24205,60,68,83,78,87,69
D3C65_24210,86,112,121,131,148,117
D3C65_24215,58,50,64,73,75,56
D3C65_24220,63,64,74,80,76,52
D3C65_24225,60,85,94,118,106,91
D3C65_24230,32,34,52,71,60,54
D3C65_24235,21,21,29,49,22,26
D3C65_24240,44,55,78,89,90,76
D3C65_24245,20,23,23,38,47,25
D3C65_24250,71,65,86,114,111,66
D3C65_24255,40,42,57,85,66,50
D3C65_24260,55,53,52,83,83,59
D3C65_24265,14,12,25,13,12,16
D3C65_24270,23,41,29,47,63,42
D3C65_24275,654,748,846,718,775,578
D3C65_24280,250,300,381,404,392,269
D3C65_24285,2287,2882,3287,2979,2973,2004
D3C65_24290,160,199,205,304,275,189
D3C65_24295,222,345,394,535,503,300
D3C65_24300,87,102,114,179,154,98
D3C65_24305,428,546,585,736,642,434
D3C65_24310,109,122,161,158,131,108
D3C65_24315,32,50,46,29,55,38
D3C65_24320,39,53,61,69,62,42
D3C65_24325,37,50,57,75,65,31
D3C65_24330,41,52,46,64,53,47
D3C65_24335,28,33,32,41,45,38
D3C65_24340,88,87,97,97,96,84
D3C65_24345,1336,1636,1586,2206,2598,2019
D3C65_24350,170,183,169,232,224,178
D3C65_24355,607,834,806,936,1092,846
D3C65_24360,5681,6776,6399,10107,9937,7729
D3C65_24365,974,1140,1112,2513,2303,1854
D3C65_24370,215,238,252,320,341,258
D3C65_24375,179,183,231,236,213,155
D3C65_24380,22,14,24,18,13,21
D3C65_24385,81,95,75,63,70,48
D3C65_24390,417,406,382,324,328,245
D3C65_24395,64,39,58,42,45,32
D3C65_24400,19,25,30,13,23,15
D3C65_24405,19,23,21,11,25,12
D3C65_24410,159,188,192,158,169,122
D3C65_24415,62,59,54,50,60,54
D3C65_24420,32,25,22,23,24,17
D3C65_24425,155,163,153,189,217,166
D3C65_24430,335,367,404,658,622,480
D3C65_24435,190,179,219,455,456,348
D3C65_24440,258,244,257,327,363,299
D3C65_24445,6,7,9,5,11,9
D3C65_24450,52,61,66,48,63,55
D3C65_24455,391,506,471,544,603,438
D3C65_24460,393,410,456,427,511,402
D3C65_24465,88,106,104,112,91,79
D3C65_24470,28,30,38,33,39,17
D3C65_24475,21,17,26,30,24,13
D3C65_24480,16,7,14,15,13,22
D3C65_24485,11,12,6,6,11,9
D3C65_24490,3,1,6,6,4,2
D3C65_24495,51,59,71,76,80,47
D3C65_24500,12,16,23,17,23,20
D3C65_24505,76,63,83,100,104,87
D3C65_24510,73,68,64,107,133,86
D3C65_24515,308,353,295,382,619,427
D3C65_24520,28,30,24,34,52,35
D3C65_24525,27,19,22,17,26,23
D3C65_24530,8,11,12,7,9,6
D3C65_24535,35,45,56,72,50,55
D3C65_24540,28,40,43,42,39,28
D3C65_24545,19,26,45,27,24,15
D3C65_24550,33,44,37,37,35,32
D3C65_24555,41,43,58,55,48,32
D3C65_24560,8,13,8,19,13,11
D3C65_24565,128,162,175,198,157,134
D3C65_24570,11,8,18,24,18,13
D3C65_24575,18,34,33,35,62,29
D3C65_24580,404,415,351,426,509,328
D3C65_24585,187,192,193,285,343,267
D3C65_24590,20,31,11,31,40,34
D3C65_24595,8,13,16,7,21,7
D3C65_24600,12,18,27,29,24,17
D3C65_24605,80,62,85,92,62,71
D3C65_24610,7,4,7,4,8,2
D3C65_24615,77,84,85,123,118,101
D3C65_24620,515,651,627,677,763,566
D3C65_24625,107,151,136,158,175,140
D3C65_24630,103,129,98,158,136,115
D3C65_24635,685,813,796,1049,1166,894
D3C65_24640,56,82,80,110,121,86
D3C65_24645,479,511,513,494,566,447
D3C65_24650,447,549,497,494,560,425
D3C65_24655,749,864,760,952,1038,669
D3C65_24660,1457,2009,1325,2513,2457,1896
D3C65_24665,256,290,191,329,299,243
D3C65_24670,384,403,343,680,863,734
D3C65_24675,13201,13535,14786,7939,7102,5134
D3C65_24680,500,497,482,680,709,650
D3C65_24685,1708,1867,1613,2089,2298,1972
D3C65_24690,2609,3172,2590,4077,4091,3294
D3C65_24695,60,77,76,74,92,79
D3C65_24700,292,286,305,510,504,378
D3C65_24705,497,512,579,863,763,651
D3C65_24710,630,749,745,622,649,512
D3C65_24715,15,23,14,10,16,11
D3C65_24720,358,403,399,312,304,288
D3C65_24725,319,346,370,269,315,268
D3C65_24730,392,478,461,459,466,387
D3C65_24735,265,305,326,328,315,271
D3C65_24740,1973,2136,2415,2447,2688,2214
D3C65_24745,185,203,211,191,253,186
D3C65_24750,305,391,350,421,474,421
D3C65_24755,1182,1368,1249,1867,1960,1714
D3C65_24760,819,853,800,1054,1194,1034
D3C65_24765,1054,1035,951,1352,1490,1144
D3C65_24770,8144,8577,8205,10455,11176,9135
D3C65_24775,1445,1389,1223,1509,1678,1295
D3C65_24780,445,414,417,552,643,550
D3C65_24785,12472,14612,11183,19426,22125,17812
D3C65_24790,772,914,728,879,1111,944
D3C65_24795,4145,4637,3686,4602,4653,4139
D3C65_24800,7680,8343,7104,7466,8465,6949
D3C65_24805,18961,21187,18608,18954,23112,18516
D3C65_24810,15026,16415,14254,15231,17348,14013
D3C65_24815,2360,2607,2391,3415,3470,3123
D3C65_24820,30,29,29,54,52,48
D3C65_24825,10517,12455,12905,10485,9652,7767
D3C65_24830,825,935,736,1242,1245,1135
D3C65_24835,126,124,119,129,137,128
D3C65_24840,721,821,642,963,1063,821
D3C65_24845,152,185,168,195,232,209
D3C65_24850,4887,5040,5104,5911,6378,5233
D3C65_24855,1406,1470,1455,1223,1364,956
D3C65_24860,5444,6512,6521,6605,6151,5036
D3C65_24865,666,631,654,1074,998,921
D3C65_24870,476,612,467,718,632,514
D3C65_24875,459,528,486,495,516,429
D3C65_24880,744,936,884,983,903,750
D3C65_24885,656,747,528,735,684,561
D3C65_24890,856,910,690,918,950,806
D3C65_24895,413,426,317,466,454,332
D3C65_24900,307,278,212,289,290,235
D3C65_24905,27,23,17,39,35,19
D3C65_24910,2173,2439,2877,2110,2200,1553
D3C65_24915,519,559,531,679,682,600
D3C65_24920,114,93,93,99,74,75
D3C65_24925,113,125,140,89,106,66
D3C65_24930,86,96,120,117,139,78
D3C65_24935,107,146,118,188,135,137
D3C65_24940,91,100,94,102,117,95
D3C65_24945,129,152,122,145,182,129
D3C65_24950,7332,7609,7618,6418,6771,5682
D3C65_24955,16,10,12,24,18,17
D3C65_24960,688,613,734,457,499,259
D3C65_24965,136,151,113,109,139,113
D3C65_24970,375,416,327,355,434,367
D3C65_24975,311,321,231,242,290,219
D3C65_24980,283,298,311,384,436,304
D3C65_24985,958,1012,959,1617,1755,1508
D3C65_24990,7100,7883,7087,8820,9142,7497
D3C65_24995,131,162,161,118,160,161
D3C65_25000,540,621,621,594,623,538
D3C65_25005,404,390,531,322,353,311
D3C65_25010,3410,3121,4634,2688,2912,2154
D3C65_25015,599,665,740,506,476,446
D3C65_25020,240,282,296,208,234,203
D3C65_25025,990,1070,1003,844,980,788
D3C65_25030,353,362,356,240,311,166
D3C65_25035,1587,1857,2022,1418,1553,1069
D3C65_25040,47,42,48,44,74,49
D3C65_25045,133,144,154,169,201,153
D3C65_25050,19,24,20,36,48,34
D3C65_25055,1979,2335,2065,2510,2926,2094
D3C65_25060,644,621,501,594,634,578
D3C65_25065,1133,1274,926,801,955,853
D3C65_25070,497,499,461,667,727,554
D3C65_25075,110,106,89,75,97,75
D3C65_25080,452,478,538,419,470,367
D3C65_25085,646,705,627,504,582,457
D3C65_25090,266,274,292,182,233,213
D3C65_25095,2242,2407,2183,1629,1966,1410
D3C65_25100,9,18,11,12,15,11
D3C65_25105,65,62,54,103,101,86
D3C65_25110,45,41,30,72,84,45
D3C65_25115,146,144,138,474,401,302
D3C65_25120,612,662,597,2289,1814,1355
D3C65_25125,244,294,266,280,340,284
D3C65_25130,726,796,536,759,755,670
D3C65_25135,893,857,880,1475,1624,1412
D3C65_25140,509,634,433,568,552,471
D3C65_25145,44,48,51,68,69,52
D3C65_25150,1145,1282,1150,1355,1315,1144
D3C65_25155,2808,3184,3005,3655,3431,2688
D3C65_25160,2534,2754,2593,2134,2441,1863
D3C65_25165,239,252,208,271,280,244
D3C65_25170,203,145,169,181,152,162
D3C65_25175,50,69,66,67,77,67
D3C65_25180,26,30,40,48,23,31
D3C65_25185,1459,1637,1386,2047,1935,1561
D3C65_25190,202,201,145,157,183,165
D3C65_25195,57,53,73,88,77,85
D3C65_25200,1787,1870,1980,2058,1934,1655
D3C65_25205,4090,3735,4644,2997,3291,2848
D3C65_25210,131,154,128,145,132,129
D3C65_25215,490,573,489,603,671,556
D3C65_25220,338,340,244,397,381,290
D3C65_25225,591,554,367,463,501,395
D3C65_25230,1186,1339,807,1067,1096,892
D3C65_25235,635,643,672,660,661,581
D3C65_25240,699,682,681,821,853,658
D3C65_25245,39,23,22,89,82,52
D3C65_25250,11,14,10,27,22,27
D3C65_25255,2,6,3,6,3,10
D3C65_25260,18,23,22,47,30,29
D3C65_25265,17,27,18,34,31,37
D3C65_25270,20,21,22,29,27,25
D3C65_25275,42,37,33,64,60,59
D3C65_25280,1111,1144,1057,1855,1690,1336
D3C65_25285,1008,1130,998,1459,1414,1053
D3C65_25290,659,650,690,559,621,456
D3C65_25295,449,475,424,876,814,601
D3C65_25300,164,160,163,334,342,268
D3C65_25305,289,290,311,715,714,504
D3C65_25310,7820,7671,9091,6397,7352,5879
D3C65_25315,391,367,370,584,643,492
D3C65_25320,435,415,404,554,637,567
D3C65_25325,822,813,721,1106,1222,1032
D3C65_25330,1488,1486,1275,1811,1986,1684
D3C65_25335,1535,1476,1380,1679,1763,1519
D3C65_25340,2048,2118,2138,3053,3131,2548
D3C65_25345,343,362,320,724,651,570
D3C65_25350,5798,6885,6070,8604,9771,7681
D3C65_25355,2913,3413,2996,4108,4589,3560
D3C65_25360,13391,13346,13303,18124,19594,16867
D3C65_25365,36409,40978,33408,56051,61298,50656
D3C65_25370,1877,1699,1619,3182,3331,2646
D3C65_25375,5619,5726,5158,7397,8293,6663
D3C65_25380,50,65,55,138,160,101
D3C65_25385,71,65,65,58,75,62
D3C65_25390,46,41,41,46,43,37
D3C65_25395,13,9,11,16,13,12
D3C65_25400,6,2,1,2,1,2
D3C65_25405,15,12,14,17,15,11
D3C65_25410,98,108,115,119,149,123
D3C65_25415,48,43,42,72,91,58
D3C65_25420,3,1,2,2,4,0
D3C65_25425,31,61,56,40,73,56
D3C65_25430,7,10,5,8,6,4
D3C65_25435,8,5,5,11,8,5
D3C65_25440,1,0,4,2,3,6
D3C65_25445,12,6,7,3,4,5
D3C65_25450,771,1021,883,1359,1461,1069
D3C65_25455,1737,2194,1953,3564,3612,2689
D3C65_25460,933,1169,1089,2359,2431,1903
D3C65_25465,777,883,979,1615,1919,1404
D3C65_25470,151,169,186,177,207,135
D3C65_25475,155,170,169,184,193,166
D3C65_25480,10,13,10,17,31,24
D3C65_25485,2144,2149,2316,1329,1144,1093
D3C65_25490,916,993,958,916,958,813
D3C65_25495,631,697,685,541,735,550
D3C65_25500,194,181,162,360,323,267
D3C65_25505,638,626,388,696,684,624
D3C65_25510,6,8,17,15,3,7
D3C65_25515,23,30,26,29,30,41
D3C65_25520,58,71,72,56,55,46
D3C65_25525,136,182,172,234,249,208
D3C65_25530,1119,1234,1048,1431,1477,1228
D3C65_25535,526,593,534,711,770,661
D3C65_25540,3704,3869,3758,4730,4861,4236
D3C65_25545,1988,2250,1762,2138,2150,1784
D3C65_25550,370,371,344,402,405,379
D3C65_25555,829,851,906,1025,1122,892
D3C65_25560,155,203,162,246,212,175
D3C65_25565,173,234,215,270,287,239
D3C65_25570,22,23,16,31,55,33
D3C65_25575,7932,1244,2893,7486,19542,10943
D3C65_25580,875,1138,992,1208,1493,1386
D3C65_25585,278,312,285,410,579,515
D3C65_25590,3414,443,1212,2445,7803,4888
D3C65_25595,66,70,73,78,97,78
D3C65_25600,278,298,293,325,356,299
D3C65_25605,1611,1678,1647,2168,2234,1872
D3C65_25610,9066,9932,10449,11381,11384,9325
D3C65_25615,1614,1725,1625,1958,2280,1762
D3C65_25620,4910,5118,5120,5545,6040,4857
D3C65_25625,422,392,460,464,445,382
D3C65_25630,341,400,432,476,532,406
D3C65_25635,931,858,856,1067,1126,1006
D3C65_25640,1560,1605,1518,2131,2254,1950
D3C65_25645,1664,1543,1647,1631,1707,1406
D3C65_25650,55,44,35,50,46,44
D3C65_25655,30,43,44,27,28,23
D3C65_25660,260,355,314,199,274,203
D3C65_25665,212,214,217,189,238,204
D3C65_25670,78,56,85,73,85,77
D3C65_25675,136,134,122,134,142,103
D3C65_25680,167,132,124,90,114,115
D3C65_25685,86,65,54,64,67,58
D3C65_25690,69,79,73,66,71,75
D3C65_25695,140,122,126,129,185,151
D3C65_25700,60,76,67,87,83,64
D3C65_25705,79,68,57,52,65,63
D3C65_25710,498,589,560,523,536,486
D3C65_25715,1174,1327,1211,1243,1290,1103
D3C65_25720,286,263,264,325,362,291
D3C65_25725,578,605,630,723,733,657
D3C65_25730,506,529,475,368,474,359
D3C65_25735,1882,1993,1475,2105,2306,2017
D3C65_25740,1507,1497,1146,1942,1998,1833
D3C65_25745,430,445,389,531,514,419
D3C65_25750,1089,1050,1015,974,1031,869
D3C65_25755,4502,5398,4091,5628,5443,4823
D3C65_25760,742,768,569,878,936,850
D3C65_25765,37,65,41,85,108,88
D3C65_25770,625,683,653,1080,1195,984
D3C65_25775,1909,2089,2048,2150,2223,1724
D3C65_25780,2029,2254,1990,3230,3410,3068
D3C65_25785,345,340,285,629,703,561
D3C65_25790,1262,1476,1354,1387,1398,1140
D3C65_25795,973,988,919,1066,1071,907
D3C65_25800,380,412,346,426,447,344
D3C65_25805,1996,2148,2212,1916,2041,1752
D3C65_25810,530,504,819,427,438,361
D3C65_25815,419,376,443,445,416,291
D3C65_25820,1956,2307,2158,2803,2811,2231
D3C65_25825,353,424,372,557,519,383
D3C65_25830,350,378,375,507,469,386
D3C65_25835,212,225,206,232,362,329
D3C65_25840,186,207,177,209,237,187
D3C65_25845,18394,19591,16965,22175,26499,22334
D3C65_25850,12,5,10,22,24,16
D3C65_25855,25479,32275,25394,39764,47255,36733
D3C65_25860,3647,3826,3040,4720,5515,4588
D3C65_25865,2034,2240,1726,2677,3143,2415
D3C65_25870,33864,36224,28743,30253,35505,29475
D3C65_25875,19288,21406,17042,16260,18254,15036
D3C65_25880,3796,4242,3296,3756,4283,3309
D3C65_25885,2074,2712,2050,3033,3188,2624
D3C65_25890,860,1134,847,1272,1547,1150
D3C65_25895,5779,7033,5939,6935,8715,6934
D3C65_25900,9259,9484,8752,8290,9798,8543
D3C65_25905,6004,6200,7027,7405,7203,6233
D3C65_25910,958,975,919,1269,1193,1150
D3C65_25915,8464,9003,9227,9295,9909,7560
D3C65_25920,825,875,811,1035,1196,981
D3C65_25925,1275,1455,1304,1649,1829,1381
D3C65_25930,499,479,494,403,412,358
D3C65_25935,1573,1436,1782,1200,1344,1133
D3C65_25940,6010,6043,6367,5285,5718,4583
D3C65_25945,349,369,315,333,390,304
D3C65_25950,1858,1956,2065,1654,1781,1556
D3C65_25955,1555,1352,1465,915,698,646
D3C65_25960,3320,3032,3198,2261,1895,1485
D3C65_25965,27941,24999,28390,18795,14918,10699
D3C65_25970,3248,2723,2887,2590,2168,1409
D3C65_25975,9,12,9,4,8,7
D3C65_25980,796,860,892,1158,1132,884
D3C65_25985,1738,1837,1943,2220,2490,1972
D3C65_25990,2265,2563,2396,2989,3198,2612
D3C65_25995,206,185,135,136,177,179
D3C65_26000,809,898,816,749,906,721
D3C65_26005,1096,1257,1042,1392,1702,1328
D3C65_26010,572,645,585,608,597,502
D3C65_26015,3027,3385,1318,2619,2783,2278
D3C65_26020,2257,2174,1104,2061,2229,2014
D3C65_26025,3178,3446,1532,3377,3439,3009
D3C65_26030,164,178,159,172,176,171
D3C65_26035,102,105,128,168,143,135
D3C65_26040,92,119,100,108,114,114
D3C65_26045,113,123,137,88,117,118
D3C65_26050,90,93,99,89,101,85
D3C65_26055,980,1066,906,1094,1355,1033
D3C65_26060,48,65,55,52,58,70
D3C65_26065,72,66,76,85,73,92
D3C65_26070,407,388,318,488,494,434
D3C65_26075,247,258,246,223,225,197
D3C65_26080,273,281,270,277,305,222
D3C65_26085,411,423,384,309,405,329
D3C65_26090,87,100,106,95,115,105
D3C65_26095,170,168,186,180,190,182
D3C65_26100,177,192,221,142,172,150
D3C65_26105,788,795,985,651,720,580
D3C65_26110,45,57,50,39,41,41
D3C65_26115,128,154,137,139,179,112
D3C65_26120,173,180,198,206,252,202
D3C65_26125,147,192,150,153,193,167
D3C65_26130,270,291,267,176,206,177
D3C65_26135,353,397,371,404,431,307
D3C65_26140,122,139,142,191,200,117
D3C65_26145,193,187,137,263,208,193
D3C65_26150,215,186,209,272,256,227
D3C65_26155,161,179,181,165,193,155
D3C65_26160,78,92,74,79,82,73
D3C65_26165,42,46,38,51,53,43
D3C65_26170,153,158,135,130,144,117
D3C65_26175,166,197,172,220,211,189
D3C65_26180,57,60,48,75,66,72
D3C65_26185,52,65,76,69,75,68
D3C65_26190,90,135,136,116,109,102
D3C65_26195,180,169,148,105,162,149
D3C65_26200,30,46,44,30,34,31
D3C65_26205,80,79,92,76,63,62
D3C65_26210,843,848,777,692,755,670
D3C65_26215,1246,1303,1216,1205,1265,974
D3C65_26220,652,606,552,506,549,520
D3C65_26225,1137,1080,986,765,883,844
D3C65_26230,3362,3502,2959,2419,2763,2568
D3C65_26235,20503,21653,18965,15863,18281,16840
D3C65_26240,21,20,19,11,18,16
D3C65_26245,4,11,8,6,10,8
D3C65_26250,150,138,132,114,166,131
D3C65_26255,371,440,347,321,347,309
D3C65_26260,45,47,27,39,45,38
D3C65_26265,20,26,27,21,21,16
D3C65_26270,21,15,16,8,8,11
D3C65_26275,6,10,3,5,7,4
D3C65_26280,144,165,117,162,163,154
D3C65_26285,6,6,2,3,3,5
D3C65_26290,29,18,34,31,39,27
D3C65_26295,0,3,7,6,3,5
D3C65_26300,35,28,44,27,20,27
D3C65_26305,549,648,631,330,312,293
D3C65_26310,1384,1626,1293,1219,1100,1038
D3C65_26315,145,162,184,150,130,103
D3C65_26320,15,21,26,19,20,16
D3C65_26325,199,229,201,125,151,120
D3C65_26330,61,48,51,36,49,26
D3C65_26335,258,261,298,179,213,166
D3C65_26340,49,54,49,50,44,37
D3C65_26345,192,198,194,105,172,134
D3C65_26350,17,17,21,26,27,17
D3C65_26355,48,45,40,34,53,47
D3C65_26360,39,34,34,28,31,27
D3C65_26365,61,84,65,67,86,79
D3C65_26370,100,96,108,83,106,79
D3C65_26375,2638,2759,2225,2775,3023,2308
D3C65_26380,804,815,582,786,841,722
D3C65_26385,259,267,227,309,291,236
D3C65_26390,1385,1523,1536,1525,1434,1075
D3C65_26395,109,129,131,154,183,129
D3C65_26400,2300,2395,2337,3430,3695,2748
D3C65_26405,128,146,125,266,297,242
D3C65_26410,744,827,703,768,974,739
D3C65_26415,1278,1437,1089,1900,1901,1535
D3C65_26420,4762,4707,4458,5423,6305,5665
D3C65_26425,12586,12086,11662,14246,14631,13309
D3C65_26430,163,165,98,246,217,202
D3C65_26435,2026,2314,1864,2476,2408,2084
D3C65_26440,1664,1811,1450,2552,2506,2218
D3C65_26445,3829,4350,3094,3864,4410,3758
D3C65_26450,1125,1269,966,1441,1608,1233
D3C65_26455,4235,4214,3780,6221,6297,5343
D3C65_26460,2633,2491,2269,3605,3917,3200
D3C65_26465,1641,1788,1577,2148,2137,1740
D3C65_26470,67,66,70,52,52,61
D3C65_26475,25,41,42,21,17,18
D3C65_26480,15,16,12,10,8,5
D3C65_26485,10,11,3,4,9,5
D3C65_26490,18,11,9,13,10,12
D3C65_26495,24,39,25,16,40,21
D3C65_26500,181,143,122,149,188,143
D3C65_26505,92,99,78,148,131,95
D3C65_26510,50,49,46,76,75,45
D3C65_26515,90,65,84,140,143,118
D3C65_26520,44,49,61,87,87,91
D3C65_26525,312,452,394,467,471,424
D3C65_26530,265,259,235,324,357,298
D3C65_26535,43,49,39,32,41,34
D3C65_26540,59,72,48,78,58,59
D3C65_26545,914,878,943,833,947,783
D3C65_26550,282,276,205,274,322,260
D3C65_26555,358,412,390,363,402,320
D3C65_26560,122,146,128,121,120,106
D3C65_26565,211,265,204,237,260,218
D3C65_26570,41,47,50,54,47,40
D3C65_26575,142,146,156,136,170,122
D3C65_26580,474,489,492,494,588,433
D3C65_26585,180,222,208,219,278,191
D3C65_26590,73,83,54,132,152,99
D3C65_26595,38,38,37,27,33,22
D3C65_26600,4,6,4,6,4,4
D3C65_26605,7,9,10,7,10,10
D3C65_26610,140,149,131,113,129,98
D3C65_26615,142,163,131,123,162,119
D3C65_26620,365,354,284,498,510,464
D3C65_26625,824,810,800,1285,1365,1301
D3C65_26630,1154,1100,955,1042,1261,1374
D3C65_26635,516,566,543,669,667,658
D3C65_26640,85,79,75,76,87,68
D3C65_26645,23,33,30,43,35,23
D3C65_26650,61,79,75,70,84,68
D3C65_26655,52,39,57,48,42,34
D3C65_26660,5,12,10,13,12,11
D3C65_26665,20,24,15,16,21,25
D3C65_26670,18,30,33,52,38,29
D3C65_26675,34,20,27,19,22,19
D3C65_26680,89,106,86,62,57,67
D3C65_26685,47,48,39,43,51,37
D3C65_26690,65,51,68,41,49,33
D3C65_26695,89,76,71,80,72,60
D3C65_26700,33,29,28,25,33,28
D3C65_26705,31,10,31,19,16,26
D3C65_26710,6,8,8,8,7,6
D3C65_26715,527,626,567,630,755,575
D3C65_26720,1030,1041,1009,1081,1139,931
D3C65_26725,30,26,31,18,21,25
D3C65_26730,54,50,37,31,43,33
D3C65_26735,14,18,13,18,21,22
D3C65_26740,11,8,12,8,12,10
D3C65_26745,9,11,12,9,14,12
D3C65_26750,111,124,142,131,144,127
D3C65_26755,88,81,94,58,107,63
D3C65_26760,175,165,210,204,211,184
D3C65_26765,1495,1711,1458,1239,1427,978
D3C65_26770,1371,1691,1382,1169,1417,974
D3C65_26775,3502,4004,4228,2464,3148,2198
D3C65_26780,5891,7968,6718,6154,7159,5005
D3C65_26785,4359,4950,4272,3752,4340,3964
D3C65_26790,449,514,415,270,384,396
D3C65_26795,11847,14523,14257,11825,12301,8892
D3C65_26800,436,439,430,441,380,348
D3C65_26805,303,320,264,345,396,323
D3C65_26810,68,66,63,60,66,54
D3C65_26815,65,59,80,81,84,81
D3C65_26820,151,157,141,222,230,171
D3C65_26825,2379,2427,2057,2783,3023,2609
