,PAO1161 EV_1,PAO1161 EV_2,PAO1161 EV_3,PAO1161 BsrA_1,PAO1161 BsrA_2,PAO1161 BsrA_3
D3C65_02590,54,61,63,75,64,66
D3C65_02595,114,127,131,112,124,113
D3C65_02600,406,361,655,445,515,449
D3C65_02605,166,149,288,157,192,157
D3C65_02610,521,448,957,435,492,506
D3C65_02615,332,315,698,323,357,387
D3C65_02620,295,259,436,275,302,307
D3C65_02625,49,56,66,69,101,93
D3C65_02630,42,62,61,96,105,95
D3C65_02635,12,14,11,47,38,33
D3C65_02640,3159,3474,3116,3053,2981,2524
D3C65_02645,911,948,825,836,866,725
D3C65_02650,362,372,359,380,419,331
D3C65_02655,236,212,184,304,232,264
D3C65_02660,162,122,113,135,140,145
D3C65_02665,314,327,324,318,347,302
D3C65_02670,1562,1359,1805,1080,1193,831
D3C65_02675,71,51,66,55,48,42
D3C65_02680,9,10,7,7,12,9
D3C65_02685,534,516,577,455,428,406
D3C65_02690,179,191,201,92,141,123
D3C65_02695,95,96,87,43,61,57
D3C65_02700,199,236,243,102,102,105
D3C65_02705,85,125,108,55,77,43
D3C65_02710,64,81,79,25,40,34
D3C65_02715,136,119,155,61,82,91
D3C65_02720,169,188,211,62,67,93
D3C65_02725,822,1020,907,327,430,683
D3C65_02730,259,290,295,168,180,217
D3C65_02735,1122,1451,1459,886,1077,998
D3C65_02740,11442,13847,13346,10207,11840,8434
D3C65_02745,252,331,280,181,278,236
D3C65_02750,49,50,43,45,40,45
D3C65_02755,10,8,9,10,8,8
D3C65_02760,1037,1608,1325,997,1454,1071
D3C65_02765,859,1161,1104,784,1160,1104
D3C65_02770,237,274,262,81,130,255
D3C65_02775,804,875,846,875,942,731
D3C65_02780,3097,3680,3154,4036,4221,3013
D3C65_02785,87,79,72,93,75,93
D3C65_02790,470,397,408,549,661,392
D3C65_02795,75,108,96,159,129,129
D3C65_02800,310,382,292,519,575,550
D3C65_02805,82,106,90,88,94,153
D3C65_02810,26,29,27,34,21,20
D3C65_02815,492,526,488,490,446,363
D3C65_02820,14,6,11,7,7,9
D3C65_02825,337,302,390,290,340,279
D3C65_02830,163,133,166,119,156,145
D3C65_02835,868,940,766,1077,1007,908
D3C65_02840,1040,1203,1223,1348,1389,1236
D3C65_02845,238,252,230,286,305,245
D3C65_02850,36,48,37,36,40,35
