,High-Mg-Rep1,High-Mg-Rep2,High-Mg-Rep3,0point75percent-DNA-Rep1,0point75percent-DNA-Rep2,0point75percent-DNA-Rep3
azu,2011.129228,1875.954857,2243.883124,1849.592776,1972.293841,1501.567428
bacA,177.6326788,89.7730195,116.6456411,148.3374766,96.0993402,180.9985066
bcp,348.0598893,214.8188812,410.4745345,280.0963282,310.900397,244.536183
bdhA,39.3028796,19.4217116,17.4037237,23.4817226,20.1197062,10.4886572
bdlA,34.904551,71.6466012,29.4260329,28.8746541,32.9873333,45.1413739
betA,47.9280667,56.8413368,43.7725329,51.90073503,58.2707743,47.9641442
betB,34.2866261,46.7624185,54.6569083,71.69656984,47.3898987,69.5398685
betC,48.989965,57.4404828,48.8098482,41.90835213,37.6179957,37.4386792
betI,51.0143437,50.4179787,73.4164658,96.51620491,78.3449166,90.7604344
betT1,21.7082314,19.3090131,25.9541025,33.07274211,33.3382624,33.0213495
bexR,14.7188926,39.2764319,21.9971656,23.08394478,36.7322068,44.1899164
bfiR,31.3204343,27.8588645,20.8035209,56.1376996,64.1335131,58.5088196
bfiS,25.1375027,39.4575485,33.8845227,38.42979326,42.0110423,24.8604668
bfmR,54.5254524,20.2080157,27.1624919,20.36033302,34.8904487,32.7398976
bfmS,46.4406439,34.4233096,20.5644,36.99495912,19.8113582,30.9837345
bfrA,832.6857392,850.1447033,880.1231509,785.1732555,922.953663,811.5739488
bfrB,3126.954678,2392.095267,2728.663073,3112.288189,2384.838972,2932.932
bglX,38.1440583,46.9776931,43.8505588,38.12838312,41.6815439,59.9018867
bifA,101.1389023,153.8041477,113.769255,130.1108142,136.534237,88.8080297
bioA,158.2752715,123.717963,124.2432499,122.501337,112.3278612,136.3151909
bioB,836.1727838,557.1115228,804.5894313,549.9135611,629.8664969,687.2596066
bioD,29.4056479,61.0299724,78.1267598,43.92141708,48.9228082,58.8555655
bioF,128.4241687,64.565113,80.6653936,87.56969103,92.1819541,131.8735565
birA,530.6795626,424.1875559,407.263816,565.5619151,481.8337524,545.4325147
bkdA1,43.6911167,31.5756392,29.9272062,22.0248274,12.5809355,24.0482027
bkdA2,41.567243,34.1290932,60.5287628,34.38634021,19.6420304,23.0391872
bkdB,52.3224038,37.2317381,49.5235332,39.85689434,24.1061282,25.1336588
bkdR,94.740924,77.7877385,50.826784,52.24937409,83.9409821,70.0151922
blc,183.1146442,283.7205409,229.5230564,264.6843293,222.2521582,236.4548159
bolA,297.083531,215.3144265,230.2154336,276.1020846,211.2240399,325.9367365
bphO,188.9612935,224.1027704,222.4968404,112.895969,153.8918005,197.1261067
bphP,155.4922794,190.3434305,133.4464536,197.2969335,176.1417261,195.9753083
braB,243.4246081,191.4501874,237.4237447,227.3384581,190.8539407,198.9891442
braC,399.1122184,451.0926208,499.298408,365.7456186,451.6354017,360.372313
braD,185.8379663,187.9870347,185.1547133,143.6857787,212.650488,163.3687819
braE,179.8926857,217.3280238,176.5561972,134.7483858,214.4176666,171.9671389
braF,179.7458516,249.5689943,183.4529237,153.2274125,242.3795858,122.8456661
braG,201.4412546,319.9602492,229.3721537,111.7556057,261.4845294,215.0324138
braZ,58.9343788,41.0250402,45.9529828,68.89044186,49.18916,71.8002067
cafA,464.167547,492.9757913,480.8673931,459.4397123,475.2280128,484.3917999
capB,3671.575194,3394.138323,3146.904029,3261.667177,3915.007405,3812.327218
carA,361.2730831,342.4165622,339.2922524,464.4197334,375.1873976,405.4045894
carB,562.2027673,579.0744264,527.860288,678.02563,608.2308332,667.6215864
cat,152.8035271,98.4215752,115.4937253,103.8854926,169.9312276,172.9561517
catA,90.2182927,227.9022328,165.3913359,9.702255156,5.5420841,11.5566341
catB,24.00675,26.6918711,23.9184866,10.75722408,13.8255735,24.0248209
catC,80.9918446,133.789564,195.9713117,10.36907682,8.8844751,0
catR,7.713509,10.2915049,15.370299,6.912717878,8.8844751,12.3509045
cbiD,64.2196915,24.4808823,27.4215347,46.59021164,35.2231914,46.5178139
cbpA,101.2615544,168.8812744,159.7413213,94.53011759,123.1134404,94.5819264
cbpD,48.9214476,53.7533219,45.8744307,51.57951032,26.516741,48.3822931
cbrA,80.9800862,97.3927783,70.4550137,106.3041127,105.9726464,88.5744361
cbrB,267.1064176,504.3481973,326.8194047,321.2682026,426.39916,294.5071883
cc4,683.3901686,578.2093532,586.7725762,811.6112552,622.8808718,729.4982242
cca,46.4218115,75.295755,87.0609634,88.09930959,52.4205647,87.4480098
ccmA,47.9622035,55.4597765,33.4501057,34.38634021,47.8774491,69.1175616
ccmB,80.1653972,111.4147296,89.8544932,121.2348758,123.1134404,116.3273246
ccmC,221.8014944,295.9316138,256.3437804,254.4317347,313.3796665,273.4651349
ccmE,158.3635455,140.8610275,205.8017023,148.093318,111.0286855,192.9355246
ccmF,126.2178595,119.8538028,132.5513092,139.1000624,113.9454183,152.9409873
ccmG,142.6146846,237.1594863,185.3352347,255.6177942,147.6000916,173.7485664
ccmH,208.6355851,127.9840997,200.7006344,122.501337,149.1566682,126.7155296
ccoN1,620.1029258,432.0269986,458.0817302,701.5246845,575.7363831,575.7376715
ccoN2,598.8826736,501.2352071,906.7669121,384.5707608,736.8701507,407.7355313
ccoO1,649.1825307,533.3925565,575.5385841,764.2111271,494.2642534,665.0871244
ccoO2,602.6226414,713.0542696,1085.139321,366.6464699,776.8882619,451.4772741
ccoP1,235.7214502,256.6101258,294.4448179,387.8164749,297.1703734,304.2039387
ccoP2,406.7939899,642.9026521,796.1217954,299.461623,649.8317842,407.1002009
ccoQ1,561.1577807,386.4294106,342.6708989,600.2357531,778.3946555,521.72611
ccoQ2,561.1577807,740.6563703,829.6242816,454.2324618,847.8941784,478.2489341
ccpR,278.1531363,480.4382946,418.9181625,324.6387623,360.1156831,264.1207108
cdhA,20.9127123,24.8018876,17.3631871,9.370811657,10.7055166,19.5332239
cdhB,21.0434168,24.9568994,20.9660484,18.85875846,10.772426,22.4632075
cdhC,3.8044595,3.3839864,15.1618881,10.22847916,11.6853435,6.0917173
cdhR,9.9909397,32.5846758,9.954207,44.76856608,51.1450494,63.990146
cdsA,132.0371249,150.4754231,98.6637573,159.0052184,152.0813088,178.384295
cheY,565.647043,614.9380021,724.5866334,490.8306202,572.2312711,582.2463387
cheZ,597.4303369,599.7247317,782.3073073,631.0154922,753.6602246,744.7877168
chiC,18.5506704,49.5012881,46.2061673,37.4058019,17.8056629,31.5598783
chpA,175.177439,305.1745406,272.6518873,144.7897132,206.3008884,187.8443718
chpB,81.5636309,182.8237982,123.5209054,93.56283267,130.2711986,120.1520402
chpC,59.7682843,88.6043767,86.0145576,35.70889176,50.9937327,58.4840906
chpD,38.1163776,79.1086624,50.6349849,49.34115421,61.7890097,40.688074
chpE,60.5170156,44.0415872,49.3318786,14.79118311,16.8979232,35.2364039
cif,17.5361806,24.9568994,27.9547312,44.00376974,21.5448521,33.6948113
cifR,45.5762665,20.269563,102.1695761,142.9564093,109.3647313,86.6600899
cioA,137.7074309,232.726915,153.2079339,129.5816532,82.8309241,110.2488712
cioB,170.3514692,306.019124,206.33254,152.6661399,100.0296703,147.0805254
citA,36.5405067,46.4314408,75.4127633,95.90190349,86.1794083,68.9568231
clpA,533.8022631,691.8223506,508.2678405,536.6919404,517.7577099,474.7165329
clpB,342.6015924,268.5420758,483.8947628,794.0529878,493.8936849,390.938629
clpP,2024.363583,1828.617678,1504.852821,1865.900837,2065.889554,1990.198198
clpV1,63.3865932,80.7022662,142.4050539,37.87067037,46.76402,57.7127812
clpX,2333.995828,2132.14916,2118.53654,2329.594019,2183.749878,2236.851483
cls,59.4301519,50.8287158,47.8247948,45.06641533,54.4106244,60.3898858
cmaX,151.6642651,137.8999849,80.5902161,141.9598234,168.2180642,143.0090088
cmk,331.8150356,282.1214719,301.424928,314.8592717,296.0075328,382.8511889
cmpX,967.2319566,1165.260323,1114.123106,537.6460594,1128.166799,976.9453158
coaB,216.3499878,228.5210069,229.0267137,133.298855,155.7459186,173.2102748
coaC,161.524324,203.1231517,141.5078206,174.704793,158.2450673,178.3679008
coaD,294.6078349,212.1336452,237.6152154,408.6064333,323.1727811,292.0216977
coaE,187.0525936,278.9300525,274.0659924,236.6589297,295.7136559,281.8912315
